ParlaMint-GB_2022-07-05-commons.u1	1. What recent assessment he has made of the adequacy of staffing levels in the probation service.
ParlaMint-GB_2022-07-05-commons.u35	9. What plans he has to improve support for victims of crime.
ParlaMint-GB_2022-07-05-commons.u36	12. What plans he has to improve support for victims of crime.
ParlaMint-GB_2022-07-05-commons.u37	17. What plans he has to improve support for victims of crime.
ParlaMint-GB_2022-07-05-commons.u38	Our landmark victims Bill will improve support for victims and help to give them confidence that if they report a crime the criminal justice system will treat them in the way that they should expect. We have increased the funding for victim and witness support services to £192 million by 2024-25—quadruple the level in 2009-10. With this funding we are increasing the number of independent sexual and domestic violence advisers to over 1,000—a 43% increase over the next three years—and introducing a 24/7 support line for victims of rape and sexual violence.
ParlaMint-GB_2022-07-05-commons.u39	Last June, a six-year-old girl was tragically killed when a car hit her and her father as they walked along a road in Stoke-on-Trent North. The victim’s mother has had to wait over a year, suffering in silence, because the defendant took so long to give permission for his blood sample to be tested. If a person has done nothing wrong they should have nothing to fear. That is why I am campaigning for an amendment to section 7 of the Road Traffic Act 1988 for blood testing to take place without permission, required where loss of life has occurred, to give victims the answers they deserve and need quicker. Would my hon. Friend support such a change?
ParlaMint-GB_2022-07-05-commons.u40	I am grateful to my hon. Friend for raising this terrible tragedy in the House today. The impact on the family is unthinkable and what has happened is just awful. He will recognise that the measures introduced in the Police, Crime, Sentencing and Courts Act 2022—with his support—came into force last week, tightening the offences and reflecting the culpability of offenders and the devastating harm that these crimes cause, as well as introducing a new offence of causing serious injury by careless driving. The Department for Transport is about to launch a call for evidence looking at motoring offences, and I know it is keen to engage with my hon. Friend on that.
ParlaMint-GB_2022-07-05-commons.u41	The draft victims Bill is a huge step forward to help victims recover from the impact of crime. Does my hon. Friend agree that proper funding for victim support services in Devon and elsewhere is also essential?
ParlaMint-GB_2022-07-05-commons.u42	I hope that I can reassure my hon. Friend that the victims Bill focuses on delivering improvements to the quality and consistency of victim support services, backed up by more funding than ever before, with £192 million by 2024-25—a four times increase on 2009-10—as well as a multi-year commitment that gives victim support services confidence to plan for the future. That will benefit people in East Devon, and it is fair to say that this Government are committed to delivering on our promises.
ParlaMint-GB_2022-07-05-commons.u43	With the victims Bill, a quadrupling of money for support services and the lengthening of sentences, it is clear that this Government are on the side of victims. One key expectation of victims is that justice will be served and prisoners will not escape, yet twice this year violent sexual offenders have escaped from a Lincolnshire prison, causing anxiety and danger to my constituents. What is the Minister doing to ensure that that does not happen again?
ParlaMint-GB_2022-07-05-commons.u44	I am hugely grateful to my hon. Friend for her support for the measures we are introducing through the victims Bill, and I know that the prisons Minister, my hon. Friend the Member for Louth and Horncastle (Victoria Atkins) would be willing to speak to her about the specific issue of absconding. What I can say is that we are tightening the rules governing open prisons with a tough three-step test and greater ministerial oversight, which I hope will give her confidence on this issue.
ParlaMint-GB_2022-07-05-commons.u45	I would also like to raise the case of a constituent, because in an act of outstanding bravery, Sheila Whitehouse went to the aid of a neighbour who was being viciously attacked by a dog. The owner had no insurance, and when the case came to court, Sheila was awarded just a token sum. She suffered life-changing injuries, but had no compensation through the Criminal Injuries Compensation Authority. Will the Minister review the eligibility for compensation for those injured in such circumstances as Sheila’s?
ParlaMint-GB_2022-07-05-commons.u46	I am very sorry to hear about this particular incident, and I commend, as my hon. Friend did so brilliantly, Sheila’s bravery in stepping in to help the individual affected. The criminal injuries compensation scheme exists to compensate for serious physical or mental injury attributable to being a direct victim of a crime of violence. The scheme is publicly funded, which means that there are strict eligibility criteria. An animal attack will amount to a crime of violence only where the animal was used deliberately to inflict injury. In 2020, we had a consultation on proposals to make claiming compensation simpler for victims of violent crime. We set out that expanding the definition of a crime of violence would go far beyond the original intention of the scheme, but we will be publishing a response in due course.
ParlaMint-GB_2022-07-05-commons.u47	I am afraid to tell the Minister that victims of crime are being further let down by the Government’s terrible handling of the Criminal Bar Association dispute. I know that a Minister has now finally agreed to meet the Bar Council and the Criminal Bar Association, and I think that meeting is tabled for next week, but what they need to know at that meeting is when the Department will set a timetable for implementing the money that Sir Christopher Bellamy said was needed urgently. Incidentally, Sir Christopher Bellamy, who I have a great deal of respect for, is now a member of the House of Lords. When is that money coming?
ParlaMint-GB_2022-07-05-commons.u48	No doubt the Under-Secretary of State for Justice, my hon. Friend the Member for South Suffolk (James Cartlidge), will be answering questions on that from Members on both sides of the House. I have heard what the hon. Gentleman said, but I note that the Opposition backed the Bellamy review and its outcomes, which we are getting on with delivering.
ParlaMint-GB_2022-07-05-commons.u49	We now come to the shadow Secretary of State.
ParlaMint-GB_2022-07-05-commons.u50	As we have heard, Members on both sides of the House want victims’ needs to be put first, so why did the Secretary of State tour the TV studios to defend the Prime Minister for ignoring the victim of predatory sexual behaviour by a former Foreign Office Minister when he promoted him to Deputy Chief Whip, despite having been alerted to that behaviour by the permanent under-secretary and despite the Minister in question having admitted to the behaviour?
ParlaMint-GB_2022-07-05-commons.u51	My clear understanding is that the hon. Gentleman is wrong about that, but of course it is right that the processes that have been set out should be allowed to run their course. All hon. Members take a very dim view of people being ill-treated and it is right that due process can now be followed. What is not in question is the Government’s determination to ensure that outcomes for victims are better; the funding and the measures in the Bill are there, and we will get on and deliver that.
ParlaMint-GB_2022-07-05-commons.u52	7. What steps his Department is taking to modernise the courts system.
ParlaMint-GB_2022-07-05-commons.u53	8. What steps his Department is taking to modernise the courts system.
ParlaMint-GB_2022-07-05-commons.u54	We are investing £1.3 billion in transforming the justice system, including by introducing 21st-century technology and online services to modernise the courts. Digital reforms and simplified services are removing simple cases from court; cutting down on unnecessary paperwork; and helping some of the most vulnerable people, who are facing difficult situations, to get justice as quickly as possible. That is also critical to enable us to recover workloads in courts and tribunals, which are still experiencing the impacts of the pandemic.
ParlaMint-GB_2022-07-05-commons.u55	It takes private landlords an average of about nine months to repossess a property through the courts, and the end of section 21 repossessions will lead to more cases. The rental reform White Paper committed to improving the courts system. Will the Minister commit to those reforms being in place before the Government make changes to the way that private rented tenancies operate?
ParlaMint-GB_2022-07-05-commons.u56	My hon. Friend asks an important question. I can confirm that on 16 June, the Government published their response to the “Considering the case for a Housing Court” call for evidence. Moreover, we are injecting more than £10 million a year into housing legal aid through our reforms to the housing possession court duty scheme. By 2023, we will modernise how the courts deal with possession claims as part of the Her Majesty’s Courts and Tribunals Service reform programme that I referred to. We will further streamline the court process to ensure that landlords can get possession in the most urgent circumstances. Finally, we will continue to make administrative efficiencies to maximise bailiff resource for enforcement activity, including the enforcement of possession orders.
ParlaMint-GB_2022-07-05-commons.u57	I thank the Minister for his substantive reply. Modernising the courts system is essential if we are to clear the covid backlog and get victims the justice they need. I ask him to update the House on video technology and remote hearings, and how they can help.
ParlaMint-GB_2022-07-05-commons.u58	My hon. Friend raises an excellent point. We have to understand that when the pandemic hit, it presented the greatest challenge to collective access to justice for many decades. We cannot underestimate the way that technology in every jurisdiction, including Scotland and England and Wales, helped to ensure that we maintained access to justice as far as possible. To confirm, more than 70% of all courtrooms, including more than 90% of Crown courtrooms, are fitted with our video hearings platform, which enabled up to 20,000 cases to be virtually heard every week at the height of the pandemic. Of course, whether a specific hearing is heard remotely or in person is a matter for the independent judiciary, but I confirm that we work closely with it through HMCTS to look at what more we can do to increase throughput and output in our courts by the use of technology.
ParlaMint-GB_2022-07-05-commons.u59	What is the point of having a modernised courts system if we do not have the lawyers to go with it? On what date will the Minister meet members of the Criminal Bar Association to discuss pay and a modernised courts system?
ParlaMint-GB_2022-07-05-commons.u60	I am grateful to the right hon. Lady. Further to the question of the hon. Member for Kingston upon Hull East (Karl Turner), I can confirm that I have met the chair of the Criminal Bar Association seven times since the publication of the independent review of criminal legal aid. My officials meet representatives of the CBA almost weekly, so there is lots of engagement going on. I meet frequently with the Bar Council and the Law Society, because we have to remember the criminal solicitors’ view in all this as well. I can clearly confirm that we have decided to increase most of the key criminal legal aid fees by 15% from the end of September. We think that is a generous offer, as I am sure most of our constituents would agree, in the light of what is happening with the economy. I urge those engaged in disruption to reconsider so that we can get back to reducing the backlog, instead of threatening to increase waiting times.
ParlaMint-GB_2022-07-05-commons.u61	The courts system relies on litigants having access to appropriate advice and representation, so why are the Government cutting funding to the Support Through Court charity and extending fixed recoverable costs to housing cases that will prevent law centres and other providers from having the means to represent vulnerable tenants against bad landlords, including in disrepair and unlawful eviction cases?
ParlaMint-GB_2022-07-05-commons.u62	On the hon. Member’s first point, I have provided a written answer, which I will happily forward to him—I cannot remember if the question was from him—in which the existing position on funding was clarified. I am confident that we have put in a huge funding package across the justice system, with £477 million to support court recovery in the spending review. That is a significant investment, but I am more than happy to look at what has happened to funding for specific charities.
ParlaMint-GB_2022-07-05-commons.u63	As the Minister considers how to modernise the courts system further, he might want to reflect on the lessons learned—or not—from a court case in 1984, when 37 workers from the Cammell Laird shipyards were unjustly imprisoned at a maximum security prison, and as a result were sacked, blacklisted, and lost redundancy and pension rights. Will he commit today to examine what papers his Department and the rest of Government hold on this case so that such an injustice can never happen again?
ParlaMint-GB_2022-07-05-commons.u64	If the hon. Member writes to me, I will be more than happy to get my officials to look into that historical case.
ParlaMint-GB_2022-07-05-commons.u65	My hon. Friend talks about implementing the Bellamy review, but that recommended a 15% rise immediately. As I understand it, the Government are saying there will only be a 15% rise from September, and that will only be in respect of new cases. Why do the Government not commit themselves to implementing the Bellamy review, thereby ensuring that our courts are not blocked as they have been?
ParlaMint-GB_2022-07-05-commons.u66	I am grateful to my hon. Friend, as ever. What the Bellamy review said was that the increases should be delivered as soon as is practicable, and I am 100% certain that we are doing so. We had to consult, which is a requirement under public law principles, and we have to legislate through a statutory instrument, which is the parliamentary procedure, but I am confident that we are delivering this as fast as we can. There have been calls for the increases to somehow be backdated to existing work, but there are huge legal questions about that and it is also very difficult practically. How practical would it be, politically, to start delivering backdated increases in public sector pay?
ParlaMint-GB_2022-07-05-commons.u67	10. What support his Department is providing to the International Criminal Court’s investigation into war crimes in Ukraine.
ParlaMint-GB_2022-07-05-commons.u68	We have offered the International Criminal Court a comprehensive package of financial and technical support to ensure that leaders under President Putin and those in the field can be held to account for any war crimes in Ukraine.
ParlaMint-GB_2022-07-05-commons.u69	The International Criminal Court celebrated its 20th anniversary last week, but it is striking that in that time the Court has managed only three war crime convictions. Does the Secretary of State agree that, if the Putin regime is to be held accountable, that will only happen with sustained international support and funding? Has he had discussions with international counterparts in Governments who are not members of the International Criminal Court to encourage them to join?
ParlaMint-GB_2022-07-05-commons.u70	I thank the hon. Lady, and she is absolutely right that the Court can only do so much. It is not an overarching justice system with all the investigators, witness relocation schemes and enforcement powers that a domestic scheme or a domestic jurisdiction would have. We have provided financial support and a dedicated liaison officer from the Met, based in The Hague, to facilitate information co-operation. We have offered military analysis support and witness protection support. I have had discussions, and so has the Foreign Office, with other supportive states parties, including the US war crimes ambassador, about how they can support the ICC in ensuring that there is accountability for war crimes in Ukraine.
ParlaMint-GB_2022-07-05-commons.u71	Does my right hon. Friend agree that the decision of Russia and its proxies to place on trial four British nationals—three of whom are serving members of the Ukrainian armed forces, and the other is a civilian—and subject them to a kangaroo court, sentencing two of them to death, amounts to a war crime? What support will he give to the Ukrainian authorities, specific to these cases, to help them amass the evidence they will need in due course to bring all those concerned to justice?
ParlaMint-GB_2022-07-05-commons.u72	My right hon. Friend is absolutely right: this is another unlawful act, taking Russia further and further into pariah status. We have said that clearly, and our allies have too. On Ukraine, as well as the support that we are providing to the ICC, I have had meetings with the Ukrainian Minister of Justice and the Ukrainian Prosecutor General, to ensure that they have all the support that we can practically provide in relation to the domestic investigations they are conducting.
ParlaMint-GB_2022-07-05-commons.u73	11. What assessment he has made of the effect of availability of duty solicitors in England on access to justice.
ParlaMint-GB_2022-07-05-commons.u74	13. What assessment he has made of the effect of availability of duty solicitors in England on access to justice.
ParlaMint-GB_2022-07-05-commons.u75	The Legal Aid Agency keeps market capacity, including the number of duty solicitors on each local duty scheme, under constant review, to ensure that there is adequate provision of legal aid throughout England and Wales. The LAA is satisfied that there continues to be sufficient duty solicitor coverage across all duty schemes in England and Wales, and it moves quickly where issues arise to secure additional provision and ensure continuity of legal aid services. Provision under the duty scheme is demand led, so there may be variations in numbers across each local rota, or other fluctuations in numbers. A procurement exercise for new criminal legal aid contracts commenced on 1 October and is currently under way. The LAA will publish lists of providers and duty solicitors under those contracts, once the contract has commenced.
ParlaMint-GB_2022-07-05-commons.u76	I send my solidarity and support to the barristers in Liverpool, and to those striking nationally over unsustainable cuts to pay and conditions and the failing justice system. Merseyside and Vauxhall law centres in my Liverpool, Riverside constituency do an excellent job providing legal support to people losing their homes. What steps is the Minister taking to review the shortages of duty solicitors at housing possession court, and what are his plans to improve that, because it is not a consistent approach?
ParlaMint-GB_2022-07-05-commons.u77	The hon. Lady says that she stands in solidarity with the striking barristers. I remind her that back in February, before the publication of our response to the independent review of criminal legal aid, she attended a debate on legal aid in the north-west. Every Labour MP who spoke supported a 15% increase in fees, including three Labour MPs who would subsequently go out with the RMT. They supported 15% then, as did those on the Opposition Front Bench. Do they still support 15% now? If they do, they should not be supporting the strike action when we have that offer on the table. By the way, that 15% increase includes duty solicitors. It will increase the police station scheme funding. That is why it is good news for the criminal legal aid solicitors the hon. Lady is talking about.
ParlaMint-GB_2022-07-05-commons.u78	Last week I visited Boothroyd Solicitors, who provide legal aid services in my constituency. They told me that despite being very busy, the business costs of their work, mixed with cuts to criminal legal aid, mean that they and many other criminal duty solicitors are in financial difficulties. They are receiving promises from the Government, but no action. Boothroyd Solicitors warns that access to an availability of duty solicitors will be severely impacted in the years ahead, if it is not tackled now. Will the Government urgently address that?
ParlaMint-GB_2022-07-05-commons.u79	We all want to see thriving duty rotas in our police stations, and it is incredibly important that we support funding for criminal legal aid for the police station scheme. That is why we are increasing those fees by 15%. Indeed, I confirm that in relation to police station fees, the actual increase overall is 18%, as that will include expected additional expenditure, including pre-charge engagement. In total it is an 18% increase for police station duty solicitors. In addition, we want to see a new generation coming through, so we will also be ensuring that those with Chartered Institute of Legal Executives qualifications can more easily participate in the duty solicitor scheme.
ParlaMint-GB_2022-07-05-commons.u80	I call the Chair of the Justice Committee.
ParlaMint-GB_2022-07-05-commons.u81	The Minister knows that the Justice Committee welcomed the Government’s acceptance of Sir Christopher Bellamy’s review, which relates to fees for both barristers and solicitors in criminal work. We all want barristers and solicitors to return to accepting instructions in all forms of case. The Minister will also remember that Sir Christopher’s review stated that the £135 million that is being paid, I grant in tranches, and subject to certain reforms, was “the minimum necessary as the first step in nursing the system of criminal legal aid back to health after years of neglect” The “minimum necessary” first step. Will the Minister reassure practitioners of both professions that he accepts it is a first step, and that the Government are willing, able and ready to engage with the professions on the second step? Reassuring that good faith would make it easier to resolve the current impasse.
ParlaMint-GB_2022-07-05-commons.u82	I am grateful, as ever, to the Chair of the Justice Committee. He may have seen that on Friday I published an article in the Law Society Gazette where I said that now that we have confirmed we will be legislating to deliver 15% increases to most criminal legal aid fee schemes by the end of September, I am keen that we move on to the next phase of reform. I am keen to engage with all parties, including the Criminal Bar Association, on how we can deliver that next stage. Everybody, including the CBA and the Bar Council, wanted this to be done in stages so that we could get in the initial increases as fast as possible, and that is what we are committed to.
ParlaMint-GB_2022-07-05-commons.u83	14. What recent progress he has made on the implementation of the recommendations of the Lammy review.
ParlaMint-GB_2022-07-05-commons.u84	We have implemented almost all the actions that we committed to in response to the Lammy review and our work continues on the longer-term recruitment targets for HMPPS. That work is firmly embedded in the HMPPS race action programme: a significant three-year investment to deliver long-term change in inequality. We recognise that the Lammy review was an important start, not a complete solution, and our work has evolved considerably. Central to that are our commitments in the inclusive Britain strategy.
ParlaMint-GB_2022-07-05-commons.u85	The Government’s offensive Sewell report sought to dismiss evidence of institutional racism in Britain, yet we know that systematic discrimination remains rife in the criminal justice system, such as the proportion of prisoners from ethnic minority backgrounds on remand. Will the Minister commit to publishing further progress updates on the Lammy recommendations so that the Government’s progress can be publicly held to account?
ParlaMint-GB_2022-07-05-commons.u86	The hon. Lady makes a fair point. We obviously want to be held to account, and I am more than happy to write to her with further details of the progress that we are making. To give just one example, in our inclusive Britain strategy, we committed to a special pilot in police stations that is ensuring that juveniles receive legal advice. As she knows, many juveniles—and, it must be said, particularly those from ethnic minority backgrounds—were not engaging with the system; in the pilot, they must proactively choose to opt out. I have personally been to Wembley police station and to Brixton, where the trial is happening, and I am pleased to say that so far the results are incredibly encouraging: they suggest less time in custody for those juveniles who are participating. Most importantly, some of them are more likely to have an out-of-court disposal. We are trying to break that chain of getting stuck in the criminal justice—[Interruption. ]
ParlaMint-GB_2022-07-05-commons.u87	Keep going.
ParlaMint-GB_2022-07-05-commons.u88	It would appear that it happens whenever I am speaking, Mr Speaker. I do not know if it is personal I am grateful to the hon. Lady for that important question. As I said, I will write to her with further details and update her.
ParlaMint-GB_2022-07-05-commons.u89	16. What assessment he has made of the impact of ending Friday releases on reoffending rates.
ParlaMint-GB_2022-07-05-commons.u90	I know that accessing timely support on release can be particularly challenging on a Friday and that that can increase the risk of reoffending. That is why the Government have committed to pursuing legislation when parliamentary time allows to enable the release of prisoners up to two days earlier when a release date falls on a Friday or before a bank holiday. I welcome the fact that my hon. Friend the Member for Workington (Mark Jenkinson) has introduced a private Member’s Bill on the issue. I look forward to that.
ParlaMint-GB_2022-07-05-commons.u91	What is key is that if we release ex-criminals and ex-offenders on a Friday, they are likely to return to their former habitat, reconnect with individuals whom they committed crimes with and reoffend. Equally, if they are homeless, they will not get any service from the local authority. I therefore commend the moves to change the position so that we can encourage people to rebuild their lives after being in prison.
ParlaMint-GB_2022-07-05-commons.u92	I thank my hon. Friend, who has a long record of tackling homelessness. We are particularly conscious of the impact that homelessness can have on ex-offenders released from prison, so, in addition to our commitment to legislate on Friday releases, by 2024-25 we will invest an additional £200 million a year to transform our approach to rehabilitation, including expanding our transitional accommodation service across England and Wales. Ex-offenders need a home, a job and a support network, and we are determined to help them to gain all three.
ParlaMint-GB_2022-07-05-commons.u93	20. What steps he is taking to tackle delays to trials for (a) child and (b) adult victims of sexual offences.
