ParlaMint-GB_2022-03-17-commons.u1	1. What steps his Department is taking to encourage the use of electric vehicles.
ParlaMint-GB_2022-03-17-commons.u12	2. What steps he is taking to improve transport connectivity within the UK.
ParlaMint-GB_2022-03-17-commons.u13	We are carefully considering the recommendations from Sir Peter Hendy’s “Union Connectivity Review” and we will respond in due course.
ParlaMint-GB_2022-03-17-commons.u14	I welcome Avanti West Coast’s £170,000 investment and the creation of a dedicated driver depot in Holyhead, but direct rail services between London and Holyhead, the UK’s second busiest ro-ro port and the main route connecting the UK and the EU, will reduce from nine per day prior to the pandemic to just two. What steps is the Minister taking to help providers return rail services across the UK to their pre-pandemic levels to support connectivity across the UK?
ParlaMint-GB_2022-03-17-commons.u15	I commend my hon. Friend on being a true champion for Ynys Môn. We continue to work closely with her and operators on the development of attractive timetables that are reliable, deliver excellent performance and are good value for money. Thanks to her campaign and that work, the two trains per day from London to Holyhead will increase to four in May, and we are looking to bring back more.
ParlaMint-GB_2022-03-17-commons.u16	There are conflicting views on East West Rail as a project to improve connectivity, but the one thing we all agree on in Bedford is that the delayed consultation response, the potential demolition of homes and concerns about the environment are taking a toll on residents. We need clarity, so will the Minister tell us whether the DFT is backtracking on the project? Will he instruct East West Rail to urgently publish its proposals?
ParlaMint-GB_2022-03-17-commons.u17	I will ask the Rail Minister, my hon. Friend the Member for Aldridge-Brownhills (Wendy Morton) to respond in detail to the concerns that the hon. Gentleman has raised as soon as possible.
ParlaMint-GB_2022-03-17-commons.u18	Will the Minister update the House on where we are with improving connectivity between the south coast and the M4? Is the study in his Department on track to report in September? Will it include an upgrade to the A350 as it rumbles through Westbury and Yarnbrook in my constituency? Can he give any commitment at all to a relief road that will, after so many years, bring some relief to my constituents in the town of Westbury?
ParlaMint-GB_2022-03-17-commons.u19	My right hon. Friend has raised the question of Westbury and the difficulties his constituents are facing. I have heard that very clearly, and I will ensure that he gets a detailed response from the roads Minister, Baroness Vere, on the progress.
ParlaMint-GB_2022-03-17-commons.u20	Ministers will be aware that the Select Committee on Transport recently visited Leeds and Bradford as part of our inquiry into the integrated rail plan. Has the current Transport Secretary seen the former Transport Secretary Lord McLaughlin’s comments that the Government’s revised integrated rail plan goes against the best interests of people in the north of England? Is that why he has reduced Transport for the North’s budget by 37%?
ParlaMint-GB_2022-03-17-commons.u21	The Secretary of State has met Lord McLaughlin recently, and he will no doubt have reiterated the point that I reiterate to the hon. Gentleman and everyone who asks about the integrated rail plan, which is that this is £96 billion of investment—the greatest from any Government in recent history.
ParlaMint-GB_2022-03-17-commons.u22	The Hendy review recommended the creation of a UK-wide strategic transport network. It also identified a gap in north Wales. However, when Transport for Wales bid for funds to develop the business case for investment to fill that gap, it was declined. Will the Minister meet me to discuss and perhaps reconsider that?
ParlaMint-GB_2022-03-17-commons.u23	We are committed to strengthening transport bonds throughout our Union. I note that the Welsh Government published a report recently saying that they did not support key improvements to the A55 in north Wales, nor the building of new roads, but I know that the roads Minister will be keen to meet my hon. Friend as soon as possible to discuss his individual concerns.
ParlaMint-GB_2022-03-17-commons.u24	Connecting communities to the rest of the UK is crucial, but not at the expense of cutting off communities from their own locality. I urge the Minister to look again at plans in the High Speed Rail (Crewe - Manchester) Bill that will see the Metrolink from Piccadilly to Ashton-under-Lyne, which runs through my constituency, severed and mothballed during the construction phase, to be replaced by buses. It is unacceptable; can we look at that again?
ParlaMint-GB_2022-03-17-commons.u25	The Department is very keen to work with local communities to ensure that the plan works. I know that the HS2 Minister, my hon. Friend the Member for Pendle (Andrew Stephenson) will be keen to meet the hon. Gentleman to discuss precisely that issue.
ParlaMint-GB_2022-03-17-commons.u26	Sometimes the Government get criticised over rail, but in my constituency, we have had electrification, more trains and more capacity going to Wellingborough, and we are now getting it going north to the great cities, and we have our station being redeveloped. It is in the middle of the country, and we have Station Island there. Is this an example of what the Government are going to do elsewhere?
ParlaMint-GB_2022-03-17-commons.u27	My hon. Friend raises a very good point. Under the previous Labour Government, 63 miles were electrified, whereas we, up to the end of the relative period, have electrified 1,221 miles.
ParlaMint-GB_2022-03-17-commons.u28	Happy St Patrick’s day to everyone, but especially the thriving Irish community in my Slough constituency. Industry data that I have seen shows that while passengers are battling to get on overcrowded trains, 21,000 fewer services are running today than there were pre-pandemic. With more people returning to rail, and to ensure that we do not have a car-led recovery, will the Minister now commit to restoring the services that have been cut? If not, why not?
ParlaMint-GB_2022-03-17-commons.u29	Following the Williams-Shapps review, we have announced the creation of Great British Railways, which will create a truly passenger-focused service for the UK. I have already mentioned the £96 billion that has gone into the integrated rail plan, as well as the restoring your railway programme. The Government are focusing on getting passengers on to rail wherever possible.
ParlaMint-GB_2022-03-17-commons.u30	3. What discussions he has had with (a) operator and (b) trade union representatives on bus driver shortages.
ParlaMint-GB_2022-03-17-commons.u31	My Department continues to work with trade representatives and operators to understand and mitigate the extent, impacts and reasons behind driver shortages.
ParlaMint-GB_2022-03-17-commons.u32	Happy St Patrick’s Day, Mr Speaker. During the pandemic, bus drivers kept vital lifeline services going at huge risk to their health. Many now face reduced pay and conditions and disgraceful fire and rehire tactics employed by disreputable bosses, so they are understandably leaving the industry in droves. What steps are the Government taking to improve the pay and conditions of bus drivers, to encourage people to take up jobs in the sector, and to solve the current shortage?
ParlaMint-GB_2022-03-17-commons.u33	I join the hon. Gentleman in paying tribute to bus drivers, who worked throughout the pandemic. The Government supported the work of local bus services with £1.7 billion of funding throughout the period. We do not intervene, however, on the levels of remuneration in private businesses, with the exception of setting rates for the national minimum wage and the national living wage.
ParlaMint-GB_2022-03-17-commons.u34	I call shadow Minister Sam Tarry.
ParlaMint-GB_2022-03-17-commons.u35	Happy St Patrick’s Day, Mr Speaker. During the height of the covid pandemic, bus drivers worked tirelessly, often at considerable risk to their health, to keep our vital services functioning by helping NHS staff and other essential workers reach their destination. This week, a Unite the union survey said that we now face bus driver shortages in 99% of garages, which clearly severely hampers services across the country. The same survey said that an average of 90% of respondents believe that the mass exodus is a direct result of low pay and poor working conditions. Those heroes of the transport industry clearly deserve something better, so is it not high time for operators to reward the efforts of our vital transport networks and the people who work on them, and give those bus drivers the pay rise and improvements in working conditions that they thoroughly deserve?
ParlaMint-GB_2022-03-17-commons.u36	Similarly to several hon. Members, my grandfather was a bus driver so I always stand in solidarity with bus drivers across the country. The Government have supported buses with record amounts, not just with the money that we are putting in during the pandemic but with a doubling of bus funding compared with the previous spending review. We recently announced a further six months of the covid-19 support package for the buses and light rail sectors, worth a minimum of £150 million.
ParlaMint-GB_2022-03-17-commons.u37	4. What steps he is taking to improve accessibility for disabled people using the rail network.
ParlaMint-GB_2022-03-17-commons.u38	We have extended the access for all programme until 2024 with almost £400 million to improve accessibility. The programme has already delivered lifts and other access improvements at more than 1,500 stations, with more to come in the next few years.
ParlaMint-GB_2022-03-17-commons.u39	I hope that includes Chorley.
ParlaMint-GB_2022-03-17-commons.u40	Disability access on the rail network is a major issue across the country. In my constituency, campaigners in Levenshulme have been calling for step-free access for years. We are making good progress, largely down to the determination of the community groups and local representatives who have brought the issue to the fore. What steps is the Minister taking to ensure that all stations have step-free access as standard, particularly Levenshulme, which is the busiest station with step-only access in Manchester outside the city centre?
ParlaMint-GB_2022-03-17-commons.u41	Thank you, Mr Speaker, for raising your own station too. Levenshulme was nominated in the access for all main programme, but it was unsuccessful. The hon. Gentleman had a conversation with me about that. Let us be absolutely clear, however, that more than 75% of journeys are through step-free stations, compared with fewer than 50% in 2005. We are in the process of setting the funding envelopes for the next rail control period, which is 2024 to 2029. When further funding is available, any station without an accessible route into the station and to all platforms will be a potential candidate. It is an important topic. I recently visited Eridge station to see a project that had been completed there and as we know, it really makes a difference.
ParlaMint-GB_2022-03-17-commons.u42	Including Chorley—excellent.
ParlaMint-GB_2022-03-17-commons.u43	5. What discussions he has had with Cabinet colleagues on the potential impact of reductions in Transport for the North’s budget on levelling up in the north of England.
ParlaMint-GB_2022-03-17-commons.u44	Transport for the North’s core funding for financial year 2022-23 totals £6.5 million, a rise of £500,000 on the previous year. This funding is in addition to the Government’s historic £96 billion integrated rail plan.
ParlaMint-GB_2022-03-17-commons.u45	Shall we try again on this? On 18 November, the same day that Ministers ignored TfN’s recommendations in the disappointing integrated rail plan, Whitehall also removed powers from TfN and levelled down its funding by 37%; the main devolved power Ministers have left with TfN is over making staff redundant. Does the Minister agree with the TfN chair, Lord Patrick McLoughlin, a former Secretary of State for Transport, in his letter of 3 March, in which he warned that funding cuts to TfN will mean “down-sizing of the organisation which in turn will result in redundancies”?
ParlaMint-GB_2022-03-17-commons.u46	The right hon. Lady continues to focus on process while we continue to focus on delivery. It is not for the Government to comment on the business planning of a devolved transport body. TfN definitely has enough money to complete its statutory funding commitments, and it has far more money than any other sub-national transport body. On the staff affected by TfN’s move to become the Northern Powerhouse Rail co-sponsor, the Department has commenced discussions on the TUPE process and as such I am unable to comment further at this time.
ParlaMint-GB_2022-03-17-commons.u47	6. What steps he is taking to improve bus stop safety.
ParlaMint-GB_2022-03-17-commons.u48	Our national bus strategy has asked local transport authorities to consider the impact of roadside infrastructure on passenger safety and security.
ParlaMint-GB_2022-03-17-commons.u49	After the tragedies in Plymouth, people, especially women and girls, must feel safe while waiting for a bus, so does the Minister agree that before Conservative-run Plymouth City Council cuts 211 bus shelters—a third of all Plymouth’s bus shelters—it must stop and seriously consider the impact that will have on the safety of people waiting for a bus?
ParlaMint-GB_2022-03-17-commons.u50	We take safety, particularly of women and girls, very seriously and I realise the difficulties that have been faced in Plymouth. The hon. Gentleman will know that we recently commissioned our safety champions to work with stakeholders and they have now provided 13 recommendations which will specifically look at how we can protect women and girls on the transport network. I would welcome further consideration on the importance of bus shelters in use and also the illumination of those shelters as an important factor in protecting women and girls.
ParlaMint-GB_2022-03-17-commons.u51	Bus safety is important, but so is train safety. Has the Department had any more thoughts about placing a simple sticker on the back of each train seat advertising the British Transport police text number so that passengers can summon help if required and also asking people to refrain from using bad language? I think the Minister will agree that this also fits nicely with the criteria for the Great British Railways headquarters competition in that Doncaster’s champion MP not only did his apprenticeship on the railway but also helped to secure a more pleasant trip for all future rail passengers.
ParlaMint-GB_2022-03-17-commons.u52	I am most impressed by my hon. Friend’s doughty campaigning in wanting to headquarter Great British Railways in Doncaster. Of course I agree that antisocial behaviour on public transport is a blight; however, I suspect that there might be unintended consequences from some on-train requests, such as encouraging more swearing and passenger confrontations, but I agree that we should look at doing more in this area and a solution using positive messaging to promote considerate behaviour could be an option.
ParlaMint-GB_2022-03-17-commons.u53	Does the Minister remember that two years ago a car ploughed into a bus stop in my Huddersfield constituency, killing a young girl and badly injuring two other people? That driver has never been found guilty of anything. He put forward a plea of automatism—that he was not actually in charge—and a clever lawyer got him off. What sort of justice is that?
ParlaMint-GB_2022-03-17-commons.u54	I am sorry to be reminded of that case. We are currently looking at how the justice system works for all drivers and I am happy to write to the hon. Gentleman with an update on that piece of work.
ParlaMint-GB_2022-03-17-commons.u55	7. What steps his Department is taking to help ensure that the frequency of train services in Netherfield, Burton Joyce and Carlton returns to pre-covid-19 outbreak levels.
ParlaMint-GB_2022-03-17-commons.u56	The pandemic is changing travel habits and we are starting to see some substantial changes in passenger demand for rail travel. As covid recedes, we must ensure that services are adjusted to meet changes in passenger demand. We are working with operators to consider what further changes might be possible at these stations.
ParlaMint-GB_2022-03-17-commons.u57	There is a widespread view in Gedling that rail services could be improved. For example, Carlton recently lost its direct service to Matlock and many trains pass through Burton Joyce without stopping. I continue to have discussions with East Midlands Railway about how it might reach the maximum amount of services in its agreement with the Department. I would welcome the opportunity to meet my hon. Friend to discuss how Gedling’s stations might fulfil their potential.
ParlaMint-GB_2022-03-17-commons.u58	I appreciate my hon. Friend raising the matter and can see what a hard-working campaigner he is for his constituents. I assure him that we are working with the operator to consider what further changes might be possible, subject to passenger demand and the cascading of trains into East Midlands Railway. I am happy to meet him to discuss this in more detail.
ParlaMint-GB_2022-03-17-commons.u59	8. What steps he is taking with Cabinet colleagues to mitigate the impact of rising fuel costs on motorists.
ParlaMint-GB_2022-03-17-commons.u60	I am working with my Cabinet colleagues to consider support for motorists during these challenging times.
ParlaMint-GB_2022-03-17-commons.u61	I place on record my celebrations for everybody celebrating St Patrick’s day, and a happy Purim With fuel costs skyrocketing and the average family facing an annual increase of £386 in petrol costs, my constituents are being forced to choose between getting to work and heating their homes. Does the Secretary of State agree that now would be the worst possible time to introduce a tax hike of £255 on working people who are already seeing their pay swallowed up by the costs of simply living?
ParlaMint-GB_2022-03-17-commons.u62	The hon. Lady asks specifically about the additional costs of motoring during these difficult times with what we have seen happen to the crude oil price. I gently remind her that she voted against a measure in the Budget to freeze fuel duty for a 12th consecutive year.
ParlaMint-GB_2022-03-17-commons.u63	I pay tribute to my right hon. Friend the Member for Harlow (Robert Halfon) for the 12-year freeze in fuel duty—that is extremely welcome—but given the increases in pump prices and the costs for average constituents in Newcastle-under-Lyme, we need to do more at the forthcoming Budget. The Treasury is getting more revenue from VAT, so we need to find ways to reduce that duty burden so that people in my constituency can fill up and continue to go to work. Will the Secretary of State speak to the Chancellor about that?
ParlaMint-GB_2022-03-17-commons.u64	My hon. Friend is absolutely right about the pressures that exist. As I mentioned, we froze fuel duty for the 12th consecutive year, which means that it costs about £15 less to fill up a family car than it would have done otherwise. He is right to mention my right hon. Friend the Member for Harlow (Robert Halfon), who is perhaps the most expensive Member of this House, having cost the Treasury tens of billions of pounds over the years for this worthwhile saving.
ParlaMint-GB_2022-03-17-commons.u65	Alan Davie, Ian Roberts, Geddes and Laird are the hauliers who keep the economy of Angus moving, and by the Road Haulage Association’s estimate they are facing an 18% increase in operating costs purely on fuel. What discussions will the Secretary of State have with the Chancellor to get something sorted to keep our economy moving?
ParlaMint-GB_2022-03-17-commons.u66	The hon. Member is right to point out the fantastic work done by haulage companies and all their workers. Over the next five years, the 2022-23 freeze will represent £8 billion off the fuel bill for motorists in this country, including the haulier sector, which I recently backed with 32 separate measures to ensure that it can continue to operate during what have been difficult times post covid.
ParlaMint-GB_2022-03-17-commons.u67	It is a very happy St Patrick’s day in Ireland because fuel duty has been cut in the past week. I thank my right hon. Friend for what the Government have done on the fuel duty freeze, but the fact is that motorists are paying £1.60 or more for their petrol and diesel and we are heading for a de facto lockdown where parents cannot afford to take their kids to school and workers cannot afford to commute by car and have to stay at home. Will my right hon. Friend make appeals to the Treasury to cut fuel duty in the spending round next week?
ParlaMint-GB_2022-03-17-commons.u68	I had not noticed that Parliament’s most expensive MP was in his place in the Chamber. My right hon. Friend’s work has been absolutely remarkable over the years: actually, after 12 years of the fuel freeze, the average family has saved something like £2,000 as a direct result of his excellent campaigning. I will of course have further conversations with my right hon. Friend the Chancellor of the Exchequer, but it will be for him to decide on the next measures.
ParlaMint-GB_2022-03-17-commons.u69	The price of diesel is now so high that a typical van driver will be paying £800 more than they were a year ago. Meanwhile, wholesale oil prices have fallen by 28% in just one week. Those are prices millions of working people and families simply cannot afford, so why is the Transport Secretary still defending the record profits of oil and gas giants as they swallow up the pay of hard-working British people? Why does he not insist that any fall in the price of oil is passed on to the price of petrol and diesel at the pump?
ParlaMint-GB_2022-03-17-commons.u70	The hon. Lady is absolutely right about ensuring that any fall is passed on quickly. For example, I notice that Brent crude is down to $100 a barrel at the moment—it had been as high, I think, as $130 a week or two ago—and I want to see that passed on. But I am very curious as to why, given her deep concern about the cost of diesel, she voted against our move to freeze petrol and diesel prices this year.
ParlaMint-GB_2022-03-17-commons.u71	The Transport Secretary thinks he is on to a very clever point given that Labour votes against Tory Budgets, but I remind him that the last time the Tories tried to put up fuel duty, my hon. Friend the Member for Leeds West (Rachel Reeves), now the shadow Chancellor, forced a vote in Parliament to delay the increase. People need help in the here and now as they struggle to make decisions over which basic essentials to cut. This has to be a wake-up call for the Government. The crisis shows exactly why this country must never again be left dependent on the oil and gas of foreign despots My hon. Friend the Member for Sefton Central (Bill Esterson) mentioned the statistic of 1,000 electric vehicle charging units outside London—a stat that the Transport Secretary did not correct—which reveals the gross inequity of access in this country to EV charging units. The National Infrastructure Commission was also damning in its appraisal that the Government have no plan to deliver infrastructure. When will he publish the strategy on EV infrastructure that the industry is calling for, to help turbocharge the transition to cleaner transport?
ParlaMint-GB_2022-03-17-commons.u72	I have to say again that words are one thing—I understand the hon. Lady is doing her job—but action is another. When individuals vote against measures that will freeze fuel prices for British consumers and motorists, they can hardly then stand there and say, “Why aren’t the Government doing something? ” The Opposition could help: they could vote for it. On EV charging, I do not know where the stat of 1,000 chargers outside London comes from. It is completely untrue. There are nearly 30,000 chargers across the country, of which over 5,500 are rapid. According to the Society of Motor Manufacturers and Traders, we now have the fastest chargers in the west. I hope the hon. Lady will welcome that.
ParlaMint-GB_2022-03-17-commons.u73	9. What steps the Government are taking to encourage competition in the rail industry.
ParlaMint-GB_2022-03-17-commons.u74	As we create Great British Railways, we will work with the private sector to deliver for customers and taxpayers and restore competition through passenger services contracts as soon as possible.
ParlaMint-GB_2022-03-17-commons.u75	As international rail travel opens up post the covid pandemic, Eurostar still has an effective monopoly on services through Eurotunnel. What can the Government do to encourage other companies, in particular rail companies from Germany and Spain, that have expressed an interest in running alternative services through the tunnel?
ParlaMint-GB_2022-03-17-commons.u76	I am grateful to my hon. Friend for that question. I was fortunate enough recently to visit both Eurostar and Eurotunnel. What I can say is that the UK Government would support the growth of international rail services given the significant benefits they could provide for the UK. We stand ready to engage with partners to facilitate new routes where there is a commercial proposition to do so.
ParlaMint-GB_2022-03-17-commons.u77	In York, it is about not just competition but collaboration. We have 100 rail companies leading in rail operations and in high-end rail engineering. We find that collaborative approach not only benefits the industry but takes the future of our railways forward. What is the Minister doing to invest in rail clusters, similar to the clusters in which her colleagues in the Department for Business, Energy and Industrial Strategy are investing in other areas of the economy?
ParlaMint-GB_2022-03-17-commons.u78	What I can say to the hon. Lady is how important innovation is within the industry. With the new relationship between Great British Railways, the train operators and the innovators there are new opportunities to trial and roll out innovations more rapidly. Central to that will be the better management and exploitation of data, and GBR will be in an excellent place to do that.
ParlaMint-GB_2022-03-17-commons.u79	I call the Chair of the Transport Committee, Huw Merriman.
ParlaMint-GB_2022-03-17-commons.u80	We have gone from a situation where competition and franchising delivered £200 million in profits to the Treasury to the situation we have now, where the Government are funding rail to the tune of £15 billion. Some review of costs is of course inevitable. The Rail Minister spoke this week about workplace reform, so will she set out in more detail what those reforms will look like? Will the Government ultimately have the resolve to see this through?
ParlaMint-GB_2022-03-17-commons.u81	I am grateful to my hon. Friend for those kind words. The Williams-Shapps plan for rail, which we published last year, set out the biggest change to the railway in three decades. We are committed to bringing forward that sector-wide reform. The country owes a great deal of gratitude to all railway workers for their vital work throughout the pandemic in keeping the UK moving, but it is important to recognise that the pandemic ushered in a financial crisis across the sector leading to interventions by Government to sustain the industry. Moving forward, the railway must be financially and operationally sustainable for the future so that it delivers the service that passengers want.
ParlaMint-GB_2022-03-17-commons.u82	10. What steps he is taking to improve the (a) quality and (b) affordability of bus services in Newcastle as part of the Government’s levelling-up agenda.
ParlaMint-GB_2022-03-17-commons.u83	Our levelling-up agenda includes investing £1.2 billion to deliver better and cheaper bus services across England, as set out in our bus strategy, which is part of more than £3 billion of new spending on buses.
ParlaMint-GB_2022-03-17-commons.u84	The levelling-up White Paper promises to bring local public transport connectivity closer to London standards by 2030—so not as good as London, just less worse and not for another eight years. Newcastle needs affordable and accessible bus services now, not the cuts we are seeing. Transport North East’s bus service improvement plan sets out the improvements we need. Will the Minister fund it?
ParlaMint-GB_2022-03-17-commons.u85	We hope to make more announcements on the latest round of funding very soon. Officials from the Department are working with representatives from the city regions, including Nexus and Transport North East, to establish options for integrated multimodal ticketing. We have of course already announced £5.7 billion for transport networks in the eight city regions, and the north-east, the North East Combined Authority and the North of Tyne Combined Authority will receive their share of the funding once appropriate governance is in place.
ParlaMint-GB_2022-03-17-commons.u86	12. If he will review the airports national policy statement 2018 following the development of his Department’s jet zero strategy.
ParlaMint-GB_2022-03-17-commons.u87	We will not review the airports national policy statement at this time, but will consider the case again once the jet zero strategy has been finalised and there is more certainty about the longer-term impact of covid on aviation.
ParlaMint-GB_2022-03-17-commons.u88	As chair of the all-party parliamentary group on airport communities, I know that many colleagues would like to know whether, in the light of the jet zero strategy, we now have the opportunity to spread the benefits of cleaner air travel to a larger selection of airports across the United Kingdom.
ParlaMint-GB_2022-03-17-commons.u89	My hon. Friend is quite right that the jet zero strategy provides the opportunity to spread cleaner, greener air travel across all parts of the UK. For example, the UK sustainable aviation fuel industry could create up to 11,000 green jobs while helping to level up with production facilities across the UK. We will be looking at regional aviation in our forthcoming aviation strategy.
ParlaMint-GB_2022-03-17-commons.u90	I say in response to the Minister’s response to the hon. Member for Ruislip, Northwood and Pinner (David Simmonds) that the Secretary of State committed to review the airports national policy statement last July. It has to be done urgently. Since it was adopted four years ago, our net zero commitment has become law, we have adopted a carbon budget and we have held the chair of COP26. What we know about the jet zero strategy and the implications and difficulty of delivering sustainable aviation fuels means that the review must surely come sooner rather than later to incentivise change.
ParlaMint-GB_2022-03-17-commons.u91	The point that the hon. Member misses is that we have also had the jet zero consultation. A number of presentations have come in on that and we need to consider them carefully. There is a lot of interesting work going on and we will respond on that in due course, which will give us the context to consider jet zero and the impact of covid. We will then look at the ANPS again.
ParlaMint-GB_2022-03-17-commons.u92	13. What assessment he has made of the potential role of rail electrification in the Government’s net zero strategy.
ParlaMint-GB_2022-03-17-commons.u93	17. What assessment he has made of the (a) potential merits of and (b) UK capability for accelerating the decarbonisation of transport.
ParlaMint-GB_2022-03-17-commons.u94	Our transport decarbonisation plan sets out how we will decarbonise the transport sector by 2050. Electrification will play an important role in decarbonising all modes. As my hon. Friend the Member for Aldridge-Brownhills (Wendy Morton), the Rail Minister, has already said, over 1,221 track miles of electrification have been delivered in Great Britain since 2010, compared with 63 in the 14 years of the previous Administration, and we continue to expand the electrified rail network. For example, the integrated rail plan announcement confirmed that we will complete the electrification of the midland main line and deliver full electrification and upgrade of the trans-Pennine main line.
ParlaMint-GB_2022-03-17-commons.u95	I thank the Minister for her answer. We are in negotiations with Midlands Connect and her Department about upgrades and new investments on the Shrewsbury to Wolverhampton line, which is a very important line in the west midlands. Will she give me a commitment that she will look at that with a view to electrifying the Shrewsbury to Wolverhampton line as soon as possible?
ParlaMint-GB_2022-03-17-commons.u96	I can certainly give that commitment. I know that my hon. Friend has met with the Rail Minister and will do so again. As he knows, Midlands Connect is developing a business case for journey time improvements on the line connecting Shrewsbury, Wolverhampton and Birmingham. This will assess the enhancements required, the timescales for delivery and the costs and benefits of the scheme.
ParlaMint-GB_2022-03-17-commons.u97	Given the huge impact increasing transport costs are having on the cost of basic foodstuffs and day-to-day living expenses, does the Minister accept the Road Haulage Association’s estimate of an 18% increase in its members’ running costs? Is that another cost that will fall disproportionately on the poor? What action is the Department taking to ensure the poor are not expected to pay the price for a Government looking to escape the net zero tariff?
ParlaMint-GB_2022-03-17-commons.u98	The decarbonisation of transport will bring benefits to our economy, our society and the environment. That is well and truly set out in our transport decarbonisation plan.
ParlaMint-GB_2022-03-17-commons.u99	14. If he will ensure that funding for junction 10A on the A14 at Kettering is incorporated into his Department’s road investment strategy 3 from 2025.
ParlaMint-GB_2022-03-17-commons.u100	The findings of the technical review for the A14 junction 10A have been completed by National Highways and form the high-level strategic outline business case for the scheme (SOBC). National Highways have confirmed they will be happy to share the technical review with my hon. Friend and meet him to discuss these in due course.
ParlaMint-GB_2022-03-17-commons.u101	Residents in Kettering, Barton Seagrave and Burton Latimer desperately need junction 10A to be included in road investment strategy 3 from 2025 because with 5,500 new homes being built on the Hanwood Park development to the east of Kettering, Kettering will grind to a halt if this junction is not put in place. Would my hon. Friend be kind enough to secure a meeting for me with the Roads Minister so that we can progress this scheme?
ParlaMint-GB_2022-03-17-commons.u102	My hon. Friend continues to be the strongest possible champion for this scheme and for his constituents. I know he met the Roads Minister to discuss this recently, but I know my noble Friend the Baroness Vere will be more than happy to meet him again. Discussions about this scheme remain ongoing.
ParlaMint-GB_2022-03-17-commons.u103	I call the shadow Minister.
ParlaMint-GB_2022-03-17-commons.u104	The road investment strategy will now have to take into account remedial work on smart motorways. Just last week it was revealed that for almost a week prior to a tragic collision on the M4, vehicle detection technology, there to protect stranded motorists, had been broken. What is more, overnight it has been reported that one in six stopped vehicle detection cameras on the M25 are currently out of action. These serious flaws in safety-critical technology on smart motorways are continuing to put lives at risk. I beg the Minister to urgently address these serious flaws and, in the meantime, to reinstate the hard shoulder before more lives are needlessly lost.
