ParlaMint-ES-CT_2017-10-27-4402.1.0	The session begins. Mr. Carrizosa, why ask me the word?
ParlaMint-ES-CT_2017-10-27-4402.16.0	Thank you. Today, Madam President, ladies and gentlemen, the public, ladies and gentlemen who are seeing us today through the media, today is a sad, dramatic day in Catalonia. Today is the day when the coup against our democracy established in 1978 with the promulgation of our Constitution is definitely being perpetrated. Today, in your motion for a resolution, you, which consists of several pages, proclaim the independent republic of Catalonia and say that you are putting into effect that Law of Transition which you, with traps, absolutely undemocratically, promulgated on 6 and 7 September in this Parliament. That law which you passed with night and lightness, that law which you did not allow us, the parliamentarians of this Parliament, to argue, to amend, that we were not given the necessary time limits, that our right to go to the Council of Guarantees Statutes, which you approved with 72 votes, which our own Statute of Catalonia says must be with 90 votes. Grossly illegal laws, which would not pass the filter, at all, nor the Council of Statutory Guarantees, did not pass, that of the lawyers of the Parliament, did not pass the filter of the lawyers of the Parliament, nor the Council of Statutory Guarantees. Of course, they do not pass it from the Constitutional Court, they do not pass any European filter, in European law; all the European institutions have pronounced themselves for respect for the constitutions of the Member States of the European Union. But is it that you are already considered outside Europe, that you do not even respect European standards? Do they not respect international standards, the UN standards? Those laws that you passed at night, with an electoral board appointed to your finger, which in the end has not counted or anything; that referendum, which was a shame, which was an absolute democratic shame for all, you claim to give it validity. And based on those laws, which were a legal bodrio without validity here, in Catalonia, without validity in Catalonia, without validity in Spain and without validity in the world, which called them supreme norms, impregnable by no one, you are like gods, there are no courts that can challenge the laws that you invent. How is it possible for them to seek independence on that path, against everything and against all and against more than half of the Catalan population? Look, you, with that PR, want to deprive the Catalans of the Spanish passport, and you do, as always, have had to do throughout this process, lying, because the truth cannot stand their way to the challenge and the confrontation and the lack of democracy. They did it by lying. And what do you say now? That has been caused by the application of article 155 of the Constitution, provokes this that we are doing today, you say that you are doing it to defend our institutions. It's a lie, our institutions have taken care of you, you have taken care of them. And do you intend to make us believe that this is happening here would have stopped with the dialogue that you treacherously kept having on your lips? Do you want us to believe that this is so? Look, Mr Puigdemont, you've always been an independentist, you've recognized him. His party, with Mr. Mas at the front, drafted, put a comedero to put his people there, collecting from the public treasury, that we all paid it, to make the report of the Council Counsellor of National Transition, with the former magistrate of the Constitutional Court, Viver i Pi-Sunyer. And you, this whole plan, it was already written, Mr. Puigdemont, it was already written. You presented yourselves with an election program that said you were declaring independence in eighteen months. If they were already saying so... Then they invented a referendum, because they did not dare and shook their legs, they invented a referendum that you said you had won in plebiscite elections that, as such plebiscite, lost them, because you took 48_per_cent of the votes. You're not even the majority; you lost them, those elections. But, despite everything, as Mr Mas-Colell recently acknowledged, you preferred to show that that was going forward, on September 27, when you lost your little plebiscite. The same goes for Mr Baños of the CUP: "We have lost the plebiscite. But you forced and went forward, just as you forced and went forward with that referendum simulation you invented. Therefore, you have followed a path that always began for independence, only for independence and for independence: Consell Alderman of National Transition, program of rupture in eighteen months, false and anti-democratic referendum, overstepping the rights of parliamentarians on days 6 and 7, lack of democracy in a legislative assembly of an autonomous community, absolutely ignoring the Constitutional Court and the will of the rest of the Spaniards, with whom we have built, all together since 1978, with the overwhelming vote of the Catalans, we have turned this Spain into one of the cleanest democracies of all Europe and younger. And you – you – after all this and to run over, now, to justify your populist, anti-democratic and totalitarian behavior, are you going to say now that this is because Ciutadans, the People's Party and the Socialist Party apply the Constitution in Catalonia? Are you going to have the little shame of telling us what that's about? Well, look, what you've achieved all this time is to break the cohabitation. You have gone by the hand of a party that puts up posters that say, 'check them out,' let us point out to those who disagree, in an absolutely undemocratic way. In their seats they have people who call the opposition a carrion, they have people who call the European leaders who have spoken about the application of the Constitution in Europe, and some of them, by the way, are making them look at the mobile and they don't hear me. And you, all of you. [[applause]] , all of you..., and I tell you..., when Citizens, after an election, can restore democracy in Catalonia, I say to you: you will be able to go to all the municipalities of Catalonia without being declared persona non grata, which is not happening to us. And do you know what it is to declare a person "ungrateful with his acquiescence and without you opposing? It involves expelling that of the community, because that is what you would like to do with us, with dissidents, expelling us from the community, because you distribute Catalan meat, distribute them, and forget that there are many people who are Catalan and who do not commune, and that Catalonia is very diverse and that many of these Catalans are peaceful and concerned in their homes and do not go to their mandate. [[the vice president of the Government and councillor of Economy and History leaves the escó to leave the Hall of Sessions]] a... – look, Mr. Junqueras, I was going to talk about you now – they're not going to be sent to you... [[The Vice President of the Government and Councillor of Economy and History leaves the Sessions Hall. Widow's remorse.]] All right, Mr. Junqueras can see he doesn't want to hear how he's economically ruined Catalonia, he can see he doesn't want to hear... [[applause]] He does not want to hear how in 2013 he called for a week to stop the Catalan economy to press Spain, and that the worse, the better. He doesn't want to hear it. They do not want to hear how a journalist of an average who in the rest of Spain will not know it but that all Catalans are paying without knowing what with public money subsidized by the Generalitat..., the journalist who says he is happy with the flight of companies and the tilda of « gang of mobsters, the flight of Catalan companies. And he says: "Who has noticed that the Box is gone? What does it matter? The better, the worse, the better, because that's how independence is achieved. Look, you have led us on this path to confrontation, to social confrontation. You have divided Catalan society into two, you have ruined Catalan society. You, Mr Puigdemont, will not pass into history... You will pass into history because you have ruined Catalonia economically, you will pass into history because you have divided Catalans, you will pass into history because you have loaded yourself with the institutions of Catalonia's self-government, but you will not pass into history because you have left Spain, you will not pass into history because you will not get it, neither you nor the deputies who accompany you. To finish..., I'm finishing now, because the clock hasn't started and I don't know what makes it right, or it's less time or more... [[Don't worry about it. Don't worry ……]] Yeah.
ParlaMint-ES-CT_2017-10-27-4402.17.0	Mr. Carrizosa, tea here.
ParlaMint-ES-CT_2017-10-27-4402.18.0	Yeah, but I got started later. [[Widow's remorse.]]
ParlaMint-ES-CT_2017-10-27-4402.19.0	So, better, I mean you have more time. [[Rialles.]]
ParlaMint-ES-CT_2017-10-27-4402.20.0	Well, then, I'm going to finish, then. [[Some applause.]] I'm finishing up, then. The mission of politics... yes, gentlemen, that you are today very happy dividing Catalonia, as you are doing, unconsciously. The mission of politics is to make people happy and promise them not unrealizable dreams, but to improve their day to day. Yesterday I mentioned the president of my group to that person who has been waiting for five months for a pacemaker, given the passiveness of the Health Commission, which has not met in recent months. And the other day we were in a tent and a gentleman was sending us a message and he was telling us that thanks to the work that has been done in Parliament a primary care centre in Tarragona and an elderly residence in Reus has been opened, and that thanks. That's the day-to-day work that improves the lives of Catalans, not this one that divides us. [[Greetings.]] You only promise an uncertain future, we want to promise the Catalans that the implementation of the Constitution has to be translated into elections that give the Catalans the floor, that we can democratically throw those who have ruined, divided and charged the institutions throughout Catalonia. Those elections have to stop this Brexit that Mr Puigdemont is taking us to. We're going to put the ballot boxes. The role this you have written [[the orator shows a departure of fulls to the chamber]] breaks the most sacred of people in Catalonia, breaks the coexistence, deprives them of their citizenship, pushes more than half of Catalans to be what they are, which is: Catalans, Spanish and European. With this role – with this role – you have left the Catalans who do not follow you, who are less than half, you have left you orphans of government. This role is worse than illegal laws, as they are..., it's illegal...
ParlaMint-ES-CT_2017-10-27-4402.21.0	Mr. Carrizosa, you've run out of time.
ParlaMint-ES-CT_2017-10-27-4402.22.0	It's immoral, it's unethical. And that's why Citizens [[The orator rips him off.]] will not allow Spain to break [[applause]] We're not gonna let them divide us, we're not gonna let them ruin us, Mr. Puigdemont...
ParlaMint-ES-CT_2017-10-27-4402.23.0	Mr. Carrizosa...
ParlaMint-ES-CT_2017-10-27-4402.24.0	...and gentlemen of Junts for Yes.
ParlaMint-ES-CT_2017-10-27-4402.25.0	...has run out of time. [[The applause continues.]] Thank you, Mr. Carrizosa. The words of Mrs Eva Granados, of the Socialist Parliamentary Group.
ParlaMint-ES-CT_2017-10-27-4402.26.0	Good afternoon, Mrs. Forcadell. President, deputies and deputies, good late also to whom today they pretend to constitute the republic. What republic? I don't know how you see it, those who qualify themselves from the legitimate representatives of Catalonia. Who are we, who are all these people here? Aren't we legitimate? What are the others? What a model of democracy! What a model of pluralism! What a country model! An intolerant country, sectarians and outcasts. What do you want to do today? A mistake for the institutions, for the people and for Catalonia. Catalonia, which was joined by families of workers and workers who came and came from all the roots. Families that, colza to colza, with whom they were already there, we have raised this country with our hands. People who cherish the land that has seen their children and their nets born. Workers who put all the illusion and effort into the education of their children, some children we were going to learn to speak Catalan at school, that at home there were few books and people from Catalan until TV3 arrived. This generation that, little or much, we've been moving forward. These families, mostly working class, lots of Spanish speakers. A generation that has witnessed in silence the tsunami of the past few years, that looked all the way through this slow rhetoric of the new country, of the structures of the state, of the "Spain in robbing us, of the hatred that they feel as much their own as their city, their city or their country. And also many of those born here who don't want to let the division and the confrontation get flushed out. We all don't want to choose. Catalans who rise too much of an hour – well of an hour, well of an hour – and who do not believe that Spain is a totalitarian state, even if we want to reform it, we want to improve it. Catalans who do not want to rob us of the Catalonia we have made among all, Catalans who do not like the disjuncts – Catalonia or Spain –, we prefer the copulatives – Catalonia and Spain. Actually, a lot of us aren't Spanish nationalists or Catalan nationalists, you know? Many of us have only been interested in breaking them down. And before the flags? In front of the flags we like the Jorge Drexler sings: "It is worth more any chimera/ than a piece of sad cloth. We respect the flags, but we don't think we should split up because of them. In fact, we didn't really think about this whole process until you started talking badly about the land of our parents. Maybe we didn't set ourselves up enough in the senate until they replaced it with the stellate, the flag of the new country, which is just a few, like everything you do: just for yourself, just for your own. They don't make us choose, they don't have a right. We also want peace and peace. And we'll defend the lady you're abandoning today. These years we have become aware of what they are doing: a strategy paid with the money of all to try to inoculate our hatred of the other lands of Spain, a strategy to generate division and fracture between families, between friends, between working companies. And all this, gentlemen, is deliberate. How irresponsible! What country do they want to build with those who store documents that dispel the strategy to provoke a phase of high economic and political instability as we are patenting and that come out in their papers? What country do they want to build? You're very aware of what they're doing today, because they've been preparing it for years. But are you aware of how many people, families, entrepreneurs, retirees are at these times, how they are at these times? Are they aware of the concern and concern that has settled in the color and in the head of the Catalans? Are you aware that 30 per cent of the rich has already escaped with the announcement? What's going to happen tomorrow, what's going to happen this late? How many more companies will leave our country, how many workers will condemn the poor? You're unconscious and we won't let you. Catalonia is a plural society and we want it to continue to feel it, and it will continue to feel it, despite you. Catalonia is all of us, and the generality is all of us. Today the socialists are on the side of people who don't understand political adventures that end in ships against the rocks. Today the Socialists are with those who, anxious, have left the house thinking they are living in a country with guarantees and democratic rights and will go back there without knowing what a bunch of irresponsible deputies would have done. Today the socialists represent those who believe in a global world... that is, interdependence reigns, and that there is no sense of creating a small state on the margins of everything, without any recognition, impoverishment, fracture and no future. Is that what they want for Catalonia? Is that what they want for the country they say they think so much? The socialists have left us behind because this doesn't get here. Because, all the smiles of the revolt, which you say, we have received insults from "anti-democratics to think differently. We've been painted by their party where they tell us that we're bewitched, expelled from local governments to work for our country, and the socialist mayors are told: "You give up your ideas or we're out of town. This is happening in Catalonia. [[Greetings.]] The ones we're working for today's dialect bridges, we're going to have to listen to the president of his group more insults, less; we're working until later on for the Catalonian dialogue and self-government and we're going to continue working for these goals. [[Greetings.]] They insist on doing banner politics, when society is asking for dialing bridges. You give lessons of catalanity and patriotism, when true patriotism is shown to be united and not separate. Did they listen well to what they say? Did they read what they're writing? I am not just a disclaimer for the institutions of this country; I am also a disclaimer for the art of politics, which is the construction of the common good. Today, with the culmination of the DUI, they blow it all up. Today, putting in the way of this legal monster named the Transitional Law, it destroys everything. President, today's harvest today's warning that we can move from hero to traitor in five minutes. For some, we are from our foundation. And if you think about your own, you think for a few minutes in all that we share time and space in this land, you wouldn't do what you're going to do today. We've tried to put a stop to the end, but he's preferred to stay with the pure, he's put us before the abyss, and now they're taking a step forward. Lords of PDECAT, Esquerra and CUP: not in our name. We have denounced until our mouths hurt the costs of placing institutions out of the law. You know that a minority, however large it may be, cannot impose itself on the majority. They've raised political rights, they've crushed our state of autonomy. To reform him, ninety votes; to bury him, seventy-two? We do not want the independence of Catalonia, even though it seems to us an ideal as legitimate and for the same channels as our federalism. Faced with these hard hours for Catalonia's citizens, Spain too, we want to underline that socialism has been, is and will always be in the defense of the state of law, coexistence, social justice, self-government and democratic institutions. Faced with the denial of politics and institutions that are all of us, we will continue to work because, as soon as possible, we will return the law to the institutions of our country and to give the view to the citizenry in some autonomous elections, we will continue to work to find a political agreement. Because, even though you have all the bridges, you know that this can only be solved with the dialogue, the negotiation and the pact; a pact that we want to be considered on the part of all citizens. No wish to apply the 155 of the Constitution, but to emphasize that it is not an article on the initiative of the State, is the consequence of a deliberate exit from legality. If you, President, the government and the majority of Parliament that supports you no longer accept constitutional and statutory legality, the application of 155 is inevitable. The mistake we're about to make as many as we'll pay for all the Catalans and all the Catalans. The announcements that we would not participate in the vote on Junts' resolutions for the Yes, that we would leave the hemisphere, so as not to make us responsible for this huge mistake that we are about to commit. [[Greetings.]]
ParlaMint-ES-CT_2017-10-27-4402.27.0	Thank you very much, Mrs. Granados. Next is the words of Ms Marta Ribas, of the Grup Parlamentari Catalunya Yes, it is Pot.
ParlaMint-ES-CT_2017-10-27-4402.28.0	Good morning, or late morning, president, deputies, deputies, and especially the people you are today – sure, very much – are following us closely, and sure in many cases with for. I speak to them as representing many, many people who for decades fought for the self-government of Catalonia; to recover it, first, and to increase it, then. And that has always done so with the gaze that autonomy, sovereignty serve, above all, to improve the living conditions of the people, especially the most vulnerable. And that, therefore, by all means is the social cohesion, of each barri. I speak to you on behalf of our companies, our companies, who are also confronting each other today and facing 155 in the Senate, and who have done so with strength at the Congress, and in the places and streets of all Spain, when it is not always easy to do it, in the places and streets of all Spain. [[Greetings.]] I speak to them on behalf of parties and organizations that we were on October 1 defending the schools, that we made our streets on October 3 stopping the country and disbanded past claiming the freedom of the Jordis. In the name of these people whom I represent today, I say that today two great barbarities are being perpetrated. The first, Article 155, in the Senate, which seeks to overthrow the Catalan institutions and make a regression of rights and freedoms that will end up affecting the whole State – the whole State; an unworthy application of the Spanish Constitution that will impact on sovereignty, citizenship and the economy and, in change, will not resolve anything. But it's a big mistake – it's a big mistake – to respond to this barbarity with another barbarity. And that's what's happening here in the Parliament of Catalonia. We have told them and I repeat: they do not have democratic legitimacy to approve a unilateral declaration of independence. October 1st was a lot of things: a great mobilization, a disastrous and fatal and denouncing exhibition of police violence against the people, but not a reference; not a valid reference that gives a warrant. But it is that, above all, it is a hard mistake to plant the unilateral declaration of independence as the answer to 155. The DUI does not protect us and will not protect us from 155, all the contrary. What is needed is a front of broad social and political dimensions to face the consequences of 155 [[some applause]] and defend Catalan institutions. And with the DUI, what they're doing is getting bigger, precisely, this majority. Today in Parliament what we are proposing, what we are proposing, are proposals to offer solutions and to offer outings to sugar where they have brought us. Successes that show a clear rebuttal of Parliament to Article 155, but also to unilateral solutions, because they are not any solution; that they claim that repression and judicialization be halted; that they obviously demand the freedom of the Jordis. But we also propose that the effects of the... – that already have them – of partyism – partyism – and political chasm, in questioning the values of the masters, for example, of our schools, or in periling the survival of projects of social and youth entities, or in jeopardizing the economy and stability of our country. And we propose dialogue and spaces of vast majority and open debate of new mark constitute with the citizenry to speak to Catalonia from Catalonia, of the sobrieties, of all the sobrieties, but respecting that the territorial model, the model of state, we have to be able to decide in a referendum, in a true one, that still still pending. Together for the Yes and the UPC today, what they are proposing is to unilaterally deploy independence, and they are proposing to initiate a process that is a source of fact that Catalonia has already decided that we want to be independent. It is a process that is derived from a DUI. This is the great difference with us; we respect democracy always. And what it is that the citizenry can decide, all the citizenry of Catalonia, with guarantees, with a recognizable reference, that it can have real consequences, that we want it to be Catalonia, whatever it is, who decided the people. And that's still a hanging assignment. Today we have a déjà-vu, again abandon the claim of the referendum that has not yet been made. Let's hope the circle is back closed and we'll find each other again. We're still feeling it. With regard to the resolutions of the others, already the progress that has obviously been made that we are very – very – in agreement with, which is raised in some resolutions, especially in some of the Socialists – such as putting a stop to the 155 deployment, setting up a _dialeg table or calling for more support for the Barcelona Charter, for example. But the format of the House, and above all the current political situation, obliges us to vote on the proposals in bulk; this has led us, that there can be no debate on the matter, that is also the consequence of the current political situation. And so, I'm telling you, we'll vote not at all, because we don't agree with the unilateral proposals of Juntes for the Yes and the UPC, but not with all those who are today – with all those who are today – in the Senate they're liquidated our autonomy. [[Greetings.]] I don't want to end without talking to them from the heart either, because I am with an outraged person today; outraged at the People's Party and its nullity of dialogue; outraged at those who today have praised the Senate for nullifying an autonomy; outraged at the rulers who do not resolve the problems of citizenship, but who are dedicated to generating it or expanding it; outraged at the confusion, uncertainty, improvisation and surrealism in which they have converted the political and social environment into our country; outraged at the feeling that some – many, but some – were, with much power, the last weeks playing a game of chess, loaded with testosterone, where the Tableau was Catalonia [[applause]] And the peons, the citizenry; outraged with the effects that this game is having, and above all will have, in people's daily lives. And, as a sovereignist, I'm also very, very outraged, because today they make it easier for the end of the process to lose autonomy. When one cannot win the important thing is not to lose, and more when we are talking about our institutions and our self-government. There's been a lot of partyism and a little bit of eye-catching or country-watching, after all. And dol; dol a lot. It's about the citizen and it's about the deputy. I'm done. We all know that we have left our skins because this situation is resolved through the dialog, saving our self-government and allowing lives to advance in the will to hold more, which is ours, too. But he didn't make it. You have majorities in Parliament and the Senate trying to boost all the bridges that fall into the dialect. What we can guarantee is that our bridge remains firm, that we will not lose our commitment to defending democracy and the Catalan institutions at any time; but we will also work because the situation from now on is not transferred to the people, to the work centers, to the associations and entities and to their projects, nor to the environment and coexistence of our towns, cities and barrels. This is our commitment today to the city of Catalonia. [[Greetings.]]
ParlaMint-ES-CT_2017-10-27-4402.29.0	Thank you very much, Mrs Ribas. Next is the words of Mr. Alejandro Fernández, on behalf of the Popular Parliamentary Group of Catalonia.
ParlaMint-ES-CT_2017-10-27-4402.30.0	Thank you, President. On this black day for our democracy I will be allowed to build this intervention in two different blocks. The first, to answer the question that we all ask ourselves: how did we get here? And the second: what will we do to solve it? Last Tuesday President Montilla again referred in his appearance to the objective reasons for the Catalan disaffection. It's a respectable speech, well-meaning, but it's profoundly false. It referred to the judgment of the Statute. That sentence should not have been so traumatic when a few months later, and until September 2012, Convergence i Unió was voting for the PP all in favor of Congress, including labor reform. He usually talks about financing as well. President Montilla himself presented a well-intentioned financing model with Esquerra Republicana and Initiative in 2009. They announced it as the best in history, which should have been in force for twenty-five years. His members of Esquerra Republicana, showing the legendary loyalty that characterizes them, did not respect the twenty-five years, stayed in three months, which is what took them to say that it was a robbery. Financing, infrastructure, the Statute are debates, in modern societies and in prosperous societies, which can be held, where positions are legitimate. But, no, none of these debates intellectually justify the barbarity that has been committed here over the past five years. Here what has happened is that for five years you have taken the worst face of identity nationalism, the one that appeals to low passions, to selfishness, which deteriorates in an extraordinary way societies until that prosperous day. And here they've done it around three strategies. The first is that they have turned their separatist project into a populist project. Giovanni Sartori said – he knows that I like to quote what was the great enemy of populism – that to identify a populist project two elements must be identified: the story of the aggravation and utopian solutions. In this sense, his separatist project is a book populism. The account of the aggravation is evident: « Spain steals from us. Spain is of parasites, of pacifiers. They have repeated it to the point of satiety. Utopian solutions, magical thinking, of course, also: "Companies will not go away, they will fight to come. We'll tie the dogs to longanizas. We'll eat dessert ice cream every night. Reality has dramatically destroyed your account of magical thought, but it has allowed us at least one thing: now we know what you are like. They are willing to sacrifice a decade of employment, well-being and growth for pure fanaticism. Shame, shame, shame. That's what I should give them. [[Greetings.]] Two: manipulation of feelings in a perverse and exclusive way. All the satraps of history, all – it's a rather curious thing – before showing their true moral squandering they usually show themselves before public opinion as sentimental and curses. It's one thing... First they take a stand to the brave, without respecting international legality or national legality, and once they take that stand then they start talking about love, peace and dialogue. It is a perversity of velvet that must be recognized that it is very difficult to combat dialectically. It is Mr Puigdemont's dialogue: "I take the brave stand and then I ask for dialogue to consolidate the position, not to pull back, and I do so through blackmail wrapped in beautiful words. But if there's a real master in velvet perversity – now he's not going to leave with rosettes – it's Mr. Junqueras. Because you are responsible for all the anti-democratic trophies that were committed here on September 6 and 7, to destroy the Catalan economy. And what does Mr. Junqueras do when he has to bear the consequences of his actions? She starts crying. And she's crying so well. He behaves like that little brother who pinches you and just before returning you the pinch starts to cry. And your mother comes and mocks you, what you've done to the child. The child who pinches and cries is Mr. Junqueras. [[Some applause.]] Well, well, Mr. Junqueras, let's not swallow your crocodile tears. We know that they only want to manipulate the feelings of Catalan society. And I add it further, because that attitude is especially deplorable: we are willing to endure its endless and monocords perract; we are willing to endure its almost genetic predisposition to palace conspiracy; we are willing to endure its found, zigzagous, gloomy course; we are willing to endure that and much more; but, for God's sake, don't weep anymore – don't weep anymore. To adult life – to adult life – and to politics comes crying from home. Don't ever manipulate the feelings of Catalans again. It is outrageous and unacceptable. A little decency, a little shame. [[Greetings.]] Three: finally, stigmatization, cosification and exclusion of the political adversary. This is the worst, most dangerous of all. Look, for five years you've drawn up a list of alleged feces that don't allow for comparison in the history of humanity. At first they only included us, but it is that now neither the pointer is saved: Jordi Évole, facha; Isabel Coixet, facha; Serrat, facha; Sardà, facha; Rabell, facha; Coscubiela, facha; Arrimadas, facha; Iceta, facha; Macron, facha; Merkel, facha; Juncker, facha; Theresa May, facha; Mas-Colell, now facha; Enric Juliana, facha; since yesterday, Santi Vila, facha. [[Widow's remorse.]] One question, Mr. Puigdemont: Is there anyone on planet Earth or the Milky Way, except you and Mr. Nicolás Maduro, that is not fair? One, at least – one, at least? [[Greetings.]] In fact, you went yesterday for three_hours sharp and botifler. Does it not embarrass you to lead a political movement based on pointing out and excluding the one expressing the slightest discrepancy? Aren't you ashamed of yourself? Because he'd give it to me. How will we overcome this? Because we're gonna get over it. Since the double reconciliation, I'll talk about it later, and with more Spain. Yes, more Spain, because more Spain is more Catalonia, the Catalonia we have been proud of for centuries. Look, I'm going to explain to you in a minute and a half what Spain is, because you don't know it anyway, and among other things, because we're sick of them saying that Spain is dandruff, that it's cute, that it's "Spain or that it's a country of parasites, that's tired. Spain.......................................................................... through its Golden Century.................................................................................................................................................................................. What do you think? That's Spain. [[Some applause.]] From that extraordinary confluence emanates, in the plastic arts, Velázquez, Miró, Dalí, Picasso, Goya; in science, Monturiol, Isaac Peral, Severo Ochoa, Ramón and Cajal; in the letters, expressed through our four wonderful languages, Cervantes, Josep Pla, Ausiàs March, Lope de Vega, Rosalía de Castro; and from that very extraordinary cultural heritage that we all share, Spain is born today, one of the great democracies of the world, a true pillar of democratic Europe, as you have been reminded of all the great world leaders in recent days. No, friend, no, Spain is not dandruff, Spain is wonderful. And you know what? Precisely because Catalans are Spanish, it is even more so. That's Spain, in a minute and a half. [[Greetings.]] But Spain is something else. Spain is reconciliation, it has always been. And the double reconciliation of which my good friend and colleague Juan Milián speaks very often, and has written about it, consists in reconciliation, first, among all Catalans, although today, unfortunately, we are so divided, and then, the reconciliation of Catalans with the rest of the Spanish. It won't be easy. The damage they have inflicted on Catalan and Spanish society is tremendous, but we are going to get it and we are going to get it because we have done it together in the past. It will not be easy, but that task – and I want to solemnly transfer it as the spokesman of our parliamentary group and to convey the message to Catalan society and to the rest of Spanish society – the deputies of the popular group will devote our effort, our vocation, our tireless energy, our generosity when circumstances demand it, because there will be no more beautiful and beautiful task that we have to face in our lives. Visca Catalunya and live Spain. Thank you very much. [[Greetings.]]
ParlaMint-ES-CT_2017-10-27-4402.31.0	Thank you very much, Mr. Fernández. Next is the words of Mr Carles Riera, of the Popular Unity Candidate - Constituent Creed.
ParlaMint-ES-CT_2017-10-27-4402.32.0	Well, thank you, President. First of all, on behalf of our parliamentary group we want to dedicate this intervention, this historic and solemn moment to the Jordis, Jordi Sánchez and Jordi Cuixart, which today symbolizes what we have suffered, suffer and suffer the repression of the Spanish State. Jordis, this is for you and we won't stop until we get you home. [[Perlongats applause.]] Today, in this Parliament...
ParlaMint-ES-CT_2017-10-27-4402.33.0	One moment..., one moment, Mr. Riera – one moment, Mr. Riera. I'm sure the audience watching the act will keep the shapes. They already know that there can be no public displays of consent, approval or reprobation. I'll let you know. Thank you. I can go on, Mr. Riera.
