ParlaMint-BE_2018-01-10-54-commissie-ic793x.u1	Debates of the European Parliament Mr Crusnière's 22543 was converted into a written question.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u12	Thank you, Minister, for the detailed answer. The aim must be to ensure that rates are as low as possible. Attention should be paid to this in the drafting of the CSFs and the conclusion of contracts. Telephone is often one of the few contacts with the outside world for the prisoner. If prices are too high, this can put a brake on maintaining the necessary contacts, especially when telephone calls are made with abroad.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u13	Mr Minister, I would like to return to a dossier on which several questions have been raised in the past, in particular the famous Panorama dossiers. A number of issues relating to the research promised remain unclear. In reply to my previous question, you stated that after you had heard from the Supreme Court that you could not examine those files in the context of the current audit, you informed the victims of this and advised them to lodge a written complaint with the Supreme Court of Justice. You also provided them with the appropriate form. According to my information, several interested parties have indeed lodged an individual complaint with the Supreme Court of Justice. However, it held that it had no jurisdiction and relied on Article 259a of the Civil Code. That article states that the Supreme Court is not competent to rule on the content of a judgment. However, the complaints concern the progress of the expertise and the judicial procedure preceding this judgment, in particular the medical expert reports drawn up by certain legal experts. You also stated at the end of 2016 that your cabinet had contacted the Flemish Patient Platform, but that it did not wish to cooperate. According to my information, there have been several consultations with regard to the establishment of the register and the associated deontological code between your cabinet and the platform. I therefore have the following questions, Minister. Firstly, is the Supreme Court of Justice or is it not responsible for examining the so-called Panorama files? If not, do you agree to their interpretation of the said article? Then who is competent? If so, for what reason has the Supreme Court indicated that it does not wish to investigate? Secondly, according to my information, your cabinet was indeed aware of the decision of the Supreme Court of Justice. There would also have been several invitations to sit with alleged victims of false medical reports in the preparation for amendment of the law establishing a register of legal experts. Why didn't you go into that? Have you had any contact with the victims in any way? Thirdly, what steps will you take in the short term in order to be able to investigate the listed files, as you promised after the transmission of the Panorama portage in question? Finally, what specific question did you contact the Flemish Patient Platform? What was their answer? What were the results of the contacts?
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u14	Mr Van Hecke, first of all I would like to refer to my answer to your question of 16 December 2016, which already addressed the powers of the Supreme Court of Justice. You know that I cannot intervene specifically in the handling of complaints by the Supreme Court. From what has happened, I can only conclude that the complaints lodged apparently did not meet the formal requirements for carrying out an investigation. For example, a number of complaints appear to relate to ongoing procedures. It is not clear at what stage these procedures are at. Here too, it goes without saying that neither I nor the Supreme Court can intervene in disputes before the courts. Depending on the state of the case, defences are still possible. What I can confirm to you is that the audit carried out by the Supreme Court at the time at the peace courts and the police courts had similar consequences. As a result, the project leaders of the working group on the national register in different arrondissements explained the deontological code developed and the amendment of Article 972 of the Court's Code in relation to incompatibility. There is therefore a great deal of attention to be paid to this problem. At the request of one of the complainant parties, the Flemish Patient Platform was contacted, which could not provide us with any concrete information.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u15	Minister, it remains problematic. We know what caused that broadcast of Pano. At that time, there was a promise to look into certain files. It is true that there are a number of limits. This creates the feeling that people are being sent from the locker to the wall and sure that they can't get anywhere with their complaints. That's the problem. This answer will not give them much hope again, I fear. However, I think it is important, if there are such complaints, that people can go somewhere. Of course, the body must be competent, but we must be able to deal with complaints somewhere, otherwise frustration about the legal system will continue to grow and the credibility of justice will be compromised.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u16	Mr President, Minister, by judgment of 21 December 2017, the Constitutional Court annulled a number of provisions of the Potpourri II Act, which included, inter alia, the virtual abolition of the Court of Assistes. The idea was to have all the cases for which the parole court sees mitigating circumstances and for which the prosecutor does not ask for life imprisonment dealt with by the correctional court. In practice, that goes for almost all crimes. The Constitutional Court has now ruled that this regime is contrary to the Constitution. There is a risk that people in the same situation will be treated differently because in one case there are mitigating circumstances and not in the other. You would already be working on a modified proposal, with some sort of "criminal chambers." You have already communicated about this in the past. The judgment focused on the provisions relating to the Court of Assists, but the Constitutional Court also destroyed other elements of the judicial reform. It was thus considered that the provision allowing the prosecution to withdraw a case from the judicial court and bring it before the police court on the basis of mitigating circumstances is contrary to Article 13 of the Constitution. A court of inquiry or judgment must be able to exercise control over that. In addition, according to the Constitutional Court, it is not possible for a search to take place in the context of a mini-instruction, without a judicial investigation or real control of an investigative judge. Finally, the Constitutional Court also annulled the proposal that suspects can only appeal against the first extension of their arrest during a criminal investigation and no longer if that detention is maintained for a second, third or fourth time. The destruction would have no effect on the decisions already taken under this scheme. I therefore have the following specific questions. Firstly, what is your general response to the destruction of these five measures by the Constitutional Court? Secondly, how do you intend to proceed with these proposals? Would you like to adapt it to meet the criticism of the Constitutional Court? In what way will you do this for each of the destroyed provisions? We know your answer regarding the Court of Assists, but your plans are less clear about the other provisions that were also destroyed by the Constitutional Court. Thirdly, what time will you be able to come to Parliament with appropriate proposals?
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u17	Minister, before you answer, could you wait a moment? Mr. Maingain, who is on another committee for the time being, will join us. Thus, your answer will be heard as widely as possible. [[Sentiment]]
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u18	Mr Minister, the current situation in the Committee on the Interior is that we may have to wait a while longer. I will therefore allow you to reply to Mr. Van Hecke.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u19	Mr Van Hecke, in his judgment, the Constitutional Court has set limits to the technique of correcting crimes. I welcome the clarity of the judgment, even though it will lead, at least temporarily, to new cases of assistance and the consequences of the judgment should be further examined. In any event, it is important that the Constitutional Court explicitly states that the effects of the provisions which have been destroyed are maintained in respect of decisions taken on that basis before the date of publication of the judgment in the Belgian Official Journal. As you know, we are currently working hard to reform criminal law, criminal procedure and criminal enforcement law, and the so-called Potpourri laws were provided for as temporary measures in anticipation of this. I can reassure you that the newly designed codes of conduct will be in line with the judgment delivered by the Constitutional Court, not only in terms of the correction that will no longer be provided for, but also in terms of the other provisions which have been destroyed, including mini-instruction, pre-trial detention or the rules for the execution of penalties for foreign nationals. The preliminary draft that I have already submitted to the government in the summer of 2017 provides for a popular jury of four members who assist three magistrates in the professional seat. In addition, this preliminary draft provides for an appropriate procedure which takes advantage of some of the advantages of the old assize procedure, in particular with regard to the administration of evidence. The criminal chambers composed of a jury will also have jurisdiction over press offences and political offences in accordance with the Constitution. The calls will remain possible. Just as this happened before the Potpourri II Act, these texts on criminal chambers are also the subject of a survey of the site. The Committee of Experts, which consists of lawyers, academics and magistrates, who draw up a new Code of Criminal Procedure, has already received the texts. The draft law will then be submitted to the government, after which the opinion of the Council of State can be obtained.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u20	As far as ashes are concerned, we know what alternative design you're working on. However, I am not sure that will suffice. You can, of course, make an initial assessment on the basis of what the Constitutional Court says on the basis of the destroyed provision. Whether this new provision will pass that review will have to be proved later. As far as the other provisions which have been destroyed are concerned, I understand that the preliminary draft on the establishment of a new Code of Criminal Procedure takes account of all the comments made by the Council of State. The mini-instruction on house searches will therefore not be carried out. I assume that in the new system this will be the jurisdiction of the judge of the investigation, rather than that of the investigating judge. However, that is a very different discussion that we will have later. In any case, I look forward to the texts, both on the new Code of Criminal Procedure and on the alternative to the Assisenjury. Thank you for your answer.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u21	Minister, my question was originally addressed to Mr.Jambon, and it was then redirected to you. It is obvious that it is addressed to the whole government. In the fight against terrorism and radicalism, we have a dispute. For my part, I pleaded from the beginning that the plan should be dealt with in a national way, but unfortunately the bulk of the government's plan is located in Brussels: it is the Canal plan, to which Vilvorde is added. Another very embarrassing aspect of this plan is that one creates a link with mosques. However, we know that the terrorists who are being prosecuted by our services did not attend mosques. Here, through the actions carried out by the BELFI cell, controls in mosques are organized very regularly, which resemble police raids and pose a number of problems. Last year, I had taken some informal initiatives and I had invited your colleague Mr Jambon to meet with the Muslim authorities, in particular the Union of Mosques in Brussels. The problems on the ground were then presented to him, including the construction of lists of students of Islamic religion classes in mosques. This reminds us of a dark period in our history: this is what happened in the inter-war period with Jewish families. This approach by BELFI was carried out in particular by ONEM inspectors. At that meeting, Minister Jambon pledged to put an end to the listing of Muslim youth populations in mosques. At that meeting, other problems had been raised by representatives of the Muslim community, including the closing of the streets during these checks, or the fact that these checks were conducted on Friday prayer day. It had been requested that instead of closing the streets and coming at a time of high frequency for prayer, a letter should be sent to the authorities of each mosque asking them for documents or obligations for which the services wished to have information. Since then, Minister Jambon has acted, and there is no longer a children's tab in the mosques. Unfortunately, however, controls that are more like raids into neighbourhoods and mosques continue. Of course, Minister, I am asking you, and through you, all the powers of the government, the Prime Minister and also the Minister of the Interior. How has the BELFI cell been made aware of this situation? Was a slogan given? What is the status of the government's commitments not to carry out the checks during rushing hours, prayer hours? How can we explain that some mosques have been controlled several times under the same conditions? Minister Jambon made a commitment to prevent controls from being carried out. You will understand that some volunteers are not familiar with the management rules of the NSOs. What about it? Can we not consider editing checklists of documents useful for these controls that could be sent to managers in order to avoid giving this image? Mr Minister, these actions on the ground are obviously very counterproductive. I really think that when we talk to the leaders of these institutions, they are allies of the government, allies in the fight against radicalism. Unfortunately, with this type of action, counterproductive effects are not at all positive, which are not desirable at all.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u22	Mr Kir, the BELFI operations organised under the aegis of the General Prosecutor's Office in Brussels reflect on the ground the multidisciplinary approach aimed at tackling the sources of terrorist financing, the problems of false documents, weapons and narcotics. In addition to the Federal Judicial Police and the local police, various inspection services (the tax authorities, the Regional Inspectorate, the Social Inspectorate, as well as municipal officials responsible for the environment) are involved in the checks because they are particularly aware of local issues. Federal police officers are specialized and have acquired, over the years, a thorough knowledge of the realities of the field. They are part of a specialized team of the PJF. Control only makes sense if the premises are open and if investigators can meet with officials. This justifies the fact that the actions are carried out, with the utmost respect of the faithful, around the moments of prayer. The conduct of screening officers and their behaviour are adapted to places of worship. The conduct of religious services and prayer are not disturbed by the controls. In the same way, controls in the horeca sector are conducted when staff and customers are present, ensuring that the activity is kept to a minimum. Finally, it seems to me important to recall that from 20 January 2016 to 13 October 2017, 202 legal persons were checked under the jurisdiction of the Brussels Court of Appeal. The activities of these legal persons concerned 42 places of prayer but also, for the overwhelming majority, crèches, establishments in the horeca sector, sports clubs, schools, etc. As a result of these controls, 336 cases were opened by the various federal and regional public services, 180 violations were found and 53 closures were decided. In addition to the controls carried out under the BELFI project, ASBL's administrative controls are also organised by the Brussels police areas as part of the Canal Plan and their ongoing work. These activities also fall within the competence of my colleague Jambon. As part of such controls, the local police and the Justice FPS have drafted a checklist that can be used to request documents and information useful to the controlled NSOs.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u23	Minister, thank you for your answers. However, you have not answered many of my questions. In fact, the checks continue to be carried out during the rushing hours, during Friday prayers, and the method continues to close streets. That's not right at all! Your answers cannot satisfy us. It is essential for the government to meet so that this situation can truly cease. It's counterproductive on the ground. I would therefore like to ask you a new question. Minister, have you arrested anyone in the mosques who is a radicalist or terrorist? It's practically harassment. We keep closing a street on Fridays at the time of prayers, when the crowd is high. But there's nothing! At some point, would it not be more reasonable to contact these people, as we must do, and to tell them what documents they are required to submit? Can we imagine for a second, in this country, treating synagogues and churches in this way? I think we have to distinguish between places of worship and places of commerce. In your answer, you make no distinction between these places. However, I was asking you about the way in which places of worship and the faithful are dealt with today in our country. If you had told me that there were indeed a number of criminals, people to be prosecuted in the context of radicalism and terrorism, it could have been said at that time that there were a few cases. But there's nothing! Not a word, not the beginning of the beginning of anything. And yet, there is no satisfactory response from the government. Minister, I really ask you to talk to Mr Jambon and the Prime Minister. The Muslim community awaits only a gesture from the government to work with it to combat these scourges. The way the government currently operates is really negative and counterproductive. That is not how we will build trust among the population in all its diversity.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u24	Joined Questions Nos 22380 and 22798 by Mr Degroote shall be converted into written questions. Question No 22809 by Mrs Lahaye-Battheu is postponed.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u25	Mr. Chair, Minister, I wish you a happy 2018 year. I think we all received a letter from Jean-Paul Tieleman, dated January 1, 2018, concerning complaints from certain victims of the attacks of March 22, 2016 and their relatives. In this letter, Mr. Tieleman claims that a large number of victims were "remitted to work after being morally shaken by the insurers' medical consultants". Processes that victims' psychiatrists do not hesitate to describe as "maltreatment". We are 21 months after the attacks and Tieleman says that "a very large number of victims, despite Assuralia's promises made in the presence of Charles Michel, have never benefited from the slightest cent of provision". Mr Tieleman described the situation of the victims who had chosen to initiate proceedings before the courts, their aim being, according to the lawyer, "to prevent the influence over them of the insurers' medical advisers" and to be applied "the so-called indicative table of damages". Despite the promises, these victims would not have received any euro of compensation. In the wake of this letter, which was also publicized on 4 January, the spokesman for Assuralia replied in the press that this situation was in fact only among the victims who, on the advice of their lawyers, refused considerable provisions ranging from 50,000 to 250,000 euros. According to Assuralia, while many victims accepted the advantageous proposal, some rejected it, while accepting it did not imply a waiver of their right to challenge and to seek more amicably or judicially before the courts. We can all regret this imbroglio. I would like to clarify the situation of the victims and their lawyers regarding the role of insurance companies and the conditions of compensation through them. Minister, have you also read this letter and how did you react? Do you intend to receive this lawyer and the victims concerned? Were you aware of the problems described in this letter? How can this be addressed in the short term, given that the situations described are of course unbearable for these victims and their relatives? On the merits, what about the arguments put forward by the lawyer and the spokesman for Assuralia? Elements do not go in the same direction. What about it? Could you clarify the situation so that there is no misunderstanding for the victims.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u26	Minister, Mr Vanden Burre has already outlined the problem. On 1 January, we all received a letter from Master Jean-Paul Tieleman, representing a number of victims of the terrorist attacks on 22 March. It denounces the way in which insurance companies and their doctors deal with victims of acts of terror. For example, a number of victims would not have received any compensation from the insurer. In addition, the medical advisers of the insurance companies would force victims to get back to work far too quickly. Hence my next questions, Minister. Firstly, are you aware of this letter and of the problems it raises? Is it true that some victims have not received any compensation? Secondly, following the terrorist attacks in Brussels, the Commission for Financial Aid to the Victims of Intentional Violence and to the Occasional Saviors has set up a unique window for the victims of terrorist acts. The conditions for eligibility for compensation were also relaxed. The maximum amounts of those fees were increased. Can you give an overview of the amounts paid by this committee since the attacks? Thirdly, can you also give an overview of the amounts paid by insurance companies to the victims? What steps will be taken to facilitate payment in the future? Fourthly, in the final report of the parliamentary committee of inquiry, the recommendation was made that in future a system of subrogation should be introduced, in the first instance the government which would award and pay compensation to the victims. Next, the government would recover those fees from the insurance companies. What steps have been taken in the meantime on this recommendation? When can this new system come into force?
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u27	Monsieur Vanden Burre, Mrs Van Vaerenbergh, your vous souhaite également une bonne année, a happy New Year. No official correspondence on this subject has been sent directly to us. We have read this letter through the press. Several victims mentioned difficulties with their employer's insurer in relation to their return to work. They felt that the recovery was too fast. The problem of return to work, forced by insurance following the reports of their experts, does not fall within the competence of the SPF Justice or the Commission for financial assistance to victims of intentional acts of violence, but rather within the scope of legislation on industrial accidents and medical assessment. According to the information at our disposal, the vast majority of victims who choose an amicable procedure with insurance have been offered provisional amounts and this is still the case. The insurances have taken into account the agreement of 17 March 2017 between Assuralia and the federal government. If provisional amounts were not paid to certain victims, it was because these victims, through their lawyer, made a direct choice to bring legal proceedings against the insurer, without going through amicable settlement, which seems to suspend all the compensation proceedings until the court's decision. It is the responsibility of a lawyer to advise his clients of the risks clearly associated with choosing to directly favour legal proceedings against insurance. The settlement of the damage resulting from terrorism is in the hands of the TRIP, Terrorism Reinsurance and Insurance Pool, which was specifically established for this purpose by law of 1 April 2007. The intervention of insurance is carried out within the limits of the provisions of this Act. The Damage Settlement Committee has decided that all damage, both physical, material and moral, should be reimbursed at 100% by insurers. As the Commission for Financial Aid to Victims of Intentional Violence and to the Occasional Saviors intervenes only in the alternative, it can only continue to deal with the investigation to obtain financial relief once there are final decisions on the amounts paid out by the insurance. However, emergency aid has already been granted, totalling EUR 1 663 000, in particular to direct victims of the attacks that were hospitalised and to relatives of deceased victims. Victims who could not claim insurance have also been paid out for a total of EUR 606 750. From the Department of Justice, I cannot provide you with figures on the benefits already paid by the insurance sector. A system of subrogation is currently being developed within the framework of a draft law which is being prepared to amend the law of 1 August 1985, in accordance with the conclusions of the parliamentary committee of inquiry.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u28	Minister, thank you for your full answer. I'll read about it in detail later. You confirm the suspension of any compensation from the moment a legal action is instituted against an insurance company. These are, of course, exceptional cases, but a solution should be found. To this end, it will be necessary to discuss with lawyers how they advise their clients. In any case, it is unthinkable that some victims and several of their relatives will not receive any compensation on the grounds that proceedings are ongoing. Then, beyond your answers, it seems to me essential that we should be able to address this problem in depth. My colleague Stefaan Van Hecke and I have asked for the follow-up committee of the Committee of Inquiry into the 22 March attacks to take up the case, so that no victims or relatives are left on the side. I think we are all involved in this, because this is a priority issue. We will therefore continue our work in this respect in the Monitoring Committee.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u29	Thank you, Minister, for your reply, which I agree with. Perhaps the problem of insurance companies, when everything takes a very long time and certainly when a legal discussion is taking place, is even wider than the discussion about the payment to the victims of terror. Perhaps it is necessary to examine more quickly how things can be looked up. Advance payments may already be made and it is necessary to check whether certain insurance companies are sometimes not doing everything they can to put the whole dossier on the line, so that no advance payments have yet to be made. You reply that a draft on the subrogation system is under development. Is there a timing on this?
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u30	You know our timing: yesterday.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u31	Mr Laaouej, you can ask your question 22726.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u32	Mr President, it seems to me that I asked for this question to be turned into a written question.
ParlaMint-BE_2018-01-10-54-commissie-ic793x.u33	It'll be done.
