ParlaMint-BE_2018-05-15-54-commissie-ic892x.u1	Mr Janssen is present and can ask his question. The questions of the other Members will lapse.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u12	Thank you, Minister, for your comments. I support you in that. Most of the time I am here at Question Time and I have to see how colleagues come in later and are then put forward. That is not always pleasant, but we know how Parliament works and we do understand the situation of our fellow Members. The Flemish employers' organisation Voka advocates the creation of a third statute between that of employee and self-employed. The justification is that this statute would respond to new forms of work, such as job sharing or freelance work. According to Voka, a third statute, which combines the protection of the employees' status with the autonomy and flexibility of the independent status, can provide a solution. Firstly, how do you assess Voka's proposal to introduce a third statute? What benefits do you see for employer and employee? Secondly, have you received the signals on the subject yourself from the business community? Thirdly, is the same sound audible in Wallonia? Fourthly, have you discussed this with the Minister for Labour? Fifthly, will you discuss this with the Ministers for Labour of the Länder?
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u13	Thank you, Mr Janssen, for your question. I have taken note of Voka's proposal and I want to be clear about it. In my view, it is not the right way to create a third statute for three reasons. Firstly, such a measure will clearly create administrative burdens and costs. Secondly, a third statute would make our labour law even more complex. Finally, it would lead to legal uncertainty. In particular, during this legislative period, the Federal Government contributed to the improvement of the social status of self-employed persons, including the increase in the minimum pension, the right to bridge, the reduction in the month of care to 14 days, the second pillar of the pension for self-employed persons and the right to 105 service cheques for self-employed persons becoming mothers. It is also time to put an end to the myth that the status of self-employed workers would be inferior status. The status of the self-employed, which has been strengthened, has been fully adapted to new forms of work created by e.g. digital platforms or the collaborative economy. On the other hand, it is necessary to clarify the boundaries between the existing statutes through the revision of the Labour Relations Act. The current law has not been amended to make a ruling on the nature of employment relations. The amendments to the law should improve and facilitate the monitoring of compliance with the different criteria. The general criteria will be given the role they deserve, in accordance with the current case law of the Court of Cassation. I am also in favour of further harmonisation between the social status of the self-employed and that of the workers. This harmonisation should be achieved in consultation with the representative organisations of the self-employed in the General Management Committee for the Social Status of the Self-employed. I have already cited a number of reforms, supported by a majority, which were implemented together with stakeholders. The measures were implemented with the introduction of the specific government responses which take account of the particularities of the self-employed. I want to continue along this road and listen to the expectations of the self-employed.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u14	Thank you, Minister, for the clear answer. Indeed, the current government has already done a lot of things. You mentioned a large number of them. Nevertheless, I am pleased that you are prepared to change a number of things about the social status of the self-employed in the future. At that point you will certainly find a partner in our party.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u15	Mr.President, Mr.Minister, it appears from a study conducted in June 2017 of ten federal bodies that entrepreneurs regularly deal with, namely the FPS Economy, Finance, Social Security, Employment, Labour and Social Concertation, as well as the Federal Pension Service, INASTI, INAMI, ONEM, ONSS and AFSCA, that 66% of the responses by telephone and 65% of the responses by e-mail were correct and considered complete by the investigators-entrepreneurs. However, according to the Neutral Union for Independents (NIS), only 38% of telephone responses were considered correct and complete. In addition, 22% of calls and 23% of emails remained unanswered, while one in two emails received a response within 48 hours. This study was conducted by the MCP Quality Services Market Research Bureau through anonymous calls and emails. In essence, the expertise and accessibility of these federal services are weak. With regard to key points of contact for entrepreneurs, I believe it is essential to make them effective and accessible. The administration must be responsive and must support citizens in their entrepreneurial projects. Minister, are accessibility issues related to a lack of staff? If so, is it possible to recruit them? Is there a specific deadline for employees to respond to emails? Is there a quality control of the responses sent by staff, by rereading or by sampling? Are services subject to regular assessments? Is there adequate training for staff? Have you been aware of this study? What are your intentions in this regard?
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u16	Mr President, Mr de Lamotte, I would like to make it clear here that I have specifically asked the President not to postpone your question despite your absence.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u17	Minister, excuse me, my train was 42 minutes late because of the presence of cattle on the tracks!
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u18	Dear colleague, the minister made a little irony because he had proposed exactly the opposite.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u19	Mr President, ladies and gentlemen, I see that we can trust Minister Bellot. When he says he's delaying you, he's doing it, even if he's cluttering the tracks! More seriously, Mr. de Lamotte, you asked an important question. But before I do, I have to tell you that I will have to answer some of the questions on our agenda with a lot of numbers, which I think would have been better suited to written questions. Mr de Lamotte, it is essential that the administration can provide quality service to citizens. This is the definition of public service and it is naturally understood that it is available. The results of the survey you are referring to showed, for the AFSCA, that it responds to 100% of telephone calls as well as 100% of emails sent with the average waiting time before the lowest stall, namely 0.11 minutes. This is the best result of all federal governments. Given this availability and these results, it can be noted that the FASA is the number one federal jurisdiction in this area. Key performance indicators are assigned to staff involved in case and e-mail processing, particularly depending on the department in which they work. Answers to e-mails are in principle not reread in order to speed up the handling of questions. However, depending on the complexity of the question, a rereading will sometimes be carried out. The AFSCA is taking initiatives to improve the quality of its services, such as the contact centre "Financing" random outgoing calls are made to callers to judge the professionalism of the reception that our employees have given them. All AFSCA collaborators are assessed at least once a year, as in the federal public service as a whole, notably on the basis of the key performance indicators I have mentioned above. The audits currently under way will, if necessary, further improve the quality of service to the public on certain axes, but, as I indicated to you, the AFSCA is number 1 in this area. As far as INASTI is concerned, it is accessible in several ways, via the reception in its various seats, during the permanent visits to the Pointpensions, by e-mail, by telephone. INASTI has also recently been reached through social networks. Of course, it is important to be in tune with modernity in order to further increase this availability and useful exchanges. According to the survey to which you refer, 50% of calls to INASTI would not have been received. This may be surprising, but an in-house analysis shows that this is based on a technical problem that sometimes arises when it comes to receiving certain anonymous telephone calls. These "unreceived" calls represent only a limited percentage of these incoming anonymous calls. As the survey was conducted on the basis of an anonymous number, the results were indeed biased. INASTI therefore makes every effort to solve these problems. It should also be noted that the policy of INASTI is to call back in the event of a missed appeal. But since these were anonymous numbers, it is of course difficult to recall them. This also refers to the "biased" aspect of the results. According to the second quarter 2017 statistics on calls to the Pension Service, received through call center 1765, INASTI responds to 96.41% of calls. It should also be noted that the number 1765 proposed by INASTI is free of charge. With regard to e-mails, all INASTI operational services apply the same standard, which is included in the administration contract: respond to 95% of requests for information within 30 days. This period is therefore stricter than that laid down in the Social Insurance Charter, which proposes a period of 45 days. According to the recent mid-2017 report, the average time for the effective processing of e-mail information requests was 9.26 days. With regard to the regular evaluation of services, these response times are monitored on an ongoing basis and are reflected quarterly in the activity report. Where the results are less good, steps shall be taken to rectify them in the following period. We're always trying to be in a dynamic of improvement. Through the staff evaluation cycle, all INASTI employees are also assessed on an ongoing basis in terms of customer orientation. INASTI ensures, on a structural basis, the continuous development of its staff and has already made efforts that can be described as notable over the past period. In 2016, there were 3,509 training days, an increase of 1,712 over 2015. The quality of the services offered by INASTI is crucial to supporting self-employed workers as part of their social status. One of the objectives of this majority is to relieve them of a series of administrative harassments that can be linked to them and to strengthen the quality of management of their files, as well as, of course, the quality of the information provided. Mr de Lamotte, the improvement of services to the public is continuing. Thus, the statistical call centre application that existed only for the telephone calls of the Pensions Service will be deployed for all operational services, thus optimizing these evaluations.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u20	Thank you, Minister, for your answers and for the statistics you provided me on the two jurisdictions that depend on your jurisdiction. There are, of course, other questions. I will question the other ministers on the basis of their specific competencies. There's still the problem of mail. We talked about the phone and the e-mails; I imagine the mail has to follow the same standards. I am pleased to learn that training is appropriate and that there are no specific deadlines imposed on employees, but that these deadlines are still relatively short. It remains the problem of the quality of response to applicants. In addition, did you not fail to send me the document I had requested from you concerning Gembloux's study?
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u21	Mr de Lamotte, I have instructed my office to send you the document before the end of the meeting, if it has not already done so.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u22	Minister, thank you.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u23	Question No 21001 by Mrs Véronique Caprasse is postponed.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u24	According to the Neutral Union for Self-Employed (SNI), based on figures from INASTI, about one out of six self-employed persons, or 15.3 % of the total number of self-employed persons, received monthly incomes of less than €1,115 in 2016, the European poverty line. According to the NIS, the proportion of self-employed persons primarily with incomes below the poverty line has changed very little in the last decade, from 15.7% in 2006. According to the same union, there are still too many self-employed people who are not sufficiently trained in finance, but this would be mainly a consequence of the very limited social protection they receive. The SNI therefore calls for an extension of the current bridge to unemployment benefits for the self-employed and for an allowance from the first day in the event of illness or incapacity for work. The legislation on incapacity for work of self-employed persons stipulates that an independent person, in the event of incapacity for work for serious physical or mental disorders, shall receive allowances only from the second month of incapacity. Minister, can you provide us with recent figures on the number of self-employed people living below the poverty line? What is the distribution of this number between self-employed men and women? What do you think of the proposals made by the Neutre pour Indépendants Union concerning the extension of the right to unemployment benefits for the self-employed, in particular with regard to the granting of incapacity for work benefits from the first month of the sick leave?
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u25	Mrs Galant, this is an important question. As we know, independent life is far from easy. According to a study carried out by the statistical service of INASTI in 2016, the proportion of self-employed persons who are primarily affiliated and have incomes below the European poverty line amounts to 15.6%. In this analysis, the statistical service is based on the following parameters. The target group consists of self-employed persons who are affiliated primarily (without the helpers). Revenues taken into account are those in the count year minus three years. Finally, the incomes retained are those known below the European poverty line. The criterion used to measure the risk of poverty is the 60 per cent threshold of the equivalent median net income. They are therefore aimed at income poverty. This percentage of poverty, which is comparable to the income poverty line of the Belgian population as a whole (15.5% for 2016 – 2015 income), is certainly significantly lower than that observed in 2006. The rate then stood at 22.7%. However, this remains a matter of concern, even if we are moving in the right direction. This obviously fully justifies the reforms carried out by the federal government, by this majority, in order to improve the social status of the self-employed. I will recall a number of measures we have taken recently. Maternity leave has been increased, with no payment of social contributions for the quarter following delivery. Indemnities have been introduced in the event of bankruptcy or termination for economic reasons. We put in place a bridge right, which some compare to unemployment benefit, which the self-employed did not want. When an independent person finds himself or herself in this situation, he or she has access to a replacement income. This is obviously essential. It's a safety net. This allows the self-employed to recover. This offers a second chance. And above all, it is a support in particularly difficult times. Maternity and disability allowances, as well as the minimum pension for self-employed persons, have also been increased. I would also like to mention the reduction of the waiting period and the extension of the second pillar of the pension, as well as a measure recently taken, which introduces new contribution thresholds. We have reformed the system at the threshold level. Why? Finally, to allow the self-employed to pay their contributions according to the income of the year, and not the year n-3. Because when you're independent, farmer, one year isn't the other. Here too, we allow, in many cases, not to wait several years to be reimbursed. It is essential to stick to the year and real income. There are also other measures. We will continue and take stock at the end of the legislature. As far as the financial aspect is concerned, we will speed up the procedures for exempting contributions. The automation of contribution waivers also serves as a bowl of air, in justified cases. Other measures will have to be taken; I am working on them. These provisions help to improve the situation of self-employed people who are confronted with financial situations resulting from a decline in their turnover, a cessation of activities, a health problem or a complicated family life. It is well known that an independent person does not dare to get sick, but our measures are aimed precisely at supporting him. In the future, it will be necessary to go further and narrow the gap with other occupational categories. Mrs Galant, be assured of our determination to continue on this path. Thank you for your attention.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u26	Minister, thank you for the steps you have already taken to improve the social status of the self-employed. Be aware that we will support the initiatives you will continue to take.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u27	Mr President, Minister, in September 2017, UNIZO investigated access to justice and alternative dispute resolution in more than 400 entrepreneurs. The survey looked, among other things, at the possibilities that entrepreneurs themselves see to improve their access to justice. Twenty-three per cent of respondents indicated that the procedures should be shorter, 16 per cent indicated that they wanted clearer information on the course of the procedure and 14 per cent wanted more information on its cost in advance. For entrepreneurs who did not consider alternative dispute resolution, 70% indicated that they are not sufficiently familiar with mediation and arbitration and therefore prefer the classical settlement in court. A lack of information therefore appears to be a constant feature of the investigation. My questions are as follows. How do you assess the above figures and the demand of entrepreneurs for more information on dispute resolution? Do you see opportunities for better information and training of entrepreneurs in this area?
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u28	Mr President, Mr Janssen, I agree with you. I am well aware that it is not obvious for SMEs to go to court. I have taken note of the problems mentioned by UNIZO in her research and I share that concern. In order to improve access to justice for SMEs, I defended in the Court the draft law amending the Code of Economic Law as regards the extension of the scope of the collective recovery claim to SMEs. This draft law was adopted at the plenary session on 22 March. As a reminder, the purpose of this law is to facilitate access to justice and to set up an objective, fair and rapid procedure. In particular, this text provides that the parties must endeavour to reach an agreement. Most of the claims for collective recovery that have so far been made for consumers have been settled by mutual agreement without the need for a court to intervene. In the future, therefore, this should also be possible for SMEs thanks to the change that has now been approved. Group representatives will inform SMEs about the questions they are struggling with according to UNIZO's research, such as costs, duration of the procedure and complexity. In general, I want to protect SMEs better together with the Minister of Economy because they are often in a position of weaker party. For this reason, a number of other adaptations to the Code of Economic Law are under preparation. In fact, clearer legislation should also be able to reduce the number of disputes.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u29	Thank you, Minister, for your reply. Indeed, SMEs need to be better protected. I hear that, in addition to the draft law adopted on 22 March, you have a number of other initiatives in the pipeline. We're really looking forward to that. Questions will probably be asked about this in the future.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u30	Mr President, Minister, this year there has been an increasing number of accidents in agriculture. These recurrent accidents are the result of several factors. First of all, for technological reasons, the machines used are ageing and therefore more dangerous, especially when the farmer works alone, which is often the case in our country. Secondly, for reasons related to the farmer's own occupation; it is a stressful and tiring profession, which greatly impacts the safety conditions of these people who have to manage both life and technology. This is all the more true since they do not necessarily receive training in order to effectively master these new technologies or do not take enough precautions when using them. Similarly, accidents involving animals also occur regularly. Minister: How can you assess the overall safety of farmers since 2014? How has it been able to evolve in recent years? Do you consider that there is a specific safety problem associated with this profession? How do you think about this, in coordination with the relevant regional ministers, improving the lack of safety for agricultural workers? Are financial or other incentives available to encourage the renewal of agricultural machinery? Similarly, what do you think about farmers' lack of training in the safe and optimal use of their work tool?
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u31	Thank you, Mrs Galant, I know your sensitivity, I know that you came from a rural area of Hainaut, like me, and I understand your question. You have had to face certain concrete situations in your community life. The safety of farmers is, of course, an important point of attention. As we know, agriculture has always been associated with difficult working conditions. There have been technical revolutions in the sector which, fortunately, have reduced heavier efforts. However, there is still a lot of work to be done in this profession. These technical revolutions have also led to the emergence of many new risks to the safety and health of workers in the agricultural environment. According to the 2013 SPF Employment brochure "Agricultural Tractor Safety: Risks and Prevention Measures", more than 75% of accidents at work in the agricultural sector were caused by five main causes: animals – as we know – falls of height – probably less known – simple falls, machinery and tractors. There is a federal programme launched in 2001 – Preventagri – with the financial support of the European Social Fund and the Federal Public Service Employment, Labour and Social Concertation. Its objective is, in particular, to raise awareness of the prevention of accidents at work. You were talking about training in the field of accidents at work, but there are also psychosocial risks such as stress, diseases which affect in particular professionals in the Belgian agricultural and horticultural sectors and the development of support and training structures for these problems on the basis of the study of the evolution of the problems which farmers experience or live in. The Preventagri project consists of four components whose competences have been transferred to the Regions for several years. The Regions are working on these aspects: awareness-raising, training, research, interventions. The training component is currently guaranteed by the Walloon Mission of the Green Sectors in the Walloon Region and het Instituut voor Landbouw in Visserijonderzoek in the Flemish Region, who give lectures in the schools and also carry out risk analyses in direct contact with the operators.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u32	Minister, thank you. It is a matter that affects us and accidents are still regrettable. Let us hope that awareness-raising will have the desired effect.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u33	Minister, in the autumn of 2017, Poperinge discovered a nest of the Asian hearer, an invasive species. After five reports it is clear that the Asian hearer has found Flanders. The insect is one of the greatest enemies of beekeepers and of agriculture. He eats hoverflies and wild bees, while bees fertilise fruit trees and crops, and they still need to be protected. Because the nest was discovered so late, perhaps hundreds of queens have spread in the region. Experts say that this exotic species will no longer disappear from our environment, as it reproduces very quickly. Are you aware of the problem? Can the government take measures to combat the problem as effectively as possible and therefore protect our bee population and agriculture?
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u34	Mrs Gantois, I am aware of the problem of the Asian hearing. It has also appeared in Belgium since the end of 2016. I am, of course, also aware of the possible consequences of the presence of that alien species. The species, which originates from Southeast Asia, appears to have been accidentally dragged into the Bordeaux area in 2004. She continued her march towards the north at an average rhythm of 60 kilometers per year. The first litter was found in Belgium in 2016. The first beehouse attacks were reported in 2017. The competence in relation to these problems belongs in part to the Federal Minister for the Environment, as regards the aspect of the introduction of IAS or Invasive Alien Species outside Belgium. In this context, I also refer to the Federal Bee Plan 2017-2019, signed by the three federal ministers responsible for the Environment, Agriculture and Health respectively. That aspect is a focus of attention. The risk of invasive species such as the Asian hearer is real. In order to avoid risks associated with the introduction of these predatory species to our domestic bees, the federal government is taking control measures in particular. Official controls are necessary to prevent the accidental introduction into the European Union of exotic invasive species of concern for our biodiversity. These controls are, of course, carried out in close cooperation with the Regions, which are responsible for preventing and exterminating the Asian audience on their territory.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u35	Thank you, Minister, for the answer. I understand that tackling the problem is a shared competence and that we can therefore take joint action. The invasion is actually a real threat. After all, almost nothing works to fight the Asian hearer, one must discover the nests as soon as possible and then completely destroy them. That's the only way. Would it not be useful to carry out an information campaign together with the Regions? One must destroy in the right way, so that the hearer does not spread further in Flanders and Belgium.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u36	Mrs. Linen, you've arrived. Thanks to the flexibility of the President, you can now put your question to the Minister.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u37	Mr President, thank you for your improbable flexibility. Minister, unlike what is often adopted, our agriculture is increasingly operating in a globalised market. This is accompanied by a steady decline in the agricultural subsidy share in the European budget, which is currently around 38% and tends to 33% by 2020. By comparison, in the early 1980s this share was at a rate of 72%. Moreover, subsidies have been completely reoriented. While they used to be used to encourage production, with butter mountains, milk and wine lakes painfully resulting, they are today more focused on job broadening, Pillar 2, and conditional income support through Pillar 1 aimed at greening and sustainability. The current Common Agricultural Policy expires in 2020. However, it is expected that, as a result of the Brexit, there will be a delay for a new CAP. The Brexit will have particular repercussions on European policy, as the United Kingdom was a net contributor. It is expected that some EUR 3 billion less money will be available for agriculture, representing almost 5% of the total annual agricultural budget at European level. The negotiations on the new CAP are therefore difficult, especially for fisheries, as the majority of Flemish catches are made in British waters. The biggest unknown is the question of whether we are in a situation where the UK will impose additional levies on our agriculture and horticulture and on our fishery products. In your policy paper, you focus on a number of crises that have hit agriculture in recent years. However, the fundamental problem in this area is about arming our farmers against such situations, in particular by allowing them to adopt a customised business model and to carry out risk management, including by taking weather insurance, which, moreover, can be financed with PDPO money from pillar 2 of the CAP up to 65%. These are regional issues, but as a spokesperson for Belgium, you can also contribute to the drafting of an adapted policy. In your policy letter, you express your slight disappointment at the European Commission, which has only provided medium-term solutions, but which has not addressed the Belgian proposals for action in the short term. Minister, I have a number of questions for you. Do you have any concrete indications of possible postponement of the new CAP 2020 as a result of the Brexit process? If so, when is the new CAP expected? The government has established a Brexit cell within the Department of Foreign Affairs. What is the voice of the agricultural sector in this? Are calculations made of the potential impact of the Brexit on Europe's agricultural budget and on our sales of agricultural and horticultural products? How do you see the future CAP evolving, and in particular Pillar 1, direct income support? What measures do you see as necessary so that our farmers can cover themselves against crises? In your policy letter we read on page 17 at the bottom of the rather cryptic description that the government at international level advocates the introduction of a certain number of mechanisms, safety nets to avoid dysfunctions in agricultural markets. What are we supposed to do about this in concrete terms? What mechanisms are we talking about? What concrete medium-term solutions has Belgium proposed to Europe? Why did Europe not want to go into this?
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u38	Mr President, Mrs Lijnen, you have asked a lot of questions. I will try to give a brief but precise answer. The Brexit will, of course, have an impact on the Belgian agricultural and agri-food sector, as will many other European countries. The reasons for this are, on the one hand, the impact of the Brexit on the European Union budget and, on the other hand, as you know, the importance of the British market for the export of our agri-food products. Belgium's position on the multi-annual financial framework after 2020 will be determined in consultation between the Regions and the Federal State. Belgium argues in favour of maintaining the budget in the future Multiannual Financial Framework beyond 2020. In any event, the new CAP will have to guarantee farmers the income needed for the profitability of their farms and provide an efficient policy for crisis management. Negotiations will start at the end of 2018 and will continue in 2019. A new CAP will have to apply from 2020. As you just mentioned, a Brexit cell was set up in the Department of Foreign Affairs. This cell attaches great importance to agriculture. In addition, the regional agricultural representatives were consulted on several occasions. On 29 November 2017, the main lines of the CAP post 2020 were set out by Commissioner Hogan. Modernisation, administrative simplification, the need for a CAP that takes greater account of the environment and adapts to European climate warming objectives are the main objectives. Finally, the Commission wishes to increase the resilience of European farmers to the risks of price volatility, climate and phytosanitary crises. The Belgian position on the first pillar will be determined by the Regions. I think it is important to implement the recommendations of the Agricultural Markets Task Force, which were published in 2016. We need to move towards greater transparency and efficient risk management measures. I therefore believe that the European Commission should be proactive in this. Belgium had already proposed in the past to make the European milk and meat observatories more than merely passive instruments. Crisis thresholds should be set, which should be linked to these European observatories. The aid mechanisms could then be activated once these thresholds have been reached. I hope that other Member States will support this proposal in the coming months in order to make it work.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u39	Thank you, Minister, for your very specific answers to my specific questions. In the Brexit cell established in the Department of Foreign Affairs, there is therefore no specific voice actively present. However, there has been consultation with the Länder. I agree that Europe must take a proactive stance on this issue. We support you on this point. I will look closely at your answer.
ParlaMint-BE_2018-05-15-54-commissie-ic892x.u40	Minister, you rightly stressed in your policy paper the importance of agriculture for our economy and as an indispensable link for our food autonomy. The decline in the number of agricultural holdings by about 40% over the last 15 years is a fact, but it should not be misguided to conclude that fewer farms also mean less agriculture. On the contrary, the agricultural area has fallen by a small 4% over the last 15 years. This means a scaling-up of the remaining companies, which also generate high production due to their high degree of specialisation. Flanders in particular is characterised by an intensive agriculture and horticulture, which also poses greater challenges in terms of ecology and sustainable production within densely populated and spatially fragmented Flanders. The positive side of the story is that the production process provides a high added value to our external trade balance, of which Flanders' share is 82%. In addition, the whole food industry must be charged. It has now become the most important employer in Belgium and continues to grow in both Flanders and Wallonia. It is also a very export-oriented sector, with as an example the frozen vegetables and potato industries, which are real world players. A figure example speaks volumes: the potato processing company Agristo started in 1988 with an annual turnover of 40 000 tonnes of potatoes. At present they are 700 000 tonnes and in a few years the group hopes to match the million tonnes. It only adds to the importance of chain consultations. The crises in the pig and cattle sectors have shown the usefulness of chain consultations. Even though it was not always heartfelt and sometimes difficult, it is necessary for agriculture, as the last link in the chain, to be able to count on a certain degree of solidarity from the rest of the chain in order to achieve viable farms. Farmers cannot be expected to be burdened with all kinds of social claims concerning nature conservation, animal welfare, food safety and food quality, while they are subject to high volatile market prices and cannot count on any compensation for their social tasks. It is a good thing that you emphasise the objective of transparent market forces. Correct and up-to-date figures are crucial, but I would also like to point out that the provision of figures is only a start. It is important to use this information to strengthen the position of farmers. I think it is important to underline that. The chain dialogue and sector organisations also have an important role to play in this regard. There is no point only taking note of a low potato price if farmers do not take the initiative to partially refocus their production on other species or vegetables, in order to increase added value. In this context, I would also like to mention the recent lifting of sugar quotas since October 2017. It would be awkward for sugar beet growers to proceed immediately to a sensitive increase in their area. Experience in the milk sector shows what price reductions can lead to such interventions. I have a number of questions, Minister. What initiatives are you taking to strengthen the farmer's position as a producer in the chain? Will you monitor the proper functioning of the chain consultation and, if necessary, intervene in time to facilitate the consultations? In what way do you help to ensure that the market not only has up-to-date figures, but that this is also used constructively for farmers to play briefly with their production? Will you pay particular attention to the sub-sector of sugar beet growers with regard to information and awareness so that their income is guaranteed in the medium term and not for short-term gain and thus risk abrupt market disruption? Will consultations take place on this matter with colleagues from the Committee on Agriculture who are competent in the sub-areas?
