ParlaMint-BE_2018-03-28-54-commissie-ic861x.u1	Question No 24104 by Mrs Catherine Fonck is transformed into a written question.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u12	Monsieur de Lamotte, in your written question, you wrote "Thank God!" And you've just used "happily." I don't know if that fact is significant. I have already answered many of these questions in a previous exchange, but I will come back to some points in order to reassure you, I hope. There are two aspects to your question: the Agency's management system and the results – not audit – but the quantitative investigation of psychosocial risks related to the obligation set out in the Work Well-Being Act. The findings you quote are individual findings. The results of the IDEWE survey revealed indications of an increased psychosocial burden among staff. Be aware that management is not in any way in denial. Management takes this matter very seriously. The Commission has taken note of all the findings of this survey and is therefore working on an action plan to respond to these findings, with the aim of improving the well-being of workers. The content of the action plan is based on 6 areas of improvement: Vision, Values, Operating Framework, People management, Collaboration and Knowledge management. As regards the context of the investigation and the measures to be taken, I refer you to my answer to question No 23676. With regard to your second question, I do not have the impression that there is any lack of transparency. The Agency is available to answer all the questions asked, whether by citizens or the press. It respects all applicable legislation relating to the management of transparency and is also available to answer all parliamentary questions, as well as any other stakeholders related to its area of competence. Be aware that I am well aware of some internal issues within the Agency and, like management, we are following these issues with the utmost attention. However, I would like to reiterate to you once again my confidence in the work of the AFCN in carrying out its mission. Finally, I am not considering any change in the management structure, nor have I received any signal from the board that it is considering such changes. But in a few weeks, as you know, a new Director General will take up his duties at the head of the Agency.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u13	I wish to say "Thank God" for your answer, Minister, since you have complete confidence in the Agency. I think we'll have time to get back to it. Indeed, you are telling me that there is no lack of transparency and that the AFCN answers all the questions. If I understand correctly, at the committee earlier, there will be contact with AFCN on this subject and we will have details in the following committees. So I'm not going to lengthen my line today.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u14	Madam President, Minister, many citizens have been marked by the recent major failure on the Lixhe bridge in Visé following the breakage of DYWIDAG bars. The bridge rose about 60 centimetres and had to be closed for several months. It would appear that it was the effect of corrosion that acted on the attachments of the rods anchoring the bridge. It comes to my mind that this type of bar would also be used in the bunker enclosures of certain nuclear reactors. Minister, do you confirm this information? If so, can you tell me where and on which power plants or on which reactors such bars are used? If so, what monitoring of these bars is carried out? Did the AFCN manifest itself in connection with this problem following what happened on the Lixhe Bridge?
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u15	Mr Nollet, indeed, DYWIDAG-type bars were used in the construction of Belgian nuclear power plants. In view of the need to build aircraft-resistant buildings, these bars made up of very high yield strength steel were used in the 1980s to reduce the footprint of concrete reinforcements while adequately resisting external stresses envisaged during design. The use of these bars, which are smaller in diameter than standard steel bars, enables the required steel reinforcing density to be obtained without compromising the proper flow of fresh concrete between the reinforcements at the time of concreteing. By reducing the amount of steel needed, the use of these bars thus ensures quality concreteing. This type of DYWIDAG bar was used in the construction of the four most recent Belgian units: Tihange 2 and 3 and Doel 3 and 4, mainly for reactor buildings as well as bunkerized buildings. For several years, AFCN and its subsidiary Bel V have used the expertise of the Directorate of Concrete Structures of the Wallonia Public Service (SPW) to obtain an independent opinion on the issues relating to the declaration and repair of reinforced concrete structures of Belgian power stations. To answer more specifically the last point of your question, AFCN has indeed collected from the SPW information about the reasons for the breakage of the DYWIDAG anchor bar heads at the foot level of one of the Lixhe bridge attachment rods. This issue was discussed internally by the security authority. Note that if the grades of steel and the properties of these DYWIDAG bars are close, they are not the same type of products, nor the same use, and the voltages applied to the bars are not at all the same, with or without post-voltage. Since the DYWIDAG reinforcements are drowned in concrete, their direct visual control is not feasible. However, the problems associated with the ageing of these DYWIDAG bars have been known for years because, in return for its high yield strength, this product is susceptible to stress corrosion cracking, and it is also fragile if it is handled incorrectly at the time of mounting the frames during construction. If the concrete coating protecting the steel from the reinforcements against corrosion is of insufficient thickness, if it is cracked or degraded, then DYWIDAG steel may also be subject to widespread corrosion. These problems are therefore known, encountered and dealt with in the nuclear world. A programme for the management of the ageing of reinforced concrete and/or prestressed structures of nuclear power plants exists, and justifies the monitoring of the ageing of structures, to prevent such corrosion problems.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u16	Mr Minister, we are therefore at the heart of a sensitive subject. This one is followed, as you say. You say that the problem is present on all our nuclear power plants built from 1980 onwards, that is, on four power plants. You're also saying that a contact was made with the SPW. I would like to know whether, on the basis of this contact, the collateral analysis has been completed, or whether it is still under way.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u17	According to my information, the contacts are over, and we found that the uses of both types were not the same. Even without this incident on the Lixhe bridge, we have a follow-up program for this type of construction. So it was just an information session with the SPW. Their knowledge of things is used, but it is also used outside of this incident on the Lixhe Bridge.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u18	That's quite normal. We need a tight follow-up, even without the incident. You rightly mentioned the risks of corrosion and cracking. We know what this can mean in the nuclear world. I note that the analysis that was under way with the SPW has been completed.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u19	Minister, I wish to extend our exchange on 18 February, during which you informed me of Electrabel's willingness to build a dry storage building for spent fuel management in Tihange. How long does Electrabel plan to keep this fuel on the Tihange site? Will spent fuel remain at Tihange and Doel sites for several decades? When will they be transferred to ONDRAF? Does ONDRAF have a building licensed by AFCN to store spent fuel? Does she have a plan to build one?
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u20	Mr. Nollet, Electrabel will store the spent fuel at both sites until it can be evacuated to a facility capable of receiving the fuel for processing or storage. In the current context, this is unlikely to be discussed within the next 10 to 15 years. The new storage buildings that Electrabel is planning to build at the Tihange and Doel sites have been designed for a period of 50 years. ONDRAF does not have an approved facility for the temporary storage of spent fuel from power reactors. Belgoprocess has an authorized facility for the temporary storage of spent fuel from research reactors, but this facility has not been designed for the storage of significant quantities of spent fuel from power reactors. As for the question of the transfer of spent fuel to ONDRAF, I must refer you to my colleague, Minister Marghem.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u21	I will therefore consult with the minister, but I note that, obviously, these spent fuels will remain for a long time at the sites concerned, ten to fifteen years and probably more, since the buildings, as you mentioned, are designed to last even longer.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u22	Minister, you know that I am also attentive to communication issues, not only when it comes to the federal agency, but also when it comes to yourself and your own skills. I know you're being followed especially on Twitter, but I'll be asking you about your website today. What is your internet communication policy? When, for example, are your last three publications on your personal site? Is it not appropriate to think about this? It's an invitation I'm extending to you, Minister. Finally, when I wrote my question, I wondered, for example, why no communication about the nuclear emergency plan – which is an essential part of your policy – was published on your site. I see your co-worker is checking if he's still there.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u23	Mr Nollet, I am glad that you care about my communication policy, but I can reassure you. You know that my skills cover several areas. We examine for each folder which message comes out best and via which channel. My design is very simple: the aim of communication is to produce an impact through the most appropriate channels. This depends in particular on the target group you want to reach. The Minister's website to which you refer is a platform used very sporadically to disseminate certain additional information, for example in the form of press releases through social media and intended for the appropriate target group. When posted on the site in question, they are communicated through social media to the right target group. Since December 2015, three such messages have been sent. In addition, all Twitter messages posted from my account are included on the website. There are several a week. The citizen will find all kinds of information about my policy on the website as quickly as possible. You also refer to specific communications, such as those relating to the new nuclear emergency plan. The Minister's site, let me say, is not the most appropriate channel to communicate with the public on this issue. To this end, the Crisis Centre has launched a well-balanced and cross-media professional information campaign, which has also been widely covered by the press. Social media messages on the nuclear emergency plan were also posted via my site. If you know more about how I need to improve my personal site, my communication team and I will remain open to your proposals.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u24	Three messages here means one message per year. You will agree with me that this is very little for a minister's website. Minister, your communications team – which is experienced in many areas – will accept my very simple suggestion: you have to post a message and send it to the ad hoc sites. You will not prevent a citizen who sees you on television from thinking that there has been an important communication. I take the example of the nuclear emergency plan: there has been an important communication, a citizen has seen Minister Jambon and will see on his website. This citizen may not know that it is such an agency, the Crisis Center, Electrabel or others that is responsible. He sees you, so he'll see on your site and find nothing. That's too bad. I understand what you're saying, that the core of the information must be on the right site. But nothing prevents you from indicating on your site in a three-line message the return to the appropriate site. This is a first suggestion for your communication team, I am of course free of charge if you wish to organize a small meeting.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u25	Madam President, Minister, the building that houses the nuclear reactor is designed to contain a leak of radioactive material from the reactor tank. It must remain leakproof up to a certain internal pressure generated during such an accident. The operator must therefore be able at every moment to justify leakproofness to this pressure. In our previous discussion on this subject, you made it clear to me that the leakproofness tests that are currently being carried out by us are being carried out at least half the pressure expected, after the accident of the design base most penalizing for this criterion. I come back to the subject, because I am surprised by the use of such a standard, instead of using the pressure envisaged in its entirety, as common sense would require. In France, the pressure of this test required by the ASN is the design pressure in its entirety, of the order of 5 bars. The test is repeated every ten years on each building. In the USA, the ten-year test pressure required by the NRC is also 5 bar. Minister, why are Belgian tests not in accordance with North American standards? The whole planet, except Belgium, has learned the lesson of Three Mile Island, whose anniversary we are commemorating today. Fortunately, the structure was able to withstand maximum pressure. Why such a difference? This is all the more serious because the ageing of the installations has a negative impact on the quality of the concrete in the enclosure. Can you guarantee the publication of the results of the last leak tests of the seven reactors as well as the precise pressure applied and the leak rate observed? In the particular case of Doel 3 currently at a standstill, is it not appropriate for you to require that the leakproofness test be carried out at a design pressure and in accordance with the French standards in force?
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u26	Mr Nollet, as already stated in my previous reply, the results of the enclosure leak tests are monitored by Bel V, who checks that the test criteria are met. However, the detailed procedures and results are in the possession of ENGIE Electrabel. I invite you again to contact ENGIE Electrabel if you want to go into these details. The test conditions in Belgium are certainly different from those in other countries. They also differ between them. At the time, there were discussions between the safety authority and the operator, in order to define a test program to periodically verify the sealing of the enclosures. Given the presence of a seal skin or metal enclosure and the possibility of extrapolating the results at a lower but significant pressure (about half the pressure in the event of an accident) to obtain an equivalent result, and also taking into account local accident pressure tests and other lower overall pressure tests performed after each stop for reloading, the current approach was considered sufficient. The operator is therefore following the agreed program and described in the safety reports, which are the basis for authorizations, with satisfactory results. Other differences, particularly in terms of periodicity, also existed with respect to the US approach. Meanwhile, U.S. regulation has evolved and testing in the U.S. can be done on a performance-based approach that extends the gap between two tests to 15 years. If you ask me whether, in the future, given the ageing of the units, it would not be good, however, to renew the test for the tightness of the enclosures at full pressure, I would say to you: "Yes, this would certainly be a point to be reconsidered for the next tests, as long as these take place taking into account the timetable of the law on the progressive exit from nuclear energy." In the meantime, as an authority, the Agency shall ensure compliance with the conditions agreed upon and deemed satisfactory in the normal authorisation process. The Three Mile Island accident has been the subject of many studies and the lesson learned is that it is not due to leakproofness and enclosure problems, but to problems with accident procedures, feedback and emergency management. On the other hand, Fukushima's lessons have once again highlighted the risks of heart fusion and associated phenomena that may lead to higher pressures than the pressures for the accidents considered in the design. On this basis, Electrabel has just installed filtered vents that reduce the pressure of the enclosures and prevent their destruction, while reducing discharges for effective filtration.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u27	Mr Minister, you are telling me that in the future it would be welcome to organise tests with nominal pressure. It would be appropriate to do so. I think we should have done this from the beginning, but you're telling us that a closure is provided for by a law that you don't want to change. This is a good thing, and I can only support you in getting out of nuclear power and even speeding it up, but in the meantime, these plants will be operating for many years to come. I therefore ask you to organise tests even if this is not provided for in the legislation. I want us to be reassured and I am still thinking of the two reactors in which thousands of cracks have been detected.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u28	Madam President, Minister, a spectacular fire broke out on the morning of Thursday, March 15, at the Tihange nuclear power plant. A total of 11 cars caught fire and 17 were damaged by the flames. This may not be a nuclear incident, and fortunately, but it remains spectacular. Witnesses can testify. Can you inform us about the causes and origins of this disaster? Is it totally accidental or intentional in nature? Have the monitoring devices identified potential authors? The dispatch of helicopters was discussed for the purpose of checking, etc. Why have the multiple security devices that are supposed to be able to respond quickly failed to avoid an incident of such magnitude? Can you take stock of everything your services know about this incident?
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u29	Mr Nollet, on Thursday 15 March 2018 in the early morning, a car caught fire in the Tihange 2 car park outside the technical perimeter, i.e. outside the nuclear zone. The fire spread to several vehicles. The damage is only material but still significant: 11 vehicles burned and 19 damaged. The vehicles were parked in a parking lot covered with a polycarbonate roof. It melted and the material fell on the nearby cars, which reinforced the spread of the fire. The causes and origins of the fire have not yet been determined precisely by the experts, although everything seems to converge towards an accidental cause due to a short circuit in one of the cars involved. The forensic police are continuing their analysis. As soon as the fire was detected, increased vigilance was brought to the vicinity of the plant by the site security service in collaboration with the Huy police, in accordance with the procedures established by the emergency plan. The security features worked very well. The close cooperation between the firefighters located at the site, 7 days a week and 24 hours a day, those in the Hesbaye-Meuse-Condroz rescue zone and the police services allowed the fire to be quickly controlled and to limit the extent of the damage taking into account the magnitude of the disaster and the rapid spread of the fire. This incident had no impact on the operation and safety of the plant.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u30	Thank you, Minister.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u31	Minister, the newspaper L'Avenir du 10 mars informs us that, at the beginning of March, a delegation from Beaurine to the Chooz nuclear power plant visited. The objective of this visit was to be reassured about the security of this site, located just at our borders, an issue that you spoke about with your French counterpart recently. My colleague Gilkinet is particularly attentive to this point. Two members of the delegation, the president of the communal council, Pierre Moreau, and the general manager of the city of Beauraing, Denis Jullian, did not come back reassured, but contaminated! As they came out of the nuclear part and were scanned, traces of radioactivity were detected on their clothing, showing too many becquerels. We had to call a French nuclear safety officer, who arrived after an hour and thirty minutes. They had to take off their clothes, and take a training. The clock was spinning, and at the time when they could finally leave, midnight had passed and their access badge was no longer valid. The security of the plant then had to intervene, in order to give their freedom to the political leaders. Do you remember that we visited the Tihange power plant, Minister? Fortunately, we did not have such a situation on that day. Imagine we had to stay in this plant! The seduction operation of the officials of the French nuclear power plant was rightly regarded by the press as the flop of the year. Mr Minister, have your services had any contact with the French authorities in this regard? Do you now know the origin and extent of the problem? Has this kind of incident occurred at our home, in one of our plants, outside of those we did together?
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u32	Mr Nollet, you do not escape the fact that the control of the safety of French nuclear power plants falls within the competence of the French nuclear safety authorities. I am convinced that the French authorities will respond appropriately to this case, if necessary. I also hope that you understand that it is not possible for me to comment on problems that are taking place outside our country. Contamination controls, when leaving the controlled area of nuclear facilities, are common practice. Due to the sensitivity of the equipment, minor contamination is not uncommon when leaving a facility. It can often be eliminated by washing its hands or by wiping its shoes, without any risk to the health of the person concerned. If it is such a minor contamination, it is not abnormal that our country is not informed of it.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u33	Minister, I understand you don't have all the information either. This was a situation experienced by Belgian public authorities in a French power station at our border. I wanted to know if there were any similar incidents in our house. You have incorporated this into the overall response by saying that sometimes there are minor elements that only need to wash their hands. I take note of this and will ask my colleague Gilkinet to ask the French authorities.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u34	Minister, as we know, each nuclear power plant has several backup diesels that provide electricity in the event of a breakdown of the external power grid. These instruments are central when a crisis is triggered. Friday, February 16, 2018, an irregularity was found in the system for automatic activation of backup diesels at the Doel 1 and 2 nuclear power plant. Minister, can you tell me more about this incident, its origins and its potential consequences? Had this anomaly not already been found previously? If so, when and how many times? Was this incident classified on the INES scale? Do you not consider that the repetition of such incidents demonstrates the maintenance of a low level of safety culture, contrary to the commitments that had been made?
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u35	Mr Nollet, on Friday, February 16, 2018, an irregularity was found in the system for automatic activation of backup diesels at the Doel 1 and 2 nuclear power plant. Nuclear power plants all have several backup diesels that provide power in-house in the event of a breakdown of the external power grid. These diesels guarantee the uninterrupted supply of electricity to power plants. A signal is triggered when these diesels must automatically take over. A check carried out on February 16 found that the automatic activation system of a backup diesel was not working properly. The automatic activation of diesel was therefore not guaranteed. However, the manual activation of the diesel in question was not a problem. All control requirements have been met. The problem was due to dirty electrical contact and was solved after cleaning. A problem had already been identified with the electrical contact in question in January 2017 and April 2017. After analysis, this incident was classified at level 1 of the INES scale, since this anomaly had already been found previously and the measures taken had proved insufficient to prevent its recurrence. As already mentioned, this anomaly has had no impact on the safety of staff or the population or on the environment. A problem had already been identified with the electrical contact in question in January and April 2017, as I have already said. The INES scale should only be seen as a communication tool to facilitate media and public perception of the importance of nuclear events in safety. It therefore does not constitute a tool for assessing the nuclear safety of installations and cannot under any circumstances serve as a basis for national or international comparison in the field of safety. A good safety culture includes all the technical and organizational measures that are taken at all stages of the design, construction, operation and decommissioning of nuclear facilities, with a view to avoiding incidents and accidents and limiting their consequences if, in spite of everything, they were to occur. The analysis of this anomaly showed, in this particular case, that too few actions had been taken. For this reason, AFCN has decided to classify this event on the INES scale as INES 1. However, it is important to note that such an incident at the Doel nuclear power plant is not an indication of the general state of the organization's safety culture.
ParlaMint-BE_2018-03-28-54-commissie-ic861x.u36	Minister, I hear your last sentence saying that this does not necessarily affect the entire safety culture. Nevertheless, I am concerned that this kind of incident, which has already occurred, is repeated, when it is said every time that measures are taken to ensure that it does not happen again. I understand the rankings on the INES 1 scale. I think, Minister, that you will again have to draw the attention of the authorities of the company concerned. Clearly, the message has not yet passed sufficiently as to the seriousness it must give to a series of procedures which may sometimes be repetitive or considered secondary, but which are nevertheless important to avoid incidents such as those encountered on 16 February.
