ParlaMint-BE_2018-07-10-54-commissie-ic948x.u1	Mr Laaouej asked whether he could ask his question No 26531 at the beginning of the meeting.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u15	Of course, I have also read with attention the piece of opinion that appeared a few weeks ago. Despite the fact that the art collection is owned by Belfius and only indirectly by the Belgian government, I can assure you that Belfius, the government and myself have clearly noted the concerns not only of the authors of the document but also of various other interested parties and will take into account further considerations and policy considerations. The Belfius Art Collection comprises 4 300 works of which some 500 works have museum value. The collection is actively managed through loans, with an ever-changing selection of more than one hundred museum pieces derived from museums or art-oriented projects. In addition, an ever-changing selection of works is made public through the exhibition in the buildings of Belfius. The art collection is part of the assets of the Belfius bank and is therefore on the institution's balance sheet for an amount of 18 million euros. The general belief is that the market value is much higher. The most widely mentioned amount is around EUR 150 million. However, this value is difficult to estimate and is certainly subject to fluctuations. The collection is largely composed of works by Belgian artists. There are also a limited number of works by foreign artists. The intention is to dispose of these works, as the opportunity arises, and then to reinvest the funds acquired in works of art by their own young artists. There is therefore an active purchasing policy, but with a closed money bracket. In the event of a partial exhibition of Belfius, special attention will be given to the fate of the art collection with a view to a solution that also preserves the interests of our cultural heritage. At least it is foreseen that the rights of the Belgian State will not be weakened with regard to the art collection if the State becomes a minority shareholder. From the beginning of the discussions on the partial IPO it was clearly agreed that as long as the State retains a 5% stake, it has the decisive vote on the fate of the art collection. In view of the fact that the technical discussions on all aspects of the IPO and therefore its consequences for the art collection are still ongoing, it is not possible at the moment and, moreover, too premature to explicitly put matters first. In any case, these concerns are guarded every day.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u16	Mr Minister, I do not really know what to think of it. I lived on hope, because the call was so clearly widely supported. I have a very cautious positive response, but it will not surprise you that, in my opinion, that is too cautious. First of all, I do not agree with the statement that we have an indirect interest in the art collection. That is where our views differ. In 2011, to avoid worse, we became the owner of Belfius by our rescue from Dexia. When you now say that we are indirect owners, you actually minimize the role you can play. It is therefore a question of whether there is the political will to play the full role in relation to the bank. You say very clearly that you do not want that. That's the first sentence you started. The bank is not indirectly owned by the Belgian government, it is 100% owned by the Belgian government and the collection is therefore also owned by the Belgian government. With that unique opportunity, I expected you to answer today that under no circumstances will you give away the art collection and close every door to it. As far as I am concerned, this is not a question of negotiation, but of choice and political will. The Belgian collection of sequestered from the bank can already be done perfectly, before you enter into further negotiations. With your statement that you are looking for a solution to the cultural heritage, if the Belgian government might become a minority shareholder, you may have said a little more than you wanted about the plans you have with Belfius. At least I hope it never comes to that. To say that it is now too premature and that we should have the debate when Belfius goes to the stock market is incorrect, given the cultural historical importance of the collection, of which we own 100 percent. This is not only a statement from myself, but also from Minister of State Mark Eyskens, Bert Anciaux, Johan Swinnen, Jean-Jacques De Gucht, colleague Georges Gilkinet and all the directors of the Flemish museums. We own 100 percent. You can write history on the Committee today.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u17	Do you really not know the distinction between a company with its assets and liabilities and naked property?
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u18	Absolutely.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u19	Mrs. Almaci, you're really raving around here right now.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u20	You are minimising your role as minister, and you do so on several occasions in the relevant dossier. I would therefore ask you to look very actively for a solution to this unique collection with a huge cultural and historical importance, and not to let you play it down in a way that I find too cautious. Play your part, seize the opportunity you have, Minister. Don't be so careful. You are right that the market value is much higher, which is why I have also estimated the demand. I have the impression that there is no recent estimate, otherwise you could give more precise figures. You weren't very clear about that, but for our country, that collection is invaluable. This is also evident from the value we give to it in our Flemish art decree; this is evident from the fact that the collection is now being opened one Saturday to three under pressure from public opinion, which is far too little. We now have a unique opportunity. Please don't let that one go. I decide. My appeal to you, Minister, is to abandon your caution. Take advantage of the full weight you have, strengthened by public opinion, cross-party, to play your role as minister, with more aplomb than I see at present. After all, you have made me more concerned than reassured me.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u21	Mr President, do I have a minute to reply, like my colleague? However, I will not need it, because Mrs Almaci has heard of everything that has not been said. She does give her insight into the functioning of the economy. She says we should just dispose of the bank's assets. We own the bank, and so we should just take something off the list of assets. Maybe we should do something with the deposits, too. Then we might be able to find EUR 8 billion for the budget. (Protests from Mrs Almaci) That is literally your reasoning, Mrs Almaci. I let you finish, even if I didn't agree with you at all. Do the same for me. I did hear the Minister say that the collection is in safe hands. As long as the Belgian State retains a minimum of 5% of the shares, it will retain full control of them. I do not know of any plan today that says that 100 % or 96 % of the bank would be privatised. In that respect, I am very reassured today. I think that's a very positive message. If I agree with Mrs Almaci on one matter, it is that we must retain the collection, but the spectacle policy she is pursuing, while it was said that we retain control of it, is another way of communicating. Minister, I have heard very good news. Thanks for that.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u22	I didn't hear anyone mention ARCO's 150 million euros. There's something to be said about that. That will give rise to a lot of discussions.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u23	Mr President, I would suggest giving free tickets to all ARCO savers to view the collection.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u24	I do not think they would be satisfied with that.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u25	Minister, if my information is correct, a new preventive agreement on double taxation has been concluded with Germany. The German authorities allegedly initialled such a document on 15 March in Berlin. On the Belgian side, however, nothing is announced. The FPS Finance website, which was consulted on 25 June, provides a timetable for negotiations with Germany, the timing of which remains to be determined. That's surprising! You will understand that this makes access to information somewhat difficult. Minister, can you confirm that a new agreement has been concluded between Belgium and Germany? What is the content of this? What aspects have been changed and what are the main innovations? Finally, what is the date of its entry into force?
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u26	Mr de Lamotte, I confirm that a new convention on double taxation was initialled in Berlin on 15 March this year. This agreement is the culmination of several rounds of negotiations that began in 2009. The negotiations of an international treaty are always conducted in the strictest confidentiality, which is respected until the document is finally signed. In view of the tribulations of the German government, the work took longer than expected. I hope that the convention will be signed as soon as possible. Upon signature, the document will be forwarded to the federal Parliament and will be published on the FPS Finance website.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u27	Minister, thank you for your clarification. Do you have any idea the date of publication?
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u28	I hope it will be as soon as possible, but the date of signature depends on the German government.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u29	Minister, thank you. You see that my information is accurate and that many people are impatient!
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u30	That's, in case the Brexit continues, of course.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u31	We have to wait and see, Mr President. Minister, in an opinion of 25 June 2018, the European Banking Authority shares its concerns about the post-brexit future of the European banking sector. EBA is particularly concerned about the lack of preparation by financial institutions to manage the risks at the departure of the United Kingdom. In particular, it refers to the possible scenario of a no deal, which is the situation in which no withdrawal treaty would be concluded and no transitional provisions agreed. It has put forward a number of issues, including a proposal to provide additional management staff, to carry out risk analyses and to carry out analyses. In any case, it is recommended that financial institutions inform their customers of how they may be affected by a no-deal scenario. That is why I have the following questions. Firstly, can you give an update on the negotiations with the United Kingdom on the financial sector? Secondly, I have three sub-questions. Can you explain the situation with the Belgian financial institutions in their preparation for the Brexit, possibly even in the case of a no deal situation? Is there an effective lack of preparation and risk analysis? If so, has the National Bank of Belgium pointed out this defect or will there be a signal from the government? Thirdly, will the government take the necessary measures to prevent and reduce risks in the event of a no-dealing situation?
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u32	Mr President, Mr Van Peteghem, I would like to make a preliminary remark. The answer I will give you has been prepared for Mrs May's recent proposals. They are currently being studied. Apparently, there are also a few specific issues about banking conditions. However, I would prefer to examine this in detail before commenting formally on it. For the record, therefore, I would like to say that the answers are pre-May. In reply to your first question, the European Union is negotiating a withdrawal agreement with the United Kingdom. That's obvious. Certain parts of that agreement are already subject to political agreement, such as the need for a transition period. It would start after the formal departure of the United Kingdom at the end of March 2019. Only after further negotiations and ultimately the ratification of the withdrawal agreement will there be complete certainty about the transition period. Until then, the chance of a hard Brexit unfortunately remains but of course. In addition to the withdrawal agreement, a political statement is being prepared on the framework for the future relationship between the European Union and the United Kingdom, particularly during the transition period. The details and negotiations will only take place after the formal departure of the United Kingdom. Therefore, there are currently no specific negotiations with the United Kingdom on the financial sector. The European Council of 29 June 2018 concluded that the preparation of the political statement on the framework of the future relationship should be accelerated. The European Council also stressed the need for greater clarity in the United Kingdom, which has taken place in the meantime on a number of points. In addition, the European Council calls for the United Kingdom to come forward with realistic and workable proposals on the position of the United Kingdom in relation to this future relationship. This may be more problematic. The United Kingdom would publish a white paper on that future relationship, which has already happened. Previous speeches by the British Government show that the United Kingdom is aiming for a special arrangement in financial services. This has also been clearly demonstrated by what has been presented, although the specificity appears to be more complex. European negotiators, on the other hand, rely on the inclusion of cooperation in the field of financial services in the free trade agreement, without prejudice to the fact that both parties can continue to enforce their own financial regulations fully autonomously on their territory. A future framework, of whatever kind, must ensure financial stability in the Union and, of course, respect the Union system of regulation and supervision, as well as its standards and application. As for your second question, the follow-up to the Brexit will be closely monitored by the European Central Bank for Belgian credit institutions under its direct supervision. For the other Belgian banks, i.e. non-systemic banks, this is done by the National Bank. This national supervision is followed over and over by the ECB, but as far as strict supervision is concerned, this is the responsibility of the National Bank. The NBB shall monitor the preparations closely and shall examine proactively the ability to undertake the necessary analyses and measures for the consequences of a hard Brexit scenario, i.e. of a UK departure from the EU without a ratified withdrawal agreement in March 2019. For example, the NBB expects institutions to thoroughly identify the risk channels and the resulting risks and legal consequences. More specifically, financial institutions should assess all potential risks and implications listed in EBA opinion and take appropriate measures and provide for an action and emergency plan. These aspects are also explicitly included in the stress test. Based on an analysis of its previous survey, a number of institutions are closely monitored and encouraged by the NBB to further preparatory work, all in function of the nature of their specific transactions, relationships and existing services by, or to counterparties in the United Kingdom. Finally, your third question. The government takes the necessary steps to reduce the risks of a hard Brexit scenario and monitors the actions taken so far in the financial sector, with a view to reducing and keeping a close eye on the impact on financial institutions and their customers.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u33	Mr President, Minister, the questions are indeed quickly dated. If it goes on like this, it's likely to happen a few more times. That is an advantage, because then we can ask a lot of questions about it. Thank you for your answer. What is particularly important is that we prepare ourselves, especially within the financial institutions, for all possible scenarios, including those of the no deal, but I hear from you that the National Bank and the ECB are working on this.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u34	Mr President, Minister, within the framework of the tax shelter system for the audiovisual sector, in particular Article 194ter, Paragraph 1 (5) of the WIB 92, it is possible, under certain circumstances, to consider expenditure incurred within six months prior to the signature of the framework agreement for the eligible work as eligible expenditure, provided that the Community concerned has recognised the work and that the production company can justify why it was necessary that these expenditure should be incurred before and not after the signature. This exception to the general rule that expenditure is only taken into account if it is made from the date of signature of the framework agreement was motivated by the fact that, due to certain exceptional circumstances, there may be a difference between the time when the funds are collected and the timing of the productions, which are usually seasonal. In the FAQ of 13 September 2017, the administration specifies under which conditions expenditure incurred within six months prior to the signature of the framework agreement can therefore be taken into account as an exception to the general rule. It also states that the production company could also invoke other exceptional circumstances not mentioned in the FAQ. The impact of the corporate tax reform of late December 2017, in particular the modified advance payment scheme and the fact that the companies investing in the audiovisual sector generally have their financial year per calendar year through the tax shelter regime, would currently cause problems in this sector. Indeed, many companies and their advisors are still waiting for the concrete impact of the reformed corporate tax, which in practice encourages many advisors to wait for a tax shelter investment until there is a clear view of the impact of the reform and their taxable base. In addition, for the first time, companies are faced with the renewed rules on advance payments. For many companies, this means that they have to re-analyse their internal financial performance, which means that investments such as in the tax shelter are more likely to be transferred to the last quarter. Several producers and intermediaries face a shortage of funds to finance current productions during the first two quarters of 2018 due to this exceptional circumstance and also have negative prospects for the third quarter. This could have a significant negative impact on the sector and could even lead to bankruptcies for certain smaller production companies and intermediaries. In this context, can the corporate tax reform at the end of December 2017 and the related amendments be considered as an exceptional circumstance within the meaning of Article 194ter, Paragraph 1 (5) of the WIB 92, which can justify that expenditure incurred within six months prior to the signature of the framework agreement can be considered eligible expenditure during the first three quarters of 2018? Minister, this is a long and technical question, but it is important for the sector concerned.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u35	Mr Klaps, the expenditure relating to the production and operation of a certain recognised work, which is done within the six months prior to the signing of the framework agreement, may be considered eligible expenditure where appropriate, provided that the production company provides sufficient justification for the expenditure to be incurred before the signature of the framework agreement. The special circumstances of the corporate tax reform and its amendments to the pre-payment scheme for taxable periods starting from 1 January 2018 may, as regards expenditure incurred in the first three quarters of the financial year 2018, be considered as exceptional circumstances within the meaning of Article 194ter, Paragraph 1 of the WIB 92. As regards subsequent quarters, that justification will no longer be accepted, given that the next stage of the corporate tax reform is sufficiently foreseeable for the following quarters.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u36	Thank you, Minister, for your clear answer.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u37	Mr President, Minister, I apologize for my delay. We were receiving the Swiss Ambassador in the Committee of Opinions on European Affairs. Mr Minister, initially I asked the Minister of Foreign Affairs this question. After three programmes of financial assistance from the European Union and the International Monetary Fund, Greece is seeing an end to its financial crisis. The twenty-eight finance ministers of the euro area, meeting in Luxembourg with IMF patron Christine Lagarde, decided to leave Greece from the last current aid plan and thus from the quasi-truth of its creditors. On 21 June, the euro area finance ministers endorsed a final payment of EUR 15 billion. This is the last of the payments made to Greece, the first of the three consecutive financial assistance plans that began in May 2010. In total, the European Union and the IMF contributed a total of 273 billion euros. On 20 August, Greece will finally emerge from the financial supervision linked to these programmes, since it has had to carry out profound reforms, such as VAT, pensions or the salaries of civil servants, in return for the aid. Excuse me, ladies and gentlemen. I'm losing my voice. However, it is necessary to hold until the end of the World Cup. I'm wearing a Hazard family t-shirt because the Hazard brothers are from my hometown, Braine le Comte. In fact, the Prime Minister and Minister Ducrame will be there tonight for the occasion. In the face of the astronomical level of public debt, at 178 per cent of GDP, debt relief measures were also introduced with a ten-year extension of the duration of loans and delays in repayment of interest. Mr Minister, what is Belgium's reaction to this agreement signed at the last Eurogroup on the Greek financial crisis? Are there still monitoring measures by the European authorities and the IMF on Greek finances? Can the fairly sharp increase in Greek GNP over the past year, particularly through tourism, continue? Can this increase be sufficient to avoid the current aid plan? Minister, thank you for your answers and the follow-up you will give to this issue.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u38	My colleague, Belgium and all the other euro area countries welcome the successful completion of the financial assistance programme for Greece and the agreement reached at the Eurogroup meeting on 21 June. This agreement, together with the budgetary and structural reforms implemented in recent years by Greece and the commitment to continue to undertake reforms, will enable Greece to exit positively from the financial assistance programme and ensure the sustainability of Greek debt. With regard to monitoring measures, each Member State which has benefited from a macro-economic adjustment programme of the European Stability Mechanism shall, when exiting from this programme, be subject to post-program monitoring. Taking into account the special economic and financial situation of Greece and the amount of financial aid granted to Greece, the European Commission intends to activate, in the coming weeks, the so-called enhanced supervision procedure, an approach which has also been supported by the Greek authorities themselves. This monitoring is described as "reinforced", as the development of the Greek situation will be assessed through quarterly reports that will allow for closer monitoring of the economic, budgetary and financial situation as well as post-programme political commitments made by Greece. This enhanced monitoring will be in place until 2022 and normal post-program monitoring will continue even after that date. As far as the growth of Greek GDP is concerned, I remain convinced that the growth of Greece can continue in view of the significant efforts made in recent years – unfortunately not done before – by Greece in terms of structural and budgetary reform and the commitment made to continue and finalize the implementation of all the key reforms adopted in the framework of the financial assistance programme. The financial assistance and debt relief measures that Greece has already benefited, coupled with these reforms, from prudent fiscal policies and an ambitious growth strategy are the essential elements for maintaining Greek growth. I come to your last question. The current aid plan, as well as all the measures to alleviate Greek debt, have been absolutely essential for Greece to be able to cope with its serious economic, budgetary and financial problems, if not social ones. Without all these efforts by the euro area Member States, the Greek economy could not have been revived.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u39	Mr President, Minister, thank you for your answer. The extremely difficult period since 2010 has made it possible to correct what had not been done either by the Greek Government or by the European authorities when it was accepted that Greece should enter the euro area, although it was clearly not prepared for it. At the time, this had been done for political reasons. I think things are actually getting better today. It is quite symptomatic to see that young people who had emigrated elsewhere in Europe are beginning to return. I believe that this is really a very interesting sign, which is also observed in Spain. I would almost tend to say that to help Greece, beyond the institutions, many Europeans would have to go there as tourists. This obviously helps to boost employment and Greece in general. Thank you.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u40	Minister, I asked the Prime Minister a question in plenary a few weeks ago about a separate budget for the countries of the euro area. Merkel and Macron advocated a kind of separate budget. This would free up billions to absorb shocks in the euro area and ensure greater economic convergence between Member States in the euro area. I read in the Dutch press, because little has been said about this in the Belgian press, that the Dutch Finance Minister Hoekstra is opposed to this budget for the euro area. He could have warmed up 12 EU countries to write a critical letter to Mr Cento, the Portuguese President of the Ecofin Council. There are many questions about this budget for the euro area. They say that they do not know what it is going to lead to, that they do not know their statute, that they are wondering whether it should be paid through a European financial transaction tax and what the implications are for a joint investment programme. In short, many questions remained open. The following concerns me, however. I believe that this dossier is not yet 100% mature and that there is still much to be discussed about the implications of such a budget for the euro area, regardless of the general budget for the EU. It says, however, that you would have signed that critical letter together with 12 countries. I was told by the Prime Minister in plenary that he was actually a great supporter of this and that he was on the line of Merkel and Macron to make that happen. He also said in his reply that it all had to be drawn out very precisely. Did you sign that letter or not? If so, on whose behalf did you sign that letter?
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u41	Mr President, I can actually be brief. You refer to a critical letter addressed to Mário Centeno, the President of the Eurogroup. That's how it got in the press, I can't deny it. However, there has been no letter of any kind. Here's what happened. We have had a long discussion in this famous Eurogroup about a budget for the euro area, in what way, under what conditions, for what amounts and so on. At the end of the discussion, Mr Centeno gave a summary of the discussion. Turned out what? He clearly had a whole series of arguments, pro and versus, not included in his summary. We have said with twelve or thirteen countries that it was not possible to give a summary as chairman of a meeting, leaving out half of the discussion. We sent an email to Cento with twelve or thirteen finance ministers, of the most diverse plumage, and pointed out to him that, for the sake of completeness, he felt that he should include additional elements in his communication on the discussion that had taken place within the Eurogroup. It is by no means the case that I or the other eleven or twelve endorse all these points. We simply pointed out that these points were included in the discussion, but were not included in his note verbale. That's what happened. I'm gonna stand behind that. If a meeting president summarises a discussion, I can understand why he overlooks two or three details. This is peculiar to a summary, but it was not evident to a large number of people present that he was able to agree with or disagree with a number of important points. For the rest, as the Prime Minister said, there is still a great deal of thought to be given to this euro budget. How will it be organized, with what mechanisms? There is no such thing as a budget in itself. A budget consists of the things that are put into it and that can work as a budget. Those are things that still have to be filled in. We must be careful not to create gratuite flows of money, in any direction, which are subject to insufficient control or discipline.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u42	I am also in favour of the principle of a separate euro budget, in that there are mechanisms for contributing to economic convergence and for certain countries which cause certain shocks in the euro area. However, I agree with you that its impact is not clear. It must not be a new circuit of aid to countries that are in difficulty. It must be centred on the euro area, on the currency itself.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u43	It is indeed inevitable and necessary that there should be an increased form of risk-sharing between the Member States of monetary union. The question is just how it is best organized to increase cohesion within monetary union and to prevent profit-making.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u44	Following the migration crisis, this issue will undoubtedly remain at the heart of the European Council, but there are other concerns at the moment.
ParlaMint-BE_2018-07-10-54-commissie-ic948x.u45	Debates of the European Parliament Mr Van Hecke's 26472 was converted into a written question.
