ParlaMint-BE_2018-02-21-54-commissie-ic825x.u1	Mr Vanvelthoven has been excused, but Mr Deseyn maintains his question.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u16	Yesterday, a colloquium was held between the national parliaments and the European Parliament. During this debate, we discussed it for almost two hours with Commissioners Moscovici and Dombrovskis and with the chairman of the Finance and Economy Committee, whose name I do not know. He's Italian. We have mentioned a tax on turnover. We have had the whole discussion about digitisation and the numerical economy, about Amazon, Google and such companies. We have heard the statements made by almost all the Member States who are very concerned about this evolution. The European Commission will also make a number of proposals. I do not know if they have already been to the Ecofin Council. However, this is a debate which is really taken seriously at European level. Everyone insists that there should be fiscal justice in this area too. Indeed, a number of companies which are simply unlocalisable because of their activities are currently withdrawing billions of euros from the community.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u17	I would like to make a clarification that I think is very important in this discussion. Of course, the tax contribution of these companies is very important, but another aspect at least as important, in my view, is the monopoly aspect. We must find a solution for them to pay a proper contribution, but we must avoid that the discussion on this subject "blame" us for the monopoly aspect which is much more important in the long term for society, well-being, etc. Attention must therefore be paid to both aspects. A solution must be found for the taxation of turnover. The question is how to locate the latter. There will probably be somewhat arbitrary formulae. We will have to agree on this. But I repeat that we must not forget the monopoly aspect which, in my view, is the most important. If we don't act, the situation will get worse. This is an issue that must be discussed at the international level.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u18	Mr President and Mr Minister, I thank you for your additional comments, which show that there is a real interest in this fundamental issue. I agree with you on the monopoly aspect. That is why European champions should be formed in this area in order to open up competition. Yesterday, the working group on the digital agenda met for the first time and heard from Professor Bram Vanderborght of the VUB. We will of course continue our work. My colleague Kitir and I hope that, within this framework, we will be able to address the tax aspects – even if this is not yet decided. In any case, politics must take over this essential theme. Similarly, I hope that many other issues will be dealt with in detail by our working group, which will also benefit from the views of this committee as well as that of the minister. We're only at the beginning.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u19	Mr. Chair, Minister, farmers under the lump-sum scheme had the unpleasant surprise of receiving a reminder from the FPS Finances indicating that their tax return had not yet been filed. This letter of reminder, wrongly sent to 6,585 farmers, concerned the declarations lodged between 4 and 10 January 2018 by an agent via Tax-on-web. Indeed, as a result of an error by the FPS Finances, the FPS did not take these statements into account in the selection of reminder letters. Minister, such a mistake has a certain cost, even if it is clear that it can only happen to those who work. I do not incriminate but I think that in 2018, this specific taxation for farmers is very well known to the finance administration. I therefore wanted, without controversy, to take stock with you and have your version.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u20	Mr. Chairman, Ms. Cassart-Mailleux, the General Tax Administration sent approximately 240,000 reminder letters for returns not filed for the 2017 tax year. Unfortunately, to farmers subject to the flat-rate scheme, it had sent 6,600 letters of reminder wrongly. It is an integrated chain of several IT applications that supports the processing of personal tax and includes data exchange between these applications. As a result of a technical error, the administration did not take into account the declarations made between 4 and 10 January 2018 by an agent via Tax-on-web. The FPS Finance has communicated via its spokespersons, the website and social networks and to representatives of the economic professions. Indeed, the General Tax Administration automatically grants an additional period of time on 10 January to farmers who file an electronic declaration via an agent. In addition, the reminder letter stated that the taxpayer should not react to the return if it had filed its return. Not all reminder letters sent on January 25, 2018 are affected by this error. We've identified the mistake. As I have just said, this involved approximately 6,600 declarations for the period from 4 to 10 January 2018. I come to your question as to whether this error had already occurred in the past. The answer is negative.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u21	Mr President, I thank the Minister for the comprehensiveness of his response. I did not want to argue, but I wanted to take stock with you on this and thank you for doing so. Indeed, I had had some echoes concerning this unwarranted reminder.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u22	Mr President, Minister, I have two questions, one of which is more general and the other specifically applies to the overtime scheme. The Programme Act of 25 December 2017 provides for a limitation of the tax benefits pro rata temporal. It concerns in particular the limitation of the benefits in the tax for non-residents. On the basis of the case law of the European Court of Justice, Belgium should only grant the same income-related benefits to non-residents who do not earn most of their income in Belgium as those granted to nationals. The scheme was already announced in 2016 with the policy paper for the year 2017 and is implemented with the Programme Act. A person who is resident in Belgium for one month, who carries out any economic activity or engages in a professional activity, is taxed for one month. In this respect, it is also logical that tax advantages are granted not for a full year but in relation to residence or presence in Belgium. In its opinion, the Council of State cites the judgment of the European Court of Justice of 29 April 2004 in the Pusa case. In doing so, the Council does not have sufficient time to examine for each of these benefits whether their deletion does not lead to inequality in breach of European law. That's a very interesting situation. After all, the European Court of Justice makes judgments and mentions a matter of principle, whereas the Council of State says that it is not able to examine this for all its parts. However, we have all approved these matters, and that had to be done quite quickly, which is typical, but now there are comments from practice and we have to take into account higher case law and so on. When preparing the programme law, have you been able to test all these tax advantages in the cabinet or in the administration? Is there a note on that? After all, the Council of State does not say that it has been able to check everything. In anticipation of the many practical problems in the future, do I wonder whether the application can pass the test according to the criteria expressed by the Court of Justice in different judgments? Has this exercise been carried out or is that work still on the shelf and should it be taken up over time? That wouldn't be an ideal situation. In order to better prepare the future, it is very interesting to know the data from the preparation. My second question concerns one of the many advantages, in particular overtime. The introduction to this question is, of course, the same as for the previous one, since the principle has already been sufficiently outlined. The overtime must have been paid in Belgium at 100% and taxed, otherwise the benefit will not be paid or will not be paid. It is in that context that I would like to ask you the following questions, Minister. Can you clarify how this measure relates to Article 156, 2°? This is the article that exempts professional income earned abroad. In particular, can you clarify how that article relates to the professional activities or activities carried out in countries with which Belgium has not concluded a double taxation convention? Why is that important? A duty-free sum shall also be calculated in time and pro rata according to where the professional activity is carried out. The same applies to the benefit for overtime. The tax reduction for foreign income depends on whether or not a tax treaty exists. We are therefore dealing with a matter which needs to be cleared as to the order of accounts and where a distinction applies. Suppose, for example, that 90% of overtime is performed in Belgium and 10% abroad, is the benefit completely lost or is it calculated on a pro rata basis? How does that relate to Article 156, 2°? This is a specific scheme for occupational income earned abroad. If there is no double taxation convention, the system is that revenue will be reduced by half, if I am in favour of it. We're sitting there with different fractions in that account, which is very complex. Let me give you an example. If there is a professional activity for five months in France and seven months in Belgium but the overtime is performed entirely in Belgium, do you think the benefit will be retained or is there a pro rata consideration? These are all interpretations, so these are important questions to consider how this should be calculated in practice.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u23	Mr President, Mr Deseyn, first I come to the Pusa case with regard to the tax advantages. By reducing certain tax advantages on the basis of the duration of the taxable period, the Government has sought to avoid that taxpayers who transfer their residence from abroad to Belgium or vice versa during the taxable period could benefit from these tax advantages twice. A system that avoids double benefits and treats residents and non-residents in the same way does not seem to me to be contrary to European law. With regard to overtime questions, in order to benefit from the tax relief for overtime, it is not necessary for this overtime to be carried out entirely in Belgium, but the remuneration from that overtime must be fully taxed in Belgium. For residents, this means that the reduction for overtime does not apply to overtime remuneration to which the tax relief for foreign income has been applied. This is then both the exemption with progression retention and the reduction to half, in application of Article 156, to which you refer. For non-residents, the reduction in overtime is only applicable where the remuneration from that overtime in Belgium constitutes taxable occupational income which is actually regularised in the tax return in non-residents. It is therefore not necessary to establish a ratio between overtime worked in Belgium and abroad and subsequently to limit the tax relief for overtime in accordance with that ratio.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u24	Mr President, Minister, that is what is called 'the points on the spot'. Thank you for the clarification.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u25	Mr Minister, the flexi-jobs were extended by the Programme Act of 25 December 2017 to retail and hairdressing and, on the other hand, to pensioners. This extension should no longer be translated into a tax exemption. At that time, you proposed that the income paid as a result of flexi-jobs should be included in the calculation note attached to the bill. That seems to me to be a very interesting slope. In this way it will be possible for the tax authorities to see how much revenue a taxable person's income is exempt from tax in the context of flexi-jobs. The same is true of the profit premium and the measures relating to non-taxable income. This led to the curious conclusion that the system thus far did not provide for the inclusion of income on the calculation note. The question then is how the tax authorities were able to verify the correct application of the flexi-jobs and whether there was no improper use or even fraud involved? At the start, too, the question of how we could follow up and how we could rule out abuse was discussed. I think you have chosen a very good path now, but what about the previous revenues from flexi-jobs? How are they handled in an administrative manner? How can we properly monitor this? Or did we have a different view of the tax exempt amounts granted under flexi-jobs, as well as the number of taxable persons using them? It would be interesting to know what amounts are involved for how many flexi-jobbers from entry into force until now.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u26	To date, no control action has been organised on the application of flexi-jobs, which of course has to do with the relatively recent nature of the subject. However, my administration will carry out an analysis and, according to its results, determine the most appropriate approach for any tax risks. The organisation of a control action is a possible outcome of the analysis. It is, of course, possible that certain valuation services have already carried out checks on the correct application of flexi-jobs in the context of locally selected files. The exempt income from flexi-jobs will be shown on the revenue sheet 281.10 in the Miscellaneous Information section as from the 2016 revenue year. In this way, the administration has a view of the amounts exempt from tax, the number of taxpayers with a flexi-job and the number of employers employing flexi-job workers. For the 2016 revenue year, this amounts to EUR 36.1 million in exempted amounts, 28 097 flexi-job workers and 6 553 employers. The data for the 2017 revenue year are not yet available, as the sheets may be submitted until 1 March.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u27	Minister, the future system will certainly be better. We'll have more info. You're saying there haven't been any check-ups yet. That seems to me to be wrong, all the more so if one wants to counter the rumor that flexi-jobs in practice amount to the replacement of a full-time job by a four-fifth job, which is then supplemented. So far, all this has been quite difficult to estimate. It therefore seems to me justified to add a question of information and clarification, because otherwise the system cannot be controlled and no one knows how much money is invested in it in terms of fiscal expenditure. These are interesting figures, which can be a useful tool in evaluating the flexi-jobs system.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u28	Mr President, Minister, it is an interesting point in terms of administrative simplification that a registered letter could be replaced by a plain letter. In addition to the measures in the fight against tax fraud, the programme law of 25 December 2017, which we have already discussed a number of times today, includes measures for better and more efficient collection, which is not an insignificant matter. After all, much remains to be recovered, bearing in mind that there are still outstanding tax debts of EUR 18 billion. However, I have a specific question concerning the gradual replacement of the registered letter by the ordinary letter to the domanial law of 1949. If I understand correctly, the ordinary letter provides that the limitation period shall not be interrupted. For the official, this is annoying because the legal effects would be different in that case. It may be argued that such formalities are strictly complied with in order to protect the legal person concerned. However, if the official wants the limitation period to be stopped, a registered letter will have to be sent. Will this not lead to duplication of work or will the services not dare to send the ordinary letter first? Does this mean that there is no administrative complexity in the system, although it was intended to simplify matters? Is the administration being contacted by you about this? What will the modus vivendi be? How will that be handled? Will the solution be to try the ordinary letter first? Quid with the issue of statute of limitations? Will there be no additional costs? That is my fear, namely that there would be duplication of work. The measure is very well-intentioned. However, I would like to assess how the area and administration can handle this measure in a good way.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u29	Mr President, Mr Deseyn, first of all I can make it very clear that the two letters in question do not create any duplication. One month before the debtor is allowed to prosecute the debt, he must send a payment order to the debtor. Since 8 January 2018, this can also be done by regular letter. In addition, the recipient has the possibility to stop the limitation period by sending a registered notice of payment. Both letters have a very different purpose or finality. Where the debt is subject to limitation, the recipient must verify that there are still real and proportionate recovery options. Only in that case may he stop the limitation period by sending the registered letter of payment, to which reference has just been made. As discussed, both letters therefore serve a different purpose. The first letter aims to obtain a spontaneous payment and the second letter is sent only if the debt has not yet been paid, when the debt comes to a limitation period. The notice of formal notice is part of the automation of the recovery of non-fiscal claims. Since this automation was only recently implemented and the registered character was changed from 8 January 2018, there is currently no figures available on this subject.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u30	Mr President, this is an old written question that has not been answered for more than a year. If we have to play the ball briefly in the fight against terrorism, it is time to raise this question as an oral question. It is important that an answer is given, because it is an interesting method, which is detrimental to the tax authorities but inventive. Indeed, the marketing of CO2 emissions certificates is injected into a VAT carousel and this allows the public authorities to be informed of large amounts of money. There would be a network in Germany, Italy and the Netherlands. Measures have already been taken against this in the Netherlands. As far as I know, there is now an investigation in Germany. In the light of previous experiences with VAT carousels, we must ensure that Belgium is not abused unnoticed in order to allow public money to be diverted to terrorist actions via international scam. As a result of a reportage and the revelation of the entire filière, I would like to ask the Minister if he has any knowledge of the involvement of Belgian companies, of abuse in which VAT owed to Belgium was never paid and whether there have been any contacts. As the neighbouring countries were suffering, I would be surprised if there could be no Belgian outcry. This is worth at least an investigation or contact with the administration in the Netherlands, Germany and Italy. Is an investigation currently under way, possibly in the context of a risk analysis? After all, we know that the administration is actively working on this and that it is a prominent part of your policy to combat VAT carousels. Is VAT fraud by jihadists in Belgium or do you not know about it?
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u31	Mr Deseyn, at the moment, the tax authorities have no knowledge of cases of fraudulent practices that are relevant to the financing of jihadist practices. Indeed, in the context of its ongoing contacts with the specialised administrative units in other countries, there have already been a number of informal contacts on this subject, without, however, direct links with Belgium. As always, the BBI remains particularly vigilant for every possible fraud phenomenon, in all aspects. It goes without saying that, as soon as she was informed of the subject raised by, for example, the anti-money cell or the parquets, action would be taken immediately within the tasks of the BBI.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u32	Thank you, Minister, for your reply.
ParlaMint-BE_2018-02-21-54-commissie-ic825x.u33	Mr Minister, recently, in the columns of La Libre, you made an important point about the EUR 45,000 rule, which concerns many SME leaders. Indeed, the economic fabric of Belgium is made up of a large number of SMEs which could be weakened by too brutal application of this rule. The measure therefore specifies that the minimum remuneration to be granted to at least one manager of an undertaking shall be increased from EUR 36,000 to EUR 45,000, but that if such remuneration proves to be less than that amount, it shall be accepted that it is only equal to the minimum taxable profit of the company. You indicate in the press that the 50/50 rule has not been changed and that it is sufficient that the minimum remuneration is equal to half of the company's profit. As an example, you then take the following case: "A company with a profit of EUR 50,000 may continue to pay its manager up to EUR 25,000 while benefiting from the reduced rate." This statement did not fail to raise very many questions on the part of professionals in the figure, in particular the Order of Accountants and Accountants Patented in Belgium. Minister, what definition do you give of the company's "profit" or "profit"? Is it the taxable basis determined after the additions of D.N.A. and extra-accountable deductions? Is this the accounting profit? Is this the accounting profit or the taxable basis previously reduced by the executive's remuneration? It is obvious that all these rules fundamentally influence the 50/50 on the definitions given. Minister, in order to avoid any interpretation, can you confirm that the reduced rate applies in two situations that I take as an example? For example, a company with a tax base of €75,000 must not allocate €45,000 to its manager to retain its right to the reduced rate, but can only pay it a fee of €37,500. Similarly, a company with a taxable base of 26,000 euros and which has awarded a remuneration of 20,000 euros to its manager will never be penalized by the loss of the reduced rate. Thank you, Minister, for giving us a little clarification or definition that will allow us to empty all interpretations that can generate a lot of gesticulations in the coming months.
