ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u1	Question No 27460 by Mrs Fonck is transformed into a written question.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u12	Mr Minister, I have once again put a question on the defective equipment at SNCB because it appears in the punctuality barometer as one of the causes of the reduced punctuality and the abolition of trains. I will come to my questions immediately. What is the exact proportion of the defective equipment in the delays and abolitions in the last punctuality report? How long does an average train set stay out of service? Which train sets have the most problems? Why is a lot of equipment defective and not usable? Are there any problems with the number of spare parts? Is the maintenance postponed? Are there any contracts with external contractors? I hear stories from the studios that because of this part of the works would not or would not be performed properly. Which works are performed in our own studios?
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u13	Dear colleague, SNCB informs me that in October 2018 it was responsible for 30.4 % of the number of delays on the network. 21.9 % will be charged to the equipment, with 32 453 minutes delay and 670 abolished trains. 260 trains were completely and 417 trains partially abolished due to material problems. The average repair time of a defective vehicle in the workshops is one to two days and depends heavily on the complexity and severity of the damage. For example, simple damage could be repaired in a few hours. However, complex damage, with more labour-intensive repairs, takes a longer time. I am thinking of repairs after collisions. In addition, small repairs and depannages are carried out on the trains while they are used. The greatest number of problems, based on the number of incidents and on the number of incidents per million kilometres, occur in the older types of equipment such as the L27 locomotive, which was hired from 1982 to 1984, and the dual motor vehicles MR66 and MR79, which were hired from 1967 to 1980. These will be phased out by 2023. The causes of the equipment problems are technical failures, manipulation errors or external causes such as, for example, a failure of the infrastructure. Common failures include safety systems, external doors, traction systems, braking systems, couplings, etc. There are several reasons why the equipment cannot be available for commercial services. For example, we are thinking of maintenance and repairs, modernisation or overhaul of the train sets, modifications to the rolling stock such as the installation of the new ETCS safety system, which may require a longer immobilisation time. The above tasks are necessary to ensure the safety, quality, reliability, comfort, etc. of the equipment. The maintenance programme shall be carried out in accordance with the applicable maintenance rules. Various actions are ongoing to further improve the maintenance processes of rolling stock, with the aim not only of improving quality, reliability, availability and cleanliness but also of reducing costs. The objective of that multiannual action plan is to reduce the overall immobilisation rate of the equipment by 30% by 2021. For certain spare parts, SNCB does indeed have contracts with external contractors such as for the repair of toilet parts, the repair of components of inverters, the repair of traction motors, etc. Maintenance and repair work on passenger transport equipment shall be carried out in its own workshops.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u14	Thank you, Minister, for your reply. It does not surprise me, of course, that the types L27 and the dual motor sets are most often defective. However, I also find the non-enableability of Desiro trains, for example, problematic, because they are new ones. You have said nothing about this today in your reply, but at other times you have already mentioned that newer trains, which have recently been invested, are also included in the immobilisation rate. Of course, we can only welcome the target of reducing immobilisation by 30% by 2021. For this reason, it is important that deliveries continue to take place. For the more recent devices, it is necessary to check where the defects occur so that they can be resolved.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u15	Mr President, I would like to add that while the Desiros have caused a lot of problems at the beginning, especially in the winter months, today it is the least broken equipment: on average 18 failures per million kilometres compared to 45 failures per million kilometres for other types of equipment. Both for the M7s and for the M6 revisions, we're going to do predictive maintenance with a system that will capture the signals of the faults along the tracks by sensors. The train will send a signal, so that we will quickly know the nature of the breakdown. At present, rail managers and trade union organisations are negotiating to ensure that there is no longer necessarily an interview from 08:00 to 17:00 but to organize two or three shifts, so that the small breakdowns that occur during the day can be repaired at night and equipment available.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u16	Mr President, Minister, every month, Infrabel publishes a punctuality report on the basis of several criteria. On reading these, I made several observations. Generally speaking in 2018, the lack of punctuality is intensifying on the Belgian railway network. More specifically, in comparison with the eight large non-Brussels stations, the punctuality at the arrival of trains is the most catastrophic for Liège-Guillemins. There was a drop to 68.5% of trains arriving at the scheduled time or within six minutes in September, compared to an average of 72-86% in the other months. Liège-Guillemins is therefore the worst student, lagging behind the other seven large non-Brussels stations. With regard to the Liège-Brussels line, while good averages can be considered during the summer months, we also deplore the fall in punctuality in September 2018: only 69.8% of trains at peak hours in the morning and 61% of trains at peak vespital times arrived on time. It should be noted that this line is used daily by thousands of workers. Another comparison shows that connections are less and less well insured at Liège-Guillemins station compared to 2017, with a fall to 79.4% in September. It also appears that, on the whole, the averages are the most critical at peak hours. Minister, these figures are very challenging. At a time when policymakers must be part of a dynamic of ecological transition, it is essential that more environmentally friendly and quality alternatives to cars be offered to citizens. At a time when the cost of fuel is increasing, especially as a result of the government's increased excise duties, and this creates great difficulties for citizens who are forced to tie the two ends at the end of the month, it is crucial that accessible alternatives to the citizens' portfolio be implemented. Since it is a public service, the mission of the service is to provide quality service to all citizens. It is not conceivable that citizens, who use trains at peak times to get to work, training or school, will be taken hostage by the lack of punctuality of trains. In 2017, during the presentation of the transport plan, you announced, in the province of Liège, that you would further develop the small links, in particular by reopening the stops of Chaudfontaine, Seraing and Ougrée, increasing the traffic of these lines and also reducing the journey time. That is a good thing, to which we fully adhere. How, therefore, can this plan be implemented if punctuality at the Liège-Guillemins station is not ensured since this station plays essentially the role of funnel with the lines of Brussels and of interchange between the more rural lines? In view of the poor results of the Liège-Guillemins statistics, it would be advisable to carry out an analysis of the results on all the lines joining Liège-Guillemins in order to quickly put in place the means necessary to improve the quality of transport. Minister, how do you explain these poor results with regard to the Liège-Guillemins station? What measures do you intend to take to improve punctuality? How do you intend to achieve the objectives you set out in the 2017 transport plan if the connections at Liège-Guillemins station are not better assured as well as punctuality? How do you intend to further encourage rural citizens to travel by train under such conditions? Could you provide statistics on punctuality on all lines arriving in Liège-Guillemins? Some of them relate specifically to the territory in which I live; here I am referring to line 42, but there are also lines 43, 125, 2, 36, 37, 40, 34. Do you intend to carry out an analysis of the punctuality of all the lines joining Liège-Guillemins and to put in place measures to improve the quality of transport?
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u17	Mr President, dear colleague, the SNCB informs me that the poor quality in terms of punctuality in Liège is explained by several factors, among which the damage to the equipment and countless thefts of cables committed, initially, on line 2, high-speed line between Louvain and Ans, mainly between Hoegaarden and Ans. In addition, in the vast vicinity of Liège, trespassing and renovation work on line 37 Liège-Border towards Aix-la-Chapelle has had a significant impact on the Eupen-Ostende and Welkenraedt-Courtrai relations as well as on the L trains between Verviers and Liège. I'll give you a picture of the causes and responsibilities of the delays that was provided to me by Infrabel. You will find – Belgium's most critical location – that third-party causes on line L2, line 40 and line 125 reach 63% of the causes related to the degradation of punctuality following two phenomena. The first is the theft of cables, which can affect some weeks up to 1.2 million passengers. Then comes trespassing, especially in the Liège region. SNCB also informs me that it is taking the necessary steps to limit the number of incidents and their impact. Thus, priority is given to actions aimed at reducing the number of equipment failures by, for example, better repair in maintenance workshops, enhanced monitoring of equipment performance by means of?- Is that what you're saying? depending on the equipment – with feedback to the "train drive" service – the commissioning of new workshops in order to increase capacity and, finally, an action plan to reduce the number of incidents related to the safety system. That's for the rules that are internal to SNCB. Permanent attention is also paid to the need to make the first trains of the day leave on time. In collaboration with Infrabel, action plans have been developed to reduce the number of incidents attributable to third parties, such as personal collisions, trespassing and cable theft. However, we must be aware that, for this latter phenomenon, we had to strongly insist that all the actors – who had been gathered in 2011 during an important first wave – should meet in a committee chaired by the Federal Police of Liège. She and the local police, Infrabel and SNCB have mobilized the means to try to identify and dismantle one of the gangs behind these numerous robberies – sometimes three days in number. Finally, SNCB consults regularly with Infrabel to plan important work in the most efficient way possible to limit its impact on punctuality. The potential consequences of the work should be better estimated. In addition, train schedules must be arranged in such a way that they are not delayed in the construction areas. Infrabel, an infrastructure manager, set out a series of action plans to combat cable theft. In particular, the aim is to constantly raise staff awareness of cable protection and continuous vigilance. A feasibility study on the use of drones on the rail network during the night or the installation of additional cameras are also included. Infrabel is also developing action plans to combat the presence of people on and along roads, for example through communication campaigns at major events or preventive controls by Securail. With regard to operational difficulties during the work, the infrastructure manager shall ensure better internal coordination for the preparation of work planning and shall intensify consultations with railway undertakings for adaptations to train service. Other measures to improve punctuality are also implemented: campaign against lack of adhesion, periodic inspection and seasonal adjustment of switches, and implementation of a monitoring system to quickly identify defective axle meters. I give you a table showing the figures on the punctuality of the lines arriving at Liège-Guillemins station. The manager of line 36 follows the influence of all the lines that cross in Liège. In addition, I have decided to convene the Boards of Directors of the two companies (Infrabel and SNCB), in order to identify effective, structural, shared, coordinated and concerted solutions, and to raise awareness among the Boards of Directors as a whole on this issue, which I believe should be the first item on each of the Boards of Directors before the other agenda items. I believe that this is about the quality of rail supply, along with the safety and quality of communication to users.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u18	Mrs. Matz, for a reaction?
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u19	Thank you, Minister, for the delivery of the documents and for your very precise answer, although I feel it somewhat tinted, on your part, in disarray with these figures. Just look at the colours of the table on the other lines to realize that, including on the line that arrives in Liège-Guillemins, it is the disaster, even though I have not yet had time to analyze the table line by line. I understand the plans implemented, but the punctuality figures we are talking about date back to September, which means that the measures that have been taken on the dismantling of networks and the targeted actions against the theft of cables, for example, have probably not yet produced their effects. I assume that the plan you mentioned was not in September and that Infrabel took this case with his arms. One can only be questioned, and sometimes even angry, in the light of these events. I hear in the tone of your answer that you are not satisfied either. We cannot preach everything and its opposite. Moreover, it is Liège-Guillemins, not Aywaille station or Gouvy station! Liège-Guillemins is an important transit place frequented by commuters. How do you want the citizens not to be in disarray about these punctuality problems? I hear that many measures have been implemented. However, we note that this work is not bearing fruit. On the other hand, I do not understand why cable flights are almost exclusively concentrated in the district of Liège. Why would these measures bear fruit in other places, even though not everything is perfect there either? I don't understand what's going on and I'm revolted. Are you going to put in place sufficient means to offer citizens something other than the increase in excise taxes without having an alternative to offer them?
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u20	The plan for the arrest of cable thieves dates from 15 October. Before that, two to three cable thefts took place every day, concentrated in the district of Liège and on the line between Namur and Gembloux, for reasons that justice should clarify. We thought the bands responsible for these flights were taking the cables outside. But, apparently, these are rather bands whose proximity to the lines has been demonstrated. By subtracting the causes of third parties, what is called punctuality after neutralisation is identical in Liège to the country's average. The phenomenon of cable theft has been particularly detrimental on this line. If we pull out the thirds, we're in the neutralized average.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u21	The result, however, is the same, and you will agree, minister. Whether it is theft of third parties or internal causes, it remains the same for commuters.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u22	Apart from the fact that the liability of third parties is not the responsibility of SNCB. The train arrives late for various causes: suicide is not an internal cause, nor cable theft. But when the responsibility for delay lies with 63 per cent of third parties when 35 per cent is elsewhere, the traveller does not distinguish between the third party, Infrabel and SNCB, while those who have to deal with the problems arising therefrom are different people. The presence of a medical-psychological institute next to a line poses a problem at three locations in the network. We can't move the area or electrify the fences. There are therefore internal and external causes. Be aware, moreover, that the figures for punctuality for the month of October 2018 compared to October 2017 show that punctuality is increasing for various reasons and, in particular, because there is a decrease in the number of events of third parties. When we talk about internal or external causes at SNCB and Infrabel, it is the two companies that have to work to reduce their internal causes. When it comes to external phenomena, there are different ways to fight. Thus, to stop the gangs, it took some time for the authorities in charge of this issue to become aware of the impact it had on the population. As early as June, I asked the group to meet. Before that, it took some time for authorities that are not specific to transport to become aware of this. There are elements related to suicides that are very seasonal. You're a mayor, you know what's going on in your communes.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u23	Mr Bellot, unfortunately I am not a mayor.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u24	No, but you're a communal agent. You know what's going on. There are mayors here who know what I mean. There is a great deal of cause and we need a lot of solutions. With regard to trespassing, incidents at railway stations, etc., we have passed the Administrative Fines Act. We hope that this will bear fruit. Very regularly, roads are closed because trees along tracks are not maintained, especially in winter, with the weight of snow. There are a multitude of causes and each cause must be addressed with a particular action. I wanted to say, however, that these repeated cable flights were very largely the cause of a gap between Liège and Namur and the other regions. The situation has finally been taken care of. I think ten people were incarcerated. Since then, we have almost returned to a normal situation. There is still one attempt from time to time, but more on the scale of the last few months.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u25	Minister, we will wait for the next punctuality reports to see if these causes, in any case a large part, are outside the statistics. I can only invite you, I think everyone will, to keep a closer watch on this punctuality. This is a particularly important factor for commuters, who are also required to make substantial efforts.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u26	Minister, on line 162, many stations do not have electronic lane displays. This has implications for passenger information, particularly in Arlon, where it is necessary to change trains in order to continue their journey to Luxembourg. Engine noise sometimes renders announcements of delays, lane changes or deletions inaudible. Other stations are concerned, including Libramont and Jemelle. It seems to me essential that proper information be given to the passengers and that the tracks be equipped with a display, especially in stations where connections are planned. Minister, why do the stations in Libramont and Arlon not have a track display? Are there other stations involved? Is it possible to remedy this situation? If so, within what time frame?
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u27	Dear colleague, the screens at the stations are installed and managed by Infrabel. In general, the number and type of screens are defined according to the number of passengers. A minimum number of mounted passengers is required to install screens on the docks, and the Arlon and Libramont stations do not reach this number. At present, the Arlon and Libramont stations have the same type of equipment, i.e. a screen showing the list of trains at departure and a crisis screen in the train station lobby as well as in the under-lane corridor. In Libramont, the waiting room is also equipped with the same types of screens. In order to inform its passengers as best as possible, SNCB informed me that it had intervened with Infrabel to ensure that the docks of these two stations were equipped with screens with the list of trains at departure. The project is scheduled to be completed in spring 2019.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u28	Minister, thank you for this good news. At last, correct information can be given to travellers in an audible way. I would like to thank you for pacifying this situation, which is creating problems at present.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u29	Mr President, Minister, the traveller has the opportunity to submit a request for compensation in the event of a delay in his train, in accordance with various procedures set out on the website belgiantrain.be. However, there is a question about cross-border trains. Indeed, I am contacted by users who tell me that it is not possible for them to obtain compensation for a cross-border journey that has been delayed by way of Arlon, for example for a Virton-Luxembourg journey or a Marloie-Luxembourg journey. As passengers are currently required to switch trains to the Arlon train station, the delay would not be calculated on the entire journey, either Virton-Luxembourg or Marloie-Luxembourg, but only on the part in Belgium. Minister, do you confirm this information? If so, is this situation specific to the cross-border situation of Arlon which requires users to switch trains or is it generalizable to all cross-border trains? So if you confirm this information, what can be done so that all travellers can benefit from this compensation system? Thank you.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u30	Dear colleague, the SNCB informs me that the compensation system for cross-border travel covers a full journey, whether with or without correspondence. A passenger with a SNCB ticket who makes the Marloie-Luxembourg journey by changing train to Arlon will receive compensation for the total delay calculated on the complete Marloie-Luxembourg journey.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u31	Minister, thank you for that clarification. I am glad to know that the information was wrong and that the system of equity among all is well put in place.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u32	Mr President, Mr Minister, even if the attendants are not directly involved, this issue is all the more relevant because, as you have probably read in the press, three Securail agents were beaten by some 30 people in Brussels North. To return to our attendants, we were all able to see in our stations the new awareness campaign regarding the insecurity felt by train attendants. An interactive display was placed at the main railway stations in Belgium, as well as posters depicting the photo of agents who had been attacked by travellers. Their portrait is behind a broken glass and SNCB users are invited to put their hands on it to "repair" the aggression. In 2017, assaults increased by 11% - 1,200 reported cases that resulted in 3,000 days of absence. In addition, since November 1, 2018, escorts can issue administrative fines to passengers without a valid transport document, allowing for legal proceedings. However, officers must wear a badge by which they are clearly identifiable. In Belgium, the choice was made to display the name and surname on this badge. Minister, while cases of aggression continue to increase, what concrete solutions do you envisage to ensure the safety of train attendants? Are additional teams from Securail being considered? Are there specific training courses for the attendants so that they can react best in the event of aggression? I'd also like to go back to the badge. I had already questioned you in October about this requirement to wear the badge. You replied that this was an "obligation arising from Belgian and European case law". Could you give me further details in this regard? Indeed, it would appear that in other countries names are not indicated on badges, which nevertheless allows for a response to case law and regulations. Is there a requirement to indicate the name and surname or other formality to identify the agents that could be put into practice? Why, if any, would a refusal to hear the request of train attendants who are now feeling insecure?
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u33	Mr President, ladies and gentlemen, I would like to make some clarifications before answering your questions. Prior to 1 November, train attendants already had the opportunity to prepare minutes when they found a violation of the Railway Police Act. All these offences were then criminal. The big difference since then is that certain offences can now be subject to administrative sanctions without going through judicial proceedings. The act is always the same, except for that change. By obliging the attendants to identify themselves, the legislator has only aligned itself with the other occupational categories which perform similar functions of observation, such as communal ascertainors, police officers or securail agents. The SNCB constantly adapts its anti-aggression masterplan. The awareness-raising campaign that you mentioned is one of the recent measures in the plan. As I was telling you on 24 October, it is important not to amalgamate between, on the one hand, the attacks on trains, which have been increasing for the first time since 2011, regardless of the badge that has only been mandatory since 1 November, and, on the other hand, the badge itself, in relation to which I hear the fears of the attendants, which I have met. These are two different things. These two issues need to be analysed separately in order to provide ad hoc responses. In relation to the attacks, the strengthening of the presence of Securail on trains is part of the measures of the anti-aggression plan. The same applies to the ICTo teams (Tickets Control Teams). In relation to the wearing of the badge, I would like to point out that the law of 27 April 2018 on the railway police, article 25, first paragraph, 5, provides that the ascertaining agents identify themselves by means of a legitimation card, whose model the King sets for the ascertaining agents. The observing officer shall be permanently and visibly identifiable by his name. In this respect, this law is the same as the law on municipal administrative fines; we have not invented anything. This identification requirement constitutes part of the elements necessary for the exercise of the protection of the rights of the defence. It derives from the probative force of the findings drawn up by the observatories which, in certain cases, are valid until proven otherwise. It is also a European obligation. On the other hand, in view of the fears of the attendants, as the SNCB closely analyses the cases of attacks committed in its infrastructure, I asked it to follow the evolution of the proven cases of reprisals outside the professional sphere that would be linked to the wearing of the badge. It is therefore too early to draw any conclusions at this stage.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u34	Minister, thank you for your response. There are indeed several points. I am not saying that the badge is immediately linked to the increase in attacks. If it is that you understood, it was not at all the scope of my question or of the elements that I have developed, since this nominative badge has only just been introduced. On the other hand, I think that the fact that the attendants are increasingly being asked to sanction when it is necessary and that this is part of the way in which they are assessed brings more confrontational situations where they are put at greater risk. Securail agents are a good thing but I think that those who are often on the front line and alone on trains, especially women unfortunately, are the attendants and the train attendants. I believe that the training they receive today is no longer necessarily linked to what they are being asked to do. I do not believe that the attacks will decrease in the coming months or years if we do not take full measure of what is happening today. The badge, as I said at the time, is more symbolic. I don't know. It would be interesting to follow up on cases that might arise in the future, but it is true that I did not understand why, to the extent that this satisfied those in the foreground, there was no other possibility. Identifying an attendant can be done in a way other than by bearing his/her name on a badge. I understand that this is not the option that has been chosen. I deplored him in October and I continue to deplore him today. I think we just need to realize that on the trains, it is men and women who are facing these attacks. They're human beings. I think there are things that could be put in place, on the one hand to ensure that they can do their work without risking their physical integrity and, on the other hand, to reassure them of things that may seem to be quite modest as this question of badge. In my opinion, we could find another form of visualization. I can only regret that the demands of these workers are not being heard.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u35	However, it is important to know that if people do not agree to pay the administrative fine spontaneously - this is the case in 70% of cases - already before the badge was worn, when SNCB meant another act, the name of the person holding the badge was indicated! I was also sensitive to the observations of the attendants. No need to put a plaque with a name in a thirty character font on the jacket. The simple card, such as that of police officers or Securail agents, is in ID format with the photo, the B of the SNCB or the I of Infrabel, and the name. At a distance of 30 centimetres, you can't read it. We are obliged, by provisions relating to the rights of defence, to do so, and that is how it is for all agents. The increase in the number of attacks compared to 2011 is certain and it is independent of the wearing of the badge. I also want to keep an eye on this issue. I said to the trade union organisations and the associations of accompanying persons: if you identify yourself, ask yourself about any problems. I know a situation and the people I talk to know about it. One day, there was a problem between an attendant and a customer on a train. The customer took a picture of the companion with his smartphone and, within ten minutes, he knew where the person lived, by the simple photo and the following comment: "Do you know this gentleman?" In my opinion, a lot of actions are possible. The new Desiro trains are equipped with cameras. The images are recorded and received live by Traffic Control. Any act of violence against an agent of the SNCB, accompanying or not, is an act of too much. I will always be with those who will adopt the necessary measures to both rescue and help people psychologically when they are victims, but also to condemn these acts with the greatest force. This is also the meaning of the Administrative Fines Act so that the feeling of impunity does not develop.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u36	Mr Minister, that is also what I want, namely that these escorts and escorts can do their work without fear for their physical integrity, and with pleasure, which is the case for most of them, I think. That's what my group and I want. You will always find allies in us to move towards greater security for our agents.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u37	Minister, the press announced a few months ago that SNCB would launch a new sub-urban offer (S offer) within a radius of 30 km around Liège, Charleroi, Antwerp and Ghent. The aim was to provide local transportation in addition to rail relations between major cities. The AnGeLiC project (Anvers, Ghent, Liège, Charleroi) is thus implemented. In Liège, the S offer includes four suburban lines to Liège-Guillemins and serves 59 stations. In Charleroi, there are four lines – 52 stations pass under the S offer – against three lines in Ghent and four in Antwerp. The changes have already been incorporated into the route planning tool on the SNCB site. Minister, do you already have an initial evaluation of this new suburban offer? What are the first conclusions you can draw? Would SNCB have been aware of any problems in updating the information provided by the route planning tool in the event of disruption on the network? If so, which ones?
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u38	Mr. Kir, in order to give every chance to a new relationship to attract travellers, the government agreed that new relationships would be assessed as soon as possible when the new transportation plan was developed and only after two years of commissioning. Indeed, it is important to know that for a new line to mature, it takes at least two to three years. It is therefore premature to evaluate this new suburban AnGeLiC offer. I have already quoted a few figures in response to a question from Mrs Schlitz. There are 1,794 for Liège, a little more than 129 or 159 for Charleroi. I do not have the figures for the zones because I have not been asked about them. SNCB ensures that it will evaluate its suburban offer in order to make the necessary improvements, while keeping the demand for mobility and the decongestion of agglomerations by the AnGeLiC project as a guideline. SNCB informs me that it has not encountered any problems when integrating S supply data into its routeplanner.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u39	Minister, thank you for the first elements of your response. I will come back to the subject in the coming months.
ParlaMint-BE_2018-12-05-54-commissie-ic1009x.u40	According to the press, in August last year, metal theft statistics went up again last year, despite the joint actions of Infrabel, the railway system operator, SNCB and the railway police. After a peak of flights in 2011 and 2012 and the measures taken to combat the phenomenon, the number of metal thefts is starting to rise: from 1,732 larcenies in 2016 to 1,833 in 2017. According to the federal police spokesman, Sandra Eyschen states that "copper is the metal whose price, abundance and availability are the highest, which is found everywhere and which is generally very unsecured". Therefore, the calculation of costs is, unfortunately, favourable for flights. It also notes that "these flights are dangerous for both perpetrators and users of infrastructure". In particular, it recalls that "if we touch on elements of the signs, level crossings could be disturbed, no longer function properly and generate situations with fatal consequences". Minister, have you been able to draw any conclusions from these figures? If so, what steps do you intend to take to address the problems raised by these results? What was the cost of repairs to these flights from 2014 to date, as well as the costed impact of the delay on rail?
