ParlaMint-BE_2018-07-10-54-commissie-ic947x.u1	Question No 25121 by Mr Emir Kir is transformed into a written question.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u12	Mr Terwingen, this is a public prosecutor's decision. So you should really go to Minister Geens for this. The Royal Decree of 10 June 2014 indicates that the decommissioning can be done by Civil Protection. The aid areas, the fire zones, in other words, are not provided for either. These are often planned interventions in consultation with the police. Civilian Protection can then be responsible for the transport to a location for further processing on the notification of the competent administrative authority. That's their job. In the case of small quantities, the local container fleet can process this. In the case of large quantities, private processing companies can be used. Civilian Protection can come and remove it and will determine whether it can end up in the container park, or whether a private processing company needs to be involved. The decision itself is prepared by the public prosecutor. I don't think you should question Minister None of that.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u13	I was already thinking of asking the two ministers. The question was specifically which administrative authority is responsible, because of course there are several administrative authorities in which you are also competent. Suppose the fire zones have to do it, but they can't do it themselves, who will have to pay the costs of firms responsible for cleaning and cleaning? Who should pay the cost of Civil Protection? Apparently, there is still uncertainty about this. I will also question Minister None of this, but I will also ask you further questions, because my point has not yet been fully answered. Civil Protection is here to clean up the mess. It used to be solved with that. The cost was for Civil Protection. Now it's being taken away. The question is, who's gonna pay? I'll ask another follow-up question about that. My question is also whether the cannabis plantations are part of that. I don't know how far Edegem is from the border area, I don't think that far. There are also a number of other municipalities there. I think this will really be a gap in the budget. If it comes to the point where local authorities have to pay for this, this should be done in solidarity with other municipalities, in Flanders but perhaps also in Belgium as a whole. The border municipalities will be the first to face this. It should not be the case that border municipalities or local police areas have to clean up and then pay the bill. It can't be that drug labs or cannabis plantations are tolerated, just because one doesn't want to get the bill presented afterwards. That would be the worst thing that could happen to us.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u14	Mr Minister, we discussed this issue at our committee on 4 July. However, I would like to deepen the exchange with you following the publication of Electrabel's communication the day after our exchange. In this communication, referred to by the Belga agency, Electrabel explains that the pins of the reinforcements probably moved at the time the concrete was cast. This explanation surprises me in view of what you said the day before and which did not include such elements. You were talking about the poor positioning of some of the slab calipers and the lack of effectiveness of the initial check of the calipers. A poor initial positioning is something a priori very different from a poor positioning following the concreteing. A caliper is also different from a pin. Could you give me more enlightenment? I would also like you to clarify the location of the problem(s). In your answer you talk about both the slab and the bunker ceiling. Is it the ceiling slab or the floor slab? What about the walls? Is only the ceiling hit or are the tops of the walls also hit? Finally, on the assumption that a problem of the same type but of lower gravity stopped Doel 3 for ten months, how can we explain, justify and accept that Electrabel is announcing, at this stage, only six months of work for Tihange 3? For the best of information, I would also like you to clarify whether any of the bunker's as build plans exist and what they contain as regards pins and other calipers, in view of what has been discovered recently.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u15	Mr President, Mr Nollet, let me first clarify the terms used earlier to describe the cross-sectional reinforcements of the concrete slab. The word "trailer" has been used here in the most general Anglo-Saxon sense of the term. In Dutch and English, only one term is used and we would have simply spoken of beugels in Dutch and stirrups in English. The French School of Civil Engineering, however, distinguishes between calipers and pins. The calipers consist of a closed steel loop with two rods, while the pins consist of an open steel strand consisting of a single rod simply curved at its ends. The pins that are discussed here for the roof slab of the Tihange 3 bunker are also called twigs, hence sometimes the shortcut with the generic term "trail". The positioning defects at the feet of the pins are located at the lower part of the pins. The feet of the pins may have been poorly positioned at the mounting, just as they may have been moved by the liquid mass of fresh concrete when casting the roof slab. Currently, it is difficult to identify the exact cause of this positioning defect. Degradations and anomalies detected are located in the lower part of the bunker roof slab at the lower side of the bunker. This side therefore constitutes the ceiling of the three steam discharge chambers of the bunker. The fences on the walls are different. In Tihange 3, the concrete of the walls has also been protected, in recent years, from steam and heat by insulating mineral plates. To date, no degradation has been observed in the upper walls, inside the rooms. Due to their less worrying condition, the interior walls of the rooms are not currently being stripped and repaired. The extent of concrete degradation in Tihange 3 is less than in Doel 3. However, as I have already indicated, the AFCN cannot rule on the possible date of a restart. However, I can assure you that no restart of the reactor can be envisaged without the approval of the safety authority. Electrabel is currently not in a position to provide the security authority, as requested by it, with plans as built from the Tihange 3 bunker. The plans certified for construction (CFC) therefore act as plans as built. It should be noted, however, that the plans certified for construction do not, of course, mention an anomaly. If such ironing anomalies had been detected at the time of construction of the bunker, they should have been corrected before they could be allowed to be concreted. The answer also contains some drawings of the different types of frames, calipers, pins, etc. We can send you this document for your information.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u16	Minister, I'm interested in the graphics. On the other hand, I am very concerned that there are no plans as built. You clearly say that there are no plans as seen after the construction. It's not normal at all. You say precisely: "Electrabel was not able to provide them to the Federal Agency". That is an issue for us. It is an essential document that would no longer be available to the operator or that the operator would not be able to provide it to the Agency. I'll follow this file. It'll be for the school year. Admit with me that it is, at the very least, unique to see that the Agency is asking for these plans – which is quite logical to be able to compare – and that we no longer have them! It's at least amateurism or something else! Your collaborator was also to send me two points from the Commission of 20 June, in connection with questions 13 and 16. This has not yet been passed on to me.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u17	Minister, on June 23, 2018, the Radioelements Institute (IRE) apparently shipped three packages containing radioactive substances for medical use, outside of compliance with the legislation. This event was classified at level 1 of the INES scale. What exactly happened in this Institute located in Fleurus, active in the packaging of radioactive substances, such as molybdenum-99, iodine-131 or xenon-133? What limits have been crossed and how high? How was the problem detected? Is it certain that similar exceedances have not already occurred without their detection? What did you decide to impose so that this type of incident would not happen again? What has the AFCN decided to impose?
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u18	Mr. Nollet, the Radioelements Institute is an active public utility institute primarily in the packaging of radioactive substances that are widely used in hospitals for treatment purposes. On Saturday, June 23, 2018, IRE shipped three packages containing radioactive substances for medical use, molybdenum-99 solutions to a customer. The volume of solutions shipped slightly exceeded the maximum volume allowed for the package design used. These packages may only contain a maximum volume of 20 ml. In this case, the volumes of the three packages were 21.24 ml, 22.16 ml and 22.17 ml, respectively. However, the limits on the maximum radioactive activity which may be present in the package have not been exceeded. The safety functions of the package used have been guaranteed and have not been degraded by these exceedances of the maximum volume of solutions. In addition, these packages arrived well at their destination. The volume exceedance was observed by the IRE during the production of vials, but the quality assurance system and the verification measures put in place did not manage this deviation until the packages were shipped. The IRE immediately reported this deviation to the AFCN, as required in the criteria for reporting events that may have an impact on safety. In the recent past, no similar incidents have occurred in the IRE. After analyzing and following the non-compliance with the conditions of the authorized contents (volume) of the package model used for transport, this event was classified at level 1 of the INES scale, which is therefore an anomaly. Such notifications of events that may have an impact on safety are always assessed by the AFCN or its technical subsidiary Bel V to verify whether the operator has learned the necessary lessons to prevent such occurrences from reoccurring. Since, in the case of the IRE, two events concerning the transport and shipment of radioactive material occurred within a short period of time, the AFCN will evaluate the relevant procedures and working methods and ensure that corrective and preventive measures have been taken.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u19	Mr President, I reserve my reply to the following question, which deals with the same problem.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u20	Minister, a few days after the June 23 INES 1 incident, a new incident occurred on June 27 in IRE. Can you tell us more about this incident and its origins? Why was it ranked at Level 1 on the INES scale? What have you decided, in consultation with the AFCN, to impose so that this type of incident does not happen again? What more comprehensive analysis do you make of the IRE situation in relation to respect for the culture of safety and security? Shouldn't we be asking ourselves serious questions about IRE, given the multiplication of INES 1 incidents in a week?
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u21	Mr Nollet, on 27 June, IRE reversed two packages containing 131 radioactive iodine. The first, whose activity was measured at 6.14 Bq, was erroneously shipped to a customer in the Netherlands, whereas the one he was supposed to receive had to have an activity of 3.07 Bq. This inversion was caused by a human error. To prevent such an event from happening again, the IRE has adapted its procedures to better formalize the performance of a second independent control of the package to be sent. This package was therefore delivered to a bad address. However, the undertaking which received the package had the necessary authorisation and the means of radiation protection to handle it. All radiological safety procedures have been followed. In the meantime, all packages have returned to the IRE. After analysis, as a result of this error in the delivery address, this event was classified at level 1 of the INES scale, which corresponds to an anomaly. It has no impact on the safety of staff and the public, nor on the environment. Such notifications of events that may have an impact on safety are always evaluated by AFCN or its technical subsidiary Bel V, to verify whether the operator has learned the necessary lessons to prevent such events from reoccurring. Since in the case of the IRE, two events involving the transport and shipment of radioactive material took place in a very short period of time, the AFCN will evaluate the relevant procedures and working methods and ensure that corrective and preventive measures have been taken.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u22	Minister, I think two INES 1 rankings are famous signals. It is still not every day, and fortunately, that this happens to IRE in Fleurus. We know that there have also been changes in management. But if the bar is not quickly straightened, more serious problems could arise than those who, you said, could be controlled without consequences for the population – and fortunately. It is therefore very good that the Agency can undertake a more comprehensive reflection on what is happening at the IRE, and not only in connection with these two recent events. I think an INES 1 ranking in this kind of situation is a famous signal, already repeated twice in a week.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u23	Minister, this Thursday, July 5, 2018, the city of Huy where the Tihange nuclear power plant is located was testing, like 129 other municipalities, the BE-Alert system, which must, in principle, allow the authorities to alert the population in situations of nuclear emergency. This system is also expected to replace in January 2019 the Seveso sirens of the country, which was heard again this Thursday at noon in Huy. These communes, 79 in number, had to carry out a real sending of SMS messages to the people who signed up for BE-Alert. In Huy, there are now 738 Hutois registered in the system. However, many of them did not receive this alert message. I have friends who are in this case. That is why I would like to ask you the question. I have taken my information several times over the course of this week, these people are well registered. They received a confirmation email. They followed all procedures as required. How come these people didn't receive text messages? I remember that the system was simply saturated. Can you confirm this, as this would be an important criterion for evaluation? This is a start-up phase. We agree that tests should be used for this. What will happen when the 21 000 Hutois are included in this scheme? I'm concerned about the failure of this test. What will happen in the event of a real crisis? I would like to express my concern because you will recall that we have already had an opportunity to discuss the removal of the sound system. Of course, it is wise to develop channels by e-mail, SMS and fixed line to communicate in a more targeted way in the event of a disaster. However, did the exercise not demonstrate that BE-Alert was not yet ready to replace the Seveso sirens? Should we not maintain them until we are sure that the new device is working for the good of all? Then we were told that the text message was not received because the message box was full. I'm worried about that. Therefore, could we not learn from this exercise that the Seveso system should be kept side by side? That's the meaning of my question.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u24	Mr Nollet, on Thursday 5 July, 145 cities and municipalities sent a test message via BE-Alert. This operation resulted in a total of more than 200,000 text messages, 650 voice messages and 108,000 e-mails. This was the first time the alert platform was tested on such a large scale. First of all, I would like to welcome this important commitment of the local authorities to the safety of their citizens. The town of Huy was one of 145 communes. At 0951, it triggered BE-Alert by sending a text message to the 799 Hutois registered in the system. At 0959, 95.1 per cent of registrants had received the test message. I can therefore only note with you that the alert system has worked very well on a technical level. Due to the scale of this exercise and the synchronization of those conducted by the country's 145 cities and municipalities, delays in sending SMS messages were observed in some locations. In the coming weeks, the Crisis Centre, in collaboration with its partners, will evaluate the tests and consider future improvements. I also invite every city and municipality that has tested their alert procedure to do the same. In Huy and elsewhere, it is important to identify areas for improvement and respond to citizens' concerns about this new technology. As part of the tests conducted last Thursday, many citizens thought they would receive a message while their commune did not test or carry it out in an area that did not concern them. Some even thought they were enrolled in the system when they had not finalized their registration. All these practical details must be identified in order to properly inform our citizens and to improve, where appropriate, the more technical elements of this modern alert platform. The warning of the population is indeed essential. Thanks to BE-Alert, the authorities finally have a technological tool allowing a multi-channel alert, fast and direct. In addition to text messages, voice calls, emails or messages via social media, BE-Alert aims to evaluate and integrate new complementary alert channels such as electronic information panels. In the event of a major accident, the city of Huy, the governor of Liège and myself as Minister of Security and Home Affairs can quickly activate all these channels to alert not only the 799 Hutois registered today but also the 21,000 inhabitants you are quoting and visitors of one day, thanks to this specific technology of localized SMS, which is an integral part of our array of alert channels. One year after the launch of BE-Alert, 70% of the Belgian municipalities, or 418, have already joined this alert platform. In 26 emergency situations, the population was alerted directly by BE-Alert. The authorities are assuming their responsibilities. It is now up to the citizens to take their own. Last Thursday, awareness-raising took place and an additional 34,000 registrations were recorded after the tests. This personal and responsible approach is to be supported. If everyone takes two minutes to register, we will, together, be better prepared for an emergency. With regard to the use of sirens, it is clear that until the new system is fully functional, we will keep the old technology. This is a commitment.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u25	Minister, thank you for this commitment. It's important. I invite you to pay attention to the percentages. Indeed, you say that 95% of the people registered in the system received the message. This already means that 5% of them did not receive it.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u26	97.1%.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u27	In any case, some people did not receive it.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u28	Sometimes some do not receive the message because their message box is full.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u29	I mentioned the full message boxes in my question. This is problematic, because it is believed that the person received it when it is not. This is why a complementary system is needed. I'm going back to the famous 97%. The people of my knowledge, whom I told you about, had contact with the Crisis Centre. I agree: it's an exercise, it's a first and it's interesting. It needs to be evaluated. The municipalities will react, but so will the citizens. The Crisis Centre claims that these people are not registered, and it is therefore normal that they did not receive the text. But they themselves checked the history of their mailbox: they had received their registration. They clicked on the site. There's something to evaluate, beyond the numbers. That's a good signal. Let's not stop at 97%. People think they're registered because they've received the registration confirmation email, but they haven't been registered. This must be part of the evaluation, and it must be made clear. I am reassured that sirens will continue to operate until we are sure of the system. I remain in the idea of building this system positively with you. We should test the push system, in which we send the text messages to everyone who is located in a place, like a football field, at Heysel for example. We would see if we could reach 30,000 people at the same time. It may be interesting to test if it works too. Sending a message to those who are located at a particular location is still something else. These are some ideas in the perspective of improving the system, not criticising what people are trying to put in place, in addition to much-needed devices, in Tihange in particular, but not only.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u30	My question relates to the organization of actors in the event of nuclear disasters. How are events managed in terms of personnel of essential services in the event of a serious nuclear incident? Should all members of the emergency and response services who will intervene in the event of a nuclear accident in the potentially contaminated area be voluntary or will you proceed by forced requisition? In the case of a purely voluntary approach, how can we organize things if the number of volunteers is insufficient? In case of requisition, who makes the necessary decisions? Will decisions be centralized? In the event of intervention by firefighters, do they remain under the responsibility and authority of the public authorities or do they intervene under the sole responsibility and authority of the operators? If this latter assumption is used, what guarantee can you give that in the event of an arbitration/conflict between economic and environmental interests, or even human interests, it is always the latter that prevails if it is not the public authority that makes the decisions?
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u31	Mr Nollet, events requiring the activation of the nuclear emergency plan and, consequently, the development of a structured response in and outside the operating site must be identified by the operator and promptly notified to the competent authorities in accordance with the requirements and procedures laid down in the nuclear emergency plan. This notification shall enable the latter to activate the strategic response at the national and local levels as well as the operational response on the ground. It may involve the necessary interventions on the affected site, the organisation of protection actions for the population in a specific intervention area and, where appropriate, the implementation of initiatives outside the intervention area – for example, when setting up reception centres and centres for the measurement of contamination and decontamination. The management of staff shall therefore be carried out with the utmost care, with due regard for the protection of the population, stakeholders and the environment. Local strategic coordination is ensured by the governor, who is assisted by his provincial coordination committee, in collaboration with the relevant mayor(s) who chairs their respective municipal coordination committee. This strategic coordination is intended, at first instance, to take the decisions necessary for the implementation of the protection measures decided by the Federal Management Unit. Local operational coordination was the responsibility of the operational command post (PC-OPS), which is in liaison with the provincial coordination committee and, where appropriate, with the relevant municipal coordination committees. The organisation of local strategic and operational coordination is described in the special emergency and intervention plans of governors and mayors whose territory is located in an emergency planning area for the protection of the population. Specific aspects of a response to a nuclear or radiological emergency are included in the multidisciplinary plans. This organization on the ground will be done in the best possible way, defining priorities according to the means available. It is clear that effective management of a nuclear incident will require a very large volume of personnel. The competent authorities will therefore ensure the necessary rise in power, on the basis of the information received and with the assistance, if necessary, of the other relief areas of the country. Moreover, in accordance with international agreements, and if the situation so requires, I can also request specialized international assistance for nuclear emergencies. This request is addressed directly to neighbouring countries, or through the procedures provided for by the European Commission or IAEA. This international assistance can be requested either in support or in addition to our own capabilities in terms of equipment, means of protection and actions of intervention services. Responses to emergencies of a nuclear or radiological nature are part of the general provisions of emergency planning and crisis management in Belgium, using the general principles and general provisions. Only those who may be exposed in a radiological emergency during the performance of their mission must be voluntary. If the assessment of the situation ensures that stakeholders are not at risk of exceeding this value, they need not necessarily be voluntary. If requisitions are to take place, they must be made in accordance with the principle of proportionality, which seeks to balance the interests between the management of an emergency situation and the protection of fundamental rights, including the right to life, enshrined in the European Convention on Human Rights, which each State has in principle the obligation to respect. The main decisions are taken in the management unit, in accordance with the general rules on crisis management. If the requisition were to be part of it, it would have to comply with the rules applicable to requisitions for all types of emergency situations, in particular the principles of legality, subsidiarity and proportionality. In the field of civil security, the most frequent basis is article 181 of the Civil Security Act of 15 May 2007, which determines, inter alia, the persons competent to make the requisition, the conditions and the financial aspects. The intervention of all operational disciplines is always carried out under the responsibility of the competent administrative authorities. However, if the intervention takes place on site, the stakeholders are automatically placed under the responsibility of the operator who is in charge of their safety and dosimetry. However, the authorities responsible for the management of the situation and/or the Federal Nuclear Control Agency may, at any time, if the public order or the protection of the population so requires, impose actions on the operator for the control of the emergency situation at the operating site. In this case and in the general interest, the decisions of the authorities shall have priority over that of the operator. Finally, I will conclude by stating that the nuclear plan explicitly provides that in the event of a conflict between the decisions of the operator and the administrative authorities, the decisions of the administrative authorities take precedence.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u32	Minister, thank you for that answer, which I will take time to analyse. The balance of interests aspect is really not obvious, neither on the voluntary side versus the requisition, because we must take into account the interests of the persons concerned and of the wider population, nor on the balance of interests between the operator and the public authority, even if, on this aspect, you seem to be clearer: in case of necessity, it is the authority that always has the last word.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u33	Minister, in our last discussion on the subject, in mid-May, you announced to me that there were still a few ten percent of responses to be received from two major subcontractors and to be analysed in order to finally have a complete file. You also said that you hoped to have all these answers at the end of June. I therefore come back to you with the hope of being able to close the case permanently and, above all, to be totally reassured. Has one of our nuclear power plants been, through subcontractors, an indirect customer of Kobe Steel? What are the components that may be affected? Have you received all the guarantees that direct (especially on steam generators) and indirect (via subcontractors) falsifications would not pose any risk to our plants and therefore to workers and residents?
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u34	Mr. Nollet, since our last exchange on May 16, the AFCN has not received any new information from the operator on this file. I cannot therefore present you with an update on the situation in this case. AFCN told me that the requested information should be available during August. I'm sure you'll rest the question in September.
ParlaMint-BE_2018-07-10-54-commissie-ic947x.u35	That's right, Minister!
