ParlaMint-BE_2018-11-13-54-commissie-ic996x.u1	We come to the oral questions. Mr. Clarinval arrives a little later. Mr. Thiébaut is not present.
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u15	Mr Vanden Burre, the DBFM contract was signed on July 18. The Régie des Bâtiments has already had enforceable permits since December 2016, while applications for suspension of the environmental and urban permits of the prison complex have, in the meantime, been rejected. The application for annulment of the decision of the government of the Brussels-Capital Region for the deviation and removal of the vicinal roads, in particular the deviation of the Keelbeek road, was also rejected on 25 October 2018. Given the need for a new Brussels prison, it is unnecessary for me to remind you of the de facto situation of the existing Brussels prisons. Moreover, since a report is more expensive, a risk assessment has been carried out and it has been decided to start preparatory work, including the necessary remediation of polluted soils, which will take some time. This, however, required further expulsion because, although the Court of Appeal had given the Régie des Bâtiments the right in the third opposition against the expulsion of 2015, the prison site was once again occupied by opponents. Thus, the Régie des Bâtiments was again obliged to submit a unilateral request for expulsion. The court authorized the Régie des Bâtiments to expel anyone who is unlawfully on the ground and to remove the erected works and objects on the ground. This decision notified of expulsion is enforceable by provision, which means that it can be enforced immediately by a judicial officer, even if the judicial decision is not yet final and it is still subject to appeal or third opposition. Since such expulsion requires the action of various parties and some preparation, the date of expulsion was already fixed prior to the introduction of the third opposition. The earlier judgment of the Court of Appeal reinforced the Régie des Bâtiments in its decision not to wait for the treatment of the third opposition which, in fact, is nothing more than a delaying manoeuvre. As you probably already know, in the meantime all applications were declared inadmissible or unfounded in the third party opposition proceedings on 26 September 2018. It is true that during the expulsion some materials were burned after it had been agreed in the preparatory discussions that the non-reusable materials would be evacuated. However, on the day of the expulsion, an appeal was launched in the social media to come to prevent the expulsion, which led the judicial officer to make the decision to evacuate only plastic residues and to burn the wooden material, because the site was difficult to access and everything would have taken too long, so that the cleaning team would have risked being confronted with actions. The purpose of the choice to burn wood was to prevent the material from being reused for new actions. Finally, with regard to the publication of contract documents, I would like to point out that the aim is to provide maximum transparency in this matter. However, the confidentiality of the contract should also be stressed. That is why these documents will be available to parliamentarians under strict conditions. We are taking the necessary steps to organize this consultation.
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u16	Minister, thank you for your many points of answer. I'll take the time to look at them in detail. I'm obviously not surprised at what you're telling me. From the beginning, you have indicated your willingness to go to the end of this file, which we regret. We've already said that. Indeed, the condition of the Brussels prisons in Forest and Saint-Gilles is unacceptable. There is no debate on this point. From there to build a mega-complex that can accommodate more than 11,000 inmates in an area such as Haren is quite questionable and challenges us. It is not because we really have to find a solution in Forest and Saint-Gilles – we fully agree – that this justifies Haren's project. This is, in any case, our position from the beginning. We never said it was great to keep the prisoners in the present state in Forest and Saint-Gilles. In Forest, conditions are particularly unworthy as in Saint-Gilles for a large part as well. As far as the contract is concerned, I mean that you are going to organise a consultation procedure. Let's do it as soon as possible! It is important to have all these elements because beyond the decision and debate on prison policy (it is a debate that we have had and that we will continue to have), we have a different vision from that of building mega-prins like Haren. In addition to the prison debate, there is also a debate on transparency and good governance around this contract and public procurement. We don't have our appeasements on that either. Many questions remain open. I would like to insist that this procedure be put in place as soon as possible. We will remain very attentive.
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u17	Minister, the construction site of Namur's new courthouse is expected to begin this summer. However, we learn that no company has yet been designated for this purpose, while the Régie des Bâtiments assured that the contract would be awarded in 2017. This delay would be the result of the government's financial choice. If the building had been built immediately, the Belgian State would have had to pay an estimated sum of between EUR 80 million and EUR 100 million. To avoid this expense, the government would have preferred to have the future Namibian courthouse built by a private developer, then paid through a 20-year lease of the building. The resumption of the project would not take place until spring 2019. The time required to build the building was estimated to be three years. This means that the inauguration would not be expected until 2022. Minister, can you inform me of the status of this issue? Can you confirm this information and ensure that the first stones will be laid in spring 2019? Or will it be necessary, once again, to expect a postponement? With this in mind, what solution do you recommend to ensure the safety of the staff of the Namibian courthouse, whose old age is attested to by certain incidents?
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u18	Mrs Grovonius, since the decision of the Council of Ministers in 2016, several reasons have prevented the Régie des Bâtiments from publishing this contract to date. For example, new programmes that address the needs of justice, new standards and new public procurement laws are the main factors slowing down the case. The Régie des Bâtiments hopes to receive a non-dirimant opinion from the Institute of National Accounts by the end of January 2019, in order to be able to publish the market around Easter holidays. Then there will be the analysis of the tenders and the passage of the decision on the award to the Council of Ministers. The Régie hopes to begin work in the fourth quarter of 2019. With regard to staff security, the Régie regularly and mainly intervenes in invoices for a maximum amount of 5,500 euros excluding VAT, with a view to resolving the problems which it finds or which are reported to it. At present, more serious problems of ceiling renovation are suspended pending the agreement of the occupant as this requires the blocking of a stairwell for a period of 15 days, resulting in the inaccessibility of certain rooms on the floor. Currently, no serious safety concerns have been identified for the occupants or clients of the complex. Things are being monitored very closely and the necessary steps are being taken to ensure this safety.
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u19	Minister, I thank you for those elements of the response that remain alarming and that do not satisfy me at all. I understand that the dates advanced will not be respected. Work will begin even later than what I was able to read in the press. In all likelihood, this inauguration will surely be well after 2022. In the meantime, staff and users must attend a courthouse, which unfortunately falls into tatters. I am not at all satisfied with this answer. I find it a shame to see what state our justice is in today with this government.
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u20	Mrs Grovonius, all the problems related to the courthouse date back to 2015! It used to be a wonderful palace, all in gold! Finally!
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u21	Minister, decisions have been made at some point. Masterplans were on the table for the renovation of the courthouse. But from year to year, you post and do not find the budgetary means to do the work that is necessary. That's it!
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u22	Minister, in the 1970s, the commune of Philippeville transferred, for the symbolic franc, the building of justice of peace (located on the Place de Philippeville) to the Régie des Bâtiments. This building is currently empty and, at the beginning of 2017, the Régie would have indicated its intention to sell it. Following this announcement, the town of Philippeville made an offer of prizes but, to the best of my knowledge, has received no reply. Minister, may I ask for information on this? What is the will of the Régie? Does she still want to sell this building?
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u23	Mr Clarinval, the Régie des Bâtiments has reviewed the various values and determined a fair price between the cession by the commune for the symbolic franc in 1970 and the investments made by the Régie des Bâtiments during the last 45 years, considerably increasing its value. Taking these parameters into account, a new sales proposal was sent to the city of Philippeville at the end of July 2018. The Régie des Bâtiments is waiting today to receive approval from the city on this new amount to allow it to sell it to it. Without a response from the city before the end of January 2019, the Régie des Bâtiments will continue the procedure of selling this building following a classic public sale.
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u24	Minister, my question was in June. I guess that probably revived the case. I would like to draw attention to the fact that, following the communal elections, the commune of Philippeville is in current business, which may prevent it from giving an answer before the end of the year.
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u25	That is why the deadline runs until the end of January. I think it should be possible to grant him another month.
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u26	Minister, thank you for your response and flexibility.
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u27	Mr President, Minister, in 2011 the then Minister of Justice concluded an agreement with the BAM consortium on the construction, financing and maintenance of a new prison in Dendermonde. We are now several years away and the construction of this prison has not yet begun. This has a lot to do with procedural matters; obtaining a permit appears to be extremely difficult. I read in your policy paper that, at least at the time of drafting your policy paper, there are good prospects for the procedure at the Council of State with regard to the PRUP. The established PRUP will be able to be ratified and this will then be the basis of the environmental permit to be obtained, which can be expected to take the necessary time. I would have liked to have had a state of affairs regarding the procedures for obtaining this licence. I have also read in your policy paper that they are planning to extend the existing contract. Don't get me wrong, I am obviously in favour of a contract extension in such a way that, once the permits have been obtained, work can be done quickly on building the prison, which is really necessary. However, I would like to take this opportunity to ask for the risk to be properly assessed and mastered as much as possible. You will understand immediately what I am referring to, namely compensation for damages. At the time, we concluded an agreement in which the risk of obtaining the licence was entirely with the government, with the result that damages had to be paid, as well as waiting interest, waiting fees and the like. I would like to ask that those who are able to make decisions on this matter should have the best possible control in order not to follow the same path. Mr President, can you give an overview of the cost of compensation to date? We started with 30 000 euros a day delay. How much is the total cost now? Can you estimate the waiting fees, interest rates, procedural costs, etc.? Finally, this is not the subject of my question, Minister, but I would like to take this opportunity to ask about the buildings of justice, since the policy paper is on the table. You shouldn't answer it, but I'll ask the question. If you don't have an answer or need to check it out, that's no problem for me. In the courthouse in Oudenaarde, for example, the ceiling of the cell complex came down on 12 October. The cause was water immersion. I was in the building. I am not making it a media incident, but I am concerned about the state of the building, Minister.
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u28	In Oudenaarde?
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u29	In Oudenaarde, but that won't be the only place where there are problems. There are resources. Our Justice where justice is spoken deserves buildings in good condition. I really don't want to finger anyone, but is the building in Oudenaarde, for example, being inspected? Are the necessary resources being allocated to put the building in good condition? I started the desk in 1985 or 1986, Minister. I remember the colour of the hallway in the courthouse in Ghent: it was dirty yellow. It has become darker and darker in all this time, not to say black. We've been so many years. Does that take so much effort? I don't know who's ever gonna record it, but it's not a face to get justice in buildings that degenerate? I do know that the general good intention is there, but what is the position or should I not ask you that question, or is this not the time?
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u30	Mrs. Van Cauter, it's always the right time. I'll go into the courthouse in Oudenaarde first. The maintenance of the buildings, including paintings, is the responsibility of the customer, in this area of Justice.
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u31	Minister, is Justice working with the Government of the Buildings? If the ceiling falls down...
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u32	Mrs Van Cauter, a distinction has to be made between the two. Maintenance, such as paintwork, is the responsibility of the customer. As for the ceiling of Oudenaarde, my associate has just informed me that we are not aware of this, which suggests that this is probably under control within the Regie. In the Palace of Justice in Brussels we experienced something similar, because there was a part of the false ceiling, a wall of about a meter, that came down as a result of water seeping because the gutters had not been cleaned. However, this cleaning is also the responsibility of the customer. Allow me to look to the future. Once we have made the Regie performant, which is the intention, then the Regie will have to make arrangements with the customers about such matters. If necessary, the Regie must also attract the maintenance of the buildings, for example at a certain fee. I assume that cleaning the gutters of the Justice Palaces is not one of the top priorities and may not even occur in the heads. Maybe the Regie should offer that service. Let us now ensure that we control what we are responsible for today. Once that's under control, I think the Regie should offer such a service to the customers. For customers who do not want to set up a separate service for this purpose, while paintwork and the maintenance of roof drains are still the responsibility of the customer, the Regie can provide this service. I will have the specific situation of the building in Oudenaarde checked, because at the moment I have no further information. Now I come to your questions about Dendermonde's prison. The construction of the new prison in Dendermonde is indeed being delayed for some years, which is the least we can say about it, as a result of a series of appeals against construction. Following the rejection by the Council of State of all claims on 23 October 2018 in both destruction proceedings against the third PRUP, two appeal proceedings are currently under way. A first procedure is directed against the urban permit access road with bridge. On 17 November 2016, the Licenses Board suspended the urban permit for the access road and bridge, as it is not compatible with the Old Dender Protection Decision. However, that protection decision was partially lifted by Ministerial Decision of 25 July 2017. A request for destruction was submitted by the opponents to the Council of State on 25 September 2018. Following the above suspension, an application for the destruction of the urban permit for the access road and the bridge was also submitted to the Council for Authorisation Disputes on 2 December 2016. Secondly, the town planning permit for the prison. As early as 29 August 2008, the Council for Authorisation Disputes rejected the application for suspension of the SBV prison in the absence of funds, but the application for destruction still needs to be dealt with by the Council. Finally, as regards the prison environmental permit, a petition for destruction of the prison environmental permit was submitted by both parties to the Council of State on 23 May 2017. This claim must also be dealt with. This implies that although the consortium currently has all the enforceable licences for the prison, the works on the northern access road and the bridge cannot be carried out further because of the suspension. As you can see, certain appeals procedures have been ongoing for some time and it is difficult to estimate the time limit for the treatment of the two councils in the relevant proceedings. However, now that the claims against the PRUP have been rejected, there is hope that this rejection judgment will act as a catalyst for the other appeal proceedings. As long as there is uncertainty about the current procedures, there is also no certainty about the effective start of the works and the entry into service of the new prison. The contract was signed in 2011. In the meantime, it was extended as they were always waiting for a ruling. However, the financial close with the removal of the swap and the interest rate risk will only take place if there is clarity about the date of the start of the works. As the financial close has not yet taken place, it is impossible at present to provide an appropriate cost of the expected fees. However, the Office of the Buildings has already incurred costs in the file. A distinction should be made between the normal or foreseeable costs, on the one hand, and the delay costs incurred by the professions concerned, on the other. With regard to normal costs, the purchase and cost of land amounted to EUR 825 000. The calculation fee for the DBFM procedure was EUR 800 000. The preparatory works, i.e. the sounding, the work of the architects and the utility lines, cost 121 000 euros. The cost of building the access road and bridge was 981,000 euros. Then there are the costs of the delay. There is compensation for the consortium of EUR 2.9 million. Work on the access road and the bridge cost 147 000 euros. Court costs amounted to 315 000 euros. The format of the EIA project cost EUR 61 000. The stockage of the bridge elements cost 78 000 euros. Together, this amounts to EUR 3.5 million. In the meantime, of course, the necessary works are being carried out to keep the old prison of Dendermonde operational. Important investment works are no longer on the agenda, but the following works were and will be planned in 2017 and 2018. In 2018, the total amount involved was EUR 96 585 for works carried out or under construction on security, namely the renewal of technical service windows and electricity adjustment in section 7. In 2017 it was a total of 378 605 euros for the repair of a transformer, the replacement of sanitary pipes, the replacement of low voltage plates, the replacement of kitchen appliances and the creation of a new emergency exit. However, we have good hopes that the work will begin soon.
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u33	Minister, as far as the last part of your reply is concerned, have I heard correctly that the fees and interest rates are not included in the list you have read out?
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u34	The 2.9 million euros to the consortium are the daily allowances...
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u35	Yeah, that's the damages, but they were uploaded and now they're done. However, there are still the guard fees. How much are they?
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u36	Those aren't included in the list.
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u37	Okay, well, then I'll ask you at another time, unless you can tell me so. You also talked about compensation for a road and bridge settlement. Would you mind explaining that for me?
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u38	It's about a deal with the manufacturer who made the bridge that hasn't yet been placed.
ParlaMint-BE_2018-11-13-54-commissie-ic996x.u39	Okay, I wasn't entirely with you. As regards the procedures, the request for destruction to the Council of State on the PRUP has been definitively rejected. Therefore, there is today a legal basis for the delivery of an urban environmental or environmental permit, in so far as the existing permit is not destroyed by the Council for Authorisation Disputes. Do you know what the state of play of the procedure in the Council for Authorisations is? You said the suspension request was denied. The procedure for the destruction of the substance is still pending. However, when all the words and rebuttals have been exchanged, the rejection of the destruction of the legal basis of the PRUP comes too late and we must start again, which would be a pity. I hope it works out as soon as possible, finger's crossed. You did not say anything about the extension of the procedure. I understand that we are still waiting to see if we can close up soon and settle what we have to pay and then actually start building the prison. I fully agree that it is a crazy idea to do maintenance work. Where does maintenance end and where does the renewal of certain buildings and building parts begin? It seems logical to me if this is centralized. These people have the know-how. As for Oudenaarde, I took a picture after the ceiling had come down. The ceiling is integrated into the cell complex. That really wasn't a pretty sight. Fortunately, no one was buried under the debris. This has nothing to do with painting, but is clearly a result of water seeping. It makes no sense to plunder again when the ceiling then comes down again after new water drops.
