ParlaMint-BE_2018-11-13-54-commissie-ic997x.u1	Question No 26634 by Mrs Cassart-Mailleux is transformed into a written question.
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u12	If it is clear to us, I hope it will be clear to Ryanair as well. In future, we will see where that stands. If necessary, I'll come back with a question.
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u13	Minister, the current members of the Accounting Standards Commission were appointed with the Royal Decree of 25 April 2013 for a term of six years. Article 5 of the Law of 12 December 2016, with a KB of amendment of 3 September 2017, automatically put an end to these mandates. The current members shall continue to exercise their mandate until they are replaced. An appeal was brought against the amending law of 12 December 2016 by Michel De Wolf at the Constitutional Court. This case is still pending. I assumed that the exchange of mandates would be delayed until a ruling was reached by the Constitutional Court. By the end of June 2018, the Centrale Raad voor het Bedrijfsleven received a letter to pass on by 3 July 2018 the names of the four representatives concerning the replacement of the members of the Committee for Accounting Standards. Why is there such a sudden rush to replace the current mandatars? Would it not be better to wait until after a possible judgment of the Constitutional Court that can provide more legal certainty about the fate of the Amending Law?
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u14	Mrs Detiège, incredibly, that is also something that concerns you, the Committee on Accounting Standards. Those are interesting and important organs. I was part of that when I was young. As you correctly state, by law of 12 December 2016, the mandates of the members of the Accounting Standards Committee were automatically terminated. In order to provide for their replacement, KB of 23 May 2018 laid down the rules to determine the language role of the candidate members. This decision was published in the Belgian Official Journal on 18 June 2018, after which I started the nomination procedure by letter dated 20 June 2018. In view of this time, it seemed reasonable to me to ask for candidates to be presented by 3 July 2018. This deadline was finally extended by me until 13 August. I can give you the happy message that all the candidates are now in and that we are now preparing the royal decision at high speed. It is therefore difficult to speak of a hasty replacement. It is more a patient wait until the applications were delivered by all the ministers and bodies that had to do so. Indeed, Mr De Wolf brought an action for annulment before the Constitutional Court against the Amending Law of 12 December 2016. One of the grounds for destruction which Mr De Wolf has invoked is the fact that he would be less likely to be re-appointed as a French speaker. That's not right. The new legislation merely provides that half of the Accounting Standards Committee must be composed of Dutch-speaking members and half of French-speaking members. This seems reasonable to me. Moreover, I can only observe that Mr De Wolf was re-designed as a member of the Committee on Accounting Standards. Apart from that, I am convinced that the new legislation is in line with the Constitution.
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u15	Thank you, Minister, for your reply. On that basis, I can conclude that the problem has been solved.
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u16	Minister, last summer I tabled a written question containing six questions. I only received an answer to one of my six questions. That is why I tabled them again as an oral question. The worst thing is that you referred me to the Minister for Mobility of the Länder for my fourth question, on who is following the recall action in Belgium. In Flanders that is Minister Weyts. I have, of course, had my Flemish counterpart put a question to Minister Weyts. You may or may not guess, but he in turn referred me to you. Don't you consult on that? Is the interpretation of the sixth state reform not clear? Would you perhaps refer me to Minister Bellot? In any case, it is a fact that we have been made aware of this by the European Commission. In addition, Recommendation No. 2 of the Dieselgate Committee specifically asked the federal government to ensure that recall actions are properly carried out. You, as the Minister for Consumer Affairs, should be aware of that. I'm looking forward to your answers.
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u17	Mrs. Dedry, I think it is a very bizarre situation. I can only join you when you cast that a ping-pong game is useless. I have indeed, quite rightly, pointed out to the written question the powers and noted that the conformity tests fall within regional competence. As a result of your question, I will take the matter further to the attention of the House in order to clarify it. I will contact my colleagues in the regions very quickly to clarify the matter and provide you with an adequate response. After all, if I have the authority, I would be happy to take the matter further. Like you, I don't need anything. I'm also nervous about a ping-pong game, sending you from the locker to the wall. I am committed to resolving the matter very quickly. I do that in front of my administration, because she may not be aware of everything. Mr President, if that is all right with you, we will inform Mrs Dedry directly. Then she doesn't have to ask a new question. After all, I do not think it is possible.
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u18	Minister, I thank you for your very clear commitment and for the fact that you are now clearly putting Dieselgate's succession forward as a policy priority. After all, a man starts to doubt that in the long run. Meanwhile, we continue to suffer from non-compliant emissions. We also continue to suffer from very polluting cars and very dirty air, resulting in health problems.
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u19	Minister, the number 070 344 344, better known as Card Stop, has been used since 1993 to allow consumers to block their payment cards in case of loss or theft. All banks use this service, which is managed by Atos Wordline, a company with a turnover of €1.6 billion in 2017 and a net profit of €150 million. Making Card Stop free is a legitimate consumer request because, basically, this number is akin to an emergency service. In general, bank charges are already too high for the consumer, and we will have a discussion on this subject soon. It is also an obligation for the user to notify the loss or theft of his bank card as soon as possible. Therefore, no costs should be charged. In our discussion of the 2017 General Policy Note, we agreed that the government would put an end to charging the client when he calls Card Stop. Minister De Croo had launched a public consultation on this issue in January 2018 through the IBPT. We passed a law amending and incorporating payment services provisions into various books of the Code of Economic Law, which came into force on 9 August 2018. Article 10 of the Law provides that the payment service provider issuing a payment instrument has an obligation to provide the payment service user with the possibility of having his credit card blocked free of charge. That's the law you've amended, minister. I am therefore surprised to read on the website of Card Stop the information according to which a call to the Card Stop number would today have a cost of 0.30 euro per minute, which Wordline charges through the telephone operator. The same information is notified at the beginning of the call when you call Card Stop. Minister, it was September. I ask you if this information is always accurate. If so, it should be corrected. Can you confirm to me that consumers today have the opportunity to block their payment instruments free of charge? If not, why, since the law has changed? What are the rates and terms of payment today? What about users outside the territory of Belgium? Indeed, it is above all extra muros that card thefts take place. Finally, what were the results of the consultation conducted by the IBPT on 18 January 2018? Thank you.
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u20	Mr President, Mrs Lalieux, ladies and gentlemen, in accordance with the national digitisation plan, the rate of EUR 0.30 per minute is the maximum rate that operators can charge for a national call to a number 070. The Code of Economic Law provides that the consumer must have the opportunity to notify the loss, misappropriation or theft of his card free of charge. In order to adapt the Card Stop number tariff to this free-of-charge requirement and without changing the number that users have known for 25 years, an amendment to the law is required. The good news, I hope for all of us, is that with my colleague Minister De Croo, we have drawn up a proposal to include this adaptation in the law of 13 June 2005 on electronic communications. The draft law will shortly be submitted to the Council of Ministers by Minister De Croo, under a Telecom law containing various provisions. Mrs Lalieux, I hope that you will therefore be more positive.
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u21	Minister, I hear the good news: I hope that Minister De Croo will introduce the law shortly. You wrote it yourself in the Code of Economic Law, Minister. If the free entry into force is announced on August 9, 2018, it must be effective for the consumer. Otherwise, it would be false publicity on the part of the government. Apparently, you didn't properly assess the electronic communications law. It's good that Mr. De Croo completes this law. I hope it'll be before the end of the year. We will then respect our own legislation.
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u22	Mr President, Minister, in its competition policy, the European Commission has launched an offensive against online vertical price fixing. This means that a brand imposes on its retailers the minimum prices they have to sell the goods. Competition law prohibits this. It is detrimental to the consumer because it deprives him of the possibility of buying cheaper goods. In the meantime, the European Commission has made this a priority. In the Netherlands, people are wondering what the ACM is going to do, because it previously pursued a cautious policy. They also believe that consumers can benefit in some cases, as this leads to, for example, a better service or new providers on the market. The question now also arises in our country about the Belgian Competition Authority. Will it adapt its policy to the European path?
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u23	Mr President, ladies and gentlemen, Mr Gantois, in relation to the distribution sector and its relationship with suppliers, the Belgian Competition Authority can confirm that it will pay particular attention to vertical contracts in its policy of priorities for the year 2018 and also for the following years. I refer to the priority policy and quote: "The contracts between the distribution sector and suppliers may in some cases lead to restrictive effects on competition between chains or between suppliers, for example, when they restrict the freedom of distributors to set their prices, or the possibility to offer their services online. The Belgian Competition Authority pays particular attention to these contracts." In this context, the Belgian Competition Authority conducted searches in 2016, 2017 and 2018. As a competent minister, I cannot, of course, provide any further information on this, firstly, because I do not have it, and secondly, because the Belgian Competition Authority conducts that investigation independently and communicates it at the appropriate time, when the decision has been taken.
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u24	Minister, you understand our scepticism. We must pay close attention to this and take firm action. The Belgian Competition Authority must do its job. Such practices are detrimental to consumers. Europe has already imposed a number of fines on companies that violated the rules. We must ensure that such practices do not become a habit in our country.
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u25	Question No 26820 by Mr Blanchart is postponed.
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u26	Mr Minister, the swine fever is caused by our country. The problem arises in the far south of the province of Luxembourg. The disease has only been found in wild boars, not in the pig population. However, the pigmeat sector is experiencing major consequences of the disease. I am not talking about the measures already taken by various governments to prevent further spread, but about the effects on exports, both outside and within the European Union. As far as exports outside the European Union are concerned, trade agreements with, for example, China, South Korea or Russia stipulate that our country must be free of swine fever in order to export our meat there. However, our country is not currently free of swine fever. So these export opportunities are going to go away. There can be no discussion about this. Exports within the European Union, accounting for 89% of total Belgian exports of pigmeat, are also failing. Although there is free movement of goods within the European Union, several foreign buyers of our pig meat would use swine fever to stop taking meat, or only at very reduced prices. That is harsh, because the pig farmers who are a few hundred kilometres away from the infection harbor are also financially affected, even if there is no sanitary problem there. The meat is not contaminated and there is no problem for public health. Minister, how do you assess the situation? What measures will you take to safeguard exports, both within and outside the European Union, both in the short and in the long term? Was the problem discussed at European level? Has the situation been raised in the European Chain Consultation?
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u27	Mr Gantois, the export of pigmeat is essential for the pig sector. More than 70% of net production, the number of live pigs entering the transformation chain, is destined for export. In 2017, these exports represented 57% of Belgian meat exports and 6% of total food exports; 90% of these exports are destined for Member States of the European Union, 10% are exported to other regions of the world. Exports to 17 countries............................................................................................................................................................................................................................................................. In the meantime, two countries, India and Malaysia, have partially lifted their embargo. Of the total exports of pigmeat, these destinations represented only 5,7% of the value in 2017. However, given that the market is currently very tense, with a production price currently well below the 2017 price, the closure of these markets is worrying. The latest prices at slaughterhouses on the Belgian market are already showing a downward trend. In addition, private European importers could choose not to import from Belgium and turn to other European countries for their supplies. Initiatives were taken by the Foreign Office. From the start of the crisis, all diplomatic posts were provided with official information prepared by the BFSA on the situation of African swine fever in Belgium and the measures taken to prevent and eradicate it. These diplomatic posts have taken steps with the relevant authorities of their district in order to inform and reassure these trading partners. During our visit to China last week, we also tried to put that on the table. This was also discussed when the Chinese Prime Minister and the Minister for Economic Affairs were here. I also met the pig sector before I traveled to China to talk to them about that. Secondly, both Minister Ducarme and the regional agriculture ministers have been in regular contact with the European Commission to examine the possibilities for cofinancing and compensation, both in relation to the measures and the damage suffered. For more specific information, I must of course refer you to my colleagues responsible for agriculture. Thirdly, the European Chain Consultation is a private initiative, you know that, but if we are well informed, this issue has not yet been discussed there. The organisations concerned are free to raise this point. We are, of course, following that very closely, as far as my powers are concerned, and we are trying to do everything we can to deal with this in a good way and to get that export back on its feet.
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u28	Mr President, Minister, it is clear that we are all very concerned about this problem. I know that a number of Member States have already made a great deal of effort to discuss this issue. You're also talking to the Chinese about this. I hope that this will also have a result, because it is not enough to talk, we really need to achieve results. However, I am concerned that this has not yet been discussed at European level, in the Ketensverloging. I would like to ask Belgium to insist on this. Flanders lives very hard on the agricultural side of the pig sector. We are exporting pork for a value of EUR 1.7 billion. That's the amount on our exports. It is therefore very important that this be discussed at the European Chain Consultation.
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u29	Minister, intermediaries and intermediaries pay their membership of the FSMA in the form of an annual contribution. We have recently seen enough examples of forced closure of independent bank and insurance agents, for example by restructuring their principal. They are obliged to pay the annual contribution, even though they stopped their activity during the year and have formally requested their deletion from the FSMA list. The government is taking particularly favourable measures for the benefit of the self-employed and entrepreneurs. This morning we approved a draft in the Committee on Industry. In any case, it is now an ideal opportunity to do something for that category of self-employed. I would like to inform you whether the FSMA contribution cannot be charged pro rata, at least in the event of exceptional circumstances, such as forced closure, so that the aforementioned injured parties are not charged unnecessary costs on top of that?
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u30	Mr Klaps, I'm open to everything. I'll give you some more information on where the calf may be bound. In accordance with Article 56 of the Law of 2 August 2002 on the supervision of the financial sector and financial services, the operating costs of the FSMA shall be borne by the undertakings and persons under its supervision or whose operations or products are under its supervision, within the limits and detailed rules laid down by the King. The provision is implemented by the Royal Decree of 17 May 2012 on the remuneration of the operating costs of the FSMA. The Royal Decree lays down all the conditions for the calculation and collection of the contributions. The basic modalities are the same for all companies and persons under the supervision of the FSMA and leave no room for interpretation. All undertakings and persons under the supervision of the FSMA shall pay a sectoral contribution in accordance with what is stipulated in that KB. The contribution shall consist of a predetermined percentage of the total budget of the FSMA for the year in question. The sectoral contribution shall be allocated to all undertakings and persons under the supervision of the FSMA on 1 January of the year, as set out in that Royal Decree. In other words, the method of calculation laid down by Royal Decree excludes a contribution on a pro rata basis. You would have understood that too, otherwise you would not have asked that question. The legal procedure shall also ensure that the FSMA has at the beginning of each year of operation the means necessary to carry out its supervisory tasks. As the Royal Decree of 17 May 2012 instructs the FSMA to work with a closed sectoral contribution system, the application of the payments is, of course, a problem. This could lead to an under-financing of the FSMA. I have also been informed that other independent public organisations such as the BIPT and the CREG do not apply a system pro rata either. So the problem you're raising is even bigger than just the FSMA. Article 3 of the Royal Decree provides for a general payment period of one month for the payment of the various contributions. Upon expiry of the deadline, the FSMA shall send a payment reminder. Specifically for intermediaries, the applicable legislation provides that the FSMA is to set a final formal deadline of 30 days. Only then will the registration lapse. It follows that any loss of registration does not occur immediately. De facto, therefore, an intermediary always has at least 60 days to pay the payment. In 2018, an intermediary in the banking or insurance sector will pay a contribution of EUR 538 for the annual supervision of the relevant sector to the FSMA. Moreover, the payment in the current state of the legislation is tax deductible. Finally, the FSMA sends more than twenty thousand payment invitations annually. The calculation and follow-up of this work is already a labour-intensive work. If different payment facilities were possible, the FSMA would have to allocate additional resources to this end. However, the maximum number of employees of the FSMA is legally limited, resulting in the resources that the FSMA can allocate to its supervisory tasks. Allow me to list the different elements. First of all, I would like to mention the closed envelope system. Secondly, the FSMA is not the only one that works that way. Thirdly, this may require payment adjustments. However, I would like to re-examine the impact of this on the FSMA. Assuming that it is not about a large number of intermediaries, this impact may be limited. If that is looked at further, I propose that we also examine the possible repercussions of a pro-rata system for the BIPT and the CREG.
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u31	Thank you, Minister, for your detailed answer. I am, of course, aware of the legislation on which the system is based. As far as the annual contribution is concerned, I believe that the legislation can be improved. The argument that it is only EUR 538 is very hard for those who have to stop their life's work and remain with a great socially passive and limited potential for the future, as that invoice will be able to recover. That this requires such a great deal of follow-up at the FSMA, in the current times of electronic payments with structured communications, I dare to question somewhat. So it is indeed possible to look at what is possible in this area, because I do not think that it is a very high amount of money. In addition, we can still go back to the code of conduct agreed with the banks. We could include in the code of conduct that if an agency is terminated, it will be taken into account with the collection fee, which will also remove the problem for the FSMA.
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u32	Mr Minister, it appears from a study carried out by Test-Achats that the fees charged in Belgium for the refinancing of a mortgage are far too high compared to other European countries. Indeed, the association has established that Belgian consumers who wish to change their mortgage to take a cheaper mortgage from another institution pay an average fee 13 times higher than in other countries. A petition was launched to reduce these costs to the European average. Reducing the cost of refinancing a mortgage loan contracted for the acquisition of its own home would be a social measure and would have many benefits for the consumer. It would increase the consumer's purchasing power. It would allow for greater competition between credit institutions. It would help to clean up the mortgage market – let us remember the subprime crisis. Finally, it would give consumers greater flexibility to cope with the hazards of life, possibly by extending the duration of the loan and reducing monthly payments. I know, of course, that some of these costs fall within the competence of the Regions. But the federal government also has a role to play. For example, the employment allowance, the notary fees (which I have already discussed a lot with the Minister of Justice), the administrative fees, the mortgage curator's fees and the VAT on notaries are all positions on which you and your colleagues can act. Mr President, if there are three questions attached, it is because I have asked the same question to the Minister of Justice and the Minister of Finance, but they have redirected it to the Minister of Economy.
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u33	It's a group shot.
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u34	Mr Minister, I therefore hope that you will respond on all points, including those that fall within the competence of your colleagues. The government must act collectively. Apparently, solidarity falls on you. Minister, have you read the Test-Achats study and confirmed these price differences between Belgium and neighbouring countries? They're gross. Have you worked together at the federal government level to reduce these costs? Are measures planned? If so, which ones?
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u35	Mrs Lalieux, I work day and night looking for solutions. I obviously learned of the study carried out by Test-Achats. The cost of bill charges for refinancing is at first glance much higher in Belgium. But I must point out that the comparison with neighbouring countries is more complicated. The most important criticism from Test-Achats relates to the fee and tax burden associated with refinancing. On average, these costs would be 13 times higher than abroad. That's a lot.
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u36	That's a lot!
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u37	You're absolutely right. That's a lot! However, the concrete methodology used by Test-Achats to make this comparison is not clear. Test-Achats would have made a comparison between eight European countries. The letter mentions a total amount for these countries but the components of these totals are not included. We cannot therefore know whether Test-Achats has taken into account all the costs of neighbouring countries. Consideration should also be given to other elements that have an impact on this cost, such as the different tax advantages associated with the purchase of real estate. It is necessary to see to what extent these tax benefits are present in all neighbouring countries and for what amount. It is therefore very difficult to answer your question simply. We must also take into account our real estate taxation, which is different between our three regions. At the federal level and within the scope of my powers, I have taken steps to limit the cost of refinancing a mortgage. Indeed, since February 2017, a royal decree fixes, on my initiative, a maximum amount of the file fees that can be claimed as part of a refinancing of a loan by a bank. In the case of refinancing in a new lender, the costs are up to EUR 500. In the case of refinancing at the same lender, the costs shall not exceed 50 % of this amount, i.e. EUR 250, unless it is refinancing within 12 months of a previous refinancing. This is a maximum file fee. Real costs are often lower. The employment allowance has already been limited by law. Under no circumstances may it exceed three months' interest. The assertion of Test-Achats that, relatively, tax and deed charges are the most important costs seems correct to me. Tax is by far the most important item of expenditure, especially with regard to registration fees. The fees of notaries and mortgage custodians are also important items. For more details or information on taxation, I refer you to my federal and regional colleagues responsible for finance. With respect to notary fees, I contacted the Minister of Justice who told me that he was planning to reform notary fees to better reflect their efforts. Mrs Lalieux, I have the feeling that you are less positive in this matter than in your previous question. In any case, I agree with you that something needs to be done, particularly with regard to the two positions mentioned above, namely the fees of notaries and mortgage custodians. In fact, I am trying to convince my colleagues of the need to "drink" on this matter. In any case, I hope that a solution can be found to reduce the cost of doing business while nuanced things. Indeed, if 13 times the bill fee is a lot, ten times the bill fee, it still remains a lot.
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u38	Thank you, Deputy Prime Minister, for your answer. You will indeed have to organize the file because my questions have not been accepted by the Departments of Finance and Justice. In any case, they do not want to answer all my questions which concern them and which relate, in particular, to notary fees. I am not going to discuss with you the reform of notaries drawn up by your colleague and which I think is totally unsatisfactory. So let's talk more about topics that fall within your jurisdiction. So, for example, when there is no possibility of buying a loan because it costs too much, the customer becomes captive. Your government is a right-wing Liberal government. I therefore do not understand why, from the moment the sector is fully liberalized, you do not make more competition between banking institutions and you do not take steps to make customers less captive by reducing the cost of refinancing loans. Moreover, since you fully agree with me and want to work – I feel your desire, Deputy Prime Minister – I will therefore be very positive. A motion for a resolution will be taken into consideration no later than next week. I am counting on you, since these are demands from the government and this government needs to talk to each other and you need to talk to your colleagues, to ensure that they meet the legitimate demands of consumers and to respond to the fact that refinancing a loan is far too expensive in Belgium, which makes customers captive and creates difficulties within households.
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u39	Could I have this motion for a resolution?
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u40	I'll send it to you.
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u41	Minister, on a regular basis, citizens are confronted with phone calls from gaiters or teleprospectors. I lived the case last night. Whether for the purpose of selling contracts for energy, telephone or other operators, these repeated calls are often similar to harassment. In the event that the numbers of these call centres appear, it is easy, with the current mobile phones, to block them so as not to be disturbed in the future. In order to counter this manoeuvre, these companies use masked numbers that make them undetectable and it is impossible to send them to the "unwelcome users" of our smartphones. In order to allow citizens to freely choose whether or not to respond to these often intrusive commercial approaches, these companies should agree to work on "uncovered face". Minister, could you suggest to these companies in the telephone stalling sector that they work more transparently with their prospects?
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u42	Mr Flahaux, there is no telemarketing sector. Companies either start up with their own staff or use external service providers. Moreover, intrusive sales interviews often come from abroad. For these two reasons, an action as you propose is not at all obvious. Some telecom operators offer their customers the possibility of blocking anonymous calls. I believe that this could be a useful means for the consumer. For more detailed information on this subject, I would refer you to the Minister responsible for telecommunications, Mr. From Croo.
ParlaMint-BE_2018-11-13-54-commissie-ic997x.u43	Minister, thank you for your answer, although I feel a little frustrated. I still ask myself a lot of questions because the case I personally experienced involved a state-owned company, called Proximus. She knew very well that I was a cable and internet subscriber at the Voo operator, who is also parapublic. The agent on the phone could tell me all the types of subscriptions I had with competitors! I find this to be, to say the least, special. In this context, I will re-examine Minister Alexander De Croo on the matter.
