ParlaMint-BE_2018-03-14-54-commissie-ic845x.u1	Question No 24128 by Mrs Ben Hamou is transformed into a written question.
ParlaMint-BE_2018-03-14-54-commissie-ic845x.u20	Mr Minister, I understand that in theory you agree with a lot of fine principles of recovery and recovery for the victims and the reintegration of the perpetrators, but my feeling, looking at the actions and reality, is that there is still a lot of work to be done in prisons. We are certainly not doing very well in terms of the good guidance of prisoners to bring them back into society and to re-integrate them properly. Thank you for correcting my relapse rates. Not 57, but 44 %, you said, but I must confess that I am also very scared of 44 % repeated.
ParlaMint-BE_2018-03-14-54-commissie-ic845x.u21	Minister, last week I asked you a question about Nigerian girls in prostitution, often very young girls aged 14, 15 or 16. The arrival of young Nigerian girls started in Italy a few decades ago and has now expanded all over Europe. The girls have to pay back a loan of between €20,000 and €60,000 to their Nigerian pimps or madams in a short time. It's an institutionalized system in Nigeria. The girls knock for many hours and are here illegally. They are exploited and may be the victims of trafficking in human beings. Aid organisations such as Payoke, Sürya and VAG-ASA provide very important work in the reception and support of victims, in particular in the context of the special protection procedure for victims of trafficking in human beings. However, these organisations are struggling with their funding. There is no structural funding, which means that these three organisations were unable, for example, to provide permanence for 24 hours out of 24 and 7 days out of 7 between April and October 2017, while the care of victims also happens outside office hours. In the past, the three recognized centres received subsidies from the National Lottery and from Work and Equal Opportunities. Between 2002 and 2015, they also received a project grant of around €100,000 per year per aid organisation of the Federal Impuls Fund for Migrant Policy. These are always grants for a year. It is therefore not structural funding. The years of funding of Work and Equal Opportunities are now being funded from the Justice Department for the period 2017-2018-2019. Minister, do you have any more information on the creation of federal subsidies for the aid organisations for victims of trafficking in human beings for these three organisations? What elements were involved in the difficult development of funding for the period 2017-2019? Do you agree with the need for structural funding, not project-wise, of aid organisations for victims of trafficking in human beings, so that they are never without means of action? Are there plans to provide more structural funding?
ParlaMint-BE_2018-03-14-54-commissie-ic845x.u22	Mrs Van Hoof, the centres for the reception of victims of trafficking in human beings play an important role in line with our international obligations to protect the victims of trafficking in human beings. They provide care to the victims of trafficking in human beings and provide psychological and medical assistance and legal assistance to victims, provided that they actively cooperate with the courts to have the traffickers convicted. Last year there was indeed a great deal of uncertainty about the funding of the centres. This situation had arisen because funds from the Federal Impuls Fund for Migrant Policy used until 2016 to supplement the regular federal funding of the centres at the level of Equal Opportunities had been exhausted. On a proposal from me and after intensive consultation with the Secretary of State for Equal Opportunities, the Council of Ministers decided to transfer the budget for the specialised reception centres for victims of trafficking from Equal Opportunities to Justice. In addition, it was decided that the three centres of both departments, through the interdepartmental commission up to 2019, could each benefit from EUR 166 000 additional funding annually. Thus, the budget for these centres was finally stabilised and the punctual solutions sought in the past to fund the centres were put to an end. This agreement applies only to this legislature. Consequently, it is up to the next government to examine its continuation or to consider other options.
ParlaMint-BE_2018-03-14-54-commissie-ic845x.u23	Thank you, Minister, for your reply. It is good that they receive additional resources, given the pressing situation of the Nigerian girls who are numerous in our country. It is important that we provide for these resources in the context of the protection procedure. They can provide important support in the context of the judicial investigation. Payoke, Sürya and VAG-ASA play a special role. So it's now settled until 2019. We hope that the additional funding will continue to be available afterwards.
ParlaMint-BE_2018-03-14-54-commissie-ic845x.u24	Mr President, Minister, the Committee for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment (CPT) of the Council of Europe published its last report on Thursday 8 March. Although he welcomed some positive developments in the Belgian prison environment, he also pointed to serious and systemic problems. Among the positive developments reported by the CPT, there is a marked decrease in prison overcrowding in Belgium. At the beginning of 2017, during the seventh visit to a number of Belgian prisons, the Council of Europe body accounted for 10,800 inmates, representing an overpopulation rate of 16%. In October 2014, when you took office, Minister, prison overcrowding still peaked at more than 24%. Today, it is down to 12%. Unfortunately, in addition to this overall situation, which is more in the right direction, towards a decrease in prison overcrowding, there are still real black spots, especially in Brussels, where there is an increasing overcrowding (more than 50% at Saint-Gilles prison) and structures that are largely ageing. The Committee has also observed a shortage of organized activities for detainees, which can obviously have negative consequences, such as increased tensions, frustrations and violence or an increased risk of radicalization. Further on, the CPT denounces systemic problems with regard to prison psychiatric facilities, in particular at the Lantin prison: lack of staff, treatment limited to pharmacological treatment, unsatisfactory management of psychiatric emergencies. I asked you a question about the sometimes problematic use of DHBP (dehydrobenzperidol). This neuroleptic has been used for years in prison and in a closed centre as a medicine for "calming" prisoners deemed too excited or too nervous. The report also refers to several cases of excessive use of force, usually during or shortly after arrest. It reveals allegations of recent physical ill-treatment of men incarcerated by some prison officers, including team leaders. The CPT also calls for the establishment of a basic prison service to ensure that the basic rights of detainees are guaranteed - showers, visits, preau, installation, meals, etc. The Committee makes a series of recommendations to improve the situation. Since I introduced my question, I have read that you went to Strasbourg on Tuesday to give your version and your answer to the report. Minister, can you outline the message you delivered to the Council of Europe last Tuesday? How will you put in place a specific action plan to address the serious problems highlighted in the report? Use of force, inadequate psychiatric care, overcrowding, particularly in Brussels, old institutions. Do you intend to implement the report's recommendations in the coming weeks? Not everything can be implemented by the end of the legislature in a year's time. What are your priorities? Thank you.
ParlaMint-BE_2018-03-14-54-commissie-ic845x.u25	Mr Vanden Burre, Mr President, I am obviously informed of the remarks and observations made by the CPT in its report of 8 March 2018. The themes on which they are based are therefore reflected in my policy on prisons. The prison population has decreased from almost 12,000 inmates at the beginning of this legislature to about 10,300 at present. Unfortunately, an unexpected loss of capacity of more or less 400 places occurred during the same period, in addition to the planned stoppage of the Tilburg establishment's rental. The effect on the rate of overpopulation was therefore not felt in the same order of magnitude. I particularly target half of the population in Forest and part of the population in Merksplas, which has had to be displaced because of the work that has to be completed there. Add to this the difficulties we are experiencing in Belgium in building new prisons because of environmental permits and building permits, which are hard to obtain, and you will understand that we still have to undergo this phenomenon for some time. Organizing activities for all detainees is of course an ongoing concern. With this in mind, the prison services are in constant consultation with the competent departments of the Communities. During this term, the number of prisoners interned also decreased from almost 1,200 in 2013 to 563 today, or half. Following the execution of Masterplan III, it will in principle be possible to provide for placement for each interned person in an institution of care. The reduction in the number of internees will allow us to allocate optimally the available medical teams and teams. I would also like to point out that care providers in prisons follow the standards specific to this professional sector. During the training, as well as in the case of the day-to-day management of prisons, special attention is paid to the integrity of prison staff in contact with prisoners. If necessary, disciplinary action shall be taken. With regard to the guaranteed minimum service, I confirm my previous reply indicating that this dossier is in the final phase of the consultations. In addition, I wish to submit it to the government in the short term. The discussions held yesterday in Strasbourg with the President of the CPT, the Secretary-General of the Council of Europe and the President of the European Court of Human Rights went very well. I reiterated my commitment to ensure that Belgium complies with the requests of the Council of Europe and its respective bodies. The CPT's report, which has been made public, confirms that all Council of Europe bodies believe in Belgium's goodwill and its progress in responding to its criticisms.
ParlaMint-BE_2018-03-14-54-commissie-ic845x.u26	Minister, thank you for your answer, which I will read in detail. As was often said in this commission, many prisons offer no possibility of activities. I recently visited Saint-Gilles prison and saw, for example, that the library was closed. This problem must remain one of your priorities. Secondly, we have discussed the construction of prisons on numerous occasions. I imagine you're referring in particular to Haren's. It is clear that, for us, developing mega-correctional projects is not a solution. This will be used, in particular, to move the problem. I know the old buildings of Saint-Gilles and Forest, where the conditions of detention are completely unacceptable. It is therefore not an option to maintain them, but from there to build a huge complex such as Haren, we ecologists cannot validate this answer. That is not what we expect from a prison policy aimed at reducing prison overcrowding in the medium term. We share this goal with you. That is why we hope that you will continue to do so. Finally, it is important to find a solution to move the internees, because we know that their place is obviously not in prison. True structural measures must therefore be taken. We will follow this file carefully.
ParlaMint-BE_2018-03-14-54-commissie-ic845x.u27	Question No 24258 by Mr Gautier Calomne is postponed.
ParlaMint-BE_2018-03-14-54-commissie-ic845x.u28	Mrs Van Vaerenbergh is not present at the moment.
ParlaMint-BE_2018-03-14-54-commissie-ic845x.u29	Mr President, Minister, on 31 January 2018, I asked you a question about the problem of the bugged telephone calls in the Brussels correctional court, which allowed a drug gang to go free. At first it was thought that the DVDs with the phone calls were unreadable. Eventually they were readable, but in court apparently the wrong application was used to listen to the DVDs. Recently, the trial against Flemish MEP Christian Van Eyken could not start because of a computer that overheated. The defense complained that the surveillance footage could not be viewed, so the clients could not be properly defended. That process is almost symbolic of the problems facing Justice in 2018. Minister, how many criminal cases were there in 2017 that could not be launched or criminal cases in which the defendants were cleared of procedural errors due to defective material? Will you take steps to renew the outdated material in the courts, so that such situations are a thing of the past?
