ParlaMint-BE_2018-02-07-54-commissie-ic816x.u1	Debates of the European Parliament 21000 by Mrs Caprasse will be converted into a written question.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u12	Madam Secretary, people suffering from type II diabetes are entitled to adapted footwear. Apparently, it's one pair every two years. Most people need a summer pair and a winter pair. So it would be interesting to buy two pairs of shoes at the first purchase and then to keep the refund every two years, so that people can replace that summer or winter pair every two years. For people with type II diabetes who have also had foot complications, a new pair is often needed before the time of reimbursement comes. Ideally, they also need the support of a podiatrist. These are two foot care needs that were placed on the round table around type II diabetes. People who have the condition themselves and experts around the table then put in a few things. My questions are as follows. Do you recognize the two needs mentioned? Is there any way to meet those needs?
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u13	Mrs Van Camp, two benefits in kind per year have already been reimbursed to the podiatrist in the diabetes care process, if the patients concerned belong to the risk group. In addition, the Committee on Orthopedists' Insurance has been instructed to review the full reimbursement arrangements for orthopaedic shoes in the future. I have no doubt that that committee will also pay a great deal of attention to this important and ever-growing target group. This is, therefore, a matter for the Committee on Orthopedists' Insurance Institutions, which is a little wider.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u14	Madam Secretary, that's good to hear. Thank you.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u15	President: Muriel Gerkens.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u16	Madam President, Minister, the sector is paying some EUR 300 million in packaging charges on soft drinks. If I'm properly informed, half of it goes back to the Department of Health. Madam Secretary, what are the destinations of these resources? I would like to follow up in which these funds are invested or reinvested in Health. In what way do these resources remain exactly in the domain of our fight against obesity and the healthier lives of people? Are resources still being spent elsewhere? How exactly are these resources used?
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u17	Madam President, Ms Van Camp, as confirmed by the Minister of Finance in response to a written question by Mr Gilkinet on 11 January 2016, part of the revenue relating to packaging levy was allocated to the RIZIV, in accordance with Article 67quinquies of the Programme Act of 2 January 2001, inserted by the Act of 20 July 2005. That article states: "From 1 February 2005, an amount of EUR 130 million shall be allocated to the RIZIV for the benefit of medical care insurance, in advance of the excise duties and charges treated as excise duties. From 1 January 2006, the King may, by a decision of the Council of Ministers, amend the amount of the allocation referred to in the previous paragraph. This amount shall therefore be paid in equal monthly instalments." However, Article 67quinquies of the Programme Act of 2 January 2001 was lifted following the entry into force of Article 46 of the Law of 18 April 2017, in the other committee, because it concerned the reform of social security funding. If we sometimes say that the financing of social security was a blur, then that article was part of that blur. It was a pre-reduction which took place regardless of the revenue from excise duties. That is not transparent. It is also uncertain what changes will be made when excise duties change. With the law of 18 April 2017, we have created a new funding of social security. The funding flows were simplified and also made transparent.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u18	Madam Secretary, what is specifically envisaged in terms of spending? Or does that just end up in the general budget? Can you tell me what amount or part amount might be used for a particular policy area?
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u19	No, the article didn't go beyond what I said. It was an alternative financing of social security. So it is not just about health care, it is about the whole of social security.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u20	Thanks.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u21	Mrs. Fonck is absent.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u22	Madam Minister, I have already asked a question on the subject before, but I would like to come back to it. Excise duties on soft drinks have increased during this legislature. I keep finding it odd that all the sodas are being shaved along the same lines. The food triangle has been adjusted, but there is still a differentiation between sugared soft drinks, light drinks, so with sweeteners, and plain water. From the point of view of public health and nutrition, it would be more logical to maintain this differentiation for the assessment, i.e. to distinguish the excise duties between soft drinks containing sugar, sweeteners and without sugar and sweeteners. Why wasn't that chosen? Is that still an option for the future?
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u23	Mrs Van Camp, it is actually a competence of the Minister of Finance, because it is about fiscal measures. However, he was not prepared to answer the question he was concerned about. It is about excise duties on soft drinks. Only the so-called flavoured waters which contain no sweetener or sugar are exempt from the increase. Furthermore, Minister Van Overtveldt has explained to us that a differentiation on excise duties on soft drinks is a rather complicated matter. They come under headings with fixed numbers and one cannot differentiate in them. Besides, further research was also needed to remove the flavored waters. The zero and light drinks are still included. In the future we still have to look at how we can better reflect that difference between sugar or an alternative sweetener in the policy. We were told that it would be very complicated to split up the types of liquor now. I'm not a tax expert, so I'll just take note of that.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u24	Madam Secretary, thank you. I do read between the lines of your answer that you would be able to find such a differentiation. I will certainly inform the Minister responsible.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u25	People already know.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u26	Madam President, Minister, I have already asked a lot of questions on this subject. Assistance dogs are still refused in many hospitals, while according to scientific research, which I mentioned in my previous question, they can easily access certain services and parts of a hospital. Of course, they do not have access to certain critical and acute services, but they do have access to most of the outpatient services. By the way, there's a lot of people with an assistance dog there. In the end, you acknowledged in the discussion that scientific research has indeed shown that assistance dogs should have access to less acute services, without this being a risk to public health, but we both take the advice of the High Health Council. Despite the scientific findings, the Supreme Health Council states that all hospitals are the best to refuse access to assistance dogs. For people with assistance dogs, this is really a big problem. There are hospitals that allow assistance dogs, but many hospitals hide behind the advice of the High Health Council. You proposed last time that there would be a meeting with the Supreme Health Council. I'd like to be willing to do that, just like the representatives of people with an assist dog. There we can then present the findings of the scientific studies and consider how the recommendations of the High Health Council can be adjusted. I've asked the Supreme Health Council for a meeting several times since, but that's just denied. My question is whether you can force an appointment with this institution, which nevertheless falls within your competence, so that we can at least be received and know the rational behind their decision. Many people with an assistance dog are affected by this. Are you willing to hold a meeting with the High Health Council to clear this case?
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u27	Madam President, Mrs Van Camp, I believe that such consultation is certainly useful and I am, of course, willing to facilitate it through my cabinet. For me, a meeting can take place in my cabinet or at the Supreme Health Council. In the meantime, the High Health Council has also informed me: "The question of whether it was necessary to review the Council's position and advice on the presence of assistance dogs in hospitals was discussed again at the plenary session of the Infection Control Reflection Group in Health Care on 3 October 2017. There it has been concluded that there were no objective evidence-based reasons for amending the earlier opinion, even though there are institutions that allow animals." The High Health Council points out that its position is flexible, as it leaves each hospital free through the hospital hygiene committees to allow access to certain parts or services when specific measures are taken. At the same time, the Council continues to defend, in principle, a ban on the presence of animals in hospitals. Finally, the Hoge Gezondheidsraad reports that he would first like to study the available literature and seek the advice of the broad expert group before consulting policy makers on this matter. I understand that the Council goes back to its previous opinion, yet is prepared to study the recent literature and await the expert group's advice. I believe that it would indeed be useful to plan a meeting for the next few weeks. I'll ask someone to take that with you.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u28	Madam Minister, thank you for your answer, which makes me very satisfied. I am sure that people with assistance dogs are very grateful to us for at least explaining what the rational behind this is and how that can be changed.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u29	Madam Minister, this is rather a technical question. A number of tests in clinical biology, e.g. tests in molecular diagnostics as described in Articles 33a and 24a, shall be carried out in an accredited laboratory in order to make the nomenclature applicable. Meanwhile, the external controls of the WIV are running at full speed and the quality requirements are becoming increasingly stringent. The practical lines for the laboratories actually approach the requirements for a laboratory accredited by Belac. So what is the point of the additional accreditation if the WIV already has sufficient competence to control the quality of the laboratories and applies the same standards? This is not insignificant for the laboratories, because such accreditation does entail considerable costs. The price tag goes up to tens of thousands of euros per lab. It's almost even become a business that sustains itself. So what is the added value, given that the WIV is perfectly capable of carrying out the checks and audits? Isn't that enough?
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u30	Mrs Van Camp, the recognition of clinical biology laboratories is a national recognition by the competent authorities, which must verify that the quality system complies with the standards laid down. This means that it must be in line with the RB of 3 December 1999 and the Practice Directive. The accreditation is an international recognition by an authoritative organisation, which formally recognises that an organisation or person is competent to perform a particular task. As far as conformity and competence are concerned, this is Belgium's Belac of the FPS Economy. Unlike, for example, French laboratories, Belgian laboratories do not require mandatory accreditation for the majority of clinical biology analyses. There, supervision by the Scientific Institute of Public Health is sufficient to ensure quality through the visits to the premises and the monitoring of the results of the external quality assessments. Accreditation is therefore a free choice for Belgian clinical biology laboratories, unless they wish to carry out benefits in kind provided for in Article 24a and/or 33a. The law stipulates that they must have ISO-15189 accreditation for this purpose. That law was established to ensure the quality of the highly specialised analyses, in the interests of the patient. The ISO standard imposes strict monitoring of laboratories, whereby a site visit is carried out almost every year. For the purpose of carrying out those technical audits, Belac calls on experts active in the field of work and with a high level of expertise. It was also intended to reduce the number of laboratories carrying out these analyses, which is entirely in line with the policy of encouraging networking, as well as the concentration of expertise.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u31	Thank you, Madam Secretary. Are there any differences in substance between the two bodies and accreditations in the field of labs, except that accreditation offers international recognition while quality assurance by the WIV is a national recognition?
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u32	As I said, accreditation is about the competence to carry out a particular task. The quality system is more general. For this purpose, standards were set and the laboratory's compliance with those horizontal standards is verified. It's two different things with standards that the lab has to meet. One is more persistent in nature, the other is much more variable, for example in the case of new tests.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u33	Madam Minister, at the beginning of September an article was published in the press about the large number of medicines that are thrown away every year, even calling for them to be given away. The need for close monitoring of stability and quality is a more than justified concern. In my view, it would be better to tackle the cause of the waste and make it possible only to prescribe and provide the required number of pills. It happens very often that one gets a prescription and that the number of pills in the pack goes well beyond the prescription. Madam Secretary, I have the following questions. Do you agree with this? Are there any concrete plans to settle this? It seems to me to be something that could bring about a good saving, whereby these resources can be reinvested in our patients, our society and our caregivers.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u34	Mrs Van Camp, over-prescription is a waste of tons of unused medicines every year. There are several reasons for this. The medicine may have been stored incorrectly, making it unusable. It may also be incompletely used by the patient due to over-packing. The medicine may also be expired. However, it is not appropriate to give medicinal products a second destination. I have therefore said that a certain doctor's proposal to distribute them to other patients is not a good thing. It is important that the quality of the medicines is good and that they are kept in the original packaging. They are then protected from moisture, light and air and the package leaflet contains important information. The medicines should also be properly stored by the first owner, which is difficult to identify afterwards. What did the owner do with it when he got home? Did he put them on a windowsill, got them wet, or did they lie in the sun? None of us can know that. I would therefore prefer to deal with it on the other hand, in particular the prescription behavior and the provision of only the necessary pills. Prescription behavior is very topical today. As you know, we will see through the policy of tightening up who prescribes too much too often. As regards the number of pills required, physicians should take into account the patient's duration of treatment when prescribing a specific pack size of a medicinal product. I am also thinking of the measure we have taken to stop paying back the boxes containing 80 pills Pantomed, but the boxes containing 56 pills. Evidence-based shows that one should not take 80 pills. However, it depends on the pack sizes available on the market. Often there are different pack sizes of the same medicine, but today we have been reported that pharmacists often do not bring in the smaller boxes, but the larger ones. The services of the Federal Agency for Medicines and Health Products cannot require a company to produce and/or commercialise a particular pack size. The pharmacist, the doctor and the patient also depend on the available pack sizes. Belgian legislation also provides for the possibility of prescribing medicinal products on a dust name. The physician then confines himself to the substance name, strength, form of administration, daily dose and duration of therapy. It is not limited by possible pack sizes. The pharmacist must deliver the medicine, in accordance with the prescription, also in terms of pack size. In this respect, we continue to promote the prescription of dust name.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u35	Madam Minister, these are certainly steps in the right direction, but even if all these steps are taken into account, for example, only if it is really necessary and if the requirement on dust name is taken into account as far as possible in aligning the pack size to the requirement, it is still possible that the pack size does not exist. Is there nothing in the pipeline at this point to see whether only a part of the medicines can be supplied from a particular package? In this case, the pharmacist can guarantee stability and quality, because once patients take the medicine home, they don't know what happens to it. If something were to be put on its feet, such as in the resthouses, where this would be arranged from the pharmacy, then perhaps the supply could be better adapted to the needs.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u36	During the launch of the action on sleeping drugs last week there was also a general practitioner and a pharmacist present. The pharmacist's representative said there that they are willing to help reduce, for example, the dose of a sedative or a sedative. They can process one pill in, for example, four doses of a quarter to give to a patient. In fact, this is a change in the gallery where this can be done, and in this way people are prevented from taking too many pills or too many doses. The pharmacists want to cooperate in this respect, but they can't do that for everything. According to the law, the pharmacist is supposed to deliver what is on the prescription to the patient. In the case of addiction or phasing out, they are willing to do so. We have already discussed this in the context of the pact with pharmacists. If appointments are made between doctor and pharmacist, one can move a bit. The problem, of course, is that there are so many different pack sizes and doses on the market. It's the firm's decision. We only have the opportunity, as we have done with the PPIs, to remove the largest packaging from the market.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u37	Madam Secretary, I have two questions on the same subject. They relate to the unfair arrangement whereby dentists and doctors with foreign qualifications are not subject to quotas, which we have already raised on a number of occasions. Thanks to you and the government, there will hopefully soon also be quotas and entrance examinations in Flanders to monitor the quality of the training and to better match supply to demand. Then there will be not too little, but not too many doctors and dentists at work. However, as long as the influx of foreign doctors and dentists is not covered by these quotas, it is difficult to maintain that regime and thus ensure quality. Are you prepared to subject doctors and dentists with a foreign diploma to quotas as well? Why is that? Why is that? Do you not think it would be unfair for us, especially in Flanders, where we have been taking an entrance exam for a long time, to rob so many candidate students for doctor or dentist from their dream job, while at the same time allowing unbridled doctors from abroad to flow in? I come to the second part of the question. Foreign dentists, especially with a European diploma, could also be freely recognised here. That often causes problems with the language. That is why we have tabled a legislative proposal that will impose a language test. What do you think of that? I read in the newspaper that you will support this and that you are working on a proposal to impose one of the three national languages. However, our proposal explicitly asks for knowledge of the language of the region in which the healthcare provider resides. My question has a third part. The field of work brought another unjust case to my attention, particularly regarding the year of internship. Students who obtain the dentist's diploma here can only obtain their final RIZIV number and visa once the last year of internship has been completed effectively. Now it appears that this is not the case for students with a foreign diploma. This means that they can already obtain their final RIZIV number and their visa without having to do the year of internship. Is that right? Would you like to fit a sleeve on that?
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u38	Mrs Van Camp, the integration into the quota of dentists established in Belgium on the basis of recognition of their professional qualifications acquired in another Member State is not an easy issue. The quota as organised in Belgium is not at the same time in the race route. The dentists certified at a Belgian university are subject to quotas at the time when they are given access to vocational training in order to obtain their special professional title. Dentists established in Belgium already have professional qualifications acquired in another Member State. Nevertheless, I think it is a very sensitive issue. I have also set up an important reflection on the mobility of the professional. We analyse different ideas which are possible within the limits of European regulation. In mei 2017 vond in Brussel een Policy dialogue on health, workforce planning and professional mobility plaats. In November 2017, the Conference regulating health professionals took place in an European perspective, where I took the opportunity to present these issues to an expert panel to make progress in the reflection. The imposition of a quota for foreign doctors and the knowledge of one of our national languages were also part of the reflection. It is in the interests of patient safety and it is essential that all professionals, not just healthcare providers who are influxing under Article 145, have the necessary and appropriate language skills. In this context, we are currently drawing up a legislative initiative that will make it possible to better monitor the language skills of all healthcare professionals. This initiative will soon be presented to Parliament. As far as dentists are concerned, I know that there is no discrimination between the national graduates and the European dentists who are established in Belgium. Federal legislation provides that in order to have the title of general dentist and to be able to enjoy the associated RIZIV nomenclature, qualified dentists must undergo one year of additional training. This obligation also exists in the federal legislation for European dentists established in Belgium on the basis of the recognition of the professional qualifications they have acquired in their country of origin. However, since the sixth state reform, the examination of individual cases has been the responsibility of the Communities. I must therefore refer you to the relevant Community Minister with regard to any inequalities in the handling of the dossiers; in Flanders that is Minister Vandeurzen.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u39	Madam Minister, it is very interesting that you have submitted both the question of language and the question of quota to the expert committee. Has it answered or not yet?
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u40	(...) representatives of the FOD present and they have all noted this. On that basis we have worked out a number of slopes.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u41	I'm very curious. In any case, I hope that the mandatory knowledge of the language of the part of the country in which the health care provider resides will be included in your draft law.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u42	Madam Minister, I ask this question with the necessary caution, because I am not often a guest in this committee. People in my neighborhood alerted me to the problem of the use of nitrous oxide. Perhaps questions have been asked about this before, but I have not been able to find them. Laugh gas or N20 used to be known as anesthetic in surgeries. The gas is also used in the food industry, for example in gas cartridges for whipped cream syringes. However, it can also be used as a drug. Laughing gas is a volatile sniffing agent that immediately causes a euphoric rush. I do not speak here from my own experience, but I have read a number of articles about it. Madam Minister, my specific questions to you are as follows. In your reply to a written question dated 24 September, you indicated that an interadministrative working group had been set up by the FAGG. What are the conclusions of this working group? Can you give us any figures on the use of nitrous oxide outside the medical setting, as a drug? What measures or actions will you take on the basis of this data?
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u43	Mr Terwingen, the interadministrative working group has not been able to conclude that the recreational abuse of nitrous oxide by young people is currently taking on problematic forms. As a survey of the working group shows, it is possible that local use exists in some cities. However, this is of short duration. The various organizations for helping drug addicts are not asking for rules or penalties to be imposed on them, because they say that this could have a counter-productive effect. There is also a fear that this would stimulate the experimental behaviour of young people. The Working Group considered that it would be more appropriate in this context to focus energy on the fight against other drugs, which currently pose a much higher risk to public health and are also being used much more. The availability of nitrous oxide as a medicine is strictly regulated and can only be delivered within a hospital environment. These products are therefore not available for recreational use by young people. The additional regulation and thus limiting the availability of nitrous oxide for other uses would have an impact on its use in the regular food industry, as this gas is used as an approved food additive. I don't know exactly what it is, but it's a food additive. It is used as an antioxidant, as a foaming agent, as a packaging gas and as a propellant. It is a question of knowing the possible consequences and the advantages and disadvantages of a given measure and of knowing what the framework of the problem is. When it comes to the number of people who use it as a drug, we can only continue on what is said within the associations dealing with toxicomania and aid associations. Of course, they do not keep statistics on this. It's an illegal circuit. It is important, however, that we discuss with them whether this should be addressed and whether this is the main problem. Their answer is negative. They are not in favour of taking any further steps in this regard. If anyone has any idea that could help us at political level or on the ground, it goes without saying that I am prepared to take action. So far, however, no one has found what we could really do.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u44	Madam Minister, thank you for your answer, which is reassuring both socially and medically. If the problem is not large-scale, it goes without saying that we should not give it too much publicity, so as not to change people's minds. That's how I summarize your answer. In 2015 you announced that it would be investigated, and therefore it seemed appropriate to bring it to my attention again. In this way, I think the follow-up is okay. We must try to identify the issue as much as possible, through consultation with the associations concerned which deal with toxicomanic problems. In this way, we can intervene if it becomes a bigger problem, which at least it is not now.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u45	Apparently, it's place-bound, too.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u46	Apparently.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u47	Most say it doesn't happen to them, others say there's movement in them. It's temporary, and it's not swarming.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u48	That's reassuring.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u49	Madam President, Minister, in the course of this legislature, you have said on several occasions that you want to focus on a general reduction in the consumption of sugar by the population. Recently it appeared in the press that the supermarkets are also making a lot of use of them and that, without our knowledge, a lot of sugar has already been extracted from many products. Madam Minister, can you give an overview of all the measures you have already taken in this area? Was there a zero reading? What are the results of the measures to ensure that the results you had in mind were achieved and that you are on track with your expectations? Will there be any further policy measures in this area?
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u50	Madam President, Mrs Van Camp, the Belgian food industry, united in the Fevia sector federation and the large Comeos distribution sector, has indeed committed to reducing the energy content in food between 2012 and the end of 2017, with quantified commitments for the various sub-sectors. For example, the Belgian dairy sector has committed itself to a reduction of 3% in added sugars, the soy-based sector by 4%, the soft drinks sector by 5% and the cereal sector by 4%. Fevia and Comeos reported on this. They have also communicated that there are already more than 300 tonnes of sugar in our diet each year compared to the past. I have not yet received a report, but that is good news. In the covenant we prepare a follow-up. I expect further steps can be taken. I am pleased that these sectors have taken on their responsibilities, because it is really necessary to reduce the too high energy content in our products in order to achieve a more balanced composition. In addition to reporting, we are also working on an independent monitoring, through samples, to check whether the energy content continues to go down. We will continue to monitor in a dynamic way the evolution of the food composition of the products on the market. We are also talking about the possibility of a follow-up to the 2020 commitment. The priority challenges remain the same, namely the reduction of sugar and fat content and an adjustment of the portion size. Secondly, we also want to introduce more fiber into the diet. The Belgian Pledge was also important, with more companies joining. The Belgian Pledge also covers advertising for minors, in the sense that efforts are being made not to advertise unhealthy matters.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u51	Madam Secretary, if the report is forwarded to you, perhaps it could be asked to deliver it to our committee as well. I know that we from different groups follow this issue closely. I think we'll all be curious to see the exact figures.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u52	The sectors do their own monitoring. They also asked to be able to make those reductions at their own pace because they want to remain competitive in terms of taste. I have noticed, for example, that in the case of soft drinks, the former sugars have been replaced by a combination of ten different artificial sweeteners. Anyone who drinks that gets a refreshing effect on the taste buds. The aftertaste of a product is also important. This all has to do with peaks and valleys. It's actually incredible to see how much study they do for that. They also test the effect of the color and the smell. For example, in southern countries, with a warm climate, there are other colours for certain soft drinks, so they look more thirsty and fresher. Moreover, they are all in competition with each other and our market is not closed. Therefore, they want to maintain their market share, but by placing more emphasis on, for example, cereals which, for example, contain 40% less sugar and are therefore healthier for consumers and children. The trend is in the right direction. I am glad that they have achieved their goals, but I will also be happy if there is another follow-up, because it must not stop there.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u53	I understood in your answer that you were doing a parallel monitoring of the compositions of the products yourself.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u54	No, we're installing that in addition. They practice self-monitoring, because they know what's in their products. But in addition, the Agency will still carry out tests and take samples to check if this is correct.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u55	It's only on its way.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u56	We're setting it up. This will be an independent monitoring. For now, it's about self monitoring. Trust exists, of course, because of competition. If it wasn't fair, the competitors could denounce it, but anyway, we're going to set up an independent monitoring. The zero measurement took place in 2012.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u57	Of course, if you have five candies containing less sugar, but you eat five, while you only eat one before,... We must also ensure that we do not push for consumption!
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u58	It is also a question of education. That's why we created the Pledge. Instead of saying to children, "you have to drink zero sugar or light soda," you can tell them that it is better to drink water. They can be allowed to drink a soda from time to time, but not every day. This is part of household education and habits. If the children see that the parents drink coca, the children will do the same.
ParlaMint-BE_2018-02-07-54-commissie-ic816x.u59	Madam President, Minister, under the third protocol agreement concluded in 2005, it was agreed that RIZIV would provide funding for research into alternative and supportive care for vulnerable elderly people. The aim of the Protocol was to bring about a renewal of care and to encourage initiatives that offer or develop alternative forms of care, so that vulnerable elderly people can stay home longer. The aim is to evaluate, at the end of the programme, the added value of the initiatives and, where appropriate, how they could be anchored in a structural way. After a first project call in 2009, 47 projects were selected in Flanders. A number of projects were transferred to the Communities and the Regions under the Sixth State Reform. After a second project call 12 Flemish projects were selected again. The Royal Decree of 2 July 2009 states that the final objective is to decide on the structural anchoring of the projects on the basis of evaluations and the final report of the scientific team. Menos, one of the projects, has been funded since 2010 under healthcare renewal projects protocol 3 and has been extended to the end of 2018 after evaluation in 2014. Since then, there have been many positive evaluations of the project by the RIZIV. Scientific evaluations by LUCAS have shown that, thanks to Menos' guidance, a residential intake of the elderly person can be postponed by an average of 260 days, which was of course a very positive result. If the financing of Menos stops, the continuation of a very valuable project will of course be compromised, a project that is already an example of how to provide care in the future, namely quality care and support that is shaped by a multidisciplinary and intersectoral cooperation, not again a new service alongside the other, but where the expertise and expertise of existing services are used, with a functioning that not only works with the client or patient but is embedded in the whole context, an action that focuses on empowering the patient, supporting the caregivers and case management. Those are the key words of the operation. I have the following question, Madam Secretary. Can the projects positively evaluated by the RIZIV since the extension from 1 July 2015 and which have not been transferred to Flanders, count on a structural anchoring with corresponding funding or, at least, a transitional funding, pending the possible roll-out of new concepts, in which they might be placed again?
