ParlaMint-BE_2018-04-25-54-commissie-ic879x.u1	Questions Nos 22993 and 22995 by Mrs Galant are converted into written questions.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u12	If we want to deal with all the questions, I would ask you to be brief. A reply usually takes one minute.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u13	Mr President, I will not make full use of my minute to compensate my predecessor. Minister, our group is pleased that you have taken very firm action in this matter and that the trade unions play their role in this matter in a very serene and proper manner. We will, of course, follow it up further.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u14	Minister, I think I have been very attentive to your answer, because it was a very important subject. If I've been inattentive, you'll excuse me. However, you have quoted a series of cities. I asked you a very specific question about the Carrefour de Froyennes and I did not get any answers. You say it's all mixed up. How do you want to set up a procedure without having information about the real situation at the outset? Will there be redundancies in Froyennes? You didn't answer me. I put myself in the place of the workers of Froyennes. When you ask a question, you don't even hear the name Froyennes in the answer. I hope these people matter in your thinking. I have no doubt about that, but I am not at all satisfied with the answer. Actually, I didn't get an answer!
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u15	Minister, we are in the first phase and we must give every chance to job-saving. We also know the habit of slightly increasing the figures of the initial announcement to then bring them down, even if the latter figures were already in the original plans. We will see whether there will be a significant reduction in the number of redundancies and whether Carrefour's management is in the same state of mind. Secondly, I come to the reform of the Renault law. You have given the social partners more time. Of which act! Nevertheless, I will make one suggestion: to strengthen the social mediator. Secondly, the social plan should be made compulsory, even if it does not yet say anything about its content. These two elements are in line with social consultation and do not favour the banks of employers or trade unions. I fear that discussions on the reform of the Renault law will continue and that we will reach the end of the legislature without having any feedback on it. It seems to me that strengthening the Social Ombudsman and making the social plan compulsory could be the subject of a vote and a legislative decision, or in any case a regulatory decision, without either of them taking a position. This goes in the direction of social consultation, which remains a fundamental basis in Belgium, in which we plead. I shall draw further attention to one point, for the second phase. Depending on the dismissals that will take place, I fear that women will be particularly affected. It will be important, indeed, with the Regions – it is not just the federal jurisdiction – that we be particularly proactive and attentive in terms of re-employability, and in particular on training.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u16	Mr President, I can give some answers to the supplementary questions. Mr Delannois, I have not received any information on your question. It's as simple as that!
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u17	[[...]]
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u18	Yes, forgive me! I didn't say anything, because we asked for information without getting anything.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u19	Which is still quite challenging!
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u20	I know, but I wrote down your question.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u21	Simply put yourself in the worker's place if, even to the minister, the information is not passed on. It's an inquisitive thing!
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u22	Mrs Kitir, Madame Fonck, I come to a second point. I have presented to the social partners at various times what I would be accused of in committee with regard to the Renault Act. I'd be told I'm losing too much time without a change. In a subsequent restructuring involving a large number of employees, I would once again be asked why I did nothing. I have pointed this out to the social partners on several occasions, because I have seen this criticism coming from a long way, Mrs Kitir. After my letter of 2016 I didn't wait back. However, I have tried, and I will continue to do so, to encourage the social partners to do something as soon as possible. Mrs Fonck, it should be possible to move forward in two or three parts of the Renault law. For the rest, I leave it to the social partners to discuss more difficult issues. I will check what is acceptable to us and, above all, to the social partners. I agree with you, I can give time to the social partners, but the legislature is coming to an end soon.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u23	Minister, it is not the first time I have come to the committee with such a point. Apparently, it happens more often in our country now. A 24-hour strike took place in January in response to the resignation of an ABBV chief delegate at Vandemoortele in Seneffe on 22 December 2017. It concerns the dismissal of a protected worker without motive. The syndicated delegation demanded an immediate reintegration of the dismissed chief delegate. There has already been consultation between the social partners, but the management remains in line with its decision. In February, another syndicated action was organized and a discussion followed with the management. This, however, has not been achieved. Besides, it's not the first time this has happened. In 2013, a syndicated delegate was fired in the same company without motive. There have been many similar cases in recent months, in which syndicated representatives have been dismissed. I refer to the Red Cross, Mistral, Vesuvius, Family Help and so on. This is an alarming evolution: MEPs who are thrown out without reintegration, such as Vandemoortele and many others who do not make it to the news. Syndical protection and syndical rights are being called into question more and more. Recently, on Friday 13 April, the chairman of ADVV Antwerpen and a syndicated delegate had to answer to the court for having participated in a syndicated action in 2016. They risk five to ten years in jail because they would have obstructed traffic. Where are we going? The dismissal of this senior FGTB delegate at Vandemoortele leads me to ask you a few questions. Do you know how many union delegates were dismissed in 2017? Do such statistics exist in your department? Have you contacted Vandemoortele's management to request information on the subject? Are you going to put some pressure on the company to re-examine its decision? We have already dealt with the last issue recently on the occasion of the dismissal of a Red Cross delegate: do you not think that it would be time to legislate in such a way as to guarantee a right of reintegration and not only a right of dismissal which, obviously, has few safeguards in Belgium?
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u24	Mr Hedebouw, there are no statistics on the number of dismissals of union representatives. There is no obligation on employers to provide us with this type of information. As a result of the resignation of his chief delegate at Vandemoortele Seneffe, ADVV Horval requested an urgent conciliation meeting on 3 January 2018. The Reconciliation Office of the Joint Committee 118 for the Food Industry, the sector to which the company belongs, met at the Employment Office on 9 January 2018 under the chairmanship of the Chairman of the Joint Committee. Both Bureau members and employees' and management representatives were present. No solution has been found and the work ended with a report of non-reconciliation, as reintegration could not be considered from the point of view of the employer delegation. The employer considers that the dismissal of the representative of the staff is motivated by the fact that the person concerned repeatedly fails to comply with the agreements without any desire for improvement. At Vandemoortele Seneffe the work was then shut down for a day. Since then, activities have been resumed normally. Workers' representatives enjoy legal protection against dismissal. For the representatives of employees in the works council and in the committee for prevention and protection at work, this protection is determined by the law of 19 March 1991. As far as the trade union delegation is concerned, the status of trade union delegate was established by the social partners in a collective agreement. The collective agreement No. 5 on the statute of the trade union delegates of the employees of the undertakings established in the National Labour Council of 24 May 1971 lays down the essential principles governing the competence and operating procedures of the trade union delegation. That agreement lays down the procedure to be followed for the dismissal of a trade union delegate and the penalties to be applied in the event of unlawful dismissal. In the present case, the Member dismissed is free to try to assert his position by lodging a complaint with the labour court, possibly with the support of his trade union.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u25	Minister, we have already discussed the substance of the matter last week. We may not agree on the importance of ensuring an obligation to reintegrate. The procedure at the court level could only possibly lead to compensation, without the obligation of reinstatement. In the version you gave, the company boss says this. The company's patronate indicates that the agreements were not met. The discussion is, of course, about the agreements that were made. Apparently, there are also agreements about working conditions within the company. In that sense, arbitrariness reigns. It's kind of the arbitrariness that reigns. In any case, Minister, if we want a real democracy in companies, the workers who are exposed to them must be able to be protected. Once it is estimated that becoming a union delegate is more likely to be dismissed, no one will apply for such a position. This is the basis of the democracy that was built in companies after the Second World War. In France, there is an obligation to reintegrate. In any event, it is really time for an independent body to decide whether a dismissal is justified or whether it is an arbitrary dismissal.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u26	Debates of the European Parliament 23606 by Mr Luk Van Biesen expires.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u27	Minister, on Wednesday 7 February, employees at Volvo Cars Gent were fired after they had spontaneously laid down the work. The workers of Volvo Cars Gent have been unhappy for a long time because of the pressure of work and the hyperflexibleness required of workers in certain departments. In fact, when I visited, I often heard talk about you and about the laws that make work in the sector more flexible. Around two hundred employees decided to drop the work spontaneously, to which Volvo responded with the immediate dismissal of nine employees involved. Those were workers who made the record profit of 1.4 billion euros for Volvo Cars possible in 2017, by working hard and flexible, by knocking overtime on Saturdays and Sundays, by delivering quality. Some have been working there for more than eight years and have not been ill for a whole year, but are still being fired immediately. The reason is that they have dared to participate, with more than 200 other colleagues, in a spontaneous strike action. "Legally Volvo catapults employees more than fifty years back in time," writes Professor of Labour Law Jan Buelens in an opinion piece in De Standaard of 12 February 2018. I quote: 'Until 1967 there was still doubt whether a strike triggered the end of the contract of employment. In 1967, in a judgment, the Court of Cassation developed a crystal clear reasoning: the employee does not seek to terminate the contract of employment, but merely pursues its temporary suspension. What Volvo did goes flagrantly against the right to strike." That's how the professor decides. I have the following questions, Minister. The workers in question are covered by the right to strike. Will you urge the management of Volvo Cars Ghent to rehire the employees? What measures are you prepared to take to prohibit such unlawful dismissals? How do you assess the proposal to create a Volvo Act, with the aim of banning abuse of the right of dismissal and protecting workers who exercise the right to strike?
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u28	Mr Hedebouw, this is probably the last file for today in connection with redundancies. There was a spontaneous break at Volvo Cars on Wednesday 31 January 2018 at the morning shift by non-organised workers who have left their post in an attempt to convince others to drop the work. This group of workers, including employees of subcontractors and interim companies, has never been more than 70 people and has almost immediately been reduced to some 20 people who do not wish to work. Some media falsely reported an action of 200 employees. Moreover, the action took place in a limited department of the factory, was not announced by means of a strike notice and was without the knowledge or consent of the syndicated delegation in the company. Those involved refused to discuss the motives of their discontent, not only with their direct managers, but also with the trade union delegates on the work floor. It cannot be said that, in the context of the facts, the workers concerned were covered by the right to strike. The rules laid down in the event of a strike were not followed and the unwillingness of a few was in no way covered in this case, even afterward, by the syndicated delegation in the company. There is therefore only an individual lack of willingness to work. In my opinion, the 16 individual redundancies at Volvo Cars should also be nuanced. This includes employees of sub-contractors of Volvo Cars, interim workers and temporary workers with non-long-term contracts of employment. Finally, there were also a number of terminations of some contracts of indefinite duration by termination according to the applicable motives. Therefore, on the basis of all the information I have received, it is not certain that in the present case it would be effective for unlawful dismissals. With the present knowledge of the facts, this is certainly not the case and therefore premature. Moreover, the current legal framework on dismissal rules and obligation to state reasons in individual employment relationships in this area is collective agreement No. 109 on the grounds of dismissal. The review of individual cases under the relevant legal framework falls within the jurisdiction of the court.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u29	Minister, without doubting all the information you have received, it is important to remember that the right to strike is an individual right in our country. It is not because a trade union does not recognize the strike that this right does not exist. This is commonly referred to as a wild strike. If in our social history the habit had been taken to dismiss those who participated in strikes not recognized by a trade union organization, there would have been thousands of unemployed people because people would have been laid off. Let us admit, and history is much more nuanced than that, that there was no immediate recognition, in any case, these workers, who were not in days of production, did not come to work, sabotaged the work, these hard-working workers were in a collective framework of movement. From then on, the right to strike is infringed, which constitutes a danger. Testimony attests to this. You're saying they're not all Volvo layoffs. It's worse! I did not want to add to such a dramatic situation at the outset, but some workers, who are acting or subcontracting, took their courage by two hands to express themselves within the company. If they have not been dismissed, their contract has simply stopped. This clearly shows the "two-way, two-way" nature of workers' rights. Minister, what is happening right now is not good. It's time to step in.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u30	Minister, in October last year I asked to delete the condition to have to live with the child in order to have the right to a complete interruption of work for the duration of a week in order to provide assistance to a minor child during or shortly after the hospitalisation of that child. I asked that in order to ensure that, in situations where the parents are divorced, the parent in whom the child is not dominated can also exercise that right. You replied to me that the law actually allows that leave to be granted to the other parent because living with a child cannot only be demonstrated by direct debit. This can also be done in other legal ways, for example by a court decision governing co-parenting. That too can serve as evidence. If the parent in whom the child is not dominated can prove that the child is living with him for certain specific periods of time, in your opinion, the RVA would take that into account in the decision he makes. In addition, you indicated that you would examine with the RVA whether the regional offices should be given additional instructions on this because in practice there had been some problems in the field. In the meantime, have you been able to sit with the RVA about that? Did you have the opportunity to discuss that? Are the instructions delivered to the offices of the RVA, so that there will be no doubt about this in the future?
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u31	Mr Lanjri, I can answer very briefly. I hope you will also be very pleased with my brief answer. On 19 December 2017, the Teaching on the admission of medical assistance leave for a hospitalised minor child at the RVA offices was clarified. From now on, it is assumed that both divorced parents of the minor child can take medical leave at the same time without prejudice to the cascade scheme provided for by law. This therefore covers cases where the problem you have described arises.
ParlaMint-BE_2018-04-25-54-commissie-ic879x.u32	Mr President, Minister, I am pleased to note that questions from Members on matters that go wrong in practice encourage you to consult with the authorities concerned and to clarify this in an instruction, as is the case at present. I assume that there should no longer be any problem on the ground and that both parents, even if they do not live together, can take that leave during or after the hospitalisation of the child and that there should no longer be any choice. After all, that was a heartbreaking choice.
