ParlaMint-BE_2018-06-05-54-commissie-ic912x.u1	Ladies and gentlemen, we are starting our work, which will be stopped at 5 p.m.
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u12	Your reaction is modelled on that of the unions who claim that there will be no more work in health care. As you know all the studies on this subject, you know very well that the number of people working in the care field will increase in the years to come. Don't keep me busy at this level with pamphlets and slogans, I can hear them on the street.
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u13	Minister, you are saying that I think there will be no more work in health care. If there's someone who knows a little about the reality of hospitals, it's me! In addition, potentially one motherhood and one emergency room in two will close. Don't come here to say that there may not be a direct impact on these units, and therefore on these nurses. Of course, maybe they'll find a job somewhere else. But the reality is that too! I'm tired of getting behind images so we don't talk true. We have to tell the hospital staff the truth. It is also necessary to speak true to the patients. That's the reality. It's yours, too. To assume his responsibilities also means not to lie and to fully assume, in consultation with them, future realities that will not be easy. Thank you.
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u14	Madam President, the word 'lie' can be deleted here. Mrs. Fonck, I'm not lying. There are constant contacts in my cabinet with all the organizations involved. Having contacts and listening doesn't mean "doing what they want." Consultation is one thing, having the pen taken by the syndicates is another. I'm not lying about it, they're all being heard and they're being listened to. You ask for representation at the level of the networks. Mrs Gerkens has already said it. What about the physicists? What about the nurses? What about the carers? Then we're going to build a Chinese army at the level of the network. If that's how you want to drown the fish, you're doing well.
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u15	Madam Minister, you said you spoke to the many actors involved. But you're not talking about nurses. If you've met with them about the networks, it would be nice to say so. You don't mention it in your answer. It is true that their demands for involvement in the management, vision, strategies and strategic projects of hospitals, as well as in the organization and distribution of budgets, are earlier. However, the organization of the networks was precisely an opportunity to review things since this issue goes hand in hand with another way of financing hospitals. I thought the goal was also to reduce the direct link between benefits and hospital funding. But, in your answer, you say you don't want to involve them in decision-making bodies...
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u16	At the network level.
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u17	However, there is a global vision because there are reference hospitals, expert hospitals, and community hospitals.
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u18	[[...]]
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u19	All right. So there will be services. But if there is one category of health care professionals that are cross-sectional, it is nurses. They're the only ones. In doing so, it is worth thinking with them.
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u20	Madam Chair, if the minister did not answer the question as to whether she saw them or not, she did not meet them. I've inquired and I know you haven't seen them, Madam Minister. That said, Minister, as far as networks are concerned, you are still talking about the aspect of representation in hospitals. But it's not just that part. The networks will have a major impact on the organisation of health care as well as on a range of units. I've quoted emergency services and maternity wards, but I could list you a much longer list. Yes, it is normal and responsible, as Minister of Health, to have contacts with nurses to see how, tomorrow, the entire nursing profession will evolve so that, at some point, things may also evolve in terms of employment with shift to ambulance, shift to home teams, etc. But not to face the reality, namely the potential loss of jobs in hospitals, is not acceptable. It is therefore up to you to discuss it with nurses as well as union representatives.
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u21	Minister, this file is not from yesterday. There has been a new, important and positive social agreement concerning the staff of public and private health-care institutions. Today, as a first step, it is the private sector that is concerned with the famous IFIC (Institute for Classification of Functions) model in terms of the evolution of wages and scales that will be made according to the work done and not only according to the degree. The FNIB (National Federation of Nurses of Belgium) has written to you. Kines and pharmacists also showed up. Today there is a work of transposition in private hospitals and associations and uncertainties, concerns and insecurity are major. A series of questions also arise about the differences in treatment for those affected. While having released an envelope is a positive element, there are significant concerns and concerns about transposition. Minister, given these uncertainties, what answers can you give with regard to the method, the accompaniment and the teaching component to clarify and, if necessary, adapt certain points of this agreement?
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u22	Minister, the National Federation of Nurses of Belgium (FNIB) has recently relayed the concerns of nurses regarding the new classification of functions and the new scale of salary scales and levels envisaged by the reform of hospital functions, applied in private hospitals since 1 January – and which should be applied in public hospitals within a few weeks. Several elements of the reform have generated negative reactions and many questions in the head of the FNIB. Among these, the fact that the new classification of IFIC functions is now based on a set of six general criteria without taking any further account of qualifications, diplomas and levels of study, which, in her view, tends to devalue general professional skills. Thus, regardless of the diplomas, qualifications or qualifications obtained, if nurses in a sector perform the same function, with the reform, their wages will be equivalent. Another complaint raised was that professional associations had not been co-ordinated and involved in the process of preparing for the reform. It should also be borne in mind, as regards premiums for special professional qualifications and special professional qualifications, that it would have been decided that no one would be able to enter the bonus system as early as May of this year, with the result that the premiums would no longer be financed for new specialist nurses, regardless of specialization. Minister, it is clear that your rhetoric that you are working to maintain quality health care by valuing the professions of caregivers is once again being undermined. I therefore allow myself to relay the legitimate questions of the nursing sector negatively affected by this reform of hospital functions. Can you provide us with specific information on the methodology followed for the implementation of the reform, as well as the persons and associations consulted? Can you argue about the reasons why you did not involve professional associations such as FNIB in the process? How do you justify that diplomas and qualifications are no longer taken into account in the new IFIC classification? In the reform, each function is described according to a set of criteria to which scales have been assigned. However, it appears that existing functions have been omitted? How do you explain that? When will they be added? It appears that nurses head of unit will have a different function and therefore a different salary depending on whether the unit they lead is large or small. Can you explain these notions of big or small unity? On what basis will the size of a unit be defined? Finally, Minister, can you tell us if students who will be graduating in June will get their TPP/QPP?
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u23	As you may be aware, the implementation of this new classification of functions in federal areas is a matter of concern. The Joint Trade Union Front drew our attention to a number of matters of concern, in a letter dated 14 May and of which you received a copy. In summary, the unions explain that they have to date no guarantee on the release of the budgets necessary for the application of the IFIC scales in the coming years. They also denounce the absence of decrees, cadastres and decisions on budgetary aspects for premiums for special qualifications and qualifications. They also denounce some counter-truths and claim that the worker will choose to switch to the IFIC scale only if the latter is more favourable. However, at the hearing of the psychologists' representatives in committee on 16 May last in the context of the reform of the health care professions, the representative of Vlaamse Vereniging van Klinisch Psychologen announced massive recourses in his sector because the new classification implies a reduction in wages of around 10 to 15%. Minister, can you clarify the situation? What is the status of the implementation of the new classification of functions in the federal health sectors? Do you confirm that the worker will be able to choose not to join the IFIC scale if the latter is less favourable than its existing scale? In general, what communication arrangements have been made with regard to this reform? While the IFIC website contains useful information, how has it been made known to the main stakeholders? How do you respond to trade unions expressing their concerns about the budgets needed to implement the reform? Can you give them guarantees? What about decisions on premiums for special qualifications and qualifications?
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u24	Minister, my question will be shorter given everything that has already been said. We have indeed been contacted by all the federations of nurses, in any case the bodies bringing them together, who have expressed their concern about the negative consequences of this classification of functions relating to the missions, functions and scales of nurses. It is true that you said, at some point, that you were going to organize things differently. We were also contacted by the unions that negotiated the agreements that led to these IFIC classifications. They told us that the proposed system was the right one. During the hearings on health care professionals, representatives of hospital clinician psychologists told us that the IFIC classification did not take on certain functions, that it did not always correspond to reality and that the scales were not adapted. In short, several criticisms have been made, although they do not necessarily go in the same direction. Minister, could you inform us of the consequences of this classification? More specifically, what the short- and long-term impacts will be on career scales and developments. Similarly, what are the disadvantages and advantages? It seems to me that on 30 May you met with the unions and representatives of the nursing federations. Have you reached a clear and common position?
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u25	Mrs Fonck, Mr Gerkens and Mr Caprasse, Mr Senesael, like you, I have taken note of the concerns of the National Federation of Nurses of Belgium and other professional organisations. In the meantime, they have been communicated to the social partners. I confirm that we did not wait for their reactions to organise, on 30 May, a consultation within my strategic unit with the ASBL IFIC and the General Union of Nurses of Belgium (UGIB) - the umbrella structure of which the National Federation of Nurses of Belgium is part. All points of concern to the nursing profession were addressed. Then, and at our request, they also changed the "questions-answers" section on their website to better respond to questions from the public. I would now like to explain what the IFIC model really is. This is a negotiated wage model which has been developed on the basis of consultation between employers and employees in the Joint Committee. Its innovative character is evidenced by the fact that employees will be paid with reference to the content and weight of their function, and not only according to the qualification criterion. In addition, the evolution of their earnings during their careers will be much less influenced by the principle of seniority. As a result, their starting salary will be higher. This is fully in line with the deployment of IFIC, as provided for in the Government Agreement, to improve the attractiveness of jobs in the care sector. In order to reduce the existing wage pressure, the social partners have chosen to include the TPP (specific occupational title) and QPP (special occupational qualification) premiums for nurses in the basic scales. In addition, the existing premium system will be abolished. This decision was taken in consultation with the social partners and forms part of the social agreement and collective labour agreements concluded by the social partners in pursuance of this agreement. Of course, the amounts required to fund this system have also been approved by the government. They are shown in the tables. At the time of the introduction of IFIC, it was decided that the acquired rights could not be affected under any circumstances. No staff member can see their situation deteriorate as a result of moving to the IFIC system. In this sense, nurses who were entitled to a bonus retain it. As a first step, this category of employees will not be able to move into the IFIC system. These employees will retain their former salary schedule, including the TPP/QPP bonus. The classification has been in the process of being implemented since January 2018. All on-duty workers received information on their position and potential wage levels on 30 April and have two months - until 30 June - for the possible introduction of an appeal. A worker currently on duty may choose to maintain his current schedule or for the IFIC classification, with the exception of nurses with a specific professional designation (TPP) or special professional qualification (QPP). New employees will, in any case, enter the IFIC system that is more advantageous to them. The new salaries in the first phase will be paid in July. IFIC is an evolving system. An intensive maintenance phase will start in the fall of 2018. In this context, it is planned to update the functions, on the one hand by adding the missing functions, and on the other hand by updating the existing profiles. Particular attention will be paid to the contribution of the ground. Indeed, the feedback that the social partners and the ASBL IFIC are currently receiving, notably through the various professional organisations, will be integrated into the interview phase. For our part, we always e-mail the ASBL IFIC the individual remarks of citizens, nurses and psychologists who arrive at us and we ask them to respond. Finally, I would also like to point out that the possibility of deploying IFIC in the public sector is being examined, as requested in the negotiation of the social agreement.
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u26	Minister, I would like to ask you two questions. What does deployment of IFIC in the public sector mean? Is there a timetable already? Is there still a question mark or is it decided ex officio?
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u27	We also requested a pre-study. That is why we have already planned a budget this year. For the deployment of IFIC to the private sector, a pre-study was also planned.
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u28	Thank you for your further reply. I'd like to pay attention to something. The question of the modalities of upstream consultation raises the question. The transposition issues are very complicated. I assure you, this is extremely difficult in hospitals. I knew there was no obligation, and you just confirmed it to me. It was repeated to me by several sources. A series of questions remain. It seems that functions that exist today have been forgotten or deliberately set aside. The question remains whole, but it has an impact on the staff concerned. I would like to draw your attention to two points. First of all, we should know what is happening to the existing and now forgotten functions. Will they eventually be added? That would be quite logical to me. Rather than resorting to remedies in the end, it might be worthwhile, in one or two months' time, to take stock of these "forgotten" functions. A discussion could then take place with the government and the social partners in order to find solutions. In fact, you will then address the public sector component. At the same time, these are identical functions, whether they be private or public hospitals; the exercise of these tasks within the hospital is the same. It should also be avoided, in a second phase, that these profiles be changed for public hospitals and that there be double standards, e.g. for nurses or any other caregiving function; double standards, which are very different in the IFIC system of private hospitals and the IFIC system of public hospitals. I therefore urge you, Madam Minister, to take stock of the situation, perhaps within a month or two, with private hospitals in order to adjust what should be. It seems to me that we should avoid recourses in a positive and constructive dynamic with caregivers.
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u29	Minister, I have four elements to submit to you. First of all, I would like to thank you for your very pedagogic response. We have retained the various elements of your thinking and the way in which you want to move forward. Second, I had included in my application the question of the public. It is true that in my readings and the contacts I had in April, we were talking about two to four months. Now you say that there is an ongoing study and that no specific deadline has yet been determined. It would of course be interesting to know this deadline as soon as possible. I come to the third point. As my colleague also pointed out, there are still fears, but there is still concern. To appease them, good communication must be given priority. This leads me to the fourth element. In your opinion, an appeal may be lodged until 30 June. But at the same time, you say that the IFIC is evolutionary and that you will be able to add the missing functions. However, it would be interesting to know all the information before 30 June, in order to avoid a series of appeals. As you say very well, we can ask the questions, pass on the comments that are analyzed by IFIC. In my humble opinion, there should be better communication in this area in order to avoid the pitfalls we encounter, which are sometimes amplified and not necessarily relevant. I invite you, together with your collaborators, with IFIC, to reframe the communication, so that it is more specific and especially better targeted.
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u30	Thank you, Minister, for your answers. With regard to the questions I personally asked you, I have heard satisfactory answers. However, I am focusing on communication to avoid misunderstandings or drifts in the future. I think it's very important.
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u31	Minister, the meetings and discussions seem to take place more concretely than when we were questioned. Minister, have I understood your answer correctly? You say that from July-September, a permanent evaluation system will be put in place to identify if functions are missing or if adjustments are needed, so that the proposed model responds to the realities of the field or corrects the inadequate elements in the model. I am surprised at the difficulty of having, in both private and public hospitals, both social partners who represent all categories of professionals and providers of care, regardless of their category, having specific characteristics in their profession, their qualifications and their career development. This is not the same as for administrative or worker staff in these same hospitals. In this respect, Madam Minister, do you really feel that the model negotiated by the social partners meets the concerns of the different care providers in their category, even if we must avoid having a narrow or focused look that everyone can have in his or her more specific occupation?
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u32	Mrs Fonck, you asked a question about the consultations. Now, quarterly structural consultations are planned with the General Union of Nurses of Belgium, a umbrella organisation in which, among other things, the five largest professional organisations for nurses are represented. Additional meetings were planned on our policy cell in the presence of the IFIC association, to provide the communication after the social consultation. The latest consultations took place on 29 March. On 30 May we held an intermediate meeting. The next meeting is scheduled for the end of this month. All bottlenecks will be listed. If functions are forgotten, we are assured that they will be recorded. There is continuous contact with the professional organisations. When we received complaints about unclear communication on the website, we also immediately contacted the request to modify the website and make sure that the choice that people have to make is clear. We have also learned that hospitals have not always made it clear to nurses that, if they are already engaged in the profession, they have a choice whether or not to enter the IFIC classification, which is more interesting to them or not. There is a great deal of consultation with professional organisations. Communication is not done at the level of the policy cell, but by the IFIC vzw created for that purpose. The professional organizations of nurses also want to be part of the social dialogue, but we cannot intervene in this context. We cannot tell the social partners who to include in the consultation. I can only play the intermediate figure and I do so by bringing the professional organisations and the IFIC association together. They clearly want to go one step further and be part of the social dialogue, but I cannot ensure that they are the main advocate of this. Some Members have asked for clearer communication. Mrs Caprasse, you are asking me to communicate more clearly, but I am not responsible for communication. Of course, I have answers to your questions. But it is the ASBL IFIC who claims not to know, who says the website is in follow-up, etc. They made adjustments and sent them to us. We have instructed someone to check the correspondence of the communications in relation to what is being reported to us on the ground. It's new and all I've done is look for the necessary amounts. When we started discussions on the social agreement, only the private sector had made the request of IFIC, but then the public sector also requested it, which surprised us. So we realized that a pre-study was needed quickly to avoid greater differences (since this system creates differences), which Ms. Fonck also stated. Communication is not our responsibility, but that of the IFIC LSA. Hospitals are overloaded with work with the calculation of these different kinds of payments from nurses and others. Discussions took place over 10, 12 or 15 years, resulting in some kind of suspense. Nevertheless, after the departure of the nurses' representatives, many points have been clarified regarding them and we will continue with this method of work.
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u33	Madam President, Minister, the Public Health Office has found Claire's asbestos in two make-up products from retail chain. Previously, also in the Netherlands and in the United States, products of Claire's asbestos were found. In unbound form, asbestos is dangerous to public health. According to the health experts, the risk was rather low because the cosmetics contain only low concentrations of asbestos. Asbestos is released at the extraction of the talk used for the products. However, according to European Directive 1/2005, it is mandatory to always use asbestos-free talc powder for cosmetic products. In the Netherlands, the Inspection Environment and the Food and War Authority have started a broader investigation into all kinds of other talking products such as baby powder. According to spokesperson Jan Eyckmans, the FPS Public Health is also considering launching an investigation. I have a few questions about this. First of all, has it been decided to start an investigation from the FOD into the presence of asbestos in other products containing talc? If so, has that investigation already started or when will it start? When do you expect the first results? Secondly, the European directive is clear. It is prohibited to use asbestos talcum powder for cosmetic products. What sanctions are imposed on those companies which are not as a rule? How can we ensure that no cosmetic products containing asbestos are sold in the future? Is additional information on the cosmetic product directive necessary for the companies concerned but also for the citizens?
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u34	Madam President, Minister, I agree with this question. When it comes to asbestos, this is a recurring debate. In the ten days before, however, we read four reports in the newspapers about the fact that asbestos is re-emerging, including in schools. I do know that Flanders is responsible for its removal, but the problem turned out to be much bigger than expected. The week before it was also known that SNCB workers might have come into contact with asbestos in paint on hundreds of old freight wagons. On this point, too, there has not been a great deal of clarity about the extent to which this is true or about the steps that have been taken. There have also been a number of fires, recently, with asbestos hazards. Then the reports of traces of asbestos came in children's make-up. Of course, that speaks to the imagination. Mr Van Hoof rightly said that although it is about very small concentrations, asbestos remains a murderer that we do not want to see appear in such cases. Hence my question as to whether the investigation has indeed been carried out, both with regard to SNCB and with regard to the make-up of the Claire's chain? If so, what is the outcome? What message do you give to those who have come into contact with it?
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u35	Madam President, Mrs Van Hoof and Mrs Van Peel, following reports from the United States and the Netherlands that asbestos was found in the make-up of the Claire's chain, my services of the Public Health Office carried out analyses on certain suspicious products at the end of March. In two make-up products asbestos was found. At the request of the Dutch and Belgian inspection services, Claire's chain removed all products from the shelves at the end of March. Claire's European Headquarters, in the United Kingdom, coordinated this action. The Department of Consumer Products Inspection of the FPS Public Health subsequently visited a number of shops to check whether the products had been effectively withdrawn from the market. That turned out to be the case. Six additional make-up products from the Claire's chain were analysed. Another small amount of asbestos was recovered in two make-up sets. At the request of the Inspection of Consumer Products, Claire's also withdrawn these products from the market. The presence of asbestos would be due to the use of impure talc. Both the Dutch and Belgian inspection services have ordered an investigation into the extent of the asbestos contamination in Claire's. This investigation is ongoing. As responsible, Claire's should be responsible for the safety of its products and have detailed information on the ingredients and traceability of the products. Claire's should therefore also provide the necessary information about the talk, both in terms of the different ingredients and the final product. It is the manufacturer who is responsible for the failing quality monitoring and for the placing on the market of potentially unsafe cosmetics. It is therefore the manufacturer who can be prosecuted and who can be fined. The Dutch authorities are currently evaluating the health risks posed by the use of contaminated make-up products. The results will be published shortly. My services of the Public Health Office are also evaluating this specific file on Claire's. They will then investigate cosmetics with talk on the Belgian market. As far as the railways are concerned, this is paint used by the workers, which was indeed found to contain asbestos. This is the responsibility of both the producer of the paint and those who use it and who have to show the necessary caution. I've seen a few messages in that connection. At the railways, these products were immediately removed from the workplace. Quid with the things that were painted with it? We must remain vigilant. There's now an investigation into everything related to talcum ingredients. In this respect, I believe that it is appropriate to cooperate well, both with the Dutch and with the English. If there are two boxes in our country, there are also others. Cooperation is therefore necessary and we are doing so.
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u36	Madam Minister, your services have adopted a very alert attitude and this deserves congratulations. It is good that there is cooperation at European level and that it is not limited to an evaluation of what has happened now and that the products containing talk are being examined on the Belgian market. We can only encourage you to continue that path.
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u37	Madam Secretary, I have one more question. To what extent do you estimate that public health is in real danger? Should parents of children who have used these products be concerned? The same applies to SNCB. I know that this was also a discussion about how long this had been known, while the staff continued to work with the paint. Was there any communication with them on public health?
ParlaMint-BE_2018-06-05-54-commissie-ic912x.u38	It cannot be the same communication, because it is about exposure to two different products. The Dutch authorities are investigating the risk to public health as the make-up product was more frequent there. I believe it's eye masks and blush. That talk isn't in all the products either. Of course, this should not happen, but I believe that the result will not be too bad. We must contact the railways, because they are not directly connected to our services; communication is always done in par persone interposée. In the context of worker safety, we need to look at what needs to be done with the cases that have already been painted. Does that paint need to be varnished off? That will probably have to be done with security, because asbestos will be released just when there is movement. It is therefore necessary to consider, in the interests of workers' safety, what needs to be done with the cases that have already been painted. They have now removed all the paint and made sure that it can no longer be used. But how long has she been used? What was she used for? I hope that SNCB will be able to untangle that clumsy as well.
