ParlaMint-BE_2018-01-09-54-commissie-ic792x.u1	Debates of the European Parliament Mr Blanchart's 17020 will be converted into a written question.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u12	I do hear that the minister is in favour of deleting this form and this approach for job seekers, and I therefore hope that your colleague, the Minister of Employment, shares your position, also with regard to the elements revising the law. You did not provide me with any answers as to the difficulties of being there between volunteering and community service activity within ISIPs. I would therefore like to draw your attention once again to ensure that we do not find ourselves once again in a situation in which people are finally forced to accept voluntary work without the characteristics of volunteering being combined, since there is a constraint to having an activity. And so I think, when the 2005 revision of the law is actually on the table, that it will really be necessary to integrate these concerns in order to clarify the positions and relations between the two texts, as well as the demands of each other. Thank you.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u13	I thank the Minister for her answers. The schedule is on track for this draft bill. To my knowledge, the National Labour Council has published an opinion on its website at the present time. Two steps are therefore still to be taken before the subject arrives on the table of our committee. When the issue is ripe, I hope that the committee will also be able to hear from the actors on the ground before taking any decisions. Secondly, the current project creates confusion between voluntary work and voluntary work. Finally, volunteers are assimilated to those who are in the grey zone, where they are not a priori. We need to clarify things, but we will come back to that when we look at the bill on economic recovery and social cohesion. Thirdly, I hear your opinion, Madam Minister, on the deletion of the declaration to the ONEM. The persons who took the initiative of the law passed in 2005 had in mind that any person may be a volunteer or a volunteer, even if he or she is a social beneficiary. Efforts must be made to minimize obstacles. It is important that people with job-seekers, sick people or other statuses have access to volunteering, and that the benchmarks and limitations are well defined. Volunteering must be accessible to everyone. When a social beneficiary is involved, it is important to be able to engage in voluntary or voluntary action in civil society, in particular for the purpose of integration. We will pay attention to the project announced to us. We hope that a constructive dialogue with the actors on the ground will take place in this committee.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u14	Madam Secretary, thank you for your reply. I am pleased to be able to start this year with a positive response. After all, I understand that you are not in favour of reporting, but that you think that a right of notification is an interesting piste. This could give people the opportunity to move to the ordinary labour market. I wish you every success when you discuss this with the Minister of Work and with the entire government.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u15	Minister, in May 2017, our committee reviewed a bill to provide a status for voluntary citizen service. Interesting - and sometimes moving - hearings were held with several young people who had experienced such a service. Their number is still limited, given the experimental nature of this formula. In any case, these hearings were able to demonstrate the added value of this initiative. A colloquium was then held in the Senate to promote good practices in neighbouring countries. As I asked this morning, when we were discussing the order of business, it is important that the proceedings of this colloquium be transmitted to us in order to develop this dossier. Ministers Gatz and Madrane had been heard in this context by expressing support for the initiative in question. In addition, the Council of State reminds us that the federal government can pilot the project by means of a law, but stresses the need for cooperation with the Communities and the Regions. Minister, what is your idea of establishing a statute for citizen service? Are you in favour of it? If so, are you prepared to organize a consultation with the federated entities with a view to bringing the project to a successful conclusion? Finally, what concrete initiatives do you intend to take on this issue?
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u16	Mr President, Mr Delizée, as I have said on several occasions, I am in favour of expanding the opportunities for young people to perform a citizen service. This system already exists in Belgium on a small scale but does not benefit from a suitable legal framework. The law on economic recovery and the strengthening of social cohesion, which will pass at second reading next week, introduces a new status as an associative worker allowing to earn up to 6000 euros per year, not taxed and not subject to social contributions, with a maximum of 500 euros per month. The Act provides that this status will also apply to services provided on a citizen service route by young people, approved by the accreditation body defined by decree. I have therefore established a general statutory framework whose practical implementation is the responsibility of the federated entities. This status makes it possible to recognise and value the substantial commitment of these young people and to lay down the rules applicable to them with regard to allowances, insurance and cumulation with social and other benefits. I have no doubt that this framework will promote the development of citizen service.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u17	Mr President, I thank the Minister for her answer. I note that, in principle, you are in favour of citizen service. Similarly, you recognize that today there is no legal framework but only experiments on a small scale. I welcome this for the young people who can participate, but I regret that there are so few of them. You link to this current project on associative work. I will make the same observation as for volunteering. Indeed, demand is much higher and not everything is a matter of bargaining. The problem is not essentially financial but must integrate the concepts of citizenship and integration into society in order to know the values of citizenship through training. The concept goes beyond the concept of allowing people to work to earn 500 euros per month not taxed and not subject to social contributions. The bill affects a specific federal framework that could lead to a federal or inter-federal agency that can recognize the bodies that will accommodate young people on public service. The appropriate status and operating procedures must be found. In my view, the current bill will not answer or solve the problem as the various sectors wish, which in fact support the citizen service. It seems to me that the framework must be much broader and broader. We have to work together. Unfortunately, your answer seems too restrictive, as if the work had been done and the file could be sent to the Regions. That's not it! There is a need for dialogue and consultation. A specific law must govern a voluntary citizen service in Belgium because this is not currently the case with the draft law on economic recovery and social cohesion.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u18	Madam Minister, on 11 April 2014, your predecessor concluded an agreement with Turkey on social security. This Convention replaces the old 1966 Convention, which increased the period of validity of the BT8 document from 45 to 90 days. This document is necessary for Belgian nationals to have access in Turkey to health care for urgent care. In practice, however, this has not so far been the case. A lot of people planning their summer vacation stay in the dark. On 12 November 2015, the draft law 1305/002 was adopted in plenary. It concerned the assent of the Chamber to the agreement on social security between Belgium and Turkey. The Belgian federated entities must also agree to the agreement. In reply to my written question No. 1032 of 11 July 2016 indicated that the Flemish Parliament had already approved the agreement on 21 June 2016. Madam Secretary, I have two questions. Are you aware of the latest state of affairs? In the meantime, was the agreement signed by the French and German-speaking Community, the Walloon Region and the Joint Community Commission? Have you had any discussions with the competent departments of the other authorities recently? Where is the administrative procedure for agreeing to the agreement at those levels? When can Belgians who go on holiday in Turkey enjoy that period of validity for urgent care of 45 to 90 days?
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u19	Mr Yüksel, the ratification procedure of the Treaty is still under way. It is, as you say, a mixed treaty, which must also be approved by the various sub-entities. The new treaty was indeed approved by the Chamber in November 2015. The approval procedures in the sub-entities shall be followed by the FPS Foreign Affairs Office. On a regular basis, this will be reported to the Working Party on Mixed Conventions, which will take stock of ratification procedures. The Treaty has so far been approved by the Flemish Parliament, the Joint Community Committee of Brussels-Capital, the Parliament of the French Community and the Parliament of the German-speaking Community. Only the Walloon Region still has to approve the treaty and then we are there. Subsequently, Foreign Affairs may exchange the ratification documents. Three months later, the treaty will enter into force. In Turkey, the procedure was finalised by the publication of the Convention on 3 April 2017. However, until ratification procedures are completed, no part of the agreement can be implemented. This means that the old treaty still applies to fellow countrymen who go to Turkey. A new government started in Wallonia a few months ago. As a result, ratification has been delayed a little. However, that is the only ratification we are still waiting for.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u20	Madam Minister, it would be good to point this out at meetings with colleagues, so that there is some urgency behind it.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u21	We need the question under item 12. Sorry, Mrs. Willaert.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u22	Mr President, it is not entirely clear to me why the order of questions is being changed or whether an agenda change was requested.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u23	I didn't change the order. Questions under items 6 and 7 will be dealt with shortly if Mr Daerden is present. I have been somewhat accommodating in this, even though I know I do not follow the Rules of Procedure. Unless you tell me to drop the question by Mr Daerden?
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u24	Okay, I didn't understand. I can wait a little longer.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u25	You're right. Since the questions have been put together, I will not keep you waiting too long. I was promised that Mr Daerden would be here within fifteen minutes, but I believe that those fifteen minutes have passed. I suggest we wait another ten minutes for him to arrive. If he's not here by then, we'll get to those questions anyway.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u26	Okay, no problem.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u27	Mr President, Minister, almost everyone agrees that the sharp increase in the number of long-term sick is partly due to the prescription behaviour of the treating doctors. As a competent minister, you have rightly responded by announcing that you would detect abnormal prescription behaviour through the methodology of data mining, a targeted statistical analysis, and that you would have medical re-examinations carried out on that basis. How many medical diagnoses for illness and disability have you had analysed and according to what methodology? What are the results of this data mining? How many instances of abnormal prescribing behaviour were identified? What did you learn from that? How many medical retests were carried out on the basis of data mining and how many doctors were appointed to carry out the retests? In how many cases did the medical re-examination produce a different result as the initial medical diagnosis? Was any action taken in those cases?
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u28	Mr President, Mr Spooren, there are two initiatives concerning the enforcement of the directives on sickness and invalidity and the duration of rules on disability, which I would like to draw to the attention of this committee. The first initiative is the activity of the fourth committee in the bosom of the National College of Social Insurance Medicine on incapacity for work. This College was founded in early 2016 to address a number of issues within the social security systems in Belgium and to look very closely for medical synergies in the different branches of insurance medicine in Belgium, namely illness, disability, unemployment, disability and prevention. Supported by the decision of the Council of Ministers of 31 March 2017, the College will draw up a number of guidelines on the duration of disability for pathologies with the most frequent and long disability facing the treating and advising physicians of a sickness fund. The Directives will also provide a clear framework for doctors to review the prescription of the period of incapacity for work and can therefore be considered as a medical aid and work tool in particular. The fourth commission within the College is currently working out these guidelines. All medical groups are represented in this body. At the end of 2017, eight disease groups have already been selected by this committee, namely low back pain, carpal tunnel syndrome, breast cancer, mild anxiety and depression, burn-out, knee prostheses, acute myocardial infarction and rotator cuff syndrome. In a second phase, the Committee will examine whether the existing foreign directives, for example from Sweden, Ireland, Spain and France, are applicable to these pathologies in a Belgian context. The guidelines will then have to be verified within the Belgian Medical Corps through a Delphi study. The selection of these groups for which a lot of literature is available makes it possible to make significant progress in the short term on manageable instructions for doctors. In December 2018, this working group will produce results for each of these eight selected diseases. Treating doctors who deviate substantially from the guidelines, the so-called outliers, will be addressed by the existing Medical Evaluation and Control Service of the RIZIV. For the sake of completeness, I would like to say that the committee will draw up a general decision tree for the purpose of prescribing a certificate of incapacity for work. This will enable the physician to be informed of what questions are being asked and what information he or she should have before issuing a certificate. The second initiative is quality control of primary incapacity through the so-called targeted re-evaluation. The purpose of the targeted re-evaluation is to check whether the counseling physician assesses the insured person from the seventh month on primary incapacity for work according to all possible reference professions and not exclusively to the ordinary occupation. Around 100 000 insured persons are recognised as unfit for work for more than six months each year. The objective is to re-assess 7 500 files annually on the basis of the key. Eight doctors have been hired to do this. They will specifically handle these files in the Medical Board for Disability. In the period from 13 February to 11 August, i.e. six months, this targeted check has received a total of 3 347 files and is therefore for the agreed number of 7 500 on track, as it is called. In 90% of the files, the doctor of the service was able to accept the further recognition of incapacity for work. In a small 10% of the files, he considered it necessary to discuss the file with the consultant in a separate section meeting. One in ten of these meetings resulted in an immediate cessation of the person entitled to work. I must also tell you that we have set up a whole new system with doctors who were available and willing to come from another service, through internal recruitment. Now we are at cruising speed, but in the beginning there was no service, no support, no doctors. In order to start quickly, we have worked with internal mutations and four people have gone into them. Then it was built upon it.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u29	Madam Minister, I am pleasantly surprised to hear that they are effectively on track in this area. I mean not only the analyses and the re-examinations, but also that some cases are discussed by the re-approvaling doctor and the counsellor, and that they are then followed up. In the first part of your reply, you mentioned preventive guidelines, how to steer the prescription behaviour a little bit. Both are indeed necessary, in the sense that we need to steer the prescribed behaviour with directives, but also the ex post control via data mining remains absolutely necessary. This must therefore be continued.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u30	I only see Mrs Willaert.
ParlaMint-BE_2018-01-09-54-commissie-ic792x.u31	Madam Minister, the reintegration of long-term sick people is a dossier which is regularly re-emerging. For good reason, of course. The number of long-term sick people continues to increase, and so does the costs associated with it. This government is focusing on reintegration pathways to accompany long-term sick back to work. At the beginning of October, however, the press reported that some 70% of the long-term sick who wish to enter such a reintegration path through their company were declared permanently unfit for work by the occupational physician. This figure comes from a question from the Christian trade union ACV at the external prevention services. Your reaction, which I read in the newspaper, surprised me somewhat. I quote: 'This situation can be a good thing for the workers concerned'. Apparently, that's how someone from your cabinet reacted. "For example, someone with a burn-out cannot see a return to the old company at all. He may then be declared unfit for work for one company but not for the other. That's not negative at all. In this case, mutuality takes over the reintegration process, allowing the employee to work elsewhere." Dear Minister, of course no one will see a return in this context. I believe that you should be more careful to ensure that companies adapt the workplace and/or the job of the long-term ill employee, so that a return is not possible in all but in many more cases. This must be just the essence of the policy. It cannot be that the policy now results in the answer of companies: it is impossible to adjust the work for two thirds of the employees. Such an answer should actually be an exception and not the rule, as it turns out. I do not believe that 70% of the people who cannot return are affected by burn-outs. I come to my question, which I also asked the Minister of Work a while ago. How will you ensure that companies are more committed to and open to adapted work and a progressive work resumption? Or do you stick to what I have just said, that there is no problem and that it will be the de facto rule that long-term sick people cannot resume their work in the old workplace again? The risk is that they will end up in another workplace where someone was just declared unfit for work because the workshop and/or the job could not be adapted. So what exactly are we doing? I don't think that's what this is supposed to be.
