ParlaMint-BE_2018-03-07-54-commissie-ic836x.u1	Mrs. Willaert is sorry. Mr Van Hees, you have the floor.
ParlaMint-BE_2018-03-07-54-commissie-ic836x.u23	Minister, thank you. I can hear your answer. I would have liked more information, including on threat assessment. As far as protection is concerned, I understand that it is the responsibility of the Minister of the Interior. I had addressed my question to you and to the Minister for Foreign Affairs. I could also have questioned your colleague from the Interior, but I thought that by limiting myself to two recipients, I could have received an answer as to the protections that can be granted to a Belgian citizen who simply performs an information mission. Today, a carte blanche is published in Le Soir in order to request that the Belgian State take all measures to ensure the security of Bahar Kimyongür. As the text points out, the situation in Turkey is quite worrying: dozens of newspapers have been closed, more than 50,000 opponents are imprisoned, thousands of civil servants have been dismissed. I give you an excerpt: "It is in this context that a new campaign is being carried out by the Turkish government to terrorise those who, abroad, persist in criminalizing its authoritarianism, the rule of brute force and the laws of exception". I hope that the government is taking real action on this matter and that real protective measures are being taken.
ParlaMint-BE_2018-03-07-54-commissie-ic836x.u24	Several questions put together under item 8 are on the way. Since there may be several obstacles along the way, we shall skip this item on the agenda.
ParlaMint-BE_2018-03-07-54-commissie-ic836x.u25	Madam President, Minister, the Hasselt prison was built 13 years ago for 340 men and 30 women to allow prisoners to serve their detention in a decent environment. At present, the Hasselt prison is overcrowded with 200 prisoners and is sleeping there, according to your previous answer to one of my questions, 76 prisoners on the ground, 67 men and 9 women. Mr Minister, why is the problem of ground sleepers so big just in Hasselt? What are the specific solutions for the Hasselt prison?
ParlaMint-BE_2018-03-07-54-commissie-ic836x.u26	Mr President, Mrs Lambrecht, first of all I should like to stress that the prison in Hasselt mainly has an arrest house function and that, therefore, the penitentiary administration has no impact on the influx of prisoners. Influx of inmates into custody has increased considerably over the last few months. The overpopulation is therefore particularly situated in this category of prisoners and gives rise to the lodging of more than one prisoner per cell. Nevertheless, prisoners also reside in this prison, which for various reasons should be placed alone in a cell. Apart from individual factors, this also applies, for example, to the inmates in the drug-free department and in the deradex department, for reasons specific to these departments. As a result, the overpopulation is concentrated in a number of other departments of the prison. This has led to a number of inmates having to sleep on a mattress on the ground. The administration runs two runs to solve this problem. At first one looks at a material solution, which consists of placing bunk beds in number of cells. Secondly, attempts are being made to transfer a number of convicted detainees to other prisons. For example, over the past few weeks, 32 prisoners have been transferred. Currently, the number of ground sleepers in Hasselt has fallen to 56. The implementation of the above measures should further reduce that figure to 0.
ParlaMint-BE_2018-03-07-54-commissie-ic836x.u27	Minister, that the number of ground sleepers will fall from 56 to 0 is in line with your answer to my previous question. Last week, you said it'd be six weeks. I can therefore assume that the number of ground sleepers can be reduced to 0 within 5 weeks.
ParlaMint-BE_2018-03-07-54-commissie-ic836x.u28	Mr Minister, reports continue to come about the attitude of the ad-interim director of the Firearms Trial Bank. I now hear that there is a great deal of discontent among the authorized arms dealers. They do not take it that several colleagues are refused because they are not Belgian, despite having been admitted for years. Nor do they take it that arms dealers whose staff are offered are refused, as they would have to go themselves. The same reasoning is not followed by large firms such as FN-Browning, where it is not the responsible self who should go. However, Article 5 of the Arms Act expressly allows persons under the authority, direction and supervision of an approved arms dealer to carry out activities such as the transport of arms. The law therefore expressly provides for the obligation to inform the governor of the recruitment of staff. Can you explain on what legal basis the ad interim director of the test bench is currently refusing to allow persons acting on behalf of authorised arms dealers to present themselves? Furthermore, the ad-interim director, who is a judicial police officer, systematically confiscates semi-automatic weapons that were once converted from automatic weapons. Semi-automatic weapons are classified as licensed under Article 3 (3) of the Arms Act. The governors have therefore been granting permits for such weapons since the new arms law. In other words, a citizen who buys a weapon authorised by the governor risks another government, namely the test bench, confiscating that weapon, because the ad interim director adds conditions to the arms law. Such an attitude undermines the confidence that citizens must have in the legislation, which also undermines confidence in the government's proposed amnesty measure. Will you take measures to stop this malpractice at the test bench? If so, which one? In reply to an oral question put last week, on the basis of paragraph 3.1.4 of the circular of 25 October 2011, you indicated that authorised traders can only order the quantity indicated on the order form that is prohibited for the private market. You stated that no stock can be built. However, the circular of October 25, 2011 is not a binding circular. In its introduction it reads: "This circular may not be read in any way as an extension, amendment, replacement or deletion of existing legal or regulatory provisions." Well, Article 27 (1) of the Arms Act states that the law does not apply to orders for order services. Nowhere in the law can it be read that this means that for each order it is required that the quantity ordered corresponds one by one to the quantity purchased. The Arms Act therefore certainly allows arms dealers who can demonstrate that they regularly receive orders from order services to keep a limited stock in order to be able to respond to requests from order services for urgent delivery. The position expressed in the circular may jeopardise public security, as that position prevents law-enforcement services from getting the material they need quickly. The strict conditions for recognition as an arms trade, the annual checks by the federal police and the severe penalties for infringements provide sufficient guarantees for the strict application of that exception. In the light of this, Minister, are you prepared to reconsider the position expressed in the circular and to allow authorised arms dealers who can demonstrate that they regularly supply order services to maintain a stock in order to respond to requests for urgent delivery of order services? If you are not prepared to accept this, can you confirm that the circular of 25 October 2011 has binding force?
ParlaMint-BE_2018-03-07-54-commissie-ic836x.u29	Mr Degroote, according to the arms law, the persons carrying out activities under the authority, direction and supervision of an approved arms dealer should not be recognised separately. Their entry into office must be reported to the governor. The firearms trial bank refuses to provide services only to persons who cannot demonstrate that they meet those conditions. They are, for example, family members of arms dealers. For foreign arms dealers, the test bench cannot verify whether they are effectively recognised and whether they have the weapons they offer legally in their possession. In the meantime, we have solved that problem by means of a Royal Decree of 26 February 2018. In future, the test bench will be able to neutralize or destroy weapons only if the applicant submits a police certificate showing that he has the weapon legally in his possession and that it has not been ended. This scheme also applies to Belgian traders and private individuals. The procedure shall take effect on 14 March. So I expect there will be no more problems with this from then on. For the conversion of fully automatic firearms, the test bench informed us that it cannot be guaranteed that the conversion is irreversible. My services are therefore examining whether the possibility of transposition can still be retained in the future. Firearms that have already been converted by the Belgian test bench will remain valid for the time being and will therefore not be seized. The test bench has clearly indicated on its website and in its workshop that it will no longer perform conversions for the time being. You also had a question about the creation of a stock of prohibited weapons. I remain of the opinion that the arms law does not allow this at the moment. The ministerial circular is not binding but gives a clear interpretation that is in accordance with the law. If the police have any problems with orders, I suggest they let us know so we can look into this. In general, I can tell you that the ad interim director of the test bench wants to apply the rules correctly so that public safety is guaranteed. My services are always working with the test bench and other partners to develop solutions, where necessary.
ParlaMint-BE_2018-03-07-54-commissie-ic836x.u30	Thank you, Minister, for the answer. From your answer, I conclude that the problems identified at the test bench level are apparently interpreted differently and are not going so fast. I'll have this examined. It is noteworthy that a lot of complaints have been coming in lately. It cannot be that the board of the test bench takes note of the complaints, pours a sauce on them and presents it here as if there were no dirt in the air. I look forward with interest to the further development of certain weapons as I also receive complaints on a regular basis. I believe that this situation must be kept under constant review. Thank you for your commitment, Minister.
ParlaMint-BE_2018-03-07-54-commissie-ic836x.u31	Mr Minister, it has been some time since 5 August 2014 that the target 4 nuclear reactor was shut down, after the steam turbine overheated by maliciously leaking lubricating oil. Since then, that incident has been regularly reviewed as the sabotage of Objective 4.
ParlaMint-BE_2018-03-07-54-commissie-ic836x.u32	Président: Raf Terwingen. In December 2014, at the request of my colleague Van Hecke, you stated that the investigation into sabotage was ongoing and that it was federalised. I have included the full quote in the written version of my question. I realize that some restraint is in place. Nevertheless, it has been a while and there is still no clarity about the sabotage, while it is still an important incident. Hence my relatively simple question to you as Minister of Justice. What is the state of the investigation? You will understand that we are following the issue with particular attention.
ParlaMint-BE_2018-03-07-54-commissie-ic836x.u33	Mr Calvo, the facts cited are still the subject of a judicial investigation with the investigating judge in Dendermonde, at the request of the federal prosecutor. That investigation is ongoing and continues. In the light of the separation of powers, in order not to compromise the secret of the preliminary investigation and the investigation, I am obliged to refrain from any communication of a detail on the facts or the investigation. I'm sorry.
ParlaMint-BE_2018-03-07-54-commissie-ic836x.u34	Minister, I have already indicated that some restraint is appropriate. I am surprised that the investigation is still ongoing and that there is still no clarity. That also raises serious questions about nuclear safety.
