ParlaMint-BE_2018-04-18-54-commissie-ic870x.u1	Mr. Van Peteghem has just left the committee meeting.
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u12	Minister, Belgium's position has indeed been somewhat different and unique. That is still the case, and we support the way in which the Prime Minister preserves the opening to Russia. It is very important, however, that we should be linked to this. You have also stressed this: Europe is working for resilience. Those who today advocate the dismantling of defence and the reduction of Europe's resilience must live on Mars. This is absolutely necessary. We must also invest in NBC-weasurability, i.e. nuclear, biological and chemical resilience. Belgium must also invest in its defence capacity. A few months ago I visited a hospital in Israel, the Galilee Medical Center, led by Professor Barhoum. Belgium should not be compared with Israel, but there is a fully underground NBC-protected hospital, where even Syrians are cared for. We must be aware that we must work on this resilience, but at the same time we must also keep the door open for dialogue.
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u13	Mr President, Minister, as chairman of the Belgian-Taiwan friendship group, I sometimes come into contact with Members of Parliament from Taiwan and the representatives of Taiwan in Brussels. It is a subject that may be addressed here. During the National People's Congress in China, President Xi gave a remarkable speech. It was firm and soaked in a sauce of threatening language to Taiwan. President Xi warned that any attempt at separatism would be condemned by the people and punished by history. I hope that phrase does not apply to the Flemish nationalists who are calling for separatism here. He also mentioned the peaceful reunification of the motherland, Mainland China, and the Republic of China, Taiwan, and he said that all actions to divide China would be doomed to failure. So the suspicions have been growing for some time now. Mainland China looks at the policy of Taiwanese President Tsai with argus eyes. I have met both President Ma and President Tsai in recent years, and there is indeed another discourse. There has been a question from the Taiwanese to be a little stricter, to highlight the individuality more. Taipei also feels threatened by Chinese military exercises in the South China Sea and by the unilateral opening of new routes through Beijing in the Strait of Taiwan. Mr President, can you tell me to what extent this worrying evolution is also taking place in European circles? There are many resolutions between Taiwan and Europe. Is this debate alive? Is this what you're talking about? Is this problem also on the radar of European leaders? It's been a while, but how did you feel about President Xi's speech? What is your opinion of his fierce speech?
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u14	Mr President, Mr Luykx, as always, the European Union is following developments in China and in the surrounding region with particular attention to the global strategy for the EU's Global Strategy for Foreign and Security Policy, and stresses the importance of a strategic dialogue with China at the highest level so that the EU can effectively defend its interests. With regard to Taiwan, the European Union uses the so-called one-China policy, with only China enjoying diplomatic recognition. In addition, the European Union will benefit from controlling tensions in the region, both for political and economic reasons. For example, it is very important to guarantee free maritime passage in the South China Sea. This position is reflected, inter alia, in the annual strategic dialogue between the European Union and China at the level of the High Representative for Foreign Affairs, as well as at the EU-China Summit. In his closing address to the National People's Congress, President Xi Jinping argued in favour of a peaceful reunification of Taiwan with the motherland, but he indeed added that "actions or tricks to divide China into failure are doomed and will be welcomed to the condemnation of the people and punishment by history." President Xi Jinping thus took on a more nationalistic tone than in the past. However, our interpretation is that this message was mainly intended for domestic use. There are no signs that China wishes to sacrifice its economic development for a military adventure. With regard to Belgian policy in that dossier, I can tell you that we are sticking to the reference lines adopted by the Council of the European Union on 24 September 2014. Belgium therefore respects the one-China policy, but at the same time we support the initiatives that promote dialogue, practical cooperation and mutual trust between both sides of the Taiwan Strait. I believe that we should go in that direction. I'm trying to organize a visit to China at the end of this year. We're looking for a suitable moment. We will continue to move in the same direction in our relationship with China.
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u15	Mr Minister, I think that the subject of Asia, China and the events there should be a little more attention in our committee. I might mention that we also invited the Chinese ambassador to this committee, as did the representative of the Representative Office of Taiwan in Brussels. In this way we can enter into the debate on Asia and the geopolitical situation there. A lot of new initiatives are being developed on the ground by the US and Europe. I appreciate your position on this matter and the fact that you are putting this issue on the agenda.
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u16	Question No 24643 by Mr. Van Peteghem is postponed. My question No 24656 has been withdrawn. Questions Nos 24671 by Mrs Jadin and 24885 by Mr Crusnière are deferred. Questions Nos 24671 and 24683 by Mrs Jadin are transformed into written questions, as is Question No 24758 by Mr Blanchart.
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u17	Mr President, Minister, the second conference on "Supporting the future of Syria and the region", organised by the European Union, will be held in Brussels on 24 and 25 April. This conference, which is a follow-up to the 2017 Brussels Conference, will aim to maintain the attention and response of the international community to the Syrian crisis at the forefront of international priorities, and will encourage the full implementation of the commitments made in Brussels in April 2017. This will include extending support for the process to lead, under the auspices of the United Nations, to a political solution negotiated in accordance with United Nations Security Council resolution 2254, and ensuring that the needs of Syrians, in Syria or neighbouring countries, are met, with the humanitarian aspects to be held at the top of the poster in view of the serious humanitarian emergency prevailing there. The situation on the ground is deteriorating every day; my colleague Stéphane Crusnière will deepen this aspect. Mr Minister, I would therefore like to ask you about this conference. What position will Belgium stand for? Will health-related aspects also be addressed?
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u18	Mr President, Minister, I would like to ask you again about the situation in Syria and the potential chemical attacks carried out by the regime in eastern Ghouta, causing dozens of deaths and thousands of civilian casualties. My questions will also focus on last weekend's strikes by the United States, France and the United Kingdom. It is well known that the United Nations Security Council has met on several occasions on the subject, without, however, voting on a resolution on the subject. Has Belgium been informed of the imminence of these strikes and of their implementation. Was a particular request made at any time? What has been the coordination within NATO? What position did she stand for? Do the events of the past few days affect our participation in the international coalition? I believe that on Monday a meeting of the European Union's foreign ministers was held. What was the content of the discussions? Has a common position been defended? What is that of Belgian diplomacy that has been defended within the UN, the European Union, NATO and the coalition against Daesh, in this context, which is more worrying than ever.
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u19	Since the other three authors are not present, I give the floor to the Minister.
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u20	Mr President, I will of course also answer their questions. Mrs Grovonius, Mr Crusnière, as you read in the statement made by the federal government on Saturday on the joint attack by the United States, France and the United Kingdom on chemical weapons production sites in Syria, our country condemns any use of chemical weapons. This is a flagrant violation of international law that the international community cannot tolerate under any circumstances. Belgium understands that its partners have intervened militarily. An international response was inevitable after the blocking of the United Nations Security Council, where Russia has repeatedly prevented, with its veto power, the establishment of an objective and independent investigation. It remains to be seen in the following days to what extent Russia will continue to prevent further initiatives, including that of France in the Security Council. The International, Independent and Impartial Mechanism remains more necessary than ever and can, in this case, play a role in the fight against impunity in Syria, including the use of chemical weapons. Cooperation between OPCW (Organization for the Prohibition of Chemical Weapons) and IIIM (Independent and impartial international mechanism) can be useful in this regard. We therefore express the hope that the Fact-Finding Mission announced by OPCW will be able to begin its investigation as soon as possible. Of particular concern is the fact that even the on-site investigation is again delayed in the name of security issues. At the European Union's Foreign Affairs Council in Luxembourg on Monday, I, together with my EU colleagues, also adopted Council conclusions which repeat this message. Among other things, specific emphasis was placed on the role that the European Union can play. In fact, next week an international conference on Syria will be organised in Brussels which will not only address the humanitarian problems. Belgium will also argue for an important part to be devoted to the political process. In addition to the general ministerial session, there will also be specific sessions at the conference on the humanitarian situation, including health care and the role of women in the conflict in Syria. We will therefore also address health problems at this conference. After all, it is essential that the so-called Geneva process, led by UN Envoy Staffan de Mistura, be re-launched, for a global and inclusive solution that all parties in Syria can agree with. The pillars of the Syrian regime, in particular Russia and Iran, have an important responsibility in this regard, by calling on President Assad to work genuinely on a political process. That is why our country is also calling for dialogue with those two key players in the conflict to be kept open. After all, these two countries have an important key to enabling a political solution to the conflict. The number of cyber attacks continues to increase worldwide, both states and non-state actors are very active. The risks are therefore pertinent. As far as our own national security is concerned, our security and intelligence services, as well as the Cybersecurity Centre Belgium, under the responsibility of the Prime Minister, are best placed for a concrete current threat analysis. Both within the EU and within NATO, cyber security is already an important focus today, with a lot of work being done on it. I refer, among other things, to the conclusions on a malicious cyber attack, which the European Foreign Ministers adopted last Monday. In doing so, the European Member States sent out a clear and common signal that the use of information and communication technology for malicious cyber attacks is unacceptable. There is good and pragmatic cooperation between NATO and the EU in this area. In 2016, the Heads of State or Government in Warsaw issued a Cyber Defence Pledge, which directs national efforts in the field of cyber defence by NATO alliance members. The direct cause for this was hybrid warfare, as established in Ukraine. The European Council of 22 March instructed Ms Mogherini to intensify work on, inter alia, hybrid threats, including cyber attacks, and to report back to the June European Council. With regard to the strikes carried out by our American, French and British partners, I can confirm what I have already announced. We first received information on the evidence gathered, according to our colleagues, to conclude with near certainty the use of chemical weapons in Duma. Documents were produced by France in particular. Turning back to the strikes themselves, we were warned of the imminence of a decision concerning them; not of the details of their organization but of the fact that the countries were coordinating for this purpose. I myself had, a few days before, an interview with Federica Mogherini and we had the same conviction that before the Council last Monday, these actions would take place, but I did not know when. Within NATO, we have taken a common attitude. It is quite logical for partners in a transatlantic military alliance to support the operations carried out. It is sometimes more complicated for countries with military neutrality, but you will have found that in the Foreign Affairs Council there was also support for all the actions taken to combat the use of chemical weapons. I want to come back to Monday's Foreign Affairs Council. The various elements were recalled concerning the situation in Duma and the reactions of our partners. I'm not going to go back to that, but I'm going to insist on a few things. The strikes were announced as being very targeted, at sites identified by the three countries that intervened, such as chemical weapons production or research sites and with the intention of not attacking Russian installations. This is an important part of the relationship with the various partners. We had on the agenda of the Council the European Union's relations with Iran and Russia. As I said earlier to Mr Luykx, what is important is to confirm the willingness to keep this logic of dialogue open, both with one country and with the other country. Together with Iran, we are calling for the implementation of the Joint Comprehensive Plan of Action (JCPOA). To do this, we must try to convince our American colleagues to stay on board. President Trump is expected to announce a decision on this matter on May 12, 2018. It is also a question of putting pressure on Iran in another area, that of ballistic missiles and Iran's regional role, particularly in Syria. In this respect, we have recalled that sanctions exist. We sometimes seem to forget this, but there are four or five different sets of sanctions at European Union level on Iran, whether in the nuclear field, the area of regional role and the influence of a number of actors in Syria, but also, as I mentioned myself, on human rights. We have often intervened on this issue. There are also sanctions and other measures taken at international level in which Europe participates. We want to move forward on these elements, but we also want to have a dialogue to see to what extent Iran can put pressure on the Damascus regime to participate in political negotiations in Geneva on a political solution to the Syrian issue because there will be no military solution - as we have often pointed out - and we must take into account the precedents. It is obvious that what has happened in Libya must lead to reflections on the ability to find a political solution if one really wants to rebuild the country and to develop once again a stable and pacified situation in Syria. As I pointed out earlier, with Russia, this is the same approach. We remain very firm about Ukraine in terms of Ukraine's territorial integrity and sovereignty. We therefore remain calling for the correct implementation and implementation of the Minsk agreements. Otherwise, sanctions continue to be applied. Just as there are sanctions on Iran in some areas, there are still sanctions against Russia in the context of the situation in Ukraine. We are also very clear about the need for Russia to participate in investigations into the use of chemical weapons. As I mentioned earlier, there is today a meeting of the Organization for the Prohibition of Chemical Weapons. We're on the executive committee. We will therefore ask for Russia's full participation in this investigation, on the understanding that we have obtained from our British colleagues that all information is shared with all members of the Organization, which is an important element of transparency for the events in Salisbury. You will have found that we also ask for complete access from the organisation to the Duma site, in order to be able to check on the place what the situation is. Unfortunately, as I have pointed out, there are rather worrying delays on the spot with regard to access to the site. We would like, as I have recalled, to see a new independent mechanism put in place, as France and others have proposed to the Security Council, to ensure that investigations can be carried out to respond very quickly to any possibility of the use of chemical weapons. I recall that there was a mechanism and that it was the Russian veto that prevented the continuation and extension of the use of this mechanism. We are in a very special situation. Despite all this, it is the same approach. How, then, in contacts with Russia, can we press for Russia to try to convince the Damascus regime to move towards negotiations in Geneva? The reasoning is always the same: the European Union has done a good part of its work, in particular by succeeding, with others, in convincing oppositions to go to negotiations without preconditions. The condition that was often issued was the immediate departure of Bashar al-Assad. We have always said that we must first negotiate with the regime, and that is what we have always done. It's not new. This has always been the case in the Geneva discussions. We are still negotiating with representatives of the Damascus government. This does not remove anything from what I have always said: beyond the transition, I do not see Bashar al-Assad playing a role in the future of his own country. However, negotiations should resume. To that end, we must have a dialogue with Iran and Russia in particular. Indeed, the current blocking point is, as Staffan de Mistura confirmed to me in my interviews with him a few weeks ago, the lack of willingness to share power. As long as the Damascus delegation does not come to a table with a real will to share power, that is to say to think about a Syria of tomorrow where all the communities - Sunni, Shiite, Kurdish, but also Alawite of course - will participate in the management of the country, we will not find a solution. This is not an example to be taken as a model, but the distribution of the roles found in Lebanon, even if it is neither perfect nor transposable, allows at least to ensure a better situation than the situation of open conflict in Syria, which has often been experienced in Lebanon. That's what's at stake here. It is always the same approach: how to be in direct contact? I will not go back to other examples around the world, but I have often said that if I were to follow a number of recommendations that I sometimes hear in this committee, I would be on vacation three quarters of the year. There are so many people you can hardly talk to. We don't have that conviction. Our conviction is that the role of diplomacy, be it European or Belgian, is to go to contact, daring to say what we do not agree with, including, when necessary, by taking sanctions, but also by trying to find common solutions for conflicts. For Syria, it's obvious. At next week's conference, the European Union will highlight its willingness to ensure that alongside the humanitarian aspect, including health, there is real pressure to move towards a resumption of political dialogue. It will not be simple, because if the resumption of political dialogue in Syria was simple, this conflict would not last for almost seven years. But as long as there is not a clear will to move towards this power-sharing, we will not emerge from this difficult situation. I remain convinced that we have a role to play, because the European Union has possible contacts with partners. The Americans will obviously also have to act in this direction, so that the Russians and Iranians use their influence to bring each of the players back to the negotiating table.
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u21	Minister, thank you for this very comprehensive answer.
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u22	Mr Minister, thank you for the very comprehensive elements of the answer. I'll come back to you after the conference to get feedback.
ParlaMint-BE_2018-04-18-54-commissie-ic870x.u23	Minister, thank you for your very comprehensive answer. Like you, like Belgium, I also condemn the use of chemical weapons. I am all the more concerned about the information we have been able to read today about the delivery of chemicals by Antwerp companies. I will have the opportunity to ask you again about this, as I will also, normally tomorrow, with the Minister of Finance, about possible customs deficiencies. It's not an annoyance. We need to be soothed. I will come back to you and to the Minister of Finance on this matter. It is also important, as you said, that we can conduct the investigation. It must take place on the spot as quickly as possible, of course. We must continue to try to establish it through diplomatic channels. After the military offensive, we must now launch, as you said, a diplomatic offensive to try to move forward on this issue. You have not answered about the involvement that this entails in the international coalition; but I think that, for the time being, we are a little blurred too. There is no participation on our part at this time. There could be one, and I said the same thing yesterday to the Minister of Defence. If any changes were to be made to the mandate, or if particular requests were to be made to Belgium, it is important that Parliament is informed and that we have a debate in this Parliament on this matter. For the rest, we are somewhat waiting for the reactions of each other. You didn't talk much about Turkey. It is always difficult to know their position. It's one of the keys. But again, I believe that the diplomatic offensive must continue at the level of the Security Council, the European Union and NATO.
