ParlaMint-BG_2019-02-20.u1	We have a quorum. I'm opening the meeting.
ParlaMint-BG_2019-02-20.u12	Thank you, dear Mr. Karadayi. The word is Mr. Volen Siderov. Here you go, Mr. Siderov.
ParlaMint-BG_2019-02-20.u13	Thank you. Madam President, Madam Deputy Prime Minister, Mr President of the Macedonian Parliament, ladies and gentlemen, fellow MPs! Madam President, I will risk reducing the pathos with which my fellow Members are speaking today, as politics is not poetry, but I have also written poetry, but in politics we must look for the specific practical benefits when we do something about benefits for each country. Since we are talking about an attitude towards Macedonia, I also remember that in January, I think it was, 1992, then I put a title: "Bulgaria recognised Macedonia" in the newspaper of democracy in which I led. It was again such a solemn day, in the same way in the National Assembly there were such enthusiastic speeches that pointed to a bright path of our recognition. I think we were the first country to recognise Macedonia, and shortly after that, the Republic of Turkey. Unfortunately, however, this recognition of us was not followed by genuine co-operation, economic, cultural and all that should exist between two neighbouring countries. On the contrary, there were periods of freezing of relations, in the sense of lack of any relationship, there were periods of dispute over name, language and so on and about nationality. These disputes have not been deleted, they have not passed, they have not disappeared by signing the contract between Bulgaria and Macedonia on 1 August 2017 for cooperation and friendship, which is, of course, a good thing. Because we must necessarily have friendly and good neighbourly relations with the Republic of Northern Macedonia and these relations should be of economic benefit. Therefore, Madam President, although we are now talking about ratification of the accession of Northern Macedonia to NATO, I will allow myself and my fellow Members to provide you with an annex to this treaty. Mrs. Zaharieva, it's nice to meet you too. The annex does not contradict the essence of the Treaty, on the contrary, it complements it. In this annex I will only mention that the two parties will refrain from any speculation, attempts to possess, embezzle historical events, personalities defined as common to the two Contracting Parties and so on. It is sometimes about situations where disputes arise over historical names, facts and personalities. With this annex, the issue is cleared and thus our cooperation can now be complete and without any controversial points. Here, I'll leave it to you, even though it's not relevant, yes, I'll leave it to you. [[Shows the document.]] I would also like to say that here I have heard many pathetic words about value systems, the North Atlantic Pact has been referred to as a value system. I apologize very much, ladies and gentlemen, dear colleagues, but the value systems are described in books such as the New Testament, the Koran, but not in the Treaty of a military-political bloc. A military block can't be a value system. Bulgaria has been a member of various military blocks in its history. She was an accomplice to the Third Reich coalition, that is, until 1944, then she was in the Soviet bloc and a member of the Warsaw Treaty, now a member of NATO. These are different turns and peripets in our history, but they have been made as decisions by the political elite again. Here, in this Chamber, the MPs applauded when on 1 March 1941 Prime Minister Filov signed the Trilateral Pact for Bulgaria's Accession to the Axis of Rome. You know what happened after that we were defeated in a war, there were bombings over Sofia, civilian people died and many victims. Let's not announce our membership in military units as a value system. This is my request because this is not a value system. This can be a conjuncture, it can be a temporary solution for Bulgaria's defence strategy... whether NATO is the best solution, whether there should even be military blocks nowadays after the destruction of the Warsaw Treaty or another dispute, is a topic which I would love to hear as a discussion in the Bulgarian public space. Because when Bush and Gorbachev agreed that the Berlin Wall would fall, I know that there was an agreement, an agreement, albeit oral, that the military blocks would be closed both the Warsaw Treaty and NATO. Well, one was closed, and the other wasn't. NATO membership is now declared a guarantee of security and peace, only security and peace against whom? I am obliged to ask these questions because we have really seen many historical twists in our Bulgarian history. Against what guarantees NATO membership, against whom? Who's the enemy, plainly put? That's a question we should ask too. Somehow in Komsomol, we are so delighted with the accession of our neighbour northern Macedonia to NATO. We are not taking into account, perhaps we are not doing the serious analysis: what does this mean exactly, what does NATO do in the Balkans, what will it do? Is there any preparation for military action in the Balkans and in Europe at all? I see such signs, but someone will say that I look too hard and look for details that are not there. He's got it! What will be the role of Northern Macedonia in the North Atlantic Pact in the Balkans? These questions I would love to hear from representatives of the government, from our political elite or from commentators, because only joy is not enough. Yes, my fellow Members and I are categorical about friendly, good neighbourly and fully friendly relations with Macedonia. These include both economic cooperation and cultural and human communication. At the same time, no one there, in northern Macedonia, should worry in any way about anything when he says that he is with Bulgarian self-awareness. This is also a question that stands, and my colleagues well know that it exists. These topics must be cleared, they must be in a calm, creative, constructive dialogue, and I think that the annex I propose, Mrs. Deputy Prime Minister, will help this... look at it, edit it if necessary, but let it be the step towards relations between Bulgaria and Northern Macedonia, which have stepped on the mutual benefit and interest. That's politics, that's diplomacy. You know it well. Otherwise, everything else is a matter of celebration and solemn days. There is nothing wrong with this day as a gesture to our neighbor, a gesture of friendship, but let us not forget that the interests of states remain always task number 1 for each government. Thank you for your attention. Good luck to Northern Macedonia! [[Applause from OP, single applause from GERB.]]
ParlaMint-BG_2019-02-20.u14	Thank you, dear Mr. Siderov. Mr. Angelov, come in for a statement.
ParlaMint-BG_2019-02-20.u15	Madam President, Mrs. Deputy Prime Minister, Mr. Jaffrey, ladies and gentlemen of the House! Today is really important for the Bulgarian national interests and for the security at all.. not only of Bulgaria, but of the whole of Southeast Europe, and especially of the Western Balkans. Because today we will ratify a treaty with which the Republic of Macedonia will become a NATO member. And our BSP colleagues are gone! They once again betray and sell Bulgaria's national interests and are against security in the Western Balkans and Southeast Europe. No matter what the internal contradictions in the Bulgarian Parliament and in the Bulgarian policy are, when it comes to national interests, when it comes to the security of Southeast Europe, it doesn't matter which party it is, we should all be here to support such decisions. However, the BSP is clearly faithful to its comintern policy, they are not in the Chamber to support brotherly Macedonia, they are not in the Chamber to support, including their sister party, which rules in Macedonia nowadays. It doesn't matter, I say again, our internal relations between the parties in Bulgaria. The important thing is that when Bulgaria's national interest is protected, what is important is that the interests in the Western Balkans and on the Balkan Peninsula are protected, and stability will be ensured, all parties will be in the Bulgarian Parliament and will support such a decision. I hope they have an explanation. If not, the explanation why they abdicate on important issues for the state, important issues for the European Union, important issues for NATO, will give it in the elections of the Bulgarian voters. It is important for us from IMRO, and it has always been important for Brother Macedonia to be supported. Bulgaria has been doing this for 30 years and is constantly supporting the Republic of Macedonia in its path, without twisting its hands like other countries, without having any claims that border on interference in the internal affairs of a particular country. Bulgaria has always supported the Republic of Macedonia on both good and bad days. Today, IMRO will also support the Republic of Macedonia. But it is also important for us that the Treaty of Friendship and Good Neighborhood, which we have signed, be implemented by both sides, that democratic processes in the Republic of Macedonia continue, that the people of Macedonia be truly free to express their will, that the people of Macedonia not be showered with the hate speech, which has been pouring more than a decade there, especially against Bulgaria and the Bulgarians. It is really important to us that the forgeries in history, both in textbooks and in various media, which serve the interests of foreign countries in the Republic of Macedonia, should stop against Bulgaria. Because we believe that the two countries together, walking their way forward, will live better if they do not live a lie if they live by supporting themselves. For us from IMRO, the next step is important because NATO is the first step. The next step is finally between the brothers and sisters of the two countries to remove the border. This is Macedonia becoming a member of the European Union and there is no border between the two countries, people living freely, relatives visiting each other so that we can really both Bulgaria and Macedonia and the whole region will be! Long live Bulgaria!
ParlaMint-BG_2019-02-20.u16	Thank you, Mr. Angelov. Mrs. Grozdanova, come in for a statement.
ParlaMint-BG_2019-02-20.u17	Madam President, honourable Members, Vice-Prime Minister, distinguished guests, Mr. Jafferi, Your Excellency! On behalf of the members of the Committee on Foreign Policy and the GERB Party, I would like to share with you that for me and for us this is a good day, which completes a long and difficult process, a process which has been supported all along by the Republic of Bulgaria. Bear in mind that we will continue this support in the difficult process that awaits you for membership in the European Union. I would like to congratulate the Government of the Republic of Northern Macedonia on its decision, because we know that this decision was not easy either in domestic politics or in foreign policy. I would like to congratulate the parliamentary members of the Republic of Northern Macedonia, who have been able to collect the necessary majority several times, which was also not easy. It follows an assessment of the far-sightedness of the policy of the Hellenic Republic, because this was also not an easy decision for them, of course, and for the Republic of Bulgaria in the face of our Prime Minister, I would like to point out his personal role in this process, and the role of our Foreign Ministry in the face of Minister Zaharieva. There is no way I can miss the Bulgarian Parliament, which, with 206 votes for..... ratified the Treaty of Friendship, Good Neighborhood and Cooperation. I can't miss the absence of the left side of the room. To me this is a sign not only that if the entire House had voted in favour and in favour of the Republic of Northern Macedonia in its future, it is also a sign of a lack of support for the formats in which Bulgaria is a member, I mean the European Union and NATO. I am convinced that there are people on the left who regret not being in this room today because they have worked in such long and difficult processes. Today, this is a solution to a geopolitical issue. The enlargement of NATO with new Member States has always been the consistent policy of the European Union and Bulgaria is part of this Union. There is no way I can miss the support for the enlargement of the Western Balkan countries by Romania and by Croatia, which very strongly said that this process will be continued by them. I would like to congratulate and thank everyone who has a role and will continue to participate in the process. Thank you. [[Applause.]]
ParlaMint-BG_2019-02-20.u18	Thank you, dear Mrs. Grozdanova. Mr. Panchev, come in for a statement.
ParlaMint-BG_2019-02-20.u19	Dear Madam President, dear Mr. Jafferi, dear guests, Mrs. Deputy Prime Minister, dear colleagues! As Chairman of the Agricultural Union, Alexander Stamboliyski and MP of the National Assembly, I would like to confirm my readiness and that I will vote for the EU because I am part of these 27 years after Macedonia has gained independence. In 1992, I was one of the first Bulgarians to lead an official delegation in Macedonia, and I remember the euphoria that had taken over our neighbours and friends for Macedonia's future. I am witnessing these years where there have been serious problems with the neighbours, with some of our politicians in Bulgaria, but I am glad that after all these years we have one Republic of Northern Macedonia, which we have recognised today, who is a candidate for a NATO member, who I am convinced today that we will unanimously support in our parliament and that I sincerely wish to walk confidently on the path that has begun to have peace in the Balkans, so that we, as good neighbours and friends of Macedonia, should know that we are in the idea together, in the fight for a better peaceful existence both in the Balkans and in the world as a whole. Speaking of the Balkans, I would like to mention something that my fellow Members did not say: Bulgaria presided over the European Union some time ago. I consider it a merit of our Presidency, of the Prime Minister of the Republic of Bulgaria, of the current Minister for European Affairs in the Presidency and that the process that the Republic of Northern Macedonia has been seeking has been achieved. It was achieved because I see that the government of our neighbours and parliament are working in the interest of moving towards peaceful co-existence, towards peaceful Balkans. And so, as we were excited to ratify in 2004 our participation in NATO and in 2007, when we became full members of the European Union, I know that you, dear friends and neighbours, are doing so now. I wish you in the coming years to go this very hard road, but I am convinced that you will do it and become full members of the European Union, and we will again come together to ratify your full participation in this..... once provided by Alexander Stamboliyski, an idea for united European states. I wish you good luck from the bottom of my heart. I thank my fellow Members for being so united today in supporting our neighbours. Thank you. [[Applause.]]
ParlaMint-BG_2019-02-20.u20	Thank you, dear Mr. Panchev. Any other speeches, colleagues? Mr. Tsvetanov, come in for a statement.
ParlaMint-BG_2019-02-20.u21	Madam President, Vice Prime Minister and Minister of Foreign Affairs, honourable Mr. Jafferi, Chairman of the Parliament of Northern Macedonia, honourable Members! Today is a historic day for Bulgaria. Today is historic for Northern Macedonia and shows the political will of the Bulgarian Parliament to give way and support Northern Macedonia's efforts for the North Atlantic Pact. NATO will provide additional security. NATO will ensure the future and implementation of efforts for the upcoming EU membership. However, when today the Bulgarian Parliament will ratify this decision, it is very important that we still give what is due to all the governments of Bulgaria, to all the parliaments of Bulgaria after 1992, who supported the efforts of the Republic of Macedonia at the time. Let's all remember 1992. Bulgaria was the first country to recognise the independence and efforts of the Republic of Macedonia to build its sovereignty, to build its future and to have its European perspective. Let us also remember the conflicts that were in the Western Balkans. They contributed in their small part to this division and political opposition, which was among the politicians of different countries, among the politicians in the different parliamentary groups in the respective parliaments. But let us remember and not forget an extremely important, key declaration between Georgievski and Kostov, which gave strong support to the Republic of Macedonia, and this was the period in which a refugee wave to Macedonia was created from the events in Kosovo. With the support of the Bulgarian government, with the financial support of seven and a half million German brands, we supported the construction of a centre that could accommodate those 3,000 people who were refugees and fled the conflicts in Kosovo. Just then, the Bulgarian government and Bulgarian politicians did their best to provide transport corridors for humanitarian aid and to support our friends from Macedonia. Let us give what has been done and what has been done in 2003 at the Thessaloniki meeting, even though there was no follow-up to what we are getting today. Let us also give what is due to the Berlin process, because Europe has always believed that the Western Balkans are part of the European Union. Let us not forget all that Bulgaria and the Bulgarian government have done in its first European Presidency, which has given us the chance to be leaders and to show that we are indeed for good neighbourliness, understanding and prosperity, security and peace in the region where we are. Let us give what is due to all the European countries that supported the efforts of the Bulgarian government in bringing out one of the main priorities, and this is integration and the European perspective for the Western Balkans. Let us give what is deserved here to all who are after the Bulgarian Presidency, and when the Austrian Presidency takes responsibility, this priority continues. Let us thank for the efforts of everyone who has contributed so that Greece and Northern Macedonia can achieve what today has given the prospect and opportunity, on 6 February this year, in NATO, in Brussels, to give a horizon for the North Atlantic Pact. I would like to recall a conversation that we had with you, Mr. Jafferi, perhaps a year ago, when you showed wisdom and said what all the politicians in the Balkans should have in mind.. you said that if we go back to the conflict dates, if we go back to these historical facts that divided the Western Balkans and the region, this means that we will not be able to have a future for our children. You said that. I have given these words a lot of thought, and I would like to thank you because you have shown a really responsible position. By defending your national interests, you have shown that we can protect the national interests of the region. When Macedonia and the Western Balkans have the European perspective, they have the prospect of NATO, this means that the region is becoming much more secure, there can be real connectivity, more business, more economy and more positive for everyone who can continue and leave all this to future generations. It is very worrying to me that today the Bulgarian Socialist Party is absent from the Bulgarian Parliament. Despite their absence, I can say that in very few cases they had a responsible position when it came to the region and when it came to the future of the Western Balkans. I regret that today, by a single decision of the leader of the Bulgarian Socialist Party and the fear that exists in this parliamentary group, all democratic thinkers from the Bulgarian Socialist Party in the Bulgarian Parliament have not been given the opportunity to participate in the debate and that we can all unanimously support this ratification. It is very sick and very pathetic when internal political issues contribute to the bad image of our country and to undermining the prestige of the Bulgarian Parliament, and parliamentaryism, Parliament is the place where there are different opinions, where each political power has its political views, defends them in principle and protects them here, from the tribune of the Bulgarian Parliament. It is not normal for the Bulgarian voters to have voted to have their MPs, and for them to be absent from such an important, significant debate that can make us stronger, and indeed Northern Macedonia to feel the support of the forty-four parliament, but to feel the support of all parliamentary groups. We are in a situation where we were just at the beginning of the Bulgarian Presidency. Then you know that there was an exact request of the opposition with a refusal to enter the Bulgarian Parliament at that time when the President of the European Parliament Antonio Tajani was supposed to be present. BSP refused to enter the Bulgarian Parliament. Just then, my colleague Glauchev made perhaps his greatest personal sacrifice, but led only by public and national interest, he resigned so that he could satisfy the political ego and selfishness that he has in the Bulgarian Socialist Party, so that we can actually give the opportunity at the beginning of the Bulgarian Presidency here to present all MPs. Dear colleagues from BSP, ultimatum and populism cannot answer the important questions that we need to solve together. We accept your differences, but we do not accept the ultimative behavior and this narcissism that exists in the leadership of the Bulgarian Socialist Party. I would like to thank Spas Panchev, who was part of the BSP for Bulgaria. However, Spas Panchev made his right choice. He did so, driven by the interest of his political power, not by the interest in supporting and defending the Bulgarian government at all costs. I would like to share and call on all BSP colleagues: be brave, be sincere to your constituents and to what you have undertaken as commitments to your families. In politics, fear leads to a loss of public trust. The fear of politics makes you much more capable, but by no means beneficial to society. I am convinced that with today's behavior BSP has confirmed that it does not need parliamentary representation in the Bulgarian Parliament. I suppose this is the approach and what it will do for the future European Parliament. Better let the parliamentary parties that are actively involved in the national debate be able to actually participate actively in the European debate. We are members of the European People's Party, our colleagues from the Movement for Rights and Freedoms are to the Liberals, our colleagues from the United patriots are to the Conservatives. Each one can determine his future. I would like to thank the Commission for actually actively participating in the political debate and always making their decisions, guided only by the commitment they have made to their constituents. [[Applause from the Bulgarian Rhodolists.]] Mr. Jafferi, I apologize for having strayed a little bit towards domestic politics, but you understand that as politicians we should do it all the time because we strive to always be hand in hand. You will be supported in every effort as well as for your validation as a reliable partner of NATO, but you will also be supported by Bulgaria for your future European membership, because Macedonia's place is in the European Union, Macedonia's place is in NATO. Thus, we can counter any potential threats from third countries that do not wish to have stability, to have peace, to have good neighbourliness in the region we are in. Thank you for being here. On behalf of the parliamentary group, I would like to thank all my fellow Members who have been actively involved. I would like to thank the Foreign Minister for all the hard work and all the things we have been able to do together with all the Members of the National Assembly. As has been said by the pre-speakers, indeed BSP has people with European thinking, with thinking quite democraticly, which does not correspond to today's behavior of their leader. Thank you, colleagues! Let us wish Northern Macedonia success for what lies ahead for them, and this is a better future than it has ever been! Thank you. [[Applause from the parliamentary groups of GERB, OP and Volya.]]
ParlaMint-BG_2019-02-20.u22	Thank you, dear Mr. Tsvetanov. Any other speeches, colleagues? I can't see. I'm closing the debate. Let's move on to the vote. I put to the first vote a bill ratifying the Protocol to the North Atlantic Treaty concerning the accession of the Republic of Northern Macedonia, No 902-02-5, tabled by the Council of Ministers on 14 February 2019. They voted 139 MPs: for 139 against and abstentions there is no. The motion is accepted. [[All MPs stand up and greet guests from the Republic of Northern Macedonia with long applause.]] Colleagues, we have a second vote coming up. Here you are, Mrs. Grozdanova.
ParlaMint-BG_2019-02-20.u23	Member of the Commission. - Madam President, I ask that the bill on ratification be voted on at the second vote in today's sitting. I'm asking for a procedure.
ParlaMint-BG_2019-02-20.u24	Please vote on the procedure so made for the second vote on the ratification of the Protocol. Vote 141 MPs: 140, against no, abstention 1. The motion is accepted. I give the floor for speeches. Here you go, Mr. Simeonov.
ParlaMint-BG_2019-02-20.u25	Madam President, ladies and gentlemen of the House, Mr. Jafferi! Usually, between the first and second votes, there should be a slightly more specific statement, not common. In this case, I use Mr. Jafferi's presence to state the position of some of the.................................... the party that I represent......................................... the National Front for the salvation of Bulgaria that we will support Macedonia's accession to NATO in the second vote. However, through you we want to make our remarks to Macedonia's governance regarding the rights of all people who have Bulgarian consciousness and feel Bulgarians in Macedonia, and they are not few. Although Bulgaria was the first to recognise Macedonia in 1992, as it has been mentioned, in this period to this day against the people who have Bulgarian consciousness, repression was carried out, there was a lot of negativity. Their rights have been violated. Unfortunately, at present, that is a fact. All these people are still unable to enjoy the rights and freedoms of which they are entitled to the right to use language in schools. Their professional career very often depends on their self-determination. You should not forget that in Bulgaria practically all Bulgarian families are somehow connected, unfortunately, not with the best memories with Macedonia. Our common history obliges a more correct attitude and respect for the democratic rights of all Bulgarians in Macedonia. I will not comment on history, as it is usually the subject of the most massive debates. I will not comment on it, as I respect the decision of the two countries to set up an Interdepartmental Commission. I don't want to get into this stuff. However, it is only right for Macedonia, in view of its accession to NATO and its possible accession to the European Union, to correct its behaviour, to stop the destruction of monuments. If necessary, rewrite texts of some Macedonian monuments, which talk about Bulgarian occupiers and so on. Because history seems to determine Macedonia to come out of another Euro-Asian circle of influence and turn in another direction to a common European integration and future. We will support your entry into NATO. With caution and some patience, we will wait to see how democratisation processes will develop in Macedonia. Thank you.
ParlaMint-BG_2019-02-20.u26	Thank you, dear Mr. Simeonov. [[Applause from the parliamentary group of OP.]] - What's the line? I can't see. Any other speeches? I can't see. Mrs. Grozdanova, please introduce us to the second reading of ratification.
ParlaMint-BG_2019-02-20.u27	Madam President, honourable Members! THE LAW OF THE on the ratification of the Protocol to the North Atlantic Treaty on the Accession of the Republic of Northern Macedonia A single member. The Protocol to the North Atlantic Treaty on the accession of the Republic of Northern Macedonia, signed on 6 February 2019 in Brussels.
ParlaMint-BG_2019-02-20.u28	Thank you, dear Mrs. Grozdanova. Colleagues, I am voting at second reading the Law on ratification of the Protocol to the North Atlantic Treaty on the accession of the Republic of Northern Macedonia. 140 MPs voted: 140, no opposition and no abstentions. The proposal is adopted, so we can congratulate Macedonian Members again. [[Applause.]]
ParlaMint-BG_2019-02-20.u29	Dear Members of Parliament, I will introduce you to the following drafts and resolutions from 13 February to 19 February 2019: A bill for ratification of the Protocol to the North Atlantic Treaty on the accession of the Republic of Northern Macedonia has just been dealt with in plenary. Draft Law on the ratification of the Agreement on the Review of Multi-level Governance between the Ministry of Regional Development and Public Works of the Republic of Bulgaria and the Organisation for Economic Cooperation and Development, which was adopted on 18 February 2019. Draft Law amending and supplementing the Election Code, which was adopted on 18 February 2019. Importers: Tsvetan Genchev Tsvetanov and a group of MPs. The Committee on Legal Affairs is the lead. Draft Law amending and supplementing the Law on Foreigners in the Republic of Bulgaria, received on 19 February 2019. Importer: Council of Ministers. There's a committee on the table. Messages: Deputy Minister of Public Order and Security and Minister of Defence of the Republic of Bulgaria Krasimir Karakachanov has informed the National Assembly that in implementation of art. 18 of the Law on the passage through and residence on the territory of the Republic of Bulgaria of Allied and Foreign Armed Forces by its order has authorised the passage through the territorial sea, the non-military residence in the inland waters of the Republic of Bulgaria and the visit of the port of Varna between 22 and 28 February 2019, including ships from the composition of the second permanent maritime arm of NATO, by the Navy of the Federal Republic of Germany, the Republic of Turkey, Romania and the Kingdom of Spain. The visit of the group vessels is in connection with the implementation of their preparation plan. In the performance of art. 65, para. 1 of the Defence and Armed Forces Act of the Republic of Bulgaria has, by its order, authorised the dispatch of a military ship with its statutory arms and crew, servicemen outside the territory of the country to participate in a training exercise by the Romanian Navy with international participation, which will take place in the western part of the Black Sea, the territorial waters of Romania and the port of Constanta between 5 and 14 April 2019 inclusive. The notifications were received in accordance with Implementing Regulation (EU) No 540/2011 of the European Parliament and of the Council [3] and Implementing Regulation (EU) No 540/2011 of the European Parliament and of the Council [3] and Implementing Regulation (EU) No 540/2011 of the European Parliament and of the Council [3] and Messages: On 18 February 2019 in conjunction with point 2 of the National Assembly Decision of 19 September 2017, as amended by Decision of 12 October 2018, adopted on the occasion of a questioning debate, No 754-05-33, of 13 July 2017 by the MPs Svetla Bachvarova and Georgi Gokov to the Minister of Agriculture, Food and Forestry Rumen Porozhanov received a report from Minister Rumen Porozhanov, submitted, examined and approved at an operational meeting of the Council of Ministers on 13 February 2019. The report is presented to the Committee on Agriculture and Food and is available in the Library of the National Assembly. The National Statistical Institute received information on employees and average gross wage in the fourth quarter of 2018; Gross domestic product in the fourth quarter of 2018. "Express assessments, main results from the monitoring of the workforce in the fourth quarter of 2018; inflation and indexes of consumer prices for January 2019. supposed data. The materials are available to the MPs in the Library of the National Assembly. These were the messages that I should have introduced to the plenary. Moving to point two of the weekly program: NEW DISCLOSURE OF THE LAW FOR CHANGE AND CLEARANCE OF THE LAW FOR THE PROTECTION OF PERSONAL DATA ACCEPTED BY THE PEOPLE'S COLLECTION OF 24 JANUARY 2019 RETURNED FOR NEW DISCLOSURE WITH SAYN No 20 OF 4 FEUROAR 2019 101 OF THE CONSTITUTION OF THE REPUBLIC OF BULGARIA. I will remind you of the procedure for discussing the return bill. The President shall announce the item on the agenda; gives the floor to the President of the Committee on Internal Security and Public Order to present the Report to the Commission. In the new discussion of the Bill, debates are envisaged, and the time for the groups is in line with the general rules. Upon conclusion of the discussion, the President shall re-vote the Law amending and supplementing the Personal Data Protection Act. In accordance with art. 86, para. 4 The National Assembly shall readmit the Law if more than half of all Members of the National Assembly have voted for it, that is, at least 121 Members of the National Assembly. Let's move on to the point. The Internal Security and Public Order Committee report will introduce us to the President of the Internal Security and Public Order Committee. Here you are, Mr. Tsvetanov, you have the floor.
ParlaMint-BG_2019-02-20.u30	Dear Mr. Chairman, before we begin with the report, I am making a procedural proposal according to art. 42, para. 2 of the Rules on Organization and Activity of the National Assembly for Access to the Hall of Krasimir Tzipov "Deputy Minister of the Interior," and Ventsislav Karadjov "President of the Commission for Personal Data Protection."
ParlaMint-BG_2019-02-20.u31	Thank you, dear Mr. Tsvetanov. I shall put to the vote the procedural proposal for admission to the Chamber. Vote 76 MPs: for 71, against none, abstention 5. The motion is accepted. Please invite Mr. Tzipov and Mr. Karadjov to enter the room. Go on, dear Mr. Tsvetanov.
