ParlaMint-BG_2019-04-04.u1	There's a quorum. I'm opening the meeting. Procedure, Mr. Nunev, come in.
ParlaMint-BG_2019-04-04.u12	Mr. Chairman, ladies and gentlemen of the House! In order to create maximum protection of the social security rights of persons and to take account of their importance of the right of choice with this bill, it is proposed that a change in the transitional provisions of the Social Security Code be proposed by allowing persons to apply for an early retirement pension from 31 December 2018 to choose the amount of their pension to be determined by an individual coefficient calculated according to the old methodology, i.e. by including the income for the three most favourable years before 1997 and the entire income from 1 January 1997 until their retirement or in the new order in force from 1 January 2019. I would just like to remind you that since 1 January 2019 changes in the Code of Social Security relating to the method of determining the individual coefficient in the formula for calculating the amount of the pension for employment are in force. On the basis of the current provision of art. 70, para. 8 of the Social Security Code for pensions granted with a starting date after 31 December 2018, the individual coefficient shall be calculated from the insurance income of the person for periods after 31 December 1999 until the date of granting the pensions but for a period of not less than 36 months. Where the insurance income of the person after 31 December 1999 is less than 36 months, its last insurance income before 1 January 2000 shall also be taken into account in order laid down by the Pension and Insurance Internship Ordinance. The insurance income from which employment pensions are calculated does not include the insurance income for the period of three consecutive years from the last 15 years of insurance service until 1 January 1997 and the insurance income for the period from 1 January 1997 to 31 December 1999, which was possible until the end of 2018. This change was made for the purpose of closer binding the amount of pension to the social contribution of the person during his work life. The majority of the persons who are currently retiring are acquired internship and insurance income before 2000. Some of them received high wages that they were actually provided for during that period and, at the end of their career, for various reasons, performed a lower paid activity. Therefore, the new provisions for calculating the individual coefficient in the retirement formula starting from 31 December 2018 are less favourable for those persons. In this respect, it is necessary to create a legal opportunity for them to be able to track down by which of the two methodologies their individual coefficient is to be determined when calculating the amount of the pension. In order to prevent inequalities in respect of persons who have already submitted an application for an employment pension with a starting date after 31 December 2018, or who have one, before the entry into force of the proposed change, been offered within 6 months of the entry into force of this law, to be able to exercise their right of choice on a one-off basis. In these cases, pensions shall be allocated at the new amount from the same starting date. It is proposed that the possibility for individuals to choose the amount of their pension to be determined by the individual coefficient calculated according to the old methodology should apply until 1 January 2023 when the proportion of people for whom the calculation of the individual old order coefficient is more favourable is expected to decrease significantly. The adoption of additions to the Social Security Code will have a positive effect on all interested groups. Persons will have the right to choose which will guarantee maximum protection of their social security rights. The impact on pension expenditure on the state social security budget for 2019 will be 13.6 million. lv. additional cost. Thank you.
ParlaMint-BG_2019-04-04.u13	Thank you, Mrs. Angelova. This was a presentation of the bill on behalf of an importer. I'm opening the debate. Here you are, Mr. Papasimov. You are one of the importers. You have the floor to speak.
ParlaMint-BG_2019-04-04.u14	Mr. Chairman, ladies and gentlemen of the House! From 1 January 2019, changes to the Social Security Code relating to how to determine the individual coefficient in the formula for calculating the amount of pensions for employment are in force. On the basis of the current provision of art. 80, para. 8 of the Social Security Code for pensions granted with a starting date after 31 December 2018, the individual coefficient shall be calculated from the insurance income of the person for periods after 31 December 1999 until the date of granting the pension but for a period of no less than 36 months. On the basis of art. 70, para. 9 of the Social Security Code the individual coefficient in the above case shall be calculated as the sum of the monthly ratios between the insurance income of the person for the month and the national average income for the same month shall be divided by the sum of the ratios between the number of working days to which the insurance income of the person relates for the month concerned and the number of working days of the month concerned. The hours worked by the person shall be calculated in proportion to the statutory working hours. It is shown here that the insurance income from which the new employment pensions are calculated does not include the insurance income for a period of three consecutive years chosen by the person from the last 15 years of insurance service until 1 January 1997, as calculated by the individual coefficient until 31 December 2018. This change eases both the persons applying for retirement and the administration of the National Insurance Institute. The first will not have to collect documents for insurance income, and the second will use the available information on the insurance income of the persons in the register of insured persons. The calculation of pensions thus significantly reduces the possibility of abuse. Here I would like to mention that only in the period 2016 - 2018 the pension insurance authorities have submitted................................................................................................................................................................... Despite the fact that the Law was adopted at the end of 2017 and a grace period was given by the beginning of 2019, it turned out that many people were wronged by the new legislation and their pensions, calculated in the new way, were smaller than they would have been if they were calculated by the old one. The reason for this is that they had higher incomes before 2000 and for various reasons these incomes after 2000 were smaller. The bill we are currently looking at enables every citizen to determine how to calculate his pension in the new or the old way. That way there will be maximum protection of their insurance rights and no harm done. In order to prevent inequalities in respect of persons who have already submitted retirement papers or already received a pension after 31 December 2018, by the time the proposed bill enters into force, shall be offered on the basis of para. 2 of § 22 of this provision within 6 months of the entry into force of this Law, they may exercise their single right of choice, in which case the pension will be granted in the new amount from the same starting date of retirement. The right of choice will apply until 2023, and we believe that then the number of people for whom the calculation of the individual coefficient in the old order is more favourable will significantly decrease. This bill in the Committee on Labour, Social and Demographic Policy was adopted with full consensus. Colleagues, I call on you from this platform also to support the Bill so that there are no injustices and differences in the retirement of our fellow citizens. Thank you for your attention.
ParlaMint-BG_2019-04-04.u15	Thanks for the speech. Are there any lines? No requests. Here you are, Mr. Popovski, for a statement under the law.
ParlaMint-BG_2019-04-04.u16	Dear Mr. Chairman, honourable Members! The group of the United Patriarchs.I hope it will monolithicly support the amendment.Svetlana Angelova in the Social Security Code, because indeed last year we admitted a coliseum with a vote in the Transitional and Final Provisions of the Big Budget and some of the Bulgarian citizens were really wronged by the new formula. Now, having the right to choose, no Bulgarian citizen should be harmed. However, I hope that this amendment will come the time to replace it when the Second Pillar comes in the near future and people will indeed receive some real pensions according to their insurance contributions in the last 20 years, as is happening in normal countries. I just remind you that at present, about 30% of the state social security budget is being taken over by the state budget. There are countries that are one to one.. as much money is imported there, as much is distributed. We're bringing in 8 billion and something, giving away over 11 billion, so the big budget continues to re-finance the state social security budget in a small percentage. Thank you.
ParlaMint-BG_2019-04-04.u17	Thank you, Dr. Popovski. Are there any lines? I won't. Mrs. Angelova to speak, come in, you have the floor.
ParlaMint-BG_2019-04-04.u18	Thank you, Mr. Chairman. Ladies and gentlemen of the House, I take the floor not to present the bill, I did this a moment ago. I also support what my colleague Papasimov said in his speech. This bill is undoubtedly adopted by all Members of the National Assembly and is in support of all interested parties with the aim of maximum protection of social security rights. Rather, I would like to present a proposal which arose in the course of a debate on the Draft Law and was presented yesterday to the Labour, Social and Demographic Policy Commission, which was also discussed with the National Insurance Institute manager, with the NSI experts as to how the calculation of the individual coefficient of the old and new methodology will be done. If a person is not informed, if he is insecure, when submitting the retirement application, he must submit documents which will certify the three most favourable consecutive years before 1997, chosen by him as automatic with the calculation of the individual coefficient of the old methodology after the submission of these documents for three most favourable years chosen by the person, the NSI on the basis of changes in the programme product will automatically calculate the amount of the individual coefficient of the new methodology. Thus, the professional NSI will be able to present and choose whether the more favourable amount of the pension is based on the old methodology or on the new methodology of calculating the individual coefficient. If those persons who are due to retire are pre-convinced and do not wish to be calculated the amount of pension based on the old methodology, they do not need to submit documents for three most favourable years from the last 15 years before 1997, they will receive a pension amount calculated on the basis of the new methodology that operates from 1 January 2019. The aim is not to create tensions, not to create uncertainty in those persons who are due to retire after 31 December 2018. As you know, there is an electronic register from 1997 in the database of the National Insurance Institute for the insured persons, so that Bulgarian citizens can be reassured that the NSI based on the calculation of the size according to the old and new methodology will choose the professionally more favourable amount. There are people who don't know and can't handle the calculator. I mean, both calculators are currently working on the website of the National Insurance Institute, and any person can calculate in advance the amount of the pension both on the basis of the old methodology and on the basis of the new methodology. Thank you.
ParlaMint-BG_2019-04-04.u19	Thank you, Mrs. Angelova. Are there any lines? I don't see any line requests. Any other speeches? Mr. Ademov, you have the floor to speak.
ParlaMint-BG_2019-04-04.u20	Thank you, Mr. Chairman. Ladies and gentlemen of the House! I begin by saying that our parliamentary group will support the proposed project. Before that, I want to say what this is really about, why we came to this situation, because this is very important, because we are currently making changes to the changes that we made at the end of last year. I am genuinely glad that colleagues from GERB adopted the thesis that we proposed when this case came to light "The National Insurance Institute on an administrative basis can determine the size of the pension." Because I am not at all convinced that all Bulgarian citizens - about 90 thousand - who are due to retire this year - can have a personal identification code and, together with the CNN with the calculators at the National Insurance Institute, can determine the future amount of the pension. That's what this is about. The idea was, wasn't we all fighting in the chest and saying that we're reducing the administrative burden here's the real way, and I thank my colleagues at GERB for accepting the idea of reducing the administrative burden. What do we need to know? Firstly, in 2015, we adopted a large-scale reform called the Kalfin Reform. With the adopted texts then we postponed by a four-year period the dropping of the so-called three golden years from the 15 years before 1997, or in other words, the years with the highest social security income. Then why was this done? It was made with the argument that before 1997 there was no maximum insurance income, until 2000 there was no maximum insurance income, before 1997 there was no register of insured persons. This gives the opportunity, without saying that this is a mass practice, to manipulate job biography and insurance internship. The practice and actions of the prosecution, the Ministry of Interior and the National Insurance Institute have shown that such cases, unfortunately, have. Therefore, it was accepted that after 2000 the insurance income should be respected in the calculation of the individual coefficient. There's no new formula, there's no new methodology, the formula is the same. There is only a new way to calculate the individual pension coefficient. What does that mean? If three consecutive years were taken in the calculation of the individual coefficient before the end of last year, from the years 15 years before 1997 plus all the rest after 1997, the individual pension ratio was calculated on average monthly insurance income. After New Year's Eve, things are a little different. There are new parameters. The new parameters are calculated with the individual pension coefficient based on all years after 2000. It's the only one and only them. Something new about the individual pension ratio is calculated on the average daily insurance income. What does that mean? It's different to have worked every month and 10 days on high incomes, it's different to have worked the whole month and to have provided for yourself. Therefore, the new formula, namely the new way to calculate the individual pension coefficient, gives a slightly more direct link between the insurance contribution and the amount of the individual pension coefficient. And now what happened? It was based on a simulation of the National Insurance Institute that if the individual pension ratio is calculated in the new way, then what happens? One large part of the people who worked in state enterprises before 1997 or after 1997 until 2000 worked in banks, in large industrial enterprises, in serious high income companies, because they did not have the maximum insurance income, they provided themselves on the real income they received. But if, after 2000, they had episodes of their work biography when they were insured on minimum social security benefits, their pension rate dropped sharply. And these are the people who join the group of these 37%. I would like to emphasise that the public discussion on this issue has been distorted. What happened? The reduction of pensions to 37% of future pensioners is not such a thing. The first thing that is important to note is that the reduction in the individual pension coefficient does not in any case mean a 100% reduction in the amount of the future pension. Why? Because the formula for calculating the amount of the pension other than an individual coefficient has other components, one of them being extremely demanding... the country's claim for insurance income 12 months before the date of retirement. So in the formula, by putting these new elements, it turns out that over 60% are the ones that will have a higher individual coefficient, i.e. a higher amount of pension. But for those 37%, for which the individual pension ratio is reduced, we still cannot say for sure how many of them will have a reduced pension amount. The National Insurance Institute said 0.1% was the cumulative effect. Therefore, they claim the nine million that are envisaged in the state social security budget. I wanted to tell you this thing because a variety of information appeared and in the media space the discussion somehow became pseudo-expert. That's why I wanted to say these things that are very important. Otherwise, it is very important that what Mrs. Angelova said a moment ago we make it so that we can make it easier for those 90 thousand people to be able to avoid difficulties. I am convinced that the National Insurance Institute will make such an organisation that will allow all who are candidates to be informed in advance. But agree that this will immediately open a service market for people who will provide their services for payment so that they can provide information. I don't want this to happen. I want Bulgarian citizens to be assisted if possible. Because I open a big clamp and say: the calculation of two individual pension ratios with a social security income before 1997, with three years, and then it's a labor-intensive procedure. It's the NSI experts who have to say if that's possible. I guarantee this will extend the retirement period. What does that mean? Within these four months, which are by law, experts from the NSI could hardly cope. That is why we agreed yesterday at the Commission meeting to make it possible to propose the possible option. The possible option is that there are no people who are in any way harmed by what has been obtained as factology. I know there are opponents to what we're doing right now. They have their arguments because we are putting off another four years and it is not clear whether in 2023 we will not postpone this period again. Because the work biography of those who will then retire in practice will include the years after 2000, that is 23 years. This is about a relevant period, because the average age for a person's pension is about 17 years and a few months, so it is believed that this will be an adequate period. I can tell you the practice from European countries. In Germany, for example, the entire insurance service, which is most objective and most real, enters when determining the amount of the pension. In France, it is a completely different way to do 20 most favorable years of work biography are those involved in the formation of the size of the pension. We can hardly afford such an approach, so the European social model is controlled in a way in which each Member State sets the retirement rules and there is nothing wrong with that. But this whole discussion is situated in the field of the search for justice, because there can be no 100% justice in this system, ladies and gentlemen of the National Assembly. My desire has always been to make it so that there is less injustice. That's why I'm saying and finishing that you have to look for opportunities to restore justice. In the field of justice is also the whole discussion, that is, the search for adequacy between the insurance contribution and the amount of the pension you receive. If we achieve this, it will mean that we have taken a step forward in pension production. Thank you.
ParlaMint-BG_2019-04-04.u21	Thank you, Dr. Ademov. Are there any lines to the statement? I won't. Any other speeches? If there are no other speeches, I shall close the debate. Please, the Quaestors, invite the MPs from the couloirs to vote. We are voting at first reading Draft for Supplement to the Social Security Code, No 954-01-17, tabled by the MPs Svetlana Angelova, Menda Stoyanova, Rumen Genov, Claudia Gancheva, Julian Papasimov, Dimitar Gechev, Nikolay Sirakov, Galya Zhelyazkova, Ralitsa Dobreva and Lilyana Pavlova on 27 March 2019. They voted 107 MPs: for 107 against and abstentions there is no. The proposal for the adoption of the first vote of the Draft Law on Supplement to the Social Security Code, No 954-01-17, submitted by the National Representative Svetlana Angelova and a group of MPs on 27 March 2019, was adopted.
ParlaMint-BG_2019-04-04.u22	Let's continue with: FIRST VOICE OF THE LAW FOR CHANGE AND COMPLIANCE OF THE ENERGY LAW Importers supplied representatives Delyan Dobrev and Valentin Nikolov on 22 March 2019 Here you go.
