ParlaMint-NO_2020-10-09.ana.ud305e37	The representative of Mr Åsunn Lyngedal will present a proposal for a representative.
ParlaMint-NO_2020-10-09.ana.ud305e159	The representative Svein Roald Hansen has taken up the suggestions he referred to.
ParlaMint-NO_2020-10-09.ana.ud305e164	Then we are in the goal of dealing with crisis package No. 7 and it probably won't be the last one. We see that the estimates in the state budget for 2021 are optimistic about both the development of unemployment and economic growth, but the negotiations went well, and the Progress Party is satisfied with the results. We got more money in place – 400 million. DKK for the potable road project in the counties. We know that the need there is great, and we know that this can help to employ the construction industry. It was important for the Progress Party to do this in a way that ensures that the money went to the road, and therefore it was made a searchable arrangement instead of simply sending the money to the county council. We have extended the compensation scheme for self-employed workers and freelancers out of the year with a compensation rate of 60 pst. So it was travel life. We have made sure to extend the low VAT rate out of the year. It is a bit critical of the government that there has been no further development of a compensation scheme for this industry, when we knew that this industry was going to be in crisis when the harvest came. Here you started too late, and I look forward to getting a case for Stortinget where we can start going into these topics. Aviation is in crisis. That is why it was important for us to extend the exemption for the air passenger fee. When the carriers operating in Norway are in the process of being on the edge of the trip, it is wrong to reintroduce this fee, which should be added to that situation. In the future, it will be important for the Progress Party to ensure competition in aviation. It is important for citizens, and it is important for business. We don't want to go back to a situation where we have monopoly in the air in Norway. We remember what it was like: expensive air tickets that make ordinary people have no opportunity to travel. It becomes an important matter to follow up, and I look forward to the government following this in a good way. In the case of the sovereign bond fund, the feedback from many companies is that there should be more flexibility in the scheme. We've heard that repeatedly. The Progress Party expects the government to do a thorough job of following up what is now adopted in Stortinget to look at the flexibility of the scheme. Finally, I will refer to the travel life organisers and the decision of the Stortinget that has taken: ‘The government is asked to follow the situation, including an assessment of the need to extend the loan and grant scheme and an assessment of further measures in the event of a situation in which many travellers are not satisfied by the failure of the package tour operator.’; If necessary, we will come back to this in connection with the matter of compensation arrangements for travel, because it is important for us that this is followed up in line with the Storting decision.
ParlaMint-NO_2020-10-09.ana.ud305e186	We are still in a major and major crisis, where many workers, businesses, self-employed people and municipalities around Norway are experiencing major challenges in their everyday lives. Unfortunately, both the government parties and their leading supporting party, the Progress Party, are dragging their feet in providing good compensation schemes, for example, targeted at travel, while being particularly effective in making new proposals for tax increases. In the position we are going to deal with today, the majority of us in the case of tourism, first of all, give a concrete description and an entirely correct recognition of the fact that it hits an industry that is particularly hard hit, and not only travel, but also transport industry and culture, and then there is one last greeting in that section: that the fee should be doubled on 1 January. There is a fee increase that has previously been calculated for approx. One and a half billion. kr, for an industry that a self-writer is particularly hard hit. This is extremely unwise and culminates in the government’s proposal for a State budget, where one must also reintroduce the air passenger charge and impose additional charges on aviation. To the compensation scheme for travel life, which I fully agree will come, but which is currently an empty shell: One says 1 billion. kr, but for those who depend on support, it does not help what numbers you are looking for in a position; it is what concrete support a get, which means something. It's going to happen the same thing as with the broad compensation scheme, where one said one was going to spend 50 billion. kr, and then it's granted so far between 6 billion. and 7 B.C.E. kr. Or it happens as with the seasonal enterprise scheme, as a broad majority of the Stortinget were concerned about getting in place: there comes the government back with a proposal that defines seasonal businesses as businesses that operate primarily outdoors, which, for example, makes the Kvernepollen rudders, which have had a loss of 3 million. kr, has received only NOK 21 000 in support so far, because they are primarily engaged in accommodation activities, although of course tourism and seasonal activities are their activities. Or it'll be like the maintenance arrangement, where you've set 250 million. NOK, but where at present it seems that a person is going to spend only $10 million, because one defines the plan so that, for example, those who have activity in the summer don't get any particular benefit from the plan. Only maintenance out of October is covered. For this reason, targeted action is needed and is actually designed to ensure that workers who are still in a demanding situation are covered by a permit. Cutting back on the support for the lay-offs and the unemployed in this situation is completely wrong. The priority given by the government, with great tax relief to those who have over a million dollars, while a cutter in extra arrangements for the lay-offs, for the unemployed and for the apprentices, is unwise policy. The income assurance scheme for self-employed persons shall be terminated. No, instead we have to go the other way and take care of those who are still in crisis. If you look at the compensation scheme that was established, the broad compensation scheme, you see how crooked it has hit so far. Of those who have received support, it is approx. 2 pst. of the companies that received well over half the amount of the benefit, while the remaining 98 pst. by the companies to be divided by the rest. Many companies have come into the situation that when they see what it is possible to get support, they see that they probably need to spend more money on auditing and accounting than on being able to obtain support, and they give up applying for support at all. We have to show greater liberality to those who are small, and then we have to tighten up on the big ones, by making clearer demands on the beneficiaries, as we do, among other things. propose in the case of aviation. We also need to ensure good activity promotion. There we have made a number of proposals in the past. We have to make sure that we prepare for the maritime industry, that we provide for the municipalities and for activity in the construction industry. Unfortunately, our proposals have been voted on earlier. We will follow that up in our budget for next year. I would like to take up with it the proposals that the Central Party is making.
ParlaMint-NO_2020-10-09.ana.ud305e205	The representative of Sigbjørn Gülsvik has addressed the proposals he referred to.
ParlaMint-NO_2020-10-09.ana.ud305e210	When the crisis hit us in March, the government had to make many decisions in a short time and on a limited basis. It was important that all the parties here supported under these measures, and through intensive negotiations here on the house we got a broad deal in place. I'm glad. But then the crisis becomes a sort of normal situation, and for every crisis package we deal with now, we see that the political differences become clearer. On Wednesday we saw a government budget from a civil government where it was more important to cut the wealth tax for the richest of the country than to continue a social day money regime that gives the unemployed a little more time to walk. It's really quite clear that a red-green majority with a strong SV would have met this economic crisis differently, more fair, more climate friendly, than the right government has done. For we would first have thought of those with the lowest wages, of the apprentices and of those with the weakest connection to the labour market when the first crisis packages were to be put in place. We also prioritised this in our debates, and we continue to prioritise it now. Where the government is now phased out the income insurance schemes adopted by the Stortinget in ours, we will continue them – for day-to-day workers, for those receiving redundancy benefits, for apprentices and for self-employed persons. SV will continue the social daily allowances. When the government and the Advance Party now agree to remove these rates, the unemployed and the permit are less likely to leave. The reduction of minimum income requirements and reduced working time requirements for entitlement to daily allowances have ensured that the economy is more permissive and that even those with the lowest income have something to live on in this crisis. If it doesn't continue, I'm afraid the differences will increase further. The labour market is tougher now, and more predictability is needed and not less. The temporary social security scheme for self-employed persons has provided financial predictability for these groups. Nevertheless, the government proposed to remove that scheme, which would have led to self-employed and freelancers in practice being on a nearby bar, without compensation. I'm glad the majority turned around, but it's too low a rate. Major parts of cultural life are still in crisis. Those who deliver stage techniques and other subcontractors to major concerts and events are far from back in normal activity, and then they must continue to receive compensation and emergency measures. The compensation scheme must be continued and must also apply to events planned after 12 March. The government must soon realise that the cultural industry operates is business, there are jobs, and there is value creation. The cultural sector accounts for 13 billion. kr in annual value creation. What is happening now is that the government is helping to erode Norwegian working life and create a more unsafe working life. Let me give you a concrete example: Oslo Kru is a major employer in Norway in the concert and cultural industries. They are based only on employment and not on freedom, with a permanent ground crew of approx. 120 stage technicians in addition to many temporary ones. This is very unusual in that industry. Since March 12, they have had 99 pst. decrease in turnover. From 12 March to 30 September last year, the 10,000 working shifts. This year they've had 150. Their leading competitor is underpaid foreign labour. If Oslo Kru, an established employer, now disappears, it will in practice facilitate social dumping at concerts and festivals organised in Norway for a long time to come. But the government didn't want to save Oslo Kru. Nor has the government wanted to make demands on the business community, which is now receiving state support packages, that the jobs that are there today should be maintained. In industry by industry, we will be able to see permanent employees disappear, and then collect as temporary and hired labour in the long term. The crisis is not over. Travel and culture continue to bleed, municipalities are bleeding, and everything indicates that the differences are now going to increase even faster. So it's a shame we don't have a red-green majority today. With that, I address the SV's proposals, except the proposals No. 37, 38 and 39. We are voting in favour of all the solutions proposed.
ParlaMint-NO_2020-10-09.ana.ud305e229	The representative Kari Elisabeth Kaski has taken up the suggestions she referred to.
ParlaMint-NO_2020-10-09.ana.ud305e235	There is no doubt that both we and the rest of the world are in a serious economic crisis that is going to last a long time, although it is unclear how long, and although the activity in the Norwegian economy has taken up from the low point it was at in ours, it will be lower here for a long time. We are already seeing a significant reduction in what is planned for investment from many actors in the future. This is therefore the seventh crisis package that has come so far this year. When it was submitted to Stortinget, there was a package of 6.1 billion. kr. After negotiations, it is now between 6.7 and 6.8 billion. kr. There are important decisions to be taken, both to extend the period of leave to 52 weeks — many are still on leave — and now to have a new period of support to return to work. We extend the compensation scheme for cultural, sporting and voluntary organisers, where, in particular, businesses and cultural actors face a very difficult situation of sport and volunteering. It is essential that this compensation scheme be continued. In this extension, we from the Left both agree and welcome the agreement we have with the Progress Party that we also continue the support scheme for freelancers and self-employed with 60 pst. compensation, but where the curtailment is reduced to 60 p.m., so that those entrusted with the task will retain more of the income they receive. I think it's right to lie at the level where we are now. It is also important that we support public transport further. That's $1.50. In order to maintain the offer in the country, but of course also to compensate for the lack of income of the counties. Then there is also support here for municipalities, municipalities that experience increased infection locally and thus have to provide local measures – which we will also be able to get more of in the future – of 200 million. kr. That's also 500 million. SEK to municipalities that have and have had particularly large expenditure. I'm also happy with the 120 million. kr for industrial development in the districts, where 80 million. kr is targeted directly at travel – travel life that is in a particularly serious, but also uncertain, situation. Summer probably went better than many had expected. Now we are entering a new phase of failure in conferences and the revenue you could expect before Christmas. What winter will look like is hard to say. So here several measures have been announced with a separate compensation scheme. We also extend and extend the conversion system. Travel life is in a situation where you have to compensate for the income you do not receive, but at the same time you have to start preparing for some areas where there may be a necessary change. It is also important here that we have a support scheme specifically for the tourism industry in Svalbard. The continuation of low VAT until the new year is also an aid which has come into agreement with the Progress Party. From the left side, we see no problem in that the air passenger charge is not reintroduced until 1 January. It is not the air passenger charge that is now involved in regulating air traffic, but it is important to get back in at a time when we get out of the crisis that we are in. It has also been important for package tour operators that we have good arrangements. In the spring we got a system in which we gave 20 pst. grants, but 60 pst. loans. Innovation Norway is now going to carry out a new round of allocations, where we are increasing the grant share to 40 pst. There is a significant improvement in the system we introduced in ours, and it is also stated in the proposition that we should come back here with any changes in the ageing process. 400 million. kr to county roads I think all parties are in favour, and I think it's the first time I say from here that a good suggestion from the government has improved. Then I think that future negotiations with the Progress Party will also make good proposals.
ParlaMint-NO_2020-10-09.ana.ud305e254	I would like to thank the colleagues in the Committee for a good work on this package of measures. This is – again – an example of the Committee’s having to work even before the end of the session, in order to be able to take action quickly. And then there is a collection of a lot of measures that the government has also warned and got in place during the summer, which is good that we now get through the Stortinget, and that we get the formal decisions in place. During the summer, I get a bit of time to read more than just the daily newspapers, and when I was home this summer, I also got to read the local community newspapers. Sometimes it's very useful, because then you get a good picture and some examples showing what the big debates in this room and the big trends in the country are going through. There they had created a good report about the local knife factory, which has made sure that people have jobs in Holmedal for generations, and how they at the beginning of the corona era were forced to permit and believed one was forced to quit, and they were in a very critical situation because they had lost their export markets and did not know what they were facing in the future. But during the summer the situation changed altogether, because the situation had stabilized, and the Norwegians had come out on their way, and then you lack a good toll knife to be able to bring you on that trip. So the problem is now rather about getting produced enough. This is one example of someone who's done well. Then it is quite right, as many others in the debate before me have also remembered, that this does not apply to all. We have a travel life that has great challenges, and when a talker with local travel operators, there are many who can remember that many of the Asian bus tourists that have been inside, we knew that disappeared, but no one could have imagined that it happened so quickly. Therefore, it is important that we both come up with measures that will help us get that part of our business through the crisis, and that there is a degree of conversion in several of the packages and measures that both government and growth now come with, because it is also a matter of having to anticipate that 2021 and 2022 and 2023 will not be equal to the season that was in 2018 and 2019. But then we should also remember those who have the most important problems, such as the event industry and other parts of the travel industry, and there is a need for more measures. That's why we're adopting the package that we're now doing. The biggest handle is the extension of the permit to 52 weeks, a grip that the government announced that one would look at the need during the summer, which has also been up and discussed a lot before and during the summer, and where I think one at the right time said that we are now in favour, and then add one up to a new employer's period from 1 January 2021. I think it's a wise move, because then one also makes sure that the companies are forced to sit down and look through what is the right grip to do. Getting it stop, where one actually sits down and looks at what's best, both for it added and for the company, I think is an important and proper grip. Now we are also in agreement with the government's proposal on wage support. That's good, and one gets in place a big package in both the cultural, voluntary and sports sectors. What's important there is that one now starts not only compensating for the loss of activity, but also figuring out what activity we can have and stimulate through this period. That's important, and that's right. So, as many people have done well, there are also good measures to ensure that a person compensates for loss of income in collective terms, and not least that a incentive to change through, for example, the Internet. resources for nutrient development in the districts. Then I'm in agreement with the previous speaker, the representative of Elvesuen, who is well pleased to say that a good package from the government has become even better. Some of the things I'm well pleased with are when we also get funds in place so that we can start the activity associated with the potter projects that are on county roads, where one has also become a few about good grips, with some taxes and tax increases as a result, and that has been necessary in the situation that one is in. So a good package has improved. Then we see that, in general, the opposition is building its proposals today on the proposals that the government party and the Progress Party have put in. So it's a little bit backwards, but basically this shows a connection to that direction, and I think it's good and it's good in the situation we're in.
ParlaMint-NO_2020-10-09.ana.ud305e275	Seven months have passed since Norway closed down and people, businesses and municipalities across the country turned their heads around in their everyday lives. The Coronapandemy has shown that as a nation we are able to change quickly and promise when needed. At the same time, we must remember that the adverse effects of the pandemic are still small compared to what we can expect unless the world manages to stifle climate change. We must therefore be able to resolve the coronary crisis in a way that does not reinforce the climate and natural crisis, nor does it challenge the confidence of the authorities that we need in society – which we get, among other things. by ensuring that the inequalities are not too great — the trust we need to get to the green shift Norway and the world needs. When people go into uncertain times, it is necessary for a state that can stand steady in the storm and give a handshake to those who need it, so that no one falls outside. In the first phase of the pandemic, political Norway agreed that the state should face those in difficulty. Fortunately, we now see that there was no need for money as much as the first calculations showed. But we don't have to use it as a deposit to now leave the individual to himself. The package currently being adopted does not provide sufficient security. The Green Party is proposing to continue the daily allowance also for those with the lowest income. We are proposing to continue reducing the requirements for the amount of work that must have been lost in order to receive the daily allowance, and we are proposing to continue the scheme for the unemployed from third countries. Unfortunately, these safety networks are taking the majority away today. We can't let the corona virus do permanent damage to the culture either. We therefore propose to continue and strengthen the compensation scheme for cultural events and to continue the compensation scheme for freelancers and self-employed people. A group that has been very vocally treated during the coronary crisis are the students. While others received grants when wages disappeared, corona-based students were offered more loans and thus increased debt burden. It is neither fair nor wise to burden the students who have lost the job, so different from other employees. We therefore propose to convert the corona loans into scholarships. While students in e.g. Denmark and Finland have a safety net if they become unemployed at the end of their education, newly educated people in Norway have no rights whatsoever. The only possibility is social support, and it's only when the account is completely scratched, and the PC, the bike and the guitar have been sold. Get to work! someone might say. It's been a long time since it's been so much easier said than it's done now. For this reason, the Green Party is proposing today to close one of the gaps in the welfare state by introducing the right to daily allowances for newly educated people who become unemployed. While other countries have used crisis packages to promote green conversion, it is striking how the majority in the United Kingdom has a special care for selected industries, such as oil and aircraft. The reintroduction of the air passenger fee has now been negotiated away by the Progress Party. And while the rest of the event industry goes too lye and cold water, the oil fair gets our eyemarked 21 million. NOK, in addition to the more than 40 billion. kr in new risky tax reliefs that this one sector received in ours. It's way too early to cut off aid for companies on the mainland. The NHO is clear that it is the severity of the crisis and the measures taken by an enterprise to prevent infection, which should determine whether the enterprise receives compensation — not the industry to which it belongs. The NHO concludes that a broad compensation mechanism is still needed to maintain the diversity of small and large enterprises and businesses in Norway. I am surprised that the Green Party, as far as I can see, is alone among the parties to propose it. In sum, today we adopt a lost opportunity to show the people that the state is to trust when it's raining. No one knows how the infective force this fall and this winter will be, but right now the arrows are pointing in the wrong direction. Then it's not time to pull in the lifebuoy, at least not for those who have the most difficulty, for this storm we have to ride off together. With that, I will address the Greens' proposals to the Environment Party.
ParlaMint-NO_2020-10-09.ana.ud305e300	The representative of Une Bastholm has taken up the suggestions she referred to.
ParlaMint-NO_2020-10-09.ana.ud305e305	Red has from day one of the Coronapandemics worked for the crisis to meet with a fair policy. In June, we presented our own Corona programme, with a wide range of measures to get people to work, to get inequality and emissions down and to renovate social protection. In this package we continue to ensure that the government ensures more jobs for the Norwegian shipyard and supplier industry, and that the municipalities get far more money than it is added to. It's about the welfare of most people around the country. There's a hurry to do something about the basic unfair policy the government is putting up with. Our priority through the crisis has been to ensure better income for workers, apprentices and people outside the labour market. Like LO, we believe that, in a situation of still high unemployment, we must continue to secure income for all those who are still affected. On the other hand, from 1 November onwards, the government will withdraw a large number of the important improvements made by the majority of the population to adopt in the United Kingdom. Firstly, 17 000 people have received daily allowances this year because the Storting decided to lower the income limit in order to qualify for a daily allowance. The income limit is now increasing again. This would result in a particularly large number of part-time employees being deprived of the possibility of a minimum level of income protection. We're against that. Secondly, after strong pressure from Red, the Stortinget made sure that over 3,200 apprentices got right on social benefits this year. Now, the apprentices who are on leave from 1 November are at risk of getting nothing instead. We're against that, too. Tens of thousands of self-employed and freelancers will have a quarter cut from 1 November before it falls completely away from the new year. It's also red against. We know that thousands of redundancy payments in the future will lose their benefits. As it's called fine in the proposition, they're expected to switch to other types of status. Out of sight, out of mind for this government and the Progress Party. This is in many cases a password for social assistance or what is worse: no protection at all. Red has also fought all the way against the gross injustice of the March decision by the Stortinget Day Money Improvements, not for all those who were already unemployed when the crisis broke out. This has created an a and b layer among the daily allowance recipients, and since March, some 50,000 unemployed people have received far less in cash than all those who were unemployed from March. Red will extend the 80 pst. compensation for income up to 300000 kroner for all the unemployed, and not least we believe that it must be made a permanent part of the daily allowance scheme. Not enough: since this government has removed the holiday supplement from the daily allowance, the hundreds of thousands who have received the daily allowance this year will get a new click next summer. Then many people will stand completely without income, so to speak, when July 2021 comes, when the bills come, the flow will be paid, the rent, the mortgage. Many people will then have no income because the government refuses to give unemployed holiday pay on the day-to-day allowance. Last Friday, the Progress Party made a compromise with the government on the crisis package. So in the agreement, they do nothing for the unemployed on the day-to-day allowance – greet the party for the most, except for the workers who leave or lose the job and their families. In a situation of high unemployment, the government sits quietly and looks at 8,600 people going over the maximum period to receive a daily allowance in the next month. This will lead to considerable uncertainty for many people and increasing poverty. Then, on average, 500 people will lose their daily allowance every week for the next six months. To keep the spirit of hard work through the crisis, we can't ask people who have lost their jobs to pay the highest price. What we're talking about here is actually small money in relation to the billions of tax cuts that the government chooses to give to the richest of the country. While the champagne stoppers sprang into the Holmenkol lock, the bell ticks down gracelessly for the tens of thousands of unemployed. This is where the government and the party of progress must turn. With that, I address our suggestions in the matter.
ParlaMint-NO_2020-10-09.ana.ud305e328	The representative Bears Moxnes has taken up the suggestions he referred to.
ParlaMint-NO_2020-10-09.ana.ud305e333	I would once again like to thank the Stortinget for a quick and good treatment of another crisis package. Seven emergency packages have now been submitted and processed since the pandemic hit us and Norway was closed down on 12 March. We have seen over the summer that the fall in the Norwegian economy was less than we feared, and that the recovery has gone faster than we hoped. At the same time, it is important to stress that the crisis is not over. There are still many companies in many industries that are struggling and that are facing an uncertain harvest and winter. An important reason why we've gotten better out of it so far is the good cooperation that's been in the Storting and that's been between government and greatness. But the close cooperation that the government has had with the social partners has also been crucial for us to have been able to quickly identify what means will be right, and also to ensure that these are implemented quickly. We've been using fiscal policy actively, and we're also adding that up to next year. In the first phase, it was important to compensate both workers and companies affected. At the moment we're in, we need to facilitate activity and conversion, and that also adds up to the measures. Before the summer, we got what we called a payroll scheme. It came into place after close cooperation with the social partners. When that scheme was launched, there were 217 000 people who were wholly or partly unemployed or on leave. The statistics we now have show that more than 100,000 people have returned to work from the start of the scheme and until 31 July. In August and September, a further 44 000 people returned. The number of lay-offs has fallen sharply. Two out of three have returned, but unemployment is still too high, and therefore there is still a need for action. In the now adopted proposal, a new round of wage support schemes is launched. This means that companies with a turnover fall can get up to NOK 15 000 per permit they withdraw from their own, in October, November and December. It's our hope that this will help create security for the companies, and that they will take more outlawed ones back. One of the industries that we're all concerned about is travel. I hear the representative Gülsvik says that the travel arrangements are an empty shell. I can assure the representative of Gülsvik and others in the Chamber that the travel arrangements take shape. The Minister of Economic Affairs will lead the work in close cooperation with LO, NHO, Works and SMB Norway. The scheme begins to take shape, and it comes to Stortinget in less than too long. We also have dialogue with the Progress Party on this. Finally, let me refer to the arrangements that have now been implemented for the municipalities. The municipalities have received good compensation throughout the year, and our words that the municipalities should be compensated for the additional costs necessary for the Korona. In a short time, we will also receive the workgroup’s interim report — where KS is represented — which will show the challenges the municipalities have faced this year, and what may be needed for the next year. But in the proposition that is being dealt with today, there are 500 million. which is intended to meet the most severely affected municipalities, which have had outbreaks of infection and which have had to take additional measures because of it. Once again, I would like to extend special thanks to the Progress Party for good cooperation on this proposition. It's going to give good results beyond the harvest.
ParlaMint-NO_2020-10-09.ana.ud305e352	It's going to be line change.
ParlaMint-NO_2020-10-09.ana.ud305e357	In May this year, I asked the Council of State a written question about looking at the arrangements and requirements of the State bond fund, so that several companies could get help. I just have to admit that the answer was a little depressing, but with a little sparkle, a still changing rating requirement from B- to CCC+. The council also said that he had examined all the possibilities. The problem is the same for today’s companies – perhaps even worse, as there are more people who have had to take expensive loans on the market because they have not received access to capital via the SOF. And many viable companies have reduced liquidity and solidity due to the pandemic. Is the Council of State now saying that the intention behind the establishment of the SOF is not well enough in terms of demands and practices, as it is today?
ParlaMint-NO_2020-10-09.ana.ud305e366	It is the People's Security Fund that is responsible for managing that scheme, and their assessment is that it has worked as intended. It was a scheme that came into force very quickly, and it was supposed to contribute to the liquidity of the bond market – and it contributed to it. It is also the case that the bond market has developed more positively than what we feared in the very first period, and it is true that I have contributed to the fact that that scheme has become somewhat more accessible to more people. But as I said, the People's Security Fund's assessment is that that scheme has worked according to purpose. In addition, we have an arrangement that is linked to government-guaranteed loans, where the government guarantees 90 pst. of the loans. We have gradually adjusted and improved that system in line with what we have been able to do under EEA legislation. There is a system that has helped a lot of companies in the demanding situation they are currently facing.
ParlaMint-NO_2020-10-09.ana.ud305e375	I thank you for the answer, but I still refer to the plural proposal here today, which the government party will also vote for, and I wonder how the council will fulfill the Storting's will if he is not willing to go into this with new glasses and look at it again.
