ParlaMint-NO_2020-06-19.ana.ud168e128	His Fredrik Gruvan will present a draft constitution.
ParlaMint-NO_2020-06-19.ana.ud168e202	On behalf of the representatives Sylvi Listhaug, Morten Stordalen, Tor André Johansen, Erlend Wiborg and myself, I am delighted to make a common, representative proposal, but an important representative proposal, on the simplification of cars in Norway.
ParlaMint-NO_2020-06-19.ana.ud168e207	The representative, Nicholas Wilkinson, will present a proposal for a representative.
ParlaMint-NO_2020-06-19.ana.ud168e212	I am delighted to make a proposal on behalf of Karin Andersen, Lars Haltbrecken and myself on the vaccination programme for adults and risk groups to minimise infection and strengthen public health.
ParlaMint-NO_2020-06-19.ana.ud168e217	The representative of Marit Knutsdatter Strand will present a proposal for a representative.
ParlaMint-NO_2020-06-19.ana.ud168e222	On behalf of the representatives Kjersti Toppe, Per Olaf Lundtägen and myself, I would like to propose a new policy for financing and dimensioning public hospitals.
ParlaMint-NO_2020-06-19.ana.ud168e227	The representative of the Bears Moxnes will present two proposals for representatives.
ParlaMint-NO_2020-06-19.ana.ud168e232	Red proposes to reintroduce the holiday supplement to the daily allowance and a proposal to ensure a fair distribution of goods and burdens resulting from the coronary apathy.
ParlaMint-NO_2020-06-19.ana.ud168e237	The representative, Katrine Boel Gregussen, will put forward a proposal for a representative.
ParlaMint-NO_2020-06-19.ana.ud168e243	On behalf of Lars Haltbrecken, Nicholas Wilkinson, Mona Fagerås, Arne Nävra, Karin Andersen and myself, I present a proposal for a representative to ensure the settlement of all people who are allowed to stay.
ParlaMint-NO_2020-06-19.ana.ud168e248	The representative of Arild Grande will present a proposal for a representative.
ParlaMint-NO_2020-06-19.ana.ud168e253	On behalf of the representatives of Rigmor Aasrud, Lise Christoffersen, Elise Bjørnebeck-Waaagen, Terje Aasland, Åsunn Lyngedal and myself, I am delighted to present a proposal on social demands in public acquisitions.
ParlaMint-NO_2020-06-19.ana.ud168e258	The representative of Nils Kristen Sandtrøen will present a proposal for a representative.
ParlaMint-NO_2020-06-19.ana.ud168e263	On behalf of the representatives Else-May Norderhus, Terje Aasland, Tone Merete Sønsterud, Karin Andersen, Lars Haltbrecken, Arne Nävra and myself, I am delighted to promote a proposal for a representative to clean up the mining pollution in Folldal.
ParlaMint-NO_2020-06-19.ana.ud168e268	The representative of Mr Ingvild Kjerkol will present two proposals for representatives.
ParlaMint-NO_2020-06-19.ana.ud168e273	I have the pleasure of promoting two representative proposals. One is from Lene Vågslid, Tore Hagebakken, Tuva Moflag, Tellef Inge Mørland, Hege Haukeland Liadal, Maria Aasen-Svensrud, Jan Bøhler and myself on action against quacksalvery and a better prioritisation of health resources. Then I put forward a proposal from the big business representatives Jonas Gahr Støre, Tore Hagebakken, Tuva Moflag, Tellef Inge Mørland, Kari Henriksen and myself to stop privatization and prevent a two-part health service.
ParlaMint-NO_2020-06-19.ana.ud168e282	The proposals will be dealt with in a regulatory manner. The President will draw attention to the fact that the cases are No. 2–4 on the current map has not been out of the regulatory period, i.e. 48 hours, cf. Rules of Procedure § 46. However, the President will propose that matters be dealt with. No objections have been raised against this. – It shall be deemed to have been adopted. Furthermore, the President will inform you that today's meeting will continue beyond noon if necessary. 16th@item: inlistbox
ParlaMint-NO_2020-06-19.ana.ud168e304	Let me start by thanking you for the opportunity to come to Stortinget to explain the status and management of the outbreak of the coronavirus. Norway has experienced the most serious crisis since World War II. The government has implemented very interventional measures that have had a major impact on all parts of society. Before Stortingen splits up for the summer, I want to brief the Government on the government's assessment of the way forward. I would also like to take this opportunity to thank you for a good cooperation through what I think we can all say has been an intensive one. First of all, I would like to say a little bit about where we are today. Turn down the strategy chosen by the government in the early phase of the outbreak has been well along the way. The measures have been effective. The Norwegian people have set up the greatest effort of our time. The action has produced results. We have been able to take the day back, but there is still a different everyday life we are moving towards. There is still a risk of flare-up of infection and spread of infection. We must therefore be prepared to bring down new outbreaks, both nationally and locally. The government has therefore moved on to a control strategy. In the future, testing, isolation and tracking will be important to maintain control. When the Minister of Health told the Stortinget on 10 March, all reported cases of infection had been traced abroad, or they had been infected by someone who had been abroad. After 10 March, the situation developed very quickly. Number of sessions infected. At the same time, there were reports that it was not possible to trace where more people had been infected. The virus spread uncontrollably in Norway. There was little knowledge about the virus, how it spread, and how many people were going to need hospitalization and intensive care. With the situation in other countries, inter alia: Italy, as a hindrance, was essential to avoid the infection peak being so high that it exceeded the capacity of healthcare. Therefore, on 12 March, with the support of the Minister of Health and Welfare and myself, the health authorities decided to take action to combat the spread of infectious diseases. It was clear that the measures would have a major impact on the Norwegian economy and society. But our assessment was that the alternative appeared to be worse, for both life and health, social life and economics. The decision would give us time — time to build preparedness and get more knowledge about treatment and better ways to prevent dispersal. The measures introduced were unparalleled in modern times. The interventional measures led to the transition from a health crisis to a crisis with consequences for all parts of society. On 13 March, therefore, the Ministry of Justice and Defence took over as head of the Ministry of National Coordination for Crisis Management. Internationally, the pandemic has led to the strongest economic downturn since the 1930s. Millions of people were unemployed. In Norway too, value creation is falling sharply. While many enterprises have had to stop or re-establish operations as a result of the disease protection measures, others have experienced lower demand or production constraints due to lack of labour or delays in delivery. In order to limit the adverse effects of virus outbreaks on the Norwegian economy, businesses and workplaces, very extensive financial measures have been put in place. The government has promoted a number of issues for the Storting, with proposals for both general schemes and targeted actions for groups and individual industries. The size ensured rapid handling of cases, but has also contributed to new measures and strengthening government action. We have stressed that otherwise healthy and viable farms should not succumb to virus control and avoid unnecessary redundancies. It ensures profitable jobs and value creation and reduces the risk of high unemployment being permanently fixed. The nature of the crisis, the intervention measures and the involvement of all sectors have made it natural for decisions to be taken at government level on changes in disease protection measures. The Technical Council of the Directorate for Health and the Institute for Public Health has been central to almost all decisions. However, it is the responsibility of the government to take decisions after a complete balance for reasons. A number of decisions had to be taken on short notice and with considerable uncertainty. Some had to be adjusted along the way, and with current knowledge different decisions could be made. However, the government’s assessment today is that the choice of overall strategy was correct. We have also had plans and regulations that were useful when the crisis came. Among other things, the national health preparedness plan, which is the national framework for all types of health crises, and the national preparedness plan for outbreaks of serious infectious diseases have been important. It is also an important principle that all major events should be evaluated. The government has therefore, following dialogue with the parties at Stortinget, set up an independent commission to get a thorough and comprehensive review and evaluation of our management of the covid-19 pandemic. The Commission will look at both the preparedness we had in front of the pandemic and how the crisis is managed. Eventually, it became clear that the measures for the protection of infection were working. The spread of infectious diseases was decreasing, and we could start a cautious tightening of the measures. The government decided that it would happen over time, together and controlled. This approach is still valid. In the reopening phase, the government has chosen to give priority to children and young people first, then to working life and other areas after that. It is based on a recognition of the impact of infectious diseases on children and young people, and in particular those who had a difficult history. The government has therefore been working to put in place measures that will benefit these children ever since the Coronapandemic came. In the future, the government will also give priority to helping students who have lost their progress as a result of the pandemic. On 7 May, the government presented a plan for further management and a timetable for the gradual phasing-out of the most interventional measures. The spread of infection was then so low that the government could change the strategy from shutting down the virus to maintaining control of the spread of infection. We've stuck to the plan. Activities and activities that have been closed have gradually opened up. Something remains, for example: arrangements are limited to 200 persons and the rules for keeping distance. The pandemic has also made it necessary to limit cross-border traffic, with quarantine rules, restrictions on entry and travel advice. It has had major consequences for migrant workers, tourism, trade and people-to-people contact. As the infection spread internationally, the U.D. for the first time in history gave a travel council where all travel abroad was dismissed. When the Global Travel Council was introduced, the situation was very inconceivable. The pandemic spread rapidly. Most countries in the world introduced drastic measures. Closed airspace, closed borders, port bans and quarantine requirements were introduced quickly and often without prior notice. Norwegian citizens travelling were therefore encouraged to go home. From mid-March until today, the U.D. received some 40 000 enquiries from people who wanted advice and guidance on repatriation. Fortunately, most people have come home themselves. But from a few places it is unfortunately still not possible to travel. Some are therefore still in a difficult situation. The Ministry of Foreign Affairs and the Ministry of Transport bisto several thousand Northmen on their return journey, and Norway also cooperated successfully with the Nordic countries and the EU to help the Nordics return home. Now, once again, we can travel in the Nordic region, there are criteria for the disease situation in each region that lie at the heart of it. In addition, each Nordic country will have its own restrictions. We all have to respect these and conform to them. Based on assessments by health authorities, the government will provide more information on travel to and from neighbouring European countries by 20 July. Objective criteria for infection will also apply here. Infectious imports from abroad may pose the greatest risk of the outbreak flare-up. How infection can be included from other countries, so we clearly returned from vacations in Italy and Austria in winter. By taking steps forward, it is easier for us to maintain control. When we chose to open the frontier, it was therefore natural to start with our Nordic neighbours and have a gradual approach to further opening. If this goes well, we can take new steps later. A national effort has been required to control the spread of infection. Many have contributed a lot, and the consequences have been great. Hundreds of thousands of workers have been permitted. In socially critical functions, such as transport, groceries and police, it has been necessary to keep wheels running, despite a contagious disease in society. Their efforts have been important in a critical situation for Norway. All the others who have changed quickly deserve a thank you, for example. teachers and university staff, turning around and creating new digital educational systems, enterprises that have facilitated home offices and that have relocated their operations to ensure the protection of infectious diseases. The hospital staff have changed their business, taken on new tasks and set up in a fantastic way to care for those who have become ill. The same has happened in the care of the elderly. The most important measure to reduce infection has been that we have kept away from each other and limited social contact with friends, colleagues and family. Too many people have just done this heavy. So I want to take the opportunity to extend a great thank you to all those who have contributed to the effort. Accessibility and crisis communication have been important to the government. We have held regular press conferences and participated in newscasts, debates and interviews. Our health services and health services have skilled professionals who have been available to the media and communicate openly about the handling, sharing their knowledge and responding to counter-conceptions. We have focused on creating realistic expectations of the duration and extent of the crisis, communicating clearly the uncertainty that has occurred, and the costs that the crisis could bring to society and individuals. It has been important for the government to ensure sufficient foundations for the adoption of the measures necessary to control the pandemic, while ensuring legal certainty for individuals. In addition, different adaptations have been needed to keep our society going. The most interventional measures have been laid down by law on infectious diseases. These are homes that were already there and that made it possible to respond quickly to the situation that arose. Under the terms of the IPD Act, health authorities and the government have, among other things, laid down rules on quarantine and isolation, the closure of schools, the prohibition of special events and establishments, the expulsion of non-residents without a residence permit and the prohibition of residence on recreational property outside their own municipality. In many areas it was possible to make adjustments by implementing existing regulatory homes. A total of 60 regulations have been laid down on the basis of such existing legislation. However, a number of laws were lacking the necessary regulatory homes. The Korona Act then gave the government the opportunity to set up the necessary measures. The government included: in the early stages of a temporary regulation extending the right of courts to use remote meeting technology. Similar solutions have been put in place in the field of child protection and in the field of health care. The Korona Act ended on 27 May and the regulations were largely replaced by temporary legal regulation. We have been in a situation where it was necessary to act quickly. It has therefore not been possible to carry out normal consultation processes. However, the government has endeavoured to carry out rapid hearings where possible. When regulations have to be set at a high pace, it goes without saying that they do not necessarily have the same clarity and quality as others. An important part of the evaluation will be to look at how we should develop and improve our emergency legislation. In the process of adopting the necessary legislative changes, the Stortinget has acted quickly, which in turn has enabled the necessary measures to be taken. I would like to thank Stortinget for a good cooperation in this period. There is reason to be impressed by how healthcare in the country has worked through this crisis. Among other things, the results of intensive treatment are good. This has contributed to the relatively few deaths in Norway. Considerable efforts have also been made to plan for an emergency situation requiring very high intensive capacity. Rapid training, skills development and recruitment of new personnel have been necessary. We hope, of course, that we do not get there that we need to use this reinforced preparedness, but the experience from other countries shows that it is necessary to have good plans for sufficient intensive capacity in an emergency. Infectious infections and the preparation to receive a high number of covid-19 patients in hospitals have made it necessary to postpone much other activity. In addition, the decrease in activity was increased due to illness and quarantine of employees, and because patients themselves cancelled their hours. On 17 April, as we were given control of the spread of infection, regional health establishments were asked to step up gradually again to more normal operations. Although all hospital wards do not yet have full capacity due to infectious diseases, they are working both to provide patients with a good treatment provision and to gradually reduce the delays that have developed. This work shall also use the free capacity of private partners to reduce waiting times. In the context of RNB, hospitals' budgets are strengthened by over 6.6 billion. kr. In the future, the government will give priority to bringing down health cows, but we must nevertheless be prepared that it may take time before waiting times are down to the level they were before the crisis. This is due, inter alia, to: hospitals must maintain their preparedness for a new wave. In particular, older people over 80 years of age have become seriously ill by covid-19, and more than half of the deaths have occurred in hospitals. It has been a major challenge for municipalities to protect their elderly and to provide good health and care services at the same time. It has been a burden for children, young people and the elderly who receive care services, and not least for their relatives, that there have been very limited opportunities for visits and contacts. Now that the epidemic has been under control, we are making it possible for residents of institutions, both hospitals and children's homes, to be visited as far as possible and to the best of their ability. Several countries, including Norway, have faced challenges to scale up the capacity to test suspected infections. Despite this, in a short time after the national outbreak of infection, Norway was able to reach the world peak in the proportion of the population tested. Since then, the global lack of chemicals for laboratory analysis created new challenges. However, we have now been able to significantly extend the capacity, including: by a NTNU developed method of analysis. Norway now has an analytical capacity that can meet the need for a much more infectious situation than what we see today. We're building a standby to test up to 5 pst. by the population, corresponding to about 300000 persons, each week. But up until the summer, the Public Health Institute has estimated that a test capacity of about 1.5 pst. In most municipalities, the needs of the population are likely to be met on a weekly basis. The municipalities have done a good job of sampling and infection tracking. If the infection situation develops in a negative direction beyond the year, the detection of infection may be put under pressure. We are working on identifying measures that can address this, including: electronic sharing of test responses to citizens and health professionals, simpler testing methods and use of the Anti-Infection Stop app. During the whole corona crisis, the government has been concerned that everyone working in the health and care services should be able to go safely to work and have the infectious diseases equipment they need. We have established a national system for the purchase and distribution of infectious disease protection equipment for the entire healthcare system, including the municipalities. This mechanism has effectively ensured good deliveries in a very challenging global situation. Agreements have been concluded with several Norwegian producers who have converted their activities into the production of vector equipment. We continue to build up stocks and now have better stocks than before. With the orders we have now made from foreign and Norwegian producers, we can meet the need for most of the infectious equipment in the next 12 months. This applies to a situation with widespread spread of infection. Access to medicines is a challenge in Norway and Europe. It was before the outbreak of covid-19. The government has therefore worked systematically over a long time to strengthen drug preparedness. Demand for medicinal products under covid-19 has increased because many countries have started national preparedness storage, and there are challenges in the production of medicinal products and in the global supply chain. The government has ensured access for the population to medicinal products under covid-19 by adopting restrictions on the marketing of exports, rationalisation and priority. In addition, agreements have been concluded with the pharmaceutical wholesalers which increase our emergency stocks of medicinal products in addition to the ordinary stocks. The Government is now assessing, as part of its efforts to strengthen the preparation of medicinal products, the possibilities for the production of some critical medicinal products in Norway. Because the pharmaceutical market and supply chains are global, good international cooperation is also needed. In particular, we work closely with the other Nordic countries and the EU to ensure access to medicines. The situation and preparedness in Norway have enabled us to assist our neighbouring country, Sweden, as they experienced an acute lack of a critical medicinal product for the treatment of covid-19 patients. Today there is no vaccine against covid-19. A large number of vaccine candidates are under development. We don't know today which of these might prove to be safe and effective. Based on lessons from the ebola epidemic, the government launched the establishment of CEPI together with several other countries in 2017. CEPI is a partnership of public, private and humanitarian organisations. The coalition shall finance and stimulate the development of vaccines against selected diseases. The Secretariat is located in Oslo. Norway has increased its contribution to CEPI following the outbreak of covid-19, and a number of other countries have done the same. Until large-scale production of vaccines against covid-19 is available, demand will go well beyond supply. As a small country, Norway is totally dependent on cooperating with other countries in the same situation. Norway will now participate in two new international initiatives on vaccines against covid-19. We're invited to join the Inclusive Vaccines Alliance. France, Germany, Italy and the Netherlands, supported by the European Commission, are behind the alliance, with the aim of supporting the development and production of covid-19 vaccines for both European countries and low-income countries. The alliance is therefore important both to provide vaccines for the inhabitants of Norway and to contribute to a fair global distribution. In addition, Norway will participate in Covax, a global initiative aimed at ensuring access to vaccines against covid-19 in all countries, irrespective of their ability to pay. The government will work for good coordination and cooperation between the two different tracks to strengthen work on fair global distribution and access to vaccines. Fair distribution is a long-term issue of government. Norway helped to establish both the CEPI and the GAVI vaccine alliance and, since the covid-19 outbreak, has been actively working internationally to provide increased funding for the work of CEPI on a corona vaccine. A global crisis requires global management and international cooperation. It is necessary that the World Health Organisation manages to develop knowledge about the virus and the measures needed to control the disease. The government has been clear on our support for the World Health Organisation, and we have actively sought international solutions in crisis management both regionally and globally. The Covid-19 pandemic has shown how dependent Norway is on cooperation with the EU. Among other things, through the EU’s joint procurement mechanisms and the EU’s crisis support instrument, the EU is an important partner. The government has actively participated in EU Health and Justice Ministerial Meetings on the Corona situation. In addition, Norwegian participation in the EU Health Safety Committee, HSC, and the European Agency for Disease Control, ECDC, has been important in our national crisis management. Nordic cooperation has also been important in this crisis. Through close contact between Nordic Ministers for Foreign Affairs, Health and Justice, we have exchanged useful experience and assisted each other with advice, despite the fact that we have chosen a slightly different approach. International cooperation is also about solidarity. Therefore, the government stressed the ability to respond to the EU’s early appeal to assist the most severely affected countries. For three weeks in our work a Norwegian health team side by side with Italian colleagues in intensive departments in Bergamo, northern Italy, which was then one of the most severely affected areas in the world. For the same reason, I have agreed to be involved in leading the international crisis response through the work of the European Commission to provide sufficient funding for the development of a vaccine. The Coronapandemic has made it clear that we need more international solidarity and multilateral cooperation, not less. No country can solve this crisis alone. Therefore, it has been important for Norway to actively support the UN crisis response. Norway has taken the initiative to set up a new United Nations Multi-Party Fund to address the consequences of the crisis. The Fund is in addition to supporting the UN Global Humanitarian Response Plan. Norway has paid a first contribution of 150 million. take political leadership to mobilise international support for the Fund. So the first wave of the pandemic is to say over in Norway. It is now assumed to be just a few hundred infected in the country. Apart from a limited increase in the number of cases detected in some places, there is so far no sign of new national flare-up. But the virus is as contagious and disease-creating as before, and the population is practically as immune as before. It is estimated that only about 1 pst. the population of Norway has been infected. In many municipalities there are no confirmed cases. Our aim is therefore to keep the spread of infection down until a vaccine or effective treatment is in place. Infection in large congregations appears to be an important driving force for the covid-19 pandemic and can explain why the epidemic is shooting at some places. So we are particularly concerned about infection in places where many meet. It is therefore still important to limit the size of events, and the rule of one metre's distance must be maintained. Since there are now few possible sources of infection in the country, we do not expect a rapid, general increase in the number of people infected. However, it is a challenge that the disease can spread rather hidden – between people with few or only mild symptoms – and it can happen for several weeks before some cases of severe disease occur. We are also affected by developments in our neighbouring countries. Europe is opening up. We don't yet know how it will affect the spread of the virus. It is important to detect local outbreaks and major trends as early as possible. Good monitoring systems to closely monitor developments are necessary. Both municipalities and national health authorities play an important role here. The government will maintain the hospital preparedness to deal with a new wave of infected people. The system for testing and tracing infected persons has been scaled up and shall be further prepared. If we experience a new spread, this will become even more important in order to maintain control without having to reintroduce the most interventional measures. The Public Health Institute has stopped collecting data through the stoppage app following the notification from the Data Protection Authority of the temporary prohibition of processing of personal data. FHI continues to work to ensure that the app can be used again, in line with the Stortinget decision. It can provide a good knowledge of the spread of the virus in the population and contribute significantly to the detection of infection. This is therefore important for our preparedness and the ability to cope without the most interventional measures in the event of a possible new outbreak. In order to be as prepared as possible, the government has drawn up a contingency plan with vector measures that can be implemented, locally or nationally, by increasing the spread of infection. The aim is to be prepared to implement adequate measures to prevent infection, but also to avoid measures where we now have better knowledge that costs are high and the effectiveness of infectious diseases is low. Targeted local measures could contribute more than national measures to the maintenance of activities by businesses. If a local infection situation occurs that has only consequences in one municipality, it is the municipality which, according to the infectious disease law, takes decisions and implements infectious diseases control measures. Each municipality is responsible for the anchoring of decisions in national management. If local infection affects several municipalities in a region, it is recommended that municipalities coordinate emergency plans to ensure that the measures for the protection of the infection constitute an overall response. In the case of specific intervention measures, the measures shall be coordinated nationally. We believe that we are well prepared for different scenarios, and we have planned for situations with a lot of infection in society. In parallel with the gradual reliefs in the infectious diseases control measures, the activity of the Norwegian economy has taken a part. Although the unemployment rate is still high, there have already been 130,000 fewer unemployed since the peak in April. The Government believes that the main task of economic policy now is to facilitate the continuation of positive developments. On 29 May, the government presented a strategy for the economic measures for Phase 3 – Norway’s way out of the crisis. At this stage, we have to get the wheels of the Norwegian economy going well again, while the infection must not come out of control. Work on the strategy has been based on advice from experts and on input from organisations and businesses. The Government, in its proposal to the Stortinget, has made proposals for financial measures to: get people back to work ensure more legs to stand on creating a greener future increase competence by implementing the Education Commitment 2020 include more These measures have been well adapted to the needs and are mostly temporary measures to be reversed as the economic situation improves. I also refer to the debate on these issues later today. I'm sure it'll be comprehensive and good. It has been right and necessary to spend a lot of money to avoid an even greater crisis with multiple bankruptcies, more unemployed and greater losses for businesses and individuals. Uncertainty about further development is high, especially this year and until next year. We still know little about the virus development in the future and whether we're getting new waves of infection. It depends not only on ourselves but also on developments in other countries. And we still don't know how hard the fall in the oil price and a weakened world economy will hit us in the long run. The reduction in unemployment has been very rapid in recent years. We must be prepared for a slowdown in the future. The number of bankruptcies so far has been moderate, but may increase. We also don't know if we're going back to the old normal, or whether the pandemic will set long-term tracks that change what we think is normal. Much depends on whether we find a vaccine and on how long strict infectious measures must be maintained, not only in Norway but also internationally. But we are following closely and will adapt economic policy – even with new measures if needed. Several schemes, including the compensation scheme for large-scale enterprises and the new support scheme for taking leave of employment, are scheduled to last August. The government will assess the need for any new arrangements beyond the autumn in dialogue with employees’ and employers’ organisations until August. Good cooperation with the social partners will be important in the future. I would like to thank Storting's ability and willingness to deal quickly with matters in the time we have left behind. Although of course there have been disagreements, I have felt that our common desire has been to do the best for all who live in Norway, and that it has shaped the cooperation. I hope for continued good cooperation also in the future. The government has planned for the summer in terms of the management of infection. We want to keep control and we're still going to move forward gradually. In the future, testing, isolation and tracking will be important to maintain control. We're building a step-by-step opening of the frontier and we're prepared to quickly shut down new outbreaks locally. At the same time, the situation is unpredictable. Acute situations may arise in other areas of society that need to be resolved quickly. The government will therefore have a high level of preparedness during the summer. I ask that Stortinget also have such a readiness, if there are issues that require prompt treatment. We have had and will still have a very difficult situation due to covid-19. The situation in the world is not clear. We have to open up as much as we can, but without losing control, and turn around in time if the situation gets worse. We have to continue the hard work that we've started, and get the business and the economy going again. When the Minister of Health briefed the Stortinget on 10 March, there were 100 000 confirmed infected in the world. Today, more than 8 million have been confirmed infected, and almost 450,000 have been registered dead. There's a lot of darkness, and the spread of infection in the world is still growing. In Norway, 244 people have disappeared as a result of covid-19. Compared to many other countries, it is a low number. We're going to show humility in the meeting with other countries that are much harder hit. The 244 Northmen who have gone away are also deeply missing. Several of them died without their closest around them, in a way that we do not associate with a worthy end of life. It emphasizes the seriousness of the situation. The pandemic continues to cause serious illness and to kill. It is our joint responsibility to contribute to preventing it, in solidarity with those who are hardest hit by the disease, our elderly and those who have other diseases that make them vulnerable. We have prepared as best we can in summer and autumn. We are prepared to act quickly again if it becomes necessary. My last call today is that we all remember the seriousness, even when we are going to enjoy the sun and summer and have a vacation.
ParlaMint-NO_2020-06-19.ana.ud168e527	The President will now, according to the Rules of Procedure of the Storting § 45, open up for a short comment round, limited to one post of up to 5 minutes from each party group and final statements from the Prime Minister.
