ParlaMint-NO_2020-02-26.ana.ud57e28	The representative of Marit Knutsdatter Strand will present a proposal for a representative.
ParlaMint-NO_2020-02-26.ana.ud57e119	Eirik Sivertsen – for follow-up questions.
ParlaMint-NO_2020-02-26.ana.ud57e124	Governments insist that the free revenues are important for the ability of municipalities to prioritise. But the local economy is under strong pressure, and the government's own figures show that since 2017, there has been zero growth in the free income of the local government sector. So the municipalities haven't really got a single extra dollar to go through the last few years. In the context of the KS’s budgetary inquiry: ‘It has become clear that the budgets have become more demanding to go up.’ The justification is a heavy pressure on health and care expenditure, which we also heard here instead. If the current government had continued the growth of the Stoltenberg government in the free income of the municipalities, the sector would have had significantly more money to go with in terms of free income, about 15 billion. kr in the period during which the government has ruled. The right-wing government now gives municipalities a triple click: low income growth, underfunded tasks and restrictions for municipalities to raise their own income. Can the State Council confirm, as has been stated to the Stortinget, that since 2017 there has been zero growth in the free revenues of the municipal sector? And will the Council of State continue this impoverishment of the municipalities?
ParlaMint-NO_2020-02-26.ana.ud57e139	I totally disagree with the reality description of the municipality's economy. The average growth in free income per capita has been higher during this government, up to 2018, than it was under the Stoltenberg government, and as I said, we have added 30 billion to the municipalities. kr under this government, which enables municipalities to invest in kindergartens, schools and care for the elderly. In addition, the municipalities enter 2020 with a VAT growth after the revised budget of 6,6 billion in 2019. kr. This is a good starting point for 2020. So I want to say that we have to prepare for a time when the nation collectively is going to have less money available. This means that politicians like the representative Sivertsen face tough times, for his answers to all challenges are more money. We have to think again about how we solve the problems, we have to focus more on innovation. This must apply to the country, but it must also apply to the local government sector. That's why I'm also going to present a big message about innovation in the public sector, because this is going to be important in the years to come. Everything can't be solved with more money.
ParlaMint-NO_2020-02-26.ana.ud57e146	Eirik Sivertsen – for follow-up questions.
ParlaMint-NO_2020-02-26.ana.ud57e151	There is no contradiction between investing in the community – providing good childcare services, better schools, health care and good health for the population – and driving innovation. On the other hand, if you want to do so, you have to give good enough framework conditions. Governments do not deny what has previously been stated to the Stortinget that there has been a zero growth in the free income of the municipal sector since 2017. He may again have the opportunity to correct it if he believes it has given incorrect information before. The thing about the municipal economy is that yes, there are a few municipalities on the ROBEK list. I'm happy about that. There are many municipalities that have profits. That's very good. What you don't have to be clear about is why you go with profit. It's because you have extraordinary tax revenues despite the government's policy – there's not been anything that the government has foreseen, because then you would have put it in. There have been lower pension costs — even despite government policy, there was nothing caught up in the assumptions of the municipal bill — and correspondingly lower demographic costs. The point is that a policy is being pursued that is impoverishing the municipalities. So the question is, will you continue this policy, or will you increase the economic space of the municipalities?
ParlaMint-NO_2020-02-26.ana.ud57e160	If this government conducts a policy that defuses the municipalities, you can ask what the previous government did. When the growth of the free revenues is higher under this government than under the previous government, it seems that the representative Sivertsen's criticism falls on his own unfairness. So I'm glad the representative is interested in innovation, but I can tell you that when I was Minister for Digitalisation, there was little interest from the opposition in how to use digitisation to drive innovation in municipalities. It's fine if the opposition is now going to change it in the future, because it's going to be necessary. We've given the municipalities a solid financial framework over the last few years, but that doesn't mean there's a redundancy horn for the municipalities out there. It's never going to be. The important thing is to have a good framework to provide citizens with the services they expect, deserve and have requirements for, within kindergarten, school and care for the elderly, and that we are well equipped for the years to come. The economic starting point in 2020 is good, and it is partly the government's profit that tax revenue rises, because more people come to work thanks to a successful industrial policy. But I'm sure the Minister of Industry could say more about that.
ParlaMint-NO_2020-02-26.ana.ud57e169	Heidi Greni – for follow-up questions.
ParlaMint-NO_2020-02-26.ana.ud57e174	Still narrower municipalities, especially for small and medium-sized municipalities, make almost all of them report having to make significant cuts. In most municipalities, this affects the elderly. In addition to tight frameworks, new expenditure has been incurred by municipalities. Local government expenditure on early care has increased sharply in recent years because the number of younger people in need of care has increased, but in particular because the state is taking an increasingly smaller share of these costs. Increased participation in the care of young people in the health and care budget necessarily means less to care for the elderly, and we clearly see the consequences of this around the municipality of Norway. If the Council of State considers that there are so liberal budgets, can he give some examples of the alternatives the municipalities have to cut down the necessary, without affecting the care of the elderly, when they have a nursery standard that binds up and limits the space for action, and a school standard that limits the space for action?
ParlaMint-NO_2020-02-26.ana.ud57e181	It is absolutely necessary for municipalities to prioritize within their framework, but my point is that the economic base of municipalities is good when we go into 2020. It's both because we've had a growth in free income, and because it's a VAT increase that benefits municipalities. Then it is a concern that the efficiency of the municipal sector has fallen in recent years. We need to implement both digital and innovative solutions that allow municipalities to improve the efficiency of their operation and thus release resources that can be used to make the service provision even better. There is therefore a need for further innovation in the municipal sector. I am very pleased that the KS has launched a partnership for radical innovation, which hopefully can help us to just release resources to provide even better services to the population in the years to come.
ParlaMint-NO_2020-02-26.ana.ud57e188	Karin Andersen – for follow-up questions.
ParlaMint-NO_2020-02-26.ana.ud57e193	If we choose to use the values we have to secure the community and, for example, the community. that older and sick people can feel safe in the future – the value we make in this regard – becomes very important because if we can afford what we see in front of us now, and as we all know, there will be many more older people. I don't feel sure that the Council of State and the government are on the right side on that issue, because it seems as if they prioritise tax relief for the richest in front of the security of the sickest and the elderly. I don't think sick and elderly people feel much safer of all this talking about technological innovation either. They know that more employees are needed to do the job around the municipalities. Then you have to have money to hire people. Does the Council of State see the need for a large increase in the number of future employees in these sectors in order to meet the growing task?
ParlaMint-NO_2020-02-26.ana.ud57e200	Yes, in some areas there will certainly be a need for more employees to do the problems in a good way. At the same time, we have to see if we can solve these problems in new and better ways to get the resources to go further. These include: making use of welfare technologies, which can provide greater security for people in their homes, and which can therefore extend the resources of home services. We're going to make sure that people do the things that people are best at, and that you meet with just warm hands rather than a cold shoulder. But the added security that technology provides can make resources better used than we might get today. Here's a lot to go on in the years to come. We have to take a power cap to get to this. It is important that values are created before they are shared, and once the municipalities have had a VAT increase in recent years, it is precisely because more people have come into work. It is important to be able to finance welfare services.
ParlaMint-NO_2020-02-26.ana.ud57e209	Karin Andersen – for follow-up questions.
ParlaMint-NO_2020-02-26.ana.ud57e215	I'm beginning to approach this age and really hope that society has something else to do with if I sit alone in an apartment and don't get food, than a refrigerator that tells me that 'Now, Karin, it's four hours since you last ate, so now you have to look and open the locker door.' I have a report from the Hospital Inland – and I know that this is similar in all hospitals – where it says that the division of tasks between primary and specialist health services in the future will reduce the number of days spent by 20 p.m. So here we're going to plan for a health care service that has 20 pst. the treatments currently carried out in hospitals are to be carried out in the municipalities. It is also in the light of this that the new municipal minister has to take a walk around the municipalities and talk to those who do the job, because what we do today is not going to last. Well-being technology can help a little bit in some areas, but we have to train and hire enough people to do this job if we're going to be safe. Then we must give priority to money for this rather than putting money in our pockets for those who are already the richest in this country.
ParlaMint-NO_2020-02-26.ana.ud57e222	I fully agree that welfare technology alone will never solve this challenge, but it was one example of something that we have to apply much more systematically in the years to come in order to give older people a safer and more dignified old age. It is important to stress that the vast majority of older people are a resource, and we need to ensure that it is attractive for older people to stay longer in work and contribute to the community, so that we can finance welfare services in the years to come. Many older people want to work longer, and we have to give them that opportunity and facilitate it. I am absolutely sure that the representative Karin Andersen has many good years ahead of her in the workplace where she can contribute to the community – and that is good. I am still concerned that we need to facilitate the creation of values that can finance all those who will work in the healthcare system, whether it is in the specialist health service or in the municipalities, in the years to come. It is therefore important that we have an industrial policy that makes it possible. It is important for the ability of municipalities to provide good services.
ParlaMint-NO_2020-02-26.ana.ud57e231	Let's move on to the next main question.
ParlaMint-NO_2020-02-26.ana.ud57e236	My question is also addressed to the Minister of State. There are many who become politicians after meeting the bureaucracy in planning and construction. Building a house, disfellowshipping an area or building a garage or a nudity is often a matter that people think should go well, but it's before they meet the bureaucracy and difficulties with the Environmental Protection Department of the County or County – in the first row. Therefore, many of them turn to us in the Progress Party, which is a bypass party for most people, and who want us to have yes-communities looking for a reason to say yes over a reason to say no. For us, it is an important principle that one places great emphasis on local democracy in planning and construction matters. Property law is another important principle. We want to simplify planning, reduce planning time and ensure that plans are not worthless to developers. At the time when the Progress Party was in government, we got a good deal done, but we're far from in goal. The Ministry of Local Affairs has decided more than 150 cases since the government change in 2013, and the municipalities have been given a little more than 80 pst. of them. In comparison, it was a little under 40 pst. under the red-green government. But after the Progress Party went out of government and Astrup was the municipal minister, the ministry has decided three things, and now the statistics are worse than he was under the red-green, because now the statesmen have got a say in all the cases and local democracy in none. The Ministry of Local Affairs has not approved a plan in the Municipality of Oslo at Huseby, the Ministry of Local Government has not approved a plan in the municipality of Vestby, nor has the Ministry of Local Government approved a plan in the municipality of Ulstein. So my question is, is there a change of course with the Progress Party out of government, where the state now gets to decide more and local democracy less?
ParlaMint-NO_2020-02-26.ana.ud57e249	Thank you for the question. The government wants to increase the local space for action in planning and construction matters. This is demonstrated, inter alia, by: by the government’s political platform, the Granavolden platform, which is well known to the representative, which states that the government will strengthen municipal autonomy and reduce state and regional detail management, and that ownership should be a guiding principle in laws and regulations. It also states that we should provide local action by extending the dispensation of municipalities from existing locally adopted plans within the framework of national legislation. The Ministry will shortly submit proposals for amendments to the provisions of the Planning and Building Act on exemptions to be consulted. Today's exemption provision has strict conditions for exemption, and Fylkesen, as the Board of Appeal, may review the judgements of municipalities in all forms of exemption cases. We want a clearer distinction between issues where national and regional interests are involved and issues where the municipality must have greater freedom than today to find the best solution. We therefore believe that national and regional interest considerations should be clearly identified in the exemption provision. At the same time, the assessment of the benefits and disadvantages of an exemption shall be subject to the discretion of the municipality, so-called free discretion. This means that we want to lower the threshold for when a derogation can be granted, by removing today's requirement that the benefits of granting a derogation must be clearly greater than the disadvantages. Today, there is limited scope for emphasising the interests as an advantage in the dispensation assessment. We therefore want greater access to focus on the respondent’s own assessments of what is the best solution based on their own needs. So this government has not only legislated municipal autonomy, we also want municipalities to have greater authority in planning and construction matters, and I therefore agree with the representative in his approach to this matter.
ParlaMint-NO_2020-02-26.ana.ud57e262	Thanks for the answer from the Council of State, which is a good word – we have heard a lot of this in letters that go to the statesmen as well. Unfortunately, we do not always see that the words and expectations that have been created are involved in concrete action. Among other things, when a letter is received, the number of countersigns from the statesmen should have fallen. However, in 2018, the statesmen have raised more contradictions than in 2017 despite the fact that they have received letters. I'm glad that the government will do something on the dispensation page; it's a germ for irritation in local politicians that the county officials are always out of control. It is in particular that a sitter should decide complaints, to a great extent irritation, because then it is not the department or the council that is responsible for the decision of the Storting, but a bureaucrat at Fylkesmannen. Is there anything the Council of State would like to see – that one should raise the issues of which, with the new practice, is getting fewer, into the ministry, so that it is not a sit-by that decides individual matters, but the ministry?
ParlaMint-NO_2020-02-26.ana.ud57e269	I think it's important to stress that there's a very small proportion of the objections that end up at the department's table in a year. That threshold has become significantly higher than it was before. This means that in most cases you will probably be reconciled – either in the municipality or between the county and the municipality – before it ends on the government’s table. Then it is important to distinguish what is legitimate local interest, where the State should exercise care to review local discretion and what is significant regional and national interests, which are, of course, a matter for the State to have an opinion on. For example, we don't have that much high-quality food soil in this country. Therefore, in some cases, we will have to review the assessments made by the municipality, in order to preserve the limited food soil we have in this country after all – as was the case in West Town last week.
ParlaMint-NO_2020-02-26.ana.ud57e276	It opens for follow-up questions – first Helge André Njåstad.
ParlaMint-NO_2020-02-26.ana.ud57e281	It goes without saying that there won't be many things on the table of the department when the department has delegated the authority to the seats. Then things end up on the table with the neighbour, who is largely in agreement with his colleague and disregards local democracy. I hope that my recording will be more carefully looked at, because there's a big germ to put a set of local democracy aside. Another challenge when it comes to plan and construction is that all the regulations that create major problems for those who are going to buy housing, because isolation is as stringent in the South as in Røros and Karasjok. Technical requirements are being imposed that cost the construction process and make it more expensive in a lot of district municipalities to build a house than one can afterwards. Here, the Progress Party wants to simplify – make things easier, so that more people get into the housing market – as well as we want to regulate and build more buildings. What are the plans of the Council of State when it comes to simplifying the planning and building laws in addition to the building regulations?
ParlaMint-NO_2020-02-26.ana.ud57e288	I am, of course, a follower of simplifications in the Law on Planning and Building. At the same time, it is important that we have a balance. Often it will be so that it makes it cheaper for those who build out, and more expensive for those who live there. We must maintain that balance. We want new dwellings to be built in large monn because it gives not least young people the opportunity to enter the housing market. It must not be too expensive to build dwellings because it must be possible for more people to become self-owners. At the same time, there are some demands we have to and should be silent because the building mass is going to be there for a very long time. This means that it is important how the building is listed. The second is that if we have any requirements at the bottom, the cost of making use of the building for the person who is going to live there will be lower. So here's a balance, but I don't have a problem supporting the representative's overall approach to this issue.
ParlaMint-NO_2020-02-26.ana.ud57e293	Helge André Njåstad – for follow-up questions.
ParlaMint-NO_2020-02-26.ana.ud57e299	Thank you for your answer. It's nice that a superior agrees with us, but the details of these matters are local, and that's when one experiences the problem that the statesmen produce too many contradictions – they don't take over the signal that now it's going to be easier to build. The fact that one is in agreement with it does not help those who are going to buy the dwelling for the first time, when demands are made that are immaterial and cost-effective. But it's good that the council has an involvement in this field. We've felt that we got started well after 2013, and then the interest and commitment for this field have dropped. I am glad that this Council of State will put forward proposals for the Stortinget. If there are simplifications, the Progress Party will help make it easier for local democracy and cheaper for people to buy housing. I challenge again: What more simplifications can we expect in the future, and is this an area that this Council of States will give more priority to?
ParlaMint-NO_2020-02-26.ana.ud57e304	It is important to stress that there have been significant simplifications in the Planning and Building Act during this government, and that I have an ambition that this work will continue. I'm not in the position to go into detail about it now, I think the representative also understands, but there's no doubt that my goal is to simplify the planning and building law. We have to make sure that we do it in such a way that, at the same time, we take care of some important interests along the way. Then not all demands contribute to making building more expensive, on the contrary, there are some demands that are made because it will be better for those who buy the homes. If you, for example, to build a new apartment complex, you have to add to the building already when you bring it up, so that you can add Wi-Fi to the building. It makes it cheaper for each resident, who then escapes to draw wires afterwards — as an example. We must have two thoughts in our head at once and ensure that we have the interests of those who are going to live there, with us, while at the same time taking care of the builder's interests.
ParlaMint-NO_2020-02-26.ana.ud57e311	Let's move on to the next main question.
ParlaMint-NO_2020-02-26.ana.ud57e316	My question goes to the Minister of Industry. Norwegian ownership is an important goal for the Center Party. We think ownership means something, and how companies act is influenced by who's the owner. Ownership becomes more responsible when not sitting on the other side of the globe. Since the change of government in 2013, the struggle for national ownership of businesses, infrastructure and natural resources has been particularly important for the Centre Party, for we then received a political plurality, with the Progress Party, the Right, the Left and the Christian People's Party, which, in the view of the Centre Party, challenges the Norwegian and national ownership. We've been behind us for a few years when the government of Solberg has sold or proposed selling businesses and weakening laws and conditions that ensure national control of infrastructure and natural resources. There are many examples: For 200 years we have had a Norwegian national exchange in Norway. Now, Oslo Børs has been a branch run from Amsterdam in the Euronext stock exchange group. The government has resigned from many companies, and even more have been proposed under the hammer to be sold out. The Central Party believes that national ownership and state ownership can be an important tool in securing national ownership. In spite of this, the government has submitted an owner's message saying that the goal is to reduce the state's ownership. Norway is a rich country, but when it comes to ownership in Norway, we act like a poor country, selling away to keep shooting floating. So my question to the Minister of Industry is simple: why is it an independent goal for the government to get rid of stately and thus often also with national, Norwegian ownership?
ParlaMint-NO_2020-02-26.ana.ud57e331	As the representative himself is involved, the government has now submitted a statement of ownership that is being processed in Stortinget, so there is also a chance for Stortinget to express its opinion on what is in the Storing Message. What matters to me is that we have divided our ownership into three categories. The Category 3 companies are companies we have good reasons to own. There are companies that carry out important tasks in our society. The Category 2 companies are companies in which we aim to have the highest possible return over time, but where there are other reasons to own the company than just the highest possible return. Then we have the Category 1 companies, where our goal is to have the highest possible return over time, but where we also at least ask for the opportunity to sell ourselves down or sell us out, precisely because there are no reasons beyond the economics to own them. Then we take an assessment of whether and when it is possible to sell or sell out. What is important for me also to stress to the Stortinget is that Norway, as a nation, owns a large proportion of the values on the Norwegian stock exchange. It's quite unusual if you see it in a world context and with other countries that we can compare with. The reason why we own it can be good, but we have to take an entire assessment of why we own it. If there is no reason to own, we need to assess how we earn the most money on the ownership we have. If selling us down or selling us out, we do. But the Category 2 companies, where we have targets not only of returns over time, but also of other goals, are just about what the representative addresses. It's about that we want to keep, for example. main function in Norway, and that important professional environments we want to maintain in Norway. That's why we're separating the companies that we own.
ParlaMint-NO_2020-02-26.ana.ud57e342	I notice that not only is it pointed out that state ownership can be a means of securing national ownership. And that might not be so strange, because Councillor Nybø has turned out to be a very active auctioneer. Just a few days after she had taken over as Minister of Industry, it was the first time, the second time, the third time – sold! And then, GIEK Credit Insurance had gone from being a wholly owned Norwegian company to becoming a French company, a company that ensures annual credit for 60 billion. kr. Most of it is related to the fishing and seafood industry. Sal happened to marine food protests. On the company's website we can read that they have roots back to the 1920s, they are the only Norwegian-owned credit insurance company and Norway's leasing trade union on the insurance of short-term customer credit. This shows that the government does not understand the value of national ownership – and sell company. The question is why. Did the state have the money, or did one just want to sell it for ideological reasons?
ParlaMint-NO_2020-02-26.ana.ud57e349	Firstly, the government sees the absolute benefits of national ownership. That's why we've divided the companies into three different categories. For Category 3 and Category 2, we have reasons to own: it may be because we want to have professional environments in Norway, and it may be because we want to have head offices in Norway. It could also be because we see that there are good reasons besides having the highest possible return over time as a reason. But for those companies that are in category 1, the highest rate of return over time is the goal, and there we take a concrete assessment whether it is, and when it is, good to sell out and sell down. It's a purely commercial assessment we take on a case-by-case basis. We did the same when it came to credit insurance. There we had the opportunity to either sell ourselves out, that is, sell the company, or possibly liquidate it. I believe that the solution we have now found for GIEK Credit Insurance is a solution that is good for the nation, good for the employees and good for the company.
ParlaMint-NO_2020-02-26.ana.ud57e356	There will be follow-up questions – first Geir Pollestad.
ParlaMint-NO_2020-02-26.ana.ud57e361	These schemes are not just about those companies, whether they are Norwegian or foreign, they are about the framework conditions for the rest of the Norwegian economy. For we are a country that sells wind turbines and offshore wind turbines to abroad, we sell ships to abroad, we trade sea food, we trade technology related to oil and gas industries – a number of export companies depend on schemes that relieve the risks associated with whether they are paid for the goods they sell, and that they are not fooled by export. There are different schemes. The French company, as it has now been, like credit insurance, is one of these tools. The second is Export Credit and GIEK itself, which is an important tool for Norwegian business. Then my question is: can the Council of State guarantee that the other companies that operate export-related measures will not be sold, or will not be weakened, but that they will remain as Norwegian companies?
ParlaMint-NO_2020-02-26.ana.ud57e368	In the ownership message we presented to the Storting before Christmas, and as the Storting now has to deal with, we present what is our policy of ownership in these companies. There we have put the companies into different categories, and that's also for the Storting to see what is our intention with the companies, and for the Storting to have the opportunity to express its opinion. When it comes to exports, I fully agree with the representative that this is important. It's important for our business, and it's important for our well-being that we get exported goods that we produce, that we can sell them to other countries. It brings me to one of the other very important conditions for us to be able to export our products, namely the EEA Agreement, which the representative is opposed to. Without a market to sell the goods to, we don't have the opportunity to export. There is hardly enough that is as important for exports in this country as the EEA Agreement.
ParlaMint-NO_2020-02-26.ana.ud57e375	Terje Aasland – for follow-up questions.
ParlaMint-NO_2020-02-26.ana.ud57e381	Let me begin by congratulating Iselin Nybø on his appointment as Minister of Industry. I look forward to cooperation in the Biggest on important, big tasks, including state ownership. It has been very clearly expressed through the ownership announcement that the state has a goal of reducing government ownership. It is the main points of the notification, and the Council of State said even when she sold what was now referred to as credit insurance, that the State should only own where there are good reasons for it. The idea is that as long as the political ambition is to sell down, there is perhaps a stronger reason to sell the companies than to maintain ownership of the companies. So I could imagine what the Minister of Industry thinks about using state ownership to develop Norwegian business and Norwegian opportunities.
ParlaMint-NO_2020-02-26.ana.ud57e388	First of all, thank you for the congratulations. I hope and look forward to constructive and good cooperation with the Labour Party in the Committee and in the Stortinget. I think the state should own where we have a reason to own, and we have that in a lot of cases. There are good reasons to own companies for, for example: maintaining its head office and its consequences in Norway. There are good reasons to own companies to keep important environments of competence in our country. The fact that we own as much as state – unusually much, I would say – of the values on the stock exchange is due to a historical development. It is a desired policy that we own what we own today, and it is precisely because we want to maintain important environments of competence in Norway. I think it has been important – and it is still important – to develop our business in general. There is a lot to say that we have just as much competence as the companies we own here in the country.
ParlaMint-NO_2020-02-26.ana.ud57e395	Terje Aasland – for follow-up questions.
ParlaMint-NO_2020-02-26.ana.ud57e400	Now maybe I don't think we own an unusual amount of money on the Norwegian stock exchange. I think we own companies that make sense to own with the background of what we have of resources, and what we have of opportunities. I also think it's detoxifying important companies like, for example. Unfortunately, credit insurance is to go in the wrong direction, especially at a time when we need to convert Norwegian business and use new opportunities – or discover new opportunities to use new opportunities. One of the big things we're facing is climate change. How are we going to meet them, how are we going to be able to develop one, we're going to say, green business, and how are we going to be able to use many of the amazing opportunities we have, just to reinforce and make the opportunities realistic? We clearly believe that state ownership in such a perspective should be strengthened and not weakened. We mean, for example: that the role of Equinor in the future towards the global renewable position is also essential for the country to have a ownership. We have been out there and launched the idea that we should perhaps have a state hydrogen company as a significant opportunity in a green shift. Does the Council see any such possibilities, and will she also be able to imagine that strengthening state ownership can be positive?
ParlaMint-NO_2020-02-26.ana.ud57e407	I think that's good reason to own a lot of the companies that we own. So I'm concerned that we have to distinguish the roles that we have as a state, and we have to manage our ownership in a commercial way, so that companies can compete in a market that is equal to other companies. We cannot use our ownership in such a way that we do not achieve the goal of getting the highest rate of return over time, because we manage the taxpayers' money, we manage our common assets. Then it is the goal of getting the highest possible return over time that must be crucial for how we manage that ownership. Then the state has other roles – we regulate, we facilitate, we have companies like that. LIKE credit insurance, which contributes to much of our businesses, but we have to distinguish the roles of the state as manager of ownership, and the state that facilitates... [[President clubs]]
ParlaMint-NO_2020-02-26.ana.ud57e414	Time's up. Let's move on to the next main question.
ParlaMint-NO_2020-02-26.ana.ud57e421	The light was great among the people and workers on Stord, in Gulen and in Windfjord when Kværner won the task of building Equinor's new floating sea wind turbines on the Tampen in the North Sea. This may be the start of a whole new industrial adventure, and it didn't come too soon. The future of the petroleum industry and all the workers in the industries related to it is most uncertain over the next ten years. It is just a project that, among other things, floating sea winds that could be the saving for these strong industrial environments. But we all know that this is just a pilot project. The government has been silent as a mouse in the question of whether there will be targets for floating sea winds in Norway, with conditions that allow us to take an international leadership role and build the Norwegian supplier industry. When Erna Solberg visited the Norwegian supplier industry in the fall, she received an unsolicited and unisonous demand to put ambitions and money on the table, so that we could build new floating sea wind farms on the Norwegian seas. But nothing happens. Following a new SINTEF report, we can develop more than 50,000 new jobs if we quickly impose the conditions for floating sea winds. Had we had the conditions in place to build carbon capture and storage facilities, it could provide between 30,000 and 40,000 new jobs. For battery production, the same report estimates that 15 000 new jobs could be created. But all this has led to conditions being right for it, and that it is political will. It hasn't been. The government has already set its mouse still, but it is betting instead of opening up new fields and facilitating more investment and production in petroleum. So my question to the Minister of Industry is, can the Council of State explain this business strategy?
ParlaMint-NO_2020-02-26.ana.ud57e432	I cannot go into what is the oil and energy minister's portfolio here from Stortinget's pulpit. Questions relating to her portfolio must be addressed to her. But on a general basis, I experience that we have a supplier industry and an industry in general that is engaged in being part of the green shift, which is occupied by lying in front of the green shift. It's also about their market share, and it's about their competitive situation in an international context, because they see the world as such going through the green shift, and being in front also gives them market shares internationally. I feel that we have an industry that is offensive, not least the industry that I am responsible for, the maritime, and that it is an impatience. But it's not just about what the state is going to do; it's also about what they're going to do. Then there's the connection between the state's instruments and what we're going into both on the research side and on the development side, and what they're going to contribute from the industry. That's the combination that makes us succeed and actually strengthen ourselves into the green shift, which happens not only in Norway, but throughout the world. But to go into what's in the Oil and Energy Ministry's portfolio, I can't do it here.
