ParlaMint-NO_2020-11-05.ana.ud400e60	The representative, Kjersti Toppe, will present a proposal for a representative.
ParlaMint-NO_2020-11-05.ana.ud400e395	There is reason to be concerned when the infection again increases in society. We have a responsibility both to prevent the spread of infection and to ensure that our welfare services work well for everyone, especially those who need it most. Health care has been neglected over a long period of time, and there has been insufficient response to the long-awareness of the shortage of nurses and health professionals. In the spring several health care professionals working with children and young people were assigned to carry out infection tracking. Then we saw that school and health care concerns were falling in number. This underlines the importance of having a good basic staff with full and permanent posts, both in hospitals and in municipal welfare. It is important to ensure that well-being workers can continue to do their job while ensuring their testing capacity. Red jobs for common well-being for all, strong enough to meet a crisis without affecting the needs of those who are already exposed, which is happening in Norway during this crisis. The patchwork of different advice and rules, local and national, is becoming fairly extensive. Last week the government had to have an extra press conference to explain the pedagogical in this. In order to be effective, the level of familiarisation and follow-up of the infectious agents must be as high as possible. In any case, it is good for the government to ensure that the disease prevention measures are clear, accessible and understandable to all of us. Then there are some professional groups that are more susceptible to infection, including: because they meet more people in connection with work. The Public Health Institute has produced an overview of this. Everyone must be guaranteed the safest working day as possible, both at work and on a journey to and from work. What should the government do to ensure that people who cannot have a home office can have as safe a working day as possible, and will the government consider that the public now ensures that everyone who is dependent on taking a bus, train, tram or path to work is given access to a mouthband? We want an answer to that. It is in times of crisis that democracy is really put to the test, and it is good that the government is now coming to the Stortinge to anchor crisis management. When the government tried to give itself unnecessary extended powers in March with the Korona Act, Red was the first batch to call against it. We cannot accept that the Storting and the People's Government are placed on the sideline, either then or now. The next government should do now, is give the Storting a new crisis package for treatment, because still almost 200,000 people are totally or partially unemployed. In the first package we received for treatment in Stortinget, the government tried to send the bill to workers who were on leave. It corrected the bulk of the population in cash. This week the government made the cut right in the day money from New Year's Eve. Like so many other measures for the unemployed, this came after a lot of pressure, and it also came in the last second. I wonder if the government is thinking about what unforeseeableness and insecurity this creates for all the unemployed and their families. Some people still hit very hard are the long-term unemployed. They have not been taken part in the increase in the daily allowance that others have received. Due to covid-19, the daily allowance period was extended for those on the AAP, unemployed and on leave who were about to expire on a maximum of daily pay. Sunday was the end of this. Now people will fall out of the paycheck in thousands. It could be about 8,000 people this and next month. Next year we might be talking about 18 500. It's about twice as many as usual, and there aren't many new jobs ready to wait for these people. The government is also fully aware of this. These people who are now falling out of the daycare system will next summer have no particular money to pay their bills with, because the government has removed the holiday supplement from the daycare allowance. And when the government at the same time is $13 million. kr to Kurt Nilsen and Jan Fredrik Karlsen, it is time to make sure that the long-term unemployed do not lose the safety net and end up on a bar. They must also receive an income hedge. We believe that the government must come to Stortinget and straighten it up, and that is a priority for us in the future.
ParlaMint-NO_2020-11-05.ana.ud400e412	Let me comment on some of the comments that have been, and some of the questions or issues that have been raised. Let me first take the opportunity from Stortinget's pulpit to comment on some twitter messages. I see that someone thinks it's illogical that we ask people to be home, and at the same time, the alcohol service shuts down at noon. 24th@item: inlistbox We believe that we are still going to have things that work in this country, with a lot of infection, but each of us has to make sure that we put maximum restrictions on what is not perceived to be absolutely necessary and absolutely essential that we do the next few weeks. That doesn't mean we're shutting everything down now, but there's a context in what we're doing, and the main challenge is: think about whether you actually have to do things that make you too much in contact with others. In any case, you must comply with strict rules for the protection of infection. Let me start with the statement that last week it was hard to understand the advice. I recorded that there was a debate among some politicians and journalists. I want to remind you that the verdict is out. The polls show that most people understood the rules and did not see them as difficult – that there was more excitement about the measures and greater clarity, and that people understood what we had proposed. We saw that through the measurements that were made over the week. Then there are some themes that have gone on again. One of them is mandatory testing. Our background for not proposing mandatory testing is the professional recommendations we get to use resources in the monnet we need on the frontier, that we should do that, is the wrong priority of use to combat the infection now. That doesn't mean that in four weeks, three weeks, there can't be any other way, if we have speed tests and spit testers that can be done in another way, but we're not there yet. That's why we follow the recommendations on how we use our resources as best we can, and I think that's actually an important professional advice to follow. Now that we're making demands for testing in the last 72 hours before you get to Norway – and if you don't have a test, you don't get in, it's important to say, that then it's a basis for rejection – because we see a completely different form of infection in the countries around us, and we have stronger demands. But remember, the main requirement in Norway is quarantine, not testing. In some places, testing may have been perceived as testing away from being in quarantine. In Norway, quarantine is the answer. That is why we are operating with stricter rules than many other countries in this particular area. In the case of intensive capacity, it is estimated that, as an exceptional measure, 1 200 intensive sites and an increase of 4 500 in ordinary hospital bed capacity are planned. The plans are there, the preparations are there, there is more training given, but our challenge, of course, is that there is a restriction on human resources. Then we have to give priority to where we put the human resources in such a situation. That is why we also need to use professional groups other than those that are most qualified, for some things, for example. for the detection of infection. Yes, health care professionals are trained and actually trained to detect infection, but there will be more important jobs for them to do in following up vulnerable groups than putting them into infection tracking. That's why we're clear that you can use other groups for that work. So it's quite obvious that the state has to help the municipalities with part of this work. That's why we have our own infection tracking team that helps with that. But it's like we're on the gap in some places because people meet too many people. When you have come in close contact with up to 200 people in 48 hours, it goes without saying that it is very demanding. It is also to keep the capacity for infection tracking that we are encouraging much less social contact at the moment. I agree that mental health is extremely important to take care of. This was a priority. That's why we see that the waiting time in mental health has continued to go a little below the pandemic, because it was very clear and clearly priority to maintain this. We're still going to be busy with that. It also applies to students. I am the mother of two myself and know well what the situation is for them at the moment. The Minister of Research and Higher Education has been clearly in contact, and there is now work between the university and higher education sectors to find out the best measures to ensure that people are caught, and to do things that are contagiously correct, but which nevertheless allow one to come back and ensure that the consequences are not excessive. I have not answered all the financial questions. I think that we have many opportunities to debate, but I just want to inform you that we had planned for our own extraordinary proposition in the supplementary proposition tomorrow. We have postponed it until Tuesday, and we will meet the deadline for Stortingen to deliver, precisely because the new measures require us to make some adjustments in this area.
ParlaMint-NO_2020-11-05.ana.ud400e435	The debate on the presentation ended. The President will propose that the statement by the Prime Minister on the handling of the coronary apathy be annexed to the minutes. – It shall be deemed to have been adopted. At the request of the Financial Committee, cases will be brought before the Court of Justice of the European Communities. 2 and 3 will be treated together.
ParlaMint-NO_2020-11-05.ana.ud400e467	At the request of the Finance Committee, the President will arrange the debate as follows: 5 minutes for each party group and 5 minutes for members of the Government. Furthermore, within the allocated speaking time, there will be a reply to replies from members of the government, and those who have to subscribe to the list of speakers in addition to the allocated speaking time will have a speaking time of up to 3 minutes.
ParlaMint-NO_2020-11-05.ana.ud400e474	I would like to begin by thanking the Committee for a good cooperation in connection with the letter from the Norwegian Bank's representative on the addition of new daily ladders of NBIM. It is the first time that the representative has sent a briefing to the Stortinget in the middle of the year. They also supervise Norway’s Bank on behalf of the Stortinget and therefore on behalf of the Norwegian people. When they then chose to report on relationships with the addition of the new daily leader of NBIM, there was every reason to take it seriously from the Stortinge's side. In particular, they reported three facts that they saw as unsolved at the time: that the ownership interests of the new daily manager of NBIM should not become a tax for SPU or Norway Bank that fiscal conditions should be in line with SPU and Norway’s position and be marked by full openness; that the addition should be governed by the same law as that applicable to all additions to Norway Bank; The Financial Committee called for a hearing on the report in August, and the hearing concluded that this and several aspects were not satisfactory between the Bureau and the Board of Governors of Norway. The Financial Committee has noted that the responsibilities between Stortinget and Norway Bank require the Stortinget neither to appoint nor to appoint the daily manager of NBIM, but we naturally take sufficient position on the assessments of the representativeness – they are accommodating by us, they report to us, and they have the task of ensuring that the operation of Norway Bank is in line with current legislation. The Financial Committee then reached the following conclusions in agreement: that the manager of NBIM cannot have a ownership or interest that creates, or may appear to create, conflicts of interest that are capable of weakening the trust and rejuvenating to Norway Bank, in accordance with its own ethical principle of adding: that the manager of NBIM cannot have ownership or interests that weaken, or may weaken, SPU's work on tax and openness, and that these conditions must be clarified before the accession of the new manager of NBIM; In the further work, it is natural to assume that this is supervised by the representative body in the normal manner. A co-ordinated finance committee has also suggested that the government look closer to the provisions of Paragraphs 1 to 6 of the Central Bank Act and that it should be clarified. In any case, this has shown a certain disparity between the expectations of the Norwegian Bank about what they should be informed about, and the expectations that can lie with government and big business. The Committee has also pointed out that the limitation of paragraphs 1 to 6 on ‘cases of importance’ to dealing solely with monetary policy issues would appear to be contrary to the wording of a paragraph which is entirely general in design and which is contained in the chapter on general principles. So we're assuming that the government follows this in its own way and comes back to Stortinget with an assessment of these questions, including an assessment of whether the wording should be clarified more closely. I hope and believe that, in today's debate, the Minister of Finance will be able to do more about when and how this will happen. Now the addition of new daily leaders of NBIM is not something that happens so often, and it is likely that it will not happen again under this finance minister, but it will still be interesting to hear what lessons the finance minister drew from the process that we have now undergone, not least from the fact that in the final phase of the handling of the case we were determined by the Law Department that the finance minister at an earlier time in the matter had a greater general opportunity of instruction than what he chose to use, and greater circumstances than what he had at a later time in the handling of the case.
ParlaMint-NO_2020-11-05.ana.ud400e508	Let me begin by thanking the Committee for good cooperation in the matter for which I am the rapporteur. This is therefore the case with the redundancy proposal on the appointment of the Director of the Oil Fund and the reputation of the Norwegian Bank. The draft representative and the position make three proposals: ensuring that the oil fund is managed from Norway; the National Audit Board to review the role of the government in the employment case; an assessment of whether the governor has complied with his duties in the case of the appointment of the oil fund manager; All the proposals will be voted by a large majority here today. The first proposal is probably the one with which it is instinctively easiest to sympathise, namely that the oil fund should be managed from Norway. Fortunately, in practice this is already the case. For both the Governor, the Chief Governor and the Head of the Oil Fund, the preparatory work of the applicable central bank law states that there is a requirement for social understanding, i.e. knowledge of Norwegian society, rules, norms and political processes. In addition, in the recruitment process of the new oil fund manager, it was assumed that he would have his daily job at the headquarters of Oslo. This is already the way to ensure that the oil fund is managed from Norway. You don't have to legislate everything; something works without it. This is an example of that. If the Red Party and the Centre agree with the proposal that all the activities of the Oil Fund should be carried out by Norway, we disagree. The Oil Fund invests in more than 9 000 companies worldwide. A global presence is therefore a prerequisite for both better understanding and confidence in markets. I'm not very surprised that Red doesn't have the necessary understanding of these issues, but that the Center Party, which is otherwise concerned with the proximity to the services, doesn't understand this, is more surprising. It is also special that two parties who otherwise talk about the path of trust society, and that politicians should not sit in Oslo or on the Stortinget and detailed management businesses, now want to do just that, instead of having confidence in the organisation of the oil fund in the most appropriate way possible. I don't think there are 169 politicians, of whom the very few have been involved in international capital management or finance at all, who are best placed to think anything about these issues. It should be left to those who really can. It's trust, not detail control. Let me also make a few comments on the second matter we are dealing with in this debate, namely the letter from the Norwegian Bank. To begin with, we are pleased that the case ended happily, that the Tang joined as head of the oil fund, and that his ownership does not weaken the trust or reputation of the Bank of Norway or the oil fund. However, much can be said about the process before this conclusion is reached. Sometimes it seemed that the politicians were in line or, to put it bluntly, they were jumping for the media to paint black and draw conclusions before they had any facts. It's actually not unusual or speculative to own companies or have fund shares in countries like Cayman Islands, Bermuda or other countries far away. There might be good reasons for that, even. Northfund spends a lot on investment in African countries. It is because they have a well-functioning financial sector, a legal system and investment protection agreements. But the country is called a tax haven. Just as many shipping companies can be attractive to flag ships to Norway, there may be fiscal reasons for investing in other countries. It is in itself not illegal or unethical to do so. The essential thing is to pay the tax you have to pay and to report correctly and satisfactorily. There's no reason to believe that the tangent or his companies haven't. Our very main concern in this matter has been that trust in one of our most important institutions, the Bank of Norway, should not be weakened. That's why we asked the early Minister of Finance to find an amicable solution that contributed to that. Truer deserves praise for finally doing so, in what was certainly a demanding matter for him too. In the end, many have said that it has been important to eliminate risks in this case. It's probably not going to be possible, especially in this kind of case. However, minimising risks is possible. But it is not the responsibility of the Storting; it is the responsibility of the board. I am sure that the main board will carry with it in its further work.
ParlaMint-NO_2020-11-05.ana.ud400e541	Under the Central Bank Act, the representative shall report to the Stortinget at least once a year. When the representative sent a letter to Stortinget on 11 June 2020 mid-year on his supervisory work related to the appointment of the new Executive Director of NBIM, this had not happened before. The opinion of the Committee has been presented by the rapporteur-general. I still have a desire to make some points and comments to illustrate what has been important to the Right in this process. Firstly, the Norwegian Bank’s supervisory board is appointed by the Stortinget. It is the task of the Board of Representatives on behalf of the Stortingen to supervise the Bank's operations. Secondly, the main board of the Bank of Norway is responsible for hiring the oil fund manager. Furthermore, the Governing Council is the executive body of the Bank and is responsible for assessing the risks and handling of these against the objectives of the activities. And it is Norway's Bank's main board that is responsible for ensuring that their business complies with laws, guidelines and rules, and that trust and reputation in the institution is respected. These have been important points for us when we have discussed the matter. It is also what forms the back cover that it has been important for the Right that the Committee's work and setting up did not remove the space for action necessary for both a Council of State and the Governing Council to have in accordance with the laws and regulations in force, and that it was not the Stortinget who was to dictate or construct the solutions. I have also registered that there have been criticisms from several teams in the debate after the case was handed over to the Council of State for not having entered the recruitment process at an earlier time. Then I would remind you that when the new Central Bank Act was passed, most parties, if not all, were very concerned about the independence of the Bank of Norway. I have noticed that some of the same politicians who are now criticizing the Council of State for not having gone into this earlier, probably, based on the strong signals that everyone was willing to give when the Central Bank Act was passed, the Council of State criticised if he had gone into the recruitment process earlier. So I think it's important to breathe with your stomach when such things occur. In fact, the Council of State itself has also pointed out to the Stortinget in a reply to the representative Hadia Tajik that there are learning points after such a process. The fact that the Council of State itself has taken the initiative to look at it is an important signal. With regard to the representative proposal from Red, I refer to the comments of the majority, but I would like to draw particular attention and refer to the Minister of Finance's reply of 23 September this year. I note that the Ministry has not become familiar with information that suggests that the government should consider whether the Governor has complied with his duties. Finally, the Bank of Norway is an important institution, and the oil fund is our common wealth. Both of these institutions have played an important role in the current crisis and will also play an important role in the future, especially in the financing of the major actions we are putting in place. I hope now that we're at a point where everyone can look forward. The matter has got a good solution. It is important that all parties contribute to and maintain the trust and reputation of the Bank of Norway.
ParlaMint-NO_2020-11-05.ana.ud400e568	It is a major and serious matter that we now have to deal with and that the Committee has dealt with. It is a matter that unfortunately got played out for too long, which has of course contributed to a burden for those who have been directly involved, but which has not least also been a challenge to the reputation and trust both in the Bank of Norway and in the Oil Fund. Therefore, it was incredibly important that the Financial Committee should address the matter properly. I am also pleased that the Committee on Budgets agreed on a unanimous position and that a good work was done in the Committee. It is incredibly important that, in the case of the oil fund, one contributes to stability, security and tranquillity, and that one contributes to the maintenance of general confidence and a good reputation. The main board of the Norwegian Bank is responsible for the appointment of the new head of the oil fund. At the same time, it is the Minister of Finance who has overall responsibility for the Bank of Norway and to ensure that the general trust and reputation is respected. Unfortunately, the Minister of Finance did not contribute to it over time, first by refusing to take responsibility in the matter, then by trying to say that the Minister of Finance had no responsibility at all in the matter, and even at some point in the committee's proceedings on short notice ordered an investigation from a private law firm to support his argument rather than go to the Legal Department of the Ministry of Justice. When one finally, in 12 hours, went to the Department of Law in the Ministry of Justice, it turned out that the Department of Law in the Ministry of Justice had a different judgment from that of both the private law firm and the Ministry of Finance. That report was a crushing judgment on the work that had been done. After hearing the comments from the committee's chairman who was just being held, I have to say that I am very uncertain about what the government party really means when one says that there is a learning point in this matter, when one does not want to take on the fact that one should have acted earlier, intervened earlier, to make sure that this matter found its solution and did not delay over so long. Is it so that if you had received a similar case at a later date, does the Right Government Party believe that it should have been handled in exactly the same passive way by the Minister of Finance? I would like to ask the Minister of Finance in his speech to clarify what kind of learning point the government and the Ministry of Finance see after this matter, especially in the light of the statement made by the chairman of the Committee. So to the management of the oil fund and to the case rapporteur for the representative proposal put on the table: if one is to follow the argument of the case rapporteur there, it seems that it is sufficient in the case of the management of the oil fund, that the oil fund manager has an address in Oslo or at least an address in Norway. Of course, it is important that the management of our common wealth is clearly anchored in Norway and that we contribute to a greater part of the administration from Norway. It is therefore important to make proposals that clearly state that the oil fund is to be managed from Norway. I'll bring up the proposal that the Center Party is part of.
ParlaMint-NO_2020-11-05.ana.ud400e579	The representative, Sigbjørn Gülsvik, then mentioned the proposal he referred to.
ParlaMint-NO_2020-11-05.ana.ud400e584	I would like to thank the rapporteurs for both of the matters that we are dealing with here. The conclusion is known to the extent that the conditions of employment of new oil fund managers had to be changed. The Committee has agreed that the oil fund manager cannot have ownership or conflicts of interest that are suitable for weakening the trust and reputation of the Bank of Norway, as the Bank’s own ethical rules also state. The Committee also notes that the chairman of the oil fund cannot have ownership or interests that weaken or could weaken the work of the oil fund on taxation and transparency. Actually, this should be obvious. That, in my view, is the only possible conclusion. Nevertheless, it took five months for the government parties to reach the same conclusion. It should have happened before. It would have been a good thing for the Bank of Norway and the Oil Fund and people's trust in these important institutions. Just people's trust has been the central point for me and SV in this matter. Since April, I have been quite clear that we depend on people having great confidence in the oil fund – and on the one who runs the oil fund. The size has abolished the administration of the common wealth of the people to the Bank of Norway, but we have not made the oil fund independent of political rule, and it is our responsibility that the people have confidence in that administration. That confidence would have been weakened if the new oil fund manager had taken up the position with significant ownership of the AKO Capital. It would also mean that the fund would be in constant assessments of instability and potential conflicts of interest. It would be very unfortunate nationally and internationally. Through our process – as a result of questions being asked in the media and here at Stortinget, but in particular because of the important job done by the representative body, Stortingen’s own supervisory board – the employment agreement and the premises in it were tightened up. It shows the value of a press that follows the oil fund and its management, but also that we have an operational and thorough representation that is conscious of its responsibility. I want to give them credit for the job they've done here. Nevertheless, despite the crystal clear representation that there was a need to eliminate the risk of conflicts of interest between the oil fund and the general manager of the oil fund, the Norwegian Bank’s main board chose not to follow this up in the employment agreement presented on 28 May. In my view, it underlines the poor and critical handling of this employment by the Governing Council. The decision to accept that the new leader of the oil fund may hold holdings in the AKO, but it also concerns the fact that through this process they have contributed to undermining Norway’s efforts and efforts to combat secrecy and hidden money in the financial world and aggressive tax planning. While the opinions of the Governor of the Central Bank in this process are particularly problematic, neither the representative nor the Committee have been given an answer to what pilot studies the Governing Council had done to ensure that the ownership of the new Governor of the Oil Fund does not conflict with the Oil Fund's own tax and transparency expectation document – despite the fact that the Governing Council had therefore accepted that the new Chairperson could maintain a 43pst ownership. in a company that manages reserves registered in tax havens such as Cayman Islands and Ireland. And there's a difference between a hedge fund investor and a manager of the oil fund. The Committee concludes that the ethical principles of the Bank of Norway are not sufficiently respected in this process and is concerned that it may weaken the confidence of the oil fund. I would like to stress that, despite the fact that the Governing Council was responsible for this employment, it is also a political responsibility to maintain that trust, and here the Minister of Finance came too late – only after the Financial Committee had dealt with the matter. The Minister of Finance has contributed to unnecessary noise and to the extension of the case by hesitating to examine his own room of action and by intervening. Now it is precisely the Minister of Finance's responsibility to continue to follow up the changed terms of the employment agreement that have not been put into place so far, and I assume that the Minister of Finance here ensures that it is completed by the end of the year.
ParlaMint-NO_2020-11-05.ana.ud400e601	I think we can all agree with what the Minister for Finance writes in a reply to the case rapporteur who has been referred to the matter. He writes: ‘After this recruitment process, I believe it is natural to consider whether there are learning points.’ I think that's natural to look at for the Ministry of Finance, it's also natural to look at the Board of Governors of the Bank of Norway. I think everyone agrees on that. In one area, everyone also agreed that a mistake was made, namely that the disclosure law was not complied with, by the fact that the current manager of Norway’s Bank Investment Management, NBIM, was not included in the public candidate list at the right time, but that this happened too late. This has been a complicated and long case that has been in the Committee. I would like to thank both the rapporteur and the committee for the work that has been done. It has been demanding. We have received a description from the representative of the hearing we had, where the head of the delegation says that there was, or is, a risk of conflict of interest even if it is reduced – it is small, but it is not eliminated. We had the same description from the head of the Governing Council: All risks, or conflicts of interest, are curbed for all practical purposes. This was a difference in understanding where we were, which the Committee had to deal with, and which is also the basis for the conclusions of the Financial Committee – which, of course, the Left and I are behind. We stress that the head of NBIM cannot have ownership or interests that create or may appear to create conflicts of interest that are suitable for weakening the trust and reputation of the Bank of Norway. We also stress that the head of NBIM cannot have ownership or interests that weaken or could weaken SPU’s work on taxation and transparency, and that these conditions need to be clarified before the accession of the new head of NBIM. Then it is important to stress, as others have also stressed, that the Storting does not hire a new leader in NBIM. We should follow the Central Bank Act and be aware of what is our role, our responsibility, just as the Minister of Finance must follow his responsibilities in the Ministry of Finance and the Board of Governors of the Bank of Norway have its responsibilities. I am pleased that we received this clarification from the Department of Justice and Defence at the very end of our proceedings. Following the conclusions of the Committee, the Minister of Finance, on his own initiative, contacted the Governing Council of Norway, which, on its own initiative, followed up the evaluations made by the Committee. The new head of NBIM also made his own decisions, which I believe follow up on the conclusions of the Committee. It has been important for the Left also to raise the issues of tax, transparency and tax havens and the relationship between SPU and tax havens in this case. It's already a huge amount of work SPU does to companies where they invest, and that follows up the expectations documents on taxation and transparency. It will be important on our part to see if we are going to strengthen the work against tax havens in the future. But we are doing the ordinary work of the Committee in the process of fund notification now in the autumn and also future fund notifications that come every year.
ParlaMint-NO_2020-11-05.ana.ud400e623	I would like to join in the ranks of those who thank the Committee for a good cooperation in this matter. Over the course of this spring, we have shown time and again that we are capable of finding good solutions in what are new and demanding situations. It's about the big challenges we've faced with this virus outbreak, but I also think we're showing it in this case. That's good. I would also like to thank the case spokespersons in particular for the contributions that have been made here. When Stortinget has appointed a supervisory board as the representative and we get a letter from those who are outside the ordinary, there is a situation the Stortinget must take seriously, and which the Committee has now been properly dealing with through a hearing – and we have had a committee hearing – and which we are now having a debate and have to finalise. It is serious when one of them deals with issues such as the violation of public law, such as that of the new NBIM administrator not being able to ask questions about ownership interests, and that tax relations must be clarified in a way that ensures that no questions are asked about Norway's example in the fight against tax displacement and openness. It is the Stortinget that has adopted the central bank law on which this addition is based. We have created the representation, and we must and must deal with the letters and concerns that come from there. Then we've passed a central bank law that says it's the main board that's responsible for the operation of the bank and for adding a new head of NBIM. We also state in the notes that it is the main board that is responsible for the operation of the bank, that they comply with guidelines, laws and rules, and that they take care of that trust and the refute as they should. That's also good. It is good that the Committee is able to agree on the expectations we had, and that they have been met by both the Board of Governors of the Bank and the new head of NBIM and followed up in a good manner by the Council of State responsible. It's important, because these are institutions that depend on trust in the Norwegian people. The fact that there is a collective solution in the Stortinget now, I think I am helping to strengthen that trust, and not least the responsible people have taken a good stand against the signals sent by the Stortinget and the Financial Committee. The Council of State has said that this is the point of learning. I look forward to the further discussion about them. When it comes to the representative proposal from Red, I refer to the plural comment.
ParlaMint-NO_2020-11-05.ana.ud400e641	A lot has been written and said about this matter. There have been countless hours of work at Stortinget, in Norwegian editors, in private law firms, in law offices and in departments – all this because a governor was completely blinded by Nicolai Tangen and forgot his duties. So the government and their loyal companions in the hall today will say that now everything is clean, the requirements of the Storting have been met, and the matter has been given a happy outcome. But it did not, because many serious questions persist, and I fear that this matter may come to haunt the Storting in the years that are coming. Firstly, are we going to apply our own rules to bank directors and billionaires in our country? Secondly, is a public official appointed by the King of State Council to avoid breaking the law and the central bank's own guidelines? Thirdly, how can we trust that the control mechanisms to protect this country's wealth from abuse will be respected once the formal ranking between the Minister of Finance, the Governor of the Central Bank and the Director of the Oil Fund is reversed? This is the background to Red’s proposal for a national audit audit and an assessment of whether the governor has the necessary trust required in his position. Then more new and serious information has been obtained in the case after we received the report from the representative office, and they seem to me to reinforce the need for these measures. I am thinking in particular of the Minister of Justice's orders for legal assessments. First, a so-called independent assessment was ordered from a private law firm, which, by virtue of its framework agreement with the Ministry of Finance, was required to act loyally against the grantor, who had at the same time assisted Nicolai Tangen in the recruitment process. Secondly, an assessment was ordered from the Ministry of Justice's Legal Affairs department, which reached a diametrically opposite conclusion to the so-called independent assessment. I have also noticed the revelations made in the media that there have been informal meetings without a record of the top bureaucrats in the Ministry of Finance and the Governor of the Central Bank Olsen during the proceedings, and that were not reported in the Stortinget. This new information shows why it is essential for the Riksrevision to carry out an investigation to ensure that Storting controls the government in this case. The government’s handling of the matter is outside the mandate of its representative and has therefore never been adequately informed. It should not be possible for the Storting as a controlling body to live very well with it. It was obviously important for the Minister of Finance to establish that he could not intervene in his employment. It was important to him because the core of the matter was subsequently just Tangen's premise that he would retain the ownership of the AKO Capital, and the governor's acceptance of this when the Governing Council made the appointment in March. If the Ministry of Finance found out about this premise at some point in the period March–May without intervention, the Ministry just needed an explanation as to why it did not intervene. For a long time, their own interpretation of the central bank law was useful when they said that it did not allow them to intervene. It even seemed that the Minister of Finance would be able to avoid buying an investigation from a law firm that had assisted the Tangen in the process of becoming an employee. Fortunately, the Department of Law finally lowered its foot for this. When the Governor of the Central Bank and Nicolai Tangen presented the solution to Stortinget's demand that all ties between the Tang and the AKO Capital should be broken, it turned into a cause of joy. The tangent stated that the governor owed him a beer, and the oil drew a sigh of relief, for the tangent had just saved his own skin. But that beer can cost Norway dearly, because that beer affects the integrity of the governor and the community's trust in him. How can we trust that he can also act like the gatekeeper he's rigged himself to be because the tangent doesn't do anything wrong in his job, when the real power relationship between the two is so distorted? And how can we trust that the Minister of Finance will keep the Governor in mind in the future, all the time when the Governor of the Central Bank in this hearing at the Stortinget in August saved him with his statement that he could not remember to have informed about the Tangen's claim to retain his fortune. This is problematic, and this is the background to our proposal that the National Audit Office should examine the role of the government in the matter and make an in-depth assessment of whether the Governor has the necessary trust required for a man in his position. With that, I take up Red's proposal in the matter.
ParlaMint-NO_2020-11-05.ana.ud400e664	The representative Bears Moxnes has taken up the suggestions he made.
ParlaMint-NO_2020-11-05.ana.ud400e669	Norway’s Bank’s recruitment of the new NBIM leader is a case that has evolved over several months. I have always been concerned with respecting the formal frameworks that apply. Before presenting the case and the Ministry of Finance's understanding of the law, I would like to say that I am pleased that the main board and the new head of NBIM found a solution in line with the financial committee's expectations. When the Ministry of Finance drew up the Central Bank Act, the intention was that the Governing Council should have sole responsibility for the appointment of the Executive Director of NBIM. In its letter of 11 June to Stortinget, neither the right of instruction in the recruitment process nor the obligation of the Bank of Norway to inform the ministry was required. Nor was it in the letter that created uncertainty in the ministry as to how the law should be understood. It was not until the Financial Committee hearing on 10 August that questions were raised about a possible breach of the information obligation on matters of importance. That same week, I explained in answers to questions from the Stortinget about the ministry’s understanding of instructional access. I stated that the contact that had been between the department and the bank in the matter was in line with the legislator's leadership and the bank's information obligation on matters of importance and not relevant to the matter. It was the department's clear interpretation of the law, in line with the intentions when it was written. The debate that followed showed that there were differing views on the question of instruction. The Ministry therefore wanted to obtain an independent legal assessment. It was only one week before the Financial Committee planned to give its opinion on 21 August, and because an external investigator could reach conclusions different from those of the Ministry, it was in a hurry to carry out such an assessment. The Ministry considered that it could best be achieved by giving the assignment to a lawyer firm with the appropriate skills. Arntzen de Besche, with whom the department has a framework agreement, met these requirements. The assignment was given on 14 August, the investigation was available on 18 August and was sent to Stortinget the same day. In view of the continuation of the debate on the right of instruction, on 19 August we decided to ask the Legal Service for an opinion on legal access to instruct the Governing Council on the appointment of the Executive Director of NBIM. The Ministry received the Law Department’s opinion on 21 August and sent it to Stortinget the same day. The Department of Law outlined that the judicial area could be slightly larger than the Ministry had foreseen. In retrospect, I see that there would have been an advantage if the Law Department had been contacted earlier in the recruitment process, but the department was not in doubt about the understanding of the law until the debate in the days after the hearing revealed that the legal text could be understood differently from what it was meant to be. I have noticed that the majority of the committee believes that NBIM should as a general rule be managed from Norway. I agree. The main board of directors of the Norwegian Bank for the management of the fund has its seat in Norway, and the head of NBIM should be resident in Norway. At the same time, I am pleased that the majority indicate that it is natural that NBIM has foreign offices to understand and get close to the different markets in which the fund is to invest. I am pleased that the majority refers to finance as an international industry and that the fund should not be invested in Norway. The latter also follows the State pension fund law. It is good to debate all aspects of SPU, including who is the leader of NBIM, but this debate has not only created a debate, it has also created a need to look at the legal texts and formal frameworks. We need to figure out the learning points. Is there a need to clarify the legal text, so that the intention of the law becomes clearer? Have we learned that the intention of the law should be different from when the law was written? Is the formal framework for the role of the Ministry of Finance in the employment of the head of NBIM appropriate? These are questions we're now looking at. I want to get back to the answers when we're done with the review.
