ParlaMint-NO_2020-06-16.ana.ud39e93	The representative, Kjersti Toppe, will present a proposal for a representative.
ParlaMint-NO_2020-06-16.ana.ud39e265	The representative Kari Elisabeth Kaski has taken up the proposal she referred to.
ParlaMint-NO_2020-06-16.ana.ud39e270	I would also like to, as the rapporteur-in-Office, to assume that we have now had civil budgetary cooperation since 2013. So I'm not going to say that in all those years this has been just as simple, but we've come up with good results, not just now with the coronary apathy. Even in the climate crisis we are facing, cooperation has made it possible to reverse the trend of emissions in Norway. Emissions are now falling – they are falling for the fourth year in a row in 2019. I also fully agree with the rapporteur that it is important for an open economy such as Norway to strengthen international cooperation, both in Europe and in the rest of the world. We need an open economy even when we're going to get out of the crisis we're in, and we need it even stronger to achieve the climate goals that both we and the world need to meet. This year we have had many crisis packages during the spring. Major decisions have been made in the Grand Duchy and also with large increases in expenditure. I think it's important that we now, when we get into a situation where we're going to look at how we're going to get out of this crisis -- which we don't know how long is going to last -- not just think we're going to do the same thing this time as what we did after the financial crisis in 2009 -- to increase, unilaterally, public expenditure. It is absolutely necessary that we also free private capital, so that people can make their investments, and that they have private ones that become a driving force into the evolution of the economy that we need. This matter is linked to the entire revised budget – and the green package of measures, a matter that comes on Friday – but today we are making some tax changes that free private capital to make their investments. Among other things, taxes on working capital are reduced. I think this is right, it will help to invest in existing and new jobs. It is an extension for personal investors of deductions from equity deposits in small start-ups, thus raising the amount limit. On the left, we are particularly pleased to extend the option tax system for small start-up companies, and that the condition that people must have been added to the company after 1 January 2018 is lifted. That was a requirement earlier. The scheme is extended to companies with 25 employees and 25 million. kr in revenue and balance sheet total. This provides a significantly better opportunity for small start-up companies. Of other proposals that lie there, it is important to take into account that we extend the VAT exemption for depth journalism. This is something you've been waiting for a long time, but now it's going to work. Finally, we will rather live with the disagreement we still have with the Progress Party that the valuation discount on primary housing with high value is proposed to be reduced from 2021. This is one of the disagreements that we've had many of these years since 2013, and I'm absolutely sure we can handle this as well. But it is important that we not just focus on increasing public expenditure. They'll be hard to download again. Having tax havens that free capital is right because you have private people who are involved and become a driving force to get out of the crisis we are in, and also because there are changes that are easier to recover when you go into a normal situation, and it's a desire to do so.
ParlaMint-NO_2020-06-16.ana.ud39e290	The changes we are discussing now come as a new chapter in a rather long search for a demanding spring for our country and a demanding situation for the whole world. It is still the case that we have many temporary measures that need to be temporary in order to take the current situation to ensure that we have targeted measures for the right type of activity in our country, and to speed up both business and society otherwise. When you look at the number of people who are on leave, who are still sky-high, we know that the large majority are in private business, and that one of these spring is trying to get targeted measures, whether it's the compensation schemes against businesses, or maybe even more important, the matter we're going to discuss afterwards, the pay bill. The subordination of the trend here still remains there – that we also have a demanding international situation in which the market for many of these enterprises goes down. This means that many Norwegian companies that are dependent on exporting are in a demanding situation, and that many of the grips that are now being taken are important, but must be temporary — it is all the more important to go under. In such a situation, our tax system is an important factor, because it is an important tool that we from the National Assembly can use to create a system where more is created, where we can make it possible for one to own more locally instead and also to strengthen local ownership and contribute to close links between those who create jobs and those who want them and who want to do the job there. In RNB 2020, many new changes in tax law are being made as a response to the corona outbreak. One of the many big grips we've been doing this spring has been reducing the employer's fee. It's a grip that, of course, has meant a large amount of proceeds for the state, but that has been targeted at the companies where we want people to be at work and keep the wheels going. In addition, there is a temporary start-up letter on balancing group d, on the machines, which also provides a certain proceeds but ensures that capital is available in the enterprises. One of the more targeted measures for smaller companies is when an extension of the option tax regime for small start-up companies. It's a good grip that I'm happy that we're now getting in place. In addition, the fact that the low rate of VAT remains until the end of October is also a good measure, but it is also important to be temporary. The big grip that has become most remarkable in the debate before me is the tax change in which one has reduced the depreciation discount on working capital in the wealth tax, and one has warned that one will increase this something for the most expensive dwellings. That's what I and the Christian People's Party mean. It's about using our tax system and making it possible for us to own more of our businesses locally, but also those with the largest assets to contribute well to the community. So there's a tax treatment that I'm sure we're also going to have to discuss more in this room in the future. But I mean the grips that are in the proposition and that are also in this setting that we're now discussing are good. The case spokesperson had a good post and should have thanked him for it. He reminds us of two very important perspectives. First of all, in the current situation, in our country and internationally, Norway and Norwegian companies are dependent on international cooperation in order for us to be able to move forward and to be able to get out of this crisis. Secondly, the measures we have now are temporary. And coming back to a normal situation is going to be demanding. There will be a debate in this room when several of the measures now giving large profits to operators, whether in business or elsewhere, need to be cut off. But they have to, because we're going back to a normal situation. And with the targeted measures for which the Storting goes in during the day today, I think we'll take long steps in the right direction.
ParlaMint-NO_2020-06-16.ana.ud39e309	This spring, the Stortinget has launched and allocated billions of dollars to a wide range of action packages to prevent the consequences of the coronary apathy. We have made significant improvements in day-to-day pay legislation and have set up several new schemes to provide income protection for more people. In addition, the Stortinget has adopted a number of business aid packages, and Red has supported the need to put in place schemes to compensate serious enterprises with a large loss of income in order to prevent the bankruptcy of particularly small enterprises with the right to life. At the same time, we have called for and made proposals to ensure that, when these schemes were set up, they should already have much stricter rules and requirements in order to prevent abuse and reduce the possibility of private enrichment in terms of dividends, bonuses and the like when the community provides huge amounts of billions available to businesses. It cannot, in our view, be voluntary for the wealthy to participate in social service. But what we've seen this spring is that the majority in this room have been content to express vague expectations to the country's economic elite about showing moderation and restraint. On 25 March, the FSA recommended that the Ministry of Finance should lay down a regulation requiring banks and insurance undertakings not to pay dividends until 2019 to their shareholders – this because the banks needed these funds to secure themselves against losses. It rejected the Minister of Finance on the contrary, to the surprise of many. Last week, the Swedish Financial Supervisory Authority repeated the warning that many Norwegian banks are at risk of having major problems in the future. Then it is a pity that banks in the meantime, so far this year, have paid out 5.6 billion. kr in dividends to its shareholders. Then, later, will show whether the government's emergency to the banks this spring has adverse consequences for the stability of the Norwegian economy in the future. At least there has been an increase in inequality between people and has led rich shareholders not to wait for their money – in clear contrast to hundreds of thousands of workers who have gone monthly without getting one penny into the account, and who face an uncertain summer, unless the Storting takes hold of this week, as Red has now suggested. The government chooses to increase the valuation discount for shares and operating assets from 25 p.p. to 35 pst. and thus reduce the tax to some of the richest people in the country by 1.3 billion. kr, at a time when hundreds of thousands of workers have lost much of their income due to the crisis. I hope that the 1,700 people with the largest assets in our country send some warm thoughts to their friends in the government for the over 300,000 kroner in the annual tax cuts that they each get, as a small and exclusive summer gift at the dump of the landfill session. All the rest of us just get to register the unfair thing that this is what the government says, that everyone should contribute to the hard work, when the bill from the coronary crisis is now settled. Of course, red deeply disagrees with the need to cut taxes on wealth. Rather, we want to increase the tax on corona yields, so that those who already have the most must also contribute to the effort in which we have all been asked to participate. With that, I take up Red's proposal in the matter.
ParlaMint-NO_2020-06-16.ana.ud39e322	The representative Bears Moxnes has taken up the proposal he referred to.
ParlaMint-NO_2020-06-16.ana.ud39e327	The economic situation in the world is in the wake of the virus outbreak, lacking parallel in the post-war period. In order to limit the adverse effects on the Norwegian economy, enterprises and jobs, extensive measures have been put in place. In the revised national budget and in what we have called the ‘Phase 3 proposal’, Norway’s way out of the crisis, the government promotes a number of measures to facilitate the aftermath of Norway’s virtually shut down and proposals to contribute to activity, jobs and green migration. In the revised national budget 2020 and in Prop. 107 LS for 2019-2020 encouraged the government to propose several temporary changes to the tax rules. Entities which have liquidity problems as a result of the outbreak of the virus and the measures to protect infection shall be able to continue to defer the payment of taxes and charges. This case has already been decided by the Stortinget, so that it could apply to the VAT payment that was due on 10 June. In May and June, in addition to compensation for employers in Zone V, Nord-Troms and Finnmark, the size of the request decision for a temporary reduction in the employer’s fee in a semester was proposed. In addition, the follow-up to the Storting’s request decision on temporary increases in industry depreciation and some other adjustments. I would also like to draw up the proposal for improvements to the option regime. A good option regime is important for start-up companies to be able to recruit and retain key competences. It is especially important in uncertain times, as we are now inside. The Government is therefore following up the Grand Duchy's request decision by extending the option tax regime for small start-up companies. We propose two important steps: firstly, we are expanding the current system to include those who were hired before 1 January 2018. Secondly, the scheme is extended so that several companies can make use of it. I have noticed that a joint committee has joined most of the proposals under consideration at the Innst. 360 S. Proposition on Norway’s way out of the crisis also addresses proposals requiring changes in tax legislation. Here the government has proposed several changes to strengthen Norwegian private ownership and stimulate investment in Norwegian jobs. The government has, among other things: proposed reliefs in the taxes on wealth on working capital, where the discount on shares and operating resources was proposed to be increased by 10 percentage points, from 25 to 35. We need strong private Norwegian ownership even after the crisis. Many Norwegian owners and their businesses have been hit hard by the Korona crisis, and we need to better facilitate increased investment and more jobs. Therefore, tax relief on working capital is a necessary measure in the situation we are in. In order to facilitate the access to capital of small and newly created companies, the Government proposes to extend the deduction scheme for investments in start-up companies. The amount limit for deductions is proposed to be increased from 0,5 million. NOK 1 million. kr per investor and the share premium limit in the enterprises from SEK 1,5 million. NOK 5 million. kr per company. In addition, we have proposed that the plan be extended to include employees. The government will also make it easier for employees to become co-owners in their own company. If the employees are bought shares with a discount in the company they work for, the discount is taxed according to the general rule as remuneration. In companies that have a general arrangement for employee shares, part of such a discount may be granted as a tax-free advantage. The Government has proposed that the tax-free rebate be increased to NOK 5000 per year of income. I am pleased that the majority of the Grand Duchy supports the proposals made by the Government and also the agreement reached with the Progress Party in the Grand Duchy.
ParlaMint-NO_2020-06-16.ana.ud39e355	It's going to be line change.
ParlaMint-NO_2020-06-16.ana.ud39e360	The economic differences have increased under the sitting government. The Coronapandemic has the least income-intensive frames, and those who have weak social ties. In fact, measures are needed to prevent the balance of power in society from going further in favour of the owners of capital. Does the government have a goal that we should get out of this crisis with reduced differences between people?
ParlaMint-NO_2020-06-16.ana.ud39e365	Yes, we have to avoid the differences increasing. For this reason, both in the revised national budget and in the exit strategy for Norway, a number of proposals have been put forward to contribute to the inclusion in the labour market of those with the weakest links with the labour market. That's one of the most important jobs we're doing now. This is why we put so much emphasis on inclusion and integration to avoid more people being pushed out of the labour market permanently. One of the things that the Holden Committee has pointed to as the most important approach to avoid increasing differences is to make sure that those who have now been licensed can return to work more quickly. That is why we are promoting proposals for a wage support scheme. The second Holden committee points to the importance of creating new jobs, and that is why we are also promoting proposals. I am aware that the representative is thinking about the wealth tax, but there are many other measures that are much more important to ensure a society with trust, cohesion and small differences.
ParlaMint-NO_2020-06-16.ana.ud39e372	Does the government see that when they take the most money away, the differences increase? Even if one says what one has as a goal, obviously the measures are not strong enough. Does the Council have any new measures to bring about a reduction in differences in Norway? Can the Council of State really point that out?
ParlaMint-NO_2020-06-16.ana.ud39e377	When the representative travels in his own county and visits small family-run businesses, where many of them may have felt that the whole work of life has fallen into ruins this spring, does the representative feel that their message is that they are leaving? That's not the result after this spring. Many have paid a very high price for the outbreak and the coronary crisis — workers, families, communities, business leaders — including those who have invested their own money in Norwegian jobs. It's not that the result of this crisis is that someone runs away, but we have a common responsibility to make sure that people don't run out of work. That is why we are placing so much emphasis on integration, inclusion and also on an educational commitment that we have now proposed, which is to ensure that more people are able to complete high school.
ParlaMint-NO_2020-06-16.ana.ud39e382	When I travel in my own county, I encounter people with despair because the compensation arrangements don't work for them. They are too small, they do not come under the support schemes. That's what they're experiencing as the main challenge in the future, not the wealth tax. I can invite the Council of State on a trip in my own country so that he can experience it, but why are they so opposed to making the arrangements wider that the most possible can come in? For example, the requirement for outdoor activity, where does it come from?
ParlaMint-NO_2020-06-16.ana.ud39e387	Now the representative raises questions about a matter that we are not currently discussing, namely the compensation mechanism. So far, if we look at February and March, almost 42 000 Norwegian companies have been supported by that scheme. While the Danes still have problems with theirs, we quickly got it in place. I was clear from the very beginning that that arrangement is not ideal. We had to bet on acting fast over millimeters of justice. Yes, someone has certainly got more than they should. Others have got less than they should. That is why we have also supplemented this scheme with a number of other schemes. We have now put in place a system for seasonal businesses that will be from May – when it opens in a few days. We have also announced in the agreement with the Progress Party that we will come back to look at travel and hotels in particular, where we know that there are some specific challenges.
ParlaMint-NO_2020-06-16.ana.ud39e393	An important principle of taxation in Norway is that when a reinvestor pays profits in its own businesses, no dividend tax shall be paid. However, when the funds are withdrawn for predominantly private purposes from the business sector, a dividend tax is payable. If one then gives the money to art, or if one gets a monument after it, one would have to do it, but there should be no alternative to paying taxes to Norway and thus contribute to the Norwegian community. Do the Councils agree with those principles?
ParlaMint-NO_2020-06-16.ana.ud39e398	I understand what lies below this question that relates to a very concrete tax case. There the tax haven has given a preliminary opinion, and it is not natural for me to comment on it. Otherwise, I fully agree with the basic principle, namely that when money is reinvested in the company, it does not come under taxation, but when the money is taken out in dividends for its own private purpose, it is also something that you pay taxes on.
ParlaMint-NO_2020-06-16.ana.ud39e405	I asked the question on a general basis, because it is the legislator who is responsible for the clarity of those principles, and it is the government who in the follow-up to it must ensure that those principles are followed. Therefore, it is essential that one cannot organise away from paying taxes, either through foundations or by other means. The Council of State sees the need for changes, such as: by regulation, in order to clarify precisely the principles that when a dividend is collected, primarily for private purposes, it is taxed by dividend tax?
ParlaMint-NO_2020-06-16.ana.ud39e412	It's quite right, as the representative says, that there is a legislator who decides what is the law in Norway. It's determined here in the Storting, and that means that it's the Storing that determines what is going to be the tax code in the future. Then, in the context of each budget, we assess the tax rules, and we also continuously assess whether the practice of the tax rules is in accordance with the rules laid down, and whether there is a need for adjustments to them. This is done in relation to the individual budgets, and of course we will do so this year.
ParlaMint-NO_2020-06-16.ana.ud39e417	The finance minister says he wants to have small differences, but the reality is that the government does not have a policy for it. The cut in the wealth tax is targeted tax cuts to the richest, targeted economic gifts to the richest, if you will. One thing is that it comes after seven years of cuts in property taxes, but it also comes after a spring when the political majority here has given large state support packages to just business and business owners. It has been quite correct, but does the Minister of Finance have a paradox that, while people now experience that the support schemes put in place for them when the Korona crisis hit, as a more social day-to-day money regime, are now coming to an end, even though the crisis is very close and many are still out of work, does the government make the support to business – as the government calls them with the big assets – permanent?
