ParlaMint-NO_2020-05-06.ana.ud68e28	The representative of Arild Grande will present a proposal for a representative.
ParlaMint-NO_2020-05-06.ana.ud68e106	Jonas Gahr Støre – for follow-up questions.
ParlaMint-NO_2020-05-06.ana.ud68e111	This situation highlights a challenge for the follow-up of vulnerable citizens in our country – the sharing of responsibilities between government and municipalities. What you have to expect when you make such a dramatic decision in mid-March is that there is a system in place to follow up the municipalities so that the vulnerable children can get help. Now the council says that a lot is done, and that a lot is done better. Well, the report shows that there are over 200,000 children in this category. The Children's Ombudsman says that it is difficult for her to do her job, and the public health authorities say that there is too much shut down. This does not apply only in the municipalities. It's shut down a lot in the state floors. I'm worried that the government is reacting too late on such information. Nine days of quality assurance of reports when there is a clear message that immediate action is needed, means that we have to expect a much clearer follow-up of the municipalities, a much clearer follow-up of the government's state agencies. I want to hear what the Council of State's view on how to do this in the future – tomorrow we can expect another press conference on how to correct the measures.
ParlaMint-NO_2020-05-06.ana.ud68e119	I think it's a strange criticism of a so-called secrecy for nine days. It is perfectly normal procedure that when a department receives a report – which in this case was a report I asked for because I wanted coordination between five different directorates, which would coordinate with several departments – one must have the opportunity to go through it. I want to send a political signal to tell you how we want to follow up the report. With regard to crisis management and management, it is precisely to maintain the normal procedures that are extremely important. All of a sudden, it was to depart from it in as important areas as this, I believe, would be irresponsible. That's why I want to commend the various agencies that have been working on bombs to do this as quickly as they actually do. I'm concerned about the way forward. That is why we have today presented a package of measures aimed at vulnerable children – 400 million. kr in various services – just to provide them with health care, activity and to follow up the children we know had the extra demanding these weeks.
ParlaMint-NO_2020-05-06.ana.ud68e126	Kari Henriksen – for follow-up questions.
ParlaMint-NO_2020-05-06.ana.ud68e131	I'll follow up on this with secrecy. There is a pattern that the government is too late for child protection. A long time ago, the opposition asked whether the Council of State would come to the Storting and explain the situation: it was not necessary. Now we see secrecy, and we see the retention of information. It seems that the Council of State does not want to have a broad debate on how to govern child protection. It is not enough for the Council of State to want to do everything by itself, and in times of crisis it is normally necessary to do so after the first phase of the crisis. But then it has to be done quickly. That's where it fails in this case. Sitting on reports for days and exempting them from publicity is actually not understanding the crisis that is. What will the Council of State do to include widely in the debate on the further management of the state of child protection?
ParlaMint-NO_2020-05-06.ana.ud68e140	As far as child protection is concerned, I have been given the right to inform the Corona Committee of the Great Britain, with the various parliamentary leaders, about the situation of vulnerable children and have identified the main points of the first survey that Bufdir had with the various municipal child protection. That's what I think was useful. I have also had the opportunity to say it directly to the committee, have published the reports, and it has been out in the media. My great concern about child protection has been that one has not, for example, have been visited at home as much as one can under the rules on the protection of infection. I've been very concerned that they can give priority to emergencies, and that's why we were very early on to send out a message on what kind of issues they need to prioritise in order to prioritise the most vulnerable, the most acute cases. Then we have now received a new report on the state of child protection, and I will also publish it. It shows that it's better. Then I have asked to explain to the Storting in order to have just the broad debate that the representative wants, because it is an extraordinary situation, and we are extremely concerned that child protection should work as best as possible to help the vulnerable kids.
ParlaMint-NO_2020-05-06.ana.ud68e147	Kari Henriksen – for follow-up questions.
ParlaMint-NO_2020-05-06.ana.ud68e152	The state council's constant concern for the children and families in child protection is in fact the most worrying thing in this case, for he has been worried for a long time. Report on the report has shown a failure in the Child Protection Service, and now there is a new, serious report at the Council of State. The government failed the most vulnerable children when it applied most. His power of action does not even seem to be able to silence his own concern. Once again he shows that the municipalities have to solve his and the government's challenges. The responsibility for providing children with equivalent services irrespective of where they live and for complying with the law lies with the Council of State and the Council of State alone. He can't run from that. What will he do now to ensure that the children who have not been provided with their statutory services are met as quickly as possible? And can he guarantee that he will provide the necessary resources to the municipalities so that they can provide the children in the future in a better way than is the case today?
ParlaMint-NO_2020-05-06.ana.ud68e159	Fortunately, the situation in child protection shows that things are going better. They're able to adapt better, even in the demanding situation they're in. Of course, my main concern is that because of the measures taken to prevent infection, these kids do not meet the same number of safe adults, whether they are in school, in kindergarten, in recreational activities, in health centres, etc. This means that there are fewer safe adults who can return a message to child protection. The number of child protection requests has decreased. I think that's because some families hesitate to contact just for the purposes of infection. We also look at fixed medical facilities, hospitals, etc. That is why we are very concerned about sending a signal to the municipalities that they have to do what they can to adapt to the measures to prevent infection and maintain a good offer. We've done that through guides, messages, Bufdir, statesmen, etc. In addition, there are major changes and improvements in child protection, whether it be in competence, new child protection laws, the use of digital tools. This is something we have an enormously strong focus on improving.
ParlaMint-NO_2020-05-06.ana.ud68e166	Torstein Tvedt Solberg – for follow-up questions.
ParlaMint-NO_2020-05-06.ana.ud68e171	The political decision to close schools and kindergartens is behind this serious situation. What the reports now show about vulnerable children is no surprise. It also confirms the Council of State. This is the result of a notified crisis – one so this comes, but the government did little or nothing to prevent this, except to be concerned. From the outset, the Labour Party has criticized the government for not having a good enough plan for the closure of schools and kindergartens. One has not given the municipalities, teachers and principals good enough tools, and the consequence of this we see now. I'm especially concerned about the kids in the edge zone, the ones that are not already in the system. Where daily contact with school or kindergarten is part of prevention, the possibility of follow-up, guidance and control has now been lost. So now the schools have been closed for eight weeks, and I'm looking for what concrete grip the Minister of Children has proposed. Until now, I have only heard one general grip from the government. From 12 March until now, what concrete action has the Minister for Children taken in his dialogue with the rest of the government to ensure that the most vulnerable children do not get hurt — when schools and kindergartens start again?
ParlaMint-NO_2020-05-06.ana.ud68e182	We have implemented a number of measures. In the case of the vulnerable children who are struggling at school, the most important thing we have done is to open up that they can actually be in school. From day one we opened up that yes, those who have parents who have social-critical functions, who work in child protection, hospitals, health services, can have their children in school and kindergarten. But in addition to that, we said that vulnerable groups can also be allowed, there are families who have relief measures in child protection, or parents who are drug addicts, have mental disorders, etc., and so there had to be a concrete local assessment. But at the same time it was demanding, I think, too many municipalities, because there were few children who were in school and kindergartens. For this reason, the Minister of Knowledge was also very clear that the municipalities, or schools, which are going to make these assessments, have to open up more. There has been a very important message from us all along, precisely to protect the vulnerable children while at the same time being able to carry out the disease prevention measures, which are absolutely necessary in order to avoid terrible conditions in Norway as well.
ParlaMint-NO_2020-05-06.ana.ud68e189	Torstein Tvedt Solberg – for follow-up questions.
ParlaMint-NO_2020-05-06.ana.ud68e195	Once again, the Council of State only refers to this one overall grip that the government did, and as the reports now show, did not work well enough, especially because the government has not followed up with the necessary resources to ensure this. But that state council mentions, which I'm also concerned about, and which is the big question now, is the further reopening of the schools, so that more people can come back. I have criticized the government for not having a good enough plan for the shutdown. Now we've been waiting a long time for the reopening plan, which unfortunately comes very abruptly, without the necessary tools and with great delays. The most important thing now, when the children are back in school and kindergarten, is that we get away from the state of emergency and back to a normal state at school, so that you can get the good pedagogical help and training you need. What guarantees can the Council of State provide that students and parents now have before the summer holiday a normal situation with regard to special education and the provision of pupils with special needs?
ParlaMint-NO_2020-05-06.ana.ud68e204	I really disagree that we have just taken one action. I can stand here and frame up a number of measures. One of the most important things for municipalities has been to get the economy in place. The size has granted 6 billion. kr., a real handshake for even better follow-up of these children. We have e.g. made the alarm phone open 24 hours and opened the chat phone. A number of non-governmental organisations have done the same. We have made child protection a socially critical function and have had special attention to the most vulnerable. A coordination group with the different directorates has just been set up to provide the best possible overview. I could still do that. In order to look ahead — the evaluation can rather be made later — the government has a great desire, and we have signaled this, to open as much as possible, so that as much as possible can be returned to school. But of course I can't stand here and guarantee a normal situation before summer. We're still in a serious situation, and we have to deal with infectious diseases. It is not possible to open everything as normal and give it to everyone. Therefore, it is particularly important that everyone does what they can to protect these vulnerable children. It is not easy for the municipalities either.
ParlaMint-NO_2020-05-06.ana.ud68e213	Silje Hemdal – for follow-up questions.
ParlaMint-NO_2020-05-06.ana.ud68e218	It is good that the Council of State is stressing normal procedures, but I would like to remind you that the Korona law that the government has put forward reminded you little about it. I would also like to remind the Council of State that the Corona Committee is not the same as briefing the Storting. The progress party thinks it is very serious, what emerges from the report that children have been subjected to serious failure, as I would call it. The fact that it has allegedly taken nine days before the report was published upsets us in the Progress Party, but I have to say that as the child's child's representative, it makes it extra bad to read that the children's representative actually goes to work so hard and says that this makes her job difficult. We lose valuable time every day. So I wonder, is it true that it took so many days before the report was published, because the Council of State was in line for the government's daily press conference?
ParlaMint-NO_2020-05-06.ana.ud68e227	When it's talking about nine days, one must also include the weekend. This is regardless of the record speed at which reports are submitted. There was a coordination group with five directorates, where I am pleased that the Children's Ombudsman is involved in making representations to that group, where non-governmental organisations, where trade unions also make their input in order for us to have the best possible decision-making basis. But it is also the case that we need to coordinate work between four departments. I think it is also important for us to be able to come up with a common, coordinated message, to be able to talk about what is in the report. So this is completely normal procedure. If there's something abnormal, it's that it's gone so fast. But I can promise the magnificence representative that the next report will only be addressed for three or four working days; it will be published tomorrow. It is also important that there is great openness around it, because I am concerned about having a debate in order to have the best possible action to take for the vulnerable children.
ParlaMint-NO_2020-05-06.ana.ud68e236	Audun Lighthouse – for follow-up questions.
ParlaMint-NO_2020-05-06.ana.ud68e241	The last information was positive, because it shows that it is possible to provide these reports more quickly. I want to go back to the secret, because the Council of State does not answer the questions, not even the simple question that came here, about whether the press conference, that is, the government's communication strategy, decided when the report was presented. In the NRK's studio on Monday, Ropstad said he had just received the report, but he didn't have it. He had had it for two weeks and spent nine days putting it forward. The consequences of this can be seen in the newspaper article today, where the Children's Ombudsman says that the secrecy of the measures in this report makes her job heavier, and the head of the Press Public Service Committee says: ‘The government abuses the disclosure law in order to exempt disclosure much more than is necessary in this situation.’ It's a pretty strong diet. Now the question is, what does the Council of State answer? Is he not able to take some self-criticism for a situation where the child ombudsman must seek insight instead of getting insight in time to act?
ParlaMint-NO_2020-05-06.ana.ud68e255	I have no problems evaluating and seeing if I should probably have done things differently and even faster – perhaps something should have been done slower. But we're in the middle of a very serious situation for the most vulnerable kids. I have done what we can, put my device to work on blasts to make different actions. They I need to continue working with, and hopefully get delivered, get through as quickly as possible. Today we deliver measures of 400 million. kr – to health centres to ensure a health service, to schools for the follow-up of those who are struggling at school, for holidays and activities for those who have not had activities and who are not going to have them this summer. That's why I also want to challenge the Storting and the municipalities: what happens when, hopefully, this crisis passes? Those kids go into eight weeks of summer vacation where the schools are going to be closed. What does SV's City Council in Oslo think about summer school, for example.? Should an activity offer be completed? No, one has suggested shutting it down. My wish is for everyone to turn around to create activity, to create school offerings, just to get these kids to have activity, to get back to the lost progress.
ParlaMint-NO_2020-05-06.ana.ud68e266	Audun Lighthouse – for follow-up questions.
ParlaMint-NO_2020-05-06.ana.ud68e271	It is precisely in order to have such an informed debate also outside the government's meeting room that more information needs to be made available more quickly. That's when you can make sure that a few more than the Council of State and his closest apparatus can actually help develop these solutions. But the consequences of the secrecy of this report were that the alarm went late than it should have done. I think the answer to the criticism is a little hairy, you feel that this is unreasonable criticism because it has been very normal proceedings. Well, it's a very abnormal situation, and my call to the government is that in a very abnormal situation you might think that more openness than usual would be an advantage. Instead, we see a pattern here. We see this report, we see FHI's reports, which are not published until after the government has made a decision. We see the famous line of opening that the government obviously has, but that we don't know about. Information needs to be shared more and more. Now the whole opposition says that, and then the question is, does it impress the government? Will we see change and more openness?
ParlaMint-NO_2020-05-06.ana.ud68e280	That a report received by the ministry is not published until after – I think it was seven working days, or three to four working days, that it should be normal: it's not normal, it's abnormal, because it's fast. We're busy with openness. This government is one of the most open about decisions. But the opposition must also decide: is it the government that is going to take the decisions, as the Storting itself has adopted through the various laws, or is it the Storing that is going to take the decisions? It is now that the division of responsibilities is such that the government makes the decisions, and then it is Storting's job to check whether the government has done the job well enough. The representative Lysbakken sketches is one way to do it where Stortinget makes decisions, and then they have to control their own decisions afterwards. We want dialogue, we want debate on the different ways forward, and we have had that on a continuous basis. Tomorrow, the government will present the roadmap, the way we can open up society – hopefully – if we are able to carry out the disease prevention measures in the future.
ParlaMint-NO_2020-05-06.ana.ud68e292	Let's move on to the next main question.
ParlaMint-NO_2020-05-06.ana.ud68e297	My main question is to the Minister for Climate and Environment: The progress party is busy off the ice edge because we want to secure thousands of jobs in the oil industry. We will lay the foundation for future well-being, and we will create new profitable businesses. When the government presented proposals for a management plan and for the definition of a new ice-cream zone, the Left celebrates what is stated to be their impact in order to reduce the potential for profitable oil and gas production in the north. The Council of State itself said at the press conference to the government, on the question of how far south is at the edge of the ice, that it goes 134 km south of it at most and about. 49 km further south at Bjørn Island. In 2011, the size adopted a definition of the ice edge on the basis of proposals from the Government. Compared with this, the question is what today's government proposal looks like. In order to find out, for example, what the Minister of Oil and Energy will answer when the Department asks questions about it: This is the tip of the ice, in other words, the government's proposal, lies staggering north and staggering south of the ice edge, as presented in the Report. St. 10 for 2010–2011. The question is, therefore, very simple: can the Council confirm what the Minister for Oil and Energy says, that the new government definition makes it possible to go further north than the sona did with the background of the 2011 decision?
ParlaMint-NO_2020-05-06.ana.ud68e310	Thank you for the question. It's an important question because iskantsona is important as a natural area. This is a very vulnerable area all the way north, where we find polar bears hunting for seals, plankton, algae and fish. In short, if you had an oil spill up here, it would be dramatic for very vulnerable ecosystems and species that are also very vulnerable. So it's important that not only does one clearly define which is equal to each point of ice, but also what that means. What the government has now submitted is to do both. We say clearly where we delineate the icebergs, and we say that that means that there should be no petroleum activity north of it. In that process, there are several things that are important to me. The only thing is that one clearly fixes an ice-cream zone and what it means. The second is that she's moving south. Then, as Jon Georg Dale does here, one can compare to different definitions that you've had over time. If a comparison is made with the 2011 limit, the limit we have now proposed will go, together 16 000 km 2 further south, by the city north and by the city south, but in some a good part further south. If one compares to the 2015 limit with the government in which the representative Dale himself put in, this limit is 56 000 km 2 further south and, as he also pointed out correctly, 134 km further south. And then you can ask yourself what all of this means. The most important are the following: North of the border that Jon Georg Dale wants to compare with, it would have been allocated oil licences by oil and energy ministers from the Progress Party. If it's the current limit, then it doesn't have to be a limit, and I'm a little uncertain as to why it's interesting to compare it to this one. And the important thing is that we're now going to make a clear definition, and we're going to be clear about what that means. The reason why the government does this is because we want to base the precautionary principle, weigh environmental values more strongly and take care of the vulnerable area that is actually the ice-cream zone.
ParlaMint-NO_2020-05-06.ana.ud68e329	I am pleased that the Council of State confirms, when he has to speak the truth in Stortinget, that parts of the new proposed limit go north of what she has done since she became active after a decision in the Stortinget in 2011. It's clarifying, and it's good for the oil industry's possibilities to continue to evolve in the north. But the Council of States is talking about a 2015 limit that no one at any time refers to in that message itself, and that is because the 2011 decisions gave no obstacles to opening up defensive oil activity north of the defined edge. That's what the government is proposing to do. So it's only when a user uses the speech points from the department, and not when writing a groceries message, that 2015 is a relevant year of comparison. So the question is, why? And what's new that actually means that a now thinks it's the basis for setting an absolute limit, when we've had the successful result of the limit we've been managing since 2011?
ParlaMint-NO_2020-05-06.ana.ud68e334	There's been a lot of new stuff since 2011. For example, we have gained much more knowledge of how vulnerable this area actually is, how vulnerable the different populations of seabirds are, how the ice moves, etc. All of this is done well for by the Professional Forum. What's new about the government that's now presented in the big news is, first of all, that one clearly sets a limit. What's also new is that a limit of 15 pst. Ice frequency. You've never done that before. Before, she's got 30 pst. Ice frequency, both in 2011 and 2015. What that means is that there's now less risk that there'll be ice south of the ice-cream definition than there's ever been. What's happened is that the ice has moved northwards. At the same time, we draw the limit of petroleum activity southward. That's what I think is good for the environment. I understand that the Progress Party has a slightly different political approach to this, and that's quite fine, but at least that's how the government's proposal is to understand.
ParlaMint-NO_2020-05-06.ana.ud68e341	It opens for follow-up questions – first Espen Barth Eide.
ParlaMint-NO_2020-05-06.ana.ud68e346	I think it is useful that, in answer to Jon Georg Dale's good question, we have been told that the previous boundary Stortinget decided is the 2011 limit, and in relation to it, the new boundary goes a little south and a little north of it – a very small change. It is 15 pst., but ‘fifteen is the new thirty’ – in a way – because the conditions in the ice have changed. So for all practical purposes, there is little difference, which the Council of State has really now clarified. That leads me to another question. All marine research environments, environmental research environments have said that one should stop talking about ‘ice edge’, but rather talk about ‘ice edge’, and that an ice edge zone is a relationship that extends both north and south of the old term ‘ice edge’. So the government has fallen down to using the word "iskant zone," which I think is wise, but actually defines the ice edge zone as if it were the old ice edge. It confuses me a little bit. Why, then, if you first use the word "ice edge zone", you didn't apply the implicit definition of what an ice edge zone is, but actually ended up dealing with what you used to call an ice edge?
ParlaMint-NO_2020-05-06.ana.ud68e353	I agree that it makes sense to use the word ‘ice zone’. I'm trying to make it as consistent as I can, and that's also what the government is doing in the big news, for the simple reason that it's not that the ice edge is a certain place, he's moving a lot over the year and has done it over the decades. So the question is, how should a define this in the Storing Message, all the time the ice edge moves a lot? There is the discussion in the Professional Forum, which is in a way a basis for this, in itself our good when it comes to what measurement data you are going to use, etc., and all that we're basing on. Then there was a discrepancy at one point in the Professional Forum, and it was if one were to draw the limit of 0.5 pst. Ice frequency in April or 30 pst. Ice frequency in April. Then the government had to make a choice. We have gone through it thoroughly, the professional basis, had good political discussions, and we have chosen to draw the limit of 15 pst. If the Labour Party disagrees with it, it will be an interesting landfill treatment. So far, the Labour Party hasn't given any indication what they think, but I hope I can come now.
ParlaMint-NO_2020-05-06.ana.ud68e360	Espen Barth Eide – for follow-up questions.
ParlaMint-NO_2020-05-06.ana.ud68e365	It will definitely come, and we look forward to good consultations, good debates and a good process in this incredibly important matter, which is not only about oil, but also all the other industries that will work together in this very rich, valuable and also vulnerable area. So we'll have many opportunities to discuss that. My focus today has been on how to buy on the one hand the very good argument of the research community that it is no longer a defined edge of ice, but an ice-cream zone that extends northwards and southwards from the old edge of ice, but still in practice ends almost exactly where we ended when we used the word ‘iskant’, which means something other than the ‘iskant zone’, according to all the environments that have argued for the use of ‘iskant zone’ as a concept.
ParlaMint-NO_2020-05-06.ana.ud68e372	First of all, we use the ‘ice zone’ as a wrap. Secondly, we're going to define where that SVO is going to be, and not least what he's going to mean. Both parts are so important, but I have to admit that I found that one of the most important things is what he should mean. Because it is clear that it is fully possible to define an SVO in a different way than how an allowable petroleum activity. I think it is important that in this area there must be a strong protection against petroleum activity. And there's one of the things that's perhaps the most new in this message, that the government writes as clearly as we do, that here goes the limit to it. No comma, no comma, this is the way it is. That's the crucial question, I mean. So, as I said, it's our disagreement in Professional Forums about where to draw that limit of ice frequency, and when there's disagreement on the professional basis, the government has to make a choice. We've made a choice and pulled it to 15 pst. Ice frequency. In some cases, a larger part of the iceberg zone provides stronger protection than ever before, as the ice rises northwards at the same time as the border goes south, compared to both the 2011 definition and the 2015 definition.
ParlaMint-NO_2020-05-06.ana.ud68e380	Terje Halleland – for follow-up questions.
ParlaMint-NO_2020-05-06.ana.ud68e385	If there is any consolation, it is not just the Council of States that is struggling to see the difference between the 2011 border and today's government proposal. So are we going to do the other ones. In my question to the Council of State, I will avoid using my own arguments and rather use the government's own. In the management plan for the Barents Sea and the icy edge zone, the Ministry writes on page 29 as follows: ‘The icy edge zone is very dynamic and moves during the year from the areas of Bjørnøya in the south of the spring to the north of Spitsbergen in the early autumn.’» What is the professional basis for preventing oil production by setting an absolute limit, when the government itself says that the ice edge zone is very dynamic?
ParlaMint-NO_2020-05-06.ana.ud68e397	The professional reason for this is that a fixed oil installation is not something that can move up and down month by month. Then you have to make some choices for each limit. At the same time, it is quite right that the ice edge zone moves upwards and downwards, and thus has one in addition to the fixed limit for which petroleum activity is intended, also states in the management plan that in any case, test drilling up to 50 km is not permitted from where the ice is actually available at any given time. So if the ice was actually going to go south for that limit -- something that's historically 15 pst. in April - in any case, no lead activity would be allowed there. That's the good professional foundation for, and there's also good professional foundation for a fixed limit, anyway.
ParlaMint-NO_2020-05-06.ana.ud68e402	Une Bastholm – for follow-up questions.
ParlaMint-NO_2020-05-06.ana.ud68e407	Ice cap, polarlomvi, alking and theist, ring and other seals, polar bear, nard whale, white whale and Greenland whale, polar cod and soldering, antipodes, diatoms from genera such as Nitzschia and Navicula, crustaceans and zooplankton such as Parathemisto libellula, crayfish such as Calanus glacialis: all these are related to the ice cap zone. Our sea is already under pressure from many sides, and we are facing massive extinction of species on the globe. Nevertheless, the government has not chosen to follow the environmental advice to move the delimitation of the ice zone further south, even though the ice zone is where the sea is flourishing. Which of these species I listed is it the Minister for Climate and Environment thinks we're doing fine without?
ParlaMint-NO_2020-05-06.ana.ud68e414	So there's no answer, and that's why the government has just presented an ice-cream definition that's the strictest thing in the world, protecting larger parts of the ice-cream than anything else, going from 30 pst. Ice frequency to 15 pst. ice frequency, which will ensure that a larger area is exempted from petroleum activity, including the open area. That's the answer to that. It is also true that not only is there an important issue in the management plan of the species covered by the representative, there have also been many other measures taken by the government. For example, we are now expanding the drilling time limits outside the Troms and Finnmark coastal zone to 100 km, an important measure, among others. for the polar lomvi, which the representative mentions, which we now have a greater awareness of moving further from country to country for periods of the year than one had previously believed. Thus, the type of action is also important for those species.
ParlaMint-NO_2020-05-06.ana.ud68e421	Une Bastholm – for follow-up questions.
ParlaMint-NO_2020-05-06.ana.ud68e426	The ice zone is among the marine areas in the world that are already most threatened by climate change. Here is a plentiful natural diversity that is particularly vulnerable, including to oil and gas activities. It's very nice – we believe, of course – that the ice-cream zone and its delimitation have now moved further south. However, this is a matter of narrow industrial interests for an individual industry up against broad Community interests and other industrial interests, such as: all the industries that have lived for many decades and generations, many hundreds of years, of life in the sea. In the past, we had something called the precautionary principle. I find it worrying that it is no longer being followed in Norway. Is it by chance that the ice edge zone is now bounded to lie just north of the northernmost of the oil blocks already allocated?
ParlaMint-NO_2020-05-06.ana.ud68e433	When the government chose to draw the boundary at 15 pst. Ice frequency, was based on various advice received. It's based on holistic considerations, and it means that we're now getting a significantly stronger protection for the entire ice-cream zone. Then she will vary – north and south, etc. – based on where one is, but we mean in sum that it's a good limit. I would also like to say that when there are many of these kinds of questions about how much more one should focus on the environment and give nature an even stronger protection, it may be that I and the representative Une Aina Bastholm could have become some of the more important things about the environment. So the challenge is that we have nine representatives in this room together, and we have to work a little bit to get all 85 of us to get a multiple. I'm glad that we now – hopefully – get to a plural number to move the icebergs further south, protect a larger part of that area and give a stronger protection to all species mentioned by the representative in his first follow-up question.
ParlaMint-NO_2020-05-06.ana.ud68e440	Let's move on to the next main question.
