Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NO-en_2020-10-23	ParlaMint-NO_2020-10-23.ana.ud362e62	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2020-2021, Sitting day 2020-10-23	2020-10-23	Unicameralism	Term 2017-2021	Session 2020-2021	-	Sitting day 2020-10-23	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.ISC	Schou, Ingjerd	F	1955	
ParlaMint-NO-en_2020-10-23	ParlaMint-NO_2020-10-23.ana.ud362e210	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2020-2021, Sitting day 2020-10-23	2020-10-23	Unicameralism	Term 2017-2021	Session 2020-2021	-	Sitting day 2020-10-23	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.ISC	Schou, Ingjerd	F	1955	
ParlaMint-NO-en_2020-10-23	ParlaMint-NO_2020-10-23.ana.ud362e217	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2020-2021, Sitting day 2020-10-23	2020-10-23	Unicameralism	Term 2017-2021	Session 2020-2021	-	Sitting day 2020-10-23	-	COVID	English	Regular	notMP	Minister	H	Høyre	Coalition	Centre-right	person.MOM	Mæland, Monica	F	1968	
ParlaMint-NO-en_2020-10-23	ParlaMint-NO_2020-10-23.ana.ud362e234	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2020-2021, Sitting day 2020-10-23	2020-10-23	Unicameralism	Term 2017-2021	Session 2020-2021	-	Sitting day 2020-10-23	-	COVID	English	Regular	MP	notMinister	FrP	Fremskrittspartiet	-	Right	person.PTA	Amundsen, Per-Willy	M	1971	
ParlaMint-NO-en_2020-10-23	ParlaMint-NO_2020-10-23.ana.ud362e239	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2020-2021, Sitting day 2020-10-23	2020-10-23	Unicameralism	Term 2017-2021	Session 2020-2021	-	Sitting day 2020-10-23	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.ISC	Schou, Ingjerd	F	1955	
ParlaMint-NO-en_2020-10-23	ParlaMint-NO_2020-10-23.ana.ud362e250	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2020-2021, Sitting day 2020-10-23	2020-10-23	Unicameralism	Term 2017-2021	Session 2020-2021	-	Sitting day 2020-10-23	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.ISC	Schou, Ingjerd	F	1955	
ParlaMint-NO-en_2020-10-23	ParlaMint-NO_2020-10-23.ana.ud362e259	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2020-2021, Sitting day 2020-10-23	2020-10-23	Unicameralism	Term 2017-2021	Session 2020-2021	-	Sitting day 2020-10-23	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.ISC	Schou, Ingjerd	F	1955	
ParlaMint-NO-en_2020-10-23	ParlaMint-NO_2020-10-23.ana.ud362e273	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2020-2021, Sitting day 2020-10-23	2020-10-23	Unicameralism	Term 2017-2021	Session 2020-2021	-	Sitting day 2020-10-23	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.ISC	Schou, Ingjerd	F	1955	
ParlaMint-NO-en_2020-10-23	ParlaMint-NO_2020-10-23.ana.ud362e326	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2020-2021, Sitting day 2020-10-23	2020-10-23	Unicameralism	Term 2017-2021	Session 2020-2021	-	Sitting day 2020-10-23	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.ISC	Schou, Ingjerd	F	1955	
ParlaMint-NO-en_2020-10-23	ParlaMint-NO_2020-10-23.ana.ud362e335	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2020-2021, Sitting day 2020-10-23	2020-10-23	Unicameralism	Term 2017-2021	Session 2020-2021	-	Sitting day 2020-10-23	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.ISC	Schou, Ingjerd	F	1955	
ParlaMint-NO-en_2020-10-23	ParlaMint-NO_2020-10-23.ana.ud362e351	Hansard from meeting in the Norwegian Parliament, term 2017-2021, Session 2020-2021, Sitting day 2020-10-23	2020-10-23	Unicameralism	Term 2017-2021	Session 2020-2021	-	Sitting day 2020-10-23	-	COVID	English	Chairperson	MP	notMinister	H	Høyre	Coalition	Centre-right	person.ISC	Schou, Ingjerd	F	1955	
