ParlaMint-NO_2020-03-04.ana.ud555e28	The representative, Arne Nävra, will put forward a proposal for a representative.
ParlaMint-NO_2020-03-04.ana.ud555e152	I have to say first that I'm very happy that we have such a green coastal fleet, and that we might go ahead in the world by innovating and making sure we get a greener maritime sector. Then I have to say that if there's some place that's going well, it's along the coast of Norway. We have a business, not least the seafood industry, which contributes to the creation of growth, development and jobs. Only last year, 40 000 jobs were created in the private sector, many of which lie in our coastal communities. There are many jobs that are empty. What companies tell me when I'm around and visiting them is that we need people at work, we need skills, we need engineers, we need skilled workers. It is also good to see that government policies deliver results: historical commitment to transport, low tax and tax levels, and not least commitment to competence.
ParlaMint-NO_2020-03-04.ana.ud555e159	Torgeir Knag Fylkesnes – for follow-up questions.
ParlaMint-NO_2020-03-04.ana.ud555e164	I have followed the round of questions carefully, and there are probably more here to ask: What can Stortinget really ask the Minister of the District? So the District Minister has no responsibility for the current uprising when it comes to ferries, there is no role there, then one points to other government councils – the same with the FOT routes, the short-distance networks and the questions there. I expect that we will get the same answers when it comes to the major district uprisings about health, local economy, well-being, etc. Is it such that today we are invited to discuss only the very areas for which this Council of State is responsible, which are then the regional means of development, which is a very important system for the districts, but which are halved under this government? Is that how to understand that this is the only thing we can ask the Council of States that we can get proper answers to?
ParlaMint-NO_2020-03-04.ana.ud555e171	I invite Knag County to ask questions about my digitalization portfolio, which is very important for the districts, which can create growth and development and ensure that people can sit and work off the coast or up in the countryside and do not have to sit in the city. I invite you to ask questions about the entire regional and regional portfolio, which is important not least because the instrument can help to facilitate jobs, and which is perhaps also a lot of the reason why 50 000 jobs were created last year, including public jobs, around the country. It's like every government has coordinating ministers, whether it's an equality minister, whether it's a business minister, or whether it's a coordination minister, as the government that SV put in, had, with Schjøtt-Pedersen, which I think actually had a portfolio of the government's car service. So any government behaves the way you want it to. We want a stronger commitment and follow-up to district issues, so the Prime Minister has chosen to put together the government in this way.
ParlaMint-NO_2020-03-04.ana.ud555e178	Torgeir Knag Fylkesnes – for follow-up questions.
ParlaMint-NO_2020-03-04.ana.ud555e183	I am pleased that a coordinating state council also has a role to play in terms of districts in general, and that means that we can ask proper questions about districts in general. Just to get to what the previous questioner asked here, it was the coast, freight, etc.The government has cut quite sharply when it comes to fishing ports and port subsidies in general, so that the growth we see along the coast is a growth that happens in spite of the government's unaccompaniedness, not because of it. The same developments are seen in general centralisation in municipalities, where public centralisation is far greater than private, i.e. public workplaces, state workplaces, are centralised at a higher rate than private service providers are. It shows the numbers from the SSB that have recently come out. So the question should perhaps be left a little open: what role will the district minister take in turning the developments from a strong centralisation to a ruralization?
ParlaMint-NO_2020-03-04.ana.ud555e192	First of all, we now see that, for example: in North Norway, from which the representative Knag County is from, it's going very well. Unemployment is lower in Northern Norway than in the country as a whole. Economic growth is above the national average. It's an optimism when you travel north – I'm going to be in Finnmark for two days next week. I am delighted that there is still a need to invest; there must still be a low level of taxation; one must continue to ensure that one of the most important tools we have in our rural policy, namely a differentiated employer's fee, is well-managed. I am delighted to support the optimism that is out in the districts. I don't want to be part of that black paint and the downfall of what's going on in the districts. Nor is it the case that the state should come there and solve everything. We see that only last year 40 000 jobs were created in the private sector. The most important thing for people in the districts is that they have a job to do to feed themselves and their families.
ParlaMint-NO_2020-03-04.ana.ud555e199	Let's move on to the next main question.
ParlaMint-NO_2020-03-04.ana.ud555e205	My question goes to the Minister of Justice and Security. We now see dramatic pictures from Greece. We see a police in the fight against different groupings, we see the use of tear gas, we see people trying to climb over barbed wire fences. The truth is that we now have a much more explosive situation around a possible new migration crisis than we had in 2015, and we also see that there are considerably more migrants who have the potential to want to enter Europe. Experience in 2015 also showed that Norway was not well prepared, but that the measures quickly implemented had a significant impact. They had the effect for two reasons. One effect was that we quickly had restrictions that had consequences for those who came to Norway. The second effect, which was at least equally important, was the signal effect that Norway sent out to the world through the measures taken, which led to Norway not being considered the most attractive country to travel to. My first question to the Minister of Justice is whether she agrees that the implementation of rapid and rapid action can now have a new and reinforced signal effect with regard to new attempts at arrival in Norway. The second thing I would like to ask is that yesterday's Progress Party put forward a large number of proposals for tightening up, and many of them are proposals that the Right agreed to propose a few years ago. The question is, can the Right and the Government now promise to support these proposals? Or is it that the Right has come up with different thoughts after the Progress Party went out of government?
ParlaMint-NO_2020-03-04.ana.ud555e216	I very much agree with the description given by the representative of the situation in Turkey and Greece. It's, to a very large extent, very inconspicuous. What we don't see is refugee flows up through Europe. We have to do everything in our power to prevent this, and right after the Question Time, I am going to fly to Brussels to discuss this issue with my colleagues in the European Union, because we have to have common European solutions here. So there's a big difference between the situation in 2015 and today. In 2015 we were completely unprepared. We didn't have a good enough code, and we didn't have a good enough reception system. I think we have now, I think we're very well prepared. For six and a half years — most of them, with the exception of the last four weeks, with the Progress Party in government — the government has made the necessary cuts. We are now exercising both external and internal border controls. We have put in place a regulation relating to people who come from safe third countries. We have put in place a Russia-instruction. There's only one question that hangs in itself, and there's a shelter connected to what we call secondary refugees. It's a provision that the then government parties agreed on at Granavolden – I don't know why it's not decided, but it's now in process, so we're going to put it in place. It is precisely about being very clear that the solution to the problem is not to come to Norway, the solution is not open Norwegian borders, the solution is common European solutions, and we can help most where they are now. Then I registered that the Progress Party made a number of suggestions yesterday. Of course, we're going to go through them. And that's the way politics isn't static, politics has to be moving, as the society we live in. Of course, if there is a basis for change, we should consider it.
ParlaMint-NO_2020-03-04.ana.ud555e229	This was not a very obligating answer. One can fear that the Christian People's Party and the Left may now have more influence over immigration policy in the future, and that is very disappointing in that case. But I note that the Minister of Justice is going to go to Brussels and meet European colleagues today, and that both the Minister of Justice and the Prime Minister have talked about pan-European solutions. But what is it, what does it mean, and what does the Minister of Justice put into it? Does this mean that Norway wants to provide reinforced assistance to Greece to strengthen border control? In that case, it's good. Or does that mean that the government is about to conclude an agreement with other European countries on relocalisation? This means that the government is willing to assume an obligation to accept a significant amount of migrants because other European countries choose to do so. I want to know what the Minister of Justice has intended to promise his European colleagues when she now goes to Brussels.
ParlaMint-NO_2020-03-04.ana.ud555e234	First, what is the right starting point of government is the Granavolden platform. That platform was at the back of four batches. It's not like two of the parties in the government are now governing our policy, that's what the Granavolden platform is doing, and it's a product that the Progress Party also helped negotiate a year ago. So that's our starting point for politics now. With regard to the agenda in Brussels, it is mainly about two things. One is the situation in Greece: how are we going to help Greece keep its outer border? And how are we going to help Greece deal with asylum applications? The last one has been a huge problem. In 2016, Norway helped to relocate refugees, but we relocated more than Greece itself has managed to return on the basis of its own asylum treatment. My State Secretary was last week in Greece to contribute both financially and with people and competences so that Greece can cope with a refugee situation.
ParlaMint-NO_2020-03-04.ana.ud555e241	There will be follow-up questions – first Siv Jensen.
ParlaMint-NO_2020-03-04.ana.ud555e246	I have noticed that the government is running on the basis of the Granavolden platform, but you should also control on the basis of what is actually happening. When real world changes occur, it is not only necessary to refer to the Granavolden platform, it is also necessary to be willing to apply new measures if the need arises. I hear the Minister of Justice says that everything is now very well and that we are well prepared. But yesterday, UDI's director was out saying we're not prepared. So who's right? Is that the Minister of Justice, or is it the UDI Director? If it is the UDI Director, the government has to be willing to implement more measures than a possible change of so-called subsidiary protection – it is well and well stated that it is tightening up the action properly and far beyond what is laid down in the Granavolden platform.
ParlaMint-NO_2020-03-04.ana.ud555e253	To repeat myself, politics is not static. If there is a basis for changing policy, of course we should. But I think we are prepared in a completely different way than we were in 2015 both in terms of the necessary tightening, and not least in terms of the experience we gained in 2015. Then the representative refers to what the UDI director has said, but there are two completely different questions. What I've answered is whether we're prepared to prevent people from coming to Norway. I think we're much more likely to be. Can we do more? Yeah, maybe that -- we have to get back to that. What UDI has responded to is whether we have reception capacity if people first cross the border. That capacity is built up, of course the representative knows very, very well. We don't have many thousands of reception places standing empty in case someone is going to come to Norway, but we have experience to turn around in a very short time, and we're now doing everything we can to make sure that's not going to be the situation. So we do not want migrants to Norway. The solution is not migrants to Norway.
ParlaMint-NO_2020-03-04.ana.ud555e260	Sylvi Listhaug - for follow-up questions.
ParlaMint-NO_2020-03-04.ana.ud555e265	I hear that the Council of State first says we're well prepared, and then to be a little bit on the slip because we have to do more. I'm very happy about that. When it comes to going through these proposals, it should go quite quickly, because most of them are made in the Ministry of Justice and well worked out. I want to focus my attention a little on what the Prime Minister said, because there are no desperate refugees standing on the border between Turkey and Greece now. There are people who have been staying in Turkey for a long time, and who have not been persecuted. We are well prepared for the Russia instruction, as the Prime Minister said, but in 2015 we saw that there was a small proportion coming through Russia. Most of them came across other borders. If we now see that there is a secondary movement, the Prime Minister says that we may have to make sure that this happens, that we are moving towards Norway. Isn't it better to prepare now than to wait until you're in the middle of it, which we were a little bit of the challenge in 2015?
ParlaMint-NO_2020-03-04.ana.ud555e274	I assure you that we will go through the proposals that the Progress Party promoted yesterday, and I believe the representative is quite right in saying that many of them were promoted by the Right and the Advance Party when we joined the Government. But it wasn't proposals that got the majority in Stortinget, and the question is, of course, whether the majority has changed. It's not sure. So the question is, are there proposals that make the situation we're in now? When, for example: I think this is a rather hypothetical case, because we have border control at both the internal and external borders, we have rules relating to safe third countries, and we have rules relating to Russia. The case of sending a lot of migrants in Turkey – because I fully agree with the description that these are migrants, these are not refugees from Idlib we are now looking at the border with Greece – I think is a quite hypothetical situation. In that case, it would trigger a reaction from all over Europe if you were to fly from Turkey with people who have no identity or visa.
ParlaMint-NO_2020-03-04.ana.ud555e281	Sylvi Listhaug - for follow-up questions.
ParlaMint-NO_2020-03-04.ana.ud555e287	I want to say that it is anyway important to be prepared if it is to come. Unfortunately, in 2017, the Workers' Party, the Centre Party and the other parties – except the Right and the Advance Party – chose to vote down that we should continue to have instructional authority over the Foreign Study. I really hope that the Right now supports it, and that the parties that voted it down that time also agree to continue it. I wonder what requests have come from the European Union and what requests have come from Greece. From my time in the Ministry of Justice, I know that you would like to be asked to contribute. Have there been any requests to accept migrants — the type of relocalisation? If it comes, what will the government's answer to that be? One of the problems in 2015 was that you started to accept, and then so many people that it was possible to get to Europe and then move on, and then you were on. I want to know.
ParlaMint-NO_2020-03-04.ana.ud555e296	There has been no request from Greece or the EU for relocalisation. Nor is it on the agenda for today's sitting. So the representative knows, and I expect that I will also experience it, that that agenda can change. I don't know. But, of course, we do not intend to give any answer over the table on any such request. We got such a request before Christmas. Then the government answered no. We have said that there should be a relocation, there must be a broad European basis for it. There must be commitments. Greece has so far had major problems with its asylum treatment. Therefore, last week we contributed EUR 350 million through EEA funds. kr, with staff and with the competence of our foreign authorities to help Greece process the applications for asylum seekers they now have in their country. In addition, we need to help Greece deal with its external border. These are the two questions on the agenda.
ParlaMint-NO_2020-03-04.ana.ud555e303	Sylvi Listhaug - for follow-up questions.
ParlaMint-NO_2020-03-04.ana.ud555e308	Just to be absolutely sure that I got it right: in a situation where you're asked to relocate, would you consider including some of these people on an allowance? In reality, that means picking up people, migrants, from the border with Greece, who have been in a safe situation in Turkey, rather than picking quota refugees from camps where poor people cannot afford to use human traffickers to get to Europe and who have not had the opportunity to participate in what is now happening. Will you really consider it, or can the Council of State reject it here and now, that there is something the government is not going to open up to?
ParlaMint-NO_2020-03-04.ana.ud555e313	To be equally precise, it is not on the agenda of today's meeting. We have not received any enquiry. If we get an enquiry, we'll have to evaluate it. The last time we got it, we said no, because there was no basis for saying yes. Of course, I cannot speculate in the future. We see that things change very quickly. But our starting point now is that it's not a question we've been given and we're going to answer affirmatively.
ParlaMint-NO_2020-03-04.ana.ud555e320	Masud Gharakhkani – for follow-up questions.
ParlaMint-NO_2020-03-04.ana.ud555e325	As you know, the Labour Party is the only party in Norway that has gone through the whole asylum and refugee policy and has presented solutions that will re-prepared Norway for a migration crisis. The government is not prepared, says UDI. This is a serious issue. Therefore, there is a need to clarify some facts, so that we can have a debate based on facts. Listening to the Progress Party gives the impression that Norway, if we want to, can send an asylum seeker from Syria who has been in Turkey for several years and then manages to get back to Norway, back to Turkey without examining his asylum application. Does Norway have an agreement with Turkey that makes this possible today, and has this ever happened? Why hasn't the Progress Party in the government been able to put this in place in the last six years?
ParlaMint-NO_2020-03-04.ana.ud555e332	What the Progress Party has done in government, the representative must almost ask the Progress Party about. I am pleased that the government has put in place a necessary regulation, which has been tightened up and which gives clear signals that the solution is not coming to Norway. We need to find other solutions to the terrible situation we see in Syria, and as we see in Greece. It is primarily about urging the parties to show restraint, that a rapid and lasting peace solution is in place. It is about putting in place broad European solutions related to border control, linked to Greece’s ability to deal with its asylum situation. Then the representative Gharakhani asks me to speculate in a possible migration from Turkey to Norway. So we have a return agreement with Turkey, if that's what we're asking for. We have asylum seekers from Turkey who come today as refugees from the Turkish regime. They are given a stay in Norway if there are grounds for doing so. But we haven't seen the need for a Turkey instruction, if that's what the representative is asking for.
ParlaMint-NO_2020-03-04.ana.ud555e341	Masud Gharakhani – for follow-up questions.
ParlaMint-NO_2020-03-04.ana.ud555e346	We need a clear response from the Council of State to what is practicable today, i.e. a yes/no response. If a Syrian refugee arrives in Norway who has been in Turkey for several years, and Norway tries to send him to Turkey without examining the application, will Turkey accept him?
ParlaMint-NO_2020-03-04.ana.ud555e351	It's a problem I haven't been through, so I can't answer that, but basically we have a return agreement with Turkey. We have a regulatory framework to send back people who come and seek asylum from safe third countries. The authorities will then have to decide whether Turkey is a safe third country. It is a concrete decision that is made there and then by our professional authorities.
ParlaMint-NO_2020-03-04.ana.ud555e357	Social violence Vedum – for follow-up questions.
ParlaMint-NO_2020-03-04.ana.ud555e362	In 2015, Anders Anundsen was the Minister of Justice, and in the beginning of that crisis, the government had little control. What was nice about Norwegian politics then was that we went together and had a wide deal where we helped each other. If there is a need for the type of rounds now, I just want to signal on behalf of the Center Party that we would like to set up with the government. For the kind of pingpong game we saw in 2015, no problems solved. There might have been some party politics points, but there were no solutions. Then we took the initiative to put ourselves together, work and find solutions, and the subdued level of conflict. That's what I hope, too, if it's necessary, for the government to make contact with the Storting, and that we sit down and find solutions. But hopefully the solutions we found in 2015 are robust and good enough.
ParlaMint-NO_2020-03-04.ana.ud555e367	Thank you for the invitation. I believe it is a strength in Norway that we stand together in difficult situations, and that we – at least to some extent – have cross-political agreement on difficult issues. So I thank you for the invitation. The government will of course consider it, given that a situation should arise. Now we are doing everything we can to prevent this from happening, both through our work in NATO and in the EU and with the changes we have made in our own legislation.
ParlaMint-NO_2020-03-04.ana.ud555e372	Bears Moxnes – for follow-up questions.
ParlaMint-NO_2020-03-04.ana.ud555e377	In yesterday's newspaper, Norwegian health workers who have volunteered at the border between Turkey and Greece, about refugees who are being protected by Greek police, about children drowning, and about people who risk their lives trying to cross the border. The two health workers tell of children who have lost parents, parents who have lost children, and boats that go down, where no one is saved. They've seen this with their own eyes on the border between Turkey and Greece. On the same day, Erna Solberg – from a safe and warm NRK studio – says that there are no desperate refugees on the border between Turkey and Greece now. I wonder what's going on for the government to realize that these people are in a desperate situation and need our help?
ParlaMint-NO_2020-03-04.ana.ud555e384	There is no contradiction between observing cruel conditions and finding that the people who are on the border between Turkey and Greece, who were referred to by the Prime Minister, are not asylum seekers from Idlib, but people who have stayed for a long time in Turkey. That doesn't mean it's a good relationship. There are cruel conditions, but the solution is not to open Norwegian borders and say: come to us! The solution is not to invite criminal gangs to put people into a bottomless debt and put their lives in debt by inviting them to sea trips in the Mediterranean, which, for many, end up terribly. So there's no contradiction. But describing what people we're talking about is pretty important. These are migrants who are looking for a better life. That, of course, is quite understandable, but it is not what the asylum institution is supposed to embrace.
ParlaMint-NO_2020-03-04.ana.ud555e389	Bears Moxnes – for follow-up questions.
ParlaMint-NO_2020-03-04.ana.ud555e394	Then we hear a government that is blind to reality. Turkey opened the border against Greece in a cynical game – we agree – to get more NATO support for the illegal invasion of Syria by Turkey. Greece is on the verge. In the Moria camp, where there is room for 3,000 people, there are now 20,000 refugees – and yesterday 10,000 refugees crossed the border from Turkey. They're in an extremely tough situation in Greece, and they don't have the capacity to help those who get there. I wonder if Norway in such a situation, where Greece needs support from other European countries to deal with the influx, and not least to help more people, will consider relieving an overburdened Greece of extracting refugees who now live in crowded camps and who are becoming increasingly overcrowded due to the fact that more are now flowing across the border from Turkey. Is this what the government sees needed, both for Greece’s sake and not least for the sake of the refugees?
ParlaMint-NO_2020-03-04.ana.ud555e399	So Norway is making a major contribution to humanitarian affairs. It was just supposed to be missing. We're a rich country, we're going to help as much as possible, and we're going to help as much as possible where they are. Over the last few years, we've contributed 10 billion. kr to Syria to remedy a terrible difficult situation. A couple of weeks ago, we contributed 77 million. D to the UN Humanitarian Fund. Last week we traveled and contributed 350 EEA millions to help Greece deal with asylum applications, as well as providing staff and expertise. Norway helps. We have to do everything we can, and we also have to work with the EU to find solutions. What's the answer to this situation is getting a truce and ending the conflicts. But in the meantime, of course, we're going to help the refugees. And we're going to keep doing that.
ParlaMint-NO_2020-03-04.ana.ud555e404	Bears Moxnes – for follow-up questions.
ParlaMint-NO_2020-03-04.ana.ud555e409	If the answer to the problem is to get a truce and get peace in Syria, to prevent more refugees, it is a question of why NATO, of which Norway is part, now supports the international operations of Turkey and the invasion of Syrian territory. If it is that what creates refugees, are just Islamist terrorist gangs that wage war in Syria, and also wage war against civilians in Syria, why is Norway so little critical of our NATO ally, Turkey, invading Syrian territory to support the very last remnant of Islamist insurgents in the Idlib province, where one can get a million refugees out of war acts? Should not Norway, in such a situation – whose aim is, as the Council of State says, to have fewer refugees – stand up against the invasion of Turkey and also stand in favour of peace in Syria, rather than support this international lawless operation carried out by Turkey on Syrian territory?
ParlaMint-NO_2020-03-04.ana.ud555e415	The President would just like to point out that the foreign policy issue is probably not within the constitutional sphere of the Minister of Justice, but it is up to the Minister of Justice to decide to answer that question.
ParlaMint-NO_2020-03-04.ana.ud555e420	Thank you for that, President, that's right, and I don't think anyone is worthy of the fact that the representative and I are beginning to discuss our relationship with NATO, which has ensured that Europe and we have lived peacefully since the war. I recognise that Red is against NATO, against the EEA, against international cooperation. I'm of the very opposite opinion. We're active in NATO, we're active in the EEA, we're active towards our allies, and we're active in both humanitarian and border control. Both parts are absolutely crucial if we are to help the people who need it, and of course we are to do that.
ParlaMint-NO_2020-03-04.ana.ud555e425	Let's move on to the next main question.
ParlaMint-NO_2020-03-04.ana.ud555e430	The governments of Erna Solberg have put the police in a very difficult economic situation. Both Troms, Trøndelag, South-West, South-East and Inland police districts are now flagging that they must save tens of millions of dollars in 2020 if they are not to run short. We have heard the same thing every year since the police reform was introduced. The near-police reform has sucked money into central bureaucracy and expensive leadership positions in the main seats. At the same time, response times have gone up in the districts, among people. In Finland, for example, response time increased for all sites with less than 20,000 inhabitants from 2016 to 2019. And so it's everywhere except for Hamar, which is the largest city. The government has carried out the largest centralisation in history of the Norwegian police. It is a reform that has become austerity and centralisation reform, not a near-police reform. The government has destroyed the police, who were to be present in people's everyday lives. Already in 2018, the trust elected in 11 out of 12 police districts in Norway on a police crisis. In 2019, there had been up to 12 out of 12 police districts. The government has not done anything to correct the course, which is that the police are being removed from people, even though former Minister of Justice Jøran Kallmyr promised long before Christmas that there would be a big message. We haven't seen anything else yet. The situation does not appear to be improving in 2020, with the signals we get from the police districts about large savings and a desperate situation. My question is: does the Council of State believe that the near-police reform is an appropriate name for the centralisation reform that the government has implemented?
ParlaMint-NO_2020-03-04.ana.ud555e443	I do not think it would surprise the representative at all that I believe that police reform is absolutely necessary. It's been important, and it's been right. There was an answer to a terrible situation in Norway on 22 July 2011, when we were undressed, and when we all saw how it was in Police and Preparedness Norway. We also see a crime that evolves, and methods that evolve. There are completely different forms of crime today than it was five and ten years ago. Then we can't, as the Center Party invites, have a police force today that's been spared for yesterday's solutions. We need a police officer to deal with today's and tomorrow's solutions. The truth is, in terms of money, that the police have been charged with $4.4 billion. NOK more and has got 2,800 more employees. They have improved their skills, they have improved their capacity, and they have improved their quality. And when we see that the proportion of cases relating to child abuse has increased by 160 p.m., I would be very worried about what happened to those cases before – even if I was in the Center Party. It's a very serious development, and we have to be rusted to handle that development. I mean, we are. So the question is, is the reform perfect? No, I don't think it is, and the bright light of the clock also gives us very clear answers. I will now deliver a police report – which has been notified for a long time, I fully agree with that. I would have liked to have delivered it before, but I must be allowed to do so in a proper way. It's coming pretty fast. It's coming, among other things. to sum up both what we've done, what we're doing, and what we're thinking in the future. But the police reform has not been completed. We've said we're going to evaluate it in 2022. Now we're in 2020.
