ParlaMint-NO_2020-02-05.ana.ud231e28	The representative, Helge André Njåstad, will present a proposal for a representative.
ParlaMint-NO_2020-02-05.ana.ud231e112	The ten percent richest in the country accounts for almost three times as high emissions as the ten percent poorest. There are two researchers from the University of Oslo who joined in 2016. It is from an article published in the «Ecological Economics» and it is also confirmed by the latest survey of transport economics. The study shows that when it comes to the choice of means of transport, the richest of them are the most impoverished. It is quite understandable that many people experience it as grossly unfair that the wealthiest in society can only continue to live their lives as before – unimpaired by the increase in carbon taxes and fuel prices every year. As we know, frames increase the fees of those who have low income, hardest. The government responded on the basis of getting into work, but here, people are at work, who have low incomes. The question is how the government will prevent it from being only those with low incomes who have to set limits on themselves.
ParlaMint-NO_2020-02-05.ana.ud231e119	We must all take responsibility for contributing to lower emissions. That means we need to implement measures nationally. We do that, not least by investing heavily in public transport, which has contributed to hundreds of millions more collective trips every year. We have to do it through charging policies by making it more expensive to pollute and cheaper to act environmentally friendly. Interestingly, this issue comes from the Workers' Party, which is intended to cooperate with parties that want even higher tolls and even higher charges – which will have exactly the negative impact the representative addresses. I am concerned that those who have the most should contribute the most. I'm concerned that we're going to keep a society of small differences, and the most important thing we can do to ensure it is actually to keep unemployment down and make sure that more people get into work. And it goes in the right direction.
ParlaMint-NO_2020-02-05.ana.ud231e128	Hadia Tajik – for follow-up questions.
ParlaMint-NO_2020-02-05.ana.ud231e133	In our alternative state budget, the Labour Party suggested that those who buy the most expensive electric cars, i.e. cars that cost more than NOK 600 000, have to pay VAT on the excess amount. As we see it, there's no reason just to keep throwing money at people who are strong. It will increase the differences in our society. We were voted down. This proposal would amount to almost half a billion dollars on the state budget. It means that one should rather be used to build charging stations in the districts and by building a barricade, so that it could become a more realistic option for more people to buy an electric car. We see that in California, in the United States, there has been a change in the electric car regime by linking subsidies to the income of buyers, so that subsidies are owed to them with the lowest income. So far, the Right has said no to this kind of social initiative in Norway, which would make the climate change more social. Why do they say no to this?
ParlaMint-NO_2020-02-05.ana.ud231e141	I think we need to be open to discuss more proposals. There are several reasons for this: One is, as the representative points out, that the instruments must ensure that everyone contributes. It's important that it doesn't become a biased distribution, so it's those that have the least, that have the heaviest scales. All have to contribute to reducing climate change emissions. The second is that we also need to ensure a sustainable car tax system. We've used powerful tools to make a transition from fossil cars to electric cars. It's worked. We see that we have strong growth over the years using an electric car. It contributes to the reduction of emissions in the passenger transport sector. However, we have also said that we need to ensure a sustainable car tax system, and that means that we need to discuss different instruments in the years ahead towards 2025.
ParlaMint-NO_2020-02-05.ana.ud231e150	Hadia Tajik – for follow-up questions.
ParlaMint-NO_2020-02-05.ana.ud231e155	The problem with the proposals to the Council of State is that his means of action are greatly increasing the differences between people. It is fine that he is open to discuss more tools, but I believe we actually need to get the tools on the table. Some of the problem today is that it is those with low incomes who are left with the majority of the bill when it comes to increased climate tax – whether it applies to air passenger charges, rush time charges or increased ferry prices when electricity ferries are to be financed. It poses some challenges that those who have the least to travel with and who have no other choice either – because they have to take the ferry or run past that boom in order to pick up and bring into the nursery – are those who have to bear the greatest demands when the climate measures are to be financed. With this background, I also have to ask why the government continues to lead a tax policy that gives a hundred times more in tax cuts to those who tend the most, compared to those who have the lowest wages. It would also mean something in the climate change.
ParlaMint-NO_2020-02-05.ana.ud231e162	As far as tax policy is concerned, it aims to pay off. That's why we've reduced the tax on work. Tax policy shall contribute to the return on investment in Norwegian jobs. I believe it is unfair when the Workers' Party wants to increase the tax on Norwegian-owned jobs and maintain that foreigners who own jobs in Norway should avoid the taxes on wealth. We've reduced corporate tax over the year. It helps make investing in new jobs more profitable. The most important tool to ensure small differences is that people have a job to go to. It is to ensure low unemployment, and unemployment is now the lowest in ten years. We see that more people come to work. Since the end of 2015, 140,000 more have come to work. We're increasing the employment rate. It helps more people to bear our common well-being, and it also helps to maintain a society of small differences.
ParlaMint-NO_2020-02-05.ana.ud231e169	Social violence Vedum – for follow-up questions.
ParlaMint-NO_2020-02-05.ana.ud231e174	Here I stand with an eight-page reply letter from Siv Jensen explaining all the fees she made as Minister of Finance. In summary, she has increased the excise duties and charges in Norway by 6.3 million. kr from she took over as Minister of Finance until now. There is no finance minister ever who has had a higher level of fees than the finance minister, Siv Jensen. The central party fundamentally disagrees with that policy. The hardest hit is those who have the lowest income, the hardest hit those who are concerned about the electricity bill – when today’s government has increased the electricity charge by 36 pst. It's going to hit a lot harder a person who's going to make $300,000 than a person who's going to make $2 million. kr. Will Minister of Finance Jan Tore Sanner follow in the footsteps of Minister of Finance Siv Jensen and further increase the fees, or will Siv Jensen be the one who is enthroned at the top with the highest level of fees in Norway ever?
ParlaMint-NO_2020-02-05.ana.ud231e181	Here, the representative Vedum gallantly jumps over the fact that the Senterpartiet proposes a significantly higher level of taxation and charges. It is not the case with higher taxes that no one has to pay them. It's also a bill that's being sent to the residents, it's a bill that's being sent to companies all over the country. If we look at the government's tax policy, half of the personal tax benefits have come to people who earn less than NOK 600 000. A normal family with full-time income pays about NOK 9 000 less in taxes than they did in 2013 – NOK 9000 less in taxes than when the party of Trygve Schlagsvold Vedum put in government. If we look at the same minimum pensioners, they've increased their pension by $12,000, or $1,000 per month. Then I got a question from the representative, Hadia Tajik, who was thinking that people would pay more, contribute more, to reduce greenhouse gas emissions. This means that if the representative Vedum is to cooperate with the Workers' Party, there will be no lower taxes, but higher taxes.
ParlaMint-NO_2020-02-05.ana.ud231e190	Social violence Vedum – for follow-up questions.
ParlaMint-NO_2020-02-05.ana.ud231e195	The level of fees in Norway when the Senterpartiet cooperated with the Workerspartiet last, was 6.3 billion. kr lower, according to Siv Jensen and the government Jan Tore Sanner is part of. There was a lower level of charges as it is now. The centre party was the only party in its alternative budget before Christmas that reduced the fees. We reduced the fees by 3.8 billion. kr just because we saw how it was distributive. For some remarkable reason, the government will also not have its own tax return and see how it turns out to be distributive. It is quite obvious that if you increase the fees, it affects much harder those who have lower and medium incomes than those who have high incomes. I want to challenge the electricity charges directly. Current charges have increased by 36 pst. while Jan Tore Sanner has been in government. Does Sanner think that they should be further increased, or should they be put down? The clear perception of the centre party is that they should be put down, because there is a great deal of intervention in people’s everyday lives when electricity prices rise – and not least when the taxes to the state go up when it is not necessary.
ParlaMint-NO_2020-02-05.ana.ud231e202	The representative of Vedum knows very well that tax questions are something we take a position on in the budget. It would be totally irresponsible if I, as a fresh finance minister, had started to decide on individual charges in good time before the budget was to be presented. We've put the price of electricity in one of the last budgets, but what matters to people is the power price. It's the power price that matters, and if we look at the evolution of the power price, it's now showing a decline. The representative Vedum cannot ignore the fact that he is promoting his alternative budgets with a significantly higher level of taxation than the bourgeois parties have adopted in the Stortinget. Taxes must also be paid by someone. It's not just the fees that matter to people's everyday lives, it also does the taxes you pay on, among other things. income. We have reduced the taxes for a normal family of approx. 9 000 kroner – 9 000 kroner less this year than they paid in 2013.
ParlaMint-NO_2020-02-05.ana.ud231e207	Kristoffer Robin Haug – for follow-up questions.
ParlaMint-NO_2020-02-05.ana.ud231e213	Common to red and blue parties is that they have so far failed to take the steps needed to save the climate and the future of our children, and that they do not trust that people actually want an ambitious policy that prioritises our common future. We in the Green Party will create a society that both distributes the goods fairly and takes care of our livelihoods. This is fully possible, but new measures are needed. What does the Council of State think about introducing some sort of climate reward to the people, also called carbon tax for distribution, which can take care of both the environment and the distribution at the same time, where the taxes on petrol, diesel, air travel, etc. is significantly increased, while money is re-allocated to people in a geographically and socially fair way, in order to stimulate climate-friendly choices in everyday life?
ParlaMint-NO_2020-02-05.ana.ud231e222	It's interesting to observe that I now have three questions that go in a very different direction. While Hadia Tajik wants a redistribution of today's fee level, the Senter Party wants a lower fee level, and the Green Party is an engine to increase the fees for people most. We already price 80 pst. of emissions in Norway. We were the country that used CO 2 taxes, and we have also increased CO 2 taxes. I don't think it's a good idea to add an additional charge to the top of it all, which is going to be dragged in first, and then distributed. We are actively using the charging policy. We do that because it's going to pay off acting environmentally friendly, it's going to cost us pollution. I am pleased that there seems to be quite broad consensus, perhaps with the exception of the Centre Party, that we should have both ambitious climate targets and active instruments that can bring down greenhouse gas emissions.
ParlaMint-NO_2020-02-05.ana.ud231e237	Let's move on to the next main question.
ParlaMint-NO_2020-02-05.ana.ud231e242	My question goes to the Minister for Foreign Affairs, and this is about the operation that the government carried out without the consent of the Advance Party, to bring a family from Syria to Norway, of which the mother was a member of the IS. This is an operation that has created a lot of debate, and the Progress Party believes it is quite natural that a lot of questions are asked after such an operation. We're not talking about any operation. The Minister of Foreign Affairs himself has said that this was an operation that took place in a high-risk area and that it has been very difficult to implement. You can easily understand that. This whole decision is based on a single statement, which the government has referred to as an allegedly seriously ill five-year-old. When the government carries out operations that are so controversial and that lead to a party leaving the government, it is natural that the public also learns about the government making that decision on the right or wrong basis. It has something to do with people making an assessment of whether they have confidence in what the government decides. My question is whether the Minister of Foreign Affairs will categorize this operation as a dangerous operation, and what criteria the government is using to initiate an operation that could endanger Norwegian personnel.
ParlaMint-NO_2020-02-05.ana.ud231e253	This is a matter that was a difficult dilemma for the government. It is a matter in which none of the parties had a wish to contribute to the return of their mother, but Mother was also intended for participation in two terrorist organisations and was arrested when she arrived on Norwegian soil. It now follows the usual criminal law trail. When we evaluated all of these sides, there were many dilemmas that arose. One was, of course, using Norwegian personnel to carry out this type of action. We had experience at the time of bringing home the five orphans, and it was an experience that made us realize that there was a lot of risk. It was also one of the reasons why we could not now send our own personnel into the camp, but depended on cooperation with those who managed the camp. At the same time came, as the representative is well known, the Turkish intervention in Syria, which also made ground conditions even more unwieldy, and there was also some reason why this took longer than intended, simply because many of those who were our partners, were busy on another team and could not assist in the same way that they had done when we brought home the five orphans. The safety of our staff, whether there are staff in the U.D. or staff in the collaborative services, will always stand in the high seat, and there are assessments made both by them on the ground and of course by the superiors here at home. It'll always be governing our assessments. We have not taken any risk that we thought was irresponsible, then we would not carry it out, but we have of course made assessments of when it was possible to carry this out, and under what conditions. We always take that into account, just like other countries, even in these kind of difficult consular matters.
ParlaMint-NO_2020-02-05.ana.ud231e266	Thanks for the answer. The progress party has tried to ask questions because we believe it is timely to know whether this decision was taken on the right or wrong basis – whether it turns out that the information was based on, correct or incorrect. But we record that the government doesn't want to disclose anything, neither confirm nor cancel anything about health information at the overall level, although it's quite common in other and much less serious cases. Then we just have to work on the assumption that the government made such a serious decision based on an assumption. I want to ask the Foreign Minister if she understands that it creates speculation, and that there are questions and debates, if the government makes such a serious decision based on an assumption.
ParlaMint-NO_2020-02-05.ana.ud231e275	As the representative is well-known, and as I have also explained in the bodies of Storting and in answers to questions both from the representative and from others, we are very often in those situations when we deal with difficult consular matters – and so many other things too – that we never have the complete picture of information, or that we feel that we always have enough information. The challenge is that we still have to make a decision. We who sit and control, have to make the assessments based on the fact that we never have the perfect basis, and evaluate the risk we're willing to take into account what the situation actually is. There have been difficult discussions and balances, but at the end of the day, we fell upon, without the support of the Advance Party, the risk of the child’s illness outweighed the desire not to help her get back. Of course, we follow the common rules on professional secrecy. We have no information today about the child's health status, neither should we, nor do we have it in similar cases.
ParlaMint-NO_2020-02-05.ana.ud231e282	There will be follow-up questions – first Jon Engen-Helgheim.
ParlaMint-NO_2020-02-05.ana.ud231e287	In the first answer, and so far also in the second, the Foreign Minister confirms that it was nobody's wish to bring the mother, i.e. the IS member, back to Norway, and it is also known from before that there has been a common desire among all to help the child. So the Progress Party is also happy that the children can get help. But it is serious to bring a suspected terrorist back to Norway. That's why it's important to get these answers. Another thing I wonder about then is: Was there any specific offer given to the family where the child could receive the necessary health care in the area or in Norway without mother coming to Norway? Is it the mother who has set the premise and pushed forward the solution she wanted?
ParlaMint-NO_2020-02-05.ana.ud231e294	I noticed that the representative from Engen-Helgheim said very clearly that he was pleased that the children had received help. I think we can agree that the assessment themes that were very difficult, at last, are about whether it was most important not to help mother come home, or most importantly to bring the children home. That's where our views split, and that's a perfectly legitimate discussion. For us, it was most important that we could help the children. Mother was already targeted for possible association with two terrorist organisations and is now following the legal path in the usual way. It has been known from the media that Mother has not wanted to send the children away, and it has also been known that we have offered health care in camp. I have also given a thorough account of this to the bodies of the Storting.
ParlaMint-NO_2020-02-05.ana.ud231e301	Let's move on to the next main question.
ParlaMint-NO_2020-02-05.ana.ud231e307	It's a ferry uprising along the coast, and I understand that, because the communities are totally dependent on the ferries. High ferry prices make everyday life more difficult and demanding. One of the main reasons for increased prices is that the government and the Stortinget have set the goal of having more environmentally friendly ferries. The cost estimate for this after the state has contributed is 468 million. kr annually in increased costs. What's kind of interesting is that we've asked Monica Mæland a question earlier: how much money does the government spend on consulting services? Then we got a comprehensive answer, and on one line it said that in the first eleven months last year the state of Norway and the government of Solberg spent 687 million. kr on public relations and advisory services and organisational advisory services. Over 700 million. kr annually at the PR agency, PR consultants and organisational advisors – that is a huge amount. Yesterday we saw that the U.S. Council of Hareide traveled to More and Romesdal. He said he was there to listen – he did not have so many steps, but he would listen and hear. Then I have a free advice – I’m not going to take such Listhaug prizes as when she was in First House and took several thousand dollars per advice, I’m going to give a free advice: Take a decision in the government where you say no, we’re not going to use more of that kind of consulting services, use PR agencies more, spend millions more on it, but rather save that money. If the number for Meland was right, you can save approx. 700 million. rather spend the money to bring down the ferry prices and take the full cost of making the country's ferries environmentally friendly. The council is free. Does Sanner want to take it?
ParlaMint-NO_2020-02-05.ana.ud231e316	Social violence The Vedum actually combines two issues. One is the natural reactions that come from people along the coast in terms of increased ferry prices. It is a significant burden both for commuters and for business. The main responsibility for these journeys and the rates lies with the county councils, and there is a responsibility of the Central Party in very many counties after the elections last year. But these are also issues that we have to discuss in government and big business. That is why both the new Minister of Transport and the new Minister of District and Digitalisation were out there, having dialogue with and listened to people, businesses and state politicians yesterday, and they got more issues that we are going to discuss further. But I would like to stress the responsibility of the county councils and the Central Party regionally to find solutions. Then I've also seen in the Central Party's alternative budgets that you look at the use of consulting services like the area you're going to cut. It is then necessary to be aware of what these consulting services are actually used for. They are used to plan, inter alia: the development of roads across the country, the development of railways and new ICT projects, so that if the Centre were to achieve its rather dramatic cut in the use of consultancy services, either major road, rail and new ICT solutions would stop or even more staff would have to be employed in the country. The use of consulting services may be sensible, but I agree that it should be for concrete purposes. Road and rail planning is a good purpose.
ParlaMint-NO_2020-02-05.ana.ud231e323	I notice that the Council of State gets very engaged in defending the government's use of consulting services. I particularly pointed to one type of consulting services in the question that the Council of State Monica Mæland answered here in the Stortinget. She replied that in the first eleven months of last year the state, Norway and the government had spent 687 million. kr on consultancy services dealing with communication consultancy and organisational development. So it's not about road development or legal services; it's about communication, public relations agencies, all that spin and the game that's around the PR business. If you look at the full-year effect, it'll be over 700 million. kr. That's huge amount of money. Just to illustrate how much it is: the total ticket revenue for all the boats along our coast was, according to the SSB, 606 million. kr. So the Norwegian state, i.e. the government, is spending more on PR services and organisational development than the total ticket revenue for fast boats and similar along our coasts. Does the Council of State honestly believe that this is a good priority, or will he do anything about it?
ParlaMint-NO_2020-02-05.ana.ud231e332	I do not know the specific figures to which the representative Schlagsvold Vedum refers, but if I heard correctly, it was also mentioned that some of these were used for organisational development. It is quite clear that there is a need for organisational development in the country. We're going to have a modern public sector that serves the people, the users and the business community. That means that we need to have continuous development also of the government's organisation and services. But I agree with the representative's concern about the use of different communication services. We have good communications departments in the departments. It's for the ministry, because we also have a responsibility for external communication. But with regard to the use of different PR agencies, I agree that moderation should be demonstrated by the state. It shall be used when necessary but not in addition.
ParlaMint-NO_2020-02-05.ana.ud231e339	There will be follow-up questions – first Tryful Battle Violence Vedum.
ParlaMint-NO_2020-02-05.ana.ud231e344	The centre party believes it is a very negative development that public relations agencies are becoming more and more extensive – they are getting a larger and larger customer base – and that government councils and state secretaries are moving between public relations agencies and the government apparatus. It's negative because the policy then becomes more money-driven. The policy must be governed by the rule of the people; it is the people who are our sponsors. Now, when there's a big ferry uprising along the coast due to higher prices, State Council Sanner's job and my job is to make priorities. We fucking about. 10 pst. in the state consultancy in our alternative state budget. That would be approximately. 1 billion. kr, which we could use to bring down the ferry costs, and that would have enabled the state to take the entire bill by getting environmentally friendly ferries along the coast. Isn't that a good priority? My last call to the Council of State, Sanner, is: dare to take this, dare to cut the use of consulting services, dare to cut the use of PR agencies – use the money to bring down holiday prices.
ParlaMint-NO_2020-02-05.ana.ud231e353	I think I can promise the representative of the Battle of Vedum that there will be tough priorities in the future, because we are facing a situation where oil revenues will gradually decline, and where there will be tougher and clearer priorities in the budgets. So the representative doesn't have to worry that there won't be priorities. The representative, Schlagsvold Vedum, indicates that the Centre Party has generally cut in the consultancy. Then you have to be aware of the consequences. A general cut in the consultancy will mean poorer planning of transport projects. It is also important for the future use of money that transport projects are well planned, that money is controlled and that they are well implemented. It requires a willingness to spend some money on consulting services. The alternative is to hire even more people in the country. I think that is a bad solution.
ParlaMint-NO_2020-02-05.ana.ud231e360	Sigbjørn Gülsvik – for follow-up questions.
ParlaMint-NO_2020-02-05.ana.ud231e365	After all, this government has done both things: one has taken care of employing more people in the state – in a few years, there were 2,000 more employees in the Directorates – while one uses consulting services and PR counselling over a low shoe. It is quite right that a user consulting services to plan projects. Many of the projects – such as the municipal reform, which the Council of State Sanner knows very well – are planned against the will of people. The police reform took the police away from people. On top of that, a PR consultant has to explain why services to people in Norway have not improved. Transport was mentioned: In the case of transport, Bane uses NOR – at the top of its 50 communication staff, among others. 12 with management positions – also Creuna for brand construction and design work. Does the Council of State really believe that there is a reasonable use of money?
ParlaMint-NO_2020-02-05.ana.ud231e372	It is probably a question that has to be asked to the Minister for Transport, who is responsible for those departments. However, if we look at the reforms to which the representative refers, the reality is that New Veiger is helping to reduce costs and that we are building a considerably more road for the same means. It is a completely necessary and proper reform. We also see that the launch of rail competition contributes to a reduction in costs. It's good for the people, it's good for the Norwegian community. In the case of the municipal reform, changes affecting nearly 120 municipalities were implemented. About 100 of them were through voluntary community mergers. So the picture that the representative is trying to create, that this was a reform that was implemented against people's will, is not right. On the contrary, we now see that the new municipalities have been well received, and that they provide a basis for better services for citizens.
ParlaMint-NO_2020-02-05.ana.ud231e381	Sigbjørn Gülsvik – for follow-up questions.
ParlaMint-NO_2020-02-05.ana.ud231e387	A number of municipalities around Norway are combined with coercion, against the will of people and local people. One has implemented a regional reform where one had a referendum in Finnmark there 87 p.m. black no. Anyway, one is running on. In the Week there were people and people elected in all three counties against. Nevertheless, the government pushes it through and arranges for a new county house to be built in Sanner's own neighbourhood, in Sandvika, for 1 billion. kr. It's not using public money in a good way, nor is it listening to people. Why does the Council of State think this is a sensible use of money?
ParlaMint-NO_2020-02-05.ana.ud231e392	We're moving pretty far away from the main question. It may be my fault, since I got a little engaged when we talked about municipal reform. [[Laughter]] I believe that a community reform is absolutely necessary and correct, and the reason for this is that it is about the services that citizens should receive. Looking at developments in the future, individual municipalities are where there will be one working age for each pensioner. I think that is a challenge, because we are also responsible for providing people with good services, in the care of the elderly, children who need child protection – the most vulnerable among us. There is a need for strong trade unions in the municipalities. And when reference is made to the use of coercion: well, it is the Storting that has taken the decision. It is the Stortinget who has taken the decision both in terms of regional reform and in terms of municipal reform, and the Stortinget is elected by the people, the highest democratic body we have. I am absolutely convinced that the municipal reform will continue, precisely because it is necessary to ensure good services for the inhabitants close to people.
ParlaMint-NO_2020-02-05.ana.ud231e397	Let's move on to the next main question.
ParlaMint-NO_2020-02-05.ana.ud231e402	We like to think of Norway as a ‘like country’, a country where there is a short way between the boss and the worker. But Norway is not as similar as it once was. The diversity of power and wealth in Norway is increasing, and it is especially those with the highest income who have stung from the rest of society. At the same time, with the lowest income, they have had a smaller share of cake. When we look at wealth, the number of numbers is even clearer. Differences in wealth in Norway are now on the level of the United Kingdom and higher than in countries such as France, Italy and Spain. Today, the richest tenth in Norway controls more than half of all wealth in Norway, and the richest thousandth owns 10 pst. of the property. I think these numbers are very serious. Not only is it negative for society as inequalities grow, but when wealth and wealth in Norway accumulate on ever fewer hands, power also accumulates on fewer hands. A billionaire may influence the policies pursued in Norway in ways that are completely different from those that a caregiver can. We in SV have now addressed for two major periods the increased inequality with the predecessors of the Council of State, Siv Jensen. Time and time again, we only got wool when we tried to ask Siv Jensen if the differences are increasing. Finally, we got a recognition of it, but only when the majority of the population agreed that the government had to make an entire big message about the topic. So I start easily: does the Minister of Finance agree that the differences in power and wealth are increasing?
ParlaMint-NO_2020-02-05.ana.ud231e411	I believe it is important that we ensure and maintain that there are small differences in the country. I think it's important, and I think it's important that we spread power – I'm a member of power distribution. But then the question is, what are the instruments that contribute to the spread of power? I think it means something that you have local owners along the coast, private owners who invest in jobs. If SV were to come up with its policy, namely to increase the tax on Norwegian ownership all the time, it would – I believe – help to reduce the distribution of power. Because that means you've also spread power all over the country. So I'm of the opinion that what over time will contribute to a society with both small differences and the spread of power is school and education, and that we ensure that youth completes and remains high school. I'm worried about a development where there's still one in four who doesn't finish high school after five years. The fact that young people have an education and can get into work is important in order to ensure a high level of employment, but also in order to ensure the distribution of power. So here's a lot of different tools. I believe that SV is looking too blind on tax policy. I also believe that taxation and tax policy have a meaning; it does, but it is not the only tool to ensure small differences in a country and secure the spread of power.
ParlaMint-NO_2020-02-05.ana.ud231e418	In fact, I don't think I got an answer to the question of the differences in power and wealth in Norway is increasing. Then I would recommend the Council of State to read the big message that was submitted from the government on that topic. Also SV is concerned with the spread of power, and that's why we're so concerned about the fact that the wealthiest subtracts from, that Norway's wealth is collected on fewer hands. Because, as Stein Rokkan said, ‘Voice counts, but resources decide’. We've seen countless examples of that. The richest gain more power over us. It occurs directly, through ownership of the business community, but also politically, through, for example: funding of lobby groups and think tanks. That's how it's made a story that we're taxing the poor super-rich people here in Norway, even though it's rather the way that most people consistently have a higher tax level on their income than the super-rich ones. Nevertheless, the Right will give further priority to tax cuts. Does the Minister of Finance think that it is right to give priority to large tax cuts, which will lead to some of the richest in Norway paying no tax at all, rather than strengthening for example. The hospital economy?
ParlaMint-NO_2020-02-05.ana.ud231e425	This is one of the areas where SV and Right obviously disagree. I think we have to create the values before we can use them. If we are to facilitate value creation across the country, and if we are to facilitate more jobs, we also need to have a low level of taxes and taxes. We've reduced taxes by about 25 billion. NOK over six years. Everyone has benefited, through reduced income taxes and by reducing the tax on Norwegian ownership and also company taxes. If we look at the report from the SSB that asked the question about the tax system has become less redistributive, it says that it has become moderately less redistributive, but it also says that the property tax has little effect on redistribution. It shows the SSB report that the reduction in property taxes has had little effect. What has been reported is a reduction in company tax and a reduction in company tax has been necessary to facilitate new jobs.
ParlaMint-NO_2020-02-05.ana.ud231e432	There will be follow-up questions – first Kari Elisabeth Kaski.
ParlaMint-NO_2020-02-05.ana.ud231e437	What we're going to see here is just an example that there are always arguments from the right-hand side to keep reducing the taxes for those who have the most of them. Then other problems, such as poverty among families with children, get in line. That's the right-hand government's priority. So we see a well-being out in Norway screaming for more money. We have seen examples of newly operated persons being sent by taxi on one of the most winterly exposed roads in Finnmark. We have seen that several women now give birth in a road pocket on their way to the hospital, that the police are not moving out to an 89-year-old who is calling because an unknown man breaks the window in her house. The municipalities cut in welfare, and the government cuts in the glasses stand for kids with visual disturbances. All of these examples could take a billion. Nevertheless, giving 1 billion is the Minister of Finance and the government's priority. kr in tax cuts to the thousand richest people in the country. How does it help the 89-year-old who's waiting for the police, or the pregnant woman who wants a good enough supply of food?
