ParlaMint-NO_2020-10-21.ana.ud297e28	The representative, Nicholas Wilkinson, will present a proposal for a representative.
ParlaMint-NO_2020-10-21.ana.ud297e236	Let's look at the report that the SSB presented in 2019. At that time, the SSB presented a report on the issue of the tax system in 2019 that appeared less redistributive than the tax rules in 2013. The conclusion was that the tax system is a little less redistributive, and this is mainly due to a reduction in the tax on general income. And there has been a broad consensus on that. What they've pointed out has made the tax system a little bit less redistributive, is that we have reduced the corporate tax from 28 pst. until 22 pst. I don't remember as fast as SV was at it, but the other red-green parties were at it, because we were going to have a tax system that is more like what you see in other countries. We need to ensure that we have value creation in Norway, so that we can also create more jobs. So that's the answer in that SSB report, and then it'll be up to the representative whether you want to believe it or not.
ParlaMint-NO_2020-10-21.ana.ud297e241	Let's move on to the next main question.
ParlaMint-NO_2020-10-21.ana.ud297e246	I want to ask questions to the Minister of Industry. The Progress Party has always been concerned with the maritime industry and Norwegian seafarers. We have worked hard for, among other things, to obtain, maintain and strengthen the net pay scheme. Among other things, we have mourned: that we raised the roof of this scheme. It was simplified and expanded in 2016/2017, and we got it statutory in 2017. In the state budget now presented, there is a weakening of the scheme. We're terminating the arrangement that goes on NIS cargo ships, that is, the so-called deep sea segment. It was a scheme introduced in 2017. At the same time, there is a ceiling on the scheme of NOK 200000. So the entire net pay system is reduced by 270 million. kr. Maritime nutrition calls this a disappointment, and they're very disappointed that the government is adding to an enormous unforeseeable situation we're in now. So my question is quite brief: why is the government so concerned about raging the maritime industry?
ParlaMint-NO_2020-10-21.ana.ud297e259	Firstly, I understand that the maritime industry would like the arrangements to be without thanks. This is, of course, an industry that has a system that is very special to this industry and that no other industry has. The reason is that we have a desire to keep Norwegian seafarers in that industry and in that sector. What the government is doing now, as the representative also says, is that we put a ceiling of NOK 200,000 on almost all the arrangements, and then we wind up the arrangement for NIS cargo ships on international voyages. The reason why we do that is precisely to create predictability, because now it's that without a roof we don't have control of costs either. When we thank you, we also have cost control of this scheme, which is a significant scheme. After the changes the government has now proposed and submitted to Stortinget, it is still about So, let's say $1.9 billion. kr. So we spend a significant amount into this industry to secure Norwegian seafarers. In the case of one scheme in particular, for NIS cargo ships engaged on international voyages, it has been modified because it has had a lower impact on employment than that on which it was based when it was established in 2017. Shipowners who have previously received support through the model grant for NIS cargo ships could continue to receive support, but through the general arrangement for NIS ships.
ParlaMint-NO_2020-10-21.ana.ud297e269	I am recording that the Council of State believes that a deterioration of the system is predictable. It's kind of special. In the case of the net pay scheme and maritime industry support schemes, several countries do so and maritime industry competes to the degrees on the international market, in which case at least the maritime industry in Norway should not be subject to conditions worse than its competitors. Oslo Economics published a report a little ago, where they went through the net pay system, and it shows that this scheme has contributed to the fact that between 200 and 500 more ships are in Norwegian registers. At the same time, they say that a deterioration will help thousands of seafarers lose their jobs. This will again affect maritime nutrition through education, and we lose competence. Nevertheless, the Council of State believes that this is not a fury of the industry. How in all days does it work?
ParlaMint-NO_2020-10-21.ana.ud297e276	We can't call it a rage of a scheme of about 2 billion. NOK when the plan is still at SEK 1.9 billion. kr. We spend a significant amount on this so-called net pay scheme. Now, as the representative is also well known, we have put down a sample that looks at slightly different aspects of the net pay scheme, also related to the pay and employment conditions on the base and in Norwegian waters. That sample will deliver its report around the turn of the year, and it will generate a new debate on how we organise our schemes in relation to this sector. But to call it a rage when we still spend 1.9 billion. kr on a scheme that is very special for this sector, I think I'm taking a bit of a hard time.
ParlaMint-NO_2020-10-21.ana.ud297e283	Morten Ørsal Johansen – for follow-up questions.
ParlaMint-NO_2020-10-21.ana.ud297e288	I have a follow-up question that I want to ask the Minister of Defence. As the Council of State is aware, the Defender is requesting a vehicle for the transport of both personnel and equipment. The Naval Defense also has this possibility to claim, and in the Marine Defense Emergency Plan there are ships inside that are to be involved and contribute to the transportation of both crew and material. So on Norwegian ships, there are several nationalities involved in these missions. Then is my question to the Minister of Defence: how convenient is the Minister of Defence that Norwegian ships in an exercise or in a sharp situation can have Eastern European and Russian crews to perform jobs for the Norwegian defence?
ParlaMint-NO_2020-10-21.ana.ud297e297	Thank you for a good question. This is part of our mobilization regime, but also part of what we call strategic agreements with some private companies. The idea behind this is that in the day-to-day exercises, even if it really applies, we'll serve those who make an exercise common, which can be transportation or other in the daily, also are good at doing it if we have crisis and war. So a lot of international law questions are asked about this. We're going to include the strategic agreements, so we're absolutely sure that the law is there. It is also true that in what we deal with in the planned agreements, and in communication with the different companies, the issue is also how safe this is. Companies undertake to provide capacity which shall also be operational in crisis and war. That is a good question, but I think we cover it in the negotiations we do through the strategic framework agreements we have.
ParlaMint-NO_2020-10-21.ana.ud297e306	Terje Aasland – for follow-up questions.
ParlaMint-NO_2020-10-21.ana.ud297e311	My follow-up question goes to the Minister of Industry. It is quite incomprehensible that the government – at a time when employment is insecure, when ordinary people are insecure on both employment opportunities and income opportunities in the future – makes a proposal in the state budget where they directly weaken the ability to hire Norwegian seafarers or to have Norwegian seafarers on board their boats. It is quite incomprehensible that it actually happens in this state budget, also in the light of the fact that Stortinget has just discussed the relationship with Norwegian wage and working conditions on board Norwegian boats in Norwegian waters and on Norwegian seas. It's completely incomprehensible. After all, the party should be clearer in its orders below. In all analyses and in the industry itself, it is feared that this will mean that several thousand seafarers will be put ashore. What estimates does the Minister of Industry have that this does not happen? And does the Minister of Industry have any indications that this will not affect employment on board Norwegian boats?
ParlaMint-NO_2020-10-21.ana.ud297e320	It may not be incomprehensible that a government introduces a ceiling to control the increase in costs in a very large and comprehensive scheme, amounting to around 2 billion. kr of our state budget. That's what we're doing. In the schemes that previously had no roof, we set a ceiling of NOK 200000. It still means that seafarers are covered by the scheme, and that means that shipping companies are still supported to hire Norwegian seafarers. But it's a thank you, for controlling the costs of a very cost-intensive system. But it will affect the shipping companies, and it will include some seafarers, and we can give a very concrete estimate of how many it will be. But that's setting a roof. There is only one scheme of several being terminated, and that is because it has not had the effect that was expected when it was introduced.
ParlaMint-NO_2020-10-21.ana.ud297e325	Geir Pollestad – for follow-up questions.
ParlaMint-NO_2020-10-21.ana.ud297e330	My follow-up question also goes to the Minister of Industry – and the Minister of Time, whom we have been given. I believe on behalf of the seafarers and the maritime industry that if one can help to get the diving choice to come something faster, it will be taken well. For the government and the supporting party the Progress Party wings when it comes to seafarers and maritime nutrition. We heard here earlier in an answer that one was busy with the state's misgivings, that it was the government's woe and well that had to be assured of the carelessness of this. I think it reminds us of piracy, in the situation that the industry is now, to bring about a weakening of the system and make it more expensive to add Norwegian seafarers. I want to make the question very simple: what is the reason why the government now wants to make the use of Norwegian seafarers more expensive?
ParlaMint-NO_2020-10-21.ana.ud297e337	The representative began by commenting on this with time. That's how I've done mine, then, so that the government would sit at least one hour longer in 2020, now that we're going to keep it quiet on Sunday. The justification is the same as I have given on the other questions that are related to this net pay scheme, or the subsidy scheme for seafarers. It's because we have a large and comprehensive system today that doesn't have a roof, and we don't have control of the costs of this system either. That is why we are now proposing a roof over most of the schemes, and we are proposing to take one out. It was introduced in 2017 and has not acted upon the intentions at the time of its introduction.
ParlaMint-NO_2020-10-21.ana.ud297e345	Let's move on to the next main question.
ParlaMint-NO_2020-10-21.ana.ud297e350	The tourism industry is an important industry in rural and urban areas, and I have a question for the Minister of Industry about that, because it is an industry that is very hard to deal with. About 170,000 people work in the tourism industry before Korona – jobs throughout the country. The center party is concerned that most of these are supposed to keep their jobs, that most of the healthy businesses in our country are going to survive the coronary crisis. It is important for each individual working in the industry, and it is important for their families and for their communities. Travel life is a future industry. Helping the tourism industry is not giving alms; it is an investment in value creation and jobs throughout the country. The industry is experiencing a government with a passive approach and a lack of understanding of the situation in the industry. While the government is trying to create an impression of action, frustration in the industry is increasing. One presents measures, but these are short-term and not accurate. It seems that government is more busy holding frequent press conferences than securing long-term conditions for travel. The government seems to have an commitment to the travel industry that goes out on New Year's Eve. There are measures that are being cut, and there is no emphasis on the crisis that one is in the midst of. And in this situation, the government, among other things. to enter for travel life charges to be doubled from 1 January 2021, from 6 pst. to 12 pst. My question to the Minister for Enterprise — and the Minister for Travel Life — is about the situation of travel life. What is the Minister for Travel's view of the situation in travel life that makes it appear, in the present situation, as a good idea to cut schemes and double the rate of travel life?
ParlaMint-NO_2020-10-21.ana.ud297e363	The infection we now have in the world, and the measures taken by different countries, make the situation very special and very unpredictable. I think we're all hoping and longing to get a vaccine, so that everyday life can come back to normal again. The tourism industry experienced an early onset of infection and infectious diseases and is among the industries that still notice the effect well and that are going to notice the effect for a while to come. They're themselves very conscious of that, because they see for themselves that this is not something that necessarily ends the day the vaccine comes. This can affect people's travel patterns in the world in the longer term. Only take the airlines, which provide estimates of when they are back at the 2019 level, which is well ahead of time. It means that we have a travel industry that, in the frustration they are in, however, folds up the sleeves and thinks that now we have to change, now we have to find new markets, and now we have to do things differently from what we've done before. It is the government's responsibility, and it is the government's responsibility. But we have now, since 12 March, had some general arrangements that have applied to the whole of business, broad arrangements, and it has been both on the charging side and on the compensation side. Now we're in a new phase. Now we have to make arrangements that are more eaten and aimed at the industries that are still in an uncertain situation, and the tourism industry is among them. That is why we have now put in place two new arrangements, yesterday. We have worked well, I would say, with the social partners to find a new scheme based on the old compensation scheme. But there is a whole new system that now applies and is confined to travel life, which also means that the government – if we see that the situation continues in 2021 – has an opportunity to support travel life at that time. But then we get back to it.
ParlaMint-NO_2020-10-21.ana.ud297e372	This is where we are at the heart of the problem, that travel life does not know what is going on from 1 January 2021. The Minister of Economic Affairs said to the NRK in August, during a visit to Bergen, that travel life had to stop talking about a crisis. But where the Minister of Industry is wrong, because speech is clear: there is a crisis in the tourism industry. Then it doesn't use words to take this away. When the government does not recognise the crisis, the government is also unable to resolve the crisis. It is not useful to configure with this type of Torgall statement. One has to settle with long-termity and concrete policy measures. My question is this: Is there this missing sense of reality that makes the Minister of Economic Affairs think that the tourism industry should be able to tolerate not knowing what framework conditions will apply after 1 January 2021, and among other things. also a doubling of the travel income from that time?
ParlaMint-NO_2020-10-21.ana.ud297e379	1.4 B.C.E. kr – it won't be more concrete than that, will it? Yesterday, we put forward a new compensation scheme for travel businesses, which is estimated at a cost of 1.3 billion. until Christmas. In addition, we have created a system that, in the absence of a better word, we call the valve system, in order to capture just the companies that are strongly linked to travel life, without being travel businesses, 100 million. kr. So this is a government that shows that we want to help and support travel through a very special and difficult time for that industry. At the same time, we've also put 250 million on the table. kr for conversion. We saw a great interest in it and then put a further 250 million on the table. kr for conversion. There is a great need, and the travel industry itself is eager to take the necessary steps. Then the government will also come back, if there is a need for more help and support, in 2021.
ParlaMint-NO_2020-10-21.ana.ud297e390	Sigbjørn Gülsvik – for follow-up questions.
ParlaMint-NO_2020-10-21.ana.ud297e395	My follow-up question goes to the Minister of Finance. In the context of the crisis package, which was dealt with almost two weeks ago, the majority stated that tourism tax affects industries that are particularly hit by the crisis, and that one concluded that from 1 January it will return to the so-called normal level – that is, it is twice as high as today’s level. It is well possible that the Progress Party has achieved a return to the record high level that one had when they had the Finance Minister themselves, and that the Left has been given the advantage that this should be the new norm for travel life, but why does the Minister of Finance and the Right think that it makes sense to double the levy for an industry that is particularly hard hit?
ParlaMint-NO_2020-10-21.ana.ud297e402	What the representative calls tourism VAT is a low rate of VAT that concerns a large number of sectors and different industries. It is not the case that this is a VAT that is tailor-made for travel; it also applies to other sectors. That is why it was a broad majority on the Stortinget that lowered it as a crisis response. But the difference is that while the majority in this Chamber have thought that it is a crisis response for a period of time, the Central Party believes that the low rate of VAT should be even lower than a permanent scheme. We think it's right to take it back to the normal level from New Year's, while putting in powerful packages aimed at the industries that are struggling the most, and travel lives are mostly among them, it's an industry that is struggling because people travel less. There will be few in Norway — if any. That is why we are putting in place a targeted, powerful action. We think that will work, and that will secure the jobs.
ParlaMint-NO_2020-10-21.ana.ud297e407	Sigbjørn Gülsvik – for follow-up questions.
ParlaMint-NO_2020-10-21.ana.ud297e412	It is quite right that the low rate of VAT applies more than to travel; it concerns transport and it concerns culture, which is also particularly hard hit by the crisis. It is true that the Senterpartie over time has worked so that the VAT rate should be lower than today. Then travel life would also be better rusted at the entrance to the crisis. But here is a businessman who is still in a very difficult situation. In my own neighbouring municipality, Ullensaker, unemployment is still 14 p.m. In Trysil and Hemsedal, it's 10 and 12 pst. There is still a serious crisis in travel. In combination with charging there, the government also proposes to reintroduce the airline passenger charge, which will create additional challenges for travel life, but also for transport in our long-term country. Why does the government think it makes sense to increase the fees by an estimated 3 billion. When one is still in such a serious crisis?
ParlaMint-NO_2020-10-21.ana.ud297e421	When you deal with a crisis, it's about dealing with it in different phases. In the first phase, we put in place strong measures to improve the liquidity of companies. In the next phase we contributed with broad compensation schemes, we lowered the employer’s fee for a period of time, and we agreed with Stortinget that we should also lower other taxes and taxes for a period of time. In the current phase, we have taken action both to strengthen Norway’s exit from the crisis and to ensure that more people return to work, including those in prison. with a pay-aid scheme for the return of the persons on leave to work. Then we will complement it with targeted measures against those industries that have challenges: on culture, combining a compensation scheme with support for activity, and on travel life, which went into place, because it is an industry that is struggling. We have said that we should stand up to them and make sure that we can contribute to the success of viable businesses through this crisis. But the general policy of the Central Party cannot be a crisis policy and something that will last forever.
ParlaMint-NO_2020-10-21.ana.ud297e431	Cecilie Myrseth – for follow-up questions.
ParlaMint-NO_2020-10-21.ana.ud297e436	My follow-up question goes to the Minister of Industry. That's the travel life it's about. Yesterday, there was a package. Right now, we're going into the dark days of North Norway, and it's not like there's going to be a season, we're in the winter season. There is no solution for 2021 on the table. It's going to be bone tough, the year that's coming, and it's already been. From this government it has come too little, too late – all the time. You've been in the back, and you've never been able to create the predictability that tourism needs. So my question is, the Minister of Industry says that you have the opportunity to expand to 2021. What does the Minister of Industry know about January, about April? Does the Minister think that tourists, for example, will be able to do so? Troms, since you can't tell the industry that you have a plan?
ParlaMint-NO_2020-10-21.ana.ud297e450	When we ended the general compensation scheme that applied to the whole of business, we had to sit down and create a whole new system aimed at that part of the business that was hardest hit by the pandemic and the anti-infection measures, i.e. travel life. Creating a whole new system, as we have done now, is quite demanding, and I am glad that the Brønn Island Health Registers have pushed around and said yes to managing that system. Now we have an arrangement in place, now we have agreed with the parties on how to set it up, and then the government has to come back to the Storting with any needs that are in 2021. But now we have that travel life scheme in place, which we've spent a lot of time on. I also want to add that it is right that the representative says that the season is already running. It's important that we Nordics still use our own country, not just that we did it this summer. There are good opportunities both to go to the restaurant and to use hotels throughout our country also in the future.
ParlaMint-NO_2020-10-21.ana.ud297e459	Then we move on to the next main question.
