ParlaMint-NO_2020-06-10.ana.ud451e42	The representative of Mona Fagerås will present a proposal for a representative.
ParlaMint-NO_2020-06-10.ana.ud451e297	And I'd like to start by thanking you for a thorough and systematic distribution of large parts of the events that resulted in a loss of 190 billion. kr — a loss not necessarily due to faulty positions, but, as the Council itself says, to a business culture that is not sufficiently healthy. The Progress Party believes that when we own a big company like Equinor, we're going to be willing to take the risk of getting returns, but the cost level that has shaped a part of the activity that's been going on in the United States is revealed rather fundamentally contrary to the business culture that influenced us when we built up the company, and not least the way we've handled the construction of Norway as an oil nation. That's why I also think a lot of people react to this case, because there's something unhealthy about the way you've managed business development in the United States. I still think it is good that the Council of State is so clear that it is the company's rental and the board of directors who have a responsibility to follow this up in the day-to-day life. I want to underline how crucial it really is in a company as large as this. We rely on the board to go into this kind of assessment thoroughly enough. I am also pleased that the Council of State has said so clearly that it is not satisfied with the openness and business culture shown here. It seemed to me to bear witness to a government council that is now taking action to have better control in the future, without the state council taking over the responsibility of the company's management and the board itself. I mean the business culture that's shown, not only is unhealthy, but he's unacceptable, not just for a company where the state is a big owner, but perhaps especially for a company that is so often identified with Norwegian business outside the border. As a result, I found it positive that the government is very clear when the Council of State is handling the matter today. Then there is probably a lot of detail in this distribution that we will also come back to through the committee procedure, but I thank you once again for the fact that the Council of State is coming to the Stortinget, and I feel that it is far in the way that it responds to the need we have to know that the ownership management has ours, and will still be, closely followed up, and not least that the Council of State underlines the responsibility it has for ensuring that the ownership management is tight enough on the board as well. It is good in a matter that strictly deals with relationships we should have preferred to have ahead of us, which has uncovered an unhealthy culture, which has exposed an unacceptable level of costs, and which has aroused the attention of both the government and the Storting, to learn from it, but also to set a clear example that the company in which the state is a major owner, we have higher expectations than the company has shown in this case.
ParlaMint-NO_2020-06-10.ana.ud451e310	I would like to start by thanking the State Council for its work. There are things in this case that are almost hard to believe that is true. I have recorded that there has been a discussion about what is a covering description of Equinor's business in the United States and what has emerged. It's hard to get away from the fact that it's an industrial scandal we're facing. For the Central Party, it is important and we support that we have companies where the state is a large owner, which has operations outside the borders of Norway. I can refer to Telenor, Hydro, Equinor and Yara as examples. We have good experience in this, and it is a good thing that Norwegian companies operate outside. One of the things that is particularly important is that one takes Norwegian business and business culture into the world and builds on it. So it will be that both in Equinor and in other companies there will be misinvestments. I don't think we can make a political decision not to happen. But what's special about the misinvestments in the United States is that the company seems to have forgotten that Equinor, the impending Statoil, is and was an offshore company. The information we have received from the Council of State today and before, and also through the press, gives two main impressions: money has been lost enormously, and the enterprise has been driven in a way that we do not recognize as a Norwegian corporate and corporate culture. This is about the seventh and last trust in Norway's largest and most important company, and there is no doubt that that trust has been weakened. We have been briefed that the board of directors has started a review, and we also record that the Council of State is criticising the company in its decision-making. I think that further work needs to be done with two starting points. The only thing that has happened in the board, what has happened in the company, but it will also be natural to look at how the department has followed up the ownership exercise in this. Is the principle of ownership practice followed up, and should one have reacted to this earlier? These are the things that end up in a question about what we're doing. It will appear in the committee's proceedings. It is not possible to change history, but it is possible to rebuild trust, and then I think one must be so open and say that one must turn all the stones. It is difficult to see that it can happen on its own through an assignment from the Council of State and the Board of Directors and the company's own review. Therefore, I see that the result of this will be that the company is also being examined – initiated by the owner, in line with the rules of company law – in this case.
ParlaMint-NO_2020-06-10.ana.ud451e325	I would also like to thank the Council of State for a good and absolutely necessary presentation. In Norway, despite being a small country, we are used to large sums, especially when it comes to the oil industry. But nearly 200 billion. There is a lot of money, even in Norway and even in oil, and what we are now going into here can rightly be called one of the biggest industrial scandals we have seen in Norway. The state is the largest owner in Equinor, and the large sums that we are talking about here do and have made SV think that it is quite natural that we at Stortinget go into this matter thoroughly both now and on the basis of what has been. That's why we asked for this presentation. We're talking about so big sums over a period of over ten years that it's important to look at what's happened in the last few years, and also to go back thoroughly in time. We have seen in this case that Equinor has both taken too much risk and has not been able to adjust the course along the way. It has contributed to great loss. There has also been a messy and far too poor internal control, which has once again contributed to losses, where red reports have not been followed up internally, and there has been a miserable corporate culture, which in no way defends the public. There is every reason, on the basis of this, to make strong criticisms of Equinor, and I am pleased that the Council of State is also doing so. With such a loss, it's in place with a review where you go in and look at how this could happen. It is about the internal conditions of Equinor that have allowed that type of lack of internal control, the type of risk-taking and the type of corporate culture, but it is also about the role of the board and the ownership dialogue. Now, when the Council of State sharpens the routines of the follow-up, it's in place, but it's also a recognition that that follow-up may not have been good enough. The council says that the profitability has been a central part of the ownership dialogue with the company, but then it is simply strange that this could go so far without anyone dragging on the brake. I just want to ask questions about whether the follow-up of Equinor's foreign investment has been good enough over these years. I'm glad we're going to have more transparency about Equinor's foreign investment, but this has to apply more than just the United States, it has to apply to all countries. At the same time, it is difficult now to say that the ownership and management of the state ownership of Equinor will be good enough in the future without going into detail over the last 10–15 years. Several government councils have been involved here. SV therefore believes that given the scope of the case over a longer period of time, this case requires that we get it to the inspection committee. SV will ask for it because it is important that the Storting itself can go into how ownership management has been carried out, both in recent years and beyond in time – as long as this has continued. I record that the representative Pollestad is involved in some of this when he calls for an investigation. There is also something that SV can put behind. This is a matter that is so serious, which is about the trust in the largest oil company we have on the base, and which is about one of the most important state ownerships we have. It is about trust in Norway and in Norwegian business also abroad. It is such a serious matter that we have to turn all the stones to get to the bottom of how this could happen, in order to be able to straighten the course forward.
ParlaMint-NO_2020-06-10.ana.ud451e342	Thanks to the Council of State, which has a thorough and good review and also announces some new measures related to ownership management. For such a large company that contributes so much to the public, but also has a majority government share, it is important to trust and that we have an openness that makes not only politicians but also public opinion access to and understand what is actually happening. In that debate, it also hears what is an arm's length distance: understanding what ownership control is for a state as a majority victory. Some have also referred to the term ‘risk’. It is difficult not to take into account in history that there have been political ambitions related to taking that risk out of Norway, and to growth – new geographical areas, political ambitions and the desire for increased returns. We cannot push under the carpet that there has been a debate on both shale oil and tar sands on the American continent. It reflects some of the risks when we stand here some years later, and has been through both a large oil price drop and a pandemic that has dumped the oil price significantly. One sees the resources that need to be deployed to extract, and one has taken a significant risk of contributing to it. That is why the learning element is important in moving forward, because it is clear that at the time when we are about to reduce climate change emissions, we will be dependent on new technologies and increasingly renewable energy. We will have to take the discussions about the risks in the continuation. It's also about geographical risk. It can be about more seas and not so much on land. It can be about different business cultures, and it will also be about capital investment. We have to learn from what we've been through now. I am very pleased that the Council of State mentions the investigation, and that it should be led by an external actor in that area. We are also not finished with the debate on the ownership organisation of Equinor. We have had good ownership announcements about the principle associated with it over a long time in the Storting, but historical circumstances make Equinor subject to the Ministry of Oil and Energy as the only large, state-owned majority company. Some batches also have a discussion about whether to split up the foreign bet. Someone is discussing whether to split up the renewable effort. Those debates will continue. Therefore, that part will be with us, but we also need to discuss political ambitions relating to returns and technology and to even greater lift the renewable ambitions of state actors. We have many debates ahead of us. In this way, the ownership debate will continue for many years to come because it is linked to the EEA Agreement and the EU which department will be the owner of Equinor. I hope that we focus in particular on the types of technology and what we in Norway should contribute with our capital in addition to returns, purely economic, which are wider than just money. We're at the forefront of a lot of technology that can do a lot for the climate, and I hope that we'll focus more on the debate in the future.
ParlaMint-NO_2020-06-10.ana.ud451e359	I would first like to thank the Council of State for a good and thorough presentation. I don't think I was the only one who blocked my eyes when I read the article to Today's Business on the investment in the United States. The stories were of such a nature that it was almost hard to understand that it was right. I'm not sure if that was the sum of the misinvestments, the economic mess, or the lack of transparency that was the most perceptive, but the sum of it all can hardly be called anything but catastrophic. Lose $200. kr is almost unintelligible, and adds one more that the state would have had a claim of 67 pst. of whether or not it had been paid in dividends to the shareholders, the sum is not far from the extra costs incurred by the State in relation to the coronary apathy so far. It is also not the first time Equinor has hit a blow with international investment. In 2007, Statoil invested 4 billion. dollars in Canadian oil sand, and nine years later they sold themselves out and at the same time took large write-downs on accounting values. In the meantime, the Christian People's Party had repeatedly promoted representative proposals in Stortinget to use the ownership of the company to stop the oil sands, without having a majority in favour of it. I think it's easy to conclude with what was right, in retrospect. Six years later, we get this case of shale oil in the United States. 200 B.C.E. kr is lost, and it seems as if there has been a home-alone party in the US part of the company. The stories of economic root in this range, irresponsible use of money and trailers that drove around and picked up receipts are not everyday. In that perspective, it's hard not to mention that we've been negotiating a tax package for the industry that frees 100 billion. kr in liquidity. Several fields that were at risk of exposure have been mentioned in this round. For example, the Noaka field has been still mentioned in this round, and a quick search on the Internet shows that Noaka has an expansion cost of 45 billion. kr. So the losses in the United States are twice the liquidity effect of this tax package and more than four times as much as the investment related to the Noaka expansion, to put it in perspective. The Christian People's Party believes that what has emerged is unacceptable, and we are very pleased that the Council of State has gone into the matter with great weight. I would once again like to thank the Council of State for today's presentation, and we are confident that she will deal with this matter in a good and satisfactory way. Equinor needs to clean up, and the company needs to learn from these mistakes that have been made. The Norwegian people are majority shareholders in the company, and they have a duty to do so. Our expectation of the company is clear: they must clean up and change the procedures so that something like this does not happen again.
ParlaMint-NO_2020-06-10.ana.ud451e372	I would also like to thank the Council of State for the presentation. I am really happy that she obviously takes what has happened very seriously. This will undoubtedly be a difficult job for the Council of State Bru to clean up after their many predecessors in both red and blue governments. Equinor's investment in the United States is the biggest industrial failure in Norway's history. Equinor and the Norwegian authorities responsible for this matter have cut several fantastic goals for themselves. Clearly, here the strategic scenarios and choices based on them have been very deficient. Has the board really done its job of asking the important critical questions of an overeager management with tunnel vision? They haven't just lost huge values owned by the Norwegian people. They have also made Equinor and thus Norway a kind of pioneer in the development of some of the world's most polluting and dirty energy resources. After Germany actively took management as a precursor nation in solar energy, and after Denmark did the same in wind energy, Equinor – on behalf of the Norwegian people – chose to become a precursor in climate-damaging energy such as tar sand and shale gas. Both Germany and Norway have used much of the community’s funds to take on such a pioneer role, but where Germany first lost money to make the world better, Norway has lost money to make the world much worse. Some might think that it is wrong for the Greens to interfere with climate policy in this debate, which is, in isolation, about state ownership and failed investments. But in this case, climate and economy are so closely linked because they have taken a huge climate risk and at the same time a huge financial risk – and failed grandiostly with both of them. Most of Equinor's investments in the United States required a historically high oil price to be profitable. If so expensive resources are to be profitable, it assumes that these resources are extracted and incinerated in addition to very much of the other fossil energy that can be extracted with much lower break-even, or balance-price, as it is called in Norwegian. Equinor's cowboy investment in the United States is a direct gambler that the growth of world emissions would go even faster than it has actually done. It is serious that some of the largest and most important investment decisions made on behalf of the Norwegian people have been based on such supposedly unexamined premises. This case is very serious, completely independent of what is believed to be the climate profile of Equinor's US investments. The Greens will therefore follow up the case further through our representative proposal to set up a large-scale investigation commission to investigate the business operation of Equinor in relation to all these losses on foreign investment. There are at least three main questions in such an examination. We need to figure out what the state could and should do to avoid these losses, and whether there have been irregularities. These include: to ask, of course: What kind of consequences have the situation in the United States actually had for the governance dialogue? Why was the Financial Supervisory Authority’s call to report the US figures separately not followed up, and why was it not requested by the Council of State? How can we bring about changes in the state ownership dialogue with Equinor in order to avoid similar losses and strategic misinvestments? That this dialogue has been problematic was also pointed out in a 2014 confidential report, in which the consulting company THEMA Consulting evaluated the OED’s exercise of ownership role: The state, by OED, is perceived as a strikingly invisible owner, given the size of the state's holding. In the worst case, it may contribute to a certain kind of suspicion that something is happening in enclosed spaces with which the market is not familiar. We note that Equinor has announced that the company will go through the international venture independently of PwC, which should not, however, look at the critical conditions or strategic choices. We also note that the Council of State will introduce new ownership management procedures. We in the Greens therefore believe that an independent investigation is necessary in addition. Therefore, I hope that both the Council of State and the rest of the Storting will support our proposal for an independent investigation committee, which will be dealt with in the Control Committee. The size and the public need the best possible insight into what has gone wrong.
ParlaMint-NO_2020-06-10.ana.ud451e407	I want to start by thanking you for all the good posts here in the hall today. I also share much of the criticism that has been made here. I think it is important now that the company also notices that there are clear feedbacks across party politics in the Stortinget today, especially regarding business culture. Good Norwegian business values, good corporate culture, capital discipline, soberness, transparency – this is something we are proud of. That's also something we expect our companies to have. We've done a lot already, as I explained earlier today. That review, as the chairman now describes it, will be very important in the further work, also in order to regain the necessary trust. Then I register that some representatives are in charge of further investigation by either the Stortinget or the company. No matter how the Storting chooses to take the matter further, I will of course answer the questions raised by the Storting and the Committee in the context of the further process.
ParlaMint-NO_2020-06-10.ana.ud451e418	The debate on the presentation is thus closed. The President will propose that the Secretary of State for Oil and Energy report on Equinor ASA's activities in the United States and the State's follow-up be sent to committee. The President will come back to it under Unit. – It shall be deemed to have been adopted.
ParlaMint-NO_2020-06-10.ana.ud451e436	At the request of the Business Committee, the President will arrange the debate as follows: 5 minutes for each party group and 5 minutes for members of the Government. Furthermore, six lines of reply will be given after contributions from members of the government, and those who have to sign up to the list of speakers in addition to the allocated speaking time will have a speaking time of up to 3 minutes. The first speaker is the representative of Mr Lyngedal, who is the rapporteur on the matter. She does not seem to be present. Then we start with the representative Kårstein Eidem Løvaas.
ParlaMint-NO_2020-06-10.ana.ud451e445	In the room you can travel at the speed of light. We have to bet that the case rapporteur will find the way while I keep my post. The main developments in Norwegian space policy were the last time discussed in Stortinget in the spring of 2013. Then it was 26 years ago. So it was time for a new space strategy. Technological innovations such as small satellites and fairer launch solutions, strong growth in the production of goods and services based on the exploitation of space data and images, increased importance of space activities for the safety and development of society, which make defence and security increasingly important in space development and the development of space-related industry and education, are all, individually, important factors justifying the need for treatment in the Storting. There are four objectives for Norwegian space activities: promoting profitable enterprises, growth and employment meet key societal and user needs; ensuring adequate security of societally important space infrastructure – and safeguard Norwegian foreign, security and defence policy interests in space activities; It is gratifying both that this policy area is receiving increasing attention and that there is a broad consensus on the importance of the various initiatives. Some discussion about which instruments and how they are to be used is natural enough, but it serves the industry that we are politically essentially moving in the same direction. The industry is also rapidly growing and currently represents a turnover of around 8 billion. kr. The industry also has a high interest in the coming generations and is therefore an important driver for increasing the status of real science and for giving more attention to research and development. In the pursuit of what we will survive in future Norway, this industry will be an important part of it, and therefore policy must promote profitable businesses, growth and employment in the space industry. The use of communication, the need for weather forecasting data, environmental monitoring and opportunities that open up in everything from precision farming to flood warning — all pointing towards increasing dependence on the infrastructure in space. A clear Norwegian presence at all stages of the value chain will meet important societal and user needs. In the room is the infrastructure that is both fun to have, and that we need. Providing adequate security for societally important space infrastructure is absolutely necessary. It turns out historically that what has been fun to have, has gradually become something we must have. Environmental monitoring is a good example. Norway is a small population with large areas, particularly in the northern regions. Ensuring Norwegian security and defence policy interests is a high priority, and space activities are an increasingly important part of this. We see more and more countries becoming more aware of the importance of presence in space, and there is an increasing emphasis in security policy. Norway must not be hanging behind this. With enormous sea areas of strategic and economic interest both nationally and internationally, Norway has a great responsibility to care for and manage these interests and resources. Without a clear policy that also includes space activities, we will not ensure this well enough. Norway has a significant investment in space activities and participates in several international programmes. It is our national needs that are leading what programmes and to what extent we are going to participate. Norwegian economic participation in space programmes is then also determined in the annual budgets, as is the tradition of how state budgets are designed here to land. To gather the threads into the ongoing work, I want to point to the Norwegian Space Centre. It is up to them to organise contacts with industry, academia and important user groups. Norsk Romsenter has also been authorised to establish a professional council. There are good reasons to establish such advice to counteract silo effects in the industry, but also between the different policy fields. It is gratifying that we are today asking the government to ensure that Andøya Spaceport is realised. There could be a spearhead in Norwegian space betting, and the ringing effects will be great both in the region and nationally for the whole industry. Such lighthouses will also contribute to further progress in the field, which promises good for future education, research and innovation. Norway is already leading in several areas of space technology, and both existing satellites and future rockets have and will have Norwegian technology on board, even technology from my home district, Vestfold. We also see that the knowledge we've acquired over many years with the development of deep-water technology is transferable to outer space. When Norway is about to change, the link between the deep seas and outer space is a star example. Norwegian space activities are developing rapidly and have enormous significance for civil, military and future value creation. We are now facilitating Norway to hang out with and in some areas continue to lead the global space industry.
ParlaMint-NO_2020-06-10.ana.ud451e492	I see that I now have even more reasons to thank the Committee for a good cooperation in the matter – and perhaps especially my colleague Eidem Løvaas, who was so sporty that he was here when I was supposed to be here. Sometimes, the Business Committee is dealing with matters that carry opportunities for the future – for new technologies, which we do not necessarily know today, which can be used to provide us with knowledge that we actually do not yet know the benefits of. I would like to thank the Committee for good cooperation, and I am very pleased that today we are not just going to take the customary decision we have made so many times this spring, namely that the communication is annexed to the protocol. It was exciting to get involved in the strategy, but it was mainly a description of Norway’s capacity in the space industry and management. There was little evidence of new political ideas and exciting new initiatives, and by the unanimous decision of the nutrition committee today that they want to build Andøya Spaceport, we add a small taste of birds and give a solid strategy a new boost. Through the establishment of Europe’s first launch base for small satellites on Andøya, Norway has a capacity that is attractive to the industry in Norway, and many enterprises, whether organised in NIFRO or Abelia, or called the Kongsberg Group or Nammo, have said that this gives them opportunities for important industrial cooperation outside Norway. We know that the establishment is important for the defence, because it's valuable with access to launch capacity for satellites, and we know that more NATO allies also find it attractive. We have some competitors to build Andyya Spaceport, but with location near the North Pole, I would argue that Andyya is the best choice, especially for Norway, as a European Arctic state, with great interest in the information we can get in polar paths. That Andøya can live in the best location, makes me extra happy as a Nordland politician, because Andøya is a society worthy of special attention by the Stortinge after major loss of state jobs. The establishment of 200 new permanent jobs in Andøya in the forward-looking industry is important for the Workers' Party. It's important for the Nordic states and for us on the Stortinget. So it requires follow-up in Prop. 127 S for 2019-2020, which the Stortinget will deal with next week, in which case the money will be allocated. But we get that faith going well. Industry must manage this growth impulse well. One has to break into the value chain, talk well and talk to our university competence providers. The students of the country's only satellite technology study at UiT in Narvik would like to cooperate with several companies, and they, together with NTNU, have called for funding for student satellites, because it creates great commitment. The Committee has placed great emphasis on describing the environments of competence in Norway related to space activities and on the competence of the industry they claim to be dependent on in order to raise further. This is because the notification does not affect the competence needs of the industry at all and because competence is important for any industry. The technical subjects of the hearing bodies are the most important ones. For us who aren't so inside of all the shades, it's probably engineering skills you need, both those specialists and those with width. 80 pst. of the satellites that register for us, are connected to communication and to observing the earth. We're going to do more of both of these. Our need to observe the earth only increases with climate change, because the data provides us with a better basis for right decisions. Therefore, the Workers' Party has been committed to establishing a Earth observation centre in Tromsø related to the competence environments and the large enterprise KSAT there. Unfortunately, we do not receive the support of the Government Parties or the Advance Party, but we will give subsidiary support to their proposal for Decision II to investigate such an establishment. Most serious in this matter is that the government doubts whether Norway is going to participate in EU programmes in the space industry. The government parties say that this is because they “are unable to advance the work of the state budget for 2021”, but I hope we can today hear a government council that can at least express an ambition for participation, even if we are not going to grant money here in any way. The Workers' Party has also proposed a Strategic Council for the Development of Norwegian Space Activities, adopted by the Stortinget in 2016. Such advice is available in England and the United States, and we believe it will provide the industry with important consultation and access to political authorities. We have also wanted a national space programme that we can steer entirely based on national interests, and believe that it will provide industry with a long-term and predictability that would have strengthened it. With that, I address the proposals of which the Workers' Party is part.
ParlaMint-NO_2020-06-10.ana.ud451e524	The representative of Åsunn Lyngedal has taken up the suggestions she referred to.
ParlaMint-NO_2020-06-10.ana.ud451e529	I am very happy that today we are dealing with a big message about the space company, because it was not reported that it would be like this. It was a long time since one of the government officials thought that a strategy was going to last. But it is clear that for the industry it is very important to get a big message and a large number in Stortinget that ends up very much. There is much more security in it than having a strategy developed by a department and a relatively weak minority government. I think it's very important that we use this groceries message to provide care for the industry. For the Centre Party, the space industry is a special industry. It's a district industry. We're busy using the whole country, and what's good about space travel is that they also use the upper layers of our country. So what point is important for the Center Party? I'll take some things very concretely. For us, what's happening on Andøya is very important. We hope that we now get in place Andyya Spaceport, but we're not done with it. We want to further develop the environment on Andøya, beyond what is now there. So, we thought that the industry was intensifying systematic and good cooperation with the authorities. For this reason, we suggest something that can be heard in a harsh way – an action plan and a strategic advice, which the industry has asked for. Another thing that's important for nutrition, and that doesn't create the big headlines, is the follow-up media for space nutrition. That's where the Center Party thinks we're going to have a mandatory escalation plan for them, so that the industry knows what they're up to in the years to come. For the Centre Party, the prudence and cleanliness of international cooperation are also very important. This does not apply only to the EU space programme. The Central Party is also concerned that our international cooperation should not be confined to the EU and ESA, but should go further and also in contact with other countries. It's a paradox that what might have created the great commitment to space in the nutrition committee in its time was when Monica Meland proposed to cut pretty much what was of money. The whole thing got the money back in, and I think I was one for too many people about how important this industry is. A sixth point of the Centre Party is to develop a good and relevant study provision for the industry. The next point the centre part is occupied by, is to strengthen the infrastructure, develop the laboratory capacity, etc. We have also, together with the Workers' Party and SV, joined a national space-based enterprise centre in Tromsø. We see that we are not getting multiples for that now, but the central party would like to support the proposal for Decision II in the setting subsidiary. Then it's clear that we're doing it, and it's hopefully a consensual committee that's behind all the decisions that lie here. I just want to end by saying that there is a very increasing and good commitment to the space industry in the committee. I think it's noticed by the industry, I think it's noticed by the rest of the Storting, that one takes this industry more seriously than one might have done before. I don't think one is a whole thing, but it's an industry that does a lot of exciting and fun, so the ability to create extra engagement should definitely be present. I want to thank the industry for the recordings and the commitment they have had in this process, which has made the setting as good as it has been, in addition to the good cooperation that has been between the parties in the committee in this, whether it has been the opposition party or the position party. Finally – I take this in a slightly different order – I would like to thank the case-speaker, who, at least until the debate started, had done an excellent job, but who also held a glittering two-introduction on the Storing Message.
ParlaMint-NO_2020-06-10.ana.ud451e554	Then we've got a room message again. It's been 7 years since the last time, and before there again it was 26 years since we had a message about the space business in Norway. And with the development of the space industry, maybe both 26 years and 7 years in general are long, so my wish is that we can get a space message for treatment in this room a little bit more often than in 26 years or 7 years, respectively. I think it's important for the space industry to have something more to deal with, and a little bit more often. The message is good, but it also gets some criticism because it is not concrete enough in certain areas – as concrete as someone might wish. At the same time, what I started with is so that the development of this industry takes place incredibly quickly, and what was right and important yesterday, it's not sure that is so right and important today. It may even be out of date today. Space and space industries are fresh, so it is also very difficult to be accurate and very concrete in such a communication. The progress party has long been busy with one thing, and that's Andøya Spaceport. Not building out Andeya Spaceport. I don't want to say that we're standing by in the space industry, that is, we're taking a step back. This is an incredibly important project for the advance and development of the Norwegian space industry and industry — an industry that now includes not only state agencies and government involvement, but also private, through industry and parts supplies and the construction of rocket engines and rockets. Kongsberg and Raufoss are two who are heavy inside it, but they also have their subcontractors, and this is starting to be business in private business. That's something we have to accept with joy and try to develop forward. When the space industry began in Norway and the state initiative, it was important, as it has been said, to make the country go in and be a catalyst to get things going, but the more important it is that we facilitate the conditions for just private business, so that they can come in and contribute with both competence and investment and be involved in developing industry and industry in a good way. I feel that I am well cared for through the message. Then there's one thing that's also important when we're talking about space activities and what's happening in space. These space programmes and what we're doing cover a lot of areas, for both navigation and surveillance of the north, but what's particularly important is what's safe to do. Space and space industries have an exposed infrastructure. It is important to take care of, and it should be focused. One thing is that many of the civil services we have, which are societally critical, go through satellite communications. Satellites are exposed, but there are also download stations, i.e. satellite bases on Earth. So having back-up systems is incredibly important for us to be able to do the societally critical tasks of which the space industry and satellites are part. I hope it will be focused on it in the future as well, and I see in the message that the government has a lot of attention on it, but there is something that should not be down-prioritized in any way. The party of progress is in favour of the majority observations on the matter, even though we were unable to enter them in the course of the first submission by means of an incursion. Now we've got it fixed, so there's no doubt that we're supporting it. We also support the proposals in the vote. We have also considered some of the proposals from the red-red opposition, but we have not yet concluded there. Most likely we won't support any of those proposals, but it depends a little on what the Council of State says in the Chamber today.
ParlaMint-NO_2020-06-10.ana.ud451e569	It is good that we now have a new and more up-to-date strategy for the Norwegian space industry. But even though the space strategy is lagging behind, it could have been better. We need a more offensive and clear space strategy with concrete measures that give us a clear understanding of how to build this new and exciting industry. That is why, in conjunction with the Labour Party and the Centre Party, we have put forward a number of proposals to improve the strategy. Good research environments, exciting educational opportunities and highly skilled labour are important factors for the further development of the technology and knowledge-enhancing industry of the space industry. Increased space activity can also provide us with more knowledge that can help solve more challenges, as well as having a major impact on maritime safety. A small country such as Norway has a major role to play in the global security policy situation. Our country must be the driver of fair rules of play in space. In particular, given that large private actors are looking at the possibilities of exploiting space resources, clear rules are important which also take into account small countries. Norwegian space activities can become a technology adventure for us Nordics, and the strategy we are dealing with today is about industrial policy, innovation and value creation. We have come a long way in ESA cooperation, business clusters are being developed in Tromsø and Svalbard, and satellite technology can help improve environmental monitoring, map data, security and the development of different types of new infrastructure solutions for many types of industries. In order for Norway to become the leading space nation in the Arctic, we need a plan. We're going to need a lot more competence and labour. We need a more comprehensive and long-term space policy that takes greater educational policy action to meet the demand. We should facilitate more research projects and strengthen the provision of study space by providing an offer that is relevant to the industry, practical areas related to education, so that we can provide the skills we need in a long-term perspective. It is also important that Norway commits to the EU space programme and initiates other important international cooperation in space activities. I would also like to mention that this space strategy is primarily about industrial policy. There are some security policy benefits of having capacity for space activities. For example, we will be more independent of others and therefore will be better able to assert sovereignty. But SV is critical of including defence policy in this. We are concerned that space will be a new arena for arms race and upgrading, and are therefore disappointed that the government seems to have embarked on a new line in space policy where Norwegian spacecapability will defend Norwegian military interests. It may contribute to more tension and uncertainty and potentially turn Andeya into a military goal. We from SV are going to work against this development. SV is very pleased that an overall committee is in favour of launching the implementation of Andeya Spaceport. It is important for Andøya, who has been hit by a systematic decline over the year. When the state intervenes so extensively in a small community, it is also fair to point to Andøya as an area of activity for space activities in Norway. The transition Andøya as a society has stood in has not been as good as it should have been, and we see this as an opportunity to raise large areas of competence in Andeya. In fact, it was just to be lacking that we are preparing for the Andey community, so that they get as soft a landing as possible after what they've been through. We know that satellites as part of an increasingly interconnected world are becoming even more important. Getting this environment in place is going to give us a great advantage, and we now have the opportunity to take a leading role and create a high-tech environment that makes Norway and Andøya face up to a technological development we have no idea of the extent of. We have also received input from the fishing industry in Andøya that this may have some impact on fisheries. That is why, today, we are tabling a loose proposal asking the government to: ‘examined the impact of the implementation of Andøya SpacePort on the fishing industry and engage in dialogue with the industry in order to develop remedial measures to ensure a continued strong fishing industry in Andøya and its neighbourhoods’. We do so in view of the need to ensure good measures for this industry as well, while at the same time realizing Andøya Spaceport. And we hope to support our proposal. I finally brought up the SV's proposal on the matter.
ParlaMint-NO_2020-06-10.ana.ud451e599	The representative Katrine Boel Gregussen then mentioned the proposal she referred to.
