ParlaMint-NO_2020-03-11.ana.ud187e28	The representative, Mr Liv Signe Navarsete, will present a proposal for a representative.
ParlaMint-NO_2020-03-11.ana.ud187e118	Jonas Gahr Støre – for follow-up questions.
ParlaMint-NO_2020-03-11.ana.ud187e123	Measures need to be improvised and put in place in the light of the type of infection that comes. But after the swine flu, a report was made, a big message was written, several improvement points were set up, learning points. As the Prime Minister says, the Stortinget dealt with changes in the infectious diseases law in the spring of 2019. Several municipalities and infectious physicians identified the need for a national action plan on infectious diseases outside the health institutions, as well as a clearer division of roles between the Health Directorate and the Public Health Institute. They are our professional authorities – the government’s professional authorities, but also the local authorities. They asked for this on the basis of experience in developing their own emergency plans. The opposition then proposed this, but the government parties opposed it. Over the past few weeks, we have seen that there have just been challenges with local assessments and with communication between the national and local levels of protection. Does the Prime Minister see a need to improve and make advice to Norwegian municipalities more coherent and direct?
ParlaMint-NO_2020-03-11.ana.ud187e129	As regards the advice of Norwegian municipalities, they will be both clearer and stronger in line with developments. That is why, at the press conference yesterday – with the Minister of Health, the Institute of Public Health and the Directorate of Health – we clearly said that we are over in a new phase when the infection now appears to spread regardless of the cause. Then there are also clearer and stronger requirements. They've come now, and it's probably going to get more as you see evolution. We have been very clear that we need to be clear, and that it must be possible to implement the advice, but in the phase before you have that kind of dissemination, local conditions will have a very big impact. Of course, if you don't have infected or there are few infected, it will be possible to carry out other activities than if you have a high prevalence of infection. With regard to the question of the role-sharing between the Institute for Public Health and the Directorate for Health, the Stortinget addressed precisely that spring 2019. That's what was the change in the infectious disease law to clarify those questions. Although it may be said that better information should be provided, an action plan of the type proposed by the Workers' Party would not have any significance in today's situation, at this stage.
ParlaMint-NO_2020-03-11.ana.ud187e136	Jonas Gahr Støre – for follow-up questions.
ParlaMint-NO_2020-03-11.ana.ud187e141	I totally disagree with that, but it's not a theme right now, it's just to get it mapped. But back to the municipalities: they're the first line defense in the VDU, they're facing a tough challenge, and it's going to get bigger in the weeks to come. We have a fixed medical system that's already extended, there's a lot of shortcomings, and they're going to be under pressure. They lack staff and resources to carry out the detection of infection. And the municipalities are responsible for our older people at the institution, which is the most vulnerable group in this epidemic. Measures cost, and this is a year then 85 pst. the municipalities will have scarcer budgets due to the local economy. The municipalities are still seeking clear advice. I got a message from a rapporteur in a municipality with 1,500 inhabitants in the interior today who are very concerned about the situation: there are different advice on how to act, what kind of action needs to be taken, and what kind of events need to be cancelled. Leadership requires clear answers from the authorities. My question is: From the Minister of Finance and the Prime Minister yesterday, action came to the business community, which I will come back to, but what measures are now being put in place to improve the economic and capacity of municipalities to meet the challenge?
ParlaMint-NO_2020-03-11.ana.ud187e152	It is difficult for me, as Prime Minister, to comment on the views of an unknown rapporteur as to whether the advice is clear or not. There are some parameters that need to be considered locally from the particular situation. Yesterday, however, there was much clearer advice on how to handle events and what events to cancel. It will also become clear in the current phase. But there will be some municipalities that want to be even more stringent, and we see that some municipalities go beyond just following the Public Health Institute's advice, and then there will be some confusion in the neighbouring municipality about what advice should apply. But the Council of the Institute of Public Health has been quite clear in the last few days. We have said that there are three phases in the work we are working on financially. The first thing we're doing right now is taking immediate action not to see companies that should live on in the future go bankrupt. Therefore, there will be some immediate measures coming Friday, with a request for prompt treatment. There will also be money for the health sector to ensure that they can meet current needs. Then we have said that we are going to move forward in two new phases in the evaluations of these measures, and we will of course also assess the local economy and the local situation in the future as part of it.
ParlaMint-NO_2020-03-11.ana.ud187e159	Jonas Gahr Støre – for follow-up questions.
ParlaMint-NO_2020-03-11.ana.ud187e164	I want to take one very precise thing about the measures that are now also taking the economy, and that is about the permitting legislation. It's about the companies that are now in an emergency situation. This is a crisis that hits the whole value chain of many companies, which instead of canceling people can permit people. I want to convey to the Prime Minister a message that comes from many teams. It is that there is too late a process of having a proposal Friday to be dealt with in Stortinget next week. Many enterprises are now in this situation. With regard to the permitting legislation and changes to it, I would like to encourage the government to find procedures – I believe the Storting will be willing – that will enable them to be put into effect, and effectively, from this week on. Does the Prime Minister have any comments on that?
ParlaMint-NO_2020-03-11.ana.ud187e171	Of course, I want to take it with me. Of course, we should consider whether it is possible that we practice laws in a different way with an earlier date of entry into force than the Stortinget authorizes us to. In that case, it is legal work – we just have to assess that we are within the current framework of the law. But I think what's important is that the rules of permitting this now come into place quite quickly. The first statements that we should do something about the rules of leave came on Friday. It takes one week, and I think that is actually relatively fast, also in the historical context, when it comes to action.
ParlaMint-NO_2020-03-11.ana.ud187e176	Jonas Gahr Støre – for follow-up questions.
ParlaMint-NO_2020-03-11.ana.ud187e181	The point is that the historical context here is not entirely relevant to what many businesses are up against. I would also like to ask a question about the permitting legislation. I perceive that the government has sat down with the NHO and listened to them, and that's good. They have not sat down with the LO and listened to them about what employees' interests are about in this situation. I think that's weird. My question is: in a situation in which the government commits to provide deferred payment of property taxes, which takes people with wealth in Norway, what kind of containment is there in relation to that change in the permit code in reduced payment for businesses? What must workers take off that burden? What kind of situation will it be economic for those who are now being permitted, after the order of the Prime Minister looks at it? And how is she to ensure that the measures now being taken are seen as fair? Would she care more about the company's situation? Does she see the need of workers who are now being affected in the situation that arises?
ParlaMint-NO_2020-03-11.ana.ud187e190	My main concern is jobs for people, and the companies are equal jobs for people. It's security and well-being in the future. It's that we don't now get bankrupts, corporations that end up, for example. in the tourism industry, which has relatively difficult margins, perhaps little to live on, and which is difficult to rebuild afterwards. Creating new businesses takes time. We should not affect our growth capacity and job creation in the future. I believe that this is of interest to both employers and employees in Norway. There is a common interest at the bottom. Our starting point is enough that the permitting rules we've had are the same permitting rules we should have in the future, that is, the same compensation as the daily allowance. I have noticed that the Labour Party has not previously problemed it when we have increased the number of days that owners of companies have had to cover, that it actually means a better payment to employees during that period. This has not been problemed before, when one has wanted to have fewer days paid by the employer.
ParlaMint-NO_2020-03-11.ana.ud187e197	Jonas Gahr Støre – for follow-up questions.
ParlaMint-NO_2020-03-11.ana.ud187e203	The Prime Minister does not answer the question. There will be a reduced period for employers, and there is an action we support. But what kind of rules will apply to those who are being sanctioned? Are these the usual rules? Should they risk getting up to 40 pst. reduction in the amount of compensation received during the period of leave? Why does the government not sit down with the social partners when they prepare such a package, not just with one of the parties?
ParlaMint-NO_2020-03-11.ana.ud187e208	Both the Minister of Industry and the Minister of Labour and Social Affairs have agreed to meet with the employees and LO on further questions. Yesterday, the Minister of Industry met with professional organisations to find out what the situation is for those sectors, and see where the measures should be in the future. We are going to build on the tripartite cooperation in all the work ahead, but right now we need to make rapid clarifications, actions that can come quickly. So we've spent a few days preparing it, and we're going to the Storting on Friday because it's urgent. That doesn't mean we're not going to talk to the employee's side. I'm a little surprised that the Workers' Party is now saying that we should not have the usual permitation rules, which we had during the financial crisis, which we had through the oil price drop – that it is now being problematicalised. It's true that you get 62.5 pst. of 6 G. All persons with income above 6 G receive 62.5 pst. So we're going to have a significantly larger drop of 6 g. So there's a balance in this where the state compensates for the usual rules.
ParlaMint-NO_2020-03-11.ana.ud187e217	Jonas Gahr Støre – for follow-up questions.
ParlaMint-NO_2020-03-11.ana.ud187e222	Let me problem one more theme. We read in the media that the Minister of Defense is now working from home offices. It sounds wise, given the situation. Many of us can work from home offices. A lot of people can't. Those who work in health care, those who work in sanitation, those who work in transport, cannot work from home in a quarantine situation. How does the Prime Minister view the situation of the people who are being quarantined and being away from work, but who are not found sick and are not receiving a medical report? How are their interests to be cared for while they are in the quarantine of a rope?
ParlaMint-NO_2020-03-11.ana.ud187e227	In the health insurance scheme, if you are required to be at home because of such a situation, you can – if you cannot do tasks for the employer and the employer still have to pay – be on sick pay. There is already a regulatory framework for it today. There is an assessment that needs to be made – whether you can do the job. Those who have a job where you can't actually do any of the work at home will have the opportunity to get medical coverage in such a context.
ParlaMint-NO_2020-03-11.ana.ud187e232	Jonas Gahr Støre – for follow-up questions.
ParlaMint-NO_2020-03-11.ana.ud187e237	It was clarifying. But then to another theme, that hits some people now. This applies to parents of children who are quarantined. Bente Rekkebo Skjevik, who is a member of the Producer Package Trøndelag AS in Frosta, sent me a specific question that applies to more people in Norway today. Two of Frosta's three kindergartens are closed with 14-day home quarantine. In a kindergarten in Oslo, the city board decided that 80 children should be quarantined. It affects about 160 parents. Then the question is, what arrangement applies to parents who have to be at home, one or two of them, to babysitting? There's also a 2nd class here in Oslo. Will they also be compensated for that home period?
ParlaMint-NO_2020-03-11.ana.ud187e242	There is always a risk that if the Prime Minister is in an oral Question Time and has to answer all such questions exactly – in line with the rules of these Question Time – you can say something that is not 100 pst. correct or 100 pst. in line with the current date legislation. The law says that you can take out sick days if the child is ill or if the child has to be at home. But you still have to assume that even if you have children at home, you have to be able to do your job for the employer if you can do so. It is possible to be at home with a sick child while working from home in such a situation. It's important that we look at the dividing lines here. That is why it is not a single answer for everyone. We also have to think about how we're going to deal with the situation that is, how we manage to organize ourselves in a way that makes us get the most done in our society while someone has to be at home. Therefore, I am concerned that those who can work from home should be able to work from home – even if they do. care must be taken of children who are at home because they are in quarantine.
ParlaMint-NO_2020-03-11.ana.ud187e249	Jonas Gahr Støre – for follow-up questions.
ParlaMint-NO_2020-03-11.ana.ud187e254	But this isn't right. For very many people it is not possible to do a job for the employer if you are at home. If that job is in a hospital, if that job is on a train, if that job is on a plane, you can't do the job from home. I would like to include a last remark to the Prime Minister here: there is a need to clean up legislation and arrangements when we are at the entrance to something that can last for many months. Nav’s website says: ‘You are not entitled to medical treatment if you have to be at home because someone else in the household is quarantined without being ill. ‘A child who is told by the urban doctor to be at home without the presence of a disease in that child is not ill. I believe that there is a need to clean up the legislation that makes it predictable for those parents who have to take responsibility in such a situation, and I urge the Prime Minister to address that.
ParlaMint-NO_2020-03-11.ana.ud187e261	First, I want to say that my premise was that someone can't work at home, while others can work at home – and then you should be able to work at home. We have to make sure that this country does not stop. Then it will be different whether you can work from home or not. It must also be taken into account. I fully agree that we need to clarify some of these questions, so that it becomes clearer in the future. But it's also such that we have to have the basic vision that we all have to consider whether we might have to work a little bit more from home to make sure that, for example. the pressure on public communication is being reduced. All jobs must now plan a little ahead. It's fine if you're right now, for example. plans that not too many people travel at the time of the rush, so that the load will be slightly reduced where public transport is the main means of transport, as it is in the larger cities, and that the density will be slightly reduced. This must be done by all those who are employers.
ParlaMint-NO_2020-03-11.ana.ud187e267	Kjersti Top - for the next question of follow-up.
ParlaMint-NO_2020-03-11.ana.ud187e272	Yesterday, according to the health minister, work is being done on the epidemic along two tracks — one path of infection and one route of treatment — to prevent deaths among the seriously ill. According to the health authorities, a preliminary scenario is expected in Norway where 22,000 can be admitted to hospitals and where 5 500 may require intensive treatment. In 2018, there were around 10,000 somatic hospitals in public hospitals. We know that many large hospitals are already struggling with overcoats and corridor Asians today, and that daily treatment there is already reserved for the most seriously ill. At the same time, we have hospitals that can have free capacity. My question is whether the Prime Minister can say anything about the work of the government to guide the healthcare system to the mobilisation of all available hospital facilities in Norway, including local hospitals and possibly private ideal hospitals.
ParlaMint-NO_2020-03-11.ana.ud187e277	This was the mandate we gave to the Health Directorate in February to plan and apply under emergency legislation in Norway: request, for example. hotels, but also open spaces, etc. The Health Directorate now monitors the capacity of hospitals — a lot of which has already been surveyed — where capacity, opportunities and equipment are available to set up several intensive departments around the hospitals. In addition, facilities related to hospitals are being monitored for use, so in the next round there are questions about hotel capacity. Then there is a job of monitoring employees, staff, the possibility of mobilising more resources, looking at whether pensioners who are qualified to help, can be put back into work – so get to all these offers and mobilise full resources on it. This is among the preparedness work that has been done for a situation where we need to raise the capacity of sick people, but also in intensive care departments around the treatment.
ParlaMint-NO_2020-03-11.ana.ud187e282	Une Bastholm – for follow-up questions.
ParlaMint-NO_2020-03-11.ana.ud187e287	I do not think the Prime Minister answers clearly about the local economy and the pressure on the municipalities in this situation. We see that the government focuses a lot on action against the business community as an employer, but municipalities are also important and large employers in many places, and municipalities are also the providers of basic services on which the rest of the business community depends. In the future, municipalities will experience increased pressures as a result of the coronary crisis. An example is the increase in the cost of nursing staff in hospital homes, those who will deal with the most vulnerable in this crisis. Nursing staff who are at risk and others who get sick or have to stay at home must be replaced by temporary workers. At the same time, economic decline can lead to a lower local economy. In concrete terms, how will the government ensure that the municipalities have the resources needed to meet the costs of time to come as soon as possible?
ParlaMint-NO_2020-03-11.ana.ud187e294	In the case of the local economy, our income system is built in such a way that if tax revenue fails, it will be compensated for by larger transfers in the following year — it is part of the income system as such. So the planning for growth in the municipal sector is quite systematic. When it comes to the issue of local government finances, we said yesterday that we have three phases in this work. What we're doing now is making sure hospitals get money, so they can buy equipment and mobilise resources, and we're going to make sure they get powers to exceed budgets if they need it. And we're going to come up with emergency measures to make sure companies don't go overboard. Then we have said that we should look at the measures that are important in the medium term, which can be instruments to finance businesses – loan schemes and other measures that contribute to it, through Innovation Norway, also increased activity. What we're also going to see is the municipal economy and the development of the municipal economy. It's part of the increase in activity and coverage. But there are no municipalities that are going to go bankrupt in the next few weeks, and therefore it is not part of the emergency measures that are coming on Friday.
ParlaMint-NO_2020-03-11.ana.ud187e301	Bears Moxnes – for follow-up questions.
ParlaMint-NO_2020-03-11.ana.ud187e306	There is great frustration, not least among health professionals, about unclear advice, cracking recommendations, unclear management and a absent Prime Minister — until yesterday. The head of the intensive department of Oslo University Hospital Ullevål now asks for three measures: firstly, that all events with more than 50 people be cancelled; secondly, that buses, railways and the like go half-full; and thirdly, that of home offices for all those who have the opportunity. He said, ‘This is not achieved by the existing measures. We must make the tough measures now, otherwise there is not one intensive bed available if people get heart attack or hit their heads in the asphalt." [[...]] Some municipalities have come up with powerful measures, such as Bergen. Why are these measures not applicable to all municipalities? Where is the determination and action required from health professionals around the country?
ParlaMint-NO_2020-03-11.ana.ud187e318	There are many voices in situations and crises like this, based on what they see. For me – and for any management, I think – it is important to listen to the professional authorities who have been legally authorised to deal with this situation. The size of this division of labour is addressed not later than last year. We are listening to the advice from the Health Directorate and the Public Health Institute, in line with what is planned for infectious diseases and preparedness in Norway, precisely because we are not going to do things overdue or do things too late. Then it's the ones that have to give us the main advice. They also listen to the recordings that come from everyone else, but it's important to say that we've given some authority. We have been working intensively since the beginning of February, for example. the planning of infection protection in the municipalities to ensure that more people are better prepared to deal with this and that those municipalities that do not have a good infectious protection plan also have a disease protection plan established.
ParlaMint-NO_2020-03-11.ana.ud187e325	Bears Moxnes – for follow-up questions.
ParlaMint-NO_2020-03-11.ana.ud187e330	Our neighbouring countries have been more powerful in their efforts. The Danes, for example, also follow technical advice, but are introducing measures now before it is too late. We see that the government is in favour of measures that will cut the bill for the owners, i.e. you take more of the bill for permits. The question is whether there will be measures that will also help workers. You go for three days without income — in some kind of waiting time — before you get daily pay from Nav. Will the government cover the three days with zero pay for the employees and take the bill for the employers? Secondly, many low-wages in the hotel and restaurant industries will now be outsourced. They already have little money to travel with. They'll get a cut down to 60 pst. of their wages and salaries. Will the government consider increasing the level of permeability for those who are now low-paid, so that we don't get increased differences and economic problems for those who already have little to go with?
ParlaMint-NO_2020-03-11.ana.ud187e342	We have a well-established regulatory framework, with legislation and systems for it, which has been used in all previous situations where we have had to do it. I do not see it as expedient now to make major changes to that legislation. You get, for example, the tyre 62,5 pst. up to 6G. Everyone who's over 6G doesn't get compensated for anything over it. This means that, in principle, the permitting legislation and the day-to-day payment system are designed in such a way that those who have below medium or medium income receive better compensation than those who have higher incomes in this context. In a situation where we need to spend a lot of money and have a lot of intensity, we might have to make sure that the arrangements we have are working, and that they are the ones we've used in all the other previous crises that we're still using. The measures taken in Denmark will certainly be adapted to Danish conditions. But they have e.g. It is recommended that events with 1000 people be cancelled. In Norway, we have recommended cancelling events with 500 people. In this way, there are areas where we are stricter than the Danes, and the Danes currently have the same infectious situation as we have.
ParlaMint-NO_2020-03-11.ana.ud187e351	Bears Moxnes – for follow-up questions.
ParlaMint-NO_2020-03-11.ana.ud187e356	I think there are very few who feel that the Norwegian authorities are too firm, too cashy and too powerful in their response. Maybe there's a gap in today's situation. I note that changes are being made in terms of employers’ leave rules, that more is to be covered by the bill for employers, but that the bill for employees is being rejected, which will be given three days without any income – in a waiting period – before they receive a daily allowance. In addition, we know from the last time there was a fall in oil prices, that the changes in the legislation were too late, so we lost competence. If the period of leave had been extended to 52 weeks, for which we are going to go in, the companies could have allowed the employees to remain employees, rather than giving up on them to collect employees other than those they had before. We wonder whether the government will assess these changes, which will benefit the workers, both coverage and extension of the leave period, in order to avoid companies losing valuable labour due to a longer crisis.
ParlaMint-NO_2020-03-11.ana.ud187e365	I think the representative of Moxnes's claim and reality is a little special. The fact that we are making exceptional measures to prevent companies from going bankrupt is as important for employees as for employers. Having a job to go to, knowing that the job – what you have done to build up over a long period of time – has not disappeared, must be the most important thing we contribute to. So when we introduce measures to help improve liquidity, it is not the way to help employers as such – it is to save people's jobs. That's why we're introducing these measures. Therefore, there is no black and white situation. I believe that workers and employers have a common interest in this situation. It is that we do not lose jobs and important businesses for the future in this period. This is why we are launching measures to contribute both to liquidity enhancements and to the ability to permeate in the past. The black and white image, which may come from the ideological point of view of the Moxnes, I don't think people recognize it. They like their job, and they're busy with their business.
ParlaMint-NO_2020-03-11.ana.ud187e372	Bears Moxnes – for follow-up questions.
ParlaMint-NO_2020-03-11.ana.ud187e377	We have not rejected the measures that have already been launched, but we also want measures to ensure that workers do not take the biggest bill for the crisis, as we have seen in previous economic crises. It is fully possible for the government to notify measures to avoid going three days without any income, which is in today's legislation. You pick up the bill for employers — you do — and then you should also take some of the bill for the employees, according to our assessment. We also wonder whether the government will impose any conditions on the companies and companies that will now receive emergency aid. Will the government, for example, For example, demand that those who receive money from the State refrain from doing so in different ways. from dividends, refrain from providing large executive pay supplements and refrain from spending the money that comes in the form of emergency aid to enrich the owners or managers of the companies? Is there a plan for this – setting conditions for state aid in the coming period?
ParlaMint-NO_2020-03-11.ana.ud187e384	The measures we come with on Friday are measures designed to help companies that are in a liquidity dispute, which are in a situation where they can actually go bankrupt. It is not a matter of regulating management wages or dividends. Take, for example: the proposal we have on the suspension of taxes on wealth: it is based on the fact that in a deficit situation there is no need to charge dividends in order to pay a tax, but on the contrary must pay that tax later when one has come over this knee. So you don't get tax relief; you get tax deferral with what we propose in this area. This means that in the future, if the company actually continues and the asset value is there, you have to pay the tax that was deferred this year. But we make sure that the jobs are safe by not taking dividends at that time.
ParlaMint-NO_2020-03-11.ana.ud187e389	Let's move on to the next main question.
ParlaMint-NO_2020-03-11.ana.ud187e394	I want to ask some questions that I think people are wondering about, and I want to give a big reward to employees who are on and dealing with this coronary eruption. I understand that it is difficult for the authorities to continuously assess which measures to put in place, but I just have to say that I think many are both confused and worried out there. One day we see that it lands charter aircraft from the most affected areas, and that those who are on board just walk into our country. One day the big event is arranged, and the next day it is not recommended to have that kind of event. Health professionals are calling for national guidelines and governance, and people who are hit or have been in contact with those affected have a lot of questions. I've talked to more people who are in this situation. They spend a lot of time after warning to figure out what to do. What does that mean for me, my family? What happens now? They are told to call their decision maker, and there they can stand in line for hours. When they get through, they are often told to call the medical officer. There they can stand one to three hours in a phone queue. Oslo has set up a corona phone. There is the message: there is a lot going on, we do not have the capacity to answer the enquiry. 113 gets called down, and people among us get brain bleeding and heart attacks and other serious diseases even if the coronary virus is on. In the newspaper I see that the Health Directorate now says they have 6 000 – 7 000 enquiries per day, and there are 30 pieces to answer the phones. Ensuring capacity is important. As I see it, two things are called for: a consistent information, common guidelines, the same message, and more in the first line to deal with a huge movement among people. I wonder what the government will do to address the situation and ensure that people can get faster information and more consistent information.
ParlaMint-NO_2020-03-11.ana.ud187e403	I have a great deal of understanding both that people are concerned about, and that people feel that the information may not be entirely correct, partly because there are many votes, many views about what the other should be, but also because you may not quite know what a phase such an epidemic is going through. In the first phase, when you can trace everyone back to the source, there will be a set of measures that are essential. Those measures address those persons coming from areas where the source of the infection is and those in the surrounding area. It's the messages that have been clear in the first phase of this. As the Institute of Public Health and the Directorate of Health said on their statement yesterday, we are now in a different phase, because now we are beginning to see infection that spreads in the population a little independent of the source it comes from. Stronger measures will then be needed. These phase shifts are there. It may be that there has been a little too little communication that we have to get into a situation where we have to step up the measures, but it was also said in the past that we would have to step up the measures as they get there. At that time, there will be stronger measures, so that today there is stronger action than it was last week. In two or three weeks, there may be even stronger responses, depending on how they are. I agree that one has to try to be consistent, but there are many voices in these debates about what to have. The second is that we have to provide the capacity to give answers. The last thing I agree with. As a result, several municipalities, but also the various agencies, have tried to redeploy. It's also important to say that we have to use the most qualified people to treat people, so we also have a limit on how many people can sit and accept. But we're constantly looking at the capacity of responding to people and making sure that we get enough information for single citizens in Norwegian society.
ParlaMint-NO_2020-03-11.ana.ud187e412	I experienced so much the same thing yesterday. Then it was one of my children who had been in contact with a child in a family where it was a question of whether one of the parents was infected, and they were going to start to find information via the website, because they found out early that using the phone was a relatively demanding exercise. By reading through this information, it was quite difficult to get wise on this, but then we found out that, based on what I read, we were not going to get quarantined. On the other hand, if you feel that you are infected, we have to assess whether we are going to be quarantined. It really means that people who have been in contact with someone who is infected go for days before being quarantined, depending on whether they are infected or not. Does the Prime Minister realize that it is relatively confusing for the population to know how to deal with it?
