ParlaMint-NO_2020-04-30.ana.ud19e33	The representative, Nicholas Wilkinson, will present a proposal for a representative.
ParlaMint-NO_2020-04-30.ana.ud19e129	We already see many of the gender consequences that the coronary crisis brings with it. It's like the Korona crisis puts a kind of magnifying glass on the differences in our society, a magnifying glass on people in vulnerable situations and a magnifying glass on the consequences of having a long way to go before we're equalized. The results of increased unemployment and closed communities hit women hardest. In addition, it's the ladies who are now dragging us through this, it's the ones who are standing on the front line of the health care system, who are cleaning up, who are going to work and are putting themselves at risk, so that we others are safe. The differences we have tried to balance for a long time are now being reinforced during this crisis. It's serious, and those who already bear the burden that we don't have equality are now hit extra hard. We already know so much about the women who work part-time, who are temporarily employed, who are vulnerable to downtime in the labour market initially, those who are not economically independent – they are now hit hard. And so do those who work in the industries that have been closed for a long time, which are still closed, and who may not get back on their feet. Carrying the heaviest should also do the ladies who have work right now. It is the women's dominated professions that are in the front line of the fight against the Korona – the nurses, the health workers, the cleaners and the shopkeepers who go to work to save lives, keep a minimum of society going, are at risk, so that we others experience security. They deserve so much more than clapping from balconies. I hope that we can all now get our eyes up because these deserve action, they deserve equal pay, a wage to live off, full and permanent jobs and retirement from the first penny. It is also the ladies who experience the most serious consequences of things being closed, and that people have been sent home, for many ladies and their children are now confined where it is most dangerous to be to them: at home, with a violent partner. Too little has been done to ensure that these have a place to go through the crisis, and we know that the auxiliaries and crisis centres are already economically struggling. In its presentation, the Council of State took up many of the areas where we know that we lack equality in Norwegian society. Unfortunately, there were not many suggestions for solutions to be heard, and it is not, in fact, that all arrows point in the right direction in Norway. In the peer-to-peer index, we go back to a number of parameters. After almost seven years of right-wing rule, it is unfortunately a reality. The equality is in many ways put in reverses. I can only mention keywords such as abortion, equality law, cut-off on part-time measures, weakening the financial support schemes of the NGOs, cutting aid for gender equality, etc., etc. We have to move on. If you're busy with the ladies who work hard, yes, give them equal pay, give them a pension from the first crown and the whole, permanent jobs, no more talk. If you are busy getting women with a minority background into work and activity, yes, don't give up your cash support, spend your money on qualifying and facilitating them in the workplace. If you are concerned about and afraid of those who now go home and have it dangerous, yes, rust up the crisis centres financially, ensure action against violence in close relationships, and ensure more child protection positions. Whether negative social control is involved, yes, why did the Workers' Party propose to prevent religious environments from putting undue pressure on vulnerable people, and to make demands on state aid — or simply ban homotherapy. The fact is that this government has weakened many of the most important tools we have to achieve equality, and there have not been any new initiatives to move forward. Then it doesn't go forward either. The Corona crisis puts a magnifying glass on the negative consequences of our lack of equality. Today's gender equality policy debate comes at a time when equality policy is more important than in a very, very long time. We see the consequences so clearly, and I hope that now we all get our eyes up so that the ladies who are now struggling the most, yes, they need more than talking. Now we have to act.
ParlaMint-NO_2020-04-30.ana.ud19e146	First of all, I would like to thank the Council of State for a thorough presentation of the government's equality policy. He explained well and much to the challenges we are facing today in the field of equality. In general, it is really quite difficult to disagree with most of what the minister said. However, there are some differences between the parties in how we focus on what should be followed up, what are the greatest challenges, and not least how we want to meet them. In his presentation, the Council of State was good at describing the situation, but I have to agree with the Labour Party that he was perhaps a little weaker when it came to the concreteisation of the measures. It is nice to refer to action plans and packages, but it is also important to refer to what they contain in concrete terms. I think we had a good example in connection with March 8 a while back – it's probably two years ago – where we put forward our own commitment to women's health, which was an excellent, good and concrete proposal on how to follow this up. I am also very pleased that the Council of State mentioned the importance of the fight against violence in close relations, which has also been discussed here from the pulpit today. It's a very great threat to women's health, but of course also to family life. Nor should we forget that men too are actually exposed to violence in close relationships. It gives an extra weight when the Council of State refers to its own personal history and illustrates negative social control and how it can inhibit the lives of individuals, and I must say I am quite certain that this is a minister who takes this very seriously. I have also had the pleasure of hearing an engaged minister at a joint event on Women's Day March 8th, and there is no doubt that this is a minister who is very engaged in the field. I think he should be praised for that. But then it's about making sure that as little as possible is subjected to negative social control, and that as much help as possible to break out of it. Several examples have been seen over the past few years, including the following: an increase in the number of Norwegian children disappearing abroad, among others. to Quran schools. Fortunately, we did something about child marriage. I would say that it was an important thing to change Norway, but it is important that Norway is the player who is pressing for a ban on this also internationally. Child marriage, I dare say, is one of the biggest challenges internationally for equality, precisely because it very often prevents young women from completing education and getting into the workplace. Of course, a ban will also break with old, outdated traditions. We've talked a lot about women, and it's often the ones mentioned in the equality struggle, but I have to say that this year, too, I have to point out in this debate that equality also applies to men. I think that might be missing in today's debate. I think it was a little better on a human day on 19 November last year, and I hope it gets even better this year. We must not forget that equality also applies to men. Man's day and men deserve to step out of the shadows of women's equality struggle. They deserve to be taken seriously, just like all of us expect to be. Of course, we should not accept discrimination against women in society, but we should not tolerate discrimination against men. It is important for me to stress today that we should not forget that equality of course applies to both sexes. Last, but not least, I have to deal with this with racism and antisemitism, a growing trend in society, internationally and nationally. It is very demanding when ‘Jews’ are one of the most common shelling words in Norwegian schoolyards. We can't have it that way.
ParlaMint-NO_2020-04-30.ana.ud19e161	I thank you for the statement on Tuesday. As so often before in the Norwegian gender equality context, I am turned off, and I am glad that there is active work in the whole country on this problem, while I am aware of a renunciation because there is still so much to work for here at home and not least internationally, how equality and the women's case have been set back. The Minister was active in several areas — gender equality, gender differences in study and career choices, involuntary part-time work, parental leave, participation of migrant women in work, living conditions of disabled persons, age discrimination, rights of LHBTQI persons and opportunities, etc. And even though the minister assured us that the government is actively working to promote equality, I have to say that I lacked more concrete information about the fruits of the government's actions actually carried. Both the Minister and I believe that the obligation of activity and reporting will be a good tool to raise awareness among Norwegian businesses that active, targeted and planned work is necessary to promote equality and prevent discrimination. Unfortunately, there is a great weakness in that scheme – 98 pst. by enterprises in Norway have between 20 and 50 employees, and all of them are not covered by the scheme. We in the Central Party still believe that there is very good reason to ask questions about this will have the desired effect on our gender equality work, when the obligation to make representation is only triggered when one of the social partners in private enterprises with 50 or fewer employees so requires. Otherwise, the Minister was, of course, concerned with integration and diversity in his presentation. And by referring to his cultural background and personal history, he makes it clear that there is great potential in all the work we can do in the field of equality for more diversity and better integration and in the fight against social control. The minister also said a fine thing during the presentation that I believe deserves to be repeated, namely that there is a link between the freedom of the individual on the one hand and the development of society on the other. Because the individual's freedom also lies in the possibilities of society. That's why it's our responsibility as politicians to organize for the individual to unfold, seize opportunities and create a safe and good life regardless of its orientation, ethnicity, culture, religion, sex, age, etc. Some suck through life without retaliation, while for others the path is more winding. And that's the last one we have to raise up and forward together. This is why gender equality policy is so important, as the policy of ensuring that all disabled people in Norway have a real opportunity to live as fully as the rest of the population, without constantly encountering barriers, among other things. The UN has criticized Norway for not being good enough. I am therefore pleased to record that there will be a separate action plan for equal opportunities for people with disabilities. The fight for equality and against discrimination and hate crime against other groups must also be continued and strengthened, and I look forward to the fact that we will soon be given the Action Plan against Racism and Discrimination on the grounds of ethnicity and religion, a plan that was initiated by us in the Central Party. A group of ministers mentioned in the statement are immigrant women, as they have lower professional participation than the rest of the population, and it is particularly low among female refugees. This needs to be improved. The reasons for this are complex, but I believe that labour-oriented measures will be incredibly important. This goes slowly, but we see that it works for a good part, so that work must continue. Another topic that concerns me and concerns me is violence in close relationships. There is particular reason in these corona times to be extra worried, as several have been involved, and the police notice a decline in the number of reports of violence in close relations. Crisis centres report significantly less progress. That's because it's harder to reach out and get help for them. UN Secretary-General António Guterres has encouraged all governments to put women's safety first when they respond to the pandemic. We know that the police districts have worked proactively and have strengthened cooperation with the municipalities. This must be given priority, both now and in the future. Many have found that women are hit hard in the coronary crisis. The party of progress was concerned that we should not forget the role of men. I have received enquiries from some men about much more cohabitation during this period. So it's important for us politicians to remind us that the need for equality can arise and exist in very many areas. We must be alert to that in the future. There's a lot to do. The government has a lot they have to do even better, but I want everyone to be happy in the work on equality, because I know everyone is concerned about that.
ParlaMint-NO_2020-04-30.ana.ud19e184	Feminism and equality are freedom – the freedom to be yourself, take the education you want, follow the job dream you want, love whoever you want, regardless of gender, orientation, functionality and ethnic background. It's freedom from oppression, from harassment and from negative social control, and it's the fight for equal opportunities and equal power to half the population, women. It is obvious that we still have a long way to go and fights that remain. Women still earn an average of only 87 kroner per hundred kroner a man earns. Women work more part-time. One in ten women is subjected to rape during their lives. At the same time, both women and men are affected by negative social control in many environments. Discrimination against discrimination, hate crime and homotherapy in some religious communities. Persons with disabilities do not have the same democratic rights or the ability to contribute to the working life of the population. The best feminist policy for equality is the one that sees all of this in context and takes into account the structures behind it: the legal right to full-time employment, the stronger equal pay law, as Iceland has done, bring the UN Convention on the Rights of Persons with Disabilities into the Human Rights Act, so that disabled persons are given equal rights to all others, get resources and prioritisation of the work against violence and abuse in the police, put in place a modern sexuality education with a focus on marginalisation and also acknowledges that not all are hetero, prohibit conversion therapy, so that faith communities cannot harm young people, insecure mischievous people who will only be accepted as they are of their family, by their community and by God. A lot can be mentioned. SV fights for all of this. Gender equality does not lack good ideas or proposals for action. What it lacks is political will and priority. It lacks patience. It doesn't keep us getting equal pay until 50–100 years, which is actually progressing at the pace of the day. We should have had it yesterday! In this year's gender equality debate, we are also not excluded from the consequences of the coronary apathy, for this crisis can also be a crisis of equality if we do nothing now. Women’s dominated professions in e.g. service has been most affected by unemployment. Police and crisis centres fear that the closure leads to much more domestic violence when more people spend more time at home with violent people. Countries such as Poland are actively using the crisis to deny abortion to women. Therefore, the SV promotes a series of loose proposals on gender equality measures in response to the crisis today: giving the police both instructions and resources they need to give priority to the work against violence in close relations, putting police, crisis centres and health together in crisis mode to work against domestic violence, own crisis measures for the women’s dominated professions particularly affected by the economic consequences. Not least, we have already learned some lessons from this crisis. In this work, it is important that the gender implications of this situation, of the measures taken to protect the disease, are also part of the lessons we are going to learn. We know that it is precisely the women's dominated professions in health and care that we now all extend our deep gratitude to, but the heroes of health and care services deserve not only applause from the balcony. They deserve decent pay and proper work, and it is urgent, because in large parts of the health care system, the burden is now high. The time has never been more right than now to put in full-time jobs, to constantly increase staffing, to engage in dialogue on pay raise with the parties for these professions, and it suggests SV today. Equality cannot be interrupted either by corona pandemics or by a lack of political will. Now we have to go with the women's movement and other equality champions, bring up the impatience again, because no one is free until everyone is free. With that, I'll take up SV's proposal.
ParlaMint-NO_2020-04-30.ana.ud19e205	The representative Freddy André Supreme Court has taken up the suggestions he referred to.
ParlaMint-NO_2020-04-30.ana.ud19e210	I would first like to thank the Council of State Abid Q. Raja for the statement on the status of promoting equality and diversity in all sectors. It is in the nature of the matter that this is a continuous work that must never rest, for new situations require new measures. Norway is in second place in the world for equality, and the world isn't just out there, but it's here with us. There are groups in Norway where equality is not as strong as in the majority population. I am very happy in May 1st, not only because I was born on the workers' day, but because that day reminds me of where I came from, and what I have achieved. That day I know the work that women and men have done before me to have more opportunities than my mother, and that I can live a safe and free life today. The road here has been paved with resistance and barriers, challenges, debates, discussions, action plans, strategies and political work. The gender perspective shaped my youth. As the daughter of a toolmaker, I was told by both my father and society that I should not be technologically interested. In spite of this, I later became a craftsman, in transferred meaning. In my work as a urologist, I now use very expensive and high-tech equipment. That is why I am pleased that there is a commitment to a more equal working life, so that more men are given opportunities in health and care professions and more women are tempted into technological professions. I am also pleased that there is a commitment to getting more women entrepreneurs and getting more women leaders in both the public and private sectors. In today's room we have a colorful Minister of Culture, and we have an immigrant standing here addressing equality, and then we can rightly say that we've come quite far. It's been 24 years since the Minister of Culture got his Nadia, who was of a different caste. It's 31 years since I married a man of another culture and ethnicity, a Northman. Our children are Norwegian, but the way there was a long way. Through strict social control and with a great individual counter, you finally get to where some of us have come. But unfortunately, we still see some young people fighting yesterday's fights in today's Norwegian society. Challenges such as violence in close relationships combined with social control take the freedom of individuals and destroy many years of their lives. It is time to give unreserved support to those who want more freedom, not by condemning our families apart and together, but by supporting our right to live free lives – to show skin, to choose untraditionally, to be Norwegian without being frozen out. This is a difficult psychological-pedagogical exercise, but it is this young person that society needs to understand, and it needs to be implemented in practice by making it clear that society is expected to adapt, especially in terms of attitudes and values of freedom. Therefore, action plans are important. Therefore, different adopted strategies can mean something for children, young people, women and the future of men. Action plans against violence in close relations, against anti-Semitic attitudes, against discrimination on the grounds of sexual orientation, against racism and discrimination on the grounds of ethnicity and religion, against negative social control, forced marriage and sexual mutilation, in order to reduce sick leave and strengthen inclusion, for universal design by 2021 – this means something to the Nordics today. Strategy for equality, democracy and human rights, for people with disabilities, for hateful opinions against minorities and for more women leaders – these are instruments that honor us. The freedom of expression Commission also means something to our ability to increase knowledge and understanding of modern society, and freedom of expression is as important to me as it is to a Northman of many generations. Norwegian men take the dishes, they make dinner, and they take care of children. They take out paper school and help kids with homework. It is time for equality to break down borders between cultures, national and international. Our equality story has to be told to inspire more from other continents and cultures. Equal opportunities and rights for all must permeate our society. The left will continue that fight.
ParlaMint-NO_2020-04-30.ana.ud19e231	We cannot close our eyes to the equality challenges we face and the presentation to the Minister for Culture and Gender Equality. We know that women are subjected to violence and abuse. We know that women and men are discriminated against in the workplace, that women earn less than men, and much less have leadership positions. We know that girls and boys are treated differently and get different possibilities based on what sex they have. We also know that women experience tremendous pressure to get back to work quickly after birth, a pressure that comes from all sides, including political parties. It's not equality. For my part, equality is mostly about the view of man, the human world. Human dignity is important to us in the Christian People's Party. Equality and inclusion must start before birth by not sorting out children due to their characteristics, and by giving parents who expect children with special needs the support and help they need to prepare. The forgotten gender equality struggle is perhaps the biggest and most important equality fight in Norway today. It is about those who every day throughout their lives experience a lack of freedom and limited opportunities – not because of lack of dreams or visions, but because of all the societal barriers. I'm talking about disabled people. Every day, disabled people are discriminated against and excluded from society. It's just become so common that we barely see it. I call it everyday discrimination, because stories are about people's everyday lives. It's about Ida, who can't go to his secondary school because of stairs, it's about Jonas, who was told to apply for disability on the day he had completed his journalism education – yes, 100,000 disabled people want to work, but it's about Kristine, who can't go to cinema because the assistance teams don't go to, and it's about Fredrik, who can't travel collectively because the train just isn't built for those like him. Yes, too many disabled people can tell you that they have been put back, have been driven off the bus or have remained on the platform. What do these stories tell about us as a society, and what are the signals that we send out? The Christian People's Party will have a society with space for everyone, where everyone can live free and independent lives as far as possible. We believe that all human beings are unique and infinitely valuable, regardless of their characteristics, regardless of their function. Therefore, there must be room for diversity in gender equality policy. The policies pursued must put man at the centre and ensure social equality for all people, regardless of the starting point. At the same time, we just have to recognise that this is also about attitudes. This is because people with disabilities are first and foremost treated as patients or users, not as citizens with full rights. When children can go throughout primary school without meeting anyone in a wheelchair, it goes without saying that from school, attitudes are established that disabled people are special. Yeah, do our schoolchildren learn enough about what it's like to live with disability? Often we see that people with disabilities are not given enough attention in the gender equality debate. They all too often lose the fight for attention in meeting with other groups. The Christian People's Party believes that better provision is needed for more disabled people to be active. It is therefore important, from an equal opportunities perspective, for public authorities to actively recruit people with disabilities. Real training opportunities must be ensured for all, irrespective of the need for organisation. Gender equality for people with disabilities is also about the freedom of owner-occupied housing, and it requires measures, including: through targeted use of start-up loans, raising the stockpiles of housing aid and other targeted measures. We all have a responsibility to reduce man-made barriers that close people out of active participation, and we politicians can't help letting the equality debate lose. We have to make sure that all groups are heard in an equality debate, including the disabled.
ParlaMint-NO_2020-04-30.ana.ud19e251	Economic crises often go hard on vulnerable groups — people with disabilities, minorities and, in particular, women. It's not a coincidence, but a consequence of bias that was there before the crisis. Those who went to work when society closed down, like health professionals, cleaners and other socially critical professions, are literally vital to all of us. These are often women-dominated and low-paid professions. Now people get their eyes up so that many of those who do the jobs that matter the most, get paid the least. It's nice and pleasant to welcome the job you do, but applause doesn't pay any bills. What is needed is a pay gap for low-paid professions, and a pay gap for women’s dominated professions. Tomorrow is, as everyone knows, 1st May, the battle day of the workers. There have always been workers who have kept our society going. It is time that workers also receive wages as earned. The whole community now sees how dependent we are on those who are overworked and underpaid. We can, and we must, turn that development around. They represent us, and then we also have to stand up for them. I therefore hope that the majority of the population will support the Redts proposal to ask the government to engage in dialogue with the social partners on wage developments in social critical professions, especially women-dominated and low-paid professions, in order to find out what the government can contribute by means of appropriations to ensure a necessary and fair pay gap. Now we also see the value of a strong common welfare society. Those who work in the welfare sector are mostly women. They already serve quite little, and they carry our well-being on gradually quite worn backs and knees. Many of them are disabled long before normal retirement age, and still serve women less than men. These inequalities follow women throughout their lives. We see that by nearly nine out of ten minimum pensioners are women, as well as a lot of involuntary part-time. These women need full and permanent jobs and not least to have a reduced normal working time – up to the six-hour day – to reduce the workload on their bodies. Schools and kindergartens have also opened up again in the last few weeks. Many of those who work here are also women. They now get an extra load without additional crew. Red will therefore increase manning. Adequate clean-up staff would give people more time to be with the children while maintaining the protection of infection. Even before the crisis, violence against women was a major problem. Around 150,000 people, mainly women, experience violence in close relationships in Norway every year. The type of killing that does not go down in Norway is what is called partner killing. If we stop the violence, we can also stop these killings. Then we see and we know that perms and unemployment create financial insecurity, which in turn can lead to increased partner violence. In the statement, the Minister said that we should fight violence in close relations, but no additional appropriations and measures have yet been put in place to respond to the need. Many have to spend more hours than usual with a violent person, and this not only limits themselves to families where there was violence before the pandemic, but also to other families. France, Australia and Sweden have provided extra resources to combat violence in close relationships. The UN asks countries to include the protection of women as part of their action against the coronary apathy. Now we propose that Norway follow these countries and follow what is called for by the United Nations. Women have always had to defend their acquired rights both nationally and internationally. We do not achieve real equality when freedom and security are threatened. It's about freedom to choose even if you want none, one, two or three children and about the security of having a fixed income. Gender equality is also a question of cleaning workers, health professionals, hotel staff, shopkeepers, kindergarten workers and many others who are underpaid and overtime and who deserve better pay and also better working conditions. With that, I take up Red's proposal in the matter.
ParlaMint-NO_2020-04-30.ana.ud19e270	The representative Bears Moxnes has taken up the suggestions he referred to.
ParlaMint-NO_2020-04-30.ana.ud19e275	I want to start by thanking you for the posts that have been kept so far. There have been many wise words from wise politicians who have one thing in common: we will all promote equality in all its breadth and its full beauty. Now, when I take the floor, it's with deep concern how the pandemic can turn the equality back far on a global scale. We must not forget to maintain the dimension of equality now that the world around us is different. We do not have experience of the crisis we are facing, but we know from experience that crises affect women and men differently, both in the short and long term. It will take time for us to know exactly what effect the coronary apathy has on equality and diversity. Nationally, we need to think about equality when we implement acute and remedial measures, and we need to be aware of the challenges many face when society shuts down. One thing is economics. It is a reality that women earn less than men, save less and have lower wealth, although the economic gap in Norway is decreasing. In future, when compiling statistics to provide the basis for further action, we must not forget that perspective. With effect from 1 January, all public and the largest private employers shall also monitor remuneration broken down by sex and the use of voluntary part-time work. Another thing that worries me is violence, which several representatives have been involved in. The exposure of girls and women to violence is increasing in crises and isolation in the home. Concerns can lead to increased levels of conflict, violence and aggression. Violence is a major and serious problem, both for individuals affected and for society. The police are now producing weekly reports. In vulnerable families, problems are likely to be exacerbated and, in order to address this situation, police districts are now strengthening cooperation with municipalities on measures to remedy the situation. When a health crisis strikes, the health and care sector is at the forefront. They've done that now, and they've done that with a fantastic effort. A happy news is a number from the Coordinate Recording that shows that many people want to work with just health. Every fourth applicant has a health profession at the top, and this year almost every 10 applicants have nurse training at the top of the wish list. Unfortunately, I see that there is no greater proportion of men who have applied for nurse this year than last year, but we are going to work on this. The aim of the new strategy is to increase the number of men in women-dominated professions. We know that many people with disabilities are not fully involved in equal opportunities in Norway. The government's vision is a society where everyone can participate and be given the opportunity to contribute. Let me mention some challenges: Many in this group are more exposed to violence in close relationships, and there is an excess of exposure to physical abuse, sexual assault and institutional abuse. Two out of three dwellings are not accessible to wheelchair users, and many of the country’s secondary schools are still not universally designed. At the same time, children with disabilities are taken out of ordinary education and ports outside the class community. 30 pst. of persons with disabilities who are outside the labour market. To meet these challenges, we need to work together. There are also some other statistics that are very alarming. In general, the population is 6 pst. who believe that people with disabilities are exposed to offensive statements, bullying, harassment and imitation on the street, while among those with disabilities, there are 36 pst. that report that they are and have been subjected to this. We've seen some examples of this, in terms of people being put back and not on the bus or other public transport. We've also seen examples of people telling other people how to "nap" them, i.e., imitating them, because they have a physical disease with which they were born or have been given during life. Not only have you been born in a crazy counter-ground, or have come into a mess that has made you end up in a crazy counter-ground: in addition, people who have normal functions and are not born into that counter-ground, do the even steeper for those who have disabilities. Our work as politicians and as a society — and for Norway as a nation — should be to make it counter-basis the least possible for those with disabilities, and therefore this harassment, this use of words and bullying must end. Our Directorate, Bufdir, has been commissioned to follow the gender-related consequences of the pandemic and to report regularly to the Department. We need to continue the good equality work together and have a special look at the impact of the pandemic on equality, and the government is doing well.
ParlaMint-NO_2020-04-30.ana.ud19e311	It's going to be line change.
ParlaMint-NO_2020-04-30.ana.ud19e316	The Council of State was a short time ago, as a magnificent representative, often in opposition to government policy and its impact on equality. The state councils, as policymakers, were commendable against the tightening of the abortion law and rightly felt that the government could only adopt the ban on homotherapy, for example. What does the Council of State really think about his own government's efforts in the field of equality up to today, and does he still agree with himself in the criticism he made when he was still in the Storting, that this government has taken several major steps in the wrong direction regarding equality?
ParlaMint-NO_2020-04-30.ana.ud19e321	Norway is the second best country in the world when it comes to gender equality. I would also like to say that we are among the best countries in the world when it comes to people who are sloppy – LHBTIQ people. I want to say that we are also very advanced in the case of people with disabilities – that they have equality, that it is non-discrimination. People who have a different religion and ethnicity also experience living in a country where there is a high degree of inclusion. Then there are partial differences. I think the representative knows that the Left is jumping out of a free-thinking path – freedom for everyone, for the individual, but also in society. Our view on abortion issues, I don't think there's any doubt about it. Of course, the representative, as a member of the government, stands behind the Granavolden Declaration and implements the policy that we have agreed on.
ParlaMint-NO_2020-04-30.ana.ud19e328	It's not useful to rest on the fact that we're high on statistics when it's the policy that decides, and we're going back in many areas in a concrete and demonstrable way. The Council of State was reasonably concerned with the LHBTI field in its statement and also in its reply now. The LHBTI field is a good example of the fact that when nothing is done, it goes back, because in ILGA’s Rainbow Map&index Norway has dropped five places on the list of countries where it is good to be skew. There are six very concrete policy issues that are lacking implementation and that cause Norway to lag behind, for example. homotherapy and five other areas. Will the Council of State promise that he will resume the Workers' Party's proposal from a year back and will only settle in these six areas, so that Norway becomes the world's best country to live in by far?
ParlaMint-NO_2020-04-30.ana.ud19e333	The Council of State promises that he will continue to work because everyone has full freedoms in Norway, including skews. Of course – it was just supposed to be missing. I am very pleased that, together with the Minister of Justice, I recently agreed that gender identity and gender expression should be included in the penal code, that ‘homophilic orientation’ should be changed to ‘sexual orientation’. There were recordings I got in meetings when I became a councillor, just with people representing the lopsided environment, and I contacted the Ministry of Justice. I am very happy that we managed to sort this out in a very short time. I'm not going to help paint the situation. Of course, the situation is demanding for many groups, and we're going to deal with that. But I also think the representative is doing some disadvantages for the environment and is painting the situation black. After all, we live in the best country in the world, and there are a lot of things that are fantastic at care. Conversion therapy – yes, it may be harmful. It can deprive people of the freedom to live a full and good life, and I work with that in the department. We have launched an investigation in which, among other things: examines whether conversion therapy is adequately regulated in the applicable legislation and the obligations arising from human rights.
ParlaMint-NO_2020-04-30.ana.ud19e340	Before Christmas, we could, among other things, read that almost an entire school class from Hammerfest was missing. Since 2014, 20 Norwegian-Somalic children have disappeared from Hammerfest. There is only one example of how many children disappear from Norway. Now it's getting closer in the summer, and we know that unfortunately there's a lot of kids getting sent out of the country or against their will stay where you've traveled. The progress party is very concerned that many of these children are being sent to sexual mutilation, forced marriage or for example. Quran schools. I would like to hear a little more from the minister about how he wants to fight this. We have challenged the Minister of Justice, the Minister of Children, the Minister of Foreign Affairs, etc. Many times, but now I want to hear what the Minister of Culture wants to do for these children.
