ParlaMint-BG_2022-03-16.u1	Honourable colleagues, please register. Colleagues online are: Eva Miteva?
ParlaMint-BG_2022-03-16.u12	(ITN, via Internet platform for video conference): For.
ParlaMint-BG_2022-03-16.u13	Thank you. And Lyubomir Karimansky?
ParlaMint-BG_2022-03-16.u14	Abstention.
ParlaMint-BG_2022-03-16.u15	They voted 188 MPs in the Chamber and 2 online. 190 total: for 78 in the Chamber and 1 online. 79 total, against 102, abstention 8 in the Chamber and 1 online. 9 total. The offer is not accepted. The next proposal in the order of art. 47, para. 3 is from the parliamentary group of "There is such a people." The proposal is to include in the Programme the following point: Project of a decision to adopt procedural rules on the terms and conditions for proposing candidates as governor of the Bulgarian National Bank, presentation and public disclosure of documents and hearing of candidates in the Committee on Budget and Finance, as well as procedure for selection by the National Assembly. The proposal is that the point should be the first in the weekly programme, i.e. the first one for today. Please vote on the proposal of.. There is such a people............ there is such a people.......................... there is such a people. Eva Miteva?
ParlaMint-BG_2022-03-16.u16	Yeah.
ParlaMint-BG_2022-03-16.u17	And Lyubomir Karimansky?
ParlaMint-BG_2022-03-16.u18	Yeah.
ParlaMint-BG_2022-03-16.u19	Thank you. They voted 193 MPs in the Chamber and 2 online " 195" total: 99 in the Chamber and 2 online "101" total, against 32, abstention 62. The motion is accepted. [[(Comments from GERB-SDS:]] It's a re-vote. Eva Miteva?
ParlaMint-BG_2022-03-16.u20	(ITN, via Internet platform for video conference): For.
ParlaMint-BG_2022-03-16.u21	And Lyubomir Karimansky?
ParlaMint-BG_2022-03-16.u22	Yeah.
ParlaMint-BG_2022-03-16.u23	Okay, I'm calling off this vote.
ParlaMint-BG_2022-03-16.u24	The first vote is still accepted.
ParlaMint-BG_2022-03-16.u25	And we've never done that before. [[Noise and lines.]] We voted third...
ParlaMint-BG_2022-03-16.u26	That's what we did.
ParlaMint-BG_2022-03-16.u27	That's what we did. [[Noise and lines.]]
ParlaMint-BG_2022-03-16.u28	No, no rest, absolutely not, please. Come in, Mrs. Atanasova. We're listening.
ParlaMint-BG_2022-03-16.u29	Thank you. Dear Mr. President, once again precedent in the Chamber at 9:15 pm the National Assembly no longer has a quorum, and why...... because the majority of the.. We continue the Change............................ is not registered. Something that you've been saying for months that's the opposition's favorite. Well, yeah, why did that happen? Because at the Coalition Council you probably didn't understand how to replace the requirements of the Governor of BNB with one much lower in terms of the education of a candidate for governor of BNB. Dear colleagues, you are making a mistake after a mistake. As you have changed ad hock and unconstitutional requirements regarding the president of KEWRC, you are now trying to do so for one of the oldest Bulgarian institutions. However, this does not go unnoticed. Bear in mind that we demand that procedural rules, as proposed, be discussed, because the National Assembly is precisely the body that must take such an important decision. And if you oppose it, perhaps you will oppose it within a day, as you did today and entered into a super weird hypothesis that a decision already adopted cannot be respoken. Mr President, you can only declare a decision adopted under item 1 of the agenda, that is to say a discussion of procedural rules, or, if you believe that there was no quorum in the second vote, you may request a third vote, as you normally do when expecting a different result, or if you consider that there was no quorum in the second vote, you may request a third vote, as you normally do when you expect a different outcome, or you may terminate the meeting of the National Assembly. You choose. [[Applause from GERB-SDS.]]
ParlaMint-BG_2022-03-16.u30	Here you go, Mr. Yordanov.
ParlaMint-BG_2022-03-16.u31	Mr. Chairman, colleagues! Eva Miteva is on the video wall, as you know I will quote what she says, because unfortunately, our system is not yet such that people can speak from there.
ParlaMint-BG_2022-03-16.u32	They can, they can, Mr. Yordanov.
ParlaMint-BG_2022-03-16.u33	They can, okay. I will quote her, if she wants to repeat it: If no one has challenged the quorum and there are 62 votes, the decision is adopted. [[Applause from IHN and GERB-SDS. Awesome.]]
ParlaMint-BG_2022-03-16.u34	Are there any other procedures? Thomas Bikov. Here you go.
ParlaMint-BG_2022-03-16.u35	Dear Mr. Chairman, honourable Members! First, I will agree with what Mr. Tosko Yordanov said, who quoted Iva Miteva as I think a third vote is generally absurd. However, in the Forty-Fiveth National Assembly, we adopted 121 votes to adopt laws and decisions. Now we fall into the trap of the forty-fiveth National Assembly and the forty-seventh National Assembly, where we adopted the practice of voting third, fourth, fifth, sixth vote because there was no act so you explained here! What's the conclusion? Don't touch things that work for 30 years, they didn't work for a reason for 30 years. You, with the self-esteem that you can make a new start anywhere, have proved that this metaphor is often used by me that you have reached back into contact and again the same thing happened to you again! Now you're wondering what to do. Was that an act just now? Was there an act after the President said: "Cut off the vote" but it was not a vote by your logic, not by ours? So now think about what to do, and if you learn a lesson, it's good to go back to some of the things that you've been working on. They have not even been invented by us. " Some of them have been invented since the Grand National Assembly. And just start working on normal rules, not yours! Thank you. [[Applause from GERB-SDS.]]
ParlaMint-BG_2022-03-16.u36	Thank you, Mr. Bikov. Are there any other procedures? I won't. Colleagues, I believe that what Tosko Yordanov read is correct and I understand that Eva Miteva pointed out. [[Applause from IHN]] Indeed, I believe that this is the case at first there is a valid will, so the proposal is accepted on this basis. [[Replications from the MPs Georgi Svilenski and Ivan Chenchev.]] Wait a minute. I canceled the re-voting. [[Replys from BSP for Bulgaria.]] The proposal is accepted on this basis. And that remains the final offer under art. 47, para. 3, which is from the parliamentary group of the party ARRANGEMENT. [[Definitions between MP Tsoncho Ganev and Chairman Nikola Minchev.]] The proposal of the parliamentary group of a party is a bill for amendment and supplement of the Health Act, with entry No 47-154-01-2 from 10 December 2021. The proposal states that the item should be the first on the agenda for Wednesday, but Mr. Ganev has now amended it to be the first item for Thursday. So this is the proposal of AGE for inclusion in the Programme. Please, voting mode. Eva Miteva?
ParlaMint-BG_2022-03-16.u37	Yeah.
ParlaMint-BG_2022-03-16.u38	Lyubomir Karimansky?
ParlaMint-BG_2022-03-16.u39	Abstention. They voted 203 MPs in the Chamber and 2 online " 205" total: for 87 in the Chamber and 1 online "88," against 90, abstentioned 26 in the Chamber and 1 online "27." The offer is not accepted. This has exhausted the proposals under art. 47, para. 3. Procedure, Hristo Gajev.
ParlaMint-BG_2022-03-16.u40	Mr. Chairman, ladies and gentlemen of the House! Because my procedure is not about the program, so I waited for these debates to pass. Mr. Chairman, if you recall, on 4 February we adopted a decision of the National Assembly, which commissioned the Council of Ministers to submit a report, basically, on the state of the facilities along our southern border for a period of one month. It's March 16th. That means from February 4th to March 16th, at least according to my calendar, a month has expired. If you can, let us know if the Council of Ministers is fulfilling its duty. Will he submit the report, do you have any information on how it is going, or did he take it mainly as an importer, or rather for information? Because it is still a decision of the National Assembly and must be implemented. Thank you.
ParlaMint-BG_2022-03-16.u41	Thank you, Mr. Gadget. I'm gonna check this case out. Perhaps the delay was caused by the personal shift of the Defence Minister, who was addressed to this decision mostly. I'll check the question. Thank you. Angel Georgiev's proposal was for BNT 2 and BNR. Mr. Georgiev, do you support the offer for the whole day to have BNT 2 and BNR? Okay. Is there a reverse opinion? I won't. We vote on the proposal. Eva Miteva?
ParlaMint-BG_2022-03-16.u42	Yeah.
ParlaMint-BG_2022-03-16.u43	Lyubomir Karimansky?
ParlaMint-BG_2022-03-16.u44	Abstention.
ParlaMint-BG_2022-03-16.u45	They voted 203 MPs in the Chamber and 2 online " 205" total: 96 in the Chamber and 1 online "97," against 20, 87 abstentions in the Chamber and 1 online "88." The offer is not accepted. We move on to item one on the agenda, which is: Draft decision to adopt procedural rules on terms and conditions for proposing candidates... Just a second. Mr. Kostadinov? Affidavit. All right, here's a statement.
ParlaMint-BG_2022-03-16.u46	Mr. Chairman, yesterday's Bulgarian media reported a visit to our country from the Minister of Defence of the United States of America Lloyd Austin. The reason for this visit to Europe is focused on the support of the allies of the United States of America in Europe. Obviously, the Bulgarian government is unable to see that our allies, the so-called ones, are doing everything necessary to lead us to a military conflict in which we do not have a role that is taking place along the eastern border of the Alliance and threatens to turn Bulgaria into a front line. The government may know by looking with its wide closed eyes and led by the quest only one how to serve foreign interest and foreign national cause. This is perhaps an explanation for the fact that our country's defence is being provided in the hands of the country at the moment, and not only to foreign troops and foreign generals. We all see what is happening in Ukraine, which, albeit one-sided by American propaganda, shows one undeniable thing - people are dying on both sides. The Bulgarian governments appointed by the United States for years govern our country so that they provide Bulgarian land, goods, our lives, that of our children in the hands of a foreign country for the benefit of a foreign national interest. But the time has come to re-found the Bulgarian state, the time has come for it to start functioning with care for the Bulgarians. Bulgaria must be the country to give us Bulgarians what we need in this time we live in, security, in order to preserve peace in the country in troubled times. Yesterday, however, in his speech, Bulgarian Prime Minister Kiril Petkov said literally the following: "The only option is to tilt our head, hide in the grass and say: "I hope this storm passes by us." We are a small, independent, independent, cowardly state. The other option is to say: no, we are tired of Bulgaria not being able to decide its own destiny, not having a voice, only to lower itself, always the great powers to decide something about us. The other thing to say is that the Bulgarian Prime Minister continues: the good thing is that we have made the fact that we are not part of NATO, we are NATO; we are not in the EU; we are not in the EU; we are the EU. [[Laughter at GERB-SDS.]] It turns out that, according to the Bulgarian Prime Minister, independence is an expression of cowardice and dependence is a reason for pride. In this regard, it is necessary to ask the following question: exactly how does the visit of the Minister of Defence of the United States of America to Bulgaria Lloyd Austin assist our national security and how does it help to preserve the Bulgarian national interest? We also remind that our government has and needs to discuss some very important issues with Lloyd Austin. First of all, what happens to the blueprints of airplanes that the government of GERB and the so-called Patriots purchased for more than 2 billion. lv.? For what reason is the F-16 contract classified at the request of the American side? Even if separate technical applications concerning the work and capabilities of individual systems are secret, the general terms and conditions of the contract, price and time limit concerning the public funds of the Bulgarian taxpayers must be transparent, but they are not. To clarify these details, the caretaker government, such as GERB and the so-called Patriots, and the current Coalition, requested more blueprints of planes for which the Bulgarian citizen will pay. There's no one else. Secondly, the following question must be asked to the United States Defence Minister and reminded him that there are four American bases on our territory, for which the Metropolitan does not pay rent to the colony. The contract for them is now timeless, it is high time to end it. The government has requested that the government begin proceeds on the withdrawal of foreign bases serving foreign national interests in Bulgaria. We remind you that in the history of Bulgaria our country has never allowed foreign bases on its territory, anything. Even after it was occupied in 1919 and in 1944, the Bulgarian state under conditions for signing the truce obliges the winners, although it is quite difficult to do, but our politicians and diplomats then did so, not to have foreign occupation territories and bases on our side. And let's just say these aren't NATO bases. These are U.S. bases. Because the contract was not signed between Bulgaria and NATO, but was signed between Bulgaria and the United States. There are, of course, solutions and they are hiding in an initial and fundamental action, a re-foundation of the state, working institutions guaranteeing our national security, strengthening the army, which only and only it under the Constitution can protect our country. The same constitution as the president and prime minister have already trampled, showing only one national betrayal. Finally, I can say this: Bulgaria is not NATO, Bulgaria is not the European Union, as Bulgaria was not the Trilateral Pact in 1941 and it was not the Warsaw Treaty. The alliances, pacts and treaties are temporary phenomena, they have one single goal.. to serve the Bulgarian national interest, and when they are no longer in favor of the Bulgarian national interest, new allies are found, new contracts are signed and new pacts are concluded. It has been, and will be, and not only in the Bulgarian history, but also in the world, because there are no eternal friends and eternal allies, there are eternal interests. Thank you. [[Applause from ARGUING.]]
ParlaMint-BG_2022-03-16.u47	Mr. Kostadinov, thank you for the declaration. I did not interrupt you, but still such qualifications to Bulgarian governments that they were appointed by foreign embassies, regardless of which political power governments are or which are dominated, we should not make out of the current tribune. Thanks for understanding. Before we go to point one, colleagues, there is an oath of a Member of the National Assembly. The Central Election Commission has decreed Decision No 1124-NS of 11 March 2022 on the announcement of Deyan Petev Petkov and Hristinka Ilycheva Ivanova as MPs in the Fifteenth Election Region of Plevenski, in the Forty-Seventh National Assembly. In a letter, I went. Decision of the National Assembly of 9 March 2022 was received on the basis of Article 10 March 2022 of the CEC. 72, para. 1, t. 1 and para. 2 of the Constitution of the Republic of Bulgaria are suspended the powers of the National Representative Ventsislav Ivanov Petkov from the Fifteenth Election Region of Plevenski, erected by the party. By Decision No 1037-NS of 14 December 2021 the Central Election Commission announced the next in the list under No 4 Deyan Petev Petkov as MP for the time during which Radostin Petev Vassilev served as Minister. By Decision No 1106-NS of 17 February 2022 on the basis of an application received, the Central Election Commission decided not to announce Dimcho Ivanov Deshev as No 5 in the list of elected MPs. The Central Election Commission in implementation of art. 302 of the Election Code and in accordance with Decision No 8 of 16 May 1993 on Constitutional Case No 5 of 1993 of the Constitutional Court of the Republic of Bulgaria adopted that the vacant permanent term of office of Ventsislav Ivanov Petkov should be announced next on the list, and at the place of the elected Minister Radostin Petev Vasilev for the time during which he served as Minister should be declared Hristinka Ilycheva Ivanova under No 6 on the party list there is such a people. In view of the above and on the basis of art. 57, para. 1, t. Art. 1, art. 247, t. Art. 6 and art. 302, para. 1 and para. 2 of the Election Code and Decision No 8 of 16 May 1993 on Constitutional Case No 5 of 1993 of the Constitutional Court of the Republic of Bulgaria HAS DECIDED 1. Announcing as a Member of the National Assembly in the Forty-Seventh National Assembly of the Fifteenth Election Region of Plevenski, Deyan Petev Petkov, from the list of the party There is such a people. 2. Announcing as MP from the Fifteenth Election Region of Plevenski, Hristinka Ilycheva Ivanova, under No. 6 of the party list There is such a people, at the place of Radostin Petev Vasilev for the time during which Radostin Petev Vasilev served as Minister. I ask the Quaestors to invite Mrs. Ivanova to the oath room. Here you go. Mrs. Ivanova, I'll take the oath, you repeat after me. [[Everyone gets up.]]
ParlaMint-BG_2022-03-16.u48	I swear in the name of the Republic of Bulgaria to respect the Constitution and the laws of the country and in all my actions to be guided by the interests of the people. I swore! [[Applause.]]
ParlaMint-BG_2022-03-16.u49	Thank you. And before we move on to the agenda, I'm going to read a few messages: 1. Minister of Defence of the Republic of Bulgaria in implementation of: I. Art. 65, para. 1 of the Law on Defence and Armed Forces of the Republic of Bulgaria informs the National Assembly that by its order he has authorised the dispatch and use of a plane to the Kingdom of Belgium and back by crew of the military members of the Air Force of the Republic of Bulgaria. II. Art. 18 of the Law on the passage through and residence in the territory of the Republic of Bulgaria of Allied and Foreign Armed Forces informs the National Assembly that a joint preparation of the formations of the joint command of the special operations of the Bulgarian Army with the special forces of the Forces for Special Operations of Great Britain will be held in the territory of the Republic of Bulgaria from 14 to 18 March 2022. The preparation will be attended by soldiers from the Bulgarian country and soldiers from the Special Forces of the UK with weapons and equipment. The preparation is not related to military operations, preparatory actions to conduct upcoming military operations, and to activities to prevent military action led by other (other country or organisation) armed forces. The provisions of the Defence Act and the Armed Forces of the Republic of Bulgaria are notified to the competent state authorities. The notifications were received on 11 and 15 March 2022, respectively by ICs. No 47-203-09-22 and 23 and provided to the Defence Committee. 2. In the National Assembly on the basis of art. 133, para. 3 of the Public Finance Act received reports on the implementation of the programming budgets on 31 December 2022 from: - The administration of the President of the Republic of Bulgaria; - The Communications Regulation Commission; - The Commission for the Protection of Personal Data; - State Agency "National Security" - The Nuclear Regulatory Agency; - the Court of Auditors; - The Ombudsman of the Republic of Bulgaria; - The Central Election Commission. The reports shall be made available to the Committee on Budget and Finance and the relevant portfolio committees. 3. The National Statistical Institute has received information about: - indexes of turnover in the section "Retail trade', excluding trade in cars and motorcycles' in January 2022; - indexes of industrial production in January 2022; - indexes of construction production in January 2022; - inflation and consumer price indices for February 2022 and final data for January 2022 The materials are available to the MPs in the Library of the National Assembly. And now we go to point one: PROJECT OF A DECISION TO ACCEPT PROCEDURAL RULES FOR CONDITIONS AND RESTRUCTURING OF CANDIDATES FOR BNB MANAGEMENT, PRESENTATION AND PUBLIC DISCLOSURE OF DOCUMENTS AND HEARING OF CANDIDATES IN THE COMMISSION FOR BUDGET AND FINLAND, LIKE THE PROCEDURE FOR SELECTING FROM PEOPLE'S COLLECTION. A report came in from the Budget and Finance Committee. Here you go, Mr. Simeonov.
ParlaMint-BG_2022-03-16.u50	Thank you, Mr. Chairman. Honourable Members, ♪ I can't believe on a draft decision adopting procedural rules on the terms and conditions for proposing candidates as governor of the Bulgarian National Bank, presentation and public disclosure of documents and hearing of candidates in the Committee on Budget and Finance and the procedure for election by the National Assembly At a meeting held on 10 March 2022, the Budget and Finance Committee discussed procedural rules for conducting a public procedure under art. 89, para. 8 of the Rules of Organization and Activity of the National Assembly for the election of the Governor of the Bulgarian National Bank. The adoption of procedural rules is necessary in relation to the election of a new governor of the Bulgarian National Bank with a view to the expired mandate of Mr. Dimitar Radev on 15 July 2021. After the discussion, the Committee on Budget and Finance with 15 votes for the Committee on Budget and Finance, with no objection to the Council and 4 abstentions, proposed to the National Assembly to examine and adopt the following draft decision: Project! DECISION adopting procedural rules on the terms and conditions for proposing candidates as governor of the Bulgarian National Bank, presentation and public disclosure of documents and hearing of candidates in the Committee on Budget and Finance and the procedure for election by the National Assembly The National Assembly on the basis of art. 84, p. Art. 8 and art. 86, para. 1 of the Constitution of the Republic of Bulgaria in relation to art. 12, para. 1 of the Law on the Bulgarian National Bank and art. 89, para. 8 of the Rules of Procedure of the National Assembly HAS DECIDED It shall adopt procedural rules on the terms and conditions for proposing candidates as governor of the Bulgarian National Bank, presentation and public disclosure of documents and hearing of candidates in the Committee on Budget and Finance, as well as the procedure for election by the National Assembly. I. Offering candidates as governor of the Bulgarian National Bank and presenting their documents. 1. Proposals for candidates for governor of the Bulgarian National Bank are made by MPs or parliamentary groups. The proposals shall be submitted in writing to the Committee on Budget and Finance through the President of the National Assembly within 7 days of the adoption of these Rules of Procedure by the National Assembly. 2. The proposals for candidates for governor of the Bulgarian National Bank are accompanied by written reasons that justify the good professional reputation of the applicant. The following documents shall apply to the proposal: (a) the written consent of the applicant to be proposed for the position under the model Annex 1 to the decision; (b) Declaration under art. 11, para. 2 of the Law on the Bulgarian National Bank (Bulgarian National Bank), Annex No 2 to the Decision; (c) written consent of the applicant under art. 27, para. 2 of the Act for Access and Disclosure of Documents and for the declaration of belonging of Bulgarian citizens to the State Security and the intelligence services of the Bulgarian People's Army according to the model Annex 3 to the Decision; (d) a detailed CV; e) documents certifying the professionalism of the applicant in the field of economy, finance and banking (diploma for completed higher education, with a minimum degree of education and qualification, Master's degree; documents of work and/or service experience; certificates or certificates of acquired qualifications; recommendations related to occupied posts; acquired specializations in the field of economy, finance and banking; other similar documents). 3. The circumstances of art. 11, para. 4 t. 1 of the Law on the Bulgarian National Bank is established by the administration of the National Assembly. II. Public disclosure of documents. 1. The proposals, together with the documents attached to them, shall be published on the specialized thematic website on the website of the National Assembly no later than 7 days before the hearing. The publication of the proposals and documents shall be carried out in accordance with the requirements of the Personal Data Protection Act. 2. Non-profit legal entities registered for public use and professional organisations may submit opinions to the Committee on Budget and Finance not later than three days before the hearing of the candidates, including questions to be addressed to the Commission on Budget and Finance. 3. The media may send questions to the Committee on Budget and Finance to the candidates to be asked. Anonymous opinions and alerts shall not be considered. 4. The questions asked in the order of the point. 2 and 3 shall be notified to applicants in writing no later than 24 hours before the start of the hearing. 5. Opinions and questions shall be sent by post to the following address: gr. Sofia, Pl. "Knyaz Alexander I" No 1, Budget and Finance Committee, or by e-mail: 47_kbf@parliament.bg. Opinions and questions shall be published on the specialized thematic website of the National Assembly, subject to the requirements of the Personal Data Protection Act and the Classified Information Protection Act. III. Perform a preliminary check under the Law on Access and Disclosure of Documents and for the declaration of belonging of Bulgarian citizens to State Security and the intelligence services of the Bulgarian People's Army. 1. Candidates shall be checked for belonging to the bodies referred to in art. 1 of the Law on Access and Disclosure of Documents and the declaration of belonging of Bulgarian citizens to State Security and the intelligence services of the Bulgarian People's Army. The request for prior verification under art. 27, para. 1, t. 2 of the Law on Access and Disclosure of Documents and the declaration of belonging of Bulgarian citizens to State Security and the intelligence services of the Bulgarian People's Army are made by the President of the Committee on Budget and Finance. 2. The results of the verification shall be published on the specialized thematic site on the website of the National Assembly. IV. It's a hearing of the candidates. 1. Before listening to the proposed candidates, the Budget and Finance Committee shall verify the documents submitted and whether the candidates meet the requirements for taking up the post. 2. The hearing is held in an open meeting of the Committee on Budget and Finance, which is broadcast in real time on the Internet via the website of the National Assembly. 3. The candidates shall be submitted by the importers of the proposals in alphabetical order of the names of the applicants within two minutes of a candidate. The presentation also includes details of specific preparation, motivation, public reputation and public support for the applicant. 4. Each candidate presents a concept of the activities of the Bulgarian National Bank in 20 minutes. 5. The Committee on Budget and Finance shall hold debates on the proposals made. The Members of the National Assembly shall place their questions separately to the candidates in alphabetical order of their own names................................................................................................................ Upon completion of the questions asked to the candidate concerned by all Members of the National Assembly, the applicant shall be responsible within 10 minutes. 6. The President of the Budget and Finance Committee shall set out the questions of the persons referred to in Article in summary. 89, para. 4 of the Rules of Procedure of the National Assembly, to which no answer has been received in the course of the debates on the matter. 5 to two minutes per question. 7. The applicant's reply to all submitted opinions and questions raised within 10 minutes. 8. The Commission may request additional information from both the applicant and a relevant competent authority. 9. A full stenographic protocol is drawn up from the hearing, which is published on the specialized thematic website on the website of the National Assembly. 10. The Commission on the basis of art. 89, para. 5 of the Rules of Procedure of the National Assembly shall draw up a report from the hearing of the candidates. The report shall be accompanied by a draft decision on the selection of each candidate for governor of the Bulgarian National Bank. 11. The refusal of a candidate to participate in the hearing or its withdrawal from the importer shall not suspend the procedure with regard to other candidates. V. Election of the Governor of the Bulgarian National Bank by the National Assembly. 1. The sitting is broadcast in real time on the Internet via the website of the National Assembly. The proposed candidates are present at the meeting by decision of the National Assembly. 2. The National Assembly shall hear in the summary the report submitted by the Committee on Budget and Finance. 3. Each candidate shall be represented by the applicant within two minutes. 4. Discussions shall be held in accordance with the Rules of Procedure of the National Assembly. 5. The vote is evident through the computerised voting system. If there are several candidates for governor of the Bulgarian National Bank, the vote shall be carried out in alphabetical order on the names of the candidates, unless the National Assembly decides otherwise. 6. The candidate who received more than half of the votes of the present Members of the National Assembly shall be considered elected. If several candidates have received more than half of the votes of the present Members of the National Assembly, the candidate who received the most votes is elected. 7. Where none of the candidates receives the necessary votes, a re-vote shall be held in which the two candidates who have received the most votes for................................................................................................................................................................................................................................................ 8. If none of the candidates receives the necessary votes in the second vote, the National Assembly shall adopt a decision to open a new selection procedure. 9. When a candidate refuses to participate in the election before voting on his candidacy by the National Assembly and he is the only candidate, the National Assembly shall adopt a decision to open a new procedure for the election of the Governor of the Bulgarian National Bank. 10. If there is no candidate for governor of the Bulgarian National Bank, the National Assembly shall adopt a decision to open a new selection procedure. VI. Obligation to declare incompatibility under art. 35, para. 1, t. 1 and a change in the declared circumstances under art. 35, para. 1, t. 3 of the Law on Countering Corruption and the Withdrawal of Illegally Acquired Property 1. After completion of the selection procedure under Section V, the elected governor of the Bulgarian National Bank shall submit a declaration of incompatibility under art. 35, para. 1, t. 1 of the Law on Countering Corruption and for the withdrawal of illegally acquired property in connection with art. 11, para. 4 t. Article 4 (1) (a) (ii) of Regulation (EU) No 575/2013 12, para. 5 of the Law on the Bulgarian National Bank according to a model according to Annex No 4 to the Decision. 2. In the event of a change in the declared circumstances of the declaration referred to in point (a) of paragraph 1, the customs authorities of the Member States of the other Member States of the other Member States of the other Member States of the other Member States of the European Union of the other Member States of the European Union of the other Member States of the European Union of the European Union and of the other Member States of the European Union of the European Union of the European Union, of the one part, of the one part, of the other part, of the other part, of the European Union, of the other part, of the European Union, of the other part, of the other part, of the European Union, of the other part, of the European Union, of the European Union, of the European Union, of the European Union, of the one part, of the other part, of the other Annex 1 Annex 2 Annex 3 Annex 4 Annex 5.
ParlaMint-BG_2022-03-16.u51	Thank you, Mr. Simeonov. I am opening a discussion on the Report and the Draft Decision. Anyone who wants to make a statement? There is. Tsoncho Ganev, come in.
