ParlaMint-BG_2022-03-30.u1	Colleagues, I think we can start the registration now. Miroslava Petrova?
ParlaMint-BG_2022-03-30.u25	Thank you. Abort the vote. A total of 210 MPs voted: for 84, against 104 total, abstention 22. The offer is not accepted. We move on to the next proposal on the program for the week of Victoria Vassileva and a group of MPs on behalf of the Parliamentary Group of "There is such a people" for inclusion as a point in the upcoming weekly program of the National Assembly............................................................................... Please vote on the proposal so made. Miroslava Petrova?
ParlaMint-BG_2022-03-30.u26	Abstention.
ParlaMint-BG_2022-03-30.u27	Abort the vote, announce the result. A total of 211 MPs voted: 24, against a total of 20 abstentions total 167. The offer is not accepted. Mr. Ganev, for a negative vote, there is no way because it is a point of order. Something else. Here you are, but let's, if possible, follow the procedure.
ParlaMint-BG_2022-03-30.u28	Mr. Chairman, I do not know how many of the colleagues here are familiar, but for more than a month now, the ARCHIVER group has had an entry request and a bill in which the commission in question should be closed because 5 million of the Bulgarian money we as taxpayers give to this parasitic committee and all of its activities have justified it why and how it should be transferred to the "Archives" Agency. That is precisely why I think that we should now vote, firstly, whether the committee in question will be shut down at all and only afterwards, if this proposal and this bill are rejected in this House, should proceed to a procedure for the election of any President and rules, because it may turn out to be completely unnecessary and a waste of parliamentary time what we are currently doing.
ParlaMint-BG_2022-03-30.u29	Thank you, Mr. Ganev. I hope that the relevant committees will take into account what you said. Do you want me to read the messages first, Mr. Atanasov, and then I'll give you the floor for a statement? After all, let's finish this at the beginning of the session. There are a few messages I need to read. The first is that the Minister of Defence of the Republic of Bulgaria informs the National Assembly that soldiers from the armed forces of the Republic of Bulgaria will participate in an international exercise in the territory of the Hellenic Republic between 28 March and 8 April 2022. The exercise is not related to the conduct of military operations, preparatory actions to conduct upcoming or alleged military operations, as well as to the carrying out of activities to prevent military action conducted by other............................................................................................................................................................................................................................................ The notification was received on 25 March 2022 by IC. No 47 203 09-28 and granted to the Defence Committee. Next message. In the National Assembly on the basis of art. 133, para. 3 of the Public Finance Act received reports on the implementation of the Programme Budgets as of 31 December 2021 from: Ministry of Regional Development and Public Works; State Agency "ELECTRONIC MANAGEMENT"; Financial Supervision Commission; Ministry of Interior; Ministry of Culture; National Statistical Institute; Ministry of Economy; Ministry of Tourism. The reports shall be made available to the Committee on Budget and Finance and the relevant portfolio committees. Next message: The National Assembly received a Report of the Chairman of the Governing Council of the Bank Deposit Guarantee Fund on the performance of its functions under the Bankruptcy Act for the period 21 February 2022. "20 March 2022 and Protocol No 10 of a meeting of the Governing Council of the Bank Deposit Guarantee Fund, held on 23 March 2022, at which the report is reviewed and discussed. By letter of the President of the National Assembly, the report and the minutes were sent to the Committee on Budget and Finance. The materials are available to the MPs in the Library of the National Assembly. Now I give the floor for a declaration to Mr. Atanasov. Here you go.
ParlaMint-BG_2022-03-30.u30	Thank you, Mr. Chairman. Ladies and gentlemen of the House! DECLARATION from the Parliamentary Group of the Democratic Republic of Bulgaria The Parliamentary Group of the Democratic Republic of Bulgaria - adopting as the basis of its position the strong condemnation of the aggressive military actions of the Russian Federation against Ukraine, expressed in the Declaration of the National Assembly of 24 February 2022; - assuming that the war in Ukraine affects all Europe and all civilisational nations and that freedom and democracy must be protected from the aggressive regime in the Kremlin; - insisting that the Bulgarian national interest is defined by the country's membership in the European Union and NATO and in relation to our relations with the allies, a significant part of which provided direct military assistance and support to Ukraine; - insisting that solidarity between free states and the protection of international law is at the heart of our well-being and prosperity as societies; - taking into account that Ukraine's defensive actions against the aggressive armed attack is its irrevocable right, is completely legitimate and justified and in accordance with art. 51 of the Charter of the United Nations and that assistance to the attackers is not an intervention in the war, but a support to restore peace; - assuming that as MPs we have not only a political but also a moral duty to comply with the prevailing support in the Bulgarian society for the just cause of Ukraine; - insisting that defence actions can be effectively supported by providing adequate weapons and equipment that fully meets the capacities and capabilities of the Bulgarian military and industrial complex, DECLARES: He began consultations to reach an agreement on the adoption of a decision of the National Assembly to give a mandate to the Government of the Republic of Bulgaria to provide military and technical assistance to Ukraine according to its needs and according to our country's capabilities. We strongly state that support for Ukraine's freedom and independence is to protect Europe's freedom, solidarity and security. Thank you. [[Applause from DB.]]
ParlaMint-BG_2022-03-30.u31	Thank you, Mr. Atanasov. Affidavit, Mr. Kostadinov? Here you go.
ParlaMint-BG_2022-03-30.u32	Mr. Chairman, fellow countrymen! To be honest, we have hesitated whether to read a declaration today, because the occasion on which we will be speaking here and now, at this point, is related to something that we have commented on from this place three times. But after this declaration, which we have heard now, there is no way we can help but remind our other MPs in parliament who want Bulgaria to intervene in the military conflict. As of February 24th, from the first day of the war, there have been blocked Bulgarian ships in two Ukrainian ports, which have been blocked because of the Ukrainian country's fault. One ship is in Mariupol and the other is in Chernomoresk, near Odessa. The ship, which was blocked in Mariupol, had to leave the port on the 26th. By the 24th, the time of the Russian attack, the ship was half-loaded. Then all activity at the port is stopped. During the first two days of the Bulgarian ship, no activity of any kind will be refused. The cargo-loaded and expeditionary and outside of the aquatory of the port. I repeat "Aquatoria" and not "Equatoria" after which the 27th is now completely blocked because the port is subject to systematic mining by the Ukrainian country. [[Elevator bell dings]] Accordingly, on the 27th, we from the AGE introduced Bulgarian Foreign Minister Genchovska to what is happening in Ukraine, and asked to take action as quickly as possible so that the Bulgarian ship could be released and leave the territory where the military action is being conducted. There's nothing going on! In the beginning of March 1st, I personally introduced Prime Minister Kiril Petkov to what was happening, he made a commitment to take action to evacuate. It is obvious that evacuation action has not been taken since the ship is still there. Ten days later, keeping in constant contact with the people close to the crew, we were forced to read a declaration here, only two weeks ago, in which we insisted the Bulgarian state to engage. Again, nothing followed. Today, more than a month since the beginning of the military action, the Bulgarians of the ship are 17 people, continue to be actively threatened and threatened. They haven't been out of the engine room for more than a week. They haven't seen any sunlight. Military action is extremely chaotic. It's very difficult to tell who's shooting and who's shooting at. Either way, we're collateral damage. [[DB lines.]] I'm just gonna ask the right-hand people to keep quiet, because I listened carefully to them while they were talking. And this thing at present poses a very serious danger to the lives of 17 Bulgarian citizens. Here are read declarations of how we should give weapons. So far, however, I have not heard either from the official Bulgarian authority or from other representatives of other political forces in parliament, interested in at least these 17 Bulgarian citizens. That for the half-millionth Bulgarian minority in Ukraine no one cares about the ruling majority, that is clear, we have seen it, a fact that no one is in any way interested. [[(Strong noise and lines from.) We continue the Change.)]] But we are talking about 17 Bulgarian citizens that the Ukrainian country is holding hostage. Let's say it clearly and categorically from here, to know. If we have in mind our country, we have been on Ukraine's side since the beginning, why hasn't this been used to evacuate our compatriots from there? Why was the necessary action not taken to seek contact with both one and the other? Because you have to look for contact with Russia as well. After all, both sides are fighting war there. It could come down to a situation where the Ukrainians would want it and the Russians wouldn't give it. That's why we have diplomats. That's why we have services. That's why we have the National Assembly. That's why we have a parliament. That's why we have the Council of Ministers. In order to enable them, at this time, in this situation, to react and provide protection, which is supposedly guaranteed according to the Constitution of every Bulgarian citizen in his country. But there's one detail here: is this our country? Does Bulgaria behave as the country of the Bulgarians? How is it possible that in our country we feel like guests? So even today there's a whole group of symbols of a foreign country here! And that's considered normal! Seventeen Bulgarians are currently threatened! I don't want to be a bad prophet, and I'm not even gonna say what I think I'm gonna say, but if anything happens, God forbid, with our countrymen, it's gonna be the ones who haven't lifted a finger in a month to do anything. I don't even know if it's too late anymore, but we won't get tired of repeating that. Because if anyone here wants to give bombs to Ukraine, let them realize that tomorrow one of these bombs could fall on the Bulgarian ship. Thank you.
ParlaMint-BG_2022-03-30.u33	Thank you, Mr. Kostadinov. Information about this, as agreed, will be received on Friday. Come in the manner of conduct.
ParlaMint-BG_2022-03-30.u34	Mr. Chairman, my remark is in the manner of conduct. My request is, once again, that someone from rebirth come out and start talking about a matter with which only and only will cause harm, simply not to allow it. Once again we hear how the ship was Bulgarian. [[Breeding lines.]] I can't believe you couldn't understand that the ship had a Flemish flag. [[Breeding lines.]] Once there's a Flemish flag on the stern, it's Flemish territory.
ParlaMint-BG_2022-03-30.u35	Maltese! Maltese!
ParlaMint-BG_2022-03-30.u36	It's not Bulgarian! But it's not Bulgarian! [[Heckling]]
ParlaMint-BG_2022-03-30.u37	Please don't engage in dialogue with each other.
ParlaMint-BG_2022-03-30.u38	And with those screams you scream out of the stands, all you can do is harm, there's nothing else you can do. [[Relations of the National Representative Kostadin Kostadinov.]] The government takes the necessary care, the government is constantly in touch with the sailors and do not speculate on the condition of the ship. [[Heckling]] The ship has a breach above the waterline. The ship can't get out of the harbor because there's no piloting service, there's no tugboats. Besides, the channel's mined. [[Breeding lines.]] And what you are saying is that a Bulgarian ship has gone to get it! How do you imagine this thing? How do you imagine the ship going out to sea?
ParlaMint-BG_2022-03-30.u39	To me! To me, Mr. Belev.
ParlaMint-BG_2022-03-30.u40	If it's Azov! Is it not a conversation in the interest of another country, Mr. Chairman? [[(Applause and cheering:) Bravo! Bravo!]]
ParlaMint-BG_2022-03-30.u41	Mr. Belev, please try to ease the emotions. I think we're all concerned, just some people see the solution differently. But we really need to do what we need to do. I am informed that the government is taking action, but as I said, on Friday we will have the opportunity of the Prime Minister to hear this information. Here you are, Mr. Ganev. I do not wish to open a discussion on this matter. I'm really asking you, if it's in the way of conduct, to really be with me and to end this matter as possible.
ParlaMint-BG_2022-03-30.u42	Mr. Chairman, I will not address the man who spoke before me because I do not know his name, but I will address you directly. When the wives of the sailors in question came up with their names, with their faces and said two things: that the Ukrainian state holds their husbands hostage and as a living shield, should I trust you or their wives? When those same women said that Kiril Petkov personally and personally lied about being evacuated and no longer on the ship, but at the same time they were making phone calls and being in Engineering, should I trust you or their wives? Who's lying? Before you go out on this stand and pour insults and attacks on the birth, it is good to read, hear and get acquainted with the factology. As far as the flag of the ship is concerned, there are those present on both sides who made it possible for Bulgaria not to have a flag of the sea. And you walk with powerful steps to outrun them in thefts and robberies!
ParlaMint-BG_2022-03-30.u43	Mr. Ganev, this is already...
ParlaMint-BG_2022-03-30.u44	On the other hand, comment...
ParlaMint-BG_2022-03-30.u45	This has nothing to do with the subject anymore. Please!
ParlaMint-BG_2022-03-30.u46	...what the sailors' wives said. Because they say it, not us!
ParlaMint-BG_2022-03-30.u47	It won't be...
ParlaMint-BG_2022-03-30.u48	They said what I was quoting earlier that Kiril Petkov lied about being evacuated, and then again said they were on the ship. When exactly and who's lying?
ParlaMint-BG_2022-03-30.u49	Mr. Ganev!
ParlaMint-BG_2022-03-30.u50	Kiril Petkov or the wives?
ParlaMint-BG_2022-03-30.u51	Mr. Ganev, let's not open a discussion about this.
ParlaMint-BG_2022-03-30.u52	From the phone calls with the sailors. Here right now...
ParlaMint-BG_2022-03-30.u53	We don't have that on the agenda.
ParlaMint-BG_2022-03-30.u54	We have exactly what we're saying right now because we're not saying it...
ParlaMint-BG_2022-03-30.u55	You're abusing the procedure.
ParlaMint-BG_2022-03-30.u56	...said by the wives.
ParlaMint-BG_2022-03-30.u57	You're abusing the procedure. I think we've got our opinions. Again, on Friday you will be able to ask the necessary questions. Until then, there will probably be additional information. I assure you, the government is working on it, but indeed the place here in parliament on Friday is to inform everyone what has been done so far and what are the problems and why this evacuation cannot be carried out immediately. I hope we can now move on to the agenda on item one: FIRST VOICE OF THE COUNTERPARTY OF THE COUNTERPARTY AND COMPLIANCE OF THE LAW FOR MANAGEMENT BY THE EUROPEAN STRUCTURAL AND INVESTIGATION FUNDS. There is a report from the Committee on Budget and Finance. Here you go, Mr. Gechev.
ParlaMint-BG_2022-03-30.u58	Dear Mr. Chairman, colleagues! Requesting clearance procedure. On the basis of art. 43, para. 2 of the Rules of Procedure of the National Assembly to vote in the Chamber to allow the following persons to be admitted: Mr. Ivaylo Yaydzhiev, Deputy Minister of Finance, Mrs. Manuela Milosheva, Director of the National Fund Directorate at the Ministry of Finance, and Mr. Ivan Ivanov, Director of the Directorate of Central Coordination Unit of the Council of Ministers. Thank you.
ParlaMint-BG_2022-03-30.u59	Thank you, Mr. Gechev. Please vote on the proposal so made. [[Comments from GERB-SDS.]] Okay, here you go. You're right. I wasn't expecting it. Cancel the vote so we can hear Mr. Gajev why he doesn't want to enter the room.
ParlaMint-BG_2022-03-30.u60	Mr. Chairman, ladies and gentlemen of the House! It is not that I do not want them to enter the Chamber, but there are rules in this country and in the Chamber as well, and in art. 76, para. 3 it is explicitly said that when the bill has been submitted by the Council of Ministers, it is presented by a member of the Council of Ministers. Is this proposal in line with the regulations?! I would therefore like to ask you to actually implement the Rules and Bill to be presented by a member of the Council of Ministers. [[Noise and lines.]]
ParlaMint-BG_2022-03-30.u61	Now we will first make the procedural proposal for admission and then we will clarify the other issue. Please vote for admission procedure. Mrs. Petrova?
ParlaMint-BG_2022-03-30.u62	Yeah.
ParlaMint-BG_2022-03-30.u63	Thank you. Excuse me, I see you're in a hurry. Abort the vote. There is virtually no vote because we do not have the necessary quorum. [[(Noise and lines from GERB-SDS:]] Please invite your colleagues. We're gonna do a re-vote, guys. What's the problem? We will do a re-vote and then perhaps the necessary number of MPs will be gathered. Here you are, Mr. Svilensky, before we proceed to the re-vote in the manner of conduct.
ParlaMint-BG_2022-03-30.u64	Thank you, Mr. Chairman. I would like to inform you that there has been a legitimate vote at the moment with 111 votes in favour of, without objection and abstention. Prior to that verification of the quorum there was no, i.e. from the registered morning 184 MPs more than 50% participated in the vote. In order to support myself with another argument, two weeks ago, with 94 votes, we adopted on the agenda to enter the Rules of Election of the Governor of BNB. With 94 votes for this proposal was accepted, that is, when we work, I think we should at least work on the same rules within two weeks and, if possible, follow them.
ParlaMint-BG_2022-03-30.u65	You're right, Mr. Svilensky.
ParlaMint-BG_2022-03-30.u66	So there is a adopted decision, please invite the representatives of the ministries to enter. Thank you. [[Applause from BSP for Bulgaria.]]
ParlaMint-BG_2022-03-30.u67	You're right, Mr. Svilensky. It's my fault, we don't have to re-vote, and in practice, the proposal is accepted.
ParlaMint-BG_2022-03-30.u68	That's not acceptable.
ParlaMint-BG_2022-03-30.u69	Yes, it has been accepted since we are working with the quorum which was registered at the beginning of the meeting until the quorum has been checked. If you want such a check, do it, but the vote has already been made, so please invite your colleagues. Mr. Gechev, you have the floor to present the report to the Commission.
