ParlaMint-BG_2022-02-02.u1	For registration colleagues online: Desislava Taneva?
ParlaMint-BG_2022-02-02.u15	Thank you, Mr. Chairman. Ladies and gentlemen of the National Assembly, one thing must undoubtedly be understood in this House that the agenda does not define it by the Conference of Presidents, but defines it by the Bulgarian society, the Bulgarian citizens. In this regard, I express my absolute disagreement about the non-compliance under art. 47, para. 8 The draft decision, which was addressed yesterday in the Energy Commission and which caused not only media response, but, to say the Ombudsman's presence, Metropolitan Antony's presence, the Association of Municipalities, non-governmental organizations, all of which signaled that the issue of the crisis, with the high prices of energy carriers, was at the top of the agenda of society. Mr. Chairman, when we examined in this House the Energy Act was not respected. 73, para. At that time, the draft law report was written in minutes. Yesterday the Commission closed at 12:00 p.m. Why isn't the report ready yet? Why hasn't it been imported and why is that a reason? What is the problem here for the President to report and then submit the report, or parallel, while we are having these debates? Because surely my procedure will not be the first nor the last on this subject. Do you understand that every hour lost, without solving the problem of municipalities, of temples, of universities, of community centers, leads to an adjustment of society against all the people in this room? Not for other reasons, only 10% of society thinks someone is taking attitude and seeking a solution to the price crisis in energy. [[Reply.]] I'm done. So please include the item on the agenda. So far you have proved that the Rules can be violated, do not judge by different archins about the different points, depending on who imported them. [[Applause from GERB-SDS.]]
ParlaMint-BG_2022-02-02.u16	Thank you, Mr. Stankov. About Art. 73, para. 1 and the 72-hour period on it has a hypothesis:...unless the National Assembly decides otherwise. [[Relations from the National Representative Zhecho Stankov.]] Without a report, it's out of the question. [[The National Representative Zhecho Stankov shows the President Nikola Minchev a text from the Rules of Organization and Activity of the National Assembly. The following are details between President Nikola Minchev and the National Representative Zhecho Stankov.]] Thank you. Is there another procedure? Here you go, Mr. Nenkov.
ParlaMint-BG_2022-02-02.u17	Thank you, Mr. Chairman. Dear colleagues, yesterday I do not know if you were watching what the news was and what was one of the main headlines, namely that kindergartens, schools, temples, municipalities remain without compensation. That was the headline in all the national media. And today you want to do, guided by the fact that you do not want to see a draft decision tabled by the opposition, you are currently trying administratively to remove it from viewing in plenary. The Commission yesterday, Mr President, ended no later than 12:00 p.m. 12:30 p.m. I do not see what is the more important topic on which we should be debating today. I think it would be nice in the Agenda Agenda.Yes, but to look at the Report of the Communications Regulation Commission for 2020 is not the priority and I do not think that this is what people expect of us. That is why I propose and ask everyone in this House to support our draft decision to be voted on, to enter the Agenda Agenda and to give the Commission enough time to do so, in my opinion, this will not take more than half an hour, to draw up a report and to examine this draft decision in today's meeting. Otherwise, I believe that everyone in this House will be charged, but most of all the majority, that we are actually running away from the opportunity to give and solve such significant problems. It was no accident that yesterday in the Commission, Mr President, were representatives of the non-governmental sector, of the Holy Synod, of the municipalities. It's not a coincidence! Not because they want to do their PR action, but because people really need our support and your conscience will weigh on your decision.
ParlaMint-BG_2022-02-02.u18	Thank you, Mr. Nenkov. I think we're starting to repeat ourselves on this one. [[GERB lines.]] I'm just saying my opinion on the eligibility of the proposal, and I've already said it. Mr. Svilensky, are you on procedure? Here you go.
ParlaMint-BG_2022-02-02.u19	Thank you, Mr. Chairman. So I'm taking an attitude to try and put an end to this debate. Dear colleagues from GERB, let's stop with the hypocrisy. We all watch TV, we all talk to hospitals, clinics, schools, kindergartens. [[(Applause from BSP for Bulgaria (BGSP for Bulgaria))]] [[Comments from GERB-SDS.]] We all know the problems of these institutions, but the whole of Bulgaria knows who sent these institutions to the free market. [[(Reply from GERB-SDS, Applause from BSP for Bulgaria]] All of Bulgaria knows which political power sent these institutions to the free market so that you can now here from some high tribune to tell us what we need to do. We know what we need to do, we'll do it, only we won't do it the way you want. Because your decisions then always lead to problems and the Bulgarian citizens test them daily on their own backs. So, fellow Members, be quiet, be humble! These problems you brought them to Bulgaria. [[(Applause from the BSP for Bulgaria]] Bulgarian citizens should understand this thing and hour rather to deal with problems rather than in demagogy. I know what you want. You want two hours of debate, which will not result in anything, instead of a decision that the government thinks, decides, and we will accept here. [[(Reply from GERB-SDS, Applause from BSP for Bulgaria]]
ParlaMint-BG_2022-02-02.u20	Colleagues, on the program, let's not politicize so much debate. After all, there are procedures. Mrs. Kirova wanted the floor. After all, there are requirements under art. 47, para. 8, without any prejudice to the merits, the correctness of the drafts of a decision, of the bills.
ParlaMint-BG_2022-02-02.u21	Dear Mr. Chairman, my procedure is linked to the Programme and what we are about to vote on with the decision you have made. I would like to draw attention to this House that on 26 January, Wednesday, the Conference of Presidents voted on the agenda for the upcoming week at 9.00. As item 6 of the agenda, the second vote on the Draft Law amending and supplementing the Energy Act is written. "The same Energy Act was adopted on the first vote on January 21st. The Commission has examined the proposal under the Energy Act and, on Wednesday, 26 January, there is no report submitted. However, the point, despite the fact that the report has not been submitted and despite the fact that the deadlines have not expired, is included on the agenda without objections because obviously the change of members of the KEWRC is extremely important for the ruling majority. [[Heckling]] The compensation of non-domestic end-users and in this case we are talking about institutions that cannot increase their revenues in order to be able to pay these electricity bills, however, is not an agenda. In this regard, Mr. President, without getting too involved in the matter that Mr. Svilenski has become a practice of interrupting the debates, when he has nothing more to say or taking advantage of being more in the Chamber and does not want to hear from the other side, I would ask you to include the item on the agenda. Because this violation I can quote to you 10 more such ones, I have just taken them out, you allow you as President of the National Assembly with the participation of the Conference of Presidents, where the majority is still making decisions, at least it is not fair to the Bulgarian citizens. I don't know why you're worried about discussing this point. Thank you. [[Applause from GERB-SDS.]]
ParlaMint-BG_2022-02-02.u22	Thank you, Mrs. Kirova. Mr. Valchev, come in.
ParlaMint-BG_2022-02-02.u23	Dear Mr. Chairman, honourable Members! We really do not understand this gap between the agenda of the National Assembly and the agenda that we hear in our talks. Mr. Svilensky, you said it was the liberal market. [[Noise and lines.]]
ParlaMint-BG_2022-02-02.u24	Quiet, please!
ParlaMint-BG_2022-02-02.u25	The prices of the liberalized market were lower when it was the government of GERB. [[(Noise and lines from BSP for Bulgaria]] My request, our request, is to include this point. What you don't understand is that such deviations, such collativity, such fluctuations are insane. The situation is by chance, the situation is crisis and we need a short-term solution. I am convinced that you have the best long-term solutions, but you do not have the short-term solution. I know that you have to support the Finance Minister. This is your coalition duty, even in his foolish decisions, but your correct behaviour in this case is responsible to the voters and to force the Finance Minister to reconsider his decision on compensation. Thank you. [[Applause from GERB-SDS.]]
ParlaMint-BG_2022-02-02.u26	Thank you, Mr. Valchev. Again, I do not in any way affect the merits or correctness of the points. Until the prerequisites of art. 47, we can't turn it on. [[Replications by MP Desislava Atanasova.]] Mrs. Atanasova, is it something new because we've heard a lot of procedures? Mr. Cholakov has been here a long time.
ParlaMint-BG_2022-02-02.u27	Colleagues, I have a problem with the drafts tabled on the agenda, which amazes me that they have been tabled by parliamentary groups, by the way, at second reading, I do not know why this is being done, for excises and warehouses, and for corporate income taxation. I'm sorry that I didn't pay attention to this at first reading, but I'm sorry that a few ratification laws have passed with the same problem. But colleagues, please note that the Bill which has been tabled today by the BSP group as a item on the agenda, and I assume that also by DB, are signed by Prime Minister Stefan Yanev. These bills, colleagues, they don't have an importer. [[Noise and lines.]] Do you want our group to start tabling bills from the past National Assembly to MPs who are no longer in the Chamber? [[Noise and lines.]] Guys, stop messing with the rules and the laws. I think these bills should be withdrawn, returned to the Council of Ministers and the Council of Ministers to vote on them at one meeting and submit them again with the signature of Prime Minister Kiril Petkov, because Prime Minister Stefan Yanev will not and we cannot look at bills with an importer who does not exist in legal peace. Please, again, think again, because this is a matter of Constitutional Court. I most strongly call for the withdrawal of the bills, which are with the importer Prime Minister Stefan Yanev, to return to the Council of Ministers and to go once again in normal order. Thank you, Mr. Chairman. [[Applause from GERB-SDS, lines by MP Ramadan Atalay.]]
ParlaMint-BG_2022-02-02.u28	Thank you, Mr. Cholakov. Mr. Atalay, please! The program is generally voted on, not discussed. Here you go.
ParlaMint-BG_2022-02-02.u29	Thank you, Mr. Chairman. Dear colleagues! Of course, the Movement for Rights and Freedoms will not support wrongdoing or violate the Rules of Procedure. The Commission yesterday, what it discussed, is an agenda of municipalities or society. I did not see in the Commission yesterday any political formation that would not agree to be made so as to be supported by 100% to cover the costs of electricity for elderly homes, for kindergartens, for hospitals. Colleagues, do any of you mind because yesterday BSP also abstained? The theme is that the government was late in making decisions that are on the agenda of society. Yesterday I proposed the decision that GERB stole from all of us to be your proposal, to be the government's proposal, to be the proposal of the political party, which is still called the Change. Why don't you recognize it? And today, to go out on this platform and talk about the free market, when he broke his mouse just before a term, it's about Mr. Svilenski, about the free market, and today being a hero, you don't defend the kindergartens, against your mosques and churches, against all those who can't put the prize on their profits, and you give 100% support to those who put the price of electricity on the price of production, because now so is inflation, and really the debate is unpleasant. I know you want to escape this debate, but don't. Make a decision. Call Mr. Vasilev here. If they have a decision, if the government has already made a decision, you'd better come out and let him know. Don't bother the chairman to wonder how to get out of this situation. Thank you. [[Applause from DPS.]]
ParlaMint-BG_2022-02-02.u30	Thank you, Mr. Atalay. We're going to vote on the program I proposed.
ParlaMint-BG_2022-02-02.u31	Procedure!
ParlaMint-BG_2022-02-02.u32	There will be more proposals, Mrs. Atanasova. Please come in for a procedure.
ParlaMint-BG_2022-02-02.u33	Thank you, Mr. Chairman. My fellow Members, my procedure is linked to the Agenda Project. As has been noted several times, the topic of the public agenda is inflation, electricity prices, gas prices and all you obviously do not care about. I would not have taken a procedure in the manner of conduct, Mr President, if there was an understanding not only in the form of the Conference of Presidents, but also in this House that the Chairman of the Energy Commission refuses to comply with the rules of our Rules. When the Energy Commission meets, it shall not draw up a report. [[Reply by MP Radoslav Ribarski.]] Yes, Mr. Ribarsky, you can take personal treatment in a moment. As we have been waiting for a month for your committee, whose chairman you were also, to propose, after analysis, measures to deal with the crisis, and now should we wait for a report on a decision that concerns all Bulgarian citizens, municipalities, hospitals, religion. How long should the National Assembly wait for you to be pleased to draw up this report, provided that it was heard that yesterday at 12:30 this committee ended? Just because you want to isolate yourself from the world behind the walls of the National Assembly does not mean that this is not the agenda of society and this topic does not concern everyone. Therefore, Mr President, I would like, on behalf of a parliamentary group, in which the President, Mr. Ribarski, prepare a report, to submit it to the National Assembly at the point that our parliamentary group proposed. And one more thing about respect for the rules. [[The President signals that time has expired.]] Mr. Chairman, I see time is running out. Please give me about 10 seconds to justify my offer. More than a month ago, GERB-SDS' parliamentary group submitted another decision concerning the cancellation of the green certificate. It has not been examined for a month by the Committee on Health, which is also headed by the President of the Mr President, to this effect, I ask you to oblige all the chairmen of parliamentary committees to carry out their work in a timely manner under the Rules of Procedure, otherwise I do not believe that they deserve their due remuneration as chairmen of parliamentary committees. Now I want a break on behalf of a parliamentary group half an hour. Thank you. [[Applause from GERB-SDS.]]
ParlaMint-BG_2022-02-02.u34	Okay, I'll give you 15 minutes off and we'll go to the polls. [[After the break.]]
ParlaMint-BG_2022-02-02.u35	Colleagues, please take your seats. We're going back to the meeting. We are going to vote on the Programme proposed by the President.
ParlaMint-BG_2022-02-02.u36	Has the report been submitted?
ParlaMint-BG_2022-02-02.u37	You'll let me know if there's a report, won't you? Yes, the administration will inform me as soon as there's a report. [[Reply by MP Desislava Atanasova.]] We're in voting mode. Colleagues online? Desislava Taneva?
ParlaMint-BG_2022-02-02.u38	That's against it.
ParlaMint-BG_2022-02-02.u39	Dimitar Gochev?
ParlaMint-BG_2022-02-02.u40	Yeah.
ParlaMint-BG_2022-02-02.u41	Yordan Majunkov? Peter Chobanov?
ParlaMint-BG_2022-02-02.u42	I'm holding back.
ParlaMint-BG_2022-02-02.u43	Thank you, Mr. Chobanov. We recorded your voice. They voted 200 MPs in the Chamber and 4 online people in total 204: for 118 in the Chamber and 2 online. 120 in total, against 58 in the Chamber and one online. 59, abstentioned 24 in the Chamber and 1 online.. 25 total. That's how the offer is accepted. There is a proposal for inclusion on the agenda on the basis of art. 47, para. 3 of the Rules of Procedure of the National Assembly. Here you go, Mr. Bikov.
ParlaMint-BG_2022-02-02.u44	Dear Mr. Chairman, honourable Members! Since there is still, as far as we understand, no report has been submitted, which is a violation of the Rules of the National Assembly, we insist that you, because obviously the President of the Energy Commission cannot make any commitments, as far as we can see, as President of the National Assembly, make a commitment that, as soon as possible, and that means today, the report will be ready and submitted to this point of examination as it should happen under the National Assembly rules that we have all voted on. The most normal thing is for a committee to draft a report. If this cannot be done, I do not know what we can expect at all from this majority and from this Parliament. Thank you.
ParlaMint-BG_2022-02-02.u45	Thank you, Mr. Bikov. We will see the issue of drawing up the report, I make a commitment to this. In the order of art. 47, para. 3 of the Rules of Procedure is addressed a proposal from the Parliamentary Group of "There is such a people" to be included as the first item for Thursday in the weekly programme the early termination of the powers of the President of the Commission for Countering Corruption and the withdrawal of illegally acquired property, which is already included in the order of para. 8. Let's vote on para. 3, possibly if it is not considered today, continue or be considered as point one for Thursday. Please vote on the proposal of.. There is such a people............ there is such a people.......................... there is such a people. Colleagues online. Desislava Taneva? Dimitar Gochev?
ParlaMint-BG_2022-02-02.u46	Yeah.
ParlaMint-BG_2022-02-02.u47	Yordan Majunkov?
ParlaMint-BG_2022-02-02.u48	Yeah.
ParlaMint-BG_2022-02-02.u49	Thank you, Mr. Madhunkov. And Peter Chobanov? Vote 158 MPs in the Chamber and 2 online " 160" total: 155 in the Chamber and 2 online................................................................................................................................................................................................................................................... The motion is accepted. And the other proposal by the order of art. 47, para. 3 of the Rules is on behalf of the parliamentary group of the party ARRANGEMENT. It concerns the same point that was proposed under para. 8 and the same arguments. It cannot be included for a vote under para. 3, as was not included under para. 8. I am telling you, honourable Members, that the Court of Auditors, by letter of entry No AD-47-224-00-3 of 26 January 2022, has provided the National Assembly with a report on the results of the Court of Auditors' financial audits carried out in 2020. The material has been submitted to the Budget and Finance Committee. We move on to item one of the agenda for today, namely the second vote... [[Reply.]] Declaration? Here you go, Mr. Kostadinov.
ParlaMint-BG_2022-02-02.u50	Dear Mr. Chairman, dear compatriots! For a very long time, we argued the agenda of society. I want to bring you back on a topic that took the attention of all Bulgarians yesterday. Yesterday, by the way, was the day to honor the victims of the communist regime. At the same time yesterday it became clear that the last 30 years of the current regime is difficult to call it something, because it is very difficult to describe And yesterday, unfortunately, when at the end of the day came the news of a woman who has lost her life in a brutal way in the atrium of a Bulgarian hospital, she demasculated the entire regime, which claims to be democratic, and is practically one of the most anti-human and anti-democratic regimes in Bulgaria. If we have a Day to remember the victims of the communist regime, when will we have a Day to remember the regime after 1989, which banished or killed nearly three million people from the country? I saw the video yesterday that came out. I guess some of you here have seen it, too, some of you, not all of them. And what I've seen has moved me to the core of my soul. I don't know if any of you have ever been in a situation like this. I was in such a situation a month ago with a very close person who was supposed to be in the E.R. in Varna, but before entering, outside the cold, because because because of the protocol that was introduced by the health ministers, not a minister, ministers, is not only one who introduced this thing, people are standing outside, waiting in the cold, it was on December 27th, and answering questions: do you have a fever; do you feel bad about the person feeling wonderful when he came to the entrance of the E.R., of course, did your throat hurt; did you have shortness of breath; did you have contact with a patient; did you have contact with anyone who had contact with a person who had a cat; did you went abroad last time you went; where did you went; did you go; did you go; did you have any contact with? These questions are asked to people who come and agonize literally. Behind me was a man with a broken leg who responded to this kind interview. Naturally, both me and the people who were there made a big scandal. The man came out and literally pleaded with us through tears and said the following thing: "If I do not ask these questions, which are infinitely imbeciles and harmful, I risk being fired. There's a camera above me that shoots and records. Yesterday, many people resented the nurse's behaviour that she did not react quickly. Of course, in the end, after this interview, the person, when he gets inside, must endure the final procedure to test him, to see if he has the flu, and waits. Chaka! The procedure really takes about half an hour, and now imagine what happens if there are 20 people outside. And they're outside in the cold! At least that woman got in. That's a violation of the rules, by the way. I don't know if they're gonna punish the nurse for breaking those rules?! We should not be surprised that our country is in one of the first places on mortality in the world. It ranks first in mortality because of the freaking health system that kills the Bulgarian people. To be honest, I don't believe that anyone who watched this thing last night could have stayed silent. Today I sat and patiently waited for procedures, speeches and everything else to pass. There was talk of the public agenda. Dear compatriots, the agenda of yesterday's society is different. Yesterday, a huge part of the Bulgarian people, I suppose, is hardly asleep, as I am, because what you saw was seeing a woman die in front of her child is something inhuman, something freakish. I apologize for the heavy words, but if we don't say them here, we risk people one day on the street telling us in our eyes, and the least that's gonna happen to us is to hear them. At least! All of us here in this room are responsible for what's been going on for years and years and years and years and years and years and years and years and years and years and years and years and years and years and years and years and years and years and years and years. I think there should be two things happening right now. One is the resignation of the health minister immediately today. Not because it is directly responsible for what has happened, but because a person with morals in this case must take responsibility, because this protocol, introduced by previous ministers, could have been cancelled by now a hundred times. Depends on one person, one signature. There's no need for a press release. There is no need for a special meeting of the Council of Ministers. One person is one petition, and many people will get a chance at life. It's not done. I believe that this is a moral act that the Minister must express today if there is morals. That's what I'd do if I were her. The second thing I want to do is to call on each one of you here now to stand up and honor with a minute of silence the victims of the health regime, so to speak, or the victims of our health system, because yesterday many people with fake hypocrisy honored the memory of the communist regime. Another question is that we do not have a Day of Memory for the victims of the regime before the 44th year, which is wrong and which is wrong because the undisclosed civil war in Bulgaria has been taking victims from both sides for decades and when we have a memory for only one part of the victims and not for the other, this page will never be closed because there are innocent victims on one side and on the other. My suggestion is, if there are people here in this Chamber, and not just MPs, we should now stand up and honor not only yesterday's innocent victim, but also all the others who in recent years have been victims of a soulless attitude. I don't say "governing" because it is not just one, but a soulless anti-human attitude towards the Bulgarians, because our country was and was turned into a scion, in which no one has any relation to human life. And human life is seen as something that has no value. This thing needs to end, and I think everyone here should agree with that. My suggestion is to stand up and honor the memory of all these people with one minute of silence. At least we'll do it. [[The Parliamentary Group of Resurrection becomes one-minute silence, shortly after them becomes the parliamentary group of... There is such a people............................................. there is such a people.......................... Noise and lines. National Representative Georgi Mihailov wants the floor.]]
ParlaMint-BG_2022-02-02.u51	Here you are, Professor, you have the floor.
ParlaMint-BG_2022-02-02.u52	Procedure in the manner of conduct, Mr. Chairman. I allow myself to remember in the history of the National Assembly, I will address you primarily, of course, and Mr. Kostadinov. I can't help but turn around. Three years ago a very tragic case died a child of malignant disease and I, like you from this tribune, offered to honor his memory, not realizing that every medical case, Mr. Kostadinov, in the history of Bulgaria, has very serious professional aspects that need to be carefully assessed before a verdict is given. I will remind you here, from this tribune, and you, Mr. Chairman, asking you not to do such things as a doctor who has more than 40 years of practice. There was a chair of a parliamentary group here, Mr. Chairman, who was also the Minister of Interior, who was coming out of this tribune, allowed himself to accuse Bulgarian doctors of being guilty of the death of a newborn child, to show...
ParlaMint-BG_2022-02-02.u53	REPLICA: What is the procedure?
ParlaMint-BG_2022-02-02.u54	Procedure in the manner of holding the meeting of the National Assembly this is the procedure. ...after which there were serious investigations, a trial, and these doctors were cleared. Mr. Kostadinov, with all due respect to you, with all the tragedy of what happened yesterday in Vratsa, please from this tribune, Mr. Chairman, do not let the definitions, severe sentences be given to the system. We state for five years that this system is not working, Mr. Kostadinov. Five years! [[Applause from BSP for Bulgaria.]] Five years, and we want to change it, but we won't change it with declarations from the National Assembly's stand, with heartbreaking... There are so many tragedies every day in Bulgaria... [[Reply from the National Representative Kostadin Kostadinov.]] No, it's not about the protocol to get out. We're not the people who will judge. There's a law that's been voted on. How this protocol is to be followed, how it will be judged is a very professional issue. We're looking for optimization, but not like this. I ask you as a man, Mr. Chairman, and I ask you, Mr. Kostadinov, do not turn a human tragedy into a flag to wave from the platform of parliament. I beg you very much as a doctor, this is unacceptable! Thank you, Mr. Chairman. [[(Applause from the BSP for Bulgaria]]
ParlaMint-BG_2022-02-02.u55	Thank you, Professor Mikhailov. I mean your comments. Now we go to point one: THE SECOND VOICE OF THE LAW FOR CHANGE AND COMPLIANCE OF THE LAW FOR EXCIES AND DANISH CARDS. Hristo Gajev for procedure and then I give the floor to Mr. Karimansky. Here you go, Mr. Gadget.
ParlaMint-BG_2022-02-02.u56	Mr. Chairman, ladies and gentlemen of the House! I asked for the procedure, if you remember, before the break, but you obviously didn't notice it. It's about t. 14 of the program you just voted on. If you open and see the Economics Committee Report as the leading Commission, you will see that once again public discussion has not been conducted, as is the requirement of art. 73, para. 11 of the Rules of Procedure. This is the first vote on the Draft Law amending the Investment Promotion Act with an importer group of MPs. As you know, art. 73, para. I quote: The report of the committee responsible for the first vote contains the results of the public discussion and the verification under art. 72, para. 2 and an assessment of the expected consequences of the implementation of the future law. So, Mr. Chairman, I appeal to you: if you are going to measure with an archin, to measure with an archin not only the bills, but also the draft decisions of the opposition, but also those of the government. I therefore appeal to you, if you do not withdraw the point, then at least make an extraordinary meeting of the Committee on Economics to be convened in order to bring the report and the debates to the Committee on Rules, because otherwise it turns out that we do not measure with one archin and the rulers are always more equal than others. Thank you.
ParlaMint-BG_2022-02-02.u57	Thank you, Mr. Gadget. I will talk to the President of the Commission Mr. Dimitrov and we will see what is the case with the Report on the Draft Law amending the Investment Promotion Act. Mr. Dimitrov, come in.
ParlaMint-BG_2022-02-02.u58	Dear Mr. Chairman! This morning I am listening patiently and politely to any debate on procedural grasps, but I want to tell Mr. Gazhev the following thing. If you read this bill carefully, it is technically of its nature. We have invited those who wish to participate in such a debate and one such public discussion has come, Mr. Gajev. We cannot force people who do not want to participate in a technical conversation, how to change the name of the ministry. There are no willing people who, in such a debate, how to name the new ministry to participate in a public discussion. For this reason, it was as thorough as there were wishes to participate in such a conversation. When it comes to public relations, price of electricity, price of heating, of course there is an interest in public discussion. When it comes to technical matters, what kind of public discussion should we have?! And of course, we've invited all the interested parties, we're open to getting opinions, but who should be involved in this conversation? So, ladies and gentlemen, let's be reasonable, let's be constructive and not look under the ox for any occasion, especially when it comes to technical bills that change names. What exactly is public discussion, Mr. Gajev, on this subject? And I wouldn't take the floor, but look, let's have a measure to put in. I understand that there have always been rulers, that there is an opposition, to preserve expertise, to maintain good tone and not to cross borders and turn debate into absurdity anymore. Thank you. [[Applause from DB.]]
ParlaMint-BG_2022-02-02.u59	Thank you. I give the floor to Mr. Karimansky. [[Reply from the MP Hristo Gazhev.]] Please don't exchange lines and dots here in procedures. [[Loud noise.]] Well, no, it was in the manner of conduct, but when I said that I would talk to the President of the Commission, I meant that we would precisely clarify what he said, but we don't need to discuss it in lines and duplicates.
ParlaMint-BG_2022-02-02.u60	I won't. Just one sentence, Mr. Chairman. Please show me where in the Rules of Procedure is written a technical bill. Bills are bills, it doesn't matter what they're talking about. Thank you, Lord Gajev, we will discuss this matter. Mr. Karimansky, come in.
ParlaMint-BG_2022-02-02.u61	Mr. Chairman, ladies and gentlemen of the House! I'm doing a clearance procedure. Please, on the basis of art. 43, para. 2 of the Rules of Procedure of the National Assembly to vote in the Chamber to allow the following persons to be admitted: Mr. Ivaylo Yaydzhiev, Deputy Minister of Finance, and Mrs. Ludmila Petkova, Director of the Ministry of Finance, Mr. Pavel Gerenski, Deputy Director of the Ministry of Finance, Mrs. Svetla Genova, Director of the Directorate of Active Activity and Methodology. Thank you.
ParlaMint-BG_2022-02-02.u62	For a reverse opinion? I won't. Please, a voting regime for admission of the persons referred to by Mr. Karimanski to the Chamber. Colleagues online. Desislava Taneva?
ParlaMint-BG_2022-02-02.u63	Yeah.
