ParlaMint-BG_2022-03-17.u1	Eva Miteva?
ParlaMint-BG_2022-03-17.u34	My fellow Members, perhaps with my speech, I will give some answers to questions that have been asked by the previous speakers. This is part of the critical infrastructure of the country, so the Bulgarian Post Office should be managed, not by the way, but by the way, by the way. With the passage of the Bulgarian Post Office to a certain ministry, their surrender to a portfolio minister is part of the administrative reform. Whether it will be Kalina Konstantinova, why it should be written in the Bill, I cannot understand, but the Bulgarian Post Offices should be managed at a qualitatively new level. It is envisaged that citizens will be served at a one-stop shop and here Mr. Letifov very rightly pointed out in his brief statistical information, which he said that in some cases the Bulgarian Post Offices are the only operator that reaches small settlements. And they, as you've learned from the statistics, are over 2400. Generally, private operators use the Bulgarian Post Offices, where it is not profitable for them to go and where it is not profitable to maintain offices. With the full responsibility of the importance of the Bulgarian Post Office, their place in the communication system, the delivery system in Bulgaria, it is necessary to make this reform. I call on you to support the bill. I hope you will do so with the awareness that this is how we preserve the Bulgarian post office and give a chance for their development. Thank you. [[Applause from "We are continuing the Change."]]
ParlaMint-BG_2022-03-17.u35	Thank you, Mr. Belev. A line from Tsoncho Ganev.
ParlaMint-BG_2022-03-17.u36	We are attending something that nearly two months ago was in this room, namely when the number of members of the KEWRC was being discussed. Then the ruling coalition tabled something which, of course, subsequently approved and voted on, but there was absolutely no argument why it was done. And I can't accept what's happening right now. There has been a statement at the moment, many words have been spoken, nothing concrete has been said, nothing specific is being argued, we will improve, this will be done, this will be done so and there will be an argument for which to have a dialogue, to convince us and to support you. There is nothing wrong with us aging to support you for anything, as long as it is justified and for the benefit of state interests. There's nothing like that in this case. Once again, something is being suggested that we simply do so to say we are doing reform. Where's the reform? What are we reforming? We remove it from a ministry and give it to the Council of Ministers. Today, whether he's a deputy prime minister who doesn't do anything all day or if he's someone else, has nothing to do with it. After all, we have a whole ministry that has always been sent to him. Again, I say, and I ask you to come out and argue why we should support you and why this is justified and what it will lead to, valuefully and qualitatively, to change because there are no arguments at the moment for what you are doing. I don't know if it's gonna be bad or good, but there's no argument for this thing. How can I give any opinion except that I'm against it, given that you don't give any arguments why you change it? If it's just about saying that we have structural reform, sorry, that's not enough argument, as in the KEWRC you removed two people because we will reduce the cost of two people! And now we're moving something from somewhere to find a job for a deputy prime minister who doesn't do anything all day. [[The President signals that time has expired.]]
ParlaMint-BG_2022-03-17.u37	Mr. Ganev, let's not use such qualifications to the members of the Council of Ministers after all. Hristo Gadget for a line? Here you go.
ParlaMint-BG_2022-03-17.u38	Mr. Chairman, ladies and gentlemen of the House! Dear Mr. Belev, first of all, on the bill. How stately has your statement been used to move from one minister to another minister? It is also currently managed by the Minister of Transport. As much as Mrs. Konstantinova's name was mentioned, but because that's what you wrote in the Bill. Yes, Deputy Prime Minister, appointed by the Council of Ministers, but it is unlikely he will be the Minister of Finance, it is unlikely that he will be the Minister of Economy or the Environment and Water. So by the method of exclusion one option remains who will manage it. We now understand that the whole idea of the Bill is to avoid conflict of interest, because by already transferring the ownership of one of the major commercial firms in the field of forwarding, the Minister of Transport would be in conflict of interest if he managed his direct competitor to his private business. However, explain to me how the conflict of interest is being avoided now, not the conflict of interest, but the trade with influence, because they are still together in the Council of Ministers and the possibility of trade with influence continues to sit, with large letters written. And another thing that worries me personally is that seeing how effective the Deputy Prime Minister in question is dealing with the refugee crisis, I am already extremely worried about the future of the Bulgarian Post Office.
ParlaMint-BG_2022-03-17.u39	Thank you, Mr. Gadget. The third line is Nikolai Angov.
ParlaMint-BG_2022-03-17.u40	All three lines had nothing to do with both, so it'll be the third. [[Noise and lines from GERB-SDS.]] First of all, just to clarify, the statistics that the Guardians have produced is not a competition and is not positive. I understand the desire of colleagues to express themselves, and not too meaningful things, and not on the subject, but it is simply not a positive race. Returning to the reform in the Bulgarian Post Office will expand the scope of the offered administrative services. This is the reason why the Bulgarian Post Office is to be moved under the leadership of Deputy Prime Minister and to be taken out of the Ministry. It has nothing to do with conflict of interest, as you're trying to launch it. Thank you.
ParlaMint-BG_2022-03-17.u41	Thank you. A hole by Blagovest Belev.
ParlaMint-BG_2022-03-17.u42	Dear Mr. Chairman, honourable Members! I am glad that with my speech I was able to arouse such zealous speakers as Mr. Ganev and especially Mr. Gajev. Thank you for your notes. I see nothing wrong with the word conflict of interest and the eradication of conflict of interest. Where you find the problem, I don't understand, but we can sort it out. The refugee crisis and the condition of the Bulgarian Post Office are incompatible comparisons. If we bring the Bulgarian post office to the refugee crisis, it becomes difficult. [[Noise and lines from GERB-SDS.]] No, no, that's not gonna happen, I'm sure. Statistics show that the Bulgarian Post Offices up to 2020 were at a loss. Only then, when the state intervenes with credentials, with a kind of measure,..the Bulgarian Post Offices get closer to zero and slightly start to come up with a plus. So improving, good management is the essence of this reform. Who's gonna do it? We're gonna see. Please give an assessment of what is done, not what is to be done. Thank you.
ParlaMint-BG_2022-03-17.u43	Thank you, Mr. Belev. The next statement is by Rosen Zhelyazkov, then Radomir Cholakov and then Nastimir Ananiev, and Kostadin Kostadinov also record.
ParlaMint-BG_2022-03-17.u44	Thank you, Mr. Chairman. Honourable Members, let us return the conversation to where it belongs. I am surprised at the fact that perhaps a large part of you are commenting on something you have not read. This is not a bill for the Bulgarian Post Office, this draft did not comment on the Bulgarian Post Office. The topic of exercising the rights of the state with a principal member of the Council of Ministers in the Bulgarian Post Office is already resolved and this is done by an act of the Council of Ministers. This act has it and the Bulgarian Post Office has a principal Deputy Prime Minister Konstantinova. This bill, honourable Members, commented on the topic of policy transition in the postal sector from the Minister of Communications to the Deputy Prime Minister. The concept of communications, colleagues, covers networks and services in telecommunications and postal services in this population. Information technology has already been reassigned by the Ministry of Transport, Information Technology and Communications to the Minister of Electronic Governance. Now the postal services are being redeployed, or they're migrating to Deputy Prime Minister. Perhaps in the structure of the Council of Ministers the Ministry should now be renamed to the Ministry of Transport only or Ministry of Transport and Electronic Communications, because you may know that electronic communications remain within the competence of the Minister of Transport. What's going on, guys? There is not a word in the coalition agreement related to this important sector in the Bulgarian economy, called the Communications. There are three sectors that matter to the gross domestic product: energy, transport and communications. Again, messages include telecommunications and postal services. We are currently subtracting postal services in which more than 230 enterprises, of which more than 78 are active postal operators, are engaged. You know most of them because in the framework of the e-commerce you realize, you use these couriers. This sector goes to the Deputy Prime Minister. We are not talking about the Bulgarian post office again, I would like to stress it once again. At international level ITU and UPU these are the Universal Postal Union and the International Telecommunications Union, the so-called Twin Sisters/twin Sisters are always going together. Is this a rift of politics because it's unwanted or because it's very desirable? But for the first time, a policy in the economic sector comes out of a sector office, which is a ministry, and it goes for realization by a deputy prime minister who implements horizontal policies, not vertical, not depth. Moreover, note, colleagues, that in the distribution in the portfolios, which is done by order of the Prime Minister and the Minister of Electronic Governance and the Minister of Transport and Communications are not in the portfolio of Deputy Prime Minister Konstantinova. They are personally under the supervision of the Prime Minister, so even this commitment, this correlation between Deputy Prime Minister and policies related to e-government and communications, have no normal logic. In fact, this is one of another mines that is bet on effective management. I have no doubt about the qualities and therefore do not comment on purely personal characteristics. Here the question is not whether the policy in the field of postal services will become more effective, or whether it is considered to be where the system place is, it is not effective. And the question is, is postal policy unwanted, too desirable, or is it banished? Another question remains: how will they be carried out and how will they be combined within two characters in the executive power? One with common competence, the other with special competence, participation in international formats? These are the European Conference on Posts and Far Communications, these are the forums of the Universal Postal Union, these are the forums of the International Telecommunications Union, joint representation in Brussels, participation in the decision-making process in the working bodies of the European Union. What would be the fate of the administration? Currently there is an expertise in the Ministry of Transport and Communications, which has a fixed structural unit, which is called the Department of Services Development. It, if mechanically passed into the Council of Ministers, will it be effective for the next year and a half. These are all questions that stand, and I therefore put them to your attention, because these issues do not exist in the coalition agreement, and in the absence of a government management programme, the coalition agreement is the only indicator of how the commitments made will be made. In the absence of a topic, in the absence of a subject matter in the coalition agreement in the field of communication, this passage, and at the level of the legal act, such as the Law, are actually an appendix to the coalition agreement, and the legislation should not serve as an appendix to coalition agreements. Thank you. [[Applause from GERB-SDS.]]
ParlaMint-BG_2022-03-17.u45	Thank you, Mr. Zhelyazkov. Are there any lines to Rosen Zhelyazkov? I won't. Radomir Cholakov to speak.
ParlaMint-BG_2022-03-17.u46	Mr. Chairman, ladies and gentlemen! I do not know if you felt the feeling I felt after Mr. Zhelyazkov's speech that it is good for this discussion to stop immediately, the bill to be withdrawn and once again to reconsider the entire policy in the sector which the government intends to exercise or does not intend to exercise. I wish I could say something, colleagues, on the issue of conflict of interest, because, as Mr. Letifov said, and with that we started, it is obvious to us ordinary people that because Mr. Subev is a postal operator, so the post office must be removed from the Ministry of Post, to which he is a principal, and to go somewhere else so that he cannot be accused of conflict of interest. How about, colleagues, the post office to stay at the Ministry of Transport and Mr. Sabev to remain a minister with full awareness that he is in a very difficult conflict of interest? The interest of any private business is to eliminate competition, especially the state competition. This is an important interest. There is no hypothesis in which a private businessman does not wish to reduce the volume of the State in its own sector and, if there are State undertakings, they should be liquidated. That's... The opposite is nonsense. So there is no businessman who works in the post office that does not want the Bulgarian post office to be liquidated because it is not logical not to want it. In this sense, it seems to me that by taking the post office of Mr. Sabev, who, again, has an interest to be liquidated, and moved to a deputy prime minister, whoever he is, only puts a fig leaf on the idea or on the possibility, although here, as Mr. Gajev says appropriate, we enter into the hypothesis of trade with influence, so there will still be no effect, that is, the government's responsibility will not be taken down by either Mr. Sabev or the deputy prime minister, who will take over the post office. Let me just say this one more time: we're putting on a fig leaf. My proposal, by the way, may seem paradoxical, but think about it as logical. Mr. Subev is, as it turns out, a good manager in the field of postal services, and if the post office remains with him, and politics, of course, remains with him, we can count on him to have the knowledge to manage the sector, including the Bulgarian Post Offices, and there will be at the same time the shame of not liquidating the Bulgarian Post Offices, which is his economic interest. If this thing continues, colleagues, with the Bulgarian postal services policy at all, I am sure that what Mr. Rosen Zhelyazkov said will really happen. We have structural problems that will be another mine placed under the government and under the cabinet, which will blow up at some point, we need to be careful what we say now, because it seems that the things we have warned about have begun to be implemented. Consider this proposal in relation to the speech of Rosen Zhelyazkov and in relation to the purely functional question that I am asking you. Whether it is better to know that Mr. Subev is in conflict of interest, to preserve the structure of postal policy, to keep everything as it is, but not to stir up the house to create the Potemkin villages and the illusion that there is no conflict of interest, and to wager mines that will start shooting. If, God forbid, something happens to the Bulgarian Post Office... Do you remember the movie "The Postman" with Kevin Costner and that's where I end up? They say it's his worst movie ever. [[Reply.]] No, no, they say it's his worst movie ever. [[Reply from the People's ancestor Nastimir Ananiev.]] Yeah. I don't know, I keep seeing it. The post office is building the state. That's what I meant. Thank you.
ParlaMint-BG_2022-03-17.u47	Thank you, Mr. Cholakov. Georgi Svilenski, Lyuben Dilov and Blagovest Belev. [[Reply.]] Let's move the groups, Mr. Ivanov. You can switch if you want.
ParlaMint-BG_2022-03-17.u48	Thank you, Mr. Chairman. Dear Members of the National Assembly, Dear Mr. Cholakov! It's really nice to have fellow MPs here, at least read the Bill. And I agree with Mr. Zhelyazkov, because so far from the speeches only Mr. Belev and Mr. Cholakov understand that they know what this is about. And about that, the inherent interest of someone managing to destroy an enterprise or not to... First of all, it's not about the Bulgarian post office at all, okay? This explained to you that the Bulgarian Post Offices are already in the Council of Ministers. It's about politics. And whether anyone has an inherent interest in being the largest forwarding company or anything else, I will ask you the following question: what was the inherent interest of GERB 12 years to destroy the Bulgarian post office without being couriers without being the biggest forwarders without having experience in this? Twelve years! From 60% share in courier services, you reduced it to 4% to 4%! Mr. Cholakov, if you don't do something... Don't ever connect Mr. Subev, Mr. Econt, Mr. Speeds and so on. Yes, these companies seized the market share of the Bulgarian Post Office, but they seized it not because it was only so good, but because your management for 12 years allowed the Bulgarian Post Office to retreat these markets. Because when "Spids" and "Econt" worked until seven, eight, nine o'clock in the evening, the Bulgarian Post Offices closed at five o'clock so that they could work. So, when you talk about these things, go back in time, look at the ratio of what was a Bulgarian post office, what is and what is the trend. And the really right thing at the moment is to pay particular attention, and the particular attention is with a particular principle and the special principal is the Deputy Prime Minister. What's higher? Yeah, the higher up is the prime minister dealing with this thing. From this to the Bulgarian Post Office to be on... Policies should be made by the Deputy Prime Minister responsible, appointed by the Council of Ministers.
ParlaMint-BG_2022-03-17.u49	Thank you, Mr. Svilensky. [[Reply.]] Great, here you go, Mr. Ivanov.
