ParlaMint-BG_2022-02-23.u1	Honourable colleagues, please register. Atanas Zafirov?
ParlaMint-BG_2022-02-23.u34	So I'm asking you to give us a chance to re-vote and the MPs have a chance to correct their vote. Thank you.
ParlaMint-BG_2022-02-23.u35	Okay, we're going over this. We didn't reschedule. Atanas Zafirov? Krum Zarkov?
ParlaMint-BG_2022-02-23.u36	That's against it.
ParlaMint-BG_2022-02-23.u37	Stefan Shilev?
ParlaMint-BG_2022-02-23.u38	Yeah.
ParlaMint-BG_2022-02-23.u39	Tsvetelina Zarkin?
ParlaMint-BG_2022-02-23.u40	That's against it.
ParlaMint-BG_2022-02-23.u41	They voted 202 MPs in the House and 3 online. 205 total: for 85 in the Chamber and 1 online. 86 total, against 101 in the House and 2 online.................................................................................. 16 The offer is not accepted. Please come in as per procedure.
ParlaMint-BG_2022-02-23.u42	Dear Mr President, honourable Members, ladies and gentlemen of the Council of Ministers! My procedure is in the manner in which you are led, Mr. Chairman. Mr. Chairman, this thing is a law, and this thing is the basic law. [[The National Representative Alexander Nestorov shows the laws.]] In the ruling majority there is a lasting reluctance to meet them, even more so for their compliance. Therefore today, Mr President, we have a more innovative, more IT approach to you, although with the DOO's budget, which you accepted yesterday, few people and from this sector, you slaughtered them. Mr. Chairman, this is a map of the MP [[shows]] If we turn it around, we will read the following thing: the State and local authorities and their administrations are obliged to cooperate with the National Representative and to provide him with requested information and documents. Mr. President, with a question from the Chairman of the Parliamentary Group of the Movement for Rights and Freedoms on 15 December 2021, it requires documents of 20 thousand and a little more action by the Ministry of Interior during the elections. Obviously, the question was admissible, meaning it wasn't like the other few hundred questions you returned as inadmissible. My request to you is, please, to assist in obtaining these documents, be on the right side of the law, so that we as MPs can perform the position that people have voted on us. Thank you for your attention. [[Applause from DPS.]]
ParlaMint-BG_2022-02-23.u43	And thank you, Mr. Nestorov. I see that the introduction to this message is diversifying, but in essence my answer remains the same, I think you already know it well. Message: In the National Assembly on the basis of art. 133, para. 3 of the Public Finance Act on 16 February 2022 received a Report on the implementation of the Commission's programming budget for disclosure of documents and the declaration of belonging of Bulgarian citizens to State Security and the intelligence services of the Bulgarian People's Army for 2021. The report was submitted to the Committee on Budget and Finance and the Internal Security and Public Order Committee. Moving on to point one of the program: SECOND VOICE OF THE LAW PROJECT FOR THE STATE BUDGET OF THE REPUBLIC OF BULGARIA FOR 2022 Importer is the Council of Ministers on 1 February 2022, adopted in the first vote on 10 February 2022. Here you go, Mr. Karimansky.
ParlaMint-BG_2022-02-23.u44	Mr. Chairman, I am doing a procedure for the admission of the following persons: Rositsa Velkova Thank you.
ParlaMint-BG_2022-02-23.u45	Thank you, Mr. Karimansky. Colleagues, please vote to allow the persons designated by Lubomir Karimanski. Atanas Zafirov?
ParlaMint-BG_2022-02-23.u46	Yeah.
ParlaMint-BG_2022-02-23.u47	Krum Zarkov?
ParlaMint-BG_2022-02-23.u48	Yeah.
ParlaMint-BG_2022-02-23.u49	Stefan Shilev? Tsvetelina Zarkin?
ParlaMint-BG_2022-02-23.u50	Yeah.
ParlaMint-BG_2022-02-23.u51	Vote 184 MPs in the Chamber and 3 online. 187 total: for 182 in the Chamber and 3 online. 185 total, not against, abstention 2. The motion is accepted. I ask the Quaestors to invite the designated persons to the Chamber. With this, we can now proceed to the report of the Committee on Budget and Finance. Here you go, Mr. Karimansky.
ParlaMint-BG_2022-02-23.u52	Dear Mr. Chairman, ladies and gentlemen ministers, honourable Members of the House! Report on the State Budget Bill of the Republic of Bulgaria for 2022, No 47-202-01-7, submitted by the Council of Ministers on 1 February 2022, adopted on the first vote on 10 February 2022. supposed to be a second vote project: "The State Budget of the Republic of Bulgaria for The Commission supports the text of the importer on the name of the Law.
ParlaMint-BG_2022-02-23.u53	Thank you, Mr. Karimansky. I'm opening a discussion on the title of the Bill. Here you are, Mr. Ananiev, for a statement.
ParlaMint-BG_2022-02-23.u54	Thank you, Mr. Chairman. Dear Mr. Chairman, honourable members of the government, honourable Members of the National Assembly! I think that there is no person in this Chamber who is convinced that this is the first and last view of the Law on the Budget of the Republic of Bulgaria for 2022. If you remember, just a month ago, we adopted a Law by which we extended certain norms for the first quarter to 31 March 2022. Even after the signing of the coalition agreement, the coalition partners stated strongly that from 1 July there will be an update of the state budget, i.e. until 30 June this update will be submitted to the National Assembly in order to be approved and to enter into force from 1 July 2022. This is indeed a precedent in our history before the basic budget law has been adopted, to talk about its update, which shows in practice that this bill, which we are looking at today, does not have an annual time character. Dear Minister of Finance, if you recall, and I am sure you remember, at the meeting of the Budget and Finance Committee, we have made a number of requests. Of course, most of them have been rejected, but some of them have been accepted as appropriate by you and you have taken up the commitment in the coming months to work on these proposals and with the budget update to decide whether to accept them and what the cost of these proposals will be as a reflection in the budget for 2022. The same procedure has taken place in a number of other committees in which the committees have accepted as appropriate proposals, but have accepted that this can happen with the update of the budget. Yesterday, in view of the draft law, of course, the State Social Security Budget Act, the President of the Commission from this tribune, defending the finally adopted Act on the budget of the DVO for 2022, said that this year there will be an enormous amount more revenue than is foreseen in the consolidated fiscal programme, and of course I assume that it is based on the high inflation that will bring more revenue into the state budget. We are in a very complicated situation from which we can come up in one of the following two ways. More than two months have passed since the coalition agreement between coalition partners was signed. There remains yet more than a month, a month and ten days until the end of the extension of the provisions of the 2022 budget, which will act until 31 March this year. For four months, I think it is absolutely enough to make the coalition agreement between coalition partners into a management program. Therefore, my proposals are two, which of the two you choose, of course. The first is to withdraw the government Bill on the state budget of the Republic of Bulgaria for 2022 and by the end of March to submit the real budget, which will have an annual horizon of action. During this time, the updated medium-term budgetary forecast will also be able to be corrected, the policies, priorities and reforms you are talking about, during the three-year period and look at a really annual law on the budget of the Republic of Bulgaria for 2022. The second option is, I am sure that the first option will not be accepted because this will really be a precedent, the second option is that this law is not to be called the State Budget Act of the Republic of Bulgaria for 2022. If you read in your motives in the updated medium-term budget forecast, you yourself have said that this is a basic version of the budget and not year-round, with all the policies and priorities that you have provided for. So my proposal, Mr. President, is that if the government does not accept to withdraw its budget for 2022 and to present it by 31 March then, when the first bill that we have drawn up expires, the name of this budget will be the State budget of the Republic of Bulgaria for 2022. Thank you.
ParlaMint-BG_2022-02-23.u55	Thank you, Mr. Ananiev. We've made your suggestions. Unfortunately, the first is unacceptable because the bill has already been voted in the first vote. The second is not a term I know. Are there any lines to Kiril Ananiev? Hristo Gajev, a line? Okay.
ParlaMint-BG_2022-02-23.u56	Mr. Chairman, Mr. Prime Minister, cabinet members, ladies and gentlemen of the House! Mr. Ananiev, unfortunately, I cannot agree with your suggestions. If the government can't withdraw it, we can reject it, only... The other option is to rename the title. Here we should rather use a slightly different approach, because in the end, if we are going to want July month, as the government is committed to having a budget update, then March we should see the next draft of a budget and April we should have entered the next budget procedure. So even if they withdraw it or reject it, March we'll still be looking at the next budget, now for the update. So the government for the first six months will definitely do analyses and additional budgets and pretty much the same work. So, rather, my proposal is for your.. not to be a basic or basic approach, but just to say that this is an analysis of a budget for 2022 and the real budget will see it June month.
ParlaMint-BG_2022-02-23.u57	Thank you, Mr. Gadget. Second line from the DPS parliamentary group.
ParlaMint-BG_2022-02-23.u58	Thank you, Mr. Chairman. Dear Mr. Ananiev, as another representative of the great region of Pernik, I express full consideration with you, another argument in this direction. Zero tolerance for corruption, isn't it, Prime Minister? I remind you that this draft budget is not in fact the draft budget which the Council of Ministers is obliged by law to agree with the Commission on countering corruption and the withdrawal of illegally acquired property. In this draft budget there are 89 more transitional and final provisions. This, in my opinion, is yet another reason for withdrawing this budget because it has not passed an assessment of corruption risk. Thank you.
ParlaMint-BG_2022-02-23.u59	I think we've sorted it out. Mr. Gajev also spoke on the matter quite correctly. Third line to Kiril Ananiev? I won't. Mr. Ananiev, for the back.
ParlaMint-BG_2022-02-23.u60	Dear Mr. Chairman, honourable Members! Indeed, this budget covers the period from 1 January to 31 December, as should cover each state budget for any year. However, the government's statement is that this budget is based on a baseline scenario that reflects the policies that have been in place so far. The management programme, which is being prepared by the government, should be ready by the end of June. It will include all new policies, priorities and reforms. Why do you think this budget reflects the overall financial and economic picture in Bulgaria for 2022? This is a temporary budget and reflects policies until 30 November. That is why my idea was not to support colleagues who said yesterday that this was a budget for the second quarter, because it is still an annual budget, but it is a basic budget and it was my proposal to propose such an amendment in the title. Thank you.
ParlaMint-BG_2022-02-23.u61	Thank you, Mr. Ananiev. There's no way to call it basic law. Any other comments on the title? I won't. I'm calling off the discussion. We are voting on the title of the Import Bill supported by the Commission. Atanas Zafirov?
ParlaMint-BG_2022-02-23.u62	Yeah.
ParlaMint-BG_2022-02-23.u63	Krum Zarkov?
ParlaMint-BG_2022-02-23.u64	Yeah.
ParlaMint-BG_2022-02-23.u65	Stefan Shilev?
ParlaMint-BG_2022-02-23.u66	Abstention.
ParlaMint-BG_2022-02-23.u67	Tsvetelina Zarkin?
ParlaMint-BG_2022-02-23.u68	Yeah.
ParlaMint-BG_2022-02-23.u69	They voted 188 MPs in the Chamber and 4 online.. in total 192: for 136 and 3 online...................................................................... The motion is accepted. Mr. Karimansky, come in.
