ParlaMint-BG_2022-03-24.u1	Honourable colleagues, please register. Colleagues online: Eva Miteva?
ParlaMint-BG_2022-03-24.u17	Thank you, Mr. Mateev. I am opening a discussion on the title of the Bill, § 1 by importer, § 2, which is also by importer, and § 3 by commission. Anyone who wants to make a statement? I won't. We vote on the title of the Import Act, § 1 by importer, supported by the Commission, § 2 by importer, supported by the Commission, and § 3 as amended by the Committee on Constitutional and Legal Affairs. Eva Miteva?
ParlaMint-BG_2022-03-24.u18	Yeah.
ParlaMint-BG_2022-03-24.u19	Lyubomir Karimansky?
ParlaMint-BG_2022-03-24.u20	Yeah.
ParlaMint-BG_2022-03-24.u21	Pavel Christov? Thank you. Vote 178 Members of Parliament and 2 Online " 180": for 177 and 2 Online " 179," no objection, abstention 1. The motion is accepted. Here you go, Mr. Mateev.
ParlaMint-BG_2022-03-24.u22	Thank you, Mr. Chairman. Proposal of the MPs Iva Miteva, Andrey Mihailov and Milen Mateev. The Commission supports the proposal. Proposal of MPs Mustafa Karadayi and a group of MPs. The Commission supports the proposal. The Commission proposes to create a new § 4: ............................................ In Article 4 (1) (b), point (c) is replaced by the Proposal of MPs Mustafa Karadayi and a group of MPs. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer by proposing the following version of § 3, which shall become § 5: .................................................................................. In Article 4 (1) (b), point (c) is replaced by the following: 33, para. 4 words / / / / / / / / / / / / / / / / / / / / / / / / / /
ParlaMint-BG_2022-03-24.u23	In fact, I see that there is only one more of the main text of the Law to read it.
ParlaMint-BG_2022-03-24.u24	Proposal of MPs Mustafa Karadayi and a group of MPs. The Commission supports the proposal. The Commission shall support the text of the importer for § 4, which shall become § 6.
ParlaMint-BG_2022-03-24.u25	Thank you, Mr. Mateev. I am opening a discussion on § 4, § 5 and § 6. Anyone who wants to make a statement? I won't. I'm calling off the discussion and we're going to vote. I shall put to the vote § 4 - a new one proposed by the Commission; § 5 in the version of the Commission and § 6 by the text of an importer supported by the Committee on Constitutional and Legal Affairs. Eva Miteva?
ParlaMint-BG_2022-03-24.u26	Yeah.
ParlaMint-BG_2022-03-24.u27	Lyubomir Karimansky?
ParlaMint-BG_2022-03-24.u28	Yeah.
ParlaMint-BG_2022-03-24.u29	Pavel Christov? They voted 179 MPs and 2 online " 181" for 179 and 2 online " 181" against and abstention there is no. The motion is accepted. Here you go, Mr. Mateev.
ParlaMint-BG_2022-03-24.u30	"Transitional provision." Proposal of the MPs Iva Miteva, Andrey Mihailov and Milen Mateev. The Commission supports the proposal. The Commission supports, in principle, the text of the importer and proposes that the name of the division be amended as follows: The Commission does not support the text of the importer for § 5 and proposes to reject it. The Commission proposes to establish § 7: .................................................... Unfinished until the entry into force of this law proceedings under the repealed art. Art. 12a. 14a shall be terminated.
ParlaMint-BG_2022-03-24.u31	Paragraph 8 will you read us?
ParlaMint-BG_2022-03-24.u32	Proposal of the MPs Iva Miteva, Andrey Mihailov and Milen Mateev. The Commission supports the proposal in principle. The Commission proposes to establish § 8: ................................................................................... (1) When Bulgarian citizenship is acquired according to naturalization on the basis of the repealed art. Article 12a or the repealed art. 14a, the person who acquired it, is obliged to notify the competent authority that certified the investments within 14 days of the change in the facts and circumstances relating to the investments that have become the basis for the naturalisation and present the documents demonstrating the change. (2) Naturalization on the grounds of the repealed art. Article 12a or the repealed art. 14a may be revoked under the conditions of Chapter Three, Section II, and when the person who has acquired Bulgarian citizenship has not notified a change under para. 1 or has not supported the investments which have become the basis for the acquisition of Bulgarian citizenship for at least a two-year period from the date of naturalization in the cases of the repealed art. 14a, para. 1 or for at least a one-year period in the cases of the repealed art. 12a, para. Article 1 and the repealed Article 1. 14a, para. 1, t. 3 - and the jobs created. (3) The Ministry of Justice shall send to the competent authority under para. 1 information on persons who have acquired Bulgarian citizenship on the basis of the repealed art. Art. 12a. 14a. The competent authority of para. 1 shall notify the Minister of Justice of any established change in investments leading to a failure to comply with the obligation to maintain them. (4) For the maintenance of investments under para. 2 the competent authority under para. 1 exercise control after the end of the period under para. 2 and informs of the outcome the Minister of Justice, who may require information from the State Agency.
ParlaMint-BG_2022-03-24.u33	Thank you, Mr. Mateev. I am opening a discussion on the name of the division and the paragraphs read by Mr. Mateev. For speech "Milen Mateev," then "Peter Petrov."
ParlaMint-BG_2022-03-24.u34	I'm making an offer according to art. 80, para. 2 of the Editorial Rules in the title, since the newly proposed § 7 can in fact be interpreted as a final provision, the title to become
ParlaMint-BG_2022-03-24.u35	Thank you. The editorial proposal is to amend the name of the division to "Transitional and Final Provisions." Replices to Milen Mateev? I can't see. Here you are, Peter Petrov, for your speech.
ParlaMint-BG_2022-03-24.u36	Dear Mr. Chairman, honourable Members! My statement relates to § 5 and the proposal of the working group for the creation of § 7. The importer's proposal is the applications under art. Art. 12a. 14a, submitted before the entry into force of this law, shall be examined and resolved in the order so far. I believe that this proposal by the importer should be supported, as all these applications have been lawfully submitted. The conditions that were fulfilled were under the law in force. Accordingly, when applicants applied for Bulgarian citizenship, after the investment they followed the law in force. I have not heard at the Commission meetings any reason for changing this proposal by the Member of the Council of Ministers, and what decisions are required for the termination of all these pending proceedings. I did not hear any motives from the working group, which wants to change this and create the new § 7 with the following text: Next, I believe that nothing requires the termination of these proceedings until this particular feature, namely those which are not finished. Why don't we make a decision to shut down the proceedings that are, say, five or ten years old, by that logic? If we agree with this proposal of the working group, I believe that we will create a legal uncertainty not only in relation to the pending proceedings under the Law, but also in respect of all future proceedings, as there will be one ugliness for the applicants in a subsequent decision to amend the law to also terminate their applications and not be dealt with. In this case, without any motive, I still say I didn't hear any motives. We have learned from the opinions in the Legal Committee that it concerns more than 100 applications submitted. I would like to point out that they were all submitted in the previous order, which was in effect before 12 March 2021, namely when obtaining Bulgarian citizenship through investment concerned investment in government securities, because after 12 March 2021 the Investment Agency ceased issuing certificates in the new order, which was then adopted by the legislator of the then National Assembly. If we're talking over 100 pending files at 2 million. lv. We're talking about an investment that's already invested over 200 million. lv. in government securities, not in private companies, not in risky investment schemes, non-financial profits, but directly invested in government securities. What we're going to do if we accept this proposal is just to get that money back. Why? I did not hear reasons why I should return these already invested money in one for me not small amount. Next, I didn't hear any motives what would happen when we stopped these pending files and returned those invested money? Is there a legal possibility for these applicants to subsequently seek compensation in court because their case files have been terminated? I would like to draw your attention to § 9, which we are expected to accept in a little while, under which, anyway, within a six-month period, DANS will carry out checks on all the files that have been under this law. Anyway, we're going to check all the files, so why stop those who have already been properly filed in accordance with the current law? What's keeping the DANS from checking those over 100 files? Anyway, we'll check all the files, if they're legal, let them stay. If violations are detected, of course, let them be terminated and appropriate sanctions imposed. And in the Legal Committee, I have stated that I will personally support the proposal in § 9 for a complete examination of all files, there is nothing wrong with full verification. But anyway, we're going to check them out, so why don't we stop those who didn't finish them without any motive? Honourable Members, I would ask you to support the proposal, which is from the drafter, namely, the non-finished files to be examined and resolved, and not to be terminated. Thank you.
ParlaMint-BG_2022-03-24.u37	Thank you, Mr. Petrov. Are there any lines to Peter Petrov? I won't. Any other speeches? I won't. I'm calling off the discussion. First of all, I put to the vote the editorial proposal made by Milen Mateev, in the name of the division, to add text to the list of finals, so that the name gets the following form: Eva Miteva? Lyubomir Karimansky?
ParlaMint-BG_2022-03-24.u38	Yeah.
ParlaMint-BG_2022-03-24.u39	Thank you. Pavel Christov?
ParlaMint-BG_2022-03-24.u40	They voted 149 MPs in the House and 1 online "150" total: 148 in the Chamber and 1 online " 149" total, not against, abstention 1. The motion is accepted. I put to the vote the entire name of the division, as has already been amended "Transitional and final provisions', as well as paragraphs 7 and 8. Eva Miteva? Lyubomir Karimansky?
ParlaMint-BG_2022-03-24.u41	Yeah.
ParlaMint-BG_2022-03-24.u42	Thank you. Pavel Christov? They voted 142 MPs in the Chamber and 1 online. 143 total: 130 in the Chamber and 1 online. 131 in total, against 12 abstentions. The motion is accepted. Here you go, Mr. Mateev.
ParlaMint-BG_2022-03-24.u43	Proposal of the MP Mustafa Karadayi and a group of MPs. The Commission supports the proposal in principle. The Commission proposes to establish § 9: ..................................................... (1) Within six months of the entry into force of this law, the State Agency of National Security shall verify the existence of grounds for the cancellation of naturalization on all cases of acquisition of Bulgarian citizenship under the repealed art. 14a as from its entry into force. (2) In cases where the period of the cancelled art. 22, para. 1, t. 4 has not expired, the check under Paragraph 1 shall be carried out within six months of its expiry. (3) The Ministry of Justice shall provide the State Agency with information on the expiry of the time limits under the repealed art. 22 for each individual case of acquired under the repealed art. 14a Bulgarian citizenship. (4) Information on the results of the verification under para. 1 and 2 shall be granted to the Minister of Justice with a view to assessing the application of his powers under art. 31, para. 2. Proposal of the MP Mustafa Karadayi and a group of MPs: Paragraph 10 shall be inserted: ..................................................... In the Law on Foreigners in the Republic of Bulgaria art. 25, para. 1 of t. 6 to t. 8 including... to drop out......................................................................................................... The Commission does not support the proposal.
ParlaMint-BG_2022-03-24.u44	Thank you, Mr. Mateev. I am opening a discussion on § 9 and the proposal of Mustafa Karadayi and a group of MPs to create § 10 which is not supported by the Commission. Anyone who wants to make a statement? Mr. Mateev, come in for a statement.
ParlaMint-BG_2022-03-24.u45	Thank you, Mr. Chairman. On the basis of art. 80, para. 2 I am making the following proposals for editorial amendments to the texts of § 9, and the proposal is that the text of Bulgarian citizenship should become an acquired Bulgarian citizenship and at the end the words of its entry into force will be dropped.
ParlaMint-BG_2022-03-24.u46	Okay. That's al. 1 of § 9 to be replaced by the acquisition. In other words, it becomes a case in all cases of acquired Bulgarian citizenship according to the order of art. 14 a.m. and a.m. due to its entry into force. the following point (a) is inserted after point (b) of point (i) of point (i) of point (i) of point (i) of point (i) of point (i)
ParlaMint-BG_2022-03-24.u47	And one correction by para. 3 in order to specify the text after............................................................................................... The following shall be added to the list: 1, t.
ParlaMint-BG_2022-03-24.u48	In para. Article 3 of the repealed art. 22 put a comma and the text. 1, t. The expiry of the time limits under the repealed art. 22, para. 1, t. 4. Thank you. Replices to Milen Mateev? I can't see. For a statement? Here you go, Mr. Zarkov.
ParlaMint-BG_2022-03-24.u49	Mr. Chairman, ladies and gentlemen of the House! With the vote on these final paragraphs on the proposed draft bill, the Bulgarian State will finally cancel the possibility of acquiring citizenship against investment, the so-called gold passports, which caused brocades not only in our country, but also in the international press, and in the European Commission and institutions. So far, after many years of trying our country to take advantage of its citizenship, as others have done to attract investment. These attempts were not successful, on the contrary, a scheme was created. Therefore, in the process of work, it is considered that these investments should be terminated, and the proceedings that have been initiated by this time in an old order, and should be said, in an older order, as proof that these investments were not ultimately those that we were looking for as a state, is the fact that after the past National Assembly and a special temporary committee created clearer criteria for which investments give this right, namely that they should be sufficiently sustainable, durable, real, creating jobs, then did not act as far as I am aware, nor any such request. Moreover, the Bill provides that, on a proposal from the DPS, which was adopted and further worked by the Working Group and the Commission, an examination of everything that has happened so far in these texts should be carried out. I think that this bill today, after it is adopted, on the one hand, will remove Bulgaria from the list of countries that are under particular surveillance on this issue by the European Commission, but on the other hand, is a result of deep reflection on how we can actually attract investment, how it should be legalized, how it should not be acted in a conjunctural way and how every idea can be reversed in practice in order to benefit from it people who eventually wave their Bulgarian passport around the country without investing who knows what in our economy. This is an important moment not least because it took several years for the National Assembly to reach this point. I call on you to vote on the texts as they have been reported by the President, including the technical amendments that have been made here in this House, and to note the fact that the Bill has been adopted unanimously by all the parliamentary groups, which is still an indication that when the issues are placed sufficiently well and they are worked on sufficiently expertly and calmly, even in the tense environment in which we live, we can agree.
ParlaMint-BG_2022-03-24.u50	Thank you, Mr. Zarkov. Are there any lines to Krum Zarkov? Here you go, Mr. Hamid.
ParlaMint-BG_2022-03-24.u51	Thank you, Mr. Chairman. Honourable Members of the National Assembly! I thank Mr. Zarkov for the words he said. Yes, with this law, we have put an end to a serious dispute over these years whether or not to have this investment citizenship. We managed to remove Bulgaria from the list of countries which the European Commission and the European Parliament pointed to for sale of Bulgarian citizenship. However, what we have failed to do, Mr. Zarkov, is the problem of staying on the basis of investment. Therefore, we will also submit the relevant proposals in the coming months to resolve this problem. Whether we cancel it entirely or introduce stricter regulation, we are about to see. In the form of this line, I would like to thank all the parliamentary groups and congratulate the working group on the good work it has done. I will confirm once again the words of Mr. Zarkov and our opinion that when there are clearly defined objectives, when the problem is defined, we can all work together and do something useful for the state. Thank you.
ParlaMint-BG_2022-03-24.u52	Thank you, Mr. Hamid. Second line to Krum Zarkov? I won't. For the coat, Mr. Zarkov, come in.
ParlaMint-BG_2022-03-24.u53	Thank you, Mr. Chairman. Ladies and gentlemen of the House! Dear Mr Hamid, the question of so-called golden visas is also on the agenda. It is also on the agenda in Europe. You're well aware. You know that while we were debating the latest final versions of this bill, a debate was held in the European Parliament. The European Parliament adopted an own-initiative report on which Bulgarian MEPs worked, and Elena Yoncheva from the Group of Socialists and Democrats actively worked, which, however, did not make the same recommendation as for citizenship. It's definitely a risk. It is defined as a risk by the European institutions and will be walked, to the extent that at least the European Parliament has declared a common European regulation on this issue, and on this issue, namely, criteria similar to those we have introduced, but perhaps too late, for citizenship, so the issue is absolutely on the agenda. We did not accept this proposal of yours for its complete annulment because it seemed premature and insufficiently studied in view of the development of the European debate. But you are fully within your right to place it, and it will no doubt be on the Parliament's attention in the coming months and years.
ParlaMint-BG_2022-03-24.u54	Thank you, Mr. Zarkov. Are there any other speeches? I won't. I'm calling off the discussion. Let's move on to the vote. First of all, I put to the vote the editorial proposals made by Milen Mateev in the text of § 9. The editorial proposals are: in para. 1 of row four, the words "acquired' shall be replaced by "acquired'; also at the end of para. 1 comma and the text read since its entry into force shall be deleted; the last editorial amendment shall be in para. 3 of row 3 A semicolon shall be added to the comma and placed on the list. 1, t. 4............................................................................................ These are the editorial proposals. We vote 'em enbloc. Eva Miteva? Lyubomir Karimansky?
ParlaMint-BG_2022-03-24.u55	Yeah.
ParlaMint-BG_2022-03-24.u56	Pavel Christov? They voted 171 MPs in the Chamber and 1 online.. in total 172: 171 votes for the House and 1 online.. 172, against and abstention. The proposals have been accepted. We are going to vote on § 9, which is in the version of the Commission, in accordance with the editorial amendments already adopted on a proposal from Milen Mateev. We are voting §9, colleagues. Eva Miteva? Lyubomir Karimansky?
ParlaMint-BG_2022-03-24.u57	Yeah.
ParlaMint-BG_2022-03-24.u58	Thank you. They voted 170 MPs in the Chamber and 1 online.. a total of 171: 170 votes for the House and 1 online.. a total of 171, no objection and no abstentions. The motion is accepted. Finally, I am voting on the proposal of MP Mustafa Karadayi and a group of MPs to create a new § 10 which is not supported by the Budget and Finance Committee. Eva Miteva? Lyubomir Karimansky?
ParlaMint-BG_2022-03-24.u59	That's against it.
ParlaMint-BG_2022-03-24.u60	Thank you. They voted 154 MPs in the Chamber and 1 online.. 155 total: 41, against 80 in the Chamber and 1 online.. 81, abstentioned 33. The proposal of Mustafa Karadayi and a group of MPs is not accepted. With this, the Second Voting Bill has been adopted and this has exhausted the item on the agenda. Moving on to the next point of the program: HEARING OF THE MANAGER OF THE NATIONAL HEALTH COSSE FIVE COSSE SALCHEV 110 OF THE RULES ON ORGANIZATION AND WORK OF PEOPLE'S COLLECTION ON GENERAL, EXPLAINATION, REMONT AND CONTROL FOR THE REPRESENTATION OF EXAMINATIONS AND EXAMINATIONS FOR THE NEEDS OF PEOPLE WITH CONVERSATIONALS IN THE LAW ON PEOPLE WITH CONVERSIONS. We voted on Petko Salchev last week for the hearing, so Mr. Salchev can be invited to the Chamber. Here you go, Professor. Procedure, come in.
ParlaMint-BG_2022-03-24.u61	Thank you, Mr. Chairman. Dear Mr. Chairman, honourable Members! My procedure is for you in connection with Mr. Salchev's hearing. Last week started this hearing and we heard here from the stands Mr. Salchev to express his opinion regarding the review of the regulations related to the provision and repair of medical devices, aids, gadgets and facilities. However, it has also not reached enough time to explain in detail what organisation will be established after 1 July 2022. When they really need to pass these items to the National Health Insurance Fund. My procedure is for you to ask Dr. Salchev once again to come out here from the stands a little more in detail to explain the organization that will be established after 1 July so that all MPs can get acquainted in detail, while also people who listen to this hearing, who are interested in these issues, gain more and real idea of what the procedures will be after 1 July. Thank you.
ParlaMint-BG_2022-03-24.u62	Thank you, Mrs. Zhekova.
ParlaMint-BG_2022-03-24.u63	It's a counterproposal.
ParlaMint-BG_2022-03-24.u64	Here you go, Professor.
ParlaMint-BG_2022-03-24.u65	Thank you, Mr. Chairman. We have an opportunity to listen to Professor Salchev. Those who understand the problem, because it is quite specific, I don't know if it is familiar with the problem in the necessary professional angle, are aware of how things stand. Prof. Salchev presented these last time, now it is time for a discussion in the Chamber. Any political power to say its opinion on this issue. There is a former minister here who was preparing part of the transition, he can also say what he thinks, we will say, and see what comes out of all of this. But the question is extremely serious. We can't keep throwing it around like the tyrant from one sitting to another, so we can prepare ourselves better so we can shine loudly. Whoever understands the problem will now speak and see, and again we can ask Professor Salchev's opinion. Thank you, Mr. Chairman.
ParlaMint-BG_2022-03-24.u66	Thank you, Professor. Technically speaking, an importer's statement was made in the past and the opinion by Professor Salchev was also made, so we are at the stage of questions from the parliamentary groups. Within the framework of the questions can certainly be addressed also the topic that Mrs. Zhekova mentioned and to hear the opinion of Professor Salchev. Let's move on to two rounds of questions. Is there a question for Petko Salchev? I won't. From the parliamentary group of GERB-SDS? Here you go, Mrs. Sacheva.
ParlaMint-BG_2022-03-24.u67	Dear Mr. Chairman, honourable Members of the National Assembly! Dear Professor Salchev, in the specification of aids and medical devices for people with disabilities are rewritten lists that date back to the last century, and some of the funds inside are far from being able to be called modern. At the same time, you know that the amount of current payments is fixed by 2008, that is, there is no way to pay an average price for the last three years, because the amount of funds is fixed 14 years ago. In this regard, my question is: are you providing for an update to the National Health Insurance Fund's budget from July to update the list of new high-quality technical resources, possibly at what time do you intend to update the lists, because you know that new innovations are constantly emerging, and that would, of course, lead to a higher amount of payment? And why are there no criteria and requirements in terms of prosthetics and ortesis? Very detailed are described requirements that relate to dental dentures, but for manufacturers of upper and lower limbs requirements are almost missing. How will contracts be concluded with producers? Thank you.
ParlaMint-BG_2022-03-24.u68	Thank you, Mrs. Sacheva. Come in for an answer, Professor Salchev.
ParlaMint-BG_2022-03-24.u69	Mr. Chairman, ladies and gentlemen of the House! Thanks for asking. The specification is really outdated, we don't deny it. The specification and the money that is translated is actually based on this specification, which is provided for under this budget. The specification hasn't been changed for a long time. Under the new regulations. I would like to inform the Members of the National Assembly that the Interdepartmental Group is meeting today at its last meeting, as I announced last time, in order to confirm the four legal documents required by the end of this month to be adopted, and to propose to the Supervisory Board of the National Health Insurance Fund a change in the National Health Insurance Fund Regulations relating to the administration of this process. I'd like to make a quick detour. What is a medical device and what is an aid? Medical devices are all those products that are related to diagnostic-therapeutic processes and are used during therapies. The aid is what improves quality of life. It's not about treatment, diagnosis and so on. It is in this regard that what Mrs. Sacheva said, ortesis and prosthetics are individual developments for the individual and cannot be mass production. This process has not been sufficiently provided for in the legislation so far, and therefore, in the new legislation, individual orts and dentures will not be widely offered by the relevant retailers and retailers, but the process of their production and payment should be developed to improve the quality of life of the disabled citizen concerned. The criteria and specifications for the regulations proposed by us, the lists must be updated every year when the auctions are launched. For this year, we have not had the opportunity to take any measures to update the lists due to the reduced deadlines and the need to change the regulations and this is already provided that every year the National Health Insurance Fund will adopt lists which, respectively, with the Agency for Persons with Disabilities and with other agencies, and with the representatives of people with Disabilities will be updated so that the allocated funds of the State are directed towards those people who need to improve the quality of life.
ParlaMint-BG_2022-03-24.u70	Thank you, Professor Salchev. We are moving on to a question by the Movement for Rights and Freedoms. Here you go, Dr. Ademov.
ParlaMint-BG_2022-03-24.u71	Thank you, Mr. Chairman. Ladies and gentlemen of the House! Dear Professor Salchev, from the exhibition you presented last week to the MPs, it is clear that it is finally finalized or we are up to the final of the topic, which lasts more than 10 years, and this topic is related to whether the National Health Insurance Fund has the right to pay technical assistance, gadgets, facilities and medical devices outside the scope of health insurance. Why do I say that this issue is extremely important? Because we finally have to assume that the granting and payment of these auxiliary technical means is part of the medical activity. Why? Because, thanks to the technical assistance, the treatment can be influenced in one direction or another. If these auxiliary technical tools meet certain standards and if they are sufficiently qualitative, this may contribute to a favourable development of the healing process and vice versa, but this is a subject with a continuation that can be discussed further. My questions are related to how reliable is the information connectivity between the LKK, between the National Health Insurance Fund, between TelK, NELK and the National Health Insurance Fund, how reliable is information connectivity with the Agency for Disabled Persons, where is the register of disabled persons entitled to technical assistance, and to what extent is information connectivity with companies providing technical assistance reliable? From this point of view, I can give some advice from the practice in recent years. The National Insurance Institute is the one committed to the electronic payment of hospital sheets based on such information connectivity, and this is the experience that can be used by the National Health Insurance Fund. The bigger problems lie ahead, because perhaps in the attitude we will express this topic, the main issues related to the provision, granting and payment of the technical assistance remain unresolved regardless of the new mechanism that is being proposed, but for this a little later.
ParlaMint-BG_2022-03-24.u72	Thank you, Mr. Ademov. Here you go, Mr. Salchev.
ParlaMint-BG_2022-03-24.u73	Mr. Chairman, Dr. Ademov, ladies and gentlemen of the House! A very up-to-date question asked Dr. Ademov about the connectivity of the systems. Yes, LKK and TELK have a separate system, the National Health Insurance Fund has tasked to connect these systems with the system of the National Health Insurance Fund of the State Company. We have set the deadlines until it needs to be up and updated in order to be able to take effect. The Agency for Disabled Persons has transferred all the database to disabled people to us. And since these are aids that will be written from the LKK and from TELK from now on, these registers will clearly have to be removed from the National Health Insurance Fund. We don't have an interface to the Agency's system for disabled people. The systems that belong to the companies that will be counterparties of the National Health Insurance Fund will be developed by the relevant companies - developers of information products, and we have set the requirements for the file content of these reports, or the so-called XML files that will be received in the National Health Insurance Fund, as well as the electronic reporting of invoices to us. So it will be as digitized as possible so that there is no so-called human error in the movement of these things. There are problems that need to be resolved in the future. We do not say that everything from 1 July will go smoothly, but we hope that it will go so that it does not affect the receiving of the aids and where we find gaps to be corrected together with the other institutions.
ParlaMint-BG_2022-03-24.u74	Thank you, Mr. Salchev. A question from the BSP for Bulgaria. Professor Mikhailov, you have the floor.
ParlaMint-BG_2022-03-24.u75	Thank you, Mr. Chairman! Dear colleagues! Dear Minister Gokov, thank you for having responded to our invitation to come to this hearing and take an attitude towards him! Dear Professor Salchev, I, with all due respect to Dr. Ademov, will not make a comment. He did just one comment in the context of the question. Most of your questions have been raised, which are neural now, I will simply unite them and I will ask you after the systems do not speak actively, after the list Mrs. Sacheva said it contains, so to speak, terminologists who are... here are already telling me from the hall. [[GERB-SDS lines]] Once the deadline for the entry into force of this transfer, to call it in general, is in the holiday period, since you have 28 units against 132 of the Ministry of Social Services, do you think that we will not come to a severe disturbance of the system, and there are no ordinary people against us who are sick. If GERB could do this job, for 10 years they would have done it, they would have put a tape here that they had managed to solve this problem... The regulation was issued on the last day of their regular government's term of office "Principal No 7" and did not pass through the Council of Ministers, this is well known by Minister Sacheva. That is, I see in this an opportunity to create serious problems and I have also talked with associate professor Tonev, I have spoken with colleagues from the coalition format. It should be considered very carefully, to control this task force that organises the transfer, and if it is seen that this is not adequately prepared, that tension can be created in the most vulnerable part of the population... I do not want here, many of you have relatives who are disabled, I do not want to talk to the respected audience and Bulgarian citizens about what problems can lead to an unsuccessful transfer. So I ask you to answer me, as I spoke to you this morning here, you remember very well, do you really think this could happen on July 1st in the middle of the summer, after a trial period? If you intend to assure us that you will declare us as governor of the NHIF that this will happen without problems, I will accept your arguments by listening, of course, to Minister Gokov. Personally, I am very, very worried about both the time of the transfer and the way it has been prepared so far. Thank you, Mr. Chairman.
ParlaMint-BG_2022-03-24.u76	Thank you, Professor. Mr. Salchev, you have the floor.
ParlaMint-BG_2022-03-24.u77	Dear Mr. Chairman, dear Professor Mihailov, ladies and gentlemen of the House! What I think or don't think, I don't think it's in my power. However, I believe that I must carry out what is at stake in the law. Since the Law said that we should take this action on July 1st, we will. I said that both in me and in my colleagues who work at the National Health Insurance Fund, there are fears of making a mistake and so on, but the law said that thing. Whether we have administrative capacity because you highlighted this thing, I can say that we are currently preparing in some way to achieve administrative capacity, but indeed the district cases are 28 have specific tasks. The maximum that we can separate from the staff in the district offices is between one and two people who actually have to stop carrying out their other tasks, and the directorate where colleagues work with the support funds is only 4 people. We said that thing last year when we were building the budget. We've given our signals. Whether they will be adopted and with the update of the budget on 1 July or not, it is no longer up to us, but after the Law has ordered it, we must implement it. Thank you.
ParlaMint-BG_2022-03-24.u78	Thank you, Mr. Salchev. There is such a people? Here you go, Mr. Christov.
ParlaMint-BG_2022-03-24.u79	Dear Mr. Chairman, honourable Members! Dear Professor Salchev, in this whole operation there is another country that we have not commented on so far, this is the country suppliers. Here I would like to ask: is there a willingness to solve the problem of suppliers, as it is currently working for years, and it is working relatively well? Wouldn't in this situation in July there be a vacuum that would leave people unable to receive their funds for the absence of contracts? How are you going to proceed with contracts like this, competitions? Are you practically ready and prepared delivery providers for the aids? Thank you.
ParlaMint-BG_2022-03-24.u80	Thank you, Dr. Christov. Mr. Salchev, you have the floor to answer.
