ParlaMint-BG_2022-02-16.u1	Colleagues, please register. Colleagues online are: Alexandra Milcheva?
ParlaMint-BG_2022-02-16.u101	Thank you, Mr. Petrov. Here you are, Minister, you have the floor.
ParlaMint-BG_2022-02-16.u102	Dear Mr. Chairman, honourable MPs! The subject is really important about how we protect the registers. I would like to draw attention to the fact that in terms of legal technique and legislative economy, there is no point in any law governing a register to describe the same requirements. Those requirements are currently in two places in the regulatory regulations of the Law on Electronic Governance and of the Cyber Security Act, respectively the Ordinance on minimum requirements for network information security and the Ordinance on requirements for registers and information systems. There, these regulations, which have a clear delegation from both laws, list very specific requirements, sometimes even very technological and technical requirements for registers and information systems. The problem that exists is to comply with these regulations, and my task as responsible for implementing them is to apply them, to check in the Ministry how they are respected and to keep the registers in line with them. In terms of legislation, there is no need in the BULSTAT Registry Act to describe these things that already exist as requirements. Thank you.
ParlaMint-BG_2022-02-16.u103	Thank you, Mr. Secretary. Replies to Peter Petrov? I won't. Mr. Stoil Stoilov, please come in.
ParlaMint-BG_2022-02-16.u104	Thank you, Mr. Chairman. Dear ministers, honourable Members of the National Assembly! I wanted to make a statement in general about the Bill because I am one of the importers. The purpose of this bill is to protect the unlimited disclosure of the personal data of the registered in the form of BULSTAT. The general information about them will remain public, but not the one that can identify them as individuals. They've already mentioned exactly what this data is. I would like to congratulate the ministers, who, as soon as the media reported that there was a potential data leak, reacted immediately. We in the National Assembly also reacted immediately. Mr. Gazhev, you said to invite the institutions to listen to the competent institutions what happened. Maybe you didn't notice, we actually did this in the Commission on Electronic Governance and Information Technology... We invited Minister Bojanov, the Registry Agency, the Commission for Personal Data Protection. A few things became clear from this hearing. First, a data leak.. Let's clarify is unauthorised access to data from third parties. There was no such access. There was no data leak! Let's do it a few times. I thank colleagues Stoev and Kyosev for saying that too. There was no data leak. What there was was a statutory publication of legally required data. This is different. This is because the law itself requires that this data be public and that is what we will fix with this bill. These amendments suspend the statutory publication of these data because they must not be made public in substance. Thank you. If there are lines, I'll continue. [[(Private applause from]]
ParlaMint-BG_2022-02-16.u105	Thank you, Mr. Stoilov. Are there any lines? I won't. Anybody else want to make a statement? I won't. I'm calling off the discussion. Dear colleagues, we are going to the first vote of the Draft Law amending and supplementing the BULSTAT Registry Act, No 47-254-01-14, submitted by Atanas Slavov, Iva Miteva, Stoyu Stoev, Stoil Stoilov and Philip Popov on 28 January 2022. Alexandra Milcheva?
ParlaMint-BG_2022-02-16.u106	Yeah.
ParlaMint-BG_2022-02-16.u107	Rosen Turtle?
ParlaMint-BG_2022-02-16.u108	Yeah.
ParlaMint-BG_2022-02-16.u109	Stefan Shilev? They voted 151 MPs in the Chamber and 2 online.. 153 total: 140 in the Chamber and 2 online.. 142 total............................................................................................................................................................................................................................................... The motion is accepted. Mr. Slavov for procedure, then Mr. Stoyu Stoev.
ParlaMint-BG_2022-02-16.u110	Dear Mr. Chairman, honourable Members! In view of the importance of this bill and that no proposals were made within the debate, no requests have been made, that there will be proposals between the two readings, on the basis of art. 88, para. 1 of the Constitution and Article 1 of the Constitution. 76, para. 1 of the Rules of Procedure of the National Assembly, I propose that we proceed to a second vote. That's my procedural proposal. Thank you.
ParlaMint-BG_2022-02-16.u111	Thank you, Mr. Slavov. Stoyu Stoev's procedure has been dropped. Here you go, Mr. Petrov.
ParlaMint-BG_2022-02-16.u112	My fellow Members, I have just mentioned to you that the bill does not provide for procedures, ways of protecting the information arrays and persons responsible for this protection. Although the minister mentioned that this should be settled in regulations, I have slight doubts about the executive authority in general, and many ministers of justice have seen and experienced in their careers that have dealt with the BULSTAT registry. I gave you the example of the NRA. I'm against voting at second reading. I believe that a deadline should be given for making proposals, especially with the debates that have taken place and the public debate, or was there no theft of data for 300,000 people. I am making a reverse proposal to make the standard deadline for proposals to be made by second reading. Thank you.
ParlaMint-BG_2022-02-16.u113	Thank you, Mr. Petrov. We move on to Mr. Atanas Slavov's proposal for a second vote in today's sitting. Alexandra Milcheva?
ParlaMint-BG_2022-02-16.u114	Yeah.
ParlaMint-BG_2022-02-16.u115	Rosen Turtle?
ParlaMint-BG_2022-02-16.u116	Yeah.
ParlaMint-BG_2022-02-16.u117	Stefan Shilev? Vote 158 MPs in the House and 2 online " 160" in total: 125 in the House and 2 online " 127" in total, against 28, abstention 5. The motion is accepted. [[Relation from ARGUMENT: "Prevoting! "]]
ParlaMint-BG_2022-02-16.u118	It's a re-vote. Alexandra Milcheva?
ParlaMint-BG_2022-02-16.u119	Yeah.
ParlaMint-BG_2022-02-16.u120	Rosen Turtle?
ParlaMint-BG_2022-02-16.u121	Yeah.
ParlaMint-BG_2022-02-16.u122	Stefan Shilev? They voted 149 MPs in the House and 2 online "151" total: 118 in the Chamber and 2 online "120" total, against 26, abstention 5. The motion is accepted. We'll move on to a second vote then. [[Noise and Resurrection lines.]] There is no explanation of negative vote on procedural proposals. It's by the book, Mr. Ganev. Here's a procedure in the manner of conduct.
ParlaMint-BG_2022-02-16.u123	Mr. Chairman, it's really more accurate the way it is. I think that you, as President of the National Assembly of the Republic of Bulgaria, when a proposal is made by Mr. Slavov, that there was no obstructions to this bill and that we should proceed immediately, because there will be no proposals, we come out and say that it takes time and we will introduce additional proposals and we will make such a way that we give a different view to some or we will complement some specific things, I think it was quite normal in the spirit of democracy and parliamentaryism to give this right to us. At the very least, the self-declared Democrats to withdraw their proposal, because, again, we have stood up and said that we have concrete proposals that we will enter. Henceforth, this whole thing that we are observing does not honor the entire parliament for voting nevertheless not to give us the right to enter proposals.
ParlaMint-BG_2022-02-16.u124	Thank you, Mr. Ganev. Mr. Stoilov, are you here for procedure? Here you go.
ParlaMint-BG_2022-02-16.u125	Mr President, I believe that you have quite rightly proposed a vote and we have agreed to move on to a second reading, because the bill, I think, is indisputable. I don't see what big changes can be proposed between the two readings. I understand that my colleagues at the age want to put something on top and try to make it their own. Let's all agree that the bill is good, makes quite normal changes and there is no need for changes between the two readings. Thank you. [[Noise and Resurrection lines.]] We don't have to waste time.
ParlaMint-BG_2022-02-16.u126	Thank you very much. [[Loud noise.]] Colleagues, please order in the court. I ask for silence and no such discussions from the place. Thank you. [[Reply from the National Representative Nastimir Ananiev.]] One second, Mr. Ananiev. The procedure for adopting two votes in one sitting may be applied if no proposals for amendment or supplement to the bill have been made during the discussion. That's the way it is. 76, para. 2. My impression of the discussion is that requests for proposals, of course, not entered, were not during the discussion of the Bill. Thank you. We are moving on to the second vote, which has already been voted on. Mr. Stoev, are you going to present the texts? Here you go.
ParlaMint-BG_2022-02-16.u127	The Law on the Register BULSTAT (prom., SG No. .). § 1. In Article 4 (1) (b), point (c) is replaced by the following: 7 the following amendments and additions are made: 1. In para. 1, t. 8 words on the territory of the country with all state institutions are deleted. 2. In para. 2: (a) point 2 is amended as follows: "2." details of the person: (a) names; (b) citizenship; (c) BNN, LNC or other foreign person identification number, date of birth for foreign natural persons; (d) type of identity document. (b) point 4 is amended as follows: "4." address for correspondence, telephone, fax, e-mail address, and: (a) permanent and current address for Bulgarian citizens; (b) permanent and current address or residence address for foreign natural persons resident in the country, respectively, for foreign natural persons. 3. They're creating an al. 5 and 6: . (5) The persons referred to in art. 3 declare entry in the BULSTAT register website if they have one. (6) Communications to natural persons under art. 3 shall be sent to their requested address for correspondence. When a person by art. 3 has indicated in the application that it wishes to be notified by electronic means, messages shall be sent to the e-mail address indicated by it. In this case, confirmation of receipt is not required. § 2. In Article 8, paragraph 8 is replaced by the following: 1 is amended as follows: 1 The information in the BULSTAT register shall be public, with the exception of the CNN, LNNC or other foreign person identification number, date of birth, data necessary for the Register of Statistical Units designated by the order of the Executive Director of the Registry Agency on a proposal from the President of the National Statistical Institute, address of the property for persons under art. 3, para. 1, t. 10 letter (b), permanent and current address (s) for Bulgarian citizens, permanent and current address (s) for foreign individuals resident in the country, respectively for foreign natural persons.
ParlaMint-BG_2022-02-16.u128	Thank you, Mr. Stoev. I am opening a discussion on the name of the bill, paragraphs 1 and 2, which was read by Stoyu Stoev. Anyone who wants to make a statement? There aren't any people who want to make a statement. I'm calling off the discussion. Let's move on to the vote. We vote on the name of the Bill, § 1 and § 2. Alexandra Milcheva?
ParlaMint-BG_2022-02-16.u129	Yeah.
ParlaMint-BG_2022-02-16.u130	Rosen Turtle?
ParlaMint-BG_2022-02-16.u131	Yeah.
ParlaMint-BG_2022-02-16.u132	Stefan Shilev? I'm calling off the vote. Vote in this House 141 MPs and online 2, total 143: for 124 and 2 online " 126" total, against 12, abstention 5. The motion is accepted. Here you go, Mr. Petrov.
ParlaMint-BG_2022-02-16.u133	Dear Mr. Chairman, my speech is in the manner of conduct. As far as I'm aware of art. 76, para. 2 of the Rules of Procedure, the National Assembly may exceptionally decide that the two votes be held in one sitting, but that provision shall apply only if no proposals for amendment or supplement to the bill have been made during the discussion. I went out twice, Mr. Chairman, to say that three proposals are needed. I will quickly repeat them: the way the arrays are stored with personal information; the procedures to be applied against the theft of information, the mass draining of personal data that has occurred; and the persons who should be responsible for these data protection processes. I will ask my colleagues another time to take a line from me so that we can have a debate on whether the Law is indisputable or controversial and whether the proposals are necessary or not. I'm gonna have to ask you a line. But Mr. Chairman, it seems to me that the vote would only be admissible if there were no such proposals as I believe we have spoken twice. So if you could just give us an explanation. 2, I think it will be useful for the future next votes on one day, first and second reading by the ruling majority. Thank you.
ParlaMint-BG_2022-02-16.u134	Yes, thank you, Mr. Petrov. You've touched on these topics, but I don't think you've made an offer. Here you go, Mr. Ananiev.
ParlaMint-BG_2022-02-16.u135	Dear Minister! Dear Mr. Chairman, I just wanted to point out to you that your decision was really correct, and to Mr. Petrov, I wanted to say that I listened very carefully because I thought I would replicate it. He commented on topics but did not say he would make a proposal. He can hear himself in the transcription. So they need to be a little clearer when colleagues want to make proposals and say they're going to make them. I listened carefully and heard that there were comments, but not a request for proposals. Thank you. [[Applause from "We are continuing the Change."]]
ParlaMint-BG_2022-02-16.u136	Thank you, Mr. Ananiev. Mr. Stoev, would you like to introduce us to the next paragraphs on the bill?
ParlaMint-BG_2022-02-16.u137	.................................................. In Article 4 (1) (b), point (c) is replaced by the following: 36 the following amendments and additions are made: 1. In para. 1 in the text before t. 1 after the words "Consequences in" the public part is added. 2. In para. 2 words under art. 8, para. In the public part of the BULSTAT register, 1' are replaced by "in the public part of the BULSTAT" register. 3. In para. 3 after the words "in" the public part of "the public part of" shall be added. 4. In para. 4 A sentence is created second: The references and certificates shall be provided after the application and submission of an identity document. 5. In para. A sentence 2 shall be created: "Securities through remote access and certificates in electronic form shall be provided after identification of the applicant by qualified electronic signature or digital certificate issued by the Agency.' 6. The creation of para. 6: The data of persons requesting a reference or certificate shall be kept in the Registry Agency within the time limits required. § 4. In Article 4 (1) (b), point (c) is replaced by the following: 37 the following amendments and additions are made: 1. In para. 1 t. Two is canceled. 2. In para. 2 words. 1, t. 2 and 3 and 3 shall be replaced by......................................................................................................... 1, t. 3. They're creating an al. 4 and 5. . (4) The Registry Agency shall ensure registered access to the data and circumstances recorded in the BULSTAT registry which are not public. (5) Access under para. 4 may be provided after identification of the applicant by qualified electronic signature or by a digital certificate issued by the Agency. The data of the applicant requesting access shall be kept in the Registry Agency within the statutory time limits. Data may be provided to the person to whom the application relates after the request has been made.
ParlaMint-BG_2022-02-16.u138	Thank you, Mr. Stoev. I am opening a discussion on paragraphs 3 and 4, presented by Stoyu Stoev. Anyone who wants to make a statement? I won't. I'm calling off the discussion. Moving to vote on paragraphs 3 and 4. Alexandra Milcheva?
ParlaMint-BG_2022-02-16.u139	Yeah.
ParlaMint-BG_2022-02-16.u140	Rosen Turtle?
ParlaMint-BG_2022-02-16.u141	Yeah.
ParlaMint-BG_2022-02-16.u142	Stefan Shilev? I'm calling off the vote. Vote in this House 139 Members of Parliament and Online 2 supposed 141: for 124 and 2 online suppose 126, against 11, abstention 4. The motion is accepted. Here you go, Mr. Stoev.
ParlaMint-BG_2022-02-16.u143	"Transitional and final provisions." § 5. (1) Within two months of the entry into force of this Act, the Registry Agency shall ensure that it is technically possible to implement it. (2) Person under art. 3, which does not have an address for correspondence until the entry into force of this law, shall state an address for correspondence within the period under para. 1. Upon the entry of the correspondence address, the permanent address of the person shall be deemed to be the address for correspondence and the communications sent to him shall be sent on a regular basis. (3) Within two months of the entry into force of this law, the persons referred to in art. 3 declare entry in the BULSTAT register website if they have one. § 6. The law shall enter into force from the day of its promulgation in the Official Journal.
ParlaMint-BG_2022-02-16.u144	Thank you, Mr. Stoev. I am opening a discussion on the name of the section, § 5 and 6 presented by Stoyu Stoev. Anyone who wants to make a statement? I won't. I'm calling off the discussion. We are going to vote on the name of the section, § 5 and 6. Alexandra Milcheva?
ParlaMint-BG_2022-02-16.u145	Yeah.
ParlaMint-BG_2022-02-16.u146	Rosen Turtle?
ParlaMint-BG_2022-02-16.u147	Yeah.
ParlaMint-BG_2022-02-16.u148	And Stefan Shilev? They voted 137 MPs in the House, plus 2 online, 139 total: 124 in the Chamber plus 2 online, 126 total, against 9, abstention 4. The motion is accepted. This concludes with the Bill amending and supplementing the BULSTAT Registry Act, which we also adopted in the second vote. Moving on to the next item on the agenda: THE LAW FOR CHANGE AND CLEARANCE OF THE LAW FOR ELECTRONIC MANAGEMENT. Thank you, Madame Minister! A Report from the Commission on Electronic Governance and Information Technology on the Law amending and supplementing the Law on Electronic Governance adopted on 3 February 2022, No 47-202-01-3, submitted by the Council of Ministers on 25 January 2022, was received. Mr. Simeonov, come in.
ParlaMint-BG_2022-02-16.u149	Thank you, Mr. Chairman. Report on the First Voting of 3 February 2022 Draft Law amending and supplementing the Law on Electronic Governance, No 47-202-01-3, submitted by the Council of Ministers on 25 January 2022. Law amending and supplementing the Law on Electronic Governance. The Commission supports the text of the importer on the name of the Law. Under § 1, there is a proposal from the National Representative Kiril Simeonov, made in accordance with Article 1. 79, para. 6, p. Two of the subs. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 1: ................................................................................... In Chapter One, the name of Section I is amended as follows:. The Commission shall support the text of the importer for § 2. The Commission shall support the text of the importer for § 3. Under § 4, there is a proposal from the National Representative Kiril Simeonov, made in accordance with Article 4. 79, para. 6, p. Two of the subs. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 4: ............................................ In Article 4 (1) (b), point (c) is replaced by the following: 7c the following amendments and additions are made: 1. The title is amended as follows: 2. The creation of para. 1: (1) The Minister of Electronic Governance shall conduct state policy in the field of e-government and in the field of information society and information technology in interaction with other executive bodies. 3. So far, text becomes para. 2 and in it: (a) the text before t. 1 is amended as follows: (b) c. 1: (aa) The text prior to the letter..................................................................................................................:suppression; (bb) point (s) is amended as follows: (s) information technology and information society; (c) c. 3 at the end of the year, the strategies in the field of information technology and information society are added and their implementation is ensured; (d) point 13 is amended as follows: "13." implement projects relevant to all administrations in the field of electronic management, information technology and information society; (e) point 21 is repealed; (f) create t. 24 - 30: It's 24 o'clock. prepare projects of international treaties to which the Republic of Bulgaria is a country in the field of electronic management, information technology and information society and ensure the implementation of international treaties in these areas; 25. ensure the implementation of the commitments of the Republic of Bulgaria in the field of electronic management, information technology and information society related to its membership in the European Union and international organisations, including by representing the Republic of Bulgaria in international organisations in the field of electronic management, information technology and information society; 26. support the development and introduction of standards and standardisation documents relating to electronic management, information technology and information society; 27. participate in the work of international standardisation organisations and technical standardisation committees in the Republic of Bulgaria related to electronic management, information technology and information society; 28. establish investment programmes and projects in accordance with priorities in the field of electronic management, information technology and information society; 29. conduct inter-agency coordination in the preparation and submission of draft legislative acts of the Council of Ministers in the field of electronic management, information technology and information society; 30. exercises other powers provided for in a law or in another regulatory act.
ParlaMint-BG_2022-02-16.u150	Thank you, Mr. Simeonov. Let's stop by § 4. I am opening a discussion on the name of the Bill and paragraphs 1 to 4. Is there anyone who wants to make a statement? I don't see anyone who wants to. I terminate the debate on the name and paragraphs 1 to 4. Let's move on to the vote. Colleagues online: Alexandra Milcheva?
ParlaMint-BG_2022-02-16.u151	Yeah.
ParlaMint-BG_2022-02-16.u152	Rosen Turtle?
ParlaMint-BG_2022-02-16.u153	Yeah.
ParlaMint-BG_2022-02-16.u154	Stefan Shilev? They voted 125 MPs in the House plus 2 online, a total of 127: 125 in the Chamber plus 2 online, a total of 127 against and abstention. The texts have been adopted. Mr. Simeonov, please continue with § 5.
ParlaMint-BG_2022-02-16.u155	Thank you. Proposal by the National Representative Kiril Simeonov, made in accordance with the order of art. 79, para. 6, p. Two of the subs. The Commission supports the proposal. The Commission proposes to create a new § 5: .................................................................................. In Article 4 (1) (b), point (c) is replaced by 1. In para. 1 the words "the Head of the Agency" shall be replaced by "the Minister of Electronic Governance." 2. In para. 2, in the text before t. 1 the words "the chairman of the agency" shall be replaced by "the minister of e-government." Proposal by the National Representative Kiril Simeonov, made in accordance with the order of art. 79, para. 6, p. Two of the subs. The Commission supports the proposal. The Commission proposes to create a new § 6: ........................................................... In Article 4 (1) (b), point (c) is replaced by the following: 17, para. 2 the words "The State Agency" "E-Management" shall be replaced by "E-Management" and "E-Management" and "E-Management" shall be replaced by "E-Management" and "E-Management" and "E-Management" shall be replaced by "E-Management" and "E-Management" shall be Proposal by the National Representative Kiril Simeonov, made in accordance with the order of art. 79, para. 6, p. Two of the subs. The Commission supports the proposal. The Commission proposes to create a new § 7: .................................................... In Article 4 (1) (b), point (c) is replaced by the following: 57, para. 1 the words the Chairman of the State Agency "E-Management" shall be replaced by the Minister of e-Management. The Commission shall support the text of the importer for § 5, which shall become § 8.
ParlaMint-BG_2022-02-16.u156	Thanks, let's stop here. Colleagues, I'm opening a discussion on § 5 to § 7. Is there anyone who wants to make a statement? There aren't any. I'm closing the debate. Please vote on § 5 to § 7 and § 5 becomes § 8. Colleagues online: Alexandra Milcheva?
ParlaMint-BG_2022-02-16.u157	Yeah.
ParlaMint-BG_2022-02-16.u158	Rosen Turtle?
ParlaMint-BG_2022-02-16.u159	Yeah.
ParlaMint-BG_2022-02-16.u160	And Stefan Shilev? They voted 120 MPs in the House plus 2 online, total 122: for 120 in the House plus 2 online, total 122, against and abstaining there is no. The texts from § 5 to § 7 and § 5 were adopted which became § 8. Continue with the name of the section, Mr. Simeonov.
ParlaMint-BG_2022-02-16.u161	Thank you. "Additional provision'. The Commission shall support the text of the importer on the name of the subdivision. Under § 6 there is a proposal from the National Representative Kiril Simeonov, made in accordance with Article 6. 79, para. 6, p. Two of the subs. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 6, which shall become § 9: ..................................................... In the other texts of the Law, the words: 1. E-Management and the Agency shall be replaced by E-Management. 2. The Chairman of the State Agency............................................................................................................................................................................................................................................................ "Transitional and final provisions." The Commission shall support the text of the importer on the name of the subdivision. The Commission shall support the text of the importer for § 7, which shall become § 10. Under § 8 there is a proposal from the National Representative Kiril Simeonov, made in accordance with Article 8. 79, para. 6, p. Two of the subs. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 8, which shall become § 11: ..................................................... (1) The State Agency of Electronic Management of the Council of Ministers shall be closed. (2) The Council of Ministers shall set up a liquidation commission which, within three months of the entry into force of this Act, governs the relations relating to the closure, including the assets, liabilities, registers, databases, archives, other rights and obligations of the closed agency, and shall regulate the employment and service relations with the employees. (3) The powers of the President and of the Vice-Presidents of the State Agency shall be terminated from the date of entry into force of this Act. (4) Until compliance with this law with the Rules of Procedure of the Ministry of Electronic Governance, the powers of the Minister of Transport and Communications in the field of Information Technology shall be exercised by him in the current order.
ParlaMint-BG_2022-02-16.u162	Let's stop here. I am opening debates on the name of the division of the additional provision, as well as § 6, which becomes § 9, the name "Transitional and final provisions" § 7, which becomes § 10, § 8, which becomes § 11. Are there any people who want to make a statement, colleagues? I can't see. I'm calling off the debate. Please vote on the texts presented by Mr. Simeonov. Colleagues online: Alexandra Milcheva? Rosen Turtle?
ParlaMint-BG_2022-02-16.u163	Yeah.
ParlaMint-BG_2022-02-16.u164	Stefan Shilev? They voted 122 MPs in the House plus 1 online, a total of 123: for 122 in the Chamber, plus 1 online, a total of 123, against and abstention. The motion is accepted.
ParlaMint-BG_2022-02-16.u165	Paragraph 9 "A proposal from the National Representative Kiril Simeonov, made in accordance with art. 79, para. 6, p. Two of the subs. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 9, which shall become § 12: ................................................................................... In the Civil Procedure Code (prom., SG No. ...), in art. 102d, para. 1, in the text before t. 1 the words the Chairman of the State Agency "E-Management" shall be replaced by the Minister of e-Management. The Commission shall support the text of the importer for § 10 which shall become § 13. Paragraph 11 "A proposal from the National Representative Kiril Simeonov, made in accordance with art. 79, para. 6, p. Two of the subs. The Commission supports the proposal. The Commission shall, in principle, support the text of the importer and propose the following version of § 11, which shall become § 14: ......... 14......................................................................... In the Cyber Security Act (prom, SG No. ...) the following amendments and additions shall be made: 1. In Article 4 (1) (b), point (a) in para. 2 the words "Deputy Prime Minister appointed by the Prime Minister" shall be replaced by "the Minister of Electronic Governance"; (b) in para. 3: (aa) point 5 is amended as follows: It's five o'clock. the Minister for Transport and Communications; (bb) The creation of a t. 8a: Eight o'clock. the Minister of Electronic Governance; (c) point 15 is repealed. 2. In Article 4 (1) (b), point (c) (a) the title shall be amended as follows: b) the text before t. 1 is amended as follows: 3. In Article 4 (1) (b), point (c) is replaced by the following: 13, para. 2, p. 3 in the text before the letter........................................................................................................................................................................................................................................................... 4. Everywhere in the Law, the words "the Chairman of the State Agency".......................................................................................................................................................................................................................................................
ParlaMint-BG_2022-02-16.u166	Thank you, Mr. Simeonov. Let's stop here so we can vote on these three texts. I open the debates under § 9, 10 and 11, which become § 12, 13 and 14 respectively. Please come in for a statement.
ParlaMint-BG_2022-02-16.u167	Thank you, Mr. Chairman. Ladies and gentlemen of Parliament, with regard to § 11 I believe that it is not right to replace this text and to give these powers to the Minister of Electronic Governance. I'll tell you why. With the text proposed before the corrections, it is envisaged that the Chairman of the Cyber Security Council should be Deputy Prime Minister, that is, the Deputy Prime Minister appointed by the Prime Minister. However, we now want to choose, i.e. give these powers to the Minister of Electronic Governance. That is, the Minister of Electronic Governance will be over and will manage deputy prime ministers who are also in the Council. I am referring to the Deputy Prime Minister of Environment and Deputy Prime Minister of... that is, two Deputy Prime Ministers who are on this council, and the Minister will be above them. I believe that these powers are too great, and let us not forget that this Council also includes the Interior Minister and such other organisations that are in terms of security. That's by § 11. Perhaps I wouldn't have said anything about § 10 but given that we will now vote and § 11 and if it is adopted, that is, § 10 also becomes worrying, that is, regarding the Election Code. With regard to the Election Code, let us not forget, honourable Members, that the Electronic Service Agency is the agency that counts and processes the results of the electoral process, that is, a minister who will also have the other powers that I have just spoken about, a minister of certain political power, will also have an influence on this process. And let us not forget that the Minister is not impartial. These are my concerns, so we will vote against. Thank you. [[Applause from DPS.]]
ParlaMint-BG_2022-02-16.u168	Thank you, Mr. Mummyun. Are there any lines to that statement? Docent Slavov, come in for a line.
ParlaMint-BG_2022-02-16.u169	Dear Mr. Chairman, Mr. Minister, honourable colleagues! Dear Mr. Mummyun, let's see the logic behind the proposed amendment to the Law. So far, these functions have been carried out by the State Agency. The Chairman of the State Agency (E-government) is not a member of the Council of Ministers. That is what has required and justified a deputy prime minister, a deputy prime minister, to be president of the Cyber Security Council. But now we're turning the concept around. It is now logical for the Minister of Electronic Governance, who is a member of the Council of Ministers, who enjoys Parliament's trust, to be president of this Cyber Security Council because it bears political responsibility. There is no way to create, so to speak, a two-headed leadership in cybersecurity on the one hand, to have a minister responsible for exercising all the powers vested in him by law and, on the other hand, to seek out any deputy prime minister to monitor overall activity. Please bear in mind this conceptual change in the arrangements proposed, which precisely justifies the Minister of Electronic Governance managing this Council. This would lead to the real implementation of all coordination functions entrusted to that authority. Thank you.
ParlaMint-BG_2022-02-16.u170	Thank you, Professor Slavov. Is there any other line to Mr. Mumeun's statement? Here's a line, Mr. Cholakov. [[Replication of the National Representative Radomir Cholakov: The reply is not.]] Are there any other lines to Mr. Mumeon's statement? For the coat, Mr. Mumeun, come in.
ParlaMint-BG_2022-02-16.u171	Thank you. Yes, I know about logic, I understand what you're saying, but here we're talking about mutual control, that is, you're ruling together, but you're different political parties, that is, in order for there to be mutual control, as it was before, you must not be doing what you now want. That's what I'm talking about, that's what I'm worried about.
ParlaMint-BG_2022-02-16.u172	Thank you, Mr. Mummyun. Come in for a statement, then Mr. Cholakov.
ParlaMint-BG_2022-02-16.u173	Dear Mr. Chairman, Dear Minister Bojanov, ladies and gentlemen of the House! The proposed amendment to § 11 of the bill under consideration of art. 9, para. 2 of the Cyber Security Act is unacceptable for the parliamentary group of GERB-SDS. The proposal envisions that the Chairman of the Cyber Security Council will be the Minister of Electronic Governance, not as in the current law, the Deputy Prime Minister appointed by the Prime Minister. We believe that this change is a mistake, and the arguments for this are: Firstly, the Cyber Security Council is an advisory and coordinating body of the Council of Ministers in view of the fact that cybersecurity in the 21st century is an essential factor affecting critical infrastructure in the public and private sectors and has a direct impact on the national security system. This requires that all power ministers, heads of services concerned with national security be included in the Cyber Security Council. Therefore, as Chairman of the Cyber Security Council, the Law has provided for the Deputy Prime Minister proposed by the Prime Minister. Without diminishing the expertise of electronic governance in the area of cybersecurity, we believe that this change to some extent neglects cybersecurity and the role of the Cyber Security Council. In this regard, we propose in § 11 the proposed change of art. 9, para. 2 drop out of the Bill. Thank you.
ParlaMint-BG_2022-02-16.u174	Thank you, Mr. Iliev. Can we just get this straight?
ParlaMint-BG_2022-02-16.u175	We propose to drop it in § 11 t. 2. In Article 4 (1) (b), point (c) is replaced by the following: 9th para. Two down.
ParlaMint-BG_2022-02-16.u176	Are there any lines to Mr. Iliev's statement? Here you go, Mr. Mirchev.
ParlaMint-BG_2022-02-16.u177	Dear Mr. Chairman, honourable Members! Dear Mr. Iliev, at GERB you had no problem just a year ago being a lady who boasted that she had an IT card. Then we didn't hear in any way that this was a special problem for you. For the second time today, a very schizophrenic attitude by GERB on things that have happened, you have not reacted or for which you are responsible, but suddenly they become a great problem. Ms. Mariana Nikolova was President of the Council, in her own words, had enough certificates and competence for this, but in no way did GERB signal. Suddenly it turns out that when the head of this ministry is the best expert in the country on these issues, this is a great problem for GERB and you need to clear and clarify this thing. The idea of these changes now, and this is the most logical thing that can happen is that the minister, who is really the most familiar with this topic, is to be the chairman of the Cyber Security Council. The most logical thing is this. The fact that he is not a deputy prime minister does not in any way weaken, and by the way, this is extremely important in operational order, because the Cyber Security Council is something quite different from everything we have in the government right now, and the person who is the chairman of this council must have a slightly more specific expertise to make really correct decisions. Thank you.
ParlaMint-BG_2022-02-16.u178	Thank you, Mr. Mirchev. Are there any other lines to Mr. Iliev's statement? Please, you have the floor.
ParlaMint-BG_2022-02-16.u179	Thank you, Mr. Chairman. Dear Minister, dear colleagues! Mr. Iliev, you meant the Law on Electronic Governance, which we did not disagree with in the Commission, but you said about the Law on Cybersecurity. Yes, it is extremely important there and the Minister will feel more at ease when a deputy prime minister or the prime minister is president of the Cyber Security Council, because in the end this concerns national security. I do not think that in the words of colleague Iliev there was anything, as the previous one said, schizophrenic, because in the end this law regulates GERB's policy in electronic management and passage ultimately of the Agency in the Ministry. So, Mr. Iliev, with you and in your speech there is a reason for supporting the Minister of Electronic Governance in the Cyber Security Act there to be the deputy prime minister or prime minister as chairman. Thank you.
ParlaMint-BG_2022-02-16.u180	Thank you, Mr. Ivanov. Third line? Mr. Stoilov, come in.
