ParlaMint-BG_2022-02-17.u1	Honourable Members of the National Assembly, please register. Colleagues online:
ParlaMint-BG_2022-02-17.u21	Dear Mr. Chairman, honourable Members of the National Assembly! ♪ I can't believe for the first vote of the Committee on Constitutional and Legal Issues on a Draft Law amending the Law on Bulgarian Citizenship, No 47-202-01-2, submitted by the Council of Ministers on 18 January 2022, a Bill amending and supplementing the Law on Bulgarian Citizenship, No 47-254-01-1, submitted by Mustafa Sali Karadayi, Yordan Kirilov Tsonev and Delyan Slavchev Peevski on 11 January 2022, and a Bill amending and supplementing the Law on Bulgarian Citizenship, No 47-254-01-8, submitted by Mustafa Sali Karadayi and a group of MPs on 20 January 2022. At a regular meeting held on 2 February 2022, the Committee on Constitutional and Legal Affairs discussed: Draft Law amending the Law on Bulgarian Citizenship, No 47-202-01-2, submitted by the Council of Ministers on 18 January 2022; Draft Law amending and supplementing the Law on Bulgarian Citizenship, No 47-254-01-1, submitted by Mustafa Sali Karadayi, Yordan Kirilov Tsonev and Delyan Slavchev Peevski on 11 January 2022; and Draft Law amending and supplementing the Law on Bulgarian Citizenship, No 47-254-01-8, submitted by Mustafa Sali Karaday and a group of national representatives on 20 January 2022. The meeting was attended by: the Ministry of Justice Mrs. Julia Kovacheva Deputy Minister and Ms. Daniela Belchina Acting Director of the Directorate of Law and Mrs. Biljana Stoykova Head of the Ministry of Interior Mrs. Ludmila Krustanova Head of Sector at the Directorate of Migration, Ms. Nina Chimova Chief Legal Consult and Mrs. Irina Dimitrova Chairman of the Commission on Bulgarian Citizenship to the Vice President of the Republic of Bulgaria; from the State Agency Mrs. Plamen Tonchev President, Mrs. Ani Pironeva Head of Sector, and Mrs. Karakash Director of the Vice-President of the Directorate of the Republic of Bulgaria; from the State Agency Mr. Plamen Tonchev. On behalf of the importer, Law No 47-202-01-2, submitted by the Council of Ministers, was presented by Mrs Julia Kovacheva, who pointed out that it proposes the cancellation of art. 12a and 14a of the Law on Bulgarian Citizenship, which created an opportunity for granting Bulgarian citizenship under light conditions against investments made. Ms Kovacheva drew attention to the European Commission Report of 23 January 2019 on the regimes for granting citizenship and the right of residence in the European Union, applied by the Member States, focusing on the established regimes for granting citizenship against investments in Cyprus, Malta and Bulgaria. She pointed out that the criticisms of the Republic of Bulgaria are related to the possibility of acquiring Bulgarian citizenship against investments under lighter conditions than the usual naturalization regime, not requiring prior effective residence in the country concerned. The Deputy Minister pointed out that the need to abolish the existing mechanism for acquisition of Bulgarian citizenship through investment is also determined by the lack of real investment in the Bulgarian economy, as no new jobs are found through them. The bill does not contain any provisions transposing European Union acts or introducing regulatory regimes. The proposed bill complies with the requirements of the Law on Legislative Acts, the Decree on its implementation and the Rules on Organization and Activity of the National Assembly. On behalf of the importer Draft No 47-254-01-1, submitted by Mustafa Karadayi, Yordan Tsonev and Delyan Peevski, was presented by the National Representative Hamid Hamid, who pointed out that the project aims to eliminate the possibility of acquiring Bulgarian citizenship against investments made in the Republic of Bulgaria and added that a number of reports of the European Commission contain criticism regarding the mechanism for acquiring Bulgarian citizenship against investments. The bill complies with the requirements of the Law on Legislative Acts, the Decree on its implementation and the Rules on Organization and Activity of the National Assembly. The draft was discussed by the Ministry of Justice, the Ministry of Interior, the Ministry of Labour and Social Policy, the Minister of Innovation and Growth and the State Agency of National Security. The opinion of the Ministry of Justice contains objections to the proposal to remove the mechanism for establishing the duration of an investment, as well as to dropping the possibility of obtaining a permanent residence permit in the country of foreigners who made investments in the Republic of Bulgaria. The opinion of the Ministry of Interior shall pay attention to the recommendation of the European Commission on governance mechanisms and follow-up controls, creating effective and transparent means of supervision, accountability and regular follow-up monitoring for the maintenance or increase of the investment, as well as to maintaining annual detailed statistics. The Ministry of Labour and Social Policy, the Ministry of Innovation and Growth and the State Agency "National Security" support the Law given its similar nature with the Law submitted by the Council of Ministers. On behalf of the importer, Law No 47-254-01-8, submitted by Mustafa Karadaye and a group of MPs, was presented by the National Representative Hamid Hamid, who pointed out that it was proposed within three months of the entry into force of the Law to carry out a full examination of all files on the acquisition of Bulgarian citizenship through investment. He added that in the event of a violation of the implementation and maintenance of the investment within the period Bulgarian citizenship will be withdrawn. The draft was discussed by the Ministry of Justice and the State Agency of National Security, which contained objections to the way and the time limit for carrying out the checks. In the course of the public discussion, the President of the Committee on Bulgarian Citizenship to the Vice President of the Republic of Bulgaria Mrs. Irina Dimitrova said she fully supported the draft legislation tabled by the Council of Ministers, as well as the Draft Law, No 47-254-01-1, submitted by Mustafa Karadai, Yordan Tsonev and Delyan Peevski, but expressed reservations regarding the Draft Act, No 47-254-01-8, submitted by Mustafa Karadai and a group of MPs. She objected to the proposal that the results of the checks carried out by SANS should be provided to the Vice President of the Republic of Bulgaria, noting that only the Prosecutor General and the Minister of Justice can initiate proceedings for the abolition of naturalization and for the deprivation of Bulgarian citizenship. The President of SANS Mr. Plamen Tonchev said that he supports the Bill, No 47-254-01-1, which provides for the annulment of art. 12a and 14a, as regards Law No 47-254-01-8, noted that the Ministry of Economy also needed to take part in carrying out the checks. Ms Tanya Karakash drew attention to the insufficient period for carrying out the checks, given the long period from 2013 until the two-year period for maintaining the investment after the acquisition of Bulgarian citizenship. Ms. Ludmila Krustanova emphasized on the proposal for annulment of art. 25, para. 1, t. 6, 7 and 8 of the Law on Foreigners in the Republic of Bulgaria, specifying that the Migration Department authorises the residence of foreigners in the territory of the Republic of Bulgaria and controls foreign investors. She added that the reason for authorising residence is the recognition, establishment and verification of the investment made, focusing on the need to establish a national mechanism for the control of such investments, including with regard to their maintenance throughout the period of residence. Deputy Minister Kovacheva said that the Ministry of Justice does not support the proposals for annulment of art. 32a, para. 2 of the Law on Bulgarian Citizenship and of Art. 25, para. 1, t. 6, 7 and 8 of the Law on Foreigners in the Republic of Bulgaria. Ms. Kovacheva noted that the State Agency "National Security" does not have the power to control the legality of the completed administrative processes of naturalization. Mr. Nikola Yankov presented the opinion of the Bulgarian Association of Management Companies and the Bulgarian Association of Licensed Investment Mediators, stating that the Bulgarian regime for granting citizenship against investment is completely equivalent to the regime in other European countries, as well as in the US and Canada. He noted that the Bulgarian regime is much less favourable given the double investment needed to obtain permanent residence in Bulgaria and to acquire Bulgarian citizenship. Mr. Nikola Yankov pointed out that the requirements of the European Commission are aimed at controlling the fulfilment of the conditions for granting Bulgarian citizenship, as well as at controlling the origin of the money. In the discussion of the Bill took part the MPs Nikolina Angelkova, Iva Miteva, Andrey Mihailov, Atanas Slavov, Peter Petrov, Krum Zarkov and Hamid Hamid. To the questions asked by the MP Nikolina Angelkova, the Deputy Minister replied that for the period 2017 "February 2, 2022' 92 persons have acquired Bulgarian citizenship on naturalization on the basis of art. 14a, with the President's Decree taken away the naturalization of 7 persons, added that the Ministry of Justice did not maintain a register of the type and size of investments. Ms. Kovacheva explained that the usual investments made in connection with the acquisition of Bulgarian citizenship are in the purchase of government securities or are invested in a licensed credit institution under a trust management contract MPs Iva Miteva, Andrey Mihailov, Atanas Slavov and Krum Zarkov said they will support the bill tabled by the Council of Ministers. Ms. Miteva drew attention to the lack of subject matter in Law No 47-254-01-8, stating that the proposed transitional norm could find a place in the corps of the Law after the corresponding revision. Mr. Mihailov pointed out that the acquisition of Bulgarian citizenship through investment is not a catalyst of the investment process in the country, which is why it is not justified the existence of the provisions of art. 12a and 14a. People's representative Krum Zarkov said he would not support the draft laws proposed by the DPS, but noted that careful discussion of the proposal to remove the possibility of aliens staying in the Republic of Bulgaria on the basis of investments made in the country is needed. He also objected to the proposal to refer to the Vice President of the Republic in case of irregularities found in proceedings for acquisition of Bulgarian citizenship, believing that the procedure provided for in the Law on Bulgarian Citizenship should be followed. National Representative Petar Petrov said his disagreement with the draft legislation tabled by the Council of Ministers, believing that compliance with the European Commission's requirements on the acquisition of Bulgarian citizenship constitutes a refusal of state sovereignty and interference in the process of granting citizenship. He emphasized on the need to increase control over investments on the basis of which Bulgarian citizenship was acquired and stated his support for the bill providing for verification of all investments for citizenship. After the discussion of the Committee on Constitutional and Legal Affairs: with 12 votes for the Bulgarian citizenship, 1 vote against the Council of Ministers on 18 January 2022; with 2 votes for the Bulgarian citizenship, without the vote of the National Assembly and 13 votes for abstention, propose that the National Assembly should not adopt the Law amending and supplement the Law on Bulgarian citizenship, No 47-254-01-1, submitted by Mustafa Sali Karadayi, Jordan Kirilov Tsonev and Delyan Slavchev Peevski on 11 January 2022; with 3 votes for the Bulgarian citizenship, without the opposition and 12 votes for the National Assembly to the National Assembly not to adopt a first draft amendment to the Law for Bulgarian citizenship on 11 January 2022.
ParlaMint-BG_2022-02-17.u22	Thank you, Mr. Mateev. Also under the Law amending and supplementing the Law on Bulgarian Citizenship, submitted by Mustafa Karadayi and a group of MPs on 20 January 2022, there is also a Report from the Commission on Control of the Security Services, Implementation and Use of Special Intelligence Means and Access to Data under the Law on Electronic Communications. Here you are, Mr. Ikonomov, to present the report on this bill.
ParlaMint-BG_2022-02-17.u23	Thank you, Mr. Chairman. ♪ I can't believe on the discussion and voting of the Draft Law amending and supplementing the Law on Bulgarian Citizenship, No 47-254-01-8, submitted by Mustafa Karadayi and a group of MPs on 21 January 2022. At its regular meeting, held on 3 February 2022, the Commission for Control of the Security Services, the implementation and use of special intelligence means and access to data under the Law on Electronic Communications examined and discussed the Draft Law amending and supplementing the Law on Bulgarian Citizenship, No 47-254-01-8, submitted by Mustafa Karadayi and a group of MPs on 20 January 2022. On behalf of the importer, the bill was presented by the MP Hamid Hamid. He noted that the careful analysis of the action of investment citizenship over the past 9 years has found that this law does not fulfil the functions for which it was introduced. The cancellation of the Golden Passports is considered one of the main conditions for Bulgaria's accession to Schengen and the abolition of US visas. Bulgaria is threatened with criminal proceedings by the European Commission if it does not end this practice. Practically the possibility of obtaining Bulgarian passports against investments has not brought any dividends to the Bulgarian state. It is proposed to carry out a full inspection by the State Agency of National Security (DANS) of all specific cases for the granting of Bulgarian citizenship according to the order of art. 14a from the entry into force of this mechanism until its cancellation. The President of the Commission Mr. Ikonomov briefed the Members of the National Assembly with an opinion on the draft Law by the National Assembly, according to which to carry out a full examination of all files on the acquisition of Bulgarian citizenship according to art. The authorities of the Ministry of Economy should also be included. With regard to the proposed three-month period for carrying out the verification by the SANS, the same is short and insufficient. The checks by the SANS should cover a larger period of time and their results should be sent to the Minister of Justice in view of its powers under art. 31, para. 2 of the Law on Bulgarian Citizenship. On the basis of the discussion held and after the subsequent vote, the Commission with 4 votes in favour and 9 votes in abstention proposed that the National Assembly should not adopt a Draft Law amending and supplementing the Bulgarian Citizenship Act, No 47-254-01-8, submitted by Mustafa Karadaiy and a group of MPs on January 20, 2022.
ParlaMint-BG_2022-02-17.u24	Thank you, Mr. Butler. An opinion from the importers? Here you are, Madam Minister, for an opinion on behalf of the Council of Ministers.
ParlaMint-BG_2022-02-17.u25	Mr. Chairman, ladies and gentlemen of the House! To your attention, the Council of Ministers offers for approval a bill that is extremely important, both from the point of view of our society and from the point of view of the trust of our partners from the European Union and the United States of America. It is quite simple to remove from the market the sale of our Bulgarian citizenship for unclear reasons. The big problem that we propose to solve is that we eliminate the possibility that people who do not have a lasting relationship with Bulgaria, who do not even live permanently in the country, on a rapid procedure, on a rapid track to become Bulgarian citizens, and with that citizens and the European Union. So, guarding our national interest, removing this opportunity, we will also safeguard the European Union's interest, the rest of the citizens of the European Union, and we will also increase the confidence of our partners, as I said. As yesterday and today you will have to decide to do a job that has not been done back over the years. It became clear from the motives and from the report of the Committee on Constitutional and Legal Affairs... [[Noise in the room.]]
ParlaMint-BG_2022-02-17.u26	Quiet, please, colleagues.
ParlaMint-BG_2022-02-17.u27	...that the European Commission in 2019 put this question, in 2021 it again brought it to the attention of the Bulgarian state and last year followed the sanctions by our partners from the United States of America. However, we must recall that colleagues from GERB in 2019 tried to solve this issue. With the kind assistance of the DPS, it was not resolved. [[Reply from DPS.]]
ParlaMint-BG_2022-02-17.u28	Colleagues, no place, please.
ParlaMint-BG_2022-02-17.u29	So I call on you, after a careful debate, to support proposals from the Council of Ministers. [[DPS lines.]]
ParlaMint-BG_2022-02-17.u30	Thank you, Madam Secretary. On behalf of the other importers? Here you go, Mr. Tsonev.
ParlaMint-BG_2022-02-17.u31	Thank you, Mr. Chairman. Honourable Members, Dear Minister! To the reasons to recall the chronology of short memory lovers, as is evidently the Minister of Justice. On 29 November 2012, the National Assembly adopted, at second reading, the Law amending and supplementing the Investment Promotion Act, where the Transitional and Final Provisions The Parliamentary Group of "Movement for Rights and Freedoms" is opposed, wants this text to be dropped because there are no guarantees that this citizenship has sufficient control; that investment will be real because it is given to be in government securities. That is, it warns what will happen to the vicious practices that happened later. Our motion to drop out is not accepted, we are leaving the Chamber and we are not voting. This is the position of the DPS. The veto of President Plevneliev also followed on this text. The Parliamentary Group of the Movement for Rights and Freedoms has voted for the veto! However, the veto was rejected by the votes of the parliamentary group of GERB and the Blue Coalition. [[Applause from DPS.]] Here are the transcripts, here are the votes! If you want, I can write them down by name. It's for the short memory. Let's move on. In these eight years, from 2012 to 2020, hundreds of such cases are accumulated where the scheme is always the same investment in the SCC through a law firm that is not close to the DPS, as has been proven to be close to other people; purchase of government securities; issuing a certificate that there is an investment made for 1 million and 1 BGN.; should give permanent residence or citizenship. The investment shall be maintained for the duration of the S.E.C. with a loan from the relevant bank where the S.E.C. is pledged. After the expiry of the loan period, which is also the term for the investment, the securities are absorbed by the bank and the investor has taken the money in advance with the loan. For him remains the cost to the law firm and the interest to the bank. This is the price of the citizenship in question. That's what we meant when we disagreed with this model! In 2019 the National Assembly established a Temporary Committee of inquiry to investigate facts and circumstances for corruption in giving Bulgarian citizenship, but not on the investment path, but on origin. It was about publications in foreign media. In the course of the work, however, we also met these perversions, if I may call them that. The truth in what you said is that Minister Ahladova, the then Minister of Justice of GERB, offered to drop investment citizenship. In the Commission, we have been thinking and examining how things are in other countries. There were seven countries to which the European Commission had notes.. Malta, Cyprus, Greece, Bulgaria, Portugal, Spain, Northern Ireland. All the other countries had not yet finished, but had changed their legislation on issuing investment citizenship by tightening the conditions and control. The Commission, consisting of 16 members, two of whom from the DPS, plus a chairman, plus one other member, recommended, will read it to you in the Report: The Member recommends Bulgaria not to suspend investment citizenship, but to regulate and monitor it strictly in order to create effective guarantees that it is about real investments creating jobs and added value. That was the opinion of that moment. The Commission has developed a Draft for legislative changes that have really tightened this regime and control accordingly. The bill, as a matter of fact, was not only signed by BSP. Mr. Krum Zarkov was all the time about dropping this citizenship in the Commission, and when it came to the Bill, but everyone else signed it. This is not the way to stay the regime here is the manipulation, Madam Minister! And it's not just you, it's a whole bunch of people. It's not the same mode left! The same regime is completely canceled. There's no S.E.C., there's no path that was allowed... The mode's changed, the mode's tightened, and so is the control. No passport under the new regime has been issued since the adoption of the Law. Why? There's a lot of reasons. One of them is that it is not profitable for those who want a fast track for European citizenship to go through all these checks and make real investments with jobs. That's the answer to the question. After the European Commission report came out in December last year on the progress of negotiations on visa waiver for European citizens for the United States, the DPS parliamentary group, taking into account this result that our partners definitely do not want the tightened regime; also considering that the new regime is practically not working, there are practically no investments made, we have decided to propose that this mechanism be completely abolished in a bill. You honourable Members, decide where is the change in the position of the DPS parliamentary group, since we have been initially against the vicious model; once we have participated in the general change of this model and then, seeing that it is not working and that it is not accepted by our partners from the United States and the European Union, we want it to be dropped. You might want us not to have the right to a legislative initiative. Thank you for your attention. [[Applause from DPS.]]
ParlaMint-BG_2022-02-17.u32	Thank you, Mr. Tsonev. You are also welcome to comment from an importer on the third bill.
ParlaMint-BG_2022-02-17.u33	Thank you, Mr. Chairman. Honourable Members of the House, Dear Minister! The third bill that we are dealing with today and the second one that we are proposing contains only one paragraph, but for us and for the whole European Union, for all European citizens is extremely important. We demand that an examination be carried out absolutely on every particular case of the existence of the mechanism, which has existed since 2013, is published in the Official Journal of the European Union, issue 16 of 2013, to this day. As we have heard from Mr. Tsonev, after the changes of March 2021, no such passport has been issued, because for the first time there were requirements for the creation of a minimum of 20 jobs, which is extremely important. Unlike many other countries that actually attracted investment on this mechanism, unfortunately Bulgaria failed. In other words, this text, which was introduced to attract investment, did not do its job. We demand that a complete check be carried out of each procedure, of each intermediary under this procedure "Each firm that has a mediation contract, of every law firm that has represented it, and where there are established violations, initiate a procedure for withdrawal of Bulgarian citizenship. Yes, we accept the remarks of the Ministry of Justice and the Presidency that after the DANS procedure should not go directly to the Presidency, because there is a relevant committee in the Ministry of Justice that should not be skipped. It's a eraseable thing between first and second readings. Why did we ask for a three-month term? Because a lot of these files have already been checked. At the request of several ministers of justice, as well as on the signals of MPs and citizens to the Prosecutor's Office, a large part of all 113 Golden Passports have been checked anyway. We think that in three months the rest can be checked no more than 20 cases. We believe that the deadline is absolutely sufficient. The inspection must give answers not only to the questions of society, the Bulgarian citizens, but to the whole European Commission. This week, at a meeting of the LIBE Commission in the European Parliament on Tuesday, the draft report, which was drawn up by the rapporteur Sofia In't Velt, was adopted by a huge majority in the European Parliament with regard to the Golden Passports (Golden Passports) in the Union. The questions and findings of the Commission I will allow myself to read briefly two or three passages: The Golden Passports are unacceptable from an ethical, legal and economic point of view and pose a serious risk to the security of the European Union. A recommendation will also be made to third countries that have visa-free access to the European Union, and proposals will also be made to end these vicious practices in their countries. The rapporteur Sofia In't Velt concludes his report with the following sentences: "To be a citizen of the European Union or to reside in it is at the heart of what the Union embodies "freedom and rights." Citizenship is a right, not a commodity that can be bought and sold. The governments of the Member States are selling what does not belong to them by using the European Union's reputation for profit. Their cynical business threatens our common security. In a nutshell, both in the LIBE Commission and in the European Parliament, the conclusion is that the situation is in a very bad situation. The situation, as the classics say, is a bit of a mess. So I ask you, fellow Members, to support our bill so that there is no zero tolerance to the sale of gold passports. [[Applause from DPS.]]
ParlaMint-BG_2022-02-17.u34	Thank you. I'm opening the bill discussion. Here you go, Mr. Slavov.
ParlaMint-BG_2022-02-17.u35	Dear Mr. Chairman, Mrs. Minister, Dear importers, colleagues! My statement is, of course, in favour of the Law of the Council of Ministers for several reasons. First of all, with the inauguration of the Council of Ministers and Minister Yordanova, it was made an announcement that this will be one of the first bills the Ministry of Justice will prepare and submit to implement very clear and explicit recommendations of the European Union. Secondly, the topic of Bulgarian citizenship is a fundamental topic because citizenship, as we know colleagues, is the main legal and political relationship of the individual with the state. Citizenship is not just a set of rights and opportunities, but citizenship is about values, about the individual's loyalty to the state and the state to the individual. That is why light treatment of the subject of citizenship is unacceptable. Unfortunately, colleagues, in recent years we have witnessed numerous abuses of Bulgarian citizenship and citizenship obtained on the basis of investments and citizenship obtained on the basis of, notice, special merit under art. 16 of the Law on Bulgarian Citizenship. I believe that in this matter we also owe a certain legislative initiative because over the years there have been Russian oligarchs who for special merit received Bulgarian citizenship, there have been all kinds of people of dubious origin who received citizenship for special merit, and here we owe at the legal level the least criterion and what is the special merit for the state, I close this clamp. At the same time, the Law of the Council of Ministers is balanced because it does not allow Bulgarian citizenship on the basis of investments, but still gives and leaves the possibility of lasting and long stay if a person has made a serious investment in the country. To conclude my speech, however, I should point out the following: investments in Bulgaria will come when there is a rule of law, when there are very low levels of corruption and not so much with similar incentives. With regard to the DPS fellow Members' bills. I understand this activity as an attempt to clear the darkened public image of the Movement as a result of the sanctions under the law, but I also believe that more serious efforts should be made to do so. Thank you, colleagues. [[Applause from DB.]]
ParlaMint-BG_2022-02-17.u36	Thank you, Professor Slavov. Replices to Atanas Slavov? Here you go.
ParlaMint-BG_2022-02-17.u37	Thank you, Mr. Chairman. Honourable Members of the National Assembly, Dear Minister! Dear Mr. Slavov, thank you for your speech, where you highlighted the difference between the two similar laws of the Council of Ministers and the bill for annulment of art. Art. 12a. 14a, but there is a cancellation of art. 32a, as well as the corresponding text with corresponding texts in other laws at all. The European Commission's criticism, Mr. Slavov, is about residence, i.e. not only removing passports, citizenship on this basis. The Commission says: remove also the short long-stay runway, because there are currently only three countries that provide citizenship on this track, and Cyprus has already limited to 2020, which deals with applications, removing this mechanism. But 12 are the member states of the European Union which, on the basis of investments, provide a long stay. There are also criticisms about the so-called Golden Visas, i.e. on the basis of investments, some countries provide visas. The European Commission is looking at these issues in full on visas, on continued residence and on citizenship itself. That is why we have provided for the abolition and the grounds for continued residence on this basis, and this consists of the differences between the two laws. I do not advise you to enter into concern about the image of the DPS, it is evident by the number of our MPs. I don't know about your number any more, but out of four or five coalitions, you have a carriage of people, no. [[Applause from DPS.]]
ParlaMint-BG_2022-02-17.u38	Are there any other lines to Atanas Slavov? I won't. Here you are for the doppelganger, associate professor Slavov.
ParlaMint-BG_2022-02-17.u39	Indeed, Mr Hamid, this is the main difference between the two bills, but there is also another important difference "The Law of the Council of Ministers has gone through a very serious impact assessment and interdepartmental coordination, due care has been put in place to make this correct balance between citizenship, which is proposed to be taken away, with this possibility of citizenship based on investment and permanent residence. After closing this big door, I think that the status of permanent residence will not be such a general problem, especially when there are still restrictions on the type of investments to be made and on the control, as Mr. Tsonev also noted, this difference from 2019 with the legislative amendments. Regardless of what is the opinion of the "Democratic Bulgaria" and of our supporters about the Movement for Rights and Freedoms. Thank you.
ParlaMint-BG_2022-02-17.u40	Thank you, Mr. Slavov. Mr. Karadaye, please come in for a procedure.
ParlaMint-BG_2022-02-17.u41	Thank you, Mr. Chairman, in the manner of conduct. Ladies and gentlemen of the House, Madame Minister! Dear Mr. Chairman, when from this tribune, MPs and ministers speak with factual inaccuracies according to your terminology in the spoken Bulgarian language, this is called a lie, please make comments. I take occasion from the previous statement, even from Mr. Slavov. In 2012, there were no sanctions under the "Magnitski" but the "Movement for Rights and Freedoms" there was the same position as today, as we have heard, and with facts, stenograms and votes that Mr. Tsonev presented here. But the proxyts of the circle, such as the Blue Coalition, the Reformation Bloc, the Democratic Bulgaria, the Yes, Bulgaria and so on, as we see, in different times they have voted for this law and I think that when they come out of this tribune and speak factual inaccuracies, you should remind them. Just a few minutes ago, Mr. Tsonev said who voted under this law. It is to you, Mr. Chairman, the request to make comments, otherwise public opinion is clear. Thank you. [[Applause from DPS.]]
ParlaMint-BG_2022-02-17.u42	Thank you. I'll let Factology be clarified within the debate. Mr. Kulenski, please come in.
