ParlaMint-BG_2022-02-10.u1	Honourable colleagues, please register. Colleagues online. Alexandra Milcheva?
ParlaMint-BG_2022-02-10.u33	Thank you. Mr. Ganev's proposal is for the whole agenda of the day to be transmitted on BNT 2 and BNR. Any other suggestions? I won't. Let's move on to the vote. First of all, we will vote on Tsoncho Ganev's proposal, as it is greater in scope and practically covers Nastimir Ananiev's proposal. We are voting on Tsoncho Ganev's proposal for the whole agenda to be broadcast on BNT 2 and BNR. Voting mode. Colleagues online. Alexandra Milcheva?
ParlaMint-BG_2022-02-10.u34	Abstention.
ParlaMint-BG_2022-02-10.u35	Alexander Rakshiev?
ParlaMint-BG_2022-02-10.u36	I'm holding back.
ParlaMint-BG_2022-02-10.u37	Georgi Stamov?
ParlaMint-BG_2022-02-10.u38	I'm holding back.
ParlaMint-BG_2022-02-10.u39	Dimitar Gochev?
ParlaMint-BG_2022-02-10.u40	I'm holding back.
ParlaMint-BG_2022-02-10.u41	Peter Chobanov?
ParlaMint-BG_2022-02-10.u42	Yeah.
ParlaMint-BG_2022-02-10.u43	Svetlin Stoyanov?
ParlaMint-BG_2022-02-10.u44	That's against it.
ParlaMint-BG_2022-02-10.u45	Stefan Shilev?
ParlaMint-BG_2022-02-10.u46	Yeah.
ParlaMint-BG_2022-02-10.u47	They voted 201 MPs in the Chamber and 7 online " 208" total: for 84 in the Chamber and 2 online. 86 total, against 53 in the Chamber and one online........................................................................................ The offer is not accepted. We are moving on to the proposal of the National Representative Nastimir Ananiev on the first item of the agenda for today, namely the first vote of the Bill on the State Budget of the Republic of Bulgaria for 2022 to be transmitted directly on BNT 2 and on BNR. Please vote regime. Colleagues online. Alexandra Milcheva?
ParlaMint-BG_2022-02-10.u48	Yeah.
ParlaMint-BG_2022-02-10.u49	Alexander Rakshiev?
ParlaMint-BG_2022-02-10.u50	Yeah.
ParlaMint-BG_2022-02-10.u51	Georgi Stamov?
ParlaMint-BG_2022-02-10.u52	Yeah.
ParlaMint-BG_2022-02-10.u53	Dimitar Gochev?
ParlaMint-BG_2022-02-10.u54	Yeah.
ParlaMint-BG_2022-02-10.u55	Peter Chobanov? Svetlin Stoyanov?
ParlaMint-BG_2022-02-10.u56	Yeah.
ParlaMint-BG_2022-02-10.u57	Stefan Shilev? I'm calling off the vote. Vote 162 MPs in the House and another 5 online " 167" total: 149 in the Chamber and 5 online, 154 in total for, against 7 and abstention 6. The motion is accepted. Please, the cameras and microphones of BNT 2 and BNR. We move on to item one of the agenda of the day, namely: FIRST VOICE OF LAW PROJECT FOR THE STATE BUDGET OF BULGARIA FOR 2022, No 47-202-01-7, submitted by the Council of Ministers on 1 February 2022. Mr. Karimansky, please come in for a procedure.
ParlaMint-BG_2022-02-10.u58	Mr. Chairman, ladies and gentlemen of the House! I'm making a procedural proposal according to art. 43, para. 2 of the Rules of Organization and Activity of the National Assembly......................................................................................................................................................................................................................................................... Thank you.
ParlaMint-BG_2022-02-10.u59	Thank you, Mr. Karimansky. Please, the voting regime we are voting on allows the persons mentioned by Mr. Karimanski. Alexandra Milcheva?
ParlaMint-BG_2022-02-10.u60	Yeah.
ParlaMint-BG_2022-02-10.u61	Alexander Rakshiev?
ParlaMint-BG_2022-02-10.u62	Yeah.
ParlaMint-BG_2022-02-10.u63	Georgi Stamov?
ParlaMint-BG_2022-02-10.u64	Yeah.
ParlaMint-BG_2022-02-10.u65	Dimitar Gochev?
ParlaMint-BG_2022-02-10.u66	Yeah.
ParlaMint-BG_2022-02-10.u67	Peter Chobanov?
ParlaMint-BG_2022-02-10.u68	Yeah.
ParlaMint-BG_2022-02-10.u69	Svetlin Stoyanov?
ParlaMint-BG_2022-02-10.u70	Yeah.
ParlaMint-BG_2022-02-10.u71	Stefan Shilev? Vote 180 MPs in the House and 6 online " 186" total: 178 in the Chamber and 6 online, 184 in total for, against 1 and abstention 1. The motion is accepted. I ask the Quaestors to invite in the Chamber the persons whose admissions we have voted on. We are moving on to the report of the leading Committee on Budget and Finance on a Bill on the State Budget of the Republic of Bulgaria for 2022. Mr. Simeonov, you are welcome to present the Report of the Committee on Budget and Finance.
