ParlaMint-NL_2017-06-20-tweedekamer-3.u1	No, no... I'm suspending the sitting for a few moments.
ParlaMint-NL_2017-06-20-tweedekamer-3.u12	That's right, Mr. Chairman. It does not yet call for a great deal of confidence that there is apparently not enough knowledge to judge for yourself whether an agency that is so important in missing children has the right human strength to function properly. My question to the Minister is how much human power he believes is needed in order for this agency to be able to really do all its tasks. I am talking not only about the acute missing persons, but also about creating profiles and learning what happened in other missing persons. So how much human strength does he think it takes?
ParlaMint-NL_2017-06-20-tweedekamer-3.u13	That would be careless to start guessing on the spot now, because that's what it's going to be like to see how much human power is needed. We just found out that a signal is coming out from an important organization. I'll report to the Chief Constable that that signal is so serious that we're investigating exactly what's going on there. Then we report to the Chamber what measures we take. Of course, this includes Mrs Buitenweg's question, but it would be really careless to answer it now.
ParlaMint-NL_2017-06-20-tweedekamer-3.u14	My question is a little in line with Mrs Buitenweg's question, which I find urgent on this subject. In May 2016, the CDA Group asked questions about legislation to enable the identification of missing children's phones, without suspicion of a criminal offence. We would very much like to hear about this. It is a related subject, which we consider very important.
ParlaMint-NL_2017-06-20-tweedekamer-3.u15	That's a logical question. In the short term, I will give the bill special means of searching urgently missing persons in consultation. The purpose of this law is to make it possible for certain means of detection to also be used in urgent missing persons, for example the survey where a telephone has been or where ATM payments have been made. These powers are now reserved for criminal law, for the prosecution of serious crimes. The fact that the bill will soon be in consultation means that I hope that it can also go to the Chamber after the summer.
ParlaMint-NL_2017-06-20-tweedekamer-3.u16	I thank the Minister for the further commitment. I'm glad to see that he too is concerned about the coverage. As far as I am concerned, one element remains underexplored, namely the quality of the reports made by the regional police to the national agency. I read in RTL's research that there are concerns about this too, that it is sometimes little concrete and that information is lacking. Can the Minister indicate whether he shares this concern and whether he will also take this point with him in his investigations to what could be better?
ParlaMint-NL_2017-06-20-tweedekamer-3.u17	I noticed that part too. The instruction is to make the notifications to the Central Bureau orally as much as possible. The test of whether the notification is very worrying, namely, generally requires an explanation. I understand from RTL's news report that this would often happen by e-mail. That part of the method of working, therefore, I come to the quality section to which Mrs Kuik asked understandably, as far as I am concerned, is also part of the research. As I have said, I shall come back to that shortly after the summer.
ParlaMint-NL_2017-06-20-tweedekamer-3.u18	I think it's very good that that letter is coming. I do have some specific technical questions. The request is therefore whether we can pass on a number of further questions via the committee...
ParlaMint-NL_2017-06-20-tweedekamer-3.u19	That's up to you, isn't it?
ParlaMint-NL_2017-06-20-tweedekamer-3.u20	Yeah, I know. I would ask the Minister to understand that, so that these questions can be included in the letter coming shortly after the summer.
ParlaMint-NL_2017-06-20-tweedekamer-3.u21	Yes. If I can get those questions as soon as possible, we can get to work on them as soon as possible.
ParlaMint-NL_2017-06-20-tweedekamer-3.u22	Thank you. We shall now proceed to Mr Omtzigt on behalf of the CDA.
