ParlaMint-NL_2017-05-16-eerstekamer-7.u1	I would like to welcome the Secretary of State for Economic Affairs to the First Chamber.
ParlaMint-NL_2017-05-16-eerstekamer-7.u12	A binding opinion seems quite clear to me. It also seems obvious to me that, if you disagree, you should be able to appeal. The binding opinion only makes sense if you are willing to go along with it. I think this would be a good thing.
ParlaMint-NL_2017-05-16-eerstekamer-7.u13	Mr Atsma asks for tailor-made solutions to the problem, but wasn't it the Secretary of State who has prevented this so far? That is also stated in the court's ruling, namely that he did not want to include the group of dairy farmers in the problem regulation because this would lead to demarcation problems. Mr Atsma therefore asks the Secretary of State to move on this point. Is that right?
ParlaMint-NL_2017-05-16-eerstekamer-7.u14	Yeah, that's right. That's what I started. That space is in the law. I have already indicated that due to the legal treatment in the House of Representatives, we see a little more stretching in our eyes. I'm curious to hear the Secretary of State's response. The buy-back scheme, as it has been published, however harsh, has proved to be a great success. Within a short period of time there appeared to be so much interest that the amount made available was used. The question is whether or not it has been put in other terms, but it is going to be asked in other terms as to the extent to which it has achieved its own horizon by means of a buy-back scheme. We can imagine that there will be more room for manoeuvre in the second and third instalments, as far as possible. The Secretary of State states that the transport track is important. We share his view. We have also taken this element widely into account in our assessment of the overall package. At the questions of GroenLinks, the Secretary of State speaks about a legal arrangement for further securing the transport track. Does this happen at the request of the European Commission? What exactly does this mean? Does this mean that less phosphorus per kilogram of feed should be allowed? If that is the case, how does this relate to the European playing field that the Dutch entrepreneur has to deal with? I assume that everything that is happening on this point will have an immediate effect on the European Union. We do not hear much about the possibilities of manure processing. The same applies to the reaction to the feed manure contracts in the Geurts amendment in the House of Representatives. I would also like to hear the Secretary of State about this. This also applies to a further explanation of the pleas about the cycle in the Lower House. It is also quiet about that. The Secretary of State rightly considers derogation to be important, agricultural, environmental and business-economic. In short, derogation is important in many areas. It would be good if this Chamber also looked at these two legislative proposals from that perspective and also at the phosphate reduction plan 2017. In the end, we are very much in favour of retaining the derogation. This also means, in our view, that if this were not the case, the law would not have to come into force. In this sense, we are well aware of the amendment tabled by Mr Lodders in respect of item No. 50, which actually states that the law does not have to apply if the derogation is not granted. What does this actually mean for the entry into force of the law? The European Commission's assessment is awaited, as no timetable has been set for the decision-making of derogations so far. Is the Secretary of State waiting for the European Commission's opinion, or is it a chicken or egg story, and is the Commission waiting for legislation to be introduced in the Netherlands at any time? We are curious how this is going to develop. We all know that the Nitrates Directive in Brussels determines the phosphate space. The interpretation of that directive is different in a number of European Member States. In a different context, this has been exchanged more often with the cabinet. The Secretary of State understands this, but is it right that the interpretation of the Nitrates Directive is different? Doesn't that lead to a form of arbitrariness that doesn't always suit us? I'm just saying it in my own words. I wonder why the Secretary of State thinks it is understandable that the interpretation is different. I don't know how to interpret it. In the note following the report, the Secretary of State makes it clear that it is not yet known when the Nitrate Committee meets. I think that, in the light of the previous comments on derogation, it is important that we clarify this quickly. I wonder if the Secretary of State can now tell us what the timetable is and what he himself is doing about it. I would now like to make a few comments on the so-called POR scheme for the pig and poultry sector. In the context of the preparation of the legislation we are discussing today, it has been announced that it will be deleted. I understand that the Secretary of State has now informed the House of Representatives that he will be returning to questions from various parliamentary groups next autumn. So I'm gonna leave that point for what it is. It has been pointed out on several fronts that the bill concerns the phosphate production of all dairy cows. No distinction is made according to how you run your business: common, organic or biological-dynamic. We are following the reasoning of the Secretary of State on this point. There is, however, a distinction between ground-boundness and non-ground-boundity. We can follow him there too. Is the introduction of the phosphate rights system a form of expropriation? We have asked this question before, and I have the impression that the Secretary of State is not entirely in line with the ECHR and the Council of State's opinion. Would the Secretary of State be able to explain that understanding again? In our view, he is concerned with the regulation of property. Speaking of phosphate rights, we think it is right that it should become a negotiable system. We have not been able to find anything on the tax depreciation possibilities of phosphate rights, which should logically be linked to a means of production. Where there is an evaluation clause in the law, I believe that the phosphate rights system could be finite. At some point there will be an alternative or another system. Then it is good to better define the element of depreciation in the tax sense. In this sense, we are curious about the tax authorities' view on this. As far as we are concerned, that is an unmistakable part of the law.
ParlaMint-NL_2017-05-16-eerstekamer-7.u15	Mr Atsma referred to the 'complaint committee', to name but a few. That committee was set up by an amendment tabled by Mr Geurts and by Mrs Dik-Faber of the Christian Union across the street. The advisory role of that committee should take into account the consequences of the extension of the emergency provision for other dairy farmers. In other words, when that committee comes up with something that changes troubles, it will have to be brought up by others. Does Mr Atsma see possibilities for extending the derogation or phosphate rights, so that the advantage of one dairy farmer is not passed on to other dairy farmers?
ParlaMint-NL_2017-05-16-eerstekamer-7.u16	We sometimes refer to what Mr Schalk describes as a so-called waterbed. Maybe in this case you should talk about a "milk bed" where what one gets is extra handed in by the other. At least that is how I understand Mr Schalk. That is one of the concerns with regard to the decisions of the court of Appeal in appeal cases, if this is not adjusted. Anything that needs to be surrendered should then be increased by others, because we have all agreed that we must reach that European ceiling. In that sense, Mr Schalk is right. Some of the skimmed rights end up in the phosphate bank. The emergency committee might be able to draw from that phosphate bank in order to help the troubles. The negative effect, if I may put it that way, may be kept to a minimum. I would like to know what the Secretary of State thinks of that line and whether that is feasible at all. It would seem like a passable road to me.
ParlaMint-NL_2017-05-16-eerstekamer-7.u17	With Mr Atsma, I am very curious to see what the Secretary of State will say about that. You could say there's two tracks. The Commission is about to issue an opinion that could affect that milkbed or waterbed or whatever we want to call it. The judge can also give a lot of judgments, which also have consequences. Those all found on that same waterbed?
ParlaMint-NL_2017-05-16-eerstekamer-7.u18	That's a trade-off the judge's gonna have to make. We are not here to judge that. It is, however, a fact that, when too many cases are brought before the courts and those involved in all these cases are called into question, additional room will have to be created to comply with the European phosphate standard when it comes to production. If that is not the case, all the judgments made by the judge will have the effect of jeopardising the derogation in domestic terms. Then the whole of the Netherlands is a bottleneck. That is something that I hope will be taken into consideration when it is assessed overall. Perhaps the Secretary of State would like to comment on that. It's kind of a weird dilemma that you're trying to help one, but as a result you risk making keeping and running a dairy farm virtually impossible in the present way.
ParlaMint-NL_2017-05-16-eerstekamer-7.u19	The key question is then the following. Mr Atsma mentioned the concerns, but we are talking about the survival or not of many farmers. As far as I am concerned, it is not just a matter of concern; it is much heavier than that. The question is: do you want to pass a law that will bankrupt farmers on one side or on the other side of the milkbed? Does the CDA want to pass such a law?
ParlaMint-NL_2017-05-16-eerstekamer-7.u20	The Netherlands is one of the most prominent countries in the world when it comes to dairy farming and dairying. Together, we have the objective of giving this sector a full perspective. That is also the Secretary of State's commitment to the package of laws he has submitted to us. We have made agreements with the Member States of Europe which we have to abide by. The sector and the entrepreneurs know that too. It is not for nothing that NMV, LTO, NAJK, NZO and the dairy sector in general have joined forces to tackle this problem. They have tried together, shoulder to shoulder with the Ministry, to find a solution to prevent worse. Those agreements have been made internationally. The Netherlands, and the Dutch sector, have signed it. We can pretend not to, but that's bullshit.
ParlaMint-NL_2017-05-16-eerstekamer-7.u21	Do you know of any other EU countries that have not complied with treaties? What were the consequences from Brussels? In other words, do the interests of our own farmers not now outweigh the European interests or the European directives imposed on us from Brussels?
ParlaMint-NL_2017-05-16-eerstekamer-7.u22	I certainly know many examples of countries and companies that have had to justify themselves because they have not complied with international agreements, either by means of a penalty payment or by other means. We do not want to risk this beautiful sector with some 20,000 entrepreneurs. This applies not only to the dairy sector but also to the dairy sector. We have enough arguments to do everything we can to ensure that this European standard is met. I am actually quite proud of the fact that we have apparently been able, within six months, to get back very close to meeting the conditions. We must also take into account the causes of this. How did the dairy herd grow so fast? There is only one important reason: the abolition of the milk quota. We have all said yes to this. I think I remember that not all the groups were unanimous about this, but this is the consequence of that. We did one and didn't intervene fast enough to prevent another problem.
ParlaMint-NL_2017-05-16-eerstekamer-7.u23	Finally.
ParlaMint-NL_2017-05-16-eerstekamer-7.u24	My last question. That's just it: those were government rules. Those entrepreneurs have joined the government rules and now the water is standing, or perhaps I should say: the milk, they are on the lips. The question is whether you choose the confrontation with Brussels or the confrontation with hardworking Netherlands.
ParlaMint-NL_2017-05-16-eerstekamer-7.u25	We stand shoulder to shoulder with heart-working Netherlands and so does Mr Dercksen.
ParlaMint-NL_2017-05-16-eerstekamer-7.u26	I have a question about the problem regulation. It is very limited in the current legislative proposal. Some room has been created by Mr Geurts' amendment, but that room is still uncertain, because there must be a committee to advise. So far I have also heard the Secretary of State say in the Lower House: it must be very limited. My impression is that the Secretary of State does not give any additional phosphate space to allow for a genuine extension of this problem regulation. My question is how you see it. Do you indeed say that there needs to be more phosphate space in order to really respond to the problems that are currently being proposed?
ParlaMint-NL_2017-05-16-eerstekamer-7.u27	As I said, the CDA Group also believes that there should be more room for tailor-made solutions. Whether "to offer customisation" means that by definition more phosphate space needs to be created, let me take a moment in the middle. That doesn't necessarily have to be the same thing. There may also be other solutions. I also referred to the success of the buy-back scheme, and to options. There's been a lot of interest in that. Above all, let us ensure that the keepers, who are often innovative and leading companies, keep a strong perspective. If you ask me whether "to offer customisation" means that the Secretary of State must offer more phosphate space, I say yes in full. I said that at first, and I want to conclude with that. At first, the Secretary of State showed himself to be somewhat firm in the doctrine of the limited regime, but I have good hope that the space created by a number of initiatives from the Lower House is actually more possible than perhaps the intention of the Secretary of State initially was. If you learn, you might learn a little bit at this point. The fact that a fat 50 companies have now been agreed by the welfare court, at least in 2017, is, of course, an important signal that something needs to be done. We need to ensure that with it we only have the perspective for the sector as a whole. Mr. Chairman. This brings me to the end of my contribution. Let me say one more thing: let us above all ensure that the legal anchoring of everything that is happening now is sufficiently strong to be sustainable. It should go hand in hand with much more than with many other legislation, efficiency and legality.
ParlaMint-NL_2017-05-16-eerstekamer-7.u28	Thank you, Mr Atsma. I give the floor to Mr Schnabel.
ParlaMint-NL_2017-05-16-eerstekamer-7.u29	Mr. Chairman. I have to start with a confession. The concept of 'derogation' was completely unknown to me until very recently. In the meantime, I can explain everywhere, even unsolicited, what it actually means, namely that it is a legal-technical term within the framework of the European Union, which allows a strictly defined level of exceedance of a standard.
ParlaMint-NL_2017-05-16-eerstekamer-7.u30	It's legally a well-known term for centuries anyway.
ParlaMint-NL_2017-05-16-eerstekamer-7.u31	It was also in my old Latin dictionary, so it already existed, but I didn't know. In any case, it appears that Dutch farmers above the European standard can produce quite a lot more kilos of phosphate, but the problem is that these Dutch farmers individually have proved to be such good entrepreneurs that they have collectively crossed the limits of the derogation in the shortest possible time. The current derogation regime runs until this year and, as is now well known, it will be very dangerous if the Netherlands does not quickly reduce its phosphate production to the ceiling of nearly 173 million kilos per year. The CBS's forecast for 2017 even shows a phosphate production of almost 180 million kilos. In other words, and only taking into account the dairy herd in the Netherlands: the current phosphate production shows that the Netherlands is now in fact over 160,000 cows compared to the derogation. Without a derogation, which is a point that hangs over the market and casts a heavy shadow, there should be as many as 300,000 or more cows. Then we'll talk about about about 20% of our current dairy herd. Those are very sad figures. They show that a derogation is necessary, and now I come to my old dictionary Latino has a second meaning, which may not yet be fully known in legal practice and legislation. In this second sense, derogation is not only about abolishing or restricting a regime, but also about taking it and denying it. It is a bit paradoxical, but in order not to lose the abolition of a restriction, we will have to accept the reduction of too many cows. A very difficult and very painful problem, which has just become very visible in Mr Atsma's contribution. This is certainly a very difficult issue for individual dairy farmers, caused by the abolition of the milk quota. They have tried to give their business an economically better future by expanding stables and livestock, for themselves, but as has become clear from many letters to us, also for the son or daughter who would like to continue the family business. To keep fewer animals in large new stables that have already invested a great deal is a heavy and in some cases a very difficult task which has led to the formulation of "chain number." My colleagues and I have received a lot of desperate letters in recent months from precisely those families and families who no longer know how to proceed with their business after 2017 if the derogation is not granted or if the derogation means that they have to reduce. This applies once again, albeit in a very different way, to farmers working organically. In fact, they do not make any use of the derogation for their business. One of the problems in the Secretary of State's policy is that each farmer has to apply for his own derogation and that the policy is aimed at reducing phosphate production generated by the total. That tension keeps coming back and it leads to a number of troubles. Then there are also the farms where rare or rare breeds such as the sheetfielders or the blister heads are protected from extinction. Fortunately, the Secretary of State has been able to make an exception for them for this year, but the question remains what guarantees can be given that even in 2018 and later, the terms of production that do not or hardly touch these companies can be kept from them formally. I would like to hear later that the Secretary of State will be able to reassure these farmers for the future. The question remains, however, how can it be that after the abolition of the milk quota it became so quickly a 'free for all' and that it remained so long? Isn't there any attention? Didn't they want to pay attention? Was there no one who saw the acceleration in the direction of an overrun coming? Or was everyone so naive to think it would take a long time? How is it possible that this is a second question which I would like to put to the Secretary of State - that it was only at such a late hour in Brussels that the message came out that the derogation could really be at risk? We would very much like to know how things could have gone so wrong twice, but in order to do it better in the future, we are discussing today two legislative proposals that are closely linked and should be able to prevent this type of problem in the future: the Law on soil-based growth dairy farming and the amendment of the Fertilisers Act in connection with the introduction of a phosphate rights system. However, the current discussion focuses mainly on the Phosphate Reduction Plan 2017, which aims to create a basis for the proper implementation of the two new laws. The basis for this is, in fact, a return to the derogation. This seems to be a very difficult road, which must also be taken in a short time, namely this year. Many publications assume that the retreat to the limits of the derogation guarantees a continuation of the derogation for 2018 and beyond. I have noticed that in the various documents, the cabinet is a little more cautious and cautious about this. Can the Secretary of State give the Chamber a little more clarity today about what has been agreed with the European Commission on the future and on any commitments made by the Commission?
ParlaMint-NL_2017-05-16-eerstekamer-7.u32	Mr Schnabel shares my conclusion that the 2017 arrangement is the basis for 2018...
ParlaMint-NL_2017-05-16-eerstekamer-7.u33	...and the next few years.
ParlaMint-NL_2017-05-16-eerstekamer-7.u34	And next years, that goes without saying. How's he gonna see that if these lawsuits are still going on? The Secretary of State appeals, but the judge has said from a number of categories of companies that it is unreasonable and unfair for them to be cut short, just as briefly. But how can we adopt a scheme for 2018 if we don't know what the basis is in 2017?
ParlaMint-NL_2017-05-16-eerstekamer-7.u35	You're there to outline one of the questions I have. I would almost think that you had already understood my text, as we are sitting next to each other in two rooms! That is not the case, of course, but this will be dealt with in my speech. You are noticing a problem that affects the whole debate on derogation. From day to day, there are new developments that put pressure on the current situation of the phosphate reduction plan and immediately raise the question of what it will mean for the implementation of the phosphate rights system. The position of the Secretary of State, who will have to explain it to you himself, is that legislative proposals setting out how the system is going to work are separate from the plan he is now making. This plan must be adapted quickly to the new situation. And how will the lawsuits be, of which more are to be expected? You were also at the expert meeting. There the Professor of Agricultural Law, who is also a lawyer, grinfully said: I expect a lot of things. That seems to be happening, too. What are the consequences of this, I think you should ask the Secretary of State later.
ParlaMint-NL_2017-05-16-eerstekamer-7.u36	In my view, it is our job to offer these lawyers as little work as possible if we adopt legislation here. Maybe I'm a little impatient, but can you give me a hint of the veil and tell me what conclusion you're leaning towards?
