ParlaMint-NL_2017-01-17-tweedekamer-3.u1	I would like to welcome the Secretary of State for Health, Welfare and Sport.
ParlaMint-NL_2017-01-17-tweedekamer-3.u13	Now that Mr Van Gerven says that the SP has done research, that immediately raises the question of how independent that research was. But I agree with Mr Van Gerven that it should always be transparent who the sponsors or funders of the research are. He knows that it is clear in the scientific world that someone in a scientific article also expresses those interests. I would not go so far as to say in advance that Dutch scientists, funded by anyone, would therefore be used as a sign of anyone. I'm not suspicious that this is true either. If transparency is given, we can all assess the scientific nature of the research and the interests behind it. I have no reason to assume beforehand that Dutch scientists will be used as a sign.
ParlaMint-NL_2017-01-17-tweedekamer-3.u14	Mr President, a personal fact.
ParlaMint-NL_2017-01-17-tweedekamer-3.u15	I give permission to make a personal statement.
ParlaMint-NL_2017-01-17-tweedekamer-3.u16	I would like to make a personal statement that a Secretary of State dares question here an investigation of the SP that he himself has not read. A number of scientists who touch on an important point about the independence of science and scientific integrity, that the threat of science on demand is a real danger...
ParlaMint-NL_2017-01-17-tweedekamer-3.u17	Clear.
ParlaMint-NL_2017-01-17-tweedekamer-3.u18	The fact that this Secretary of State does so lately doesn't suit a Secretary of State.
ParlaMint-NL_2017-01-17-tweedekamer-3.u19	You've made your point. Mrs Keijzer, on behalf of the CDA.
ParlaMint-NL_2017-01-17-tweedekamer-3.u20	I would almost say: joke, Mr Sonnenberg. I have the following question to the Secretary of State. Wouldn't it be an idea to take a bit of a healthy sense of farming in this kind of debate, to breathe through, to remain calm and to see how we all grew up before we have a debate here on toddler milk?
ParlaMint-NL_2017-01-17-tweedekamer-3.u21	I have to take the question into account, but I believe that Mrs Keijzer has a point. The Health Council's opinion says that when it comes to healthy nutrition, you should try to get toddlers to eat with a normal meal as soon as possible, which should be based on the five drive from the Food Center. The sooner you reach that point, the better. Let us not fill all kinds of gaps with all kinds of tricks, but keep acting normal. If that is what Mrs Keijzer means, I agree with her very much.
ParlaMint-NL_2017-01-17-tweedekamer-3.u22	The importance of healthy food cannot be stressed enough, but Mr Van Gerven raises a point that the Secretary of State does not answer properly, namely that much of the research done by food producers is in favour of the same food producer: we at Nutricia advise Nutricia. That's bad and misleading. I'd like to hear from the Secretary of State how he feels about that.
ParlaMint-NL_2017-01-17-tweedekamer-3.u23	I tried to indicate that scientific research can be funded in many different ways; by independent means, such as the academic component of academic hospitals and sometimes by the pharmaceutical industry or the food industry. They're all doing scientific research. Then the following points are important. The first is that it is completely transparent who finances it. The second is not to assume in advance that scientists lend themselves to conclusions that they themselves cannot support. When it comes to such sensitive matters as good nutrition, it is a good thing that we have the Health Council, which can weigh up all these investigations and eventually get a scientific advice to us and to the Food Centre on how parents can deal with them. That seems to me to be a very good system.
ParlaMint-NL_2017-01-17-tweedekamer-3.u24	Thank you.
