ParlaMint-NL_2017-02-07-tweedekamer-20.u1	I would like to welcome the initiators and their support... their names were mentioned last time........................................................................................................................................................................................ I would also like to welcome the Minister for Economic Affairs. He will act as advisor to the Chamber in the examination of this bill, as is customary in the examination of an initiative proposal. Today, the answer is in the first term and the full second term. I would be the first to give the floor to Mrs Mulder to answer the first-term questions.
ParlaMint-NL_2017-02-07-tweedekamer-20.u12	I'll think about that, Mr. Chairman.
ParlaMint-NL_2017-02-07-tweedekamer-20.u13	Very good. Please continue.
ParlaMint-NL_2017-02-07-tweedekamer-20.u14	The bill also makes it easier for suppliers to go to court together with other suppliers, because it becomes a collection dispute with this bill. In the current situation, the judge must consider an individual case. In doing so, the judge must weigh the term "manifest injustice." In the new situation, it is only technically necessary to consider whether or not the law has been broken. That makes a common course of justice easier. This is very important because, compared to the current situation, it increases the risk that smaller suppliers will dare to go to court to claim the legal commercial interest rate. It is also less likely that the buyer will terminate trade relations with all suppliers who jointly go to court. Suppliers can also share the costs of a court case in this way. Mr Graus rightly pointed out that the costs are relatively high for small amounts. By dividing the costs or collecting the statutory interest in one go, the costs per supplier will be reduced. There's a small advantage in that, but I also realize that you might wonder if a company goes to court for $1,000. Mr Ziegs of the VVD asked whether it was tested that the suppliers are actually going to unite in order to make a joint course to the judge. This has not yet been reviewed, as the exact consequences of this legislative proposal can only be assessed once the law has entered into force. In any case, the justification I have just given makes it plausible to the initiators that there is an increased chance that small suppliers will take a joint course in court. I also say that, of course, I hope that the large business will comply properly with the law. This fits in with corporate social responsibility. Mr Nijboer presented a case to the initiators. Should it not be the case that, if a large company makes structural payments, it should be the case that the account is sent with the statutory commercial interest to be paid on it? He indicated that in such a situation there was no need to go to court and he wondered whether this was not a simpler form. Mr Nijboer's sketch is right on the main lines. That's how the bill works. If large companies fail to comply with the proposed prohibition to include a payment period longer than 60 days in a contract, that payment period shall be null and void. In that case, a payment period of 30 days shall automatically apply. If large companies pay in this situation after 30 days, a small supplier can send an account to the large company with the legal commercial interest rate. The supplier has five years to do this. Suppliers do not therefore automatically have to go to court to claim the legal commercial interest in this bill. Mr Nijboer has correctly observed this. It is only necessary to go to court if the wholesaler refuses to pay the bill with the statutory commercial interest rate. Finally, with regard to this block, Mr Nijboer of the PvdA had the question of how to report on non-payment of legal commercial interest rates and whether large companies should report that they do not comply with the law. To begin with, we understand that it is not possible for large companies to report that they do not comply with the law. As I indicated earlier in the reply, it is true that large companies have to include the statutory commercial interest rate to be paid in their financial figures, in the annual report, if they want an endorsement from the accountant, it seems to me that they will simply, as they should, comply with it properly. This brings me to the end of the first three blocks and I would like to give the floor to Mr Mei Li Vos for the rest of the questions.
ParlaMint-NL_2017-02-07-tweedekamer-20.u15	No, you don't. You let me do that. Mrs. Fox, go ahead!
ParlaMint-NL_2017-02-07-tweedekamer-20.u16	Mr. Chairman. I agree with what my colleague Agnes Mulder said about the fantastic support from our staff, ONL and Mr Omtzigt. I also very much like being able to stand here as a PvdAer because this is a battle between small and large people I, as a small person, naturally want to continue to fight this battle too, and also to curb the right of the strongest. I believe that this law, with the small change that it actually contains, will bring about SMEs and thezzp'ers. I am also very pleased that Mr Mulder has asked me to contribute to this. I will answer a number of questions. The first block I'm going to deal with is about the possible side effects of this law. As we all know, once a law is introduced, things often happen that we didn't know would happen in advance. That is why I very much welcome the amendment tabled by Mr Ziegs and Mrs Gesthuizen. It is very good to evaluate. The side effect that Mr Ziegs and Mrs Gesthuizen talked about concerns the fear that the large business will extend the payment periods from 30 days to 60 days. In my view, this is also one of the most important questions raised in the evaluation. We have three reasons why we believe that it will not be so rapid, even more so, that it will not happen. The legislation can only be reviewed after it has entered into force. So we don't know if it's going to happen, but the reason why we think it's not going to happen lies in the fact that the bill only amends one small thing, namely the deletion of 'obviously unfair'. That makes perfect sense. We solve that particular problem only if large companies want to agree a payment period that is longer than 60 days. That whole article is about the standard and that standard is 30 days. That standard has always been 30 days and we have no indication that large companies will want to change the standard to which most large companies adhere. A second reason why we believe that this bill will not extend payment deadlines is that it gives an additional confirmation of that standard. If a large company wants to enforce a payment period that is longer than 60 days in breach of the law, this appointment is immediately null and void and then the appointment immediately becomes 30 days. Then SMEs can revert to that 30-day standard and automatically apply a 30-day payment period and then the commercial interest rate. This means that unreasonable payment periods are automatically reduced to 30 days. A third reason why we believe that it will not happen is that the bill only contains new rules for companies that paid late anyway. All the other companies are luckily that is also the majority of the companies kept to the statutory payment periods. It therefore does not provide any incentive for large companies that now use payment periods of 14 or 35 days, for example, to switch to payment periods of 60 days. We also expect self-regulation initiatives to ensure that payment periods are shorter rather than longer. We therefore see this law as a strengthening of initiatives in the field and self-regulation. It simply gives SMEs more resources to enforce normal payment periods. Mr Ziengs of the VVD has asked a question about freedom of contract. The consultation would show that restricting contract freedom was hardly seen as a problem. He was wondering who said that. We can easily answer that. Only one party has noted this as a restriction of contract freedom: the FAAN. That's a factoring company, so a company that helps with payments. None of the other participants we consulted mentioned this. It has been said that this limited restriction of contract freedom is hardly seen as a problem. The only thing is that, in this particular trade relationship, i.e. between large business and small business in the role of customer and SMEs and thezzp'er in the role of supplier and service provider, no payment period for more than 60 days can be agreed. Everything else is and remains negotiable in the negotiation process, so also whether a payment period is 13 days or 34 days. In the trade relations to which the bill does not relate, for example those between SMEs andzzp'ers, entrepreneurs retain the possibility to agree payment periods longer than 60 days, provided of course they comply with the rules already in force on the basis of Article 6.119a of the Civil Code. There is also nothing that changes for large companies who do not currently agree on payment periods of more than 60 days. Mr Nijboer of the PvdA asked a question about the role of the AFM. That question was very similar to a question about the AFM that Mrs Gesthuizen asked. That is the question whether the ACM... No, Mr. Nijboer asked about the AFM. He understood very well that that authority does not, in principle, assess an individual contract. He was wondering the following. Suppose it is conscious policy of a large company to pay later and the board finds that it is the ambition to pay late. The ACM oversees the abuse of power, doesn't it? If this happens consciously, is there no role for the ACM? So this question is very similar to Mrs Gesthuizen's question. It referred to France, where the regulator has a major role to play in the enforcement of this specific policy. We can answer that the ACM cannot solve these problems. It has powers under the Competition Act and can only impose fines in cartel agreements or where a buyer abuses its dominant position. Then the ACM has a role. It does not therefore have the power to intervene in an individual relationship between supplier and buyer. The current Unfair Commercial Practices Act, on which the ACM also supervises, is only about the relationship between an entrepreneur and a consumer. Therefore, the ACM does not currently have the power. We approached the ACM in the consultation. She indicated that she herself did not see any added value in a substantive response. If the ACM had seen a role for itself, it was expected that the ACM would have used the opportunity to respond to the bill. Nor has the Council of State made any comments on this issue. As far as France's example is concerned, the question is whether a role of the ACM can be useful. We'll get the system that goes there. In France, government has a major role to play in meeting payment deadlines between companies. That is really different from that in the Netherlands. It is actively monitored by the public authorities. A fine of €375,000 can also be imposed. However, we do not opt for this system, because it involves a very large implementation burden. We have received signals that thousands of French officials have to deal with the individual relationships between companies. We believe that the change we are introducing will ultimately reduce the need for justice. The Minister may be able to comment on the role of the ACM in this legislative proposal. Mr Ziengs of the VVD also asked a question about the ACM. He wanted to know if, if the bill makes it, the effects of the law are monitored by the ACM. He also asked whether the ACM could provide input on the effects of this law within a year. My colleague, Mr Mulder, has already dealt with this. In a year's time, we think it's way too early. There is a transitional period in the law. The law will not apply until a year after its entry into force. Until then, entrepreneurs have the room to adapt contracts. We think you can't say anything about the effects until after one year. We are pleased that Mr Ziegs' and Mrs Gesthuizen's amendment to item No. 9 a three-year evaluation period.
ParlaMint-NL_2017-02-07-tweedekamer-20.u17	That amendment shows that we want to include this evaluation and the clause on the horizon. But I also specifically asked for monitoring during the evaluation period. We often see that the effects are already recognizable. My question was whether the ACM and the small entrepreneurs in the preliminary stage could already participate in the monitoring.
ParlaMint-NL_2017-02-07-tweedekamer-20.u18	We do not think there is much point in the transitional year, since contracts need to be adapted. It has also been asked whether the transition year is too short. One year seems too short for us. There can and should be monitored. I assume that ONL, who has also been very involved in the drafting of this bill, will certainly do the same. It is fairly easy to set up a hotline. But the ACM sees no role for itself. It has no legal role here either. I also refer to the Minister. The Minister may also be able to answer this question, but we think one year is too short.
ParlaMint-NL_2017-02-07-tweedekamer-20.u19	Then I await the Minister's response.
ParlaMint-NL_2017-02-07-tweedekamer-20.u20	While we are talking about Mr Ziegs and Mrs Gesthuizen's amendment and the evaluation, I would like to say that we have just had eye contact very quickly and that we believe that the adoption of the amendment is a very good idea, at least if it is accepted. Mr President, perhaps you can also find out through eye contact.
ParlaMint-NL_2017-02-07-tweedekamer-20.u21	I have another way of contacting the clerk. Article 100 provides that none of the members present shall oppose it. If that is the case, this wonderful procedure may enter into force.
ParlaMint-NL_2017-02-07-tweedekamer-20.u22	I don't see any resistance, Mr. Chairman.
ParlaMint-NL_2017-02-07-tweedekamer-20.u23	The Zieggens/Gesthuizen amendment (Doc. 9) has been taken over.
ParlaMint-NL_2017-02-07-tweedekamer-20.u24	Thank you, Mr. Chairman. Mrs Gesthuizen asked a question about self-regulation. She wanted to know what our response was to SMEs saying that self-regulation would be enough. Mrs Mulder has dealt with this. The industry associations that say that existing initiatives will provide a solution all point to Paymentme.nu. This is indeed self-regulation, but Payment now had only 34 participants last December, the last time we looked at the number of participants notified. The Netherlands has 2,840 large companies. This means that only 1.2% of large companies are participating in Paymentme.nu. SMEs in the Netherlands have already said: Payment now is fantastic, but let that law come soon. Mrs Mulder had already mentioned this. We also see this law as a support for this. I think it can reinforce each other, but I also think this law is necessary. All trade associations and all SME associations are asking for this law. Suppose we stick to self-regulation and that large companies would voluntarily decide not to impose payment periods of more than 60 days on SMEs, then SMEs will remain dependent on the goodwill of large companies. If there is another crisis or if something else happens, it is difficult for SMEs to achieve their rights. This law makes it incredibly easy to get you justice. Given the action of the compliance managers at the large company, I think that the large company will comply with the clear-cut provisions of the law. We have an example of self-regulation abroad. Since 2008, there has been self-regulation in the United Kingdom. There's a voluntary covenant. Large companies have promised to use payment periods of 30 days, with a run-off to 60 days. This is similar to European legislation. The target group of self-regulation consists of the 350 largest UK companies listed on the London Stock Exchange. Of this group, only 137 companies had committed themselves to the covenant. But research has shown that only one in five companies in the United Kingdom have confidence in the effectiveness of the code to improve the culture around payment morals. For this reason, on 2 December 2016, in the United Kingdom, they recently announced new legislation requiring large companies to report twice a year on payment periods as of 1 April 2017. This example clearly shows that the voluntary code does not work there either and that the sector calls for more action. Then there is the block of Europe. It is mainly about the level playing field. Mr Ziengs asked for a response to LTO Netherlands, which pointed out the level playing field in Europe. The suggestion is that this proposal would put a head on European legislation. It is not the case that we are putting our heads on European legislation. In fact, the European directive allows individual Member States to draw up stricter legislation if they so wish. This is stated in Article 12 (3) of the European Directive. The European Union has taken on the role of providing basic protection. It is up to the Member States themselves to draw up stricter legislation if they consider it necessary. Several countries have done the same. It varies a bit; in some countries companies have to explain. In some countries, the courts will judge more strictly as they pay later, for example. In some countries, for example, the exception we have here, that it is only about large companies and small businesses, has been removed and it is about all trade relations. In this respect, the Netherlands is, as is often the case, the middle-engineer, and not necessarily stricter than other Member States. We do not therefore expect the Netherlands to be affected by this. A European directive has therefore considerably harmonised legislation in Europe. It is very little interesting for a foreign company to move trade relations abroad only for this reason. In France and Spain, these are still important trading partners of the Netherlands.... there is even much stricter legislation than in the Netherlands. As a follow-up, Mr Ziengs asked whether we would see the danger that large companies would buy their products abroad, so that they would not have to comply with the Dutch rule. We don't think this makes any sense. A payment period is only a very small part of the trade relationship. The choice of which law applies depends on many more factors. For example, we must remember that much more transport costs will have to be paid. We therefore believe that it is not logical that, because of the payment period, which has already been fairly harmonised, you should move abroad. Mr Ziengs had a final question on payment morality. Is it only a Dutch problem, or is it also a European problem? And do the initiators see opportunities to tackle this problem at European level? The European Commission's evaluation shows that the problem exists in several countries. One European solution, unlike the directive we now have, is therefore not obvious. I have just said that the directive deliberately provides basic protection for companies. The Directive therefore leaves it to Member States to lay down stricter rules if necessary. It is therefore not obvious to argue for even more equality at European level, which is already reasonable. We have accepted Mr Ziegs and Mrs Gesthuizen's assessment, but we are waiting for the European directive to be reviewed. That will be at the earliest in 2021. As far as we are concerned, this is taking too long, also in view of the signals we get from the field that it is really a big problem. It's about billions. Hence this law now. I have one final question to answer from Mrs Gesthuizen, on the legal process of SMEs. It has already been mentioned, but Mrs Gesthuizen specifically asked to what extent justice is already being used by SMEs if a company exceeds the payment period, so in the current situation. Mrs Gesthuizen suggested that it would be a very good indicator of how much the effect of this law will be. We do not think that the data on the legal proceedings of SMEs are a good indicator at the moment. In fact, the failure we have just mentioned, the fear of bringing the big business to justice, was precisely one of the reasons for submitting the legislative proposal. SMEs do not dare because they know that they are often not strong. This bill will strengthen people's position. There are no figures available, since the course of justice is an act between two companies. No mention is made of it. Even if the figures were available, it would be difficult to draw conclusions from them. Indeed, such figures do not take into account the number of cases where suppliers do not dare to claim the legal commercial interest rate. The hearing in the Lower House and the consultation showed that few small suppliers are currently willing to claim the legal commercial interest they are entitled to. Hence this law. Finally, we are putting forward this initiative proposal so that large companies can simply comply with the law. The law's getting clap-and-clap. There's no need for justice anymore. If large companies still break the law, small suppliers have sufficient tools to take the step to court in the future.
