ParlaMint-NL_2017-02-14-tweedekamer-38.u1	I would like to welcome the Minister for Security and Justice.
ParlaMint-NL_2017-02-14-tweedekamer-38.u12	Finally, I give the floor to Mr Recourt, on behalf of the Group of the Party of Labour.
ParlaMint-NL_2017-02-14-tweedekamer-38.u13	Mr. Chairman. We have indeed discussed organized crime in Brabant during the general discussion. A number of motions have been tabled on this subject and there will be a response from the cabinet. The Labour Party also laid down its own delta plan there. We will assess the motions on the basis of that. We also discussed mediation in criminal law during the AO. Both the SP, D66 and the Labour Party have made that a point. The cabinet sent a letter today with a response. I found that reaction a little disappointing and on the thin side. I shall therefore put forward two motions to give the cabinet a push in the right direction. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the pilots carried out show that mediation in criminal law is of added value in dispute resolution in criminal law;]] [[Considering that through the application of mediation in criminal law, additional capacity of the police, the Public Prosecutor's Office and the courts can be used to deal with serious crime;]] [[having noted that an amendment was adopted for the year 2017 when the Security and Justice budget was discussed, releasing 1.5 million for mediation in criminal law;]] [[believes that structural investment in mediation in criminal law is needed;]] [[calls on the government to reserve at least 1.5 million in future budgets for mediation in criminal law,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Recourt, Mr Van Nispen, Mr Swinkels and Mr Van Tongeren. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29911-147]]
ParlaMint-NL_2017-02-14-tweedekamer-38.u14	Yes, because I was listening very carefully to hear exactly what Mr Recourt said. The thrust of the motion is perfectly clear to me. Maybe he said something about the cover, but I missed it. What is the coverage of this proposal?
ParlaMint-NL_2017-02-14-tweedekamer-38.u15	I can't cover you. This is about the 2018 budget, so that is technically completely impossible. During our meeting in Utrecht, both the D.A., the police and the mayor were present. They said that with mediation they save a lot that they can use somewhere else. So it's self-deserving. This is much more an incentive to the cabinet to regulate it for the budget, because otherwise, year after year, the Chamber will have to table amendments on the same 1.5 million, whereas the Chamber wants it to be structuralally.
ParlaMint-NL_2017-02-14-tweedekamer-38.u16	There's no cover in the motion. I always attach myself to a cover for a proposal. Can I then understand Mr Recourt's explanation in such a way that, in the event of a reduction in costs, the money could be used for mediation in criminal law, for example, because there would be fewer procedures and so on? It seems to me that we need to look into that first. Perhaps we could ask the Minister to do so before deciding on such a motion.
ParlaMint-NL_2017-02-14-tweedekamer-38.u17	No, I don't see it that way. The amendment tabled to the 2017 budget can only apply to the 2017 budget. The purpose of this motion is to obtain a structural 1.5 million for mediation in criminal law. You can't build anything structural if you have to look every year to see if there's any money left for it. The request to the cabinet is therefore to take this into account for the 2018 budget in the spring the negotiations will begin again on this issue and to give mediation a place in criminal law.
ParlaMint-NL_2017-02-14-tweedekamer-38.u18	Is this a very charming way to just rule over your own grave? For Mr Recourt has already said that a new cabinet must ensure that this, this and this happens. That's not how we do it in this house, is it?
ParlaMint-NL_2017-02-14-tweedekamer-38.u19	You will ask Mr Recourt through the President.
ParlaMint-NL_2017-02-14-tweedekamer-38.u20	Yes, I'm looking at you very nicely, Mr. Chairman.
ParlaMint-NL_2017-02-14-tweedekamer-38.u21	I think that's pretty standard. I should have put this motion before the budget procedure, because how else can you organize structural money? That's kind of the problem. In the case of a budget, therefore, you amend that financial year. The message we want to send is that the cabinet must prevent the Chamber from making an amendment every year for the 1.5 million. So we ask the cabinet to consider how this should be arranged. Of course, that makes it a little over your grave, but in a way that, I think, fits within our parliamentary system.
ParlaMint-NL_2017-02-14-tweedekamer-38.u22	You bring it charming. You have another motion.
ParlaMint-NL_2017-02-14-tweedekamer-38.u23	Yeah, I got another motion.
ParlaMint-NL_2017-02-14-tweedekamer-38.u24	Please proceed quickly, because we have some time pressure.
ParlaMint-NL_2017-02-14-tweedekamer-38.u25	I'll read to you soon. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas mediation in criminal law in the municipality of Utrecht has successfully been the last link to be integrated into the larger model of safe neighbourhoods and safe schools;]] [[noting that during the pilots carried out, the Utrecht mediation model has led to the prevention and resolution of major and long-term conflicts in the district and is therefore actively supported by the municipality, the police and the Public Prosecutor's Office;]] [[Considering that through the application of mediation in criminal law, additional capacity of the police, the Public Prosecutor's Office and the courts can be used to deal with forms of serious crime;]] [[believes that it is important that all municipalities affected by district conflicts should be able to take note of the Utrecht mediation model;]] [[calls on the government, in consultation with the VNG, to develop the Utrecht model and make it available to all Dutch municipalities,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Recourt, Mr Van Nispen and Mr Swinkels. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29911-148]]
ParlaMint-NL_2017-02-14-tweedekamer-38.u26	If only because I'm expected here for the rest of the evening, Mr. Chairman.
ParlaMint-NL_2017-02-14-tweedekamer-38.u27	We're in this together.
ParlaMint-NL_2017-02-14-tweedekamer-38.u28	Mr. Chairman. In the motion in part No. 142 Ms Helder asked the government to investigate new and/or additional measuring instruments in order to obtain as much clarity as possible on the actual number of crimes committed per year. It is true that we provide the Chamber with the following investigations. There is the annual investigation into crime and law enforcement by the Central Bureau of Statistics and the WODC. The Safety Monitor of the Central Bureau of Statistics will also be published annually, even in two weeks' time. The National Threat statue appears every four years. The Criminal Chain Monitor of the WODC is published annually. Mrs Helder specifically asked about organised crime: the monitoring of organised crime of the WODC is published every four years. Reporting on the Security Agenda shall be published annually. In addition, the WODC conducts separate investigations into the extent of unregistered crime, because I have the same need for figures as Mrs Helder and, no doubt, other MPs. That WODC investigation is coming this year. This year, therefore, extensive research is being carried out, partly periodically and partly specifically, into the extent of unregistered crime. That makes this motion superfluous, and that is why I must discourage her.
ParlaMint-NL_2017-02-14-tweedekamer-38.u29	The motion in part No. 142 is therefore not recommended.
ParlaMint-NL_2017-02-14-tweedekamer-38.u30	We have done this exercise in several debates, so I am not going to repeat it. I've already let my light shine on all these tests. Experts don't think it's enough either. I'm asking one last question. The Minister does not comment on the fact that, after all these investigations, the police and the Public Prosecutor's Office have still issued a note on an investigation and prosecution deficit. Perhaps Minister could reflect on that as well.
ParlaMint-NL_2017-02-14-tweedekamer-38.u31	I hope Mrs Helder does not blame me for giving the same answer when she asks me the same question. I have also noted with interest the arguments of the police and the Public Prosecutor's Office, but they do not say that they have too little research material. They're looking for some tools to intervene. Suggesting that insufficient research would be done, I am also a little surprised by the PVV, which I know as a party that usually takes a rather critical look at the size of the government and bureaucracy. The stacking of investigations at the top of the pile I mentioned does smell a bit like bureaucracy.
ParlaMint-NL_2017-02-14-tweedekamer-38.u32	No, that wasn't my question: I'm not asking for any more tests. I am asking for a proper measuring instrument. That's something else. The notion even says literally: the Public Prosecutor's Office and the police attach great importance to a new independent measuring instrument.
ParlaMint-NL_2017-02-14-tweedekamer-38.u33	I can't make it any more independent than the Central Bureau of Statistics and the WODC. Those are neat, independent institutions. Mr. Chairman. Mr Van Nispen began by congratulating Moos. I'd like to go along with that. That is the second time since I was Minister of V and J, because last week Duco Hoogland was also able to announce a Moos. It's a popular name in the room. I also wish this Moos all the best. Then I come to the motion on part No. 143 by Mr Van Nispen and Mr Recourt, in which the government is invited to discuss in the short term with, among others, the Public Prosecutor, the Tax Administration, the police and the municipalities, what is needed to ensure that criminally acquired assets can be taken away better than they are now and to come forward with proposals to this end by 1 April 2017. I share the ambition of Mr Van Nispen and Mr Recourt to take more. It is also absolutely the ambition of the Tax Administration and the Public Prosecutor, which are also the institutions mentioned in the motion. Although I know that it is being worked incredibly hard and over 400 million criminal assets have been taken away over the past year, I am also constantly looking for improvements with these organisations. If I may explain the motion in such a way that I will not be able to inform the Chamber before 1 April, because that is too short a day to inform about the improvements I consider possible with these organizations, then I can leave the motion to the House's judgement.
ParlaMint-NL_2017-02-14-tweedekamer-38.u34	I think that's real. The date of 1 April 2017 as mentioned in the motion may, as far as I am concerned, be changed to "for the summer."
ParlaMint-NL_2017-02-14-tweedekamer-38.u35	Then there will be an amended motion, and for that there will be: Court of Justice.
ParlaMint-NL_2017-02-14-tweedekamer-38.u36	The motion in part No. Mr Van Nispen and Mr Recourt asked the government to explore further the proposal to freeze criminal assets as soon as possible after arrest and to inform the Chamber how to effectively prevent criminal profits from being locked away before they can be taken away. On this point, too, I share the ambition of both proposers. I shall therefore leave this motion to the House's judgement.
ParlaMint-NL_2017-02-14-tweedekamer-38.u37	The motion in part No. 144 leaves the Minister to judge the Chamber.
ParlaMint-NL_2017-02-14-tweedekamer-38.u38	Mrs Van Toorenburg, together with Mrs Helder, has tabled the motion on item No. 145, which calls on the government to set up a so-called undermining fund, to complement it from its criminal assets, from which victims can be compensated and from which local authorities can withdraw funds to co-finance their administrative and judicial efforts to combat undermining (drug) crime. As Mrs Van Toorenburg and Mrs Helder undoubtedly know, the Minister of Finance and my predecessor have worked out and investigated a business case with the aim of taking it away. Within the budgetary rules, such a business case, at least if it is conclusive, is well applicable. A fund where budgetary money is first deposited and then tried to make it back does not fit in. Because we do share the ambition, that business case has worked out. Unfortunately, that first business case did not have the result that the investment could be recouped. As far as I am concerned, that is a disappointing outcome. That is why a follow-up study has been launched, on the basis of which I hope this will still have a positive outcome. I really want to get the results of that investigation first, because otherwise any suggestion that you can make a final financial package cannot be substantiated. So I'd really like to wait and see the outcome of that investigation. In the meantime, as Mrs Van Toorenburg also knows, extra money has been allocated to tackle undermining crime. So it's not like we're doing nothing, but to take the step to that fund right now, I really think it's too soon. However, I would like to return to the Chamber with that inquiry.
ParlaMint-NL_2017-02-14-tweedekamer-38.u39	And your request is to hold the motion?
ParlaMint-NL_2017-02-14-tweedekamer-38.u40	It's possible. If the motion is put to the vote now, I should advise against it, but if it is held until after the examination...
ParlaMint-NL_2017-02-14-tweedekamer-38.u41	I am certainly prepared to do so, especially as the Minister states that he will take these steps. He had already said something about this in the AO, but the reason why I tabled this motion is that I want to have the conversation with these mayors, who say that they think it could be done. And there aren't the least financial geniuses on that mayor's team. If the Minister would like to take this with him, I'd be happy to hold on to my motion.
ParlaMint-NL_2017-02-14-tweedekamer-38.u42	I spoke on the phone with Mr Van de Donk this afternoon and we also discussed this letter. I would like to thank Mrs Van Toorenburg for the offer to hold on to her motion because, once again, I share the ambition, but the figures must be correct.
ParlaMint-NL_2017-02-14-tweedekamer-38.u43	At the request of Mrs Van Toorenburg, I propose her motion (29911, No. 145). That is what is decided.
ParlaMint-NL_2017-02-14-tweedekamer-38.u44	Does the Minister know when that investigation is expected to be completed?
ParlaMint-NL_2017-02-14-tweedekamer-38.u45	It's gonna be this fall, I think. I'm gonna take a look at my backup, but there's been a shakedown. Oh, dear. That information will be given to the Chamber in writing. In her motion in part No. 146 Mrs Van Toorenburg asks the government to inform the Chamber of the way in which it implements the additional proposed measures proposed in the mayors' delta plan and the King's Commissioner. With this motion Mrs Van Toorenburg is going a bit hard, because the motion is in fact uncovered. The mayors and the King's Commissioner ask in the interview I only know the interview; I suppose I get another elaborate plan for both money and regulation. I would be happy, as soon as I have it, to go into the substance of that detailed plan, which will undoubtedly come my way. However, this motion calls on the government to inform the Chamber of the way in which the delta plan is implemented. Because I know from the interview that money is being asked for, the motion is unveiled. So that's going too fast. In this form, I must discourage the motion, but I would like to return to the delta plan in writing as soon as I have it.
ParlaMint-NL_2017-02-14-tweedekamer-38.u46	It is quite clear that the mayors are also asking for all kinds of measures. The SP also gives an explanation. Can the Minister accept the motion if he reads it in such a way that he is prepared to take these measures?
ParlaMint-NL_2017-02-14-tweedekamer-38.u47	As regards the financial section, Mrs Van Toorenburg also pointed out that Mr Recourt was not covered by the motion. If the question is whether I want to respond to the delta plan as soon as I have brought it to me in a slightly more orderly version than via the Volkskrant, I will say yes immediately. That was one of the reasons why I spoke to Mr Van de Donk today.
ParlaMint-NL_2017-02-14-tweedekamer-38.u48	Then I'll hold on to my motion and wait with what the minister comes up with. Then I can put the motion to the vote later.
ParlaMint-NL_2017-02-14-tweedekamer-38.u49	At the request of Mrs Van Toorenburg, I propose her motion (29911, No. 146). That is what is decided.
ParlaMint-NL_2017-02-14-tweedekamer-38.u50	In the meantime, I can also answer the question when the WODC research on a packing fund will become available. Unfortunately, that's not until 2018. I come to Mr Recourt's motions. In his first motion, in part No. 147, he asked the government to reserve at least 1.5 million in future budgets for mediation in criminal law. I'm afraid this is an uncovered motion. Money is requested without indicating where it should come from. I always have to dissuade uncovered motions.
ParlaMint-NL_2017-02-14-tweedekamer-38.u51	The motion in part No. 147 is not recommended.
ParlaMint-NL_2017-02-14-tweedekamer-38.u52	That motion was tabled because, among other things, the letter sent by the cabinet specifically refers to pilots and the year 2017, but the whole intention of the amendment tabled during the budgetary procedure was obviously not a pilot. I've called the word "structural" 20 times. So the Minister can also say that he is taking over the motion, or ask me to withdraw the motion because he is making the amount structural; I agree with that. The whole idea is that we do not want a pilot for one year, but that we want to invest structuralally in this.
ParlaMint-NL_2017-02-14-tweedekamer-38.u53	I understand the wish, but I don't have a structural 1.5 million. So the question comes back to the budget.
ParlaMint-NL_2017-02-14-tweedekamer-38.u54	As co-author of the motion, but also as co-author of the amendment we are discussing, I would like to point out that the coverage was indeed structural. It was money that had been released in connection with the legislative proposal for the reorganisation of administrative justice, a government bill that would cost money, but would not go on. It provides structural resources. Apart from the technical nature of the discussion, I would like to point out that the vast majority of the House has expressed its view that this is very important. There are very plausible indications that this will also save money in the long term. The appeal of the signatories to the Minister is mainly to do justice to the wish and statement of a large majority of the Chamber that recovery mediation, mediation in criminal law, is very important when preparing the budget for the year 2018.
ParlaMint-NL_2017-02-14-tweedekamer-38.u55	I understand the wish and I also find the goal sympathetic. However, this is not the first time in my life as a minister that I have been presented with a motion asking for something to be settled in a budget. Then my message is always that we have to do this by amendment when dealing with the budget. Otherwise there will be a situation in which any financial wish could be settled by way of motion, and you will never be able to make a budget again. I'm afraid I can't be more positive about this.
ParlaMint-NL_2017-02-14-tweedekamer-38.u56	The motion in part No. 147 is not recommended.
ParlaMint-NL_2017-02-14-tweedekamer-38.u57	In Mr Recourt's last motion, the government is called upon to develop the Utrecht model in consultation with the VNG and to make it available to all Dutch municipalities. During the AO I had to confess in the direction of Mr Recourt that I could not have studied the Utrecht model. I've been able to do that by now. The Utrecht model is not about criminal law. Criminal law is the subject for which the money has been made available. The Utrecht mediation model is about resolving conflicts of the type of neighbourhood conflicts, neighboring, parking or hospitality nuisance. That's not criminal law. A number of municipalities are developing neighbourhood mediation routes in this area. They can obtain support for this through the Centre for Crime Prevention and Security. Where we specifically, also financially, support mediation in criminal law, I do not think it is logical, with all due respect, to go to V and J and possibly to the budget of an area which falls within the remit of the municipalities.
ParlaMint-NL_2017-02-14-tweedekamer-38.u58	Mr Recourt, briefly.
ParlaMint-NL_2017-02-14-tweedekamer-38.u59	Then I have an additional request, namely whether the Minister would like to call the mayor of Utrecht. Maybe that's useful. As a chamber, we spoke with the mayor of Utrecht, with the prosecutor, with a commissioner of the Utrecht police and with the mediation. It actually starts at school how to resolve conflicts, then it happens in the neighborhood and the end piece is really mediation in criminal matters. That's the beauty of it. The motion calls for the model, in which it is integrated into a much wider structure, to be made available to other cities as well. They have to pick it up themselves if they want to, but making it available would be nice.
ParlaMint-NL_2017-02-14-tweedekamer-38.u60	I am always happy to speak to Mr Van Zanen. I will be happy to ask him again what his further intentions are with this. The question I asked, precisely because Mr Recourt went into the AO and I then had to confess that I was not aware, was about the type of neighborhood conflicts that do not fit within the pilot, which is precisely criminal law. Again, this really fits into the ordinary work of municipalities. I'm afraid I'm gonna keep dissuading this motion anyway.
ParlaMint-NL_2017-02-14-tweedekamer-38.u61	The motion is dissuaded. This brings us to the end of this report.
ParlaMint-NL_2017-02-14-tweedekamer-38.u62	I thank everyone. The motions tabled will be put to the vote next Tuesday. We immediately continue with the VAO Evaluation Research Act cracking and emptying, when everyone is in the house.
