ParlaMint-NL_2017-02-21-eerstekamer-5.u1	I have already welcomed the Minister of Security and Justice to the First Chamber.
ParlaMint-NL_2017-02-21-eerstekamer-5.u12	The Minister states that we do not need to make any other arrangement in the Wmo because there is sufficient access for victims to the freedom-limiting location. I am actually hearing that there are the same rules for the victims regarding access to the freedom-limiting location as for other undocumented people. This raises the question of whether the conditions for access to that freedom-limiting location are in line with the Victims Directive. Such conditions, such as cooperation on return and the prospect of return, are not included. It is precisely that Member States are obliged to ensure that victims have access to care. How can the Minister bring that into line with the conditions that will apply, or already apply, to these victims?
ParlaMint-NL_2017-02-21-eerstekamer-5.u13	One doesn't have to be in conflict with the other. It may be that someone is in the unfortunate situation that he is at the same time a victim of a crime, reports it and also calls for victim support, and we must note that he is not legally resident in the Netherlands. Both facts are true, aren't they?
ParlaMint-NL_2017-02-21-eerstekamer-5.u14	Yeah, that could be both. That's why we're talking about undocumented victims. However, undocumented victims can in all cases be treated the same by the government as undocumented victims who are not victims. The Victims Directive gives explicit rules on access to aid. The Minister commits access to aid to additional conditions which are not provided for in the Directive.
ParlaMint-NL_2017-02-21-eerstekamer-5.u15	Those conditions follow from the fact that that person is illegally staying in the Netherlands. You can't suddenly deny that fact because of the unfortunate fact that someone is also a victim? We are guaranteeing that this person will have access to the victim assistance that this directive requires us to do, but it does not mean that we will suddenly stop discussing the fact that this person is illegally staying in the Netherlands.
ParlaMint-NL_2017-02-21-eerstekamer-5.u16	I really do not follow this reasoning. The Directive does not allow Member States to impose additional conditions on the reception they are required to provide. The Minister actually does. Is the Minister not prepared, in view of the practical signals I have put forward, to include in the exploration he is about to carry out the problems of access to the freedom-limiting location, so that we can assess whether the directive is being properly implemented and complied with in the Netherlands?
ParlaMint-NL_2017-02-21-eerstekamer-5.u17	I do not want to give the impression that suddenly there is a virtually legitimate residence if someone is in the unfortunate situation that he is also a victim of a crime. Again, both facts of law are judged side by side, but it is not so that it should have an impact on the other. Mr Ruers began with a comprehensive presentation of figures on crime, the number of victims, and the potential investment in police and prosecution. First of all, he looked at a number of figures. To sum up, both the number of registered victims and the number of reported offences are falling. This is demonstrated by monitors that we have produced, inter alia, by the Central Bureau of Statistics, which have recently been released. It is also apparent, for example, from victim surveys and insurance figures, which have to keep track of the number of burglaries. That is good news, but that does not alter the fact that we may not have a good picture of some of the crime. That is what Mr Ruers asked for.
ParlaMint-NL_2017-02-21-eerstekamer-5.u18	The minister says the figure's dropping. Could he then make a distinction between, on the one hand, the figures available to the police and, on the other hand, the figures which are not available to the police? After all, that makes a huge difference. I have noted something about both the first and the second situation. What's that fall in the Minister's opinion?
ParlaMint-NL_2017-02-21-eerstekamer-5.u19	I was just going to go into that further. The falling figures I mentioned come from different sources. So from the question to the public: were you a victim of crime? So that doesn't have to do with the question: did you report it? After all, these are the police figures that show a decrease. So the question was, were you a victim of crime? In the area of common crime, such as burglaries and robberies, there is a decline. At the same time, I realize that we may not have a clear picture of crime.
ParlaMint-NL_2017-02-21-eerstekamer-5.u20	I have quoted the Minister from the, in my opinion, most recent report. It is about the figures for 2015: 34 crimes per 100 inhabitants. In total, there were 4.5 million crimes in 2015. I hear the Minister saying that this figure would have fallen. Can he tell me what year and what figures that is? I do not have that information; at least it is not apparent from this report. What's the Minister's position on this drop?
ParlaMint-NL_2017-02-21-eerstekamer-5.u21	Last week, the Central Bureau of Statistics published the falling crime figures. That's what I'm basing myself on. This relates to a number of years. Several sources indicate this decline. Again, this reduction applies to a number of important categories of crime, in particular the common crime. However, this does not rule out the possibility of unreported or underreported crime, for example in the case of cybercrime or organised crime. That's why I'm having the WODC investigate the size of that dark number. Mr Ruers' question whether the figures show the whole reality is therefore a fair question. I want to know the answer to that, too. The good news is that there has been a decline in a number of areas that have been measured for several years. Mr Ruers also asked about the necessary investment in detection and prosecution. As he knows, an additional 450 million has been allocated to Security and Justice under the 2017 budget. In addition, we have recently learned what amounts the various political parties hope to allocate to the various subjects when they are at the negotiating table for a new coalition agreement. In itself, I am pleased that almost all parties want to give extra money. However, I am a little more concerned when I see that some parties want to allocate money that they do not actually have. But that seems to me to be a discussion that should first be held with the electorate, and within the framework of a new government agreement, after the electorate has ruled on it. I am lucky to have extra money for the 2017 budget. My commitment is to use it as wisely and effectively as possible. Then Mr Ruers asked whether no further steps should be taken to enforce the rights of victims. He also discussed the announced modernisation of the Code of Criminal Procedure. This modernisation is based on the assumption that recently implemented legislation will not be amended again. This also applies in principle to the rights of victims. Fortunately, victims have already gained a stronger position in criminal law in recent years. However, victims' rights are supplemented in a limited number of areas in the modernisation process. Those additions are included in the Contourennota Modernisation. Then we are talking, for example, about the regulation of the complaint about not continuing to prosecute. A complaint period is introduced to speed up the procedure. In addition, Mr Ruers considers it important for the victim, if he has joined the criminal proceedings as an injured party, to be able to appeal independently against decisions on his claim to the Court of Justice or, if that is the case, to go into cassation. Again, that's the Modernisation Code of Criminal Procedure route. Mr Ruers also asked whether this should not happen now, when this law is introduced, and whether we should not go further. Cases where the victim was not properly or late informed are very regrettable. However, I do not believe that a new remedy is going to help. This concerns, for example, cases where someone has not been informed that there has been a hearing. It is indeed very regrettable if someone hears it afterwards. At that time, however, it is no good to anyone to go to court, because that hearing has already been held. My commitment is to prevent such mistakes from being made. It's always human work, so we have to accept that sometimes things go wrong. Partly as a result of the implementation of this directive, for which we have taken preparatory steps, the police and the Public Prosecutor's Office are working extensively to ensure that the safeguards are implemented in practice.
ParlaMint-NL_2017-02-21-eerstekamer-5.u22	I would like to thank the Minister for his clarification on this point. However, I was concerned with the following. You yourself, at least your predecessor, have acknowledged that this is a problem for the victim, because it is fishing behind the grid in the situation described by the Minister in the documents I have quoted. The government recognizes that problem and says it wants to solve it. It wants to do so in the Contourennota Modernisation Code of Criminal Procedure. My problem is that it could take five or maybe ten years for this to be dealt with. If the Minister agrees with us that this is a gap in the law that is to be solved, because the concept is already there, what does the government have to do to just make that gesture and make the point? Why can't the government take care of that in the short term? That's possible, isn't it? It's almost done. We agree that it must be done and that this is a good thing for the victims. Then what is the Minister's concern? Why wouldn't he introduce it sooner than five or ten years from now?
ParlaMint-NL_2017-02-21-eerstekamer-5.u23	Last week I was a guest of the First Chamber in a discussion on the implementation of the Code of Criminal Procedure. I said at that time that it is happening carefully and with the necessary urgency. I also said that I hope that we will be able to submit an implementation law in 2018, but that the actual implementation, due to the major impact on all parties involved, will probably take a few years afterwards. I haven't talked about ten years, but I have in a few years. It is a very large legislative process. That is why it seems careless to me to make some sort of intermediate sprint. It is indeed an important subject, and I agree with Mr Ruers. However, if we draw one important issue from a large number of important issues, there is this Code of Criminal Procedure, because we are losing coherence. My aim is to count the blessings of the present bill. This represents a number of concrete improvements in the situation of victims and is accompanied by changes in the way police and prosecutors operate. This is now being set in motion. Let us not delay or complicate this by taking additional steps on top of it. Mr President, I hope I have answered the questions in the first place.
ParlaMint-NL_2017-02-21-eerstekamer-5.u24	Thank you. Then we have arrived at the second term of office. I give the floor to Mrs Strik.
ParlaMint-NL_2017-02-21-eerstekamer-5.u25	Mr. Chairman. Article 9 of the directive we are discussing now imposes an obligation on Member States to ensure a safe haven for victims who, because of an imminent risk of victimisation, need safe hiding places. I had an exchange of views with the Minister on whether legal access should be regulated in the WMO. The Minister doesn't think so. He says we don't have to, and we'll take care of this at AMvB. We continue to disagree on this. It is all the more important to see whether this is actually guaranteed. I don't think we'll get any closer to each other on that point either. The Minister makes a very clear distinction between victims of domestic violence and other victims. According to him, victims of domestic violence have access to social care. He's gonna investigate where the bottlenecks are, and then he's gonna come up with solutions to these bottlenecks, so that things are secured. Of course, we are very happy about that. My group cannot understand, however, that the Minister is so laconical about the other victims of crime. The directive does not distinguish between victims, as long as they are victims of crime. The directive clearly states that the principle of equality must be respected. Therefore, those residing legally must be treated in the same way as those residing illegally. The Minister won't go along with that. The Minister doesn't do it that way. He says that further conditions may be laid down for undocumented victims. He says, after all, they also remain undocumented. How can he bring this into line with the principle of equality? No distinction should be made between residence status, but the Minister does. How else am I supposed to interpret this? In addition, my group remains concerned about whether the useful effect of the directive will not be affected. It may be that the victim cannot meet the conditions, or that he cannot make it clear that he cannot meet the conditions. On this point, too, the Minister does not treat the victims in any other way than other undocumented persons. We are therefore afraid that this will jeopardise compliance with the directive. That is why I ask the Minister whether he is prepared to identify and inform us about the possible bottlenecks in practice. The Minister says that we should not create a quasi-righteous residence. That's not the point at all. It remains unlawful, but it is quite possible that it is not clear whether someone is not cooperating, or that someone is not cooperating because of trauma or the situation. However, under the directive, there is still a duty to provide adequate reception and assistance. On the one hand, therefore, I have a question on the principle of equality. On the other hand, I am asking to what extent the freedom-limiting location is sufficiently sensitive to take account of victims. I don't think it's designed for that at all. I also strongly ask the Minister how he intends to ensure that all the care that the victims need is actually provided in the freedom-limiting location, at the same level as the care that the Dutch, legally resident, receive. I haven't heard the Minister say that. Is the Minister prepared to take these concerns with him and to examine to what extent we are going to comply with this directive?
ParlaMint-NL_2017-02-21-eerstekamer-5.u26	Mr. Chairman. I would like to thank the Minister for his reply and his explanation, including the interruptions I have put in place. I still have a few comments for the Minister. I referred to the report of the regional mayors and the prosecutor, to a robust and forward-looking Police!. At the end of the report, it says that a structural investment of EUR 927 million is needed. Does the Minister recognize that amount? Does he think it's right, or not? What does he think of that question from the state's attorney's office and mayors? Is that amount, in his opinion, sufficient, or not? The Minister refers to the budget, but this amount is certainly not in the budget. That amount is much lower. I'd like to hear the Minister's views on that. Then I come to the figures on reported and unreported crime. I quoted from the report. They're pretty impressive numbers. In any case, I was surprised that so little was reported about the crimes actually committed. The Minister said that these figures are falling. I asked him to do so, and the Minister said he was using the CBS. I would appreciate it if the Minister would send us a letter on his view of these figures and, in particular, on the basis on which he bases himself, such as that of the CBS. If those figures from the report I just mentioned are not correct, I would like to hear what the Minister thinks is wrong. It is a significant report and it would be nice if we were to know for sure whether the figures are correct or not. The minister said he's going to investigate, as he calls it, dark numbers. That is fine with me, but I would like to know from him who is going to do the research and when we can expect results from it. Is that what this report says included? Of course, that would also be very important, because then we would have hit two birds with one stone. I have made the proposal to extend the rights of victims in advance on the issue on which the Minister and our group agree. The Minister says that he finds that difficult, referring to the contour note. It was known. The minister said it was hard for him to pull an intermediate sprint for this. If the Minister recognizes the importance, I think it should be possible to draw that little intermediate sprint. The Minister and we agree; we know about what is to come out. In fact, I find it incomprehensible that this is being postponed in the medium term or at least in the medium term. I am in favour of doing it in the real short term. I'll file the next motion for that. The President shall: Mr Ruers, Mr Don, Mr Strik, Mr Köhler, Mr Meijer and Mr Overbeek proposed the following motion: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Government recognises that the victim may have an interest in not being dependent on an appeal by the defendant or the prosecution;]] [[Whereas, in that situation, the victim of the crime should be given the opportunity to appeal independently to the court's criminal chamber or to the Supreme Court;]] [[calls on the Government to take care of this in the short term,]] [[and goes to the order of the day.]] [[She's getting No. kst-34236-H]]
ParlaMint-NL_2017-02-21-eerstekamer-5.u27	That concludes my speech, Madam President.
ParlaMint-NL_2017-02-21-eerstekamer-5.u28	As soon as the Minister has received the motion, he will begin his reply.
ParlaMint-NL_2017-02-21-eerstekamer-5.u29	Madam President. Mrs Strik asked me once again to deal with the situation of victims who are not legally resident in the Netherlands. She referred, inter alia, to Article 9 of the Directive. But Article 9 is, not entirely surprisingly, followed by Article 10, which says that the declaration of a criminal offence and participation in criminal proceedings do not create rights in relation to the victim's residence status. That was precisely the concern I expressed to Mrs Strik: I do not want to mix two independent legal facts. The directive commits rights to being victims. We want to implement them fully. This means that a person who is illegally staying in the Netherlands and reporting to or already staying in a closed care facility will receive all the victims' rights, as will all medical facilities. But I don't want to mix that with the right of residence. I believe that the directive provides grounds for this.
ParlaMint-NL_2017-02-21-eerstekamer-5.u30	I think there's really been a misunderstanding here. I didn't ask for a mix of residence status at all. The Directive expressly prohibits the distinction by residence status. The Directive therefore imposes new obligations on Member States to provide victims with adequate care and access to reception. In doing so, they will not be given any other residence status, but they must not be treated differently, worse than those who are legitimate here. The Minister continues to refer to undocumented locations where additional conditions are imposed. Are these conditions permitted under this directive? This is different from creating new right of residence. It's a matter of unconditional custody guarantees.
ParlaMint-NL_2017-02-21-eerstekamer-5.u31	These conditions may be provided for within this Directive. The condition of reporting to a closed residence institution for undocumented persons follows from the fact that someone is staying here illegally. At the same time, the right to victim assistance and other assistance is fully available. This directive obliges us to do so. It is not contrary to the principle of equality, nor is it contrary to the directive.
ParlaMint-NL_2017-02-21-eerstekamer-5.u32	I do not think we are getting any closer to each other on this point. I can imagine that one day a judge will be required to give sufficient clarification on this matter. I do have another question. The Minister has just made it clear that the victim is given the same rights in the reception. Does that mean that the same care, all specialized care, is available to the undocumented victim, just like it is available to other victims?
