ParlaMint-NL_2017-11-08-tweedekamer-11.u1	The next item is the debate on the Kingdom relations budget.
ParlaMint-NL_2017-11-08-tweedekamer-11.u12	You're talking about a "block," but they're huge blocks. Mr Van Raak already wanted to interrupt. The floor is up to him.
ParlaMint-NL_2017-11-08-tweedekamer-11.u13	I thank the Secretary of State for the clarity he has provided. He says first of all: as far as the Dutch Government is concerned, reconstruction must begin as soon as possible. That's good news for all the people on Saint Martin. But the people on Sint-Maarten are also starting to get worried and angry at the Netherlands because it all takes so long. Have I understood correctly to the Minister that the money is ready, the plans are ready and the execution is ready, but that we are waiting for a signature from Saint Martin? And who's gonna sign that? There's a formatter in progress right now. If we want to proceed tomorrow in a manner of speaking, who should sign it today in Saint Martin so that we can begin reconstruction?
ParlaMint-NL_2017-11-08-tweedekamer-11.u14	That's a fair question. We would like to begin reconstruction. The States have taken a majority decision. Those are the states that are there now, and perhaps they will be other states if there were elections in January. Anyway, it's about the states of today. And there's a prime minister. He may be outgoing, but he's the one who should accept the terms, as far as I'm concerned. Then you have both on the side of the States and on the side of the government commitment. Let me be very clear: formal decision-making in the Netherlands is precisely the reason why I cannot yet inform you about the details. This decision-making process has not yet been completed either. That will happen soon. So we are basically done. But whatever we are going to do, we want to help with reconstruction, we want to close the emergency phase and continue it will always be conditional. In other words, if the new States or the new government reverts to the agreements made, the consequence will be no different than that the Netherlands suspends, temporises or suspends aid. I do not want to anticipate that, but I would like to outline the scenarios, the options. So there is always the possibility that we reserve that right to stop aid if, to take it as big as politics, we would change our minds on Saint Martin in the coming months.
ParlaMint-NL_2017-11-08-tweedekamer-11.u15	In the ideal case, therefore, we will soon have a government of national unity in Saint Martin, a business office with which we can do business and thus start reconstruction very quickly. But we also know the politics of Saint Martin and the chances of that happening are very small. There is a good chance that there will be political strife, political quarrel, especially in the run-up to elections. So the chances are very high that the politics of Saint Martin will not be that stable partner with whom we can carry out the reconstruction. In that case, does the Secretary of State still believe that reconstruction should take place because the people of Saint Martin need it? If so, what opportunities does he see within the Statute for starting these projects within the Kingdom, regardless of the government and the squabble of politics in Saint Martin?
ParlaMint-NL_2017-11-08-tweedekamer-11.u16	I think I've already answered that question. Yesterday, I fully understood to the House that helping Saint Martin is of the utmost importance. But that aid cannot be unconditional and not without commitment. So I sincerely hope that the people will understand the message from the Dutch Government, supported by the Dutch Parliament, to start reconstruction also in the run-up to possible elections; there are several scenarios that we may well understand, namely that we are setting these conditions, that we are prepared to help and that the choice of the population in elections determines how things proceed. So in fact, you can say that the people of St.Maarten have their own destiny in their own hands by choosing elections and that they have the country of the Netherlands as their partner, which is also politically willing to join them, because they are in huge trouble there. But then we can also ask for a number of things. I don't think that's much more than reasonable.
ParlaMint-NL_2017-11-08-tweedekamer-11.u17	Finally.
ParlaMint-NL_2017-11-08-tweedekamer-11.u18	That's right, but then the Secretary of State starts with elections in January and then we might have a stable government in February. And until then? Until then, the families have no roof, no work, no income. That's a tragedy. So what are we gonna do until then? Are we going to accept any political wrangling on Saint Martin, which is certainly not theoretical in view of the elections? So that means we're not gonna do anything in that case. Or are we going to do something and see how, within the framework of the Kingdom, we can take responsibility for providing a roof, still providing a job and still providing an income?
ParlaMint-NL_2017-11-08-tweedekamer-11.u19	The latter is the case. So I would say: what happens politically, I have no judgment on that. You displayed that extensively here yesterday. I can imagine anything, even in the past few years. Of course, it's far from stable. However, in the Netherlands too, we sometimes have discussions about cabinets with a single seat majority. So we need to put it in perspective a little bit. Anyway, it's something else. I think it is important that we start with this reconstruction. Any politician in Saint Martin who does not agree with that must simply say so. Then people have something to choose. And someone who says "we support that," we stick to that. We are reliable in our agreements. Then we expect the same from the other side. I have no need to play a political game over the back of people who have experienced terrible disasters, who are without a home or a fireplace. We just have to help them. That was the signal I heard yesterday. You have also referred to the Statute. Of course, there are all options, but I don't want to anticipate that until I receive the letter from the governor in which he did his job. Well, that could be next week, but it's the first thing we're gonna do is start that help. I will do everything I can to complete the decision-making that still needs to be taken in the Netherlands as soon as possible.
ParlaMint-NL_2017-11-08-tweedekamer-11.u20	Mr. Chairman. Let me make a preliminary remark. Because this is such a big block, I actually have more questions than I can ask at once. But let me just confine myself to the political situation and ask you a very sharp question. I heard the Secretary of State right. He wants to start agreements as soon as possible, and if there is an interim government, it can do so even if there is mutual trust that we meet each other's conditions. But what if we continue with the elections? Is there such mutual trust?
ParlaMint-NL_2017-11-08-tweedekamer-11.u21	For me, it's separate. It is not so important whether there are elections or in a year's time, except for the fact that I am wondering at the moment whether these elections can be carried out properly at all. It is important to make agreements with the government that is sitting there, whether it is outgoing like this government or whether it is an interim cabinet or whatever. It is just like in the Netherlands: a outgoing cabinet can make agreements with third parties. We can do that here, too. I say immediately that this is a gesture from the Netherlands. That gesture must be answered. When this does not happen, I reserve the right to suspend or withdraw the commitments made on our part.
ParlaMint-NL_2017-11-08-tweedekamer-11.u22	I understand the latter. At the same time, we also have the Dutch political situation. Your coalition colleague VVD said that we can only make agreements if there are no elections in January. I just heard the CDA Secretary of State say something else. If a motion will be tabled in the near future that will make it dependent on the momentum of elections, how will you deal with that? And what are we supposed to do with that in our own judgment?
ParlaMint-NL_2017-11-08-tweedekamer-11.u23	That's "what if." I would say: let the motion come, because then I can judge it. Right now, it's very clear to me. I do not want to be dependent on elections, but I share the concerns of the Chamber as to whether those elections can be held. That process is still ongoing. I've set out actions for it, including towards the governor. In the phone call I made with him today, I indicated that I have concerns about it. I said that in the letter of office in the direction of the governor. He's taking stock of that case right now, along with the Prime Minister. He also consults with the head of the polling station. We have seen that letter to which Mr Bosman referred. It's not tender what's in there. There are both practical and legal objections. I will not now, if you will allow me, and publicly anticipate all kinds of scenarios, because there are indeed all kinds of scenarios, which we also know. I'd like to concentrate on the answer that's coming. If, for example, the answer is that elections could be organized, then, as far as I am concerned, they can just happen. That is the authority of the country itself. However, I would like the concerns we have about the practical feasibility of directory files, people who no longer live at their addresses or files that have been destroyed to be resolved in an orderly manner. If there is a need for postponement in order to ensure good elections, then that should be done. But again, that is not our decision. It's a decision of the country. We're going to start reconstruction. If politics is different and majorities in the States would be different from the majority that exists today, and if that new majority says that the Dutch conditions must be fully and fully taken over, then we will see that again. But I've already said a few things about that.
ParlaMint-NL_2017-11-08-tweedekamer-11.u24	Finally.
ParlaMint-NL_2017-11-08-tweedekamer-11.u25	In substance, I am on the same lines with the Secretary of State and he speaks about the same words as I said yesterday, both about the concerns and the autonomous position. I called it "almost a paradox." At the same time, we are dealing with the Dutch political situation, in which I hear coalition colleague and cabinet colleague VVD say very loudly: no, I do have a condition. If there's a motion, I want to know how we're gonna deal with it later. I think that is a very legitimate question, which I have to ask you because we will have to consider it later.
ParlaMint-NL_2017-11-08-tweedekamer-11.u26	Mrs. Kuik may ask that question. There will only be a second deadline, in which motions will be tabled. We can then have the debate on that. I understood Mr Bosman yesterday mainly in such a way that he said: I am very concerned about whether it is wise to hold elections. I told you before, I'm gonna share that. That's why I turned off actions. I think it would be a good idea to wait for the answers to that first. I have not heard Mr Bosman say very loudly that it must necessarily last a year. In my view, he has given it mainly as a suggestion to indicate that it did not seem sensible to him at the moment. Once again, I can imagine anything, but I would point out that it is the authority of the country and that it is not up to the Dutch Government to interfere.
ParlaMint-NL_2017-11-08-tweedekamer-11.u27	Mrs Van Tongeren, I know your turn, but I think Mr Bosman would like to explain something. At least, I have that impression.
ParlaMint-NL_2017-11-08-tweedekamer-11.u28	Yes, Mr President, because it bothers me that Mrs. Kuik keeps trying to put words in my mouth that I didn't say. I said I was very worried about the January elections. They're already working on it in the very short term. In two days' time, CVs will have to be filed for new cabinet members. They should be there on the border in December. In January, the elections will be held. That makes it very unstable. That's all I said. You have to ask yourself if it makes sense to do business with such a cabinet, because you know that you have another cabinet in January. All these things belong in the same row, just like the election. I never said you shouldn't do business, but I did say there are serious concerns about stability. That's to correct Mrs. Kuiken, Mr. Chairman.
ParlaMint-NL_2017-11-08-tweedekamer-11.u29	You've made your point.
ParlaMint-NL_2017-11-08-tweedekamer-11.u30	Mr President, I am very sorry, but there is now a debate through the interrupting microphone, when very harsh words have been expressed in the newspapers in particular. It's about a very complicated thing. I share the concerns. I also think January is unfortunate timing, and so I want to know exactly how he is in it, how he weighs it and what that means for our weighing. We want to stand up for the people who are the victims in Saint Martin.
ParlaMint-NL_2017-11-08-tweedekamer-11.u31	Then I'm going to see Mrs. Van Tongeren.
ParlaMint-NL_2017-11-08-tweedekamer-11.u32	Thank you, Mr. Chairman. I too have heard Mr Bosman on the radio and read in the newspaper. I am glad that there is now a more workable attitude by saying now what the Secretary of State also says: the country itself is basically about it, and when we are asked for help, we do so. They are not completely crazy either, they have their own electoral college which can also oversee exactly the things Mr Bosman mentioned. It is up to them to decide whether and when they intend to postpone it.
ParlaMint-NL_2017-11-08-tweedekamer-11.u33	And now the question.
ParlaMint-NL_2017-11-08-tweedekamer-11.u34	My question would be as follows. Emergency aid is now being given. The Secretary of State says that under conditions, I can suspend or suspend reconstruction aid. The political squabble and the power game, I'm sure, but I wish the Secretary of State could say that the ordinary woman and the ordinary family on that island get help when they need it: a roof over their head, running water, medical care. Despite what political leaders do and do not do.
ParlaMint-NL_2017-11-08-tweedekamer-11.u35	I think it is right to distinguish between the emergency aid that can discharge the first needs and the fact that the country is not at all ready for the next hurricane season. That reconstruction phase is the stage you should be entering. I cannot and will not issue blank cheques here. That is when, after elections, it may be in January, but that may also be in July, the majority of states would say that they do not agree with that integrity chamber or that they want border control to be different, I reserve the right not to allow that investment that the Netherlands wants to make to continue. It's really up to the voter in Saint Martin to decide which direction he wants to go. That seems to me to be very legitimate and very clear in advance. Then everyone knows what he's up to. I sincerely hope that this gesture from our side, once again, I know that many in Parliament, supported by many in Parliament, will be answered by a positive signal at such an election.
ParlaMint-NL_2017-11-08-tweedekamer-11.u36	Is the Secretary of State also prepared to look at other ways of helping ordinary people, should there be a gap between emergency aid and the need for reconstruction? There are churches there, there are NGOs, there are all kinds of organizations that allow you to keep an eye on that money; I think it is right for the Secretary of State to say so. People who need it very badly shouldn't pull the help out in front of you just because you want to get some things from a government that those ordinary people have very limited influence on.
ParlaMint-NL_2017-11-08-tweedekamer-11.u37	I recognize the latter, but I can't promise it right now. If I did, I would make a promise that I might have to revoke afterwards. I'm not. Of course, we'll keep an eye on it. Let me say it in a positive way: despite history and despite the stories that have been told here in Parliament, politics in Saint Martin is very much aware of the fact that it is at a crossroads where what is to be chosen. Do they want to help the country again with the help of others or do they fall back into internal politics, of which the ordinary Saint Martin will suffer? Of course, no one wants the latter, at least not here. And I hope that this message will also be understood in Saint Martin.
ParlaMint-NL_2017-11-08-tweedekamer-11.u38	Finally.
ParlaMint-NL_2017-11-08-tweedekamer-11.u39	Yes, they understand that in Saint Martin, of course. Move along with the conditions that we as the Netherlands impose or get no reconstruction money. Perhaps without the Secretary of State being able to make a firm commitment, a plan B is also being considered. I hope so. I would like to call on the Secretary of State to do so, so that the ordinary people who really have relatively little influence are at least not deprived of emergency aid first and soon the beginning of reconstruction, it cannot be through the government than through other channels.
ParlaMint-NL_2017-11-08-tweedekamer-11.u40	I am well aware that the people who were already in a vulnerable situation have become even more in that position because of a hurricane. This will also be part of the reconstruction plans. I am thinking of education, but also of stimulating the economy. As a result, people with little training may also get a job, and that is the best security of life you can get. I have heard Mrs Van Tongeren correctly, Mr President.
ParlaMint-NL_2017-11-08-tweedekamer-11.u41	Mrs. Chicken, you've just been here.
ParlaMint-NL_2017-11-08-tweedekamer-11.u42	This is about the integrity room.
ParlaMint-NL_2017-11-08-tweedekamer-11.u43	I think the Secretary of State will come back to that.
ParlaMint-NL_2017-11-08-tweedekamer-11.u44	No, it's in this block.
ParlaMint-NL_2017-11-08-tweedekamer-11.u45	That was in this block.
ParlaMint-NL_2017-11-08-tweedekamer-11.u46	Mrs. Chicken.
ParlaMint-NL_2017-11-08-tweedekamer-11.u47	I understand it's late, but that's because it's a big block and I think it's just as important. I would like to thank the Secretary of State a for the fact that the department is already working with the World Bank to see how they can manage the supervision of that money properly. I think that's very important. Two, I have another question about the integrity room. The letter did say: advice. The Secretary of State adds: also the search. My concern is then whether there is sufficient capacity and expertise to do this right. I doubt that very much. In my opinion, there is a need, among other things, for national police to be able to do that really well.
ParlaMint-NL_2017-11-08-tweedekamer-11.u48	That's a fair point. This will also be taken into account in the further development. Sint-Maarten himself will play an important role in this. But, of course, we will ensure that such an important condition, which we ourselves have made, is properly operational. Indeed, there is a power to investigate alleged abuses. And, of course, if it really were to become a criminal offence, it would continue to play out, but first and foremost, it would be to monitor the proper use of funds.
ParlaMint-NL_2017-11-08-tweedekamer-11.u49	Then I'll finish, Mr. Chairman. Thank you for this commitment. I would like to see in the report we are getting on how this is done exactly, how it is operationalised. Thank you.
ParlaMint-NL_2017-11-08-tweedekamer-11.u50	Please continue.
ParlaMint-NL_2017-11-08-tweedekamer-11.u51	I can promise you that, Mr. Chairman.
ParlaMint-NL_2017-11-08-tweedekamer-11.u52	Fine. Thank you.
ParlaMint-NL_2017-11-08-tweedekamer-11.u53	Mr. Chairman. Good governance on the islands is our second priority and the importance of good governance is difficult to overestimate. It is a necessary condition for resolving political and social problems and for citizens' confidence in government. Just like in the Netherlands, I'd almost say. Moreover, OECD research shows that there is a direct link between good governance and prosperity. The cabinet is willing to invest extra in the islands under the condition that good governance and financial accountability are secured at an adequate level. It goes without saying that the Caribbean parts of the Kingdom and the Caribbean Netherlands have a great responsibility here. We are also counting on them to feel and take that responsibility. The Netherlands can and will support the islands where necessary, for example by developing operational criteria for good governance, which work in the Caribbean context and which can also be assessed. I am going to elaborate on this together with the departments and the Caribbean Netherlands. Mr Bishop asked me what the pursuit of good governance means. We could set up a whole tree on that, but in the context of the Caribbean parts of the Kingdom I would say: especially with regard to law enforcement. And here's what I can tell you. Due to the existing issue, it has been decided to continue funding the Team Combat Undermining until 2021. This part of the detective cooperation team focuses specifically on the undermining island transcendent crime. Undermining is linked between organised crime and governance. The approach that has been going on since last year is now beginning to bear fruit. There is a substantial number of persons and legal entities on the team. Furthermore, the team gets an insight into extensive illicitly acquired capabilities. The first results confirm, unfortunately, the need for this approach. For a lasting result, it is important that the undermining activities encounter broad and sustainable social resistance. Mr Bosman asked me whether this is a good time to set the clocks on the same footing as Saint-Eustatius and together to ensure that they too will get the finances in order and form a sound administration. In view of the administrative and financial situation at St Eustatius, my predecessor decided to set up a committee of wise men, consisting of Mr Refunjol and Mr Franssen. This Committee of Wise Men investigates the functioning of the public body Sint-Eustatius and involves all aspects of both the control of the public body, the board, the island council and management, as well as the execution. The committee reports to me its findings and makes recommendations to a body of quality that is sufficiently functioning. According to the decision of the institution, the committee would present its report at the end of September, which had already been completed, with conclusions and recommendations. The committee has only informed me that the preparation of the report takes more time than was foreseen. She expects to be able to complete her report in early December. If that report is available, I will, of course, inform the Chamber. I have one more point in this block, Mr. Chairman. Mr Bishop asked me if I see anything in creating a new delta plan for the Kingdom's relations, including the integral strengthening of the rule of law and the organisation of finances. The Dutch commitment to the law enforcement chain in the Caribbean countries has recently been vetted. This policy review of Article 1, the guarantee function, of the budget of Kingdom relations, will be sent to your Chamber very soon. The cabinet response to this screening will follow at the beginning of the new year. In this I will explain how the cabinet will implement the Dutch contribution to law enforcement in the Caribbean countries of the Kingdom in the coming period. This is, of course, in coordination with the countries.
ParlaMint-NL_2017-11-08-tweedekamer-11.u54	Very happy with the answers in this block. My question is how much money is now available for that Team Combat Undermining. I think we're all very happy that this team is doing that. It may be up to me that I do not follow the budget in its entirety. There's been a cash drawer. Then we also have exchange rate reserves. There should also be a contribution to a negative end-of-year margin. As a result, it may seem that very little money is available. But maybe I'm reading it wrong, and there's just plenty of money available. I hope so.
ParlaMint-NL_2017-11-08-tweedekamer-11.u55	I would like to return to this in the second term, Mr President.
ParlaMint-NL_2017-11-08-tweedekamer-11.u56	The Secretary of State begins his contribution with a piece of text from the government agreement, which deals with additional investments and the conditions for doing so: good governance and adequate financial accountability. Next, it is about law enforcement and the use of this cabinet on a number of points. Has the Secretary of State felt the need to ask the islands what the needs are there, and then to be able to adapt the investments to them?
