ParlaMint-NL_2017-04-12-tweedekamer-3.u1	I would like to welcome the Minister and my colleagues.
ParlaMint-NL_2017-04-12-tweedekamer-3.u12	I would like to thank Mr Verhoeven for his gracious words. Despite all my appreciation for his clear answer, I would like to say that there is still something missing, namely the precise answer to the next question. What is the category of potential terrorists who, in Mr Verhoeven's view, are important to follow, but not so important that, for example, the AIVD could follow them on the basis of a formal law?
ParlaMint-NL_2017-04-12-tweedekamer-3.u13	Now Mr Koopmans of the VVD pretends that this is only about violating the letter, telegraph and telecommunications secret to be modernised in the event of terrorism. Of course, there is no question of that. There are many more times when the government could rely on the concept of "national security" to intervene far-reachingly in the privacy of certain people. It is precisely the fact that the VVD is right about terrorists that is sort of the most far-reaching case in the field of national security, where D66 can also imagine that you will go far, that we agree on the extreme, but that we are more cautious in the grey area than the VVD. Because the VVD now chooses to describe the extreme, it actually shows that it does not want to think about the so important grey area. That's where D66 comes around the corner, to protect and regulate that well. That's the way you should see it.
ParlaMint-NL_2017-04-12-tweedekamer-3.u14	So Mr Verhoeven wants to add that this is necessary in a democratic society. We know that from European law and case law, but we do not see that in our constitutional system, even with regard to other fundamental rights. So that raises an objection to me. For example, Article 8 states: "The right to association is recognised. The law may restrict this right in the interest of public policy." So that's not where we do it that way. Is it not, therefore, confusing for the interpretation of other articles and contrary to the system of dealing with fundamental rights if we suddenly do so in this article?
ParlaMint-NL_2017-04-12-tweedekamer-3.u15	That is, of course, a very fair question, but we are now discussing this article. Mr Van der Staaij may well have a point: you should also consider to what extent an addition like this relates to other articles. I think Mr Van der Staaij understands the purpose of the addition. He just doesn't like the systematic, because it doesn't fit in with the systematic in articles that have been discussed before in this house. He could be right about that in a number of articles. I would like to admit that, but this is the part that we are discussing. In doing so, I choose this methodology. Moreover, there has been a great deal of change in this regard. I cannot now review all the articles of the Constitution, but this article concerns a section in which a great deal of change has taken place and where we see a trend of security, the transfer of national authorities to the protection of citizens by using modern communication. At this point, therefore, an additional step may be justified in relation to other articles, which deal with much slower moving domains. That would still be possible. I therefore find Mr Van der Staaij's question intriguing, but I am trying to point out that we are discussing this article now and that this article may change something very quickly, so that an additional addition is not so crazy, also from the practical point of view.
ParlaMint-NL_2017-04-12-tweedekamer-3.u16	I understand the reasoning, but the point remains that you run the risk of recognising, for example, the right to association that it can be restricted by law in the interests of public order. Then you could say a contrario: it is not the same as the other article we are talking about today. Then it must really be necessary for democratic society, and then, so to speak, it could unintentionally lead to a reduction in the protection of other fundamental rights. That is why I think it would be wiser to follow the same system in all articles.
ParlaMint-NL_2017-04-12-tweedekamer-3.u17	Mr Van der Staaij is now opening a fine state-law debate, which is also very interesting. Ultimately, it comes down to the way you look at an improvement or change, in this case of the Constitution. Is the glass half-full because you are doing something that is perhaps very clever in view of the rapidly changing practice, because otherwise, under the guise of national security, a government will constantly cross privacy with measures that could have been other measures? That's the angle of D66. Or is the glass half empty and you say: we have not done it in other cases and so should we not do it now? You could almost say that this is a collision between progressive and conservative thinking. I'm on the progressive side after all. I am looking at a change in relation to a society that is also changing, and I should like to say to Mr van der Staaij that the Constitution, even the Constitution, should be able to move along with it in order to keep that Constitution strong.
ParlaMint-NL_2017-04-12-tweedekamer-3.u18	Mr Van der Staaij thinks primarily of law and he has a logical reasoning to make. Adding "in a democratic society" could also lead to inequality with, for example, the important Article 10 of the Constitution. Mr Verhoeven is also in favour of ensuring that we guarantee this. A change to the Constitution is often preceded by a state committee and a number of opinions from various organisations, because we are always careful. What advisory body advised on the passage "in a democratic society"? In which state committee has this been studied further? I am also asking this question in view of the other fundamental rights that Mr Van der Staaij has just referred to.
ParlaMint-NL_2017-04-12-tweedekamer-3.u19	I'm afraid it was a committee associated with D66. I cannot infer from the amendment or from our internal consideration which state committee would have advised on this. I think the answer must be that there has not been a state committee that has advised this. That seems to me to be the right answer. I'll check it out. It might be nice for the second term to see if there has been a state committee that has advised this. By the way, I assume that if this has been advised by a state committee, Mr Van der Staaij and Mrs Bruins Slot are equally in favour of it. That is also a bit the portee of Mrs Bruins Slot's question, because apparently a state committee is needed to do a good idea, whereas this good idea might just come from a committee of D66 thinkers.
ParlaMint-NL_2017-04-12-tweedekamer-3.u20	This is how I recognize Mr Verhoeven as a good negotiator. It's nice he's still looking into it. This type of amendment to the Constitution is often preceded by a long period of time. Yesterday we heard a beautiful maiden speech from Mrs Van Engelshoven. It stressed the importance of a careful examination of the Constitution and tabled an amendment. It's nice if you make an amendment during your maiden speech. I did not agree with it, but I did like that she tabled a far-reaching amendment. That was also based on a state committee. That is why I am asking Mr Verhoeven to look into it in particular, but...
ParlaMint-NL_2017-04-12-tweedekamer-3.u21	Find out, you say?
ParlaMint-NL_2017-04-12-tweedekamer-3.u22	Certainly, but don't cross over too quickly if you don't have any evidence of the consequences that this could have for the Constitution in a broad sense.
ParlaMint-NL_2017-04-12-tweedekamer-3.u23	Mr Verhoeven is going to figure it out and he is completing his speech in one sentence, because he has been over his speaking time for one and a half minutes.
ParlaMint-NL_2017-04-12-tweedekamer-3.u24	I would first like to say to the esteemed colleagues Van der Staaij and Bruins Slot that I thank them for the caution they have shown. In doing so, they are putting me on a path which will make this type of proposal even more cautious. I shall come back to this briefly in the second term. I have already said before the interruptions that I need a little more time. I now need 30 seconds to go into the Intelligence and Security Act. We discussed that law with the same minister who was still a missionary at the time. I then drew attention to the confidentiality of communication, the shortening of retention periods, careful data analysis, respect for encryption, framework of when to hack and when to share information, and the increased possibilities for monitoring the impact of fundamental rights. This not only enhances effectiveness, but also contributes to a minimum restriction of people's freedoms. In that debate a few months ago, the Minister showed little willingness to exchange views with the Chamber. One colleague has even left the Chamber furiously in that debate. I sincerely hope that the Minister will be more open and constructive today so that we can really have a debate on this important issue and a two-thirds majority will remain in sight for the second reading.
ParlaMint-NL_2017-04-12-tweedekamer-3.u25	Thank you, Mr Verhoeven. I call Mr Koopmans of the VVD. He has seven minutes' speaking time.
ParlaMint-NL_2017-04-12-tweedekamer-3.u26	Mr. Chairman. I want to speak in the present tense: the time when the telegraph is made of paper and internet and no longer of wooden poles and wire and in which facetimen means that you are not together. The article on letter, telephone and telegraph secrecy is therefore hopelessly old-fashioned. It's supposed to be over. We all agree on that. We also agree that the new forms of communication such as voicemail and whatsapp should also be protected. This debate is about freedom and security. It is about the freedom of secret communication between citizens via a third party such as an Internet provider. The government shouldn't be able to break into that kind of communication. People should be free to call and e-mail each other. The VVD considers privacy essential. It is also about the safety of the Netherlands. The point is that we can protect ourselves from terrorists and other evildoers and, therefore, the power of the government to cope with communication in the interests of national security, to keep the Netherlands as safe as possible and to strengthen our rule of law so that we can enjoy our freedom. That is why we need to formulate the Constitution very carefully, in a way that is consistent with present and future times. The VVD is a party of this time looking forward to the future. We therefore want to make a protection rule that is future-proof and applies to all forms of communication, from e-mail and voicemail to letter and Christmas card. That is what the government's proposal is about, and we support it. It's a technology-independent approach. That is the only logical option, because we do not yet know what the technique will bring in the future. In my view, it makes no sense to make an exception for a very old form of communication, namely the letter. Sure, I hope the letter lasts for a long time. We all love getting one. However, it is not of the present time to say that the letter by its nature requires a different form of protection. After all, we do not know what the letter will look like in the future: with a paper envelope or with a magnetic net, with a postcard of a sumo wrestler in it or with a much larger 3D printed hologram of a sumo wrestler? Then who knows what a letter is and what isn't? So let us speak independently of technology. We must know not only our place in history, but also our relative place in the future. What needs to be preserved is the very high level of protection against unlawful intervention by the government. Such protection must therefore apply to all forms of telecommunications and must be guaranteed by the courts. This can only be different in the interests of national security, and only if we first adopt a law to that effect in Parliament. That is exactly what the government proposal is doing, and that is what we support. This also means that, for example, whatsapp, voicemail and SMS need the high level of protection that is now given through letter and telecommunications secrecy. That is a huge gain for the privacy of everyone in the Netherlands. That is a concrete liberal solution, a solution as the VVD wants it to be. So what we need is not a completely new version, but an update of Article 13. If we keep the provision sober and neutral, at least we still have a chance that it will be introduced in four years' time, after the second reading, which is necessary in any case for a constitutional change. Now, if we are going to try to put this proposal up with all the controversial issues, we are very likely that we will never find a two-thirds majority, which would mean that in eight years' time we will still be dealing with telegraph secrecy. Then it will be very difficult to telepathize with our children. So we should not try to introduce all kinds of things about the link between a constitutional change that would be much better regulated by an ordinary law, such as proposals to include non-material telecommunications data under the article. And of course, what we certainly shouldn't do is haggle on our safety. The government's draft constitution speaks of making a law for the legislator, so for ourselves, which, in the interests of national security, creates the possibility not to go to court first in special cases, but to act on the basis of a law that we create. That's careful, that's safe and that's right. It is therefore incorrect and unsafe, as some suggest, to create a new category in which national security should not be protected if it is important, but only if it is necessary. I do not see when it would be important but not necessary to protect the inhabitants of the Netherlands from potential terrorists and criminals. The VVD stands for security and freedom: the freedom of unwatched communication, the freedom to live without fear and the freedom to enjoy life. It stands for the knowledge that the competent authorities can only listen or watch if they meet very high standards and standards. All this is carefully worked out in this proposal. We support that. The law must go to present time and be ready for the coming time.
ParlaMint-NL_2017-04-12-tweedekamer-3.u27	Mr. Chairman. On 16 October 2000, then Minister of the Interior De Vries wrote a letter to the Chamber containing the cabinet position on fundamental rights in the digital age. He concluded his introduction with the words: "The aim of the cabinet is to complete the first reading of the constitutional changes resulting from the position during this cabinet period. There is therefore a need for some speed in this respect." So that was in 2000. It should be noted that a constitutional amendment had already been tabled, which had been withdrawn at the request of the First Chamber. So this has been going on for a number of years. As I recall, such a proposal was submitted in 1997; now 20 years ago. It has therefore taken quite a long time for us to be able to talk again about a constitutional review, on a subject that is widely debated in the Chamber, including the SGP Group, and the government is convinced that it is important that the Constitution be brought to that point in time. In order to protect communication between them, it should not be necessary to determine the way in which it takes place. The word 'conservative' has already come out of Mr Verhoeven's mouth. Apart from the context in which he used it, I am proud of the healthy conservatism in dealing with the Constitution, which characterizes my group. If there's no very good reason to change, that's a good reason not to change. In other words, it really has to be necessary. This is now one of those examples in which this strict measure is met. After all, it is clear that we need to adapt the Constitution to this article as soon as possible to the actual changes that have taken place. The first clause on the letter secret was proposed by the so-called "Negent Men" in 1840. They said, "Why not set firm legislation against every Gouverneur, from time to time, misguided reasons for what the safety or salvation of the State recommends?'. This must therefore be clearly stated in the Constitution itself and not simply dependent on political considerations. Eventually, the letter secret did not enter the Constitution until 1848. It took until 1983 until we officially knew the telegraph secret and telephony secret. I had to scratch behind my ears. I thought this was typically something that would have been formulated in the 19th or early 20th century. However, it has been a very long time before that was the case. That is why it is a good thing that we can talk about this bill today. It is clear that the protection of new means of communication is taking quite a long time. For lessons, including for other matters, I ask the Minister to look back. Why did it take us so long to get out of here? In any case, I myself have been taught to be as cautious as possible and not to come up with all kinds of amendments to make this text more loaded, which would jeopardise the acceptance of the two-thirds majority. Hopefully, today, we will be able to type out this text, which enjoys the broadest possible support, also politically speaking. So I do not come up with any ideas for amendments or anything like that. I would like to ask four questions for clarification, so that it is as clear as possible how the proposed text should be interpreted and what it is intended to do, including for later legal interpretation. First of all, I come to the concept of telecommunications which is now being used. This is a broader concept than the one we know from the Telecommunications Act. Isn't this term too much chosen from the current forms of communication? Is the concept of telecommunications sufficiently future-proof? Will the Minister confirm clearly that it is clearly a broader concept than the one used so far in the Telecommunications Act? The second point concerns the relationship with Article 10, namely privacy. The protection of Articles 10 and 13 that we are discussing today can be very close together. Anyone who conducts a confidential conversation on the street and is unconsciously bugged with a target microphone shall be protected by Article 10. Those who have a chat conversation are protected by Article 13. Is the criterion whether the person himself has chosen to use a third party to communicate? Can the Minister give a concrete indication of exactly how far protection extends and what differences there are in the reduction of Article 13 compared with Article 10? The third point concerns national security. The level of protection of communication is less than usual in those situations where national security is at stake. I think that is understandable and right. However, I would like to receive confirmation from the Minister that this must be interpreted strictly, that it must be a very special breach of security, for example in the context of terrorism, and that this term cannot be stretched too much, in order to minimise the breach of letter and telecommunications secrecy. Finally, a bit of the other side of the story. Would the Minister not doubt that this new wording of the Constitution does not affect the important detection of users of, for example, illegal gambling or child pornography? In the past, we have sometimes had to resort to the protection of telecommunications. This attitude of providers hindered the effective handling of serious abuses such as child pornography. Would the Minister not doubt that this constitutional revision does not mean a deterioration in current practice, but rather a desire to keep open the possibilities for an effective approach? Mr President, those were my first-term questions.
ParlaMint-NL_2017-04-12-tweedekamer-3.u28	Thank you. I call Mr Van Raak.
ParlaMint-NL_2017-04-12-tweedekamer-3.u29	Mr. Chairman. It happens less and less often, but it still happens, that I get a handwritten letter, in an envelope with a stamp. I am always saddened to receive a handwritten letter at this time and at this place of digital mass communication. This sometimes seems to be a message from a different time and is at least one from a different time experience. I'm always gonna sit for it with a cup of coffee and take my time to read that letter quietly. However, we are getting fewer and fewer letters and when I talk to people about telegraph secret, they think it's about a morning magazine. This means that our Constitution is no longer satisfactory. Yesterday we had a debate on the inclusion of a general provision in the Constitution. We have decided not to go through with this for the time being because there is little point. The adaptation of Article 13 to the new technological digital developments is very much needed. The Minister proposes to replace "inviolability" with "respect." Why? The Minister adds the term "national security" as a reason for breaking the secret of telecommunications, but that national security is not very defined. I myself once asked questions about the number of salafistic young preachers in the Netherlands. Then I was told by the government that I should not know that in the context of national security. If you include the term 'national security' in the Constitution, but do not define it in any way, then the possibilities of breaking the secret of telecommunications are very great. In order to break the secret of the letter, the Constitution requires a burden from the judge. Now the government is talking about an authorization. I will ask a number of questions about that later. In 1983 the letter secret was expanded with telephone and telegraph secrecy. Mr Van der Staaij pointed out that the proposal to extend it was already made in 1997. The Franken Commission reported on this in 2000, as Mr Verhoeven pointed out. As a young senator, I discussed it in the Senate a few years later. It has already been decided that there should be an amendment to the Constitution. The Minister himself refers to the State Constitution Committee of November 2010. So I'm also asking why it all took so long. The constitutional protection of telecommunications data now concerns content. Article 13 deals with content, but in a digital society, in a digital environment, its content and form are difficult to separate. Personal data are protected by Article 3 of the Constitution, but what about metadata, called traffic data by the government? Time, place and duration of communication, addressing and volume of e-mail messages, information numbers, port numbers: the Minister himself mentions a large number of issues covered by metadata. We have had a number of discussions about the secret services. This showed that secret services often obtain much more information from metadata than from the so-called content of the messages themselves. Can these two, form and content, still be separated in the digital environment? Of course, that goes much further with the development of the Internet of Things. You will see that form and content can no longer be separated. Then why does the Minister do so in the Constitution? Is it not necessary to provide a similar or similar protection for metadata? The Minister himself writes: "The government, like the members of the various political groups, sees that if data are viewed in sufficient size or in combination with other data, they can say a lot about a person and about communication that took place." However, the Minister did not choose to include this in the Constitution. He writes that in specific cases the legislator and the judge can say something about this in the ordinary law, as in the Intelligence and Security Services Act 2002, but it is doubtful whether that is the right level. Are we dealing here with a fundamental right or with a normal right? I think this is a fundamental right. If that's not the case, the Minister will have to explain. If you are so difficult to separate the content and form of digital communication, it cannot be that it is constitutional when it comes to content, but that it is not constitutional when it comes to form. I'd like to get an explanation from the Minister. I was talking about national security. That term is introduced into the Constitution, but not defined. The way in which the government defines the term at the moment is very broad. I would like to know from the Minister how the definition can be limited to matters for which the Chamber believes it is intended. I am not referring to all those examples that I always get when I ask for information and the government calls on national security. I'm here to talk about notification. For example, in the Intelligence and Security Services Act, we have established that notification is necessary and that people must be made aware that their privacy has been violated. The Minister says that this is not a matter for the Constitution. I have a question about that, too. Is notification a fundamental right? If the obligation to notify is a fundamental right, is it not part of the Constitution? Finally, I would like to say something about the scope. Through this Constitution, we protect people from breach of the letter secret and telecommunications secret by the government. To be honest, that's only a very small part of the communication. Facebook and Google have already been mentioned. We're talking about private communications. The Internet is largely owned not by governments but by companies. Our Constitution does not say anything about that at the moment. The government itself has wrestled with that case. I quote: "In view of the developments in communication technology, the emergence of private parties and the significance of communication in society, we have considered including a third member with a regulatory mandate for the legislator. That has been abandoned..." Next, reference is made to the Postal Act, the Telecommunications Act and the Privacy Directive. The question is whether this is not constitutional. Isn't this constitutional? If protection of privacy, letter secret and telecommunications secrecy against breach by the government is constitutional, why should protection against the same infringement, or perhaps even further infringement by companies, such as Facebook, Google and other commercial parties or other third parties, not be constitutional and possibly should be governed by ordinary law? That's what I'm worried about. I'm curious about the government's response. The Minister has seen that we have the amendment to item No. 10 on the mere taking of a judicial test. We have prepared a motion on so-called horizontal protection. Perhaps the Minister can convince us or take over, but otherwise we will table a motion in the second term.
