ParlaMint-NL_2017-06-14-tweedekamer-5.u1	Once again, I would like to welcome the Secretary of State.
ParlaMint-NL_2017-06-14-tweedekamer-5.u12	Thank you for the answer. I would also like to hear the response of the Secretary of State to the issues of transparency and the tax base. I can imagine that business will always be involved, but I await the answer.
ParlaMint-NL_2017-06-14-tweedekamer-5.u13	I heard Mrs Lodder pleading for a zero rate for feral pigs. Then I heard Mrs Lodder give an example of avian influenza and the transmission of diseases by wild birds. Is Mrs Lodder also in favour of a zero level for wild birds in the Netherlands?
ParlaMint-NL_2017-06-14-tweedekamer-5.u14	No. Nor has Mr Grashoff heard me pleading for a zero rate for pigs. I have noticed that we have them in many areas in the Netherlands, apart from a single area. This is something we cherish, on the one hand, because of road safety and, on the other hand, because of the risk of spreading animal diseases. There is actually a third element: the prevention of damage to farms, both to farming and to the recreation sector. We have to deal with that carefully. I am, of course, hearing the discussion about this, even in recent years. There are parties who are in favour of a reduction in zero, i.e. a wider admission. This can also affect the risks of animal diseases. I'd like to address that point. If you choose to do so, there is also a cost involved. You can't leave that account one-sided with the entrepreneur.
ParlaMint-NL_2017-06-14-tweedekamer-5.u15	I gave the example of wild birds for a reason. I have tried to make it clear to Mrs Lodder that fighting wild animals to prevent diseases in intensive livestock farming is a complete reversal of the situation. Does Mrs. Lodder agree with me?
ParlaMint-NL_2017-06-14-tweedekamer-5.u16	No, I absolutely disagree with Mr Grashoff. He illustrates this example in this way in order to be right. That zero position is there for a reason. There are three main reasons for this. I address this in this debate because the choice of a more generous policy also has a cost for politics when it comes to wild birds. I am sure that Mr Grashoff agrees with me very much that wild birds are the transmitters of the avian flu virus. I have said several times in this House that the measures to combat them in the case of wild birds have been very adequate in the past year. It remains regrettable that there have been several outbreaks, but the measures have worked in the opinion of the VVD Group. That's just a compliment to the Ministry, the Secretary of State and the sector.
ParlaMint-NL_2017-06-14-tweedekamer-5.u17	Mr. Chairman. The present amendment of the Animal Health and Welfare Act and the Animal Health Act results from the abolition of agri-products. In the debate on the Elimination of Business Bodies Act, the CDA pointed out the great added value of the agro-productions and for the collective organisation in Dutch agriculture and horticulture. The possibility of cooperation has largely been destroyed by the abolition. Sectors are struggling to get targeted research funded. Dutch farmers and gardeners are the best in the world, thanks to the research that was done here together with Wageningen University. The Netherlands has a high-quality technological agricultural sector, which has to compete on the world market. To maintain this, the joint commitment to research and innovation in the sectors and public authorities remains urgently needed. At the time, the Minister stated that private investment was going to make it okay with the investigation. How does the outgoing cabinet look at that today? That's what I'm asking the Secretary of State. Today's debate is not about the removal of product shelves, but I would like to point out once again that this lifting has been a mistake. This has only cost the public authorities and the agro-industry extra money so far, because the introduction of this law and the efforts needed to make new agreements were not necessary, because we had a well-functioning system with the product markets in relation to the fight against animal diseases. Society and the agro-industry, and thus individual livestock farmers, have a common interest in the control and prevention of animal diseases. The CDA Group wants to give the agro-industry a formal role in setting the levy. That is why, together with Mrs Lodders from the VVD Group, we have tabled an amendment which provides that the levy is not to be fixed except after consultation with the agro-industry in which the levy is levied.
ParlaMint-NL_2017-06-14-tweedekamer-5.u18	I would like to put a question to Mr Geurts on the basis of that amendment, because, as I have read the bill, there is actually a very logical system in it. The levy is based each year on the income and expenditure of the fund, so there will be no need to store it, for example, so that the levy can be reduced. But there will be no deficit, which will allow the levy to rise. That sounds very fair. Are you not getting rid of the basis of that fairly logical system by setting up a consultation with the sector?
ParlaMint-NL_2017-06-14-tweedekamer-5.u19	I agree with Mr Futselaar that there is currently consultation with the sectors. I believe that, because we are so interested in this, and he too, I am listening to what he has said, I think that we should also put this in place in this legislation for the future. In our amendment, too, we point out that sector representatives are involved in the creation of levies and, to a certain extent, in expenditure. Mrs. Lodders just gave it to me. She was talking about accountability. The D66 Group referred to transparency. That is why this amendment, in order to organise this properly in the legislation, also with a view to the future. After all, the sector is simply the payer of the levy we are talking about today in the context of this legislation.
ParlaMint-NL_2017-06-14-tweedekamer-5.u20	The Geurts, I guess, didn't quite understand what I was going to say, which might be my fault. I feel a great deal for transparency in expenditure, for what Mrs Lodder has said, for what Mr Geurts says and perhaps even for some of the influence of the sector. But as the bill now states, the charges are set fairly neutrally at, frankly, "how much does the fund need at the moment?'. How much do we need? We will adjust the charges accordingly. When you say that the levies must be made in consultation with the sector, you actually cross that rather simple logic. Then you make them part of the negotiations. I think the nice thing about this proposal is that you do not have that kind of negotiation, but that you have a very transparent " Now, yes transparent " that you have built up a very simple system. Can't Mr Geurts agree with that?
ParlaMint-NL_2017-06-14-tweedekamer-5.u21	Mr Futselaar is quite simplistic about how behind the scenes, if any, these negotiations would run. It's much wider. They are generally agreements with the various animal sectors and the government. It is about ceilings, it is also about expectations, also worldwide. What infectious animal diseases can arise in the coming period? What kind of outbreaks are there in the world? What are the amounts of money involved in this? So it's much wider than sec levy up and down. There's a whole world in there, I can tell. From a previous history I have some experience with that. There's a whole world in there. Then the amount for the levy is only a small part. That whole story you're sketching, which is perfectly normal and which I think is perfectly normal, is based on how things used to be with the product boards. Now that it's being taken over by the government, I think what you and I consider to be perfectly normal should be properly regulated by law, not informally, based on how things went in the past.
ParlaMint-NL_2017-06-14-tweedekamer-5.u22	Finally, Mr Futselaar.
ParlaMint-NL_2017-06-14-tweedekamer-5.u23	I notice I'm just waiting to hear what the Secretary of State is going to say. In my view, we interpret the current law in a different way and I also interpret Mr Geurts' amendment differently from his. We'll see about it later in the debate.
ParlaMint-NL_2017-06-14-tweedekamer-5.u24	Fortunately, we still have time until next Tuesday's votes. If you need further explanations from me, I am at your disposal. Information to the agro-sector on expenditure from the Animal Health Fund is crucial for the support of a levy. Both the Animal Law and the Animal Health and Welfare Act provide a basis for this. For this purpose, see Section 9.3 of the Animal Law and Section 95e of the Animal Health and Welfare Act. The provisions have not yet entered into force. The CDA Group would like these provisions to enter into force and be implemented. The most elegant thing is that the Secretary of State undertakes to do this. Is he willing to do that? Since 1 January 2015, the government has been responsible for the animal health levy. In poultry farming there was a derogation from the product shelf system and a double levy was imposed on poultry farmers. Here, Mr Futselaar, what kind of problem this informal process could entail. The CDA asked written questions about this. The cabinet then compensated for the double taxation. In the note following the report, I read that there were, nevertheless, 245 objections to the 2015 tax attacks. As I read, a decision would have been taken on all the objections raised in February 2017. What is the situation with regard to the handling of these objections? What about the 2016 charges, at least the objections to them and their possible handling? Due to the outbreak of avian flu several years in a row, the poultry sector will have to pay much higher levies in the following years. That has been agreed, and that makes sense, but has the Secretary of State clearly communicated this to the poultry farmers? While we are talking about this bill, I would like to make two more points. The Secretary of State has the possibility of granting one-off compensation for free-range eggs. Can the Secretary of State give us the state of play on this matter this afternoon? I also believe that the question of marketing and acceptance of meat from vaccinated animals should be a more important priority for the cabinet. I'm gonna ask the Secretary of State again to work on this.
ParlaMint-NL_2017-06-14-tweedekamer-5.u25	Mr. Chairman. Today we are discussing the revision of the system of charges under the Animal Health Fund. Let me say first of all that the Group of the Greens/European Free Alliance is in favour of the existence of this fund. It is sensible that funds should be allocated and earmarked for the control, monitoring and prevention of infectious animal diseases and zoonoses. Unfortunately, over the past few decades, we have seen quite a few examples in which this was necessary. Think of outbreaks of foot-and-mouth disease, Q fever and recently avian flu. This type of outbreak has a huge impact on people, animals and farms. Animals have to be killed and masse, farms lose animals and get into trouble and people get sick, sometimes even sick. When I'm talking to Q fever victims, the stories shut me up. This new system is necessary because the product shelves have been abolished. They picked up the money for this. Now the government is responsible. That's what we're at the heart of. It offers flexibility and guarantees. GroenLinks also supports the increase in the proposed maximum size of the crisis reserve. We think it was really too low. If there is an outbreak, it is necessary that there is sufficient cash. Is that reserve really enough? Can the Secretary of State go into that again? If there is a serious outbreak of foot-and-mouth disease or swine fever, is such a reserve sufficient? In addition, my group has questions about the ceilings set. We wonder if they are not too low. How much has animal levies been levied in 2015 and 2016 as set out in Article 91n? The Animal Health Fund is not complete in the eyes of the GroenLinks Group. In the event of outbreaks of animal diseases, not only farms are affected, but also animals and humans. For animals, this means that we should have different policies in livestock farming. We have too many animals on too small a surface, which suddenly means that huge numbers of animals have to be slaughtered in the event of outbreaks. Companies that are at a small distance from each other are often all screwed up, as we saw in the outbreak of the avian flu. Many animals were killed in a short time to control the avian flu. That gives us time to think about the way we keep animals. Is the natural resistance sufficient, for example? The reports written after the 2003 avian influenza indicate the importance of developing more natural resistance in poultry. The report, led by the InnovationNetwork Green Space and Agrocluster, concludes that we can increase the natural resistance by giving animals more room for natural behaviour and looking at natural nutrition. I would like to know from the Secretary of State what has been done with these recommendations. Human victims aren't dealt with at all. I mentioned the Q fever. It has caused enormous damage to many people and has even cost a number of people their lives. Many people still experience the problems of this disease every day. Those people are empty-handed. They must sue against companies and against the State. Through the Animal Health Fund, we manage to grant compensation to companies. This is done with limited resources from the sector, but also with substantial public resources if necessary. However, we do not do that for the victims. GroenLinks believes that this really needs to change. I have just tabled an amendment which provides for the granting of compensation to victims by means of a General Measure of Management from the Animal Health Fund. I would very much like to ask the Secretary of State if he can respond to this principle. Also the breakdown "
ParlaMint-NL_2017-06-14-tweedekamer-5.u26	Before proceeding, I give the floor to Mr Geurts. Sorry.
ParlaMint-NL_2017-06-14-tweedekamer-5.u27	I understand Mr Grashoff on Q fever. Together with the SP, the CDA has already tried to organise a number of things by means of motions and amendments. Unfortunately, this was not achieved in a previous period. Here's what's important. We also have avian influenza, avian flu. It's really from wild birds. Now I have just read your amendment and heard your explanation. You say that for the outbreak that is taking place, we know that, unfortunately, in the case of avian influenza, there are also occasional human victims who have to pay for the sector. That's what you're saying with your amendment. Are you really of that opinion?
ParlaMint-NL_2017-06-14-tweedekamer-5.u28	Yes, of course, otherwise I would not table this amendment. We wouldn't have the problem of avian flu either if we didn't have very intensive poultry farming. Bird flu could then be limited to a very rare case somewhere and there would be a very, very rare case of transmission to humans. It is inherent in the millions, millions of poultry that we have in the Netherlands in intensive livestock farming. This is a risk, a social risk, which is one-on-one linked to the existence of this sector. It therefore bears co-responsibility.
ParlaMint-NL_2017-06-14-tweedekamer-5.u29	I see a certain intensity on Mr Grashoff's part, while I try to ask my question in peace. Does Mr Grashoff agree with me that in this case animals kept outside are a much greater danger than animals kept in stables?
ParlaMint-NL_2017-06-14-tweedekamer-5.u30	As soon as there is a risk of outbreak of avian influenza, measures shall be taken which may also mean keeping animals kept outside or being kept indoors or covered. Such measures seem logical and necessary in the event of an outbreak. Mr Geurts can keep trying endlessly to defend the legitimacy of an unimaginably large poultry sector, but we are not getting closer. It is obvious that there is a risk in the millions of chickens we have in this country. I'd like a little less of us.
ParlaMint-NL_2017-06-14-tweedekamer-5.u31	Let me make a brief comment on the Minutes. It is constantly suggested that wild animals cause or spread diseases. That's what they said. That is so far, but that does not mean that wild animals are the cause of this. This is an essential point to make here.
ParlaMint-NL_2017-06-14-tweedekamer-5.u32	I wholeheartedly agree with Mr Graus on this point. My group is critical of the distribution of costs, as agreed in the 2015-2019 agreement. In addition to European funds, resources will be provided by the Empire and the sector. Disease monitoring and monitoring are fifty-fifty shared by the Empire and the sector. In the first instance, 100% of the cost to the sector is a cost to the sector, except where the cost to the sector exceeds the ceiling, as agreed in the Covenant. Then all the costs are for the government. My group finds that strange. Maybe the ceiling's too low? Should we propose a different variant of costs above the ceiling, perhaps a breakdown of costs, where the sector is still at a standstill for part of these costs and the other part of our taxpayers, who have not asked for them? In any case, I am preparing an amendment to allow 50% of all expenditure above the ceiling to be borne by the sector. I'd like to get a response from the Secretary of State.
ParlaMint-NL_2017-06-14-tweedekamer-5.u33	Mr. Chairman. First of all, I would like to point out a few factual errors in Mrs Lodder's contribution. I once got right from former Minister of Agriculture Verburg of the CDA. Mrs Lodders said that we need to shoot wild boar in the context of animal disease spread. Then I asked her, "When did a wild boar spread an animal disease?" I don't remember, I have to be honest. Secondly, Mrs Lodders said that wild boars must be shot in the context of road safety. Now the case is that in my memory about 4,500 pigs had to be shot at the Veluwe when I started here as a Member of Parliament. I then told Minister Verburg, who was in trade-k, that wild boars, what are panic animals, would run for miles if they were shot at and that the number of accidents would increase as the number of pigs would decrease. I predicted that here. The Minister stored this; she said a few months later that the number of accidents had indeed increased while the number of pigs had decreased by thousands. So my prophecy came true. Why is that? Wild boars don't want to live with people at all; they're afraid of people. I'm more afraid of many people than I am of a wild boar. If you leave those animals alone, they'll throw less young. If you shoot them, they'll throw more boys. You shoot one and run dozens in blind panic into residential neighborhoods and cross the road. I saw it in De Meinweg National Park. Every time animals were killed, deer or other animals, there was hunted that day. I'm not stupid; I'm an experienced expert. I will tell you that every expert on the subject agrees with me. Members of parliament are neither competent in this matter nor the Secretary of State. Please stop pronouncing that bullshit. As long as you leave animals alone, they throw less young and cause less nuisance. Please leave them alone. This will also reduce the spread of diseases. Now it is said that they spread the diseases, but they do not cause them, and that is what it is all about.
ParlaMint-NL_2017-06-14-tweedekamer-5.u34	Mr Graus said earlier in his speech that he is not aware of any situations in which wild animals are only responsible for the spread of infectious animal diseases. I'll help him. Aujeszky's disease is detected among wild boars. In the pig farming sector, especially in Germany, there is a great deal of concern about this and above all because organic pigs can be contaminated with it. That's an example. I would ask Mr Graus to look into this: Aujeszky's disease in Germany.
ParlaMint-NL_2017-06-14-tweedekamer-5.u35	I like to get a reaction to this; I do ask a few times every year. I believe, and with me, that many veterinary medicinal products are a source of many animal diseases due to the excessive vaccination of animals and the freezing of their immune systems. Moreover, this does not mean that if an animal or a bird spreads a disease, Mr Grashoff said that even if it is responsible. No one has been able to show me that if those animals carry the disease, those who have spread to animals that are in hermetically sealed cages. Mr. Geurts has been a pig farmer. I went with the pig grafting during my internship. When you go into a pigsty, your airways and your eyes shut. Those stables are hermetically sealed off. He doesn't fool me that animals that pass by for miles in the perimeter are spreading a disease. That's total bullshit.
ParlaMint-NL_2017-06-14-tweedekamer-5.u36	I do not know how old Mr Graus is, but his student days have been a while. Maybe he should take a look at today's pig farming. However, that was not at the heart of my question and it is not an answer to it either. I said that the pig farmers in the usual pig farming sector are extremely concerned about Aujeszky's disease. Mr Graus says that the pigs are hermetically locked up. I have pointed out that organic pigs are kept out, so they are at greater risk of infection by wild boar. He can shake no now, but maybe one day he can come to me with a stuffed cake in his hand. Then I'll show him.
ParlaMint-NL_2017-06-14-tweedekamer-5.u37	Mr Geurts must then give an example. I know a lot of organic farmers. Those animals are walking around freely there because they come into contact with microbacteria, with soil-based organisms, with soil bacteria. Those animals often have a much better immune system. Let's face it. Why do gypsy children suffer less from asthma and allergies? Because they play in the mud, because they wash their hands less often, because they have black nails and stick them in their mouths. Those animals get micro-organisms because they don't live too hygienically. A biological animal that rumbles in the mud receives soil-based organisms that give it a stronger immune system. Mr Geurts can laugh now, but at the time I worked in veterinary medicine, I brought bacteria from Japan to the Netherlands to cure animals. That's what they call probiotics. I was laughed at by everyone, also by all veterinarians, but now almost everyone has a bit of decent product pre- and probiotics. I've been laughed at for years, but look how far I've been ahead of my time.
ParlaMint-NL_2017-06-14-tweedekamer-5.u38	Just a little bit before the report of this plenary session, Mr President. I didn't laugh at Mr. Graus. I think it is incredibly handsome of Mr Graus that, when we talk about an Animal Health Fund and a law, we come to Gypsy children. That's why I'm smiling. I thought, "How's he gonna do it?"
ParlaMint-NL_2017-06-14-tweedekamer-5.u39	What I wanted to say was that gypsy children are children playing outside. So they're out there all the time. They're on the stool of animals. They eat rabbit chops. They have black hands. They don't have hygiene, they don't wash their hands with soap every time. Those children are much less susceptible to evil micro-organisms and diseases. That's really true, that's a fact. And those kids are never vaccinated. I've never had my animals inoculated, ever. On average, they all get older than all those animals that are vaccinated. My animals are getting older than vaccinated animals.
ParlaMint-NL_2017-06-14-tweedekamer-5.u40	What kind of animals do you have?
ParlaMint-NL_2017-06-14-tweedekamer-5.u41	Of course, I've had a lot of things in my life. I still have a lot of niggers and birds, all pickups. I work with shelters. I pick up animals that no one else wants, with broken beaks and you name it. Failed animals, I pick them all up. Unfortunately, I had to put my very best friend, my dog, to sleep. That too was a caught, abused animal. But I would just like to say the following. I didn't get inoculated. I've been in all kinds of countries, and I was the only one who didn't get sick. Ever since my mom got the flu shot, she's been getting the flu. She never had the flu! I'd like to hear a reaction to that. I believe that Health Minister Schippers would be more on my side, because her brother is a veterinarian. Probably has a little more sense of business, too. I'd like to hear a response from the Secretary of State. And in response to Mr Geurts, who asked how it came to be in this debate: that was because Mrs Lodder said that wild animals are causing animal diseases and I am fighting them.
ParlaMint-NL_2017-06-14-tweedekamer-5.u42	Mr Graus said something like this in an interruption on this point in my direction. As far as the report is concerned, I would like to point out that Mr Graus is also entitled to his opinion in this House. I would like to add that my story is based on research and practical experience, that is, on the experiences of many farmers in the country, who have to deal with this on a daily basis. In the spread of avian influenza, for example, there are actually seven to eleven times more infections in organic holdings with free-range chickens than in animals that are otherwise kept. Mr Graus just gave the example of pigs. Read the documents in preparation for the LNV Council in Brussels: Poland and other Member States are constantly drawing attention to this. Once again, as far as the report is concerned, I would like to point out that Mr Graus is entitled to his opinion, but that I am based on the available reports and on the signals from other Member States.
ParlaMint-NL_2017-06-14-tweedekamer-5.u43	You've made your point. Actually, I'd like to introduce you to move on.
ParlaMint-NL_2017-06-14-tweedekamer-5.u44	I would like to respond briefly to this. One day, smoking was pretended not to be unhealthy. There were even so-called experts on the subject who said: no, smoking doesn't give you cancer; are you crazy, that's all bullshit. There are also researchers who say what Mrs Lodder says, and there are researchers who say what I say. I really believe that my veterinary think tank is one of the best in the world. That's what I'm relying on.
ParlaMint-NL_2017-06-14-tweedekamer-5.u45	Mr Graus can rely on that. As a Member of Parliament, I try to feed on this type of debate in different ways. I do so with information from the Secretary of State and his ministry, but also in other ways: I read reports; I read the preparatory documents for the LNV Council. It's not all bullshit that's been put in there. We must take that into account. I almost find it annoying when all kinds of other things are attached to this, such as smoking and gypsy children. None of that has anything to do with this debate. Let us stick to the legislative amendment that is now before us: the amendment of the law relating to the collection of a levy for an Animal Health Fund.
ParlaMint-NL_2017-06-14-tweedekamer-5.u46	But dear Mrs. Lodders, you started with that nonsense. I'm responding to your nonsense. And I would also like to make the following point. Mrs. Lodder's appealing to reports from office clerks. I appeal to the practice. I said here once, as a Member of Parliament, to a minister: if you start shooting swine, the number of pigs will decrease; but they will then throw more young and they will, panicked by all those popping, flee to the roads and cause more accidents. Months later it turns out that that really happens. Those are facts, Mrs Lodders. Those aren't reports, they're facts. That's empirical research. It exists. Actually, it is. Mrs Lodders talks about reports, but one says this and the other says that. I base myself on reality. If I, as a Member of Parliament, predict that more pigs will run across the street when one starts shooting at pigs and if that prediction comes true and the Minister agrees with me, Mrs Lodders has no right to say that I am wrong. Even the minister said I was right.
ParlaMint-NL_2017-06-14-tweedekamer-5.u47	I get the impression you two aren't getting together through these interruptions. Mrs. Lodders, you made your point. It's clear where you stand. The same applies to Mr Graus. That is why I propose that Mr Graus continue his speech, as long as he is not finished.
ParlaMint-NL_2017-06-14-tweedekamer-5.u48	Mr President, that seems to me to be a very good proposal. We're not getting together. I do not want to dwell on the last remarks made by Mr Graus.
ParlaMint-NL_2017-06-14-tweedekamer-5.u49	You do not have to respond to this, Mr Graus. Please continue.
