ParlaMint-NL_2017-06-06-eerstekamer-7.u1	I have already welcomed the Minister for Education, Culture and Science to the Upper House.
ParlaMint-NL_2017-06-06-eerstekamer-7.u12	That's right, but I didn't talk about this ambiguity either. I am talking about the ambiguity that arises if the professor in question could indeed be two if it were to be a crossroads, and would not agree with the intention of appointing an uhd from that field as a promoter and then that route will begin. What about the responsibility of the professor in question? I will go into that further, but that is what I see as my input. So if the choice of a promoter against the advice of the professor turns out to be unfortunate in retrospect and the research and training are not sufficiently advanced, what about the legal responsibility of that professor, or professors, I say to Mr Ganzevoort, on the subject? The Government states in the reply that the professor remains responsible. But how can a person be held responsible for something he is not responsible for? If a negative opinion on his part would relieve the professor of his responsibility for the promotional process in question, is that not contrary to and therefore does it not require an amendment of Article 9.19 WHW? But more importantly, the question is not about the importance of the professor concerned, but about the importance of science in general and that of the PhD student in particular how the PhD student will benefit if the professor in question no longer has any involvement or even no responsibility for his PhD career. I'd like an answer from the Minister. Is the Minister prepared to undertake a commitment to this Chamber to undertake an evaluation of the change of law after a number of years, which will at least include an evaluation of compliance with this exercise, as well as the involvement of the professor responsible and the possible need for a right of assent? As has been said, this legislative proposal is aimed at promoting the internationalisation of higher education and research. But is the legislative proposal proportionate to this, is it sufficient? What does internationalisation of higher education actually mean today? My group has already asked in the written exchange of views on the proportionality of another legislative proposal, namely legislative proposal 34412 on the protection of names and degrees, how the increasing possibility for students to build their individual curriculum internationally modular or even per course or teacher through physical and digital mobility relates to the possibility and desirability for the Dutch authorities to monitor quality and effectiveness in accordance with the legislation, to the sustainability of the national funding system and to the protection of names and degrees. In the reply to that bill, the Government argues that the progressive internationalisation and digitisation do not affect the ability of the government to monitor the quality and efficiency of higher education and the sustainability of the national funding system. My group doubts that. Let's look at the practice. We are already seeing the development that a student can choose and enjoy education digitally and later using virtual or augmented reality per module, or even per course or per teacher, whether through institutions or not. For example, one teacher at the Amsterdam Conservatory already teaches digitally to a student in China, the two seated at two digitally connected pianos. That is a fantastic development, by the way. The same goes for a lecturer in New York, under the auspices of that conservatory. In a moment, this is the expectation at the conservatory, and that student in China knows how to find that lecturer in New York directly, outside the conservatory. In view of the developments with virtual and augmented reality, it appears that the quality of that meeting and the exchange of knowledge and skills will soon be less and less inferior to that of the physical meeting. Technological developments are moving towards the involvement of more and more senses in this virtual communication. If these developments continue, will the benefits of the virtual educational situation not gain more and more from those of the physical situation? Will it not determine us more than ever in the question where physical presence of teacher and student together in the same space and time is desirable and necessary? Because, according to many educational experts, this physical co-existence will continue to have an added value, although this obviously varies from sector to sector. But that demand also has a price and that price will continue to rise. Apparently, the benefits of today's still poor digital encounter often outweigh those of physical encounters. Think of the advantages of individualisation of curricula, global accessibility, low costs, the international classroom and, not least, development cooperation. How does the Minister see this? Let's say that the student in higher education is going to leave the vo and the p.o. It is still the most normal thing in the world to design his curriculum, based entirely on his own ambitions and talents, by putting together his own curriculum at individual institutions throughout the world, or by doing so directly with his selected teachers, outside institutions, as is already the case. Are we prepared for this with our system? Or maybe we don't want to? What are the terms 'institution', 'diploma', 'name' or 'grade', which are intended to protect our legislation? What is the role of a national government in terms of quality control, institution cost and the macro-efficiency issue? The government points out in reply to the questions put in writing by my group that, for example, when a student introduces foreign subjects into his or her training programme, that must be an institution's training course, it is up to the relevant examination committee to assess whether that can lead to an exemption from a profession. That's clear, too. But how sustainable are these concepts 'foreign', 'trade', 'training', 'exam committee', 'institution' and 'freedom' exactly in a digital, borderless and personalised environment? Even now, we are faced with the tension between internationalisation on the one hand and national funding and macro-efficiency on the other, and we are already slowing down the physical mobility of students before we know it, but also the freedom of movement of institutions. If digitalisation is the new internationalisation, if the teacher is the new institution, if the small personal online course (SPOC) is the new massive open online course (MOOC), if the virtual augmented reality classroom is the new international classroom, if the self-chosen route along teachers is the new curriculum and if the individually built portfolio is the new certificate, what does that mean for names and degrees, institutions, quality supervision, funding, diploma comparison, joint degrees, blended learning and efficiency? In his recent publication "Has the University achieved 2040?" This is an interesting title Bert van der Zwaan, rector of Utrecht University, calls the MOOC an intermediate station to a global teaching pool with debundling of curricula and new forms of education such as the SPOC. Already in the US, he signals a real and very rapid shift from the classic to the digital university because of the much greater possibilities and the much lower costs. The student "spoccelts" outside the context of an institution together his personal curriculum at his own pace and the final exam, the name and degree make way for an institution and learning path independent admission exam for a labour market, which is already the American doctor's exam. This does not concern itself anymore with the question of where and at what rate the student "spoken" his competences together; it tests them. Innovative tests are therefore becoming increasingly important. In doing so, the student must stick to a huge range of knowledge and educational material and the teacher of guru becomes a guide, at least Van der Zwaan argues. And indeed, technology is disruptive. Many retailers have long maintained that the customer has reasons to want to physically enter the store, but many did not find out and found out too late. If this were to be the way, are we sufficiently prepared with our legislation and regulations? What is the sustainability of our national, physical education system in a broader sense? So how do we ensure that this system does not become anachronistic for our young people, but remains maximum supportive and accessible? That we don't slow them down and get in their way? That we are not overtaken by countries that move faster in that highly competitive, global higher education space that is coming towards us or that is already there, including, according to some, the confused on talent? Are we still avoiding funding through learning rights, internationalisation of the macro-efficiency policy rule and putting this issue on the EU agenda?
ParlaMint-NL_2017-06-06-eerstekamer-7.u13	I am listening to Mr Bruijn's speech with breath. There alone is an important part of the answer. Of course, the offer is increasing, as it also dramatically increased when printing was introduced, but I would like to see this as an enrichment and not as a threat. It is precisely because Mr Bruijn himself acknowledges that the face-to-face contact between student and teacher remains of unabated significance that I can honestly see no reason why the classical university should not be able to adapt very well to the developments he has outlined and why it would not want to participate. After all, any threat outlined by Mr Bruijn is also an opportunity for the Dutch institutions to become active as international providers themselves. So I am very curious if he himself is as concerned as he sounds and what his own answers would be to at least a few of his questions.
ParlaMint-NL_2017-06-06-eerstekamer-7.u14	That's unhealthy!
ParlaMint-NL_2017-06-06-eerstekamer-7.u15	The argument is extremely broad and complex. Mr Bruijn asks a lot of questions. I am now very interested in at least a few of his own answers, because it is not so difficult to ask these questions and at the same time to question their urgency and topicality. I do not want to combat technological developments, but the university as an institution has been able to stand for a thousand years in an environment in which technology is constantly evolving. For example, it has survived very well the development of printing, a similar disruptive burglary of some hundreds of years ago. Frankly, I had the impression that some of his questions were answered by Mr Bruijn himself, for example, when he acknowledged that a university or faculty always has the opportunity and should want to keep the intended contribution of a student from a curriculum elsewhere to be able to test and assess his replacement suitability.
ParlaMint-NL_2017-06-06-eerstekamer-7.u16	I propose that I conclude my speech first, because some of the answers to Mr Rinnooy Kan's questions are in the course of my speech. Then we can see if his questions have been answered in his own way. If not, I'd like to go into that in more detail. I shall also refer to my group's view on this, because that is what Mr Rinnooy Kan is asking for.
ParlaMint-NL_2017-06-06-eerstekamer-7.u17	It's compact, though.
ParlaMint-NL_2017-06-06-eerstekamer-7.u18	Yes, Chairman, always. How do we ensure that we continue to offer our students in the digital learning environment the embedding, personal contact and extracurricular community and microcosm that are so essential in their bildung and their socio-cultural education, which is now called "campus" or "student association" for example? My party held a meeting in this Chamber last week with the National Chamber of Associations, the umbrella body of the student associations. The members of these associations apparently do not yet have much enthusiasm for the issue of internationalisation, according to research that was presented there. In the Netherlands 16% of students come from abroad. In some universities, this percentage is up to 50%, and that percentage is increasing. Yet 75% of Dutch students would not see it as positive if that foreign student also joined the student association more often and finds the same 75% percentage that should not change the language there. Let alone think about how to deal with the digital international visitor. Could it be, in part, that I now come to the answer to questions from Mr Rinnooy Can the educational institution in that new world be given new and important roles, such as those of a physical basis from which the student can enter the digital environment, that of guide through that digital jungle of offerings and perhaps that of learning independent examination authority? Do we not see the omens of this now that students seem to be staying more and more on campus and in libraries, and now learning independent tests are emerging? How do we ensure that the physical proximity of the teacher remains possible, where it is necessary? And what does this mean for the other education sectors? If the outlined development or something like that would be the dot on the horizon, how do we get from A to B? How does the Minister see this? I now come to the opinion of my group on this. My group believes that the development outlined at least requires our explicit attention. There are clearly great opportunities and benefits to be achieved, but different scenarios are conceivable. In some of them physical and digital mobility in the h.o. It does have an impact on quality control, efficiency and accessibility, where no students lag behind or fall between shore and ship, and also on the sustainability of the funding system, the protection of names and degrees, the quality of curricula in terms of socio-cultural development and bildung and the place of the teacher of meat and blood. Isn't all this asking for a broader consideration and would it not be an idea to devote an integral study on these scenarios and their consequences, including the above-mentioned aspects? It could therefore look at how other countries deal with this. I'd like a commitment. Such a study could serve as a basis for more proactive and comprehensive policies, so that we are not again attacked by universities wishing to start branches abroad that do not fit in with the legislation, a macro-efficiency policy that now inhibits international mobility or an unexpected budget gap due to incoming student mobility. The necessary thinking about the future does not, of course, stand in the way of my group's basic alignment with this proposal. However, this bill, like the one on names and degrees, could be described as an intermediate step in the right direction, as a springboard for the next phase, with which we should begin. How should we deal with the rapid developments around us? Quite apart from the exact pace and direction, my group considers it relevant, especially in the context of this legislative proposal, to conduct this discussion and to carry out further research, even if it were to be concluded that it is not all that bad and that it is not going that fast. If it is not easy, we cannot afford to wait. If we do not commit ourselves to predictions, then we certainly do not have enough offspring. My group looks forward to the answer and to the debate.
ParlaMint-NL_2017-06-06-eerstekamer-7.u19	I would like to respond, as Mr Bruijn addressed me so emphatically. I've listened very carefully. In all honesty, I have not heard much more than Mr Bruijn's group considers these questions to be important, relevant and urgent and, in fact, recommends that we give them a good, calm and broader thought. I'm fine with that. So I do not really hear many answers in that, but rather an understatement of the importance of the questions. I can agree with that and I would look forward to such an investigation, but I remain intrigued by the views that live in the VVD. I hope to find out again in the light of this discussion.
ParlaMint-NL_2017-06-06-eerstekamer-7.u20	Shall I respond briefly, Mr President?
ParlaMint-NL_2017-06-06-eerstekamer-7.u21	It wasn't a question, but you may respond briefly.
ParlaMint-NL_2017-06-06-eerstekamer-7.u22	I understand Mr Rinnooy Kan's question. I note that there are workers in the field who are not the first to outline the best scenarios. They see that there are already students who "spoccelen" their own curriculum outside the institutions. My group's question is whether our system is prepared for this. That is my group's question. Can our system ensure that the quality of education that these students enjoy and thus differ from one student to another is secured in one way or another? And can our education system or we as legislators guarantee that access to that education offer will remain equal for all and that funding as we have it will not slow down accessibility? This raises a number of questions.
ParlaMint-NL_2017-06-06-eerstekamer-7.u23	I believe that at least Mr Bruijn's first question has been answered by himself: an examination committee retains the absolute right and the power to weigh each part of the curriculum according to quality and whether or not to accept it. This seems to me to be the first concern.
ParlaMint-NL_2017-06-06-eerstekamer-7.u24	Then Mr Rinnooy Kan starts from the premise of the existence of an institution, but then I say again: read Mr Van der Zwaan's book: there are already students who "spoccelen" themselves and who do this completely outside the context of an institution. There are not few of them and their numbers are increasing. That is where my concerns lie about bildung, socio-cultural embedding, quality control and so on. They then go to a central exam or an employer with their stack of diplomas or certificates from those teachers. They say to that employer: here I am; this I have done; will accept me. Those students are okay with that, the teachers are fine with it and the employer is okay with it. The question is whether we, as a society, consider this to be a desirable development, as this will in any case potentially avoid the possibility of monitoring accessibility, monitoring quality and monitoring the breadth of the curriculum. Maybe we don't think that supervision is important. That is possible, but it is a fact that this development is already taking place, increasingly outside the context of these institutions and therefore also of the examination committee mentioned by Mr Rinnooy Kan. My group believes that this point should at least be looked at, because if this development is as rapid as other recent ICT developments, it could be very disruptive, perhaps to the detriment of certain student populations.
ParlaMint-NL_2017-06-06-eerstekamer-7.u25	Mr. Chairman. "Travelers are us in this world, not residents." That quote by Desiderius Erasmus is on a façade in Gouda, his suspected hometown. Once he arrived in Rotterdam, Erasmus added his actions to his words and was on his way for much of his life. The community he was a part of was an international community long before there were official national borders. Students and scholars travelled across Europe long before it was subsidised from Brussels or anywhere else. In the meantime, we take it for granted that the Dutch government actively promotes the internationalisation of universities and colleges of applied sciences, and the present legislative proposal deals more with the way in which than the reason why. However, in this apparently technical discussion we still occasionally encounter fundamental questions. On behalf of my group, I am pleased to make a contribution to this. I'll start with the students. The first chance of internationalisation is often offered to them within the Erasmus programme, so appropriately named, which enables large numbers of young Europeans to get to know each other and each other's environments as part of their studies. It is a successful initiative. A few years ago, in 2014, the millionth Erasmus baby seems to have already been born. I will spare you the clarification, Mr President, and mention the Erasmus programme here just to ask the Minister what opportunities she sees for further increasing its reach. To my surprise, this is far from 100% in the Netherlands, but rather half of it. It would also be a good thing for me to be able to offer a comparable international opportunity to all young Europeans outside higher education. Erasmus would have borrowed its name with joy and would not object to any grant from Brussels. Does the Minister see any possibility of making a serious attempt to do so in the coming years? At the heart of the present legislative proposal is the possibility for students not so much as visitors to a foreign institution as participants in a joint study programme. My group supports this formula, recognizes the need to lay down detailed rules for it and appreciates the Minister's commitment in this matter. But the discussion on this issue is very, perhaps too much coloured by the intention of the University of Groningen to establish such cooperation with a new branch in Yantai, in the People's Republic of China. Such international establishments are not unusual and potentially offer interesting opportunities to students and scholars from both countries involved, in exchanges of knowledge and of the underlying norms and values. It goes without saying that the associated business risks to the investing institution must be properly covered and that their national core tasks should not be affected. In the present case, however, the intangible risk that Groningen's activities in China could be threatened was also shown by the fact that academic freedoms that speak for themselves in Groningen could be put under severe pressure from time to time. The concern about that is not without reason. Recently, Australian Monash University, also active in China, reacted very mildly to the pressure exerted by the local Chinese authorities on a critical Chinese student. Within the joint venture model imposed in Yantai, the authorities are given an opening. Moreover, the practice of freedom of expression in China also wants to escape the theory. We would be doing students and scholars on both sides a disservice if we were not particularly alert on this fundamental point. I do not doubt the good will of the Groningen university community and await with confidence the decision-making process there. If so, can it say anything about the method to be followed? Where appropriate, this can provide a welcome backup for local Groningen drivers. In any case, I would like to assume that the Minister would like to regularly inform this Chamber of progress in China. We can all be wiser if the distant descendants of Erasmus move their destinations to Asia and Africa.
ParlaMint-NL_2017-06-06-eerstekamer-7.u26	Mr Rinnooy Kan flies this through the special case of Groningen and China. I understand that, but he started with the idea that the ancillary establishments have an added value in the context of exchange and so on. My question is what is the added value of a subsidiary over, for example, a joint program, in which you have much more interaction and thus much more exchange, than when you position an independent subsidiary there.
ParlaMint-NL_2017-06-06-eerstekamer-7.u27	I do not see such fundamental differences. It will often be a matter of opportunity. All I see is that there are now many international universities experimenting with their own establishment. In any case, that enables them to put a very strong stamp on what is being offered there. It also enables them to get to know what the country has to offer talent and to offer their own students a chance. So I do not see that as a very basic difference but as an interesting variant.
ParlaMint-NL_2017-06-06-eerstekamer-7.u28	But precisely in Mr Rinnooy Kan's reply it sounds as if you can keep more individuality with a subsidiary and therefore have less exchange than with a joint programme.
ParlaMint-NL_2017-06-06-eerstekamer-7.u29	The exchange can also be based on and as a starting point have its own traditions, its own history and its own expertises. That doesn't mean that at the same time you couldn't be open to what local students can tell you about their history and their approach to the discussions that are being held there. So I see it, again, really not as a different matter of principle, but as two variants that can co-exist very well.
ParlaMint-NL_2017-06-06-eerstekamer-7.u30	I have a short, factual question for a supplement. Mr Rinnooy Kan referred to the role of the on-the-spot inspection. Now in higher education it is not so much the inspection as the NVAO that monitors the quality, with visits, accreditations and so on. Can I interpret Mr Rinnooy's question in such a way that he also involves the NVAO, so that the Minister can take that into account in her reply? I'd be curious to find out.
ParlaMint-NL_2017-06-06-eerstekamer-7.u31	That does not seem to me to be wrong at least, but it does not touch what I am trying to promote through this question. This is because if there is still a risk that traditional academic freedoms might be at stake in China and perhaps elsewhere, it is likely that it will not be so easy to register in practice. In many cases, it will completely evade the observation of the directors there. Then I find it reassuring that the educational inspection, which can observe the practice of education through accreditation, can also keep an eye on it. I am not saying this because I doubt the good intentions of the Dutch teachers and the local Dutch directors. I say it precisely to support them in their opposition to possible violations of academic freedoms if they wish to raise them with their Chinese counterparts. Then the authority of the Dutch education inspection, with behind it the Dutch government, can help them in what might become a very difficult, if not annoying, discussion in practice. After the students, I now turn to the scholars, because they too benefit from internationalisation and want to take full advantage of it, just like their institutions. Besides many other facilities, the Dutch institutes abroad also play a useful role in this. Can the Minister reassure my group about the continuity of their funding? We sometimes hear such sounds about that. But in general we can be satisfied with the situation in this country. The Netherlands, as the Rathenau Institute recently confirmed, can boast of a very healthy in- and outflow of scientific talent, although the Netherlands could and should do more to promote that talent to eventually become a resident of the country where the basis for its travels was laid. Does the Minister see any untapped opportunities there? I share the importance of this initiative. The Netherlands must be and remain an irresistible destination for research talent. This is one of the reasons for the extension of the ius PhD students advocated in this legislative proposal; earlier speakers have already mentioned it. On further consideration, the current Dutch interpretation according to international standards is indeed very reluctant: the experienced, closely involved, but untrained PhD supervisor can at present only be offered a co-promotorship. This discourages, and does not do justice to their contribution in national and international imaging. My group therefore supports the Minister's proposal to extend the promotion of qualified university professors and, thanks to the appreciated intervention of the VSNU, has now also seen how universities are unanimous in their intention to deal with this area in a procedural manner. In this respect, our original fear was that, given the importance we attach to consistency of legislation, the future appointment of a promoter in a particular field could take place entirely outside the involvement of the professor responsible for that field under Article 9.19 of the WHW. Now that the universities have undertaken to explicitly involve their opinion in the decision-making process within the promotional college, our concern has actually disappeared. In this sense, we have a little more confidence in the implementation of these good intentions by the universities and faculties than the previous speaker. The expansion of the ius PhD students aimed in particular to enable also visiting scholars from abroad to be given the opportunity to act as a promoter in the Netherlands. Could the formal limitation of promotional rights to university staff constitute an obstacle to this? Or, where appropriate, can a Nulaanstelling be sufficient? Then, for example, qualified university lecturers can benefit from this, pending a more fundamental discussion on the further profiling of research to the colleges and the possible associated possibilities of doctoral differentiation. By the way, foreign promoters will attach to a correct title. In this connection, would the Minister, with thanks to my colleague, Paul Schnabel, please make sure that the title 'Doctor of Philopsophy', now referred to in Article 1,19b, is removed from his entirely surplus middle P? Finally, the proposal before us calls for an amendment of Article 7.50. With the best will in the world, I cannot see any relationship with any form of internationalisation. This concerns the exclusion of a student's own contribution to the selection costs for his or her education. The main argument for this is the negative side effects of the Minister's own contribution to the free, financially uninhibited choice of study. The Minister's ancillary argument that selection is part of education, and must therefore be financed from tuition fees, does not convince me very much. Can the Minister explain again what this fear of such a negative influx is actually based on, especially in the knowledge that the colleges have already come up with compensatory arrangements to avoid economically weaker students? As little evidence as there seems to be to support that fear, there is so much evidence for the recent growth in the number of applications and the number of no-shows. In the case of colleges, this is likely to result in substantial costs, so much so that some of them have brought legal proceedings against the State. Will the Minister at least wait until the judge has given his ruling on this subject when this revised article is put into effect? Internationalisation is a characteristic of the academic community. We should be proud of the growing international visibility of our own students and scholars, and of the growing interest of their international colleagues in visiting our country. Travellers are all, as Erasmus was before, unabated by curiosity and unabatedly grateful for a welcoming welcome by the residents. Let us continue to give them generously.
ParlaMint-NL_2017-06-06-eerstekamer-7.u32	Mr Rinnooy Kan has ridden from the scientist who is now a copromotor and would like to be a promoter. I have expressed my sympathy for that. However, I would like to make a few comments from the PhD candidate. The lack of right of consent for the professor in question therefore leaves open the possibility for a situation in which the professor advises not to appoint the uhd in question from his group as a promoter. It may then be possible to appoint that uhd promoter. Then the PhD student is in a department where the uhd is the supervisor, the professor concerned had protested against it and it is not clear what the professor's involvement is still. So it can be very variable. Is that professor according to Mr Rinnooy Can or cannot hold accountable if he or she does not have the right to consent? Is this ambiguity and uncertainty in the interest of the PhD candidate?
ParlaMint-NL_2017-06-06-eerstekamer-7.u33	I had realised the tension to which Mr Bruijn referred in his own story, but I must honestly say that it seems highly unlikely to me to avoid the situation he has outlined. This would mean that the dean has turned to the professor in charge and that he explicitly opposes the appointment of this promoter, and that the promotional college would nevertheless do so. Then there is something real going on within that field and something really wrong with the position of the professor responsible. So I can't imagine this ever happening. And when it happens, there will be reasons for it, which stab deeper than the one incident alone. Then, of course, the faculty, the dean and the promotional college will ensure that the importance of the PhD candidate is not at stake in the future. I cannot imagine, however, that such a thing would happen and that it would then remain the case.
ParlaMint-NL_2017-06-06-eerstekamer-7.u34	If it never happens, you could also be in favour of consent. Then we'll know for sure it won't happen.
