ParlaMint-NL_2017-09-05-tweedekamer-4.u1	I would like to welcome the Foreign Minister. I call Mrs Karabulut.
ParlaMint-NL_2017-09-05-tweedekamer-4.u12	This is a second supplementary question, for you to know.
ParlaMint-NL_2017-09-05-tweedekamer-4.u13	I hear a lot of explanations about the contacts and the diplomatic movements, but has the government also offered to South Korea: we would like to do something for you, tell us what we can do? Is the government willing to go there at a high level, visible to the South Korean people, to show: we support you, we support you, you are not alone? This is necessary in order to prevent the idea that South Korea should also develop an atomic bomb from getting grounded.
ParlaMint-NL_2017-09-05-tweedekamer-4.u14	I just told you that there are important contacts with South Korea. That request has not been received. They know the solidarity and support of the Netherlands. The considerations you mention are certainly not clear about the position of the Government of South Korea.
ParlaMint-NL_2017-09-05-tweedekamer-4.u15	The impression might have arisen for a moment that the Dutch Government, through the Dutch Minister for Foreign Affairs, took the military option off the table, because that was in the questioner's conclusion. I would very much like to hear that the Dutch Government does not do so, even if it is only a matter of not putting further pressure on the consensus, which is already under such pressure with a White House and a Pentagon that contradicts each other. That's one. Secondly, I would like to know from the Foreign Minister, Madam President, whether he sees anything else in that dialogue. I also hope that he means 'negotiations', because we have tried to conduct a dialogue in vain for 20 years. At least the VVD Group does not see anything like that.
ParlaMint-NL_2017-09-05-tweedekamer-4.u16	In response to the first question, there is no military option on the table. So I can't go into that further. With regard to the second element, yes, I also have my doubts about the effectiveness, both of sanctions and of dialogue. Nevertheless, I believe that if this consensus is to be pursued with maximum force and priority from the United States and Europe, and if there is a clear pressure towards Russia and China, this is the most important way of avoiding further tensions. I also believe that this is possible, but it is important that we use this as actively as possible. The issue of sanctions, brought in yesterday by the US representative to the United Nations, therefore deserves all the attention of all the members of the Security Council.
ParlaMint-NL_2017-09-05-tweedekamer-4.u17	Second question.
ParlaMint-NL_2017-09-05-tweedekamer-4.u18	I agree with the Minister that sanctions should be considered, but preferably not, as tweeted somewhere, with all the countries trading with North Korea. This also applies to those countries which have to participate in finding a solution. However, I am thinking of very targeted sanctions, including the exiles and the forced labourers targeted from North Korea in Europe, for example. Mrs Karabulut has already asked questions that I have supported. It would be a good thing for the Dutch Government to include it in its deliberations on the package of sanctions which, as far as I am concerned, should be applied as soon as possible.
ParlaMint-NL_2017-09-05-tweedekamer-4.u19	I very much agree with the honourable Member, Mr Ten Broeke, where I still have a preference for global sanctions. Moreover, I would not rule out autonomous sanctions from the European Union if other countries were not prepared to take sanctions. I do not know whether Mr Ten Broeke is interested in my answer, but that is obviously up to him.
ParlaMint-NL_2017-09-05-tweedekamer-4.u20	Mr Ten Broeke, you are being spoken to! Proceed, Minister.
ParlaMint-NL_2017-09-05-tweedekamer-4.u21	I thought you were also interested in the answer to your question.
ParlaMint-NL_2017-09-05-tweedekamer-4.u22	I'm very interested in that! That's why I'd like to hear it again.
ParlaMint-NL_2017-09-05-tweedekamer-4.u23	I've heard the question, but I think you're more interested in the answer. As far as Korean forced labour is concerned, I am very concerned about this practice. So we'll definitely take that with us. We are not yet a member of the UN Security Council, but we have ensured that this point has been included in the UN Security Council resolution, so that there is now a ban on extending the work permits for North Korea. I think that should be reduced and actually just demolished. I would also like to point out that this is what you mean by the fact that, in addition to the trading countries, there are also a large number of connections between North Korea and world regimes which are often a threat to peace and security on other fronts. This also means that, if we impose sanctions, we will also place North Korea on the top of the agenda in the way we deal with these countries as the EU. Otherwise, these sanctions will indeed not be worth anything.
ParlaMint-NL_2017-09-05-tweedekamer-4.u24	Sanctions seem clear, although you have to ask yourself to what extent you can apply further sanctions, for example when it comes to the supply of oil, which does not affect the civilian population. But that will be taken into account by the EU and, I presume, by the Security Council. What does the Minister think of Chancellor Merkel's proposal, which is fine with sanctions, but also thinks that dialogue is important? Apparently, this has been in contact with the French President Macron. They are looking at the atomic deal, as previously known from Iran.
ParlaMint-NL_2017-09-05-tweedekamer-4.u25	I believe that the Chancellor is in the same direction as the Dutch Government, both in terms of the inconceivable of a military solution and the search for a combination of pressure and dialogue, also considering what can work. In the past period, we have seen that North Korea was generally just going to negotiate for a while, getting some resources and then just doing what it was already planning to do. That risk remains. So let there be no misunderstanding, I am not naive about this dialogue either. Whether that could be something like what we've developed with Iran, could be. In any case, that was a successful diplomatic agreement. I would point out, however, that the regime in North Korea is again completely different from that in Iran. The way in which the nuclear problem has developed in Iran is a lot further. So there's a risk in that, too. The question is, could you do it the same way? However, the objective of a diplomatic solution, as far as possible, is absolutely a priority for the Dutch Government.
ParlaMint-NL_2017-09-05-tweedekamer-4.u26	Thank you.
