ParlaMint-NL_2017-03-21-eerstekamer-10.u1	I call Mrs Swinkels.
ParlaMint-NL_2017-03-21-eerstekamer-10.u16	I have a question on the subject of investigations. You made that clear, even during the parliamentary written procedure. I understand that your point is that those investigations show that in a divorce, the vast majority of respondents say that what was premarital to me must remain mine. I'm just saying it in plain Dutch and not too legal. Am I to understand that that's the communist opinio? In my view, these investigations were carried out before parliamentary treatment took place in the House of Representatives, because there is a very important violation of the principle of the limited community of goods that the premarital abilities of the spouses are respected. What they had together before marriage is involved in the limited community. Do you not agree with me that when people lived together in their own homes before marriage, which is by far the majority of cases common wealth? That just falls into the community, so what ability are we talking about?
ParlaMint-NL_2017-03-21-eerstekamer-10.u17	I hear two questions. You're asking if people think it's crazy that premarital joint property falls into the community. I don't think so. I think it feels quite natural that a house that you had together before marriage also falls into the community of goods. There is a good reason for this, but Mr Recourt will come back to that. Secondly, can you remind me of that?
ParlaMint-NL_2017-03-21-eerstekamer-10.u18	You've made two questions. Let me get right to the point. What then changes compared to the current system? If the only property of people is their own house and if they had it together before marriage, it's going to be in the community of goods if they get married now and don't settle anything. Soon it'll work if they don't settle anything in the community of goods as well.
ParlaMint-NL_2017-03-21-eerstekamer-10.u19	In the case you're sketching, if that's all you've got. Of course, that's not always the case. I already gave the example of the girl with the savings that end up in the big pot. Of course, there is also the point of inheritances that you get during marriage. This bill regulates much more than you're suggesting.
ParlaMint-NL_2017-03-21-eerstekamer-10.u20	We'll get to that, I think. In notarial practice, everyone actually chooses that exclusion clause in donations. Obviously not in some cases.
ParlaMint-NL_2017-03-21-eerstekamer-10.u21	I don't think I should mow away all the grass in front of my colleagues, so I'd like to leave that to them. I will continue with my speech. What remains, of course, is that people with special capital positions and, of course, entrepreneurs are wise to be informed by a notary and, if necessary, to have a prenup. That is already happening, and it will not be any different. I agree with Mrs Wezel. It is important, however, that the legal standard is not intended for exceptions either now or later. This is about the largest group of Dutch people, who therefore, once again, do not make a different conscious choice. The basic legal system must be consistent with what is most desirable for them. We all care about choice and freedom of choice. Mr Van Dijk and Mrs Bikker have asked how we feel about the choice system. This has also been discussed in the House of Representatives. I cannot stress enough that the initiators have investigated this. However, it has been a very conscious choice for them to make the current proposal and not introduce a choice system. This is the basic legal system. There must always be a basic system for those who do not want or can choose. However, there are also important objections to a system of choice, as proposed by Mr Segers in the House of Representatives. It is really only a very limited choice. It only gives two flavors. If you really want to choose, the palette of choices is much larger. You would indirectly limit that freedom of choice with the choice system that has been proposed.
ParlaMint-NL_2017-03-21-eerstekamer-10.u22	Then the better remains the enemy of good. I think we can emphasise that. However, we must note that 70% of the current marriages are concluded in a legal community of goods without the restrictions proposed by the proposers. They explain what most of the newlyweds would like most. At the same time, there is a very large group of......................................................................................................................................................................................................................................................... It is sent to the notary by the proposers, albeit friendly, with one line on a note, where that was not necessarily necessary. If you'd like to serve a large group, these are the two flavors we see a lot of. I find it a little too easy to wave it away with the remark that we can then write all the options in the law. I understand that's not necessary, because that's what we have the prenup for.
ParlaMint-NL_2017-03-21-eerstekamer-10.u23	Thank you for the comment. I think it is important to realize that the people who currently have a community of property as a marital property regime have often not chosen to do so consciously. Most people still live in a pink cloud and think about the financial consequences of marriage too little.
ParlaMint-NL_2017-03-21-eerstekamer-10.u24	Then I come to the second question that I have asked: it is not going to change because of this bill, and so the resolution problems remain inherently the same. Surely that pink cloud should raise you much more in advance, as in the conversation you had with the girl from the example? That's what you keep running into, isn't it?
ParlaMint-NL_2017-03-21-eerstekamer-10.u25	According to the initiators, their proposal is more in line with what this unsuspecting future wife, who does not really see the consequences well, will want. This has been demonstrated by the investigations of TNS NIPO and Motivation that I mentioned earlier.
ParlaMint-NL_2017-03-21-eerstekamer-10.u26	Mrs. Bikker, finally.
ParlaMint-NL_2017-03-21-eerstekamer-10.u27	I also miss a whole component of representativeness in these investigations, but we do not agree on that. That has already been changed in the Lower House; I do not want to do that again. I regret, however, that this restricts freedom by making what is now easier more difficult. There is already a limitation, rather than complete freedom. It is a pity that we cannot approach each other in this respect. However, I have just exchanged views with Mr Backer as to whether, ideally, this would not be the pharaoh, regardless of what Segers has proposed. I'd like to hear about that from the proposers. So shouldn't you ideally ignore the freedom of choice of the general system we now have? Isn't the best choice you have both? I understand that Mrs Swinkels rejected her colleague Segers' proposal, because it was all a problem. Shouldn't you ideally study on that, though? I'd like to get the reaction from Mrs. Swinkels. After all, Mr Backer was a little more enthusiastic about that. I thought maybe we could still find each other tonight.
ParlaMint-NL_2017-03-21-eerstekamer-10.u28	[[Sentence could not be parsed: Ik kan niet anders dan zeggen dat er volledige keuzevrijheid is.]] Anyone who wants anything can go to the notary. We believe that what most people want is going into the basic legal system. However, the freedom of choice to do it differently is in no way limited by this bill. I think we have said enough about the choice system. I come to the next point. The following questions were also raised this afternoon. What does this mean for the smaller capacities? Is what you're going to change now or is it in proportion to the alleged complexity of the system that this is going to entail? Some Members, at least Mr Van Rij, have raised the question of whether this proposal does not create more problems than it solves, given that average, nevertheless modest capacity. I'd like to answer that question. Suppose it is true that most couples have a modest capacity of about €30,000. If that's the case, then this new system doesn't make it any more difficult for these people with such power. This group has often built up property during the marriage and will have little or no premarital property. The wealth that is present is therefore in any case common because it was built during the marriage. So the new system doesn't make it that much different for them. It will be easier for their parents, because they no longer have to go to the notary to make inheritances and donations non-common. There is another important point I would like to make. The average capital is, of course, a consolidated, netted capital. The pluses and the mins are crossed out against each other. But underneath it can be very good about larger assets that are part of that total capital. A division will always be about those individual assets. That's what they're getting at. It is not the case that the individual assets in the event of a dispute become instantly common. So when it comes to a mortgage, valuable goods, a savings account or debt, it may be important that it is private, even if the size may be modest. That can make a lot of difference to the individual husbands. In addition, an average capacity of €30,000 for one is a modest capital, while for the other it may be a lot. Then perhaps you can choose to keep it all organized, to leave everything to the past and to make everything in common; we talked about that before. But I would still choose the just solution, namely: what is private must remain private, whether it is inheritance or premarital property. I would then like to give an example that I have ever heard in my law practice. A woman was unpleasantly surprised at the divorce by the hidden gambling debts of €15,000 that her husband, now ex-husband, had made before marrying her and of course he had kept from her for understandable reasons. Is it right, then, for her part to take the fall for these gambling debts? Or should she have done what is always done in the case of a merger nowadays, a due diligence investigation? We can't expect that from her, can we? No, as Mr Backer said, we must choose the righteous rather than the perhaps simpler status quo. We will no longer allow what is naturally private to be made common in this legislative proposal.
ParlaMint-NL_2017-03-21-eerstekamer-10.u29	Especially in a situation where a partner is in debt, I understand that this bill can provide a solution. But I'm going back to the situation of the 25-year-old woman with savings and her partner in debt. The problem is that, for example, groceries are being made with, among other things, women's savings but that there is not exactly a record of how much of the private money and how much of the joint money is being spent. So the woman doesn't keep track of that. But what if the man does? With him, the debt remains the same, but the wife's private money falls. That is, in fact, an unreasonable situation, because it should be divided. So as long as you don't keep track of what's going on, you're gonna get in trouble. In my opinion, people are not prepared to do that.
ParlaMint-NL_2017-03-21-eerstekamer-10.u30	Mrs Wezel outlines a situation that sounds unfair, but which is already so at the moment. In her example, there is talk of messages. Those are the cost of housekeeping. The cost of the household should be settled very regularly, i.e. within a year after the date. So you can't come back to that when the marriage is dissolved and when the estate divorce is divorced.
ParlaMint-NL_2017-03-21-eerstekamer-10.u31	But private doesn't stay private. This law therefore does not solve that problem.
ParlaMint-NL_2017-03-21-eerstekamer-10.u32	That is what is happening at the moment, and it will remain so. Our bill doesn't change anything about that right now.
ParlaMint-NL_2017-03-21-eerstekamer-10.u33	What's it gonna improve?
ParlaMint-NL_2017-03-21-eerstekamer-10.u34	What improves it? I thought that I made that clear in the previous paragraph, namely that there will be better protection against creditors, among other things. I mentioned the example of student debt, for which the other person's savings will no longer have to be paid if the new bill becomes law. In Mrs Wezel's example, therefore, women's savings will not be able to be used to assess the man's student debt.
ParlaMint-NL_2017-03-21-eerstekamer-10.u35	I have the feeling that my colleague and the initiators are talking a little bit. Maybe I can create some clarity. In my opinion, Mrs Wezel asked: what about the savings of one person and the other's debt if they are going to spend that wealth during marriage? I had understood from the initiators that if people break up, then the savings will still be paid out to the husband who had it and the debt will remain with the one who had it, but perhaps I am wrong.
ParlaMint-NL_2017-03-21-eerstekamer-10.u36	If there's any savings left in a bank account, they stay private. But in the example that Mrs Wezel outlined, it was about using savings, getting rid of the bank account to meet household costs. At that point, the law says: we are not going to look back when marriage comes to an end, because that becomes too complicated; you should have done that much earlier, within a year, and we are not looking at that anymore. So in that sense, it doesn't remain private. But it has already been spent on the cost of the household. Thank you for your interruption. I hope that has made it clear.
ParlaMint-NL_2017-03-21-eerstekamer-10.u37	Mr Van Rij, you also have an explanation on this?
ParlaMint-NL_2017-03-21-eerstekamer-10.u38	No, because this was a clear answer from Mrs. Swinkels. Suppose the money is not used for the cost of the household, but that the wife from the example of Mrs. Swinkels uses the savings to pay off her husband's student debt. Then there will be a right of compensation, I suppose. Are we not going to get that situation much more than in the current situation? Aren't we gonna get a lot of compensation rights over and over again?
ParlaMint-NL_2017-03-21-eerstekamer-10.u39	Maybe I have more faith in the spouses than you do. It may well be that such a woman does that voluntarily and says: we pay it together. If that's the case, there's no going back to that at the divorce.
ParlaMint-NL_2017-03-21-eerstekamer-10.u40	But then we don't need that limited community of goods, do we? Well, then you can just do it in the current system if she does. Because that goes into a pot: the bank balance and the debt. I do not understand why the problem you have raised, which you so eloquently began with, would be a problem, in your optimistic image of humanity.
ParlaMint-NL_2017-03-21-eerstekamer-10.u41	You know very well that reality is always greyer than the black and white situation we are describing. Precisely in situations of unexpected debt which suddenly arise in the event of divorce, the other spouse is not involved. That's the profit of this bill. At the same time, it also means that if one of the two spouses has been given an inheritance, including those outside it, and the debts cannot be satisfied with it. If that has happened, there will be another right of compensation, as you have already indicated. Mrs Bikker asked about the weaker party in marriage, who does not administer or has less power. My colleague Recourt goes into that. I'm gonna leave it there for a second. I will say something about it in general, in the sense that in practice the resolution problems that have been raised are very minor. These are not new problems. Most of these problems, when it comes to proof of what is or is not common, occur at the time of divorce when a description of what is in total is made. Then it is assumed that it is common. If you want to say "that or that's mine in private," you're gonna have to prove it. Only then, when the other contests that, will you end up on the suspicion of evidence. But my colleague, Mr Recourt, will go into this in more detail. The fact is that with this bill we are moving towards the two most common European standards. There have been no major problems with this system of this limited community, which is more or less present in other European countries around us. Disbandment of the community, whether in divorce or death, appears to have been mostly successful. I think this is a good time to address Mrs Beuving's question on Mr Subelack's comments. Like I said, there's gonna be a property description at the time of a divorce. One indicates what may be private. Contrary to what Mr Subelack said, practice shows that there is virtually no discussion between the spouses as to whether a good or property of one of the spouses is from inheritance or donation. Usually it's obvious. In practice, therefore, there are hardly any problems. What Mr Subelack is apparently referring to is the use of money from an inheritance or donation. In this case, the mixing of power may occur. But that is, once again, an old problem that still exists today, for example when it comes to prenup. Besides, you already have three abilities. There too, there is a mixture of abilities. And that's where they come from too. Many groups have pointed out that many spouses receive donations and inheritances with an exclusion clause. The same problem would apply to this. Again, that is not the case at the moment. That's not so bad. It is also feared that there will be more proceedings, but this exclusion clause has existed since time immemorial. There's not much going on about that. That fear seems therefore unjustified. The initiators are also aware that during the expert meeting the representative of the vFAS, the Association of Family Law Advocates of Separation Mediators, had a much more nuanced view on this matter than Mr Subelack. I'm very attached to noticing that here.
ParlaMint-NL_2017-03-21-eerstekamer-10.u42	If something was said at the expert's meeting which seemed to be working and which really affected a real potential problem without regard to the person, because I did not care at all from what angle the comments came from, it was a reason for us to ask questions about this. So far, given the answers given in the written round, these questions have not been withdrawn. The point that Mr Subelack made is that you can arrange it all on the drawing board and on paper very nice and clear, but that the practice is unwieldy. The system of this bill can give people who are in a nasty phase of their marriage, around a divorce, perhaps more triggers to put it in English to get fooled, in the words of Mr Subelack. I would like to hear it if Mrs Swinkels thinks otherwise, with arguments. My group's concern is that there will be more reason to do so. I mention just the fact that there will be three capabilities, including two private assets. The system that is now being proposed has a much stronger role to play.
ParlaMint-NL_2017-03-21-eerstekamer-10.u43	I think Mrs. Beuving is talking about fighting divorces. They're usually about the kids, about conversion arrangements and about alimony. That's the problem with fighting divorces. They're not so much about the separation of property. It is often only at the end of the journey and is not the breeding ground for that.
ParlaMint-NL_2017-03-21-eerstekamer-10.u44	Mrs. Beuving, please be brief.
ParlaMint-NL_2017-03-21-eerstekamer-10.u45	One sentence, Mr. Chairman. I understand that very well. That is the current situation, but we are afraid that there will be a third issue when this legislative proposal becomes a reality.
ParlaMint-NL_2017-03-21-eerstekamer-10.u46	I think that my colleague Mr Foort van Oost will go even further into the problems of resolution. It would be nice if Mrs Beuving could wait for that. He will also deal with the administration and the suspicion of evidence. Mr Van Rij noted that an increasing group lived unmarriedly together. That's what the initiators saw. According to Mr Van Rij, this bill would be of no use to that group. He asked why we're changing the matrimonial property law now that fewer and fewer people seem to marry. Should our focus not be on social contracts and forms? This bill is indeed about married and registered partners and not about cohabitants. I am glad to hear that Mr Van Rij and the CDA are concerned about all these new, different forms of society and are thinking about it. I look forward to the CDA's proposals on this subject with great interest.
ParlaMint-NL_2017-03-21-eerstekamer-10.u47	Mrs Swinkels is now making this invitation for the second time, especially to the CDA, but I do not think that only the CDA should do so. This is typically a subject that a subsequent cabinet should deal with. Hence my plea that, given the diversity in social developments in the field of forms of society, it might be better to park this bill in the light of this broader reorientation. That'll bounce the ball right back. I think there is much more social need for this than your attempt to solve this very small problem. That's not just about the CDA; that's really something a next cabinet should do.
ParlaMint-NL_2017-03-21-eerstekamer-10.u48	I want to bounce that ball back anyway, Mr. Van Rij. Do you know how long it's taken to solve this little sub-problem? As far as a broader social vision of marriage is concerned, I think that the road to a state committee is completely open. That must be my third invitation. I have come to the end of my reply. I am happy to give the floor to Mr Recourt.
ParlaMint-NL_2017-03-21-eerstekamer-10.u49	I give the floor to Mr Recourt. Thank you, Mrs. Swinkels. Excuse me, but let me tell you what the situation is: you are ready and I give the floor to Mr Recourt. You have the floor, Mr Recourt.
ParlaMint-NL_2017-03-21-eerstekamer-10.u50	Thank you, Mr. Chairman. I'll start with a brief general introduction. After that, I'm gonna go into some specific questions. Let me make a general point: I would like to approach this issue as practically as possible. This subject lends itself to enormous juridification. The average Dutchman has no message about that. He's not going to the notary at all. He's just in love, he wants to get married, he goes to civil status, and that's where it's arranged. It's only after a divorce that the trouble arises. Like the spokesmen, we want a system that does not increase the trouble and that simply regulates things nicely, not only in the case of divorce, but also in the case of death, because fortunately most marriages only end when one of the two partners dies. By that word "happy," I do not mean death, of course, but the fact that most marriages only come to an end when one of the two partners dies. We also want a fairer system of matrimonial property rights that is more up-to-date. A practical remark in this context is that this law will not apply to ourselves, but to our children. The law will apply to new marriages to be concluded. Common capabilities are not converted into private assets. Although the number of divorces unfortunately continues to increase, the largest number of marriages will continue to end as a result of death, as I have just said. Once again, it is important that this is properly regulated. For example, it's about my daughter if she were to marry someone who's been married before. This is plausible, because the increasing number of divorces means that there will be an increasing number of second and third marriages and composite families. This law is ideally suited to that, because I want to protect my daughter from, for example, the debts that were incurred in that previous marriage. Let me put my own daughter here as an average Dutch young woman. I'm not sure she is, but her chances of a faster school career and a slightly faster university career are a little bigger. Because she may start working a little earlier, the chances of her ability increasing earlier is a little higher. Looking at the differences between men and women, I think you can say on average that women in the period before children are born I don't have it, because then the bullshit starts, but this law doesn't see a slightly higher chance of private property than men. That applies to the new generation. Again, the differences arise when having children. I even think that this law is a little bit, but that's just a little bit, can help to narrow those differences in the sense that there is some private power. Then the question is what exactly is the situation with these differences? Will future alimony legislation, which we also have initiatives for, contribute to a less favourable position for women? No, this law is out there. If it does anything, I think it improves the position. I'm gonna go into fate bonding, if you do get married afterwards. "Lot bonding" I prefer to translate into "solidarity within marriage," a term that fits more with my political movement. It is retained in this proposal. There was also an expert who said: there should be nothing in common; it should be two private assets. But then all protection is gone. You shouldn't start with that. It's spring, so you have to work in the garden, because if you don't keep up with the garden, there's gonna be a wilderness. "Il faut cultiver notre jardin," I say chic with Mr Voltaire. The garden we now have in matrimonial property law was built a long time ago, in the time when the man was a breadwinner and cared for the woman. This is where the story of the ability to act, as Mr Backer has already mentioned, fits. And this is where my mother's fate fits, who was fired on her wedding day. She was a teacher, kindergarten teacher. Such a situation is the basis of our current legislation: the man is active outside the home and the woman takes care of the children and must therefore be protected as much as possible when the marriage is terminated. 150 years later, we are in a new situation where we expect men and women to be economically active. The problems arise at the time when children are born, because this makes women much more vulnerable, but this law assumes that both men and women have about equal opportunities for training and equal opportunities for employment. I'm coming up on the international component. If one does it abroad in a certain way, it is not an argument to say in the Netherlands: they are doing so well there, so we have to take it over. In itself, that's a non-argument. I couldn't agree more with the Chamber. Harmonisation is also very nice, but it is not an argument to adopt a foreign system if our system in the Netherlands is better. Neither is an argument. But abroad is important for two other arguments. One: you can already see that fewer exceptions are made abroad by fighting prenup with the notary. It is therefore unlikely to expect a run on the notary if we introduce another system in the Netherlands. You don't see that happening abroad. Two: Abroad, you don't see an endless amount of procedures. I read somewhere that this law would create some sort of lawyer's paradise. If you look abroad, that is absolutely not a legitimate expectation. Doesn't this law increase the number of divorces? I think that is a very relevant question. I have worked very hard over the last few years to reduce the number of divorces, so an increase in them is the last thing I would like. I will come back to the specific examples, but I think that a number of brackets will be removed in general. After all, divorces are often a legal way to shape your struggle, your anger, your grief and your grievance. The easier those brackets are to be grabbed, the faster that can be. You can never prevent a divorce from fighting, by the way. At least this bill makes sure that brackets like "fuck, that's the inheritance I got from my parents, but now half of it goes to that nasty guy" or "I have to pay the debt from her" is taken away. It removes such feelings of injustice. I'm here to talk about premarital property and the notary. Mrs Wezel in particular made a point of this, as did Mrs Beuving. Both ask if it is not so that you have to go to the notary to make a responsible choice under which system you want to marry.
ParlaMint-NL_2017-03-21-eerstekamer-10.u51	I should like to comment on the previous points. I would also like to thank Mr Recourt for his explanation, but I do not quite understand the following. When we look at the neighbouring countries, which do indeed know a limited community of goods, we see that those countries which have often been imported a long time ago. Does this mean that these societies had then achieved all that form of emancipation that Mr Recourt is talking about? He talked about the situation of daughters and economic equality. Is that really true? Let's take a country like Belgium. Was that so emancipated in the nineteenth century? Did the women there already have a lot of rights, more than in the Netherlands? So I don't quite understand that argument. I have already indicated that we would have had a limited community of goods here if the Belgians had not separated. By the way, that immediately indicates that I am not superideological at all. My question is therefore: the whole community of goods developed in the 20th century, through, among other things, the prenuptial terms and the exclusion clauses, in order to respond precisely to those developments that Mr Recourt described? Short and good: if my daughters come to me for advice on this, then I will say neither in the current system nor in the new system: get married in community of goods. I'll say: you are so independent and economically perfectly equal to your partner; arrange good prenup.
