ParlaMint-NL_2017-01-24-tweedekamer-34.u1	I would like to welcome the Minister for Housing and National Service.
ParlaMint-NL_2017-01-24-tweedekamer-34.u12	The condition in the amendment I have tabled is that the payback period is ten years or less. That must be sufficiently proven. If so, the owner who participates in sustainability will see it on his energy bill.
ParlaMint-NL_2017-01-24-tweedekamer-34.u13	Who's gonna prove that? Who's gonna check that out? Where do I, as co-owner, get the assurance that it will actually be paid back in ten years?
ParlaMint-NL_2017-01-24-tweedekamer-34.u14	If the law states that such decisions can be taken by simple majority and the condition is that it must be earned back in ten years or less, then the board of the vve is responsible for proving that the payback period is ten years or less. If that turns out not to be true in the end, owners have the opportunity to address the board accordingly. Other rules are laid down in the legislation, which are also based on a payback period. There have been cases of five years, there have been cases of ten years. That's just what the law says, and apparently we can keep it.
ParlaMint-NL_2017-01-24-tweedekamer-34.u15	My observation is that Mr De Vries says about tenants that they should not go backwards. He wants to set that up in the housing security. However, he says about buyers that they have to figure it out with their vve and that he is not going to interfere.
ParlaMint-NL_2017-01-24-tweedekamer-34.u16	We are going to get involved, because I say that such a proposal really has to meet the requirement that it must be shown that it will be paid back within ten years. We cannot impose exactly the same requirements on owners' associations as on tenants. However, I try to get as close to it as possible in the wording of my amendment. We still have doubts about enforcement. Shouldn't administrative enforcement opportunities be extended to make the adaptation to this law effective? An individual owner is generally extremely weak compared to a larger owner in the association. Things don't always go as neatly in those kinds of situations. Unfortunately, there are many situations where less cooperative cottage milkers are co-owners. I tell no secret when I say that this category of owners still exerts pressure that may exceed the limit of intimidation. That is why we are calling for a policy of sanctions to be developed to better protect the owners, residents and tenants. We are looking forward to the Minister's response to this. Even more difficult is the legal protection of the tenant in apartment complexes. We have understood that there are some large landlords, as far as we know, all corporations that facilitate tenants' participation in the management and maintenance of the residential building in which they live. Does the Minister agree with the Labour Party that it would fit into this law to give tenants at least the right of access to the general assembly of members and the right to an advisory vote? We also wonder what the position of the tenant is when he addresses the owner and wants to solve the problem, but the vve does not or does not do so in time. What rights does a tenant have in such a situation? Another important point we consider to be adjustments for people with disabilities. A resident may call on the Wmo for adjustments behind his front door, but in the common area the vve must invest in accessibility. How can the resident enforce this? Are or are there gonna be rules for that? The Royal Notarial Professional Organisation is working on a new model regulations for VVEs. This would become available in 2016 and the Minister would consider whether this would give rise to the inclusion of certain issues in the law. What is the status of this model regulation and can we possibly expect a new legislative amendment if that model regulation gives rise to it? Last year there was a lot to do about the service flat Boswijk in Doorn. Is the problem of service flats with this change of law easier to address? If not, what else should be done to prevent such problems?
ParlaMint-NL_2017-01-24-tweedekamer-34.u17	Mr. Chairman. The CDA welcomes this proposal. In particular, the legal obligation to reserve sufficient money for necessary maintenance of apartment complexes appeals to us. As a starter at the market, you'll want to start quietly with the purchase of an apartment and the contribution to the vve is not so bad. It seems like a nice place to start with. But when you're a year away, it turns out there's concrete rot, the roof of the complex leaks, spoils the place and doesn't give the vve home. Then it turns out why the vve contribution was so low. If there's no money for maintenance, you have a problem. There are many such situations. Fortunately there is now more attention to it and the number decreases, but still brokers hide the vve-cost when they sell an apartment. There are vves that allow the short-term own interest of a low vve contribution to prevail over the long-term interests of a well-maintained apartment complex. We also welcome the fact that the possibility for vves to take up a loan is being laid down. I'll be on box three. We are not quite satisfied with the explanation as to whether an apartment owner's share of the reserve fund should fall into box 3. Legally speaking, there is a right of membership. The vve is the legal owner of the reserve fund, but the value of that fund is reflected in the value of the membership right. Can the Minister state if this is true? Can he also confirm that the value of the membership right does not affect the WPA value at all? If the property is valued higher by a large reserve fund, the taxpayer is taxed both in box 1 and in box 3 for his share of this fund. The main problem is that legal and economic realities differ. Legally, you have a membership right that represents money, but that's only on paper. You cannot have your share in the reserve fund, but you have to pay taxes on it. You can't sell your membership right and make money if you stay in your home, but you have to pay taxes on it. Would it not be much more just, I ask the Minister, to exempt this right of membership in box 3? I'm coming up on the hard pecunia now. We do not agree with the Minister on one aspect of the legislative proposal before us. It concerns compulsory maintenance reservations, which, according to this law, can also be paid in the form of a guarantee. A guarantee is a document, a piece of paper with signatures, with which the contractor who repairs the roof of a complex cannot be paid. You need hard pecunia for that. The current legal text may mean that a vve does not have the actual money at its disposal. We have therefore tabled an amendment which provides for the annual reservation fee to be paid into a bank account in the name of the owners' association before the end of the year in question.
ParlaMint-NL_2017-01-24-tweedekamer-34.u18	That amendment is in and has number seven.
ParlaMint-NL_2017-01-24-tweedekamer-34.u19	The background to this is that the vve should be able to pay bills. A vve doesn't need a stack of bank guarantees. Furthermore, it is not unimaginable that an owner of an apartment goes bankrupt. So what's the situation? That guarantee evaporates and the vve can whistle at the money. The Minister states that a majority within the vve can decide whether or not to use bank guarantees. But in many situations, investors or corporations have a major interest within a vve, with which they dominate governance. That's when perverse stimuli come on. Then vve's might not be able to reserve enough money for maintenance again. We shouldn't want that. Hence this amendment.
ParlaMint-NL_2017-01-24-tweedekamer-34.u20	I now give the floor to Mr Bashir of the SP Group, who has signed up for the longest speaking time this evening.
ParlaMint-NL_2017-01-24-tweedekamer-34.u21	Mr. Chairman. There are 121,000 associations of owners. These are home owners who together provide maintenance of, for example, the roof or stairwell. Together they bear the responsibility for the building and often it goes very well. Unfortunately, things don't go well too often either. The bill now before us has to fix this. In order to improve the late maintenance of buildings at VVEs, it was stated in 2008 that each vve had to hold a reserve fund. We are now eight years ahead and a quarter of the VVEs have too little money in the reserve fund and even one fifth of the VVEs have no reserve at all. It is now proposed that the annual mandatory reserve of a vve should be a minimum amount, which would amount to half a percent of the rebuilt value. The SP Group can therefore support this proposal. At the same time, we are aware that this goes a long way. You're forcing people to save up for something, and besides, that savings are taxed. But what if a vve has already saved a lot of money? This is not imaginary, by the way. I don't know many vves, but the vves I know have saved a lot of money. This bill obliges people to start saving more. If they do not wish to do so, they must support it through a multi-annual maintenance plan. In both situations it will cost money. Or you're gonna deposit money every year and then you're out of the obligation. Unless you hire an agency that also costs a few thousand euros to draw up a plan that shows you have enough cash in your pocket. And that is what we want to do with this bill, when we want to tackle vves who are unwilling, who do not fulfil their obligations, who do not have enough cash and who do not carry out maintenance. We therefore propose, by means of an amendment, to delete the saving for vves who already have enough money in their pockets. That amendment has now been distributed. If you already have 5% of the rebuilt value of your property in cash, that amendment does not require you to save annually.
ParlaMint-NL_2017-01-24-tweedekamer-34.u22	The amendment in question is part of the text of the motion for a resolution tabled by the Committee on
ParlaMint-NL_2017-01-24-tweedekamer-34.u23	There is an obligation for a minimum reserve but the Minister has forgotten that he must also think about enforcement. The minister literally writes: there is no active government supervision. So what I'm wondering is why there's no enforcement. Information by municipalities, the government and trade associations did not ensure that all VVEs saw the need to have a reserve fund. Why, then, would this bill improve on those 50% of those who are now doing nothing or too little? I'd like to know who's gonna check with those 60,000 vves to see if they're okay. How does the Minister keep track of whether the late maintenance is being dealt with? A municipality can only intervene if the situation is so serious that safety or health is at stake. Should we not intervene earlier if there is cause for this, for example if there is a clear lack of maintenance or if there is a savings fund but there is no maintenance? The possibility for a vve to take on a loan is clarified in this bill. The Minister states that it provides security to banks. In addition, the Minister writes that the government does not expect more loans to be granted. However, I wonder how the vves can carry out their future tasks if, at the same time, more loans are not expected to be granted. Then where's the problem? A concern are the inter-power relations within a VVE. And this bill doesn't change that, while we all know examples of owners with multiple apartments or of specific problems in mixed complexes. Why are no measures taken to deal with this? Wouldn't it be better to expect owners to just deposit the money into the vve's account instead of giving a guarantee? After all, what is the use of a guarantee when it is required to carry out necessary maintenance? If such an owner goes bankrupt, the vve must also try through the court to cash in that guarantee, while in reality just some money is needed to do the maintenance.
ParlaMint-NL_2017-01-24-tweedekamer-34.u24	At first, I thought I heard wrong. What if I'm in a vve with two, three or four apartments? Will Mr Bashir really say that he wants to send someone from the government or from the municipality to see if we are keeping track of everything properly and if, for example, everything has been cleaned properly?
ParlaMint-NL_2017-01-24-tweedekamer-34.u25	We're talking about late maintenance. If someone from the municipality or one of the neighbors comes by and finds that the property is spoiled, then of course the vve can be addressed. At least I would find that useful, even in the general interest. After all, back-up maintenance can cause dangerous situations. Think of rooftops falling down from the building or other parts of the building that can reach passers-by. It's also about security. It would therefore be useful if there is indeed supervision, so that a vve does the maintenance that needs to be done.
ParlaMint-NL_2017-01-24-tweedekamer-34.u26	But that is what you would really like to do with all the other houses, which are not part of a vve, because all of them can happen.
ParlaMint-NL_2017-01-24-tweedekamer-34.u27	I'd say that's for sure. With a housing corporation you know who to address, namely the landlord or the housing corporation. That's easier too, because it's usually benevolent. However, in the case of a vve, these examples are of course known to us that the property is very badly maintained. If there is no money in cash, it is very difficult to contact the owners. Soon there will be a law regulating the need to spare, but if no one complains and the municipality has no powers, you can do nothing at the end of the day. Then we have a law, but nothing is happening about the maintenance itself.
ParlaMint-NL_2017-01-24-tweedekamer-34.u28	Mr Bashir and I are so far apart from the right to property that I leave it at that. They don't even do this in North Korea, I think.
ParlaMint-NL_2017-01-24-tweedekamer-34.u29	Eventually, it's about what kind of street you want. What kind of street view do you want? What kind of neighborhood do you want? Do you want the neighborhoods to be well maintained, do you want the houses to be well maintained, or don't you want them to be? With tenants, everyone thinks it is normal that the owner of a rental house can be contacted. The housing corporation is called upon, and then that corporation is also going to carry out maintenance. However, when it comes to owners, suddenly the property right comes up and apparently owners don't have to do anything anymore, even if the place is spoiled. I do not think that is possible and I believe that this bill should also be used to appeal to owners. They should not only save, but they should actually do the maintenance.
ParlaMint-NL_2017-01-24-tweedekamer-34.u30	Thank you very much. You're quite apart.
ParlaMint-NL_2017-01-24-tweedekamer-34.u31	Mr. Chairman. You are the proud owner of a flat and that means that together with the other owners you make arrangements about the painting and cleaning of the stairwell and of course about the periodic inspection of the lift. That cooperation between owners is regulated by law with an association of owners, and it is perfectly normal that every resident pays a monthly contribution to it. But what happens if this isn't normal, if no one feels called to sit on the board of the vve, so that there's no money in the greenhouse while the roof leaks? It has already been said that there are 121 000 vve's and one third of them are inactive. In practice, there are many owners who cannot or do not want to contribute to the common costs. We also see a lot of house milkers in that category. If half of a complex is in the hands of an asshole, the other well-willing owners have a good look at it. Filthy stairwells, leaky roofs, leafy paintwork: I don't think that's normal. That's not how you want to live. And I'm not even talking about the hardworking family in Rotterdam that had to have his house demolished by order of the municipality because the pawn shop owner in the same block didn't want to do anything about pile rot. That's the kind of problem we can solve with the bill. What are we gonna do? The residents together draw up a maintenance plan and agree on what they will have to pay monthly to the vve. They can also agree not to perform maintenance or maintenance themselves and therefore pay nothing. If they do not come out, a legal minimum of 0.5% of the rebuilding value applies. As an individual resident, you can rely on this if you are in the final case in court. In that respect, the SP amendment seems superfluous to me, because you can simply agree to allow money to flow back or not to save any more. It will also be easy for vves to enter into a mortgage loan, for example for sustainability or maintenance for which no reservation is made. The VVD agrees with the bill. From a liberal point of view, it is a pity that we have to dictate to residents how much they should reserve, but the protection of the living enjoyment of the benevolent citizen must be paramount here.
ParlaMint-NL_2017-01-24-tweedekamer-34.u32	I am being challenged, Mr President, because it is said that my amendment is superfluous. If a complex already has enough cash in it, wouldn't it make sense for us to put in a bill that says that people are obliged to save, also that that obligation doesn't apply if you have enough cash in it?
ParlaMint-NL_2017-01-24-tweedekamer-34.u33	It already says in the bill that they can decide that themselves with all of them. They can create a multi-annual maintenance plan. They can say they're gonna do it themselves and not go on saving. If you do that by mutual agreement, it's already possible.
ParlaMint-NL_2017-01-24-tweedekamer-34.u34	Suppose a complex of three apartment units has to create a multi-annual maintenance plan. Does the VVD realize that you're talking about a lot of money or that at least you've lost a lot of time to make such a plan, while we can also just give people clarity? If you have enough in cash, namely the percentage that I have mentioned about that percentage can be talked about, then you do not have to save.
ParlaMint-NL_2017-01-24-tweedekamer-34.u35	That is exactly what we discussed two years ago in the context of this bill. Then we said it shouldn't be a big paper exercise. If you put your multi-annual maintenance plan on half an A4's, it's fine, too. You can decide that between yourselves. That's the core of the bill. The core is also that you decide on reservations together. It's gonna go wrong if you don't get out of there. Then I want to protect that one good-willing resident of one of those blocks from the rest, but the starting point of this law is that you do your own business? That is why I am appalled by Mr Bashir's idea that someone from the municipality should come along or that someone from the municipality should check what the maintenance plan looks like. That's none of the city's business!
ParlaMint-NL_2017-01-24-tweedekamer-34.u36	If you really stand up for the well-willed owners and not only want to deal with the unwilling ones, you also have to give clarity to those willing owners: if you have enough money in cash, you don't have to worry.
ParlaMint-NL_2017-01-24-tweedekamer-34.u37	But that's what the bill says. Mr. Chairman. I said that the pleasure of the benevolent resident must be at the forefront and that we can agree with the bill. This is going to be a little different when it comes to the amendment that Mr De Vries has just tabled. This could mean that this benevolent owner suddenly needs to make thousands of euros more sustainable because the big investor in that property has so decided. How would the 87-year-old lady who really doesn't want troubles feel about that? It is a pleasure to live here, but what Mr De Vries wants is simply an infringement of your property right. In addition, I think that this is a thorough method of undermining the social basis for sustainability; I am just saying as I think it is.
ParlaMint-NL_2017-01-24-tweedekamer-34.u38	Mr. President, this is what they call entrapment, isn't it?
ParlaMint-NL_2017-01-24-tweedekamer-34.u39	Or a difference of opinion, election time, choose!
ParlaMint-NL_2017-01-24-tweedekamer-34.u40	Mr Van der Linde makes a distinction between deciding something by 51% or deciding something by another percentage. In both cases there are people of 89 who look up to it. In both cases, there are people who can say what Mr Van der Linde has to say about ownership. I don't see the difference. I only see a need to make speed with sustainability in the Netherlands. In an association of owners there are always people who look up to the troubles and misery of what has to happen, or people with a very short horizon who think they live there for a short time. I believe that the social interest must be weighed against the interests of the other residents. Then it must be possible by a simple majority.
ParlaMint-NL_2017-01-24-tweedekamer-34.u41	I think it's perfectly normal that when it comes to your own home, you and other owners take care of business and the government doesn't interfere. If you agree to make decisions on sustainability by 51%, that's fine. Mr De Vries forbids the owners from actually saying: we only make such important decisions by qualified majority. He shall exclude that possibility from the statutes. Surely it can't be that the government is going to tell me what to decide with the co-owners about the maintenance?
ParlaMint-NL_2017-01-24-tweedekamer-34.u42	Once again, Mr Van der Linde does the same. Whether 71% or 51%, socially it is necessary to speed up the sustainability of the built stock. We have made agreements in the energy agreement and we are way behind that. I think we should turn a little bit on the buttons we have. I really think it is perfectly reasonable in this case to take such a decision with 51%. That's half plus one. In a lot of situations, that's enough to make decisions.
ParlaMint-NL_2017-01-24-tweedekamer-34.u43	This is the core of the VVD. We think it's normal that when it comes to your own home, you can decide for yourself about the investments in it. If you have to do this in vve context, then you also have to agree on how that decision-making takes place. I think it's a big deal that the government would go about that. In fact, if this amendment succeeds, we are talking about a far-reaching intervention on property rights. This bill would just have to go back to the Council of State. I would like to hear a response from the Minister. It is a pity that the debate is going this way, because these loans are the major gain in the legislative proposal. In view of the energy agreement, the VVD wants the VVDs to be able to achieve maximum sustainability, but on a voluntary basis. In the report I asked the necessary questions about the tax treatment of the mortgage loan. This debt is allocated pro rata to the members of the vve and is transferred to the new owner in the event of sale. A mortgage debt of the vve is tax deductible as an equity debt while a positive asset falls into box 3. Can the Minister explain the logic of that? If it's positive, it's in box 3, and if it's negative, it's a home debt. Like colleagues, I also received a visit from VvE Belang, who is concerned about the fact that large owners can make their contribution to the vve in the form of a guarantee. The Minister writes in the note following the report that it is up to him to determine the requirements for such a guarantee. Mr Ronnes has tabled an amendment to which I would like to hear the Minister's response. Did we miss anything? VvE Interest concerns large investors, but what does this mean for the private owner? I can imagine that many people would prefer to put their money in the bank and agree that they will pay when the time comes. Again, I think you should be able to agree with each other. If we adopt Mr Ronnes' amendment, will we ban it? Do we then forbid the contribution in kind? I think about the gentleman who mops the stairwell every week or the painter who grabs the brush on Saturday. That remains possible, I hope. Finally, I would like to say a few words about this. We are now introducing a minimum reservation that residents can enforce against each other. So it is not a reservation standard that the municipality can just use to look behind the front door or to force a renovation. Can the Minister confirm this, aboundingly, heard the debate just now? For dealing with shacks, we have other means, such as the Housing Act. I believe we adapted it to that in 2014.
ParlaMint-NL_2017-01-24-tweedekamer-34.u44	Mr. Chairman. I'm allowed to replace my colleague Barry Madlener who's indisposed tonight. I have a fairly short contribution. There's six minutes, but it's got to be shorter. Much has already been said about the vve itself. Several colleagues have actually already given a little lecture on what a vve does. That's really good. A lot of people have gained experience with a vve themselves. They know what that is and they know that buying a house entails obligations. They know you have to take care of things inside the vve. According to the Minister, this bill should ensure that vve's in the Netherlands do even better, namely to maintain the buildings they are responsible for. According to this law, this is not only about necessary maintenance, but also about energy efficiency. That is where the PVV is going to itch, especially because it is mandatory to ensure energy efficiency. My first question to the Minister is: is this law really necessary? Indeed, in the explanatory statement, I read that research shows 'that 51% of the vves do not actually reserve enough'. It is therefore a majority, almost half; let us ignore that 1%. In ordinary people's language, the Minister means to say that half of the vves currently reserve enough money. That is the other side of the matter. I have a question about that, too. What happened to the belief of this liberal minister in the responsibility of the people in these VVEs? Why does the Minister think it is necessary to have a legal basis for dealing with these matters? A law is a very heavy instrument. Did the minister really look at all the other ways? The previous speaker has already made a comment on piss-off. In 2014 we have already amended the Housing Act in order to prevent rebuffing. But there is also the discipline of the market. That sounds very heavy, but that's what it's called. We also have the banks. They're involved, too. We hear from notaries that the banks are now exerting pressure to raise the reserves held. Otherwise, they won't give us a loan. That's a market incentive, isn't it? Why doesn't the Minister believe in this road? Why, in a nutshell, does he choose Marx instead of the market? I'd like to hear a response. My second point concerns enforcement. The numbers of vve's have already been mentioned. How does the Minister intend to control all these vves? How does he intend to ensure that the 51% of those who are currently underbooking will soon have sufficient buffers? How's the secretary gonna check that out? How will the law ultimately be respected? Do we have to have an army of civil servants pulled over for that? Should we open a can with civil servants going through all the doors? Should they attend all the meetings of VVEs? If we do not have enough reservations, will we have a strict official who is going to run such a meeting and then tap people's fingers? How's that going? Perhaps a miss of the municipality is needed for this with a club and tight glasses on. How's the Minister gonna do that? The PVV doesn't see that happening so soon. We also have great difficulty with the fact that housing costs can go up through this law. The Minister himself has already acknowledged that this can happen. The PVV wants the housing costs to be reduced. Does the Minister also see a responsibility for homeowners here? The PVV sees its own responsibility here. Residents, members of the Vve, should themselves assume the financial responsibility to keep the reserves sufficiently high. The PVV finds it only normal for a new resident to ask about the position within the vve before the purchase. Lots of real estate agents tell you that when you buy a house. Does the Minister share our opinion on this? This change of law is, of course, two-fold; I said that at the beginning of my contribution. There's a sustainability factor in it. This law is not only about the functioning of the vve, but also about agreements in the energy agreement. This law is used to make the built environment more sustainable. It is well known that the PVV has always been an opponent of the energy agreement. This legislation is partly the result of that energy agreement. That is why this bill does not have to count on much sympathy from the PVV. Making ownership energy efficient is not a priority for the PVV. This must be done through incentives from the residents themselves. We think it's very good to be sustainable, but it's not expensive. Self-responsibility is the most important thing. We do not want any pressure on sustainability. The Social and Cultural Planning Office doesn't always have our biggest friends. However, I would like to quote them this time. Here's what they say. "In general, there is little support for mandatory environmental measures from the public authorities. Only 15% would like the government to act much harder by banning or taxing forms of energy use and by imposing high demands on energy saving and sustainability." Under 85% of the population, therefore, this has no basis for support. I will ask a question about this later, but now Mr De Vries is at the interrupting microphone, Mr President.
ParlaMint-NL_2017-01-24-tweedekamer-34.u45	I'll keep an eye on all that. It's gonna be okay.
ParlaMint-NL_2017-01-24-tweedekamer-34.u46	Does Mr De Graaf give up the legal protection of all those small owners who are dealing with a house milker who is serving in the same complex because the bill states that sustainability is also being promoted? Is the PVV going to abandon all those people, because somewhere in the bill there is the word "sustainability"?
ParlaMint-NL_2017-01-24-tweedekamer-34.u47	Mr De Vries may have missed the first part of my speech. I also talked about our own responsibility, about agreements that stimulate a broker, that stimulate banks, that things are said from the notary's point of view that point in that direction. The market must also provide sufficient incentives. We don't let people down at all. If we do not adopt this law, it does not mean that all those people are in the cold and have no legal protection at all. That is, of course, a misrepresentation.
ParlaMint-NL_2017-01-24-tweedekamer-34.u48	We are now living in such a situation where all these institutions are watching, but there are quite a few complexes that are squandering. A lot of people in their vve have no influence at all and see their property decay because the rest do not want to participate or they feel pressured by a large owner. Does the PVV abandon people who suffer damage in the current situation with their own responsibility?
ParlaMint-NL_2017-01-24-tweedekamer-34.u49	No, we're not abandoning them. We still have the Housing Act. It's just been mentioned. In addition, it remains partly the case that you make appointments when you move somewhere, also with a larger resident there. You also have a choice not to live there. So there's plenty to choose. I come to my last question to the Minister. Why does the Minister continue with this kind of legislation if according to the SCP there is only 15% support for the population? Perhaps it is better to listen to the people very carefully this time.
ParlaMint-NL_2017-01-24-tweedekamer-34.u50	Mr. Chairman. My group supports the importance of necessary maintenance and investment in sustainability for owners' associations. If the necessary maintenance is not carried out, it is bad for the value of the building and thus for the housing in that building. This can lead to unsafe situations and can cause degeneration in the neighborhood. The question raised by this bill is whether we should make the reservation of money by vve's compulsory. You might ask yourself that. Reservations are in the interests of the members of the VVE itself. Then there should be no need for an obligation. Unfortunately, in practice, it appears that booking through a vve is not enough. One in three vve's is malfunctioning and almost every three vve's does not have a multi-annual maintenance plan. You will only buy an apartment in a building without a well functioning vve in which the necessary maintenance was not carried out. In an overstretched housing market, especially in the big cities, there is a chance that people will buy a property without going into how the vve works. My group therefore considers it justified to impose an obligation to reserve. After all, it is not an additional cost for the members, but a guarantee of a reservation that is necessary if you buy your own property. This legislative proposal is not an additional burden for those who have already taken care of things well, but it is a guarantee that those who have not done so are also well prepared for necessary maintenance. Having said that, we must prevent very small vves from being saddled with all kinds of extra hassle and extra rules as a result of this law. I know several people who live in small mini-vve's with two or three homes to each other who together form a vve. The residents know each other well, speak regularly and can trust each other. They do not need to make mandatory reservations or make agreements at all, and can arrange that very well among themselves. The clarifying question is: is it true that this law will only be enforced if one of the members of the vve calls the bell? In my example, that would mean that one of the three residents cannot make agreements with the other two residents and then says that he wants a multi-annual maintenance plan with a reservation. Is that interpretation correct? In fact, I can well imagine that such a small vve is agreed in good agreement that each person makes the reservation and the money is not stored in the vve's account. The law is intended to protect individuals from a majority of residents who do not wish to reserve. As far as I am concerned, if everyone agrees to do it in a different way, that must be respected. I look forward to the Minister's response to this. My final point concerns Mr Ronnes' amendment. On the one hand, I understand his amendment, because you want some kind of certainty that money is being reserved and that you do not fish behind the net if maintenance is to be carried out. On the other hand, I can imagine that, especially with owners of larger apartments, it is a lot of extra compulsory savings. They are, as it were, dead, while institutional investors and pension funds, for example, have all kinds of liquid resources in place to invest in the necessary maintenance. To make a long story short, I would therefore ask the Minister to respond to the amendment. Then we can make our choice.
ParlaMint-NL_2017-01-24-tweedekamer-34.u51	I give the floor to Mr Bishop on behalf of the political group of the Reformed Party.
ParlaMint-NL_2017-01-24-tweedekamer-34.u52	Mr President, thank you for the careful and correct interpretation of the abbreviation SGP. It indeed stands for the Reformed Party and not, as a student once answered a question about its meaning, for the Reformed Socialist Party. I didn't count that answer right, you know that. A democracy is alert and fearful of a one-sided dominance of the majority. Such a simple majority seems democratic, but can in the meantime bring about substantial interests of minorities. We want to avoid that as much as possible. This democratic rule is also important for owners' associations. In order to function, these associations sometimes have to take far-reaching decisions. And yeah, that's true, so you can't always keep everyone on the same page. That's not their job either. It is important, however, that as many owners as possible are given justice and that wishes are met. This is the focus of the SGP's commitment to this bill. The Committee welcomes the removal of uncertainties about loans. Borrowing by an association of owners may be useful, for example in the case of a strong investment in energy saving, but we still lack a bit of the rules of the game that ensure a careful process. The acquisition of a loan by an association can have a significant impact on the owners. The question is whether everyone is motivated to do so. A firm investment could be worth tens of thousands of euros. The SGP considers it only logical that such decisions should have broad support. On the basis of the bill, however, a simple majority is enough, half plus one. This has been discussed for a while in the interruption. I have now tabled an amendment to ensure that there should in principle be a two-thirds majority. In doing so, we have arranged a careful procedure for all associations.
ParlaMint-NL_2017-01-24-tweedekamer-34.u53	It is a question of the amendment to item No. 8.
