ParlaMint-NL_2017-06-01-tweedekamer-5.u1	I would like to inform you that the following motions have been withdrawn: 34550-XVII-33; 34550-XVI-78; 34550-XVI-79; 34506-24; 34511-5; 34000-XVII-32; 32735-134; 31239-158; 34228-13; 34648-4; 34648-5; 29911-145; 29911-146. At the request of a number of Members, I propose that the following motion be renewed: 29279-376. I propose that the following work be carried out: 34298-22; 34725-1; 34726-1; 31865-96; 31865-91; 31865-95; 32317-466; 24095-414; 26485-245; 30196-539; 26485-238; 26485-244; 22112-2345; 32317-468; 2017Z06482; 34550-VI-109; 32761-111; 31524-308; 26695-119; 31524-309; 31524-311; 31524-312; 33650-53; 32637-280; 33529-350; 34104-176; 31839-573; 34104-167; 34104-156; 24170-158; 24170-157; 33990-62; 21501-31-433; 34483-11; 33037-196; 33037-197; 33037-198; 28625-242; 28625-243; 34477-20; 26643-477-18; 34477-17; 354777-16; 21501-336; 34725-336; 22112-2305; 21501-33-629; 21501-33-639; 21501-33639; 26485-2428; 30185-2428; 30174-28; 28. I propose to add to the agenda: VAO Strong vocational education, practical learning and appropriate support for MBO students, with the first speaker the member Özdil on behalf of GroenLinks.
ParlaMint-NL_2017-06-01-tweedekamer-5.u24	Mr. Chairman. I apologize for the delay. Yesterday, Nieuwsuur reported that cities are hit particularly hard by global warming. It was said that this could cost up to 5% of everything those cities deserve. But more importantly, this has enormous consequences for all those people who have to live comfortably in those cities. That is why D66 would like a letter from the cabinet and then a debate on how we are going to give the warming in the cities a good place, how we are going to handle it well. You can do anything about that. An important responsibility for this lies, of course, with the cities themselves, but also with the cabinet. I therefore call for a debate with the Minister for Foreign Affairs and the Minister of I and M.
ParlaMint-NL_2017-06-01-tweedekamer-5.u25	I and M were not there at first, but I am very glad that Mrs Van Veldhoven indicates that Secretary of State Dijksma should be there as well. Otherwise, we're going to have a bit of a flawed debate. We therefore wholeheartedly support the CDA's call for both directors to be invited.
ParlaMint-NL_2017-06-01-tweedekamer-5.u26	I believe that Mrs Van Veldhoven is a bit caught up in the heat, because this morning she wanted to place the subject with Security and Justice and a few hours later she moved it to Home Affairs. Home Affairs deals with issues such as decentralisation and the Constitution, but now we have to move on...
ParlaMint-NL_2017-06-01-tweedekamer-5.u27	Do you support the request or not?
ParlaMint-NL_2017-06-01-tweedekamer-5.u28	...the climate is going to talk to support Al Gore's climate hype just a little bit. That has nothing to do with the Home Office. Not by a long shot. So we absolutely must not begin to do that.
ParlaMint-NL_2017-06-01-tweedekamer-5.u29	So you don't support it.
ParlaMint-NL_2017-06-01-tweedekamer-5.u30	Home Affairs is also about building and living, so from the perspective of Wonen and Rijksdienst we can involve that. That's all part of it.
ParlaMint-NL_2017-06-01-tweedekamer-5.u31	I must say that I was also a little surprised by the choice of directors. The Secretary of State for EZ is about green in the city, which is the most important thing to prevent that heat. Let us support this request, the request to invite these rulers, but let us agree that the questions about how to do with sufficient greenery in the city are well answered. Then we don't have to invite the EZ Secretary of State, too.
ParlaMint-NL_2017-06-01-tweedekamer-5.u32	GroenLinks supports the request for this debate, in particular the desire to invite the I and M Secretary of State on climate adaptation.
ParlaMint-NL_2017-06-01-tweedekamer-5.u33	I was a little surprised too, because it is indeed a big topic. It's about the climate, much more than just warming up the cities. It may sound crazy from my mouth, but I recommend D66 to discuss that at the formation table too, because it is much bigger than just this message. However, I support the request for a letter and I recommend that we also look closely at the choice of directors before we have a whole debate.
ParlaMint-NL_2017-06-01-tweedekamer-5.u34	So for the time being, no support.
ParlaMint-NL_2017-06-01-tweedekamer-5.u35	Any place where we can do something to stop the warming, we have to take advantage of it, including this one.
ParlaMint-NL_2017-06-01-tweedekamer-5.u36	Support for the debate.
ParlaMint-NL_2017-06-01-tweedekamer-5.u37	Living in the countryside has advantages. We notice that every day. If we have a debate on this, it should be with the Secretary of State of I and M. But first, let's ask for a letter.
ParlaMint-NL_2017-06-01-tweedekamer-5.u38	Just like no majority, Mrs Van Veldhoven.
ParlaMint-NL_2017-06-01-tweedekamer-5.u39	Does Mr Dijkstra support a debate or not until after there is a letter?
ParlaMint-NL_2017-06-01-tweedekamer-5.u40	First a letter and then we'll figure out how to proceed.
ParlaMint-NL_2017-06-01-tweedekamer-5.u41	So no support.
ParlaMint-NL_2017-06-01-tweedekamer-5.u42	Then I would like it to be included on the list of the thirty-member debates. Of course, all the good suggestions to look again at which directors belong to this subject are quite right. In any case, it is about the Secretary of State of I and M, but I also think that those who are in charge of building and urban environments are very important. I would also like to leave that letter in the breadth of the cabinet, but of course there must always be one ruler who ultimately sends the letter to the Chamber. That is the purpose of the request.
ParlaMint-NL_2017-06-01-tweedekamer-5.u43	I propose that the stenogram of this part of the meeting be transferred to the cabinet. I call Mrs Marijnissen on behalf of the SP.
ParlaMint-NL_2017-06-01-tweedekamer-5.u44	Mr. Chairman. At the beginning of this week, the news came that 300 million, which is there, were not spent on community care by the health insurance companies. Today, the message appeared that BrabantZorg, a healthcare provider, people with VGZ as a health care provider are having heavy bad luck when they need home care, because then it is said: you can pay it yourself and then you have to try to get it back from the health insurance company, because the money is gone. I don't think we're out of money. So I want a debate on that.
ParlaMint-NL_2017-06-01-tweedekamer-5.u45	It seems very good to me that a letter from the Secretary of State on how this is going to be done. In any case, that letter will state that there is no question of people not getting care because the money is gone. In that letter it is likely that people will be referred to another provider, because BrabantZorg's contract is not sufficient. Anyway, that's another discussion. I would very much like a letter which clarifies the way in which the duty of care is implemented.
ParlaMint-NL_2017-06-01-tweedekamer-5.u46	At least the letter. I would also like to support the debate for the time being, unless the letter is so clear that there is no need for a debate.
ParlaMint-NL_2017-06-01-tweedekamer-5.u47	It is indeed remarkable that so much money remains on the shelf, while we have all found that community care is very important. I therefore think it is appropriate to hold a debate on this and to receive a letter from the Secretary of State before that debate.
ParlaMint-NL_2017-06-01-tweedekamer-5.u48	Patients will be billed for insured care. Of course, that's totally drunk. This is an annual debate. I had this debate taken off the long list just before the elections last year. There will be no solution, year by year. So let's talk about it again. Perhaps we can discuss dementia in general tomorrow, but let us at least put this debate on the list.
ParlaMint-NL_2017-06-01-tweedekamer-5.u49	I find it embarrassing to see how health insurers and health care institutions refer to each other when there is enough money. Eventually, the patients are ground up in all of this. I would like to hear from the Secretary of State what he is going to do to ensure that everyone is doing the right thing on this issue, so that patients do not get a home account for care that they are just insured for. So I want a letter from the Secretary of State. I'm assuming that letter says how he's gonna fix this. If that is not the case, there may be a debate, as far as I am concerned, but I would like to give him the opportunity to do so, because he is the Secretary of State for that.
ParlaMint-NL_2017-06-01-tweedekamer-5.u50	So for the time being, no support.
ParlaMint-NL_2017-06-01-tweedekamer-5.u51	Support for the request, both for the letter and for the debate, because Mrs Agema rightly said that this is a persistent problem. So just a letter won't be enough.
ParlaMint-NL_2017-06-01-tweedekamer-5.u52	Support for the letter. On the basis of the letter, we can determine whether a debate is necessary.
ParlaMint-NL_2017-06-01-tweedekamer-5.u53	Mrs Marijnissen, you have no majority.
ParlaMint-NL_2017-06-01-tweedekamer-5.u54	Can we put this on the agenda as a 30-member debate? I agree with Mrs Agema that it would be nice if we could talk about this again if necessary.
ParlaMint-NL_2017-06-01-tweedekamer-5.u55	Then that's what we're gonna do. For the rest, I propose that the stenogram of this part of the meeting be transferred to the cabinet. Finally, I give the floor to Mr Grashoff on behalf of GroenLinks.
ParlaMint-NL_2017-06-01-tweedekamer-5.u56	Mr. Chairman. This morning, on the basis of a study by the Louis Bolk Institute, a reasonably renowned institute, we learned that it is possible that we should have up to 500,000 less dairy cows in the Netherlands in order to meet the climate and environmental objectives. Sounds like a hell of a lot to me. In response to that report, I think it is appropriate to hold a debate on this subject with the Secretary of State for EZ and the Secretary of State for I and M, because this is on both sides. Of course, I would also like to receive a cabinet response to the report of the Louis Bolk Institute.
ParlaMint-NL_2017-06-01-tweedekamer-5.u57	I do not think it would be wise to have a debate here on every aspect of a climate agreement. You have to see that in conjunction. Therefore, no support for this request.
ParlaMint-NL_2017-06-01-tweedekamer-5.u58	Not entirely to your surprise, the Party for Animals has a very different position than the CDA. On the contrary, it is very important to understand as soon as possible how we are going to achieve the climate targets. That is also in the interests of the farmers themselves. Full support, therefore, for the request. Let us schedule the debate as soon as possible.
ParlaMint-NL_2017-06-01-tweedekamer-5.u59	I think it is good to talk about this subject. It's just gonna come. I doubt we should do that now on the basis of one report. If we do it, let us discuss it first in a procedural meeting and see if we can perhaps organise a round table with more scientific institutions, so that we can also reach a consensus on the precise consequences of the Paris Agreement. Therefore, no support for the request. We would first like to discuss how we proceed in a procedural meeting.
ParlaMint-NL_2017-06-01-tweedekamer-5.u60	I think we are already quite a step in the right direction with the reduction of livestock, but those are other dossiers. No support for discussing in a partial debate. It is of great value that we are having one totally transparent debate.
ParlaMint-NL_2017-06-01-tweedekamer-5.u61	I think it's good that we get a letter first. Then we can see if there is a need for a debate.
ParlaMint-NL_2017-06-01-tweedekamer-5.u62	I think there is little chance that this Chamber will reach a consensus on intensive livestock farming. That is why a debate is more appropriate. That is what we support.
ParlaMint-NL_2017-06-01-tweedekamer-5.u63	Support for the request.
ParlaMint-NL_2017-06-01-tweedekamer-5.u64	You have no majority, Mr Grashoff.
ParlaMint-NL_2017-06-01-tweedekamer-5.u65	But I think it does add up to 30 members.
ParlaMint-NL_2017-06-01-tweedekamer-5.u66	Yes.
ParlaMint-NL_2017-06-01-tweedekamer-5.u67	Moreover, it is still unclear to me whether there is any support for the cabinet response I have asked for.
ParlaMint-NL_2017-06-01-tweedekamer-5.u68	You don't have to have any support for that.
ParlaMint-NL_2017-06-01-tweedekamer-5.u69	Then it's okay; then it comes.
ParlaMint-NL_2017-06-01-tweedekamer-5.u70	Then I have a question for you, Mr. Chairman. We support the letter. If there is to be a debate, I hear that there will be a 30-member debate, and I think it is very important that there should be a broad reaction in that letter. It can't just be this part, because we need to see this in the broad light.
ParlaMint-NL_2017-06-01-tweedekamer-5.u71	Mr President, may I respond to that? In my view, this report deals with the matter from a broad perspective and therefore a cabinet response is relevant across the board. In that sense, I agree with Mrs Lodders. Such a reaction to this report is obvious.
ParlaMint-NL_2017-06-01-tweedekamer-5.u72	Good. Do you have anything new to add, Mr De Groot?
ParlaMint-NL_2017-06-01-tweedekamer-5.u73	Yes.
ParlaMint-NL_2017-06-01-tweedekamer-5.u74	Always, when I ask.
ParlaMint-NL_2017-06-01-tweedekamer-5.u75	If we do receive a letter, I would also like to read in it how the Secretary of State also assesses the consequences from other scientific institutions. It must therefore not only be a reaction to this report sec, but a broad assessment from the science of the consequences of the Paris Agreement.
ParlaMint-NL_2017-06-01-tweedekamer-5.u76	And how wide do you want it to be, Mr Geurts?
ParlaMint-NL_2017-06-01-tweedekamer-5.u77	Well, I'm actually making a request to you, Mr. Chairman. We can have various debates on the climate agreement every week. That's what's gonna happen if we keep going like this. I think this is really unwise. In addition, there is also a formation. I'm looking at you. It is up to you, in wisdom, to plan this debate or not in the short term. As far as I'm concerned, it happens in the long term.
ParlaMint-NL_2017-06-01-tweedekamer-5.u78	I can tell you that most of the debates that have been requested so far cannot be planned because the condition is that there should first be a letter or a cabinet response. So the list gets bigger and the room army. That will also be the case in this case. If the cabinet responds within one week, the question arises when to plan the debate. So far, however, most of the responses requested have not been forthcoming. It also requires something from the MPs.
ParlaMint-NL_2017-06-01-tweedekamer-5.u79	It also requires something from the cabinet, because apparently there is something going on that does not allow the cabinet letters to come. Perhaps you, as President, could make an appeal for that one more time.
ParlaMint-NL_2017-06-01-tweedekamer-5.u80	It's touching that I'm getting so much power.
ParlaMint-NL_2017-06-01-tweedekamer-5.u81	Sure.
ParlaMint-NL_2017-06-01-tweedekamer-5.u82	I will pass on the stenogram of this part of the meeting to the cabinet. This brings us to the end of the scheme of work.
