ParlaMint-NL_2017-11-09-tweedekamer-16.u1	I give the floor to the Minister to first inform the Chamber of the letter requested this morning.
ParlaMint-NL_2017-11-09-tweedekamer-16.u29	Honesty commands me immediately to say that I almost have the big blue book out and there is still a lot left in the little blue booklet to study. I think the Chamber will forgive me for that right now. I do think it is important that we continue to pay attention to income differences in the Netherlands. As I mentioned earlier, I had in mind, in particular, Mrs Leijten, that the so-called gini coefficient would be reduced by the cabinet and that income inequality would therefore be reduced. I think that's important to say. There's something else going on, which might also be good to memorize. That concerns your other question, which I may be allowed to take with me right away. Who's really talking about wage development? I understand the concerns that have been expressed very well. Through the Chamber, I would simply like to call on the social partners to engage in dialogue on wage development.
ParlaMint-NL_2017-11-09-tweedekamer-16.u30	That is not an adequate answer to my first question, the question of how fair it is for a minister to receive €2,112 and for a soldier, a hairdresser and a policeman to receive €250. I'll have a motion on that second one later. I call on the government to increase wages by 3.5%. My question is whether the Minister will support that motion.
ParlaMint-NL_2017-11-09-tweedekamer-16.u31	I think I have to judge the motion as soon as I have the text, because it always contains all kinds of beautiful things and sometimes less beautiful things, but I do not know if this is the first motion to which I will respond enthusiastically. However, let me wait for her.
ParlaMint-NL_2017-11-09-tweedekamer-16.u32	I'll file her as second.
ParlaMint-NL_2017-11-09-tweedekamer-16.u33	The Minister spoke about the purchasing power of the elderly, but he was very short and quick to do so. Perhaps this means that colleagues will discuss it later, but since this is a major cabinet point, I would also like to hear from the Minister how he looks at the purchasing power of the elderly. In the coalition agreement you can see that the average is improving for the elderly and twice as much for the workers. The figures of the Nibud, which I had a discussion with Omtzigt yesterday, show great differences. There are large pluses of 4%, 5%, 6%, 7% for workers. With the incomes of the elderly you can see that you will soon be going at AOW plus €20,000 to -2%. Then you talk about an income of €40,000. Those are huge differences. So the gap that was already there is only getting bigger.
ParlaMint-NL_2017-11-09-tweedekamer-16.u34	Two comments on this. The first is: we really have, the negotiators have really tried to strike a reasonable balance and to do it in such a way that all Dutch people, all groups of Dutch people, are making progress. I've said it a few times. It's about working and not working. It's young and old. It's about rent and buy. We're talking about one earners and two earners. Perhaps I can quote Mr Krol again in this connection. He has said that he agrees that all income groups are making progress and that it is his words that 88% of the elderly are making progress. See, that there are differences after all, that has to do with that methodology. I cannot promise here that 100% of the inhabitants of this country will be better, but I can insist that it will be better for every group.
ParlaMint-NL_2017-11-09-tweedekamer-16.u35	It is interesting that you are not answering me, but just quoting Mr Krol. That is fine, by the way, but it is about the question that lies behind it. That 12%, that's exactly the group I'm talking about. If all workers are making significant progress, you cannot get away with that 88% of the elderly are at least not getting worse and, fortunately, the lowest incomes are getting a little better because of the indexing of the AOW. We are making the point here, and I shall come back to this this afternoon, that a couple with both AOW and a small pension, amounting to 40 grand or so, is at -2%. I was just saying that this gap is getting bigger and bigger. Then you should not talk about Mr Krol's 88%. That is what we are in favour of, but we are now talking about a large group of people who are over 12% of the elderly; there are 500,000 people who are falling sharply, while everyone in the workforce is making a great deal of progress.
ParlaMint-NL_2017-11-09-tweedekamer-16.u36	Again, the answer lies in the nuance. Mr Van Rooijen says that all workers are making considerable progress. In my opinion, the cabinet has tried to do it in such a way that all workers, but everyone in any case, are making some progress. I would very much like to discuss with him the purchasing power of the elderly. I am curious about the material he has specifically on this subject, but I would remind him that the elderly discount is raised by the cabinet. I think the elderly are taking advantage of that.
ParlaMint-NL_2017-11-09-tweedekamer-16.u37	Finally, Mr Van Rooijen.
ParlaMint-NL_2017-11-09-tweedekamer-16.u38	I'll come back to this this afternoon, but I can see the Minister wondering what I'm based on. I always speak on the basis of facts and figures. It's about the Nibud report. I shall come back to this this afternoon in more detail and then hand over those figures to the Minister.
ParlaMint-NL_2017-11-09-tweedekamer-16.u39	Those figures are of course known, but it is very important when comparing apples with apples and pears with pears that we talk about the same information. But I understand that Mr Van Rooijen and I are talking about this this afternoon.
ParlaMint-NL_2017-11-09-tweedekamer-16.u40	In the answer, Mr Hoekstra, sorry, also responded to my call that today he would strongly say to companies that there is room for wage increases. The Minister said that you should enter into dialogue on this issue. It is true that we are not talking about this, but I would like something more powerful. I think this is too weak. Can the Minister say quite clearly today: there is on average room for substantial wage increases? Can he recite Hans de Boer here today by calling on companies to pay them out too? I'm better. Profits are rising. Luckily, there's room. I would like to challenge the Minister to make that appeal a second time with a little more enthusiasm.
ParlaMint-NL_2017-11-09-tweedekamer-16.u41	That's the kind of request you can hardly put down. I have also seen the enthusiastic comments made by employers and employees. Only I think I'm the one who's helping this discussion by not hitting picket poles in the ground from here on out. I can see very clearly why there is such a desire on the part of employees. I have also read what Mr De Boer himself said about this, so I assume that it is possible for employers and employees to come up with something beautiful. That's one. Two. My colleague for Social Affairs and Employment has been strongly nodding during the debate on the government declaration when the Prime Minister said that we are very much in favour of entering into discussions with the social partners. But I hope that I will also be allowed to enlarge or at least leave the same solution for the parties in the field, and not narrow it down.
ParlaMint-NL_2017-11-09-tweedekamer-16.u42	I do not, of course, ask the Minister today to conduct the wage negotiations, but I find this regrettable. That is why, once again, I call for more ambition. Mr Knot of De Nederlandsche Bank says that this space exists, just on the basis of the macroeconomic figures. That is also what Mr De Boer says. I am going to put this question to the Minister for Social Affairs in his budgetary treatment, but it would also be nice if today even the bookkeeper of the cabinet would say 'if I look at those economic figures, that space is there' and that he makes that call. I just think that's okay. I think that's a good idea. I would prefer it if I did not have to return to it in the second term.
ParlaMint-NL_2017-11-09-tweedekamer-16.u43	I think we're pretty close to each other again. The question that is specifically asked of me is whether I also want to shout loudly that wages should be raised. That's the interpretation I'm giving you. I don't think that's wise. What I see with Mr Van Weyenberg is that there is room to increase wages. If that's what he's looking for, I think we'll agree. I also know what the parties in the field have said about it. I think there's more than enough room there to get together. And I'd like to leave it at that, Mr. Chairman. I hope that there will be a little more enthusiasm than my first answer. At least that was the intention.
ParlaMint-NL_2017-11-09-tweedekamer-16.u44	Finally, Mr Van Weyenberg.
ParlaMint-NL_2017-11-09-tweedekamer-16.u45	I learned once: the movement is good, but the level is not yet. It was then, a few decades ago, about Dutch competitiveness. I'm really going to come back to this in second term. I understand the Minister doesn't want to sit in that chair, but I think it's important. If things go badly, politicians, including pastors of this minister, call for wage moderation. I think that is sometimes a sensible appeal. I would like this minister here today to call, of course with tailor-made work, for the space that is available to me, and I am glad that the Minister recognizes this with force. Anyway, I'll do it in second term if I have to.
ParlaMint-NL_2017-11-09-tweedekamer-16.u46	Well, then, let's see what we can do. I won't say everyone's happy, but I think we'll get closer. This is specifically the domain of the Minister for Social Affairs and Employment. He's already said a few things about it and he's gonna say more about it. In my opinion, it is not only a state-of-the-art thing, but in this case it is also practically very nice if I agree with that wording. To great enthusiasm, Mr President!
ParlaMint-NL_2017-11-09-tweedekamer-16.u47	Almost. Mrs. Leijten.
ParlaMint-NL_2017-11-09-tweedekamer-16.u48	Sorry!
ParlaMint-NL_2017-11-09-tweedekamer-16.u49	After the red book and the Green Book we now also have the blue book. They all contain statistics and figures. You can see very clearly that the number of employees with fixed contracts has fallen significantly: less than two thirds have a fixed contract in our labour market. Where does this cabinet want to stand at the end of its term? But it also says very loudly that poverty has risen sharply in recent years. The Minister would say something about the gini coefficient, but I was talking about power yesterday. It's almost like the power is in the hands of one according to that distribution. It's about income now. The Minister says that we are reducing income disparities, but we still see that there are many households in poverty. But where does this minister want to stand at the end of his period when it comes to solving poverty?
ParlaMint-NL_2017-11-09-tweedekamer-16.u50	Mr President, I think we should start by agreeing that this is the last present I give to the Chamber, because this is the way things are going to turn out all wrong.
ParlaMint-NL_2017-11-09-tweedekamer-16.u51	We had those statistics anyway, but it is very useful that they are now in one book.
ParlaMint-NL_2017-11-09-tweedekamer-16.u52	That's why. So at least we can agree on that. I will also tell the rest of the cabinet that we must be extremely careful about handing things out. Still about the gini, because that is, I think, an important subject. And I do not rule out the fact that Mrs Leijten and I continue to disagree. We live in one of the most egalitarian countries in the world. Mrs Leijten, like me, knows these gini statistics. In it you see time and time again that there are relatively few shifts and that there is a group of countries in the world where the differences are really very small. And what countries are they? Norway, Sweden, Denmark and the Netherlands. I believe that Germany is also relatively high on that list. After that the differences are fairly large. I therefore think that the Netherlands should not be ashamed of itself.
ParlaMint-NL_2017-11-09-tweedekamer-16.u53	I was talking yesterday about differences in abilities, because then the differences are really frightening. You can have a lot of discussion about how it's calculated, because they're based on the big middle group and not on the extremes. When poverty rises, the wealth of the rich grows and everyone in between is still a little warm, the gini remains stable. But I was talking yesterday about the wealth and the middle class, in which the savings capacity has completely disappeared in recent years; see also the Scientific Council for Government Policy (WRR). That's what I was talking about yesterday when I mentioned the gini. But I asked another question. What is this minister's ambition for poverty in the Netherlands? Where are we, if we get another blue book or look it up in a millions note or in another statistics, with poverty in the Netherlands?
ParlaMint-NL_2017-11-09-tweedekamer-16.u54	Mrs Leijten is not asking a question about it, but she is again making statements about income and wealth. Frankly, a quote came up in my head that a colleague of D66 used in the First Chamber: you can earn it from the SP, you just can't keep it. That's the way it is.
ParlaMint-NL_2017-11-09-tweedekamer-16.u55	What a load of crap!
ParlaMint-NL_2017-11-09-tweedekamer-16.u56	No, no, the Minister had the floor, Mrs Leijten.
ParlaMint-NL_2017-11-09-tweedekamer-16.u57	With the abilities, the differences are slightly different. Mrs Leijten knows that as well as I do. Also with the assets, the Netherlands is a relatively equal country, especially if you include things like the house and the mortgage, and especially if you include pensions. I would very much like to talk about this again on the basis of the statistics. I think it would be more of a discussion with the Minister of SZW, but I would be happy to participate. I insist that income disparities in the Netherlands are relatively small and that we, as a country, also reap the benefits of this.
ParlaMint-NL_2017-11-09-tweedekamer-16.u58	Finally, Mrs Leijten.
ParlaMint-NL_2017-11-09-tweedekamer-16.u59	The minister beats himself up: we've thought about all the groups. The tax system is on the run, and this will provide for a structural tax reduction for people with high incomes. Anything people who pay more in the tax system get discounts is negotiable every year. Every year, the rug can be pulled from underneath. There is only a new cabinet that doesn't feel like it, and the tax rebate or the old-age discount just goes down. That debate on the new tax system and how very good it is, we are certainly going to have another debate. I just asked the minister, who says "it's so good; we've thought of everyone," what his ambition is for poverty in the country. He can just answer that, can't he? And then immediately come up with a you-bake that you can't earn at the SP. That is quite right, but we also assume that people who work hard in the police department or in the cleaning can earn some money. The minister only assumes the Zuidas.
ParlaMint-NL_2017-11-09-tweedekamer-16.u60	It is always a question of which parts of Mrs Leijten are to be dealt with. As far as I am concerned, cabinet policy has also been balanced here. In fact, Mrs Leijten has done a great deal about poverty. I would like to emphasise here that the fact that the economy is doing well and that there is economic growth is also very important for the people with a smaller wallet. I think that's good news.
ParlaMint-NL_2017-11-09-tweedekamer-16.u61	I understand the appeal to the business community to raise these wages. The government assumes in its purchasing power that these wages will increase by 3% a year over the next four years. How realistic that is, I asked in my first term, because over the past four years wages have increased by 1.3%. The cabinet therefore counts itself richly with a wage increase of 3% over four years. Then you're talking about a 12% pay rise. That brings those purchasing power cards a little bit into the plus. Does this Minister agree with me that the whole relief of charges is one big pacifier?
ParlaMint-NL_2017-11-09-tweedekamer-16.u62	The Minister.
ParlaMint-NL_2017-11-09-tweedekamer-16.u63	He is now bringing forward 5 billion, already booked in 2013 because of the earlier housing market measures, and there is still a legacy from the previous cabinet of 9 billion.
ParlaMint-NL_2017-11-09-tweedekamer-16.u64	The Minister has the floor.
ParlaMint-NL_2017-11-09-tweedekamer-16.u65	In other words, Minister, you do not relieve charges, you increase charges and you hope...
ParlaMint-NL_2017-11-09-tweedekamer-16.u66	Mr. Van Dijck.
ParlaMint-NL_2017-11-09-tweedekamer-16.u67	...that the companies throw it up by 3%. That is your hope, and that is your promise, but you will not do anything.
ParlaMint-NL_2017-11-09-tweedekamer-16.u68	Mr Van Dijck, we have made an agreement on interruptions. They're not limited to a maximum, but they have to be short.
ParlaMint-NL_2017-11-09-tweedekamer-16.u69	I couldn't have done this any shorter.
ParlaMint-NL_2017-11-09-tweedekamer-16.u70	You couldn't do any other interruptions any shorter.
ParlaMint-NL_2017-11-09-tweedekamer-16.u71	Then I should have done it in five.
ParlaMint-NL_2017-11-09-tweedekamer-16.u72	No, interruptions must be really short, really a question or a comment. The Minister.
ParlaMint-NL_2017-11-09-tweedekamer-16.u73	Mr President, I am going to try to do it even shorter. It is a good question that Mr Van Dijck asked at the beginning, because what about those figures and how far has it been budgeted? Let me say one thing about that and then I will deal with the rest in the second term because we had just agreed on it. The Plan Bureau's assessment, which is what this is about, is that wages will increase in this way over the coming period. The Planning Office actually assumes that Mr Van Weyenberg will also appeal to the social partners to raise their salaries. That's how it is.
ParlaMint-NL_2017-11-09-tweedekamer-16.u74	Finally.
ParlaMint-NL_2017-11-09-tweedekamer-16.u75	The Nibud expects me to increase wages by approximately 4% cumulatively in 2021. You will get 4% as a result of the 3% increase in wages, because inflation is 2%. So 1% increase in purchasing power is a gift. That's exactly the 4%! You as a cabinet with all your measures do nothing for purchasing power. In fact, you are increasing the burden with the legacy of the previous cabinet. All you're doing is putting forward a 2013 gift, a compensation. You have to tell the honest story! You must say here to the citizens: this cabinet does nothing about your purchasing power and...
ParlaMint-NL_2017-11-09-tweedekamer-16.u76	Mr. Van Dijck.
ParlaMint-NL_2017-11-09-tweedekamer-16.u77	... we hope that business will meet you with a 3% increase in salary.
ParlaMint-NL_2017-11-09-tweedekamer-16.u78	You also have a second term.
ParlaMint-NL_2017-11-09-tweedekamer-16.u79	That's the honest story.
ParlaMint-NL_2017-11-09-tweedekamer-16.u80	Thank you. I shall now give the floor to Mr Snels.
ParlaMint-NL_2017-11-09-tweedekamer-16.u81	No, I want the Minister to respond to that.
ParlaMint-NL_2017-11-09-tweedekamer-16.u82	No, but then it must be really short.
ParlaMint-NL_2017-11-09-tweedekamer-16.u83	This is the core...
ParlaMint-NL_2017-11-09-tweedekamer-16.u84	Don't repeat.
ParlaMint-NL_2017-11-09-tweedekamer-16.u85	... of the image that the cabinet is trying to present to all citizens in the Netherlands: as if it is doing something good for purchasing power.
ParlaMint-NL_2017-11-09-tweedekamer-16.u86	Mr. Van Dijck.
ParlaMint-NL_2017-11-09-tweedekamer-16.u87	That's a lie. That's pure folklore. I think you're accountable to all those people and to this house.
ParlaMint-NL_2017-11-09-tweedekamer-16.u88	Mr. Van Dijck.
ParlaMint-NL_2017-11-09-tweedekamer-16.u89	Yeah, sorry!
ParlaMint-NL_2017-11-09-tweedekamer-16.u90	No, nothing "sorry." We agreed to keep the interruptions short.
ParlaMint-NL_2017-11-09-tweedekamer-16.u91	But these are the Financial Reviews.
ParlaMint-NL_2017-11-09-tweedekamer-16.u92	Yes, of course it's the Financial Reviews. And you're just gonna have all the space you need.
ParlaMint-NL_2017-11-09-tweedekamer-16.u93	You didn't want me to respond to that, Mr. Chairman.
ParlaMint-NL_2017-11-09-tweedekamer-16.u94	Yes, of course.
ParlaMint-NL_2017-11-09-tweedekamer-16.u95	Well, I think Mr Van Dijck is, frankly, failing himself, the reality but also the people who are watching.
ParlaMint-NL_2017-11-09-tweedekamer-16.u96	How? We're in the middle of a debate, so...
ParlaMint-NL_2017-11-09-tweedekamer-16.u97	Yes, but I wasn't even spoken yet or Mr Van Dijck was already at the microphone. I think it's important to start with the pictures and the Planning Bureau. In my view, I have exchanged views with Mr Van Dijck on how there is a figure of 3% or a little more than 3%. I think it is also real to look at the figures as they are further in that report. This simply shows that purchasing power is increasing for everyone. Mr Van Dijck may continue to pretend that he is not, but I do not think those numbers lie.
ParlaMint-NL_2017-11-09-tweedekamer-16.u98	Chairman...
ParlaMint-NL_2017-11-09-tweedekamer-16.u99	Mr. Snels. No, Mr. Snels. Mr. Snels.
ParlaMint-NL_2017-11-09-tweedekamer-16.u100	Thank you, Mr. Chairman. Let's see if we can remove some fog about the increase in inequality. When I look at the CPB purchasing power figures up to 175% minimum wage law, so the low incomes and the low middle income up to modal, I see that they are 0.8% going forward. Then there are 1.3%, 1.4% and the highest 1.4%. This means that lower incomes and low middle incomes are less advanced than the highest.
ParlaMint-NL_2017-11-09-tweedekamer-16.u101	I'm just gonna base myself on the Planning Bureau. I believe that it can be read in chapters 5 or 6 that the policy of the previous cabinet would increase income inequality in the basic path. That would make the gini worse, if I could use that word. In the report, the Planbureau says that this cabinet will reverse that increase. I think that's pretty exact what it says in chapter 5 or chapter 6. I am happy to go through the exact text again, together with Mr Snels if necessary, but I think that is what it says.
ParlaMint-NL_2017-11-09-tweedekamer-16.u102	I deliberately didn't talk about the gini but just about the purchasing power effects for the next four years. The gini also has a lot of disadvantages if you calculate it for the short term. These are just the purchasing power cards for the different income groups. Then it's just a fact that the low incomes are making less progress than the highest.
ParlaMint-NL_2017-11-09-tweedekamer-16.u103	I'm gonna stick to the gini story anyway. That's one. Two. What the cabinet has done, I say once again, is to try to respond as best as possible to all the wishes in society to improve purchasing power. I can honestly imagine people thinking: I would have liked to have made much more progress. But I repeat the list: one-earners and two-earers, the elderly and young people, the big city versus the countryside and so on. We really tried to find the balance. The fact that there are members who do not like it has become clear to me.
ParlaMint-NL_2017-11-09-tweedekamer-16.u104	Mr Snels, finally.
ParlaMint-NL_2017-11-09-tweedekamer-16.u105	Finally. It is simply the facts and figures of the Central Planning Office that show that the lowest incomes, up to the Modal, are making less progress. That means, when I see the blue book, that the street maker, the soldier, the hairdresser, the plumber, the secretary, the bus driver and the teacher at the primary school, who are all covered by that group up to 175% minimum wage law, are less advanced than a commercial director, the director of a hospital, the sg of a ministry, a member of the Second Chamber or a fiscalist. Those are the facts of the CPB and your blue book.
ParlaMint-NL_2017-11-09-tweedekamer-16.u106	Mr President, I think there was a statement involved. I'm gonna leave it at that.
ParlaMint-NL_2017-11-09-tweedekamer-16.u107	That's right, right?
ParlaMint-NL_2017-11-09-tweedekamer-16.u108	I'm not gonna repeat myself.
ParlaMint-NL_2017-11-09-tweedekamer-16.u109	I do not know if the Minister intended to answer my question later yesterday. I think it also fits what we are talking about, namely the additional charges of 3.3 billion calculated for 2019, in Table 4 of the Start note. Where did they come from?
ParlaMint-NL_2017-11-09-tweedekamer-16.u110	I'm about to try to get back to that. I have kept rather precise lists, including Mr Baudet's questions. I just need to make sure they're in pieces right now. If not, he will certainly receive an answer in the second term.
ParlaMint-NL_2017-11-09-tweedekamer-16.u111	That's good. Mr Van Rooijen.
ParlaMint-NL_2017-11-09-tweedekamer-16.u112	There will now be discussions about purchasing power. I would just like to point out to the Minister that the response of the Planning Bureau to question 57 last week states that the purchasing power of people with less than 175% minimum wage is 3%. For more than five times the minimum wage, that is double 5.7%. On average, therefore, there are almost 6% improvements for workers and half for pensioners. So there's a bigger gap. As Mr Snels has said, people with five times the minimum wage are making double progress compared to those with less than 175% of the minimum wage. That's a huge difference.
ParlaMint-NL_2017-11-09-tweedekamer-16.u113	What I immediately acknowledge and what is also true is that there are differences in the statistics between the different groups, even if you try to do something for all groups. Mr Van Rooijen is absolutely right to say that working people are making more progress than older people; that is true. I have just said that to Mr Dijkgraaf. But again, the intention is that we have wanted to meet everyone. I think that's visible, too. I would like to agree with Mr Van Rooijen that this could have been done differently.
ParlaMint-NL_2017-11-09-tweedekamer-16.u114	I'd like to ask you about that. The Minister keeps saying: it's a total package. When I was just asking about the rent payment, he said, "You shouldn't highlight one thing." We've got the total numbers now. Then you really see that the lowest incomes, the beneficiaries and the pensioners, get about half of the highest incomes. The Minister agrees with me, doesn't he? I'm talking about the next four years and not the gini in 60 years.
ParlaMint-NL_2017-11-09-tweedekamer-16.u115	When we look at the numbers... I don't know what numbers the PvdA spokesperson is talking about.
ParlaMint-NL_2017-11-09-tweedekamer-16.u116	The CPB transfer, Table 6.1, page 14.
ParlaMint-NL_2017-11-09-tweedekamer-16.u117	Then I'm gonna grab it in a minute and then we're gonna talk about that table explicitly. I think that's wise. I stand by what I said earlier, namely that all income groups are improving and that the cabinet is also trying to make it more rewarding to work. On that last point, Mr Nijboer and I may not be able to agree. The conclusion is that the difference between people with jobs and those without jobs is slightly increased. He's right about that.
ParlaMint-NL_2017-11-09-tweedekamer-16.u118	Okay, that's how we're gonna get on. This is just a deliberate choice of the cabinet. You also have such a debate to understand why certain choices are made. It says to the elderly 'you cannot work' and to beneficiaries 'work must pay, but we do not give you the same income increase'. That's clear. Let me now turn to Mr Van Dijck's question. I thought he was right. The increase in purchasing power is mainly due to wage developments, isn't it?
ParlaMint-NL_2017-11-09-tweedekamer-16.u119	Yeah, but I don't think there's any misunderstanding about that either.
ParlaMint-NL_2017-11-09-tweedekamer-16.u120	Well, I saw Mr. Van Dijck... He's good at defending himself. I don't normally have a natural tendency to do that from the PvdA, but I thought he just had a point. He simply indicated that if there is not a 3% increase in wages over the coming period and purchasing power does not increase, it will actually not get anything. All these presentations by the cabinet "we're doing so great for the people" and the choices made by the cabinet lead to older people, benefit recipients and tenants lagging behind.
