ParlaMint-NL_2017-10-10-tweedekamer-27.u1	At the request of a number of Members, I propose that the following motions be repeated: 30169-62; 34674-15; 28286-876; 27625-390. I propose to carry out the following work: 21501-07-1458; 2623-201; 22112-2363; 22112-2382; 22112-2377; 21501-07-1459; 21501-03-107; 29023-218; 32752-49; 34270-28. We're not gonna do that every week, are we, those congratulations? Let us now turn to Members' requests. I propose to add to the agenda, the VAO Environment Council of 13 October 2017 with the first speaker, Mr Kröger, on behalf of GroenLinks. You have the floor, Mrs Kröger.
ParlaMint-NL_2017-10-10-tweedekamer-27.u35	Support for a letter from the new ruler. Then let's get it involved in the legislative consultation.
ParlaMint-NL_2017-10-10-tweedekamer-27.u36	So no support.
ParlaMint-NL_2017-10-10-tweedekamer-27.u37	I agree with the words of GroenLinks. I would like to have a debate before the legislative consultation. Because it's important that we discuss this quickly.
ParlaMint-NL_2017-10-10-tweedekamer-27.u38	Support for the debate.
ParlaMint-NL_2017-10-10-tweedekamer-27.u39	The youth ggz is a very important subject. We also included this in the coalition agreement. I don't care how it's discussed, as long as it's discussed. It can happen at the WHO, but if Mr Peters wants to do so in a debate, we can also support it. So I'm okay with both of them.
ParlaMint-NL_2017-10-10-tweedekamer-27.u40	So you support the request. Okay.
ParlaMint-NL_2017-10-10-tweedekamer-27.u41	Mr President, support for a letter. Our preference is to involve it in the WHO Youth.
ParlaMint-NL_2017-10-10-tweedekamer-27.u42	Support for the debate.
ParlaMint-NL_2017-10-10-tweedekamer-27.u43	You have a majority, Mr Peters, in favour of holding a majority debate on this matter. So we will take that into account. I also propose that the stenogram of this part of the meeting be transferred to the cabinet. I call Mrs Van Tongeren on behalf of GroenLinks.
ParlaMint-NL_2017-10-10-tweedekamer-27.u44	Mr. Chairman. I would like to propose that the 30-member debate scheduled for this week on the settlement of the damage caused by gas extraction, the damage protocol, be conducted with the new minister, and thus turn into a majority debate.
ParlaMint-NL_2017-10-10-tweedekamer-27.u45	That's a good idea, Mr. Chairman. Support from the VVD.
ParlaMint-NL_2017-10-10-tweedekamer-27.u46	Support from the CDA.
ParlaMint-NL_2017-10-10-tweedekamer-27.u47	Mr President, there is also support from D66. There may also be other issues that we can include in the future. Just a good debate on Groningen, so support for such a majority debate.
ParlaMint-NL_2017-10-10-tweedekamer-27.u48	Well, Mr President, the coalition agreement gives rise to a good debate on this, because it is deeply disappointing. So full support from the PvdA Group.
ParlaMint-NL_2017-10-10-tweedekamer-27.u49	Also support from the Party for Animals.
ParlaMint-NL_2017-10-10-tweedekamer-27.u50	Support from the Christian Union.
ParlaMint-NL_2017-10-10-tweedekamer-27.u51	Support from the SP.
ParlaMint-NL_2017-10-10-tweedekamer-27.u52	Support from the PVV.
ParlaMint-NL_2017-10-10-tweedekamer-27.u53	You have a majority, Mrs Van Tongeren. We will take that into account. Thank you. That also means removing this debate from the agenda. This brings us to the end of the order of business and also of the sitting.
