ParlaMint-NL_2017-04-11-tweedekamer-16.u1	I would like to welcome the Secretary of State for Social Affairs and Employment. I call Mr Kuzu.
ParlaMint-NL_2017-04-11-tweedekamer-16.u12	I would like to say to Mr Kuzu that this whole preliminary journey does not deserve the beauty prize on all fronts. Can I express myself like this? But from 1 January 2016, it is crystal clear how the situation is regulated for everyone involved. I am glad that the war victims, wherever they are in the world, cannot be reduced to their AOW in this way.
ParlaMint-NL_2017-04-11-tweedekamer-16.u13	From the words of the Secretary of State, I would point out that she has now indeed clarified the period from 1 January 2016, but that she does not deny that many things have gone wrong in the preliminary stage. In my view, it is the case that a minister or a secretary of state is responsible for the files and the situation of the predecessors. Does the Secretary of State not think that it is too easy to ignore the preliminaries, in which blunder has been piled on blunder, where mistakes have been made and where wrongs have come to light about which there is no mention at all at all at this time? This is a cover-up. As far as we're concerned, the bottom stone is far from upstairs. Is the Secretary of State not responsible for her role in ensuring that there is clarity about what has gone wrong in the past, so that the same mistakes will not be made in the future on another file? I have one final question, Mr President, which saves me a second round of interruptions. Does the Secretary of State not agree that it is unfair for this area, for the illegal Israeli settlements, to have a transitional arrangement in place? Now we are dealing with other countries where for years, including the last ten years, people have been severely punished for mistransmitting a house number or an address. In this way, they were fined tens of thousands of euros under the Fraud Act. Fraud is a bad thing. But shouldn't fraud in all cases be treated in a proportionate and equal manner? Why does the Secretary of State make a distinction?
ParlaMint-NL_2017-04-11-tweedekamer-16.u14	Can I start with that last one? As Mr Kuzu says, fraud is wrong and must always be combated, because fraud is at the root of our social security system. Where our Social Insurance Bank has made mistakes, and this has happened, as has not only been changed frequently and extensively with the Chamber, I feel that I, as Secretary of State, am responsible not only for the Social Insurance Bank but also for the people affected by those mistakes of the SVB. That is why, as Mr Kuzu rightly states, we felt that this transitional arrangement should be introduced in this way for this group of people. I do not think that is unfair at all. I agree with Mr Kuzu that fraud must be combated, but where the government makes a mistake, it must also be corrected by the government.
ParlaMint-NL_2017-04-11-tweedekamer-16.u15	And the first part of the question?
ParlaMint-NL_2017-04-11-tweedekamer-16.u16	That was the first part of the question, because Mr Kuzu asked me why the matter did recover for that part of the world, while we did not do it for the rest of the world. That is because in that part there are obvious errors made by the Social Insurance Bank. That's what I stand for. So we also have to fix those mistakes, with our heads held high towards the people involved. The great thing is that with that you really protect the war victims everywhere in the world from discounts on the AOW. That is also because of your Chamber; honor who deserves credit.
ParlaMint-NL_2017-04-11-tweedekamer-16.u17	You seemed to be considering placing an interruption, Mr Kuzu. I would like to give you the opportunity to do so.
ParlaMint-NL_2017-04-11-tweedekamer-16.u18	I think I can go on all night.
ParlaMint-NL_2017-04-11-tweedekamer-16.u19	We're not gonna do that.
ParlaMint-NL_2017-04-11-tweedekamer-16.u20	No. We have until 8:15, and I can make up for that time, but I'll spare you that, Mr. President. The Secretary of State says the Social Insurance Bank made mistakes in the past. A repair has now been done to correct the error, but that also means that mistakes have been made for ten years and that people have been wrongly paid benefits for ten years. Even though we are dealing with some of the victims of war, we are also talking about people who have wrongly used benefits. I also know that a benefit will be recovered if you use it unjustly. That is what we do with people here in the Netherlands who act fraudulently, and that is what we do with people abroad. Why don't we do that in this one case?
ParlaMint-NL_2017-04-11-tweedekamer-16.u21	Our implementation organisations look very closely at such a case. Has there really been any obvious fraud by the people involved, or has some things not been implemented as they should have been? I don't think it's wrong, then, to put it on his Gronings, that you're also looking from the government to see if you need to fix things. We've done that in an orderly fashion. I have already met Mr Kuzu in a way, because he has outlined what has been going on throughout the course and I have said that things have not gone well. I want to take responsibility for that, too. That is why this repair is now being completed in this way. Once again, I am glad that this will also take the war victims completely out of the wind.
ParlaMint-NL_2017-04-11-tweedekamer-16.u22	Mr Kuzu, let us agree that I assume that you do not wish to place an interruption if you do not walk to the interrupting microphone. You look at me, but I'm not sure what you mean.
ParlaMint-NL_2017-04-11-tweedekamer-16.u23	Locking up. There is clearly a double measure. I think that we are far too easily ignoring the injustice that has taken place over the last ten years. That is why I will table a motion to conduct a parliamentary inquiry, a quick scan to get the facts back on the table. Then we will see which parties vote in favour and vote against.
ParlaMint-NL_2017-04-11-tweedekamer-16.u24	May I respond to that, Mr. Chairman?
ParlaMint-NL_2017-04-11-tweedekamer-16.u25	Sure.
ParlaMint-NL_2017-04-11-tweedekamer-16.u26	There is no double measure. I would like to make that very clear. I honestly think you should fix things that didn't go well. That's what happened. I'm not the type to measure with double sizes. I don't like that.
ParlaMint-NL_2017-04-11-tweedekamer-16.u27	I am not saying that the Secretary of State did, but the policy was aimed at it. I repeat myself, but ten years it has gone that way for the people who lived in illegal Israeli settlements. For people living in other parts of the world, there has been a very different way of doing things. I think we're talking about a double size. That has nothing to do with your person, Madam Secretary of State. It has to do with the policy in which your predecessors also had a dubious role. I mentioned them: Mark Rutte as Secretary of State already knew about them in 2001, Aart Jan de Geus of the CDA, Minister of Social Affairs and Employment and Frans Timmermans as Minister of Foreign Affairs. A lot of people have played a role in that. If this isn't a double size, then I don't remember.
ParlaMint-NL_2017-04-11-tweedekamer-16.u28	I didn't hear a question.
ParlaMint-NL_2017-04-11-tweedekamer-16.u29	No, but I would like to say again, with your permission, that there is clarity about the clean slate. This cabinet is very much in favour of this; let me put it this way.
ParlaMint-NL_2017-04-11-tweedekamer-16.u30	This put an end to the government's first term. I give the floor to Mr Kuzu for his second term.
ParlaMint-NL_2017-04-11-tweedekamer-16.u31	Mr. Chairman. As announced, the motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that this legislative amendment is based on a long-standing dossier, with serious suspicions that there was a deliberate violation of the law, pressure from the Ministry of Social Affairs and Employment on the SVB to withhold information or not to use it, diplomatic pressure from Israel and lobby offices, incomplete information provision to the Chamber and administrative failure;]] [[noting that a lawyer's office has therefore filed a report to the President of a possible criminal offence committed by the Minister for Social Affairs and Employment;]] [[believes that the bottom stone should emerge;]] [[Calls on the Bureau to carry out a parliamentary inquiry into the state of play regarding the payment of AOW benefits to AOW beneficiaries resident or resident in Israel's occupied territory, hearing at least:]] [[the Minister for Social Affairs and Employment and his relevant predecessors;]] [[the responsible administration at the Ministry of Social Affairs and Employment and its relevant predecessors;]] [[the Minister for Foreign Affairs and his relevant predecessors;]] [[the authors of the declaration against the Minister for Social Affairs and Employment,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Kuzu, Mr Azarkan and Mr Öztürk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34571-6]]
ParlaMint-NL_2017-04-11-tweedekamer-16.u32	Mr. Chairman. I would like to thank the Secretary of State for the answer, but it is disappointing. I had hoped that the Secretary of State would say: Israel is a friend of ours and the area that Mr De Jong has just mentioned, we indeed recognise Israel as an area where Israel has authority. So does Israel, but the Secretary of State doesn't want that. That's why I'm coming up with the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to cease the occupation of Israel, to recognise the de facto government of Israel in Judea, Samaria, Eastern Jerusalem and the Golan on that basis and to agree with Israel with the aim of lifting the AOW export restrictions in this area,]] [[and goes to the order of the day.]] [[This motion has been proposed by members De Jong, De Roon and Wilders. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34571-7]]
ParlaMint-NL_2017-04-11-tweedekamer-16.u33	Mr. Chairman. As you said, I need to speak about the first motion, the motion in part No. 6, not to judge. I'd like to leave that to the Bureau. It may be clear that I have the second motion, the motion in part No. 7 of the PVV, detachment. On the basis of international law, Israel has no sovereignty over the areas we are discussing. It may be clear that that is why I reject this motion.
ParlaMint-NL_2017-04-11-tweedekamer-16.u34	The motions that have just been tabled will be put to the vote next Tuesday. I would like to thank the Secretary of State for coming to the Chamber and thank the Members for their contributions.
