ParlaMint-NL_2017-05-30-tweedekamer-4.u1	I would like to welcome the Minister for Economic Affairs.
ParlaMint-NL_2017-05-30-tweedekamer-4.u12	The large number of spokesmen at the microphone shows that this is very much alive, not only in Groningen, but also in the House of Representatives. I shall be requesting a majority debate on this subject in the course of the work. The Minister has decided to win flat; the decision sees 24 billion cuub for five years. During the debate on that decision, too, many parties, including GroenLinks, asked: how can the Minister say that it will be at that level for five years? The Minister has announced that he will return to that. GroenLinks asked: can't this reduction be much faster; why not in October? I would like to ask you again: can this reduction to 21.6 billion cubic metres just be implemented next week?
ParlaMint-NL_2017-05-30-tweedekamer-4.u13	I shared with the Chamber all the information that was at the time and recently behind our decision to win 24 billion m flat in Groningen for five years. We have discussed this at length. I do not have anything new to add to that. It is true that the 24 billion and the flat mining were in line with the advice I received from the State surveillance of the Mines. After that, the advice came: you don't have to do anything yet, but understand that we are close to the signal value after which you should consider doing something. On my proposal, the cabinet said: we are not going to wait for that; in view of the current trend, we are going to reduce the 24 billion m for five years, starting as soon as possible to 21.6 billion m. What is "as soon as possible"? That's the new gas year, which starts on October 1st. For this reason, lowering extraction is not meaningful, because we are currently winning to fill the storage in Norg. If we don't fill it, we won't have enough gas available in the coming winter.
ParlaMint-NL_2017-05-30-tweedekamer-4.u14	Mrs Van Tongeren, your second question.
ParlaMint-NL_2017-05-30-tweedekamer-4.u15	The second is that people can report their damage, but nothing happens. The Minister just said in response to the SP's questions that all of this is going to happen at a good pace. The theory that there used to be about the so-called "outside area" has now also been deactivated with this earthquake. People have been waiting a year and a half for their damage to be dealt with. The number of people who would like to see their case dealt with by the arbitrator is also increasing. Isn't it time for a big plan, where things are handled generously and quickly, instead of taking a long time to look at everything? People now want to respond to their damage, but at this very moment the Minister has said: we are shutting down the entire damages settlement for three months and we want to get rid of the arbitrators.
ParlaMint-NL_2017-05-30-tweedekamer-4.u16	The spokesperson of GroenLinks is now going through a very short turn. She calls Slochteren, where the 2.6 earthquake on the Richter scale occurred, the outskirts. That's not right; it's part of the area it's about. It doesn't matter if you're in or out of that area. Wherever earthquake damage occurs, that damage must be compensated and compensated. Damage reports are all being dealt with, but there is a new, improved system for damage handling on the way. We move from the old to the new system. The new system will be applicable on 1 July. Between now and 1 July, the damage will also be actively absorbed. The Safe Living Center goes to the people who may have damage. So we're actively working on it. Damages are being recorded. Once the new system is available on 1 July, it will be applied. We are talking about damages which remain for one and a half years, but these are damages which were initially found not to have been caused by natural gas extraction. That was examined in greater detail later. That is when that conclusion was drawn again. Damage caused by natural gas extraction is compensated and damage not caused by natural gas extraction is not compensated.
ParlaMint-NL_2017-05-30-tweedekamer-4.u17	There's been a lot to do about the damage protocol. Can we assume that this will take place on 1 July and that this will apply not only to the inhabitants of the earthquake area but also to the so-called outlying area? I think it's very important to acknowledge now. Law provides that damage caused by gas extraction is damage, regardless of whether one lives within or outside the so-called nuclear area.
ParlaMint-NL_2017-05-30-tweedekamer-4.u18	The last thing Mrs Dik-Faber said is entirely correct. I just said the same thing. It doesn't matter where the damage is. If the damage is caused by natural gas extraction, it must be compensated by the NAM. It is right that Mrs Dik-Faber brings up the damage protocol. Here's what happened. The situation in the past was: you had a damage, you reported it then and you had to deal with the NAM. We then put the Center of Safe Living in between. Then we added the National Coordinator Groningen. Then we removed the NAM. We're perfecting that system right now. The damage protocols are no longer established by the Safe Living Centre or by the NAM, but by the National Coordinator. That's all going on right now. The National Coordinator's expectation is that this process will be completed on 1 July so that the settlement of damages under the new system, which is better for the inhabitants of Groningen, can be resumed.
ParlaMint-NL_2017-05-30-tweedekamer-4.u19	Your second question, Mrs Dik-Faber.
ParlaMint-NL_2017-05-30-tweedekamer-4.u20	I also really hope that the damage will be dealt with quickly. My second question concerns the extraction of gas itself. In the past, we have indeed decided to redistribute gas production across the field. Is this quake, which was a little bit more intense than we have seen in recent times, a reason to look at yet another redistribution of gas production? In concrete terms, my question is whether gas production in Slochteren should not be reduced.
ParlaMint-NL_2017-05-30-tweedekamer-4.u21	I agree with Mrs Dik-Faber on the speedy handling. That's what's gonna happen. Normally damage cases are dealt with in six weeks, but it may be that the damage detector wants a second assessment according to the old system. It'll take more time, of course. It may also be that an offer for settlement has been made, but that no decision has yet been taken by the claims detector. It may also be a complex matter. There are all kinds of reasons conceivable why it takes longer, but the standard handling of a damage is six weeks. There is no reason at the moment to review exactly how to win. For example, there are currently no indications that, as has been suggested, seismicity would be moving from Loppersum towards Slochteren, more south. That is not the case; there is no indication of this.
ParlaMint-NL_2017-05-30-tweedekamer-4.u22	When the earth trembles and when your house rips, you especially want to be helped very quickly. Now we ask people in Groningen for patience, because we are developing a better compensation scheme for them. I have two questions about that. For a truly independent compensation scheme, it is very important that the person who comes to see if there is earthquake damage is truly independent. That was one of the key points of the review. Can the Minister indicate whether he is making real progress on that point? The second question is whether we will soon have enough people to deal with the reservoir of damage that is increasing in the coming months, so that people are helped as quickly as possible and do not have to wait long for the costs to be repaired or refunded.
ParlaMint-NL_2017-05-30-tweedekamer-4.u23	The people who take damage are sent there by the Centre for Safe Living. The Centre Safe Living was at a distance from the NAM, but is now only controlled by the National Coordinator Groningen. The NAM's out of there. In addition, these people work with a manual drawn up by the National Coordinator and with protocols adopted by the National Coordinator. In doing so, we have achieved the situation that the people who are damaged in that area have to do with the government that plays an important role there, because we have been allowing gas extraction there for many years. That government feels responsibility and also takes that responsibility in direct contact with the people who have damage. So that system is good now. It is now being worked out and applied. I hope to be able to do this from 1 July.
ParlaMint-NL_2017-05-30-tweedekamer-4.u24	The Minister has just mentioned the new damage protocol which will enter into force from 1 July, but there is still a lot of discussion about it at the moment. In Groningen, there's a lot of uncertainty about how this is going to work out. Can the Minister guarantee that the new victims of that earthquake will not fall between shore and ship? I have one more question. Two weeks ago, the Court of Auditors concluded that out of the 1.3 billion earmarked for earthquake repairs, only 50 million are left and 96% have already been spent. Can the Minister guarantee that these new cases are generously covered by this regulation and that it will not be said that the money is running out?
ParlaMint-NL_2017-05-30-tweedekamer-4.u25	There's never any mention of the money running out for damages. Any damage caused by natural gas extraction shall be compensated. I have nothing whatsoever to do with estimates or anything at all on this point. Whether or not the estimates are exceeded is not important. The damage will be compensated. So there's no such relationship. You also asked whether 1 July would be feasible, given the ongoing consultations. I'm gonna have to rely on what the National Coordinator said. He made a schedule that ends on July 1st. He's doing his best to realize that. I'm confident he can do that. Several parties are needed to reach agreement. So let's see how that goes. We intend to apply the new system on 1 July.
ParlaMint-NL_2017-05-30-tweedekamer-4.u26	The last question, Mr Wassenberg.
ParlaMint-NL_2017-05-30-tweedekamer-4.u27	The Minister can therefore guarantee that the 1.3 billion agreed for expenditure from 2014 to 2018 will soon be complemented if necessary.
ParlaMint-NL_2017-05-30-tweedekamer-4.u28	As far as claims, damages and damages are concerned, I have nothing to do with estimates. The damage will be compensated.
ParlaMint-NL_2017-05-30-tweedekamer-4.u29	We've had questions about this for so long and we know the Minister's answers. I shall therefore vote in favour of Mrs Van Tongeren's request for a majority debate. We just need to have a proper debate on this. If necessary, we need to file motions so that the entire Chamber can support this. Then we'll really help the people in Groningen. I have one more question: can the Minister answer Mrs Van Veldhoven's question from D66? She asked if the Minister had enough people to handle that reservoir of damage reports. I'd like to get an answer to that. For the rest, we're sitting here pointing at each other. We have already tabled motions for resolutions on everything that has been requested here. As long as they're not supported, we're not helping the Groningen. Party politics is being played over people's backs. I think that's very sad.
ParlaMint-NL_2017-05-30-tweedekamer-4.u30	I shall leave Mr Graus to comment on 'party politics on the back of people'. I come to Mrs van Veldhoven's question, which has not been answered. I apologise to Mrs Van Veldhoven for that. We now have many people working in Groningen. This morning I spoke to a number of international experts about scientific research that needs to be done. They told me that 80% of the world's available knowledge of induced earthquakes has now been seized by NAM and by NAM-related parties. The other 20% was seized by the State surveillance of the Mines. This means that all the expertise needed for scientific research is used. The same applies to the settlement of damages. What is required of employees is available to my information. I have no information to show that there is a reservoir and there are delays in dealing with damage. We must also realise that the number of palpable earthquakes, i.e. more than 1.5 on the Richter scale, has decreased from 29 to 13 per year in four years. So there is a more than half cut.
ParlaMint-NL_2017-05-30-tweedekamer-4.u31	Thank you. This brings us to the end of this oral Question Time.
