ParlaMint-NL_2017-02-21-eerstekamer-6.u1	I would like to welcome the Minister of OCW to the First Chamber.
ParlaMint-NL_2017-02-21-eerstekamer-6.u12	I didn't say that. My question is: why does the Minister think he can do it faster? We are in favour of careful consideration. The Council of State notes that the existing instruments provide a basis for this. We would like to hear from the Minister why she thinks it will delay the process or why she believes it can be speeded up.
ParlaMint-NL_2017-02-21-eerstekamer-6.u13	Does that mean you're not taking a position on the question I just asked? Does the answer to the question I have just asked depend on the answer the Minister is going to give to your question?
ParlaMint-NL_2017-02-21-eerstekamer-6.u14	I am indeed waiting for the Minister's answer first. I would like to know why the Minister thinks that she can make such a balanced judgment more quickly. I am not convinced that the judge will need a much longer period than the minister. I come to speak about the role of the House of Representatives. The Roadmap provides that in the event of a warning and also in the event of withdrawal of recognition, the Minister may or may not inform the Lower House confidentially. The members of the CDA Group are concerned that this will create the risk of a political assessment of what is a discriminatory expression. They believe that this should be prevented. The Minister considers this step to be appropriate to the role of the House of Representatives because it has the responsibility to exercise control over the executive. The Lower House can then ask the Minister for an explanation. This response by the Minister was intended to reassure the members of the CDA Group, but this did not remove her concerns. If the Chamber is informed, the matter will inevitably end up in the political sphere. It is not up to the executive or the legislator or the politician to judge in a specific case whether or not an expression is discriminatory or hateful. It is precisely the "obligatory" to involve the House of Representatives that inevitably leads to politicisation of the answer to that question. The members of the CDA Group believe that this once again supports the need for that assessment to be a criminal court. I would like to hear a response from the Minister. In short, the members of the CDA Group can go along with the idea that the initiative to initiate the process of depriving an institution of recognition in certain cases lies with the Minister, but have a major problem with proportionality and the fact that this bill makes the judgement on whether there is discrimination to the Minister. This should be in the criminal court. The Minister should be able to withdraw recognition only if he has held that there are discriminatory expressions of such a kind as to justify the withdrawal of recognition.
ParlaMint-NL_2017-02-21-eerstekamer-6.u15	I'm still puzzled about what Mrs Martens says about informing the House of Representatives. Is it conceivable for Mrs Martens that if a university decides in a certain way, the Lower House will ask the Minister to act?
ParlaMint-NL_2017-02-21-eerstekamer-6.u16	I think the House of Representatives always has that right. The issue now is that the House of Representatives should remain outside the scope of the assessment of what is a discriminatory act. The Chamber can always ask the Minister to act.
ParlaMint-NL_2017-02-21-eerstekamer-6.u17	Then I have read the Minister's answers differently. They were about an information role of the minister. So I don't understand why if the Minister informs the House of Representatives confidentially or not about her actions, Mrs Martens immediately assesses that as a political action.
ParlaMint-NL_2017-02-21-eerstekamer-6.u18	Mrs Nooren will agree with me that if the Minister explains anything in the Chamber, it will enter the political circuit and be drawn into the political sphere, he will also answer any questions.
ParlaMint-NL_2017-02-21-eerstekamer-6.u19	Mrs Nooren, finally, on this point.
ParlaMint-NL_2017-02-21-eerstekamer-6.u20	Then I'll turn it around. Mrs Martens therefore says that the Minister must take the initiative. Steps are being taken and there is a roadmap. But she advises the Minister not to inform the House of Representatives, I conclude.
ParlaMint-NL_2017-02-21-eerstekamer-6.u21	I ask how the Minister intends to prevent it from getting into politics. The Minister's answer to this question did not reassure our group.
ParlaMint-NL_2017-02-21-eerstekamer-6.u22	I have just asked Mrs Martens about her opinion on the primacy of the criminal court. She said she wanted to suspend her assessment of that role until she had been given a ruling by the Minister on the pace of her work. Now, in her description of the trial, I think I can see that she wants the judge of the criminal court to precede an initiative by the minister. I do not see any alternative to this at the rate of the criminal court and, if necessary, at the rate of the appeal brought against his first ruling. Let me get this straight.
ParlaMint-NL_2017-02-21-eerstekamer-6.u23	I don't think so. I think the Minister can warn and present a case at the same time. I'd like to hear the Minister's views on that. If the recognition is not withdrawn than after a judgment has been given on this case, the assessment of the case is not in the hands of one person, but at least within our legal system.
ParlaMint-NL_2017-02-21-eerstekamer-6.u24	Does this imply that if the institution were in any way dissatisfied with the ruling of the criminal court which gave rise to the ministerial initiative, it would have to appeal to the same criminal court to appeal to it?
ParlaMint-NL_2017-02-21-eerstekamer-6.u25	No, he'll end up with the board judge. If the Minister takes a measure, there is an appeal to the Administrative Court and not to the Criminal Court. You put it where it belongs in our eyes. After a conviction, the Minister may deny recognition. I can also imagine that you are doing that at first instance, so you are not waiting for it to be submitted to the Supreme Court, and that it is also possible to speed it up. The Minister may then withdraw the recognition, after which the ordinary procedure is possible with the administrative judge, not with the criminal court.
ParlaMint-NL_2017-02-21-eerstekamer-6.u26	Finally. This therefore means that the criminal court, in response to the warning, gives an opinion on the establishment...
ParlaMint-NL_2017-02-21-eerstekamer-6.u27	No, from the informal person.
ParlaMint-NL_2017-02-21-eerstekamer-6.u28	Or from anyone, against whom the defendant cannot appeal?
ParlaMint-NL_2017-02-21-eerstekamer-6.u29	No, that doesn't matter. He could appeal that, too. That's two different things. I'd like to hear the Minister's response. The criminal route of the conviction is one and the administrative route is two. That is exactly the confusion I read in a lot of pieces.
ParlaMint-NL_2017-02-21-eerstekamer-6.u30	If I understand Mrs Martens correctly, she says that the Minister should only go through a roadmap. If the Minister comes to the conclusion that something is going on, she should refer it to the judge. If that reasoning is correct and Mrs Martens meant it, then surely that road map does not need to be regulated by law?
ParlaMint-NL_2017-02-21-eerstekamer-6.u31	No, I agree with Mr Schalk, but the Minister wants to implement a roadmap. Prior to the warning, it wants to study the case law, such as rulings of the College of Human Rights. That's a good idea. There may be a warning. That doesn't have any legal effect yet, but it is a signal. If the criminal court then decides on the nature of the discriminatory statements, it must be arranged so that it does not take too long, the Minister may withdraw the recognition. The person may then appeal to the criminal court and the institution before the administrative court.
ParlaMint-NL_2017-02-21-eerstekamer-6.u32	Does Mrs Martens agree with me that there is therefore no need for law at all? The Minister can do this with a roadmap anyway.
ParlaMint-NL_2017-02-21-eerstekamer-6.u33	Yes, the Minister can do it. If this provision were to be out of the law, the Minister would be given an additional opportunity. Discrimination will then become a component for inspection and also for assessing the quality of training. It is about promoting the sense of social responsibility. Then maybe it wouldn't be necessary. I can't wait to see how the Minister looks at that.
ParlaMint-NL_2017-02-21-eerstekamer-6.u34	I'm trying to understand. Part of this bill is that there is an informal or formal expression of a person and that the driver is asked if this is an expression on behalf of the institution. My first question is who will be the subject of criminal action. I think that is the director of the institution, because it is an expression on behalf of the institution. Mrs Martens thinks that the Minister should give a warning, but at the same time she says that the Minister is not the one to give that warning, because the Minister cannot judge whether something is discriminatory. Then I don't get it anymore.
ParlaMint-NL_2017-02-21-eerstekamer-6.u35	I do not think it can be seen as an expression of the institution if an informal representative makes a discriminatory statement. That is also provided for in this bill. The institution still has the opportunity to distance itself from it, so it is not necessarily an expression of the institution. What was the other point again?
ParlaMint-NL_2017-02-21-eerstekamer-6.u36	It is a formal or informal expression on behalf of the institution.
ParlaMint-NL_2017-02-21-eerstekamer-6.u37	No, it is a formal or informal representative who makes a discriminatory statement. If the institution does not distance itself from that statement, it shall be considered to be the institution. That's it.
ParlaMint-NL_2017-02-21-eerstekamer-6.u38	Then who is the criminal case to serve against?
ParlaMint-NL_2017-02-21-eerstekamer-6.u39	It's about the discriminatory expression.
ParlaMint-NL_2017-02-21-eerstekamer-6.u40	Then who's the defendant?
ParlaMint-NL_2017-02-21-eerstekamer-6.u41	One more answer, or we're gonna get a well-nickle here. That's not working properly.
ParlaMint-NL_2017-02-21-eerstekamer-6.u42	The defendant is the one who makes the discriminatory statement.
ParlaMint-NL_2017-02-21-eerstekamer-6.u43	Mrs Nooren, one more question.
ParlaMint-NL_2017-02-21-eerstekamer-6.u44	The judge is given by the criminal court, but at the same time why does Mrs Martens think that the Minister can give a credit by giving a warning? Then what is the warning based on?
ParlaMint-NL_2017-02-21-eerstekamer-6.u45	The warning could be the first step towards denying recognition. This includes a judgment, but in our view that judgment should not lie with the Minister.
ParlaMint-NL_2017-02-21-eerstekamer-6.u46	I would like to leave it at that, Mrs Nooren.
ParlaMint-NL_2017-02-21-eerstekamer-6.u47	I have a question about the implications of the CDA proposal. In addition to the Constitution, there are other laws that prohibit discrimination and require a minister to rule, such as the AWGB, the WGBH, the WGBL, the WGB, the WOA and the WOBOT. In some of these laws, there is first a test time prior to a minister's decision, for example using a committee of experts. None of these laws first brings the court in. I don't know why, possibly because of feasibility problems. Can I now understand the CDA's plea in such a way that, in all these laws and also in future in the Constitution, the judge must be brought before a minister makes such a ruling? That would be consistent.
ParlaMint-NL_2017-02-21-eerstekamer-6.u48	No, I didn't say that. The expert test is missing from this bill. That's one of the big problems with it. This bill states that it is only up to the Minister to assess this. I understand there are problems. I also understand that the Minister would like to be able to intervene. That's what was asked, by the way. I also trust this minister is doing well, but you don't know who or what is coming. We are here to ensure for the future that it is done carefully, as far as we are concerned, within our current legal system.
ParlaMint-NL_2017-02-21-eerstekamer-6.u49	If Mrs Martens had already told you, I wouldn't have asked. But let's get this over with. I can see from this that if a solution were found along the same lines as a solution was found in the aforementioned legislative proposals, namely a review by a committee of experts or the Human Rights College, which would address what Mrs Martens herself calls the major problem of this law.
ParlaMint-NL_2017-02-21-eerstekamer-6.u50	Then I come to the next paragraph of my plenary contribution, so I suggest that I continue with it. The Minister said that she could imagine submitting a case to an ad hoc committee of experts if she so wished. Although a test by an external committee of experts would be better than that it is up to the minister alone, the CDA Group is not waiting for another committee to be set up and believes that the judgment on discrimination and the balancing of fundamental rights should lie with the criminal court. In addition, it remains an advisory committee and ultimately it is up to the Minister to judge. So this is not a real solution to the problem outlined above. Finally, I have questions about the judge's review. In the event of withdrawal of recognition, an institution may bring an action before the Administrative Court. The members are curious about the extent and intensity of the judicial review. The Minister states that it will always be a full review. Members of this House are told by lawyers that they have serious doubts about this. On what basis does the Minister come to the conclusion that the judge will, by definition, be able and willing to test fully in all cases? Will the administrative judge not particularly judge whether the Minister is competent to withdraw recognition, what it becomes with this law? If the judge will also judge whether there is discrimination, will he only check whether there are discriminatory expressions or will he still be in a position to check whether there is such serious discrimination or hatred so that it can no longer reasonably be said that the institution promotes the social responsibility of its students? Will this not affect him too much in the area of criminal law, so that you can also have a problem in the legal sphere? In other words, what discretion does the Minister have in the assessment of the expressions? I'd like a response from the Minister. Finally, a question in response to the concerns in the field about article 7.23a, which states that after completing a certain training abroad, you may use the designation that goes with it abroad. The draft law does not contain any qualitative limitation with regard to foreign graduates. How does the Minister see the risk of inflation of titles as we know them, if there is no effective brake on an indication based on an incomparable foreign degree in terms of level, for example from doctor or PhD? I'd like a response from the Minister. There is much more to say about the bill. We have limited our contribution to the most fundamental problem and look forward with interest to the Minister's answers.
ParlaMint-NL_2017-02-21-eerstekamer-6.u51	Mr. Chairman. The openness of our higher education system means that the names 'university', 'university','school', 'bachelor' and'master' can be used too often. That is threatening for the good reputation that our higher education has. Therefore, the proposed legislative amendment proposes a set of different measures and measures to promote social responsibility. The discussion during the written exchange of views focused on this last point. The members of my group thank the government for the comprehensive response. My group supports the principle that higher education institutions have the task of preparing their students, often young adults, for this society in an important phase of their development, and their role and responsibilities in it. My group welcomes the concrete measures in this direction announced by the Minister in her letter to the House of Representatives of 7 February last, such as investment in smaller-scale education, the Equal Opportunities Alliance, talent programmes and the City Deal Knowledge Making. The WHW has for many years included the legal obligation of institutions to promote the sense of social responsibility of their students. Previously, this applied to funded and non-feasible institutions. However, as a result of a legislative amendment, this has been unintentionally removed from non-cost institutions for a number of years. This bill restores this and regulates that non-cost institutions will be given the task of promoting their students' sense of social responsibility. My group fully supports the thrust of this proposal. It is unthinkable and unacceptable for my group that Article 1 of the Constitution should apply only where the State pays. In addition, the current legal omission and the resulting area appear to be effectively abused for the purpose of expressing statements by authorities of higher education institutions, by allowing men to beat their wives, that stoning would be a prescribed punishment and that a vote on a particular political party would involve a vote on homosexuals and terrorists. This week, too, we saw tweets and tweets that are the social media, I say to Mrs Martens in that spirit who did not lie about it. My group, like other political groups, has asked questions about the role of the Minister in assessing whether or not discriminatory statements are being made. Can the Minister do that? Is this a Novum? Shouldn't this be left to the judge? The Government's replies show that a judge has no system of responsibility in education and cannot remove an institution from the system. Reporting in the event of discrimination, as also suggested by the Council of State, is certainly appropriate, but cannot lead to removal from the system. That power belongs not to the judge, but to the executive. In this case, with the Minister. The Minister is responsible for ensuring the quality of higher education provided under the WHW, as also established by the Council of State. Such an assessment is also applied elsewhere. For example, the Promotion of Integrity Assessments Act by the Public Administration, the Bibob Act, regulates the power of administrative bodies to refuse or withdraw certain grants or authorisations, if it is suspected that criminal offences, such as discrimination, will be committed or committed. In that case too, as with traffic fines, where we do not first seek advice from the judge, it is up to the administrative body to assess it and the court only comes to its attention after an appeal against the decision of the administrative body has been lodged.
ParlaMint-NL_2017-02-21-eerstekamer-6.u52	I agree that the Secretary of State is responsible for the system. That's what my contribution was about. It is not a problem that the Minister has the power to withdraw. A judge can't do that. However, there is also a consultative committee at the Bibob Act, to which Mr Bruijn refers. My question is therefore whether Mr Bruijn does not find it a problem for one person to judge such a serious case, so that statements made by an informal representative, possibly by third parties through the social media, can lead to one person, being the minister, denying recognition to an entire institution. That's a big deal. It is also different from other legislation, as Mr Bruijn suggested.
ParlaMint-NL_2017-02-21-eerstekamer-6.u53	I'd almost say I didn't say that. But then Mrs Martens will say: I would not have asked if you had said so. So I won't say. For the sake of clarity, I refer to the continuation of my speech, if Mrs Martens agrees. I'll get back to you on that. Let it be said that, although the Minister is a legal person, she is fortunately assisted by a number of highly qualified officials, in whom I have great confidence.
ParlaMint-NL_2017-02-21-eerstekamer-6.u54	Good to hear some examples from Mr Bruijn of other laws that seem to be similar. But in order to prevent us from comparing apples with raspberries, is the following important thing: are they all laws that involve weighing fundamental rights? In most cases, this is not the case in the case of a traffic fine. Does Mr Bruijn have any examples in which a weighting of fundamental rights is needed to enable a decision by the Minister?
ParlaMint-NL_2017-02-21-eerstekamer-6.u55	In a previous interruption, I mentioned six laws which deal with discriminatory views, on which the competent authority must judge. A number of these laws also involve an advisory committee.
ParlaMint-NL_2017-02-21-eerstekamer-6.u56	In which of these examples where there is no consultative commission, is it really a matter of weighing fundamental rights? The fact that this is a question of discrimination does not mean that fundamental rights are always considered.
ParlaMint-NL_2017-02-21-eerstekamer-6.u57	I didn't dig that deep into the law. We can do that, but that does not change the fact that that is indeed the case with this law and that we are standing here to talk to each other about how we ensure that it is done carefully. I have not yet come to my thoughts on this, at least to those of my group.
ParlaMint-NL_2017-02-21-eerstekamer-6.u58	Thank you. This helps, because it means that at least we know that the raspberries that Mr Bruijn is putting on the table do not say much about the Minister's apples.
ParlaMint-NL_2017-02-21-eerstekamer-6.u59	Mr Ganzevoort drew that conclusion without having first investigated it. That wouldn't last long in my business. Those are his words.
ParlaMint-NL_2017-02-21-eerstekamer-6.u60	Finally, Mr Ganzevoort, on this point.
ParlaMint-NL_2017-02-21-eerstekamer-6.u61	I did not say that I reached that conclusion; I said that the examples given to us by Mr Bruijn are not telling us very much at the moment, because they have not yet been properly selected.
ParlaMint-NL_2017-02-21-eerstekamer-6.u62	Nor have I mentioned the examples for this purpose, I have mentioned them as examples of other laws which deal with discrimination and on which the competent authority has to judge. None of those laws have chosen a course to court prior to that judgment. In some of these laws, however, an external advisory committee has been chosen, in whatever form, to make that opinion more accurate. That's why I mentioned this. In that sense, these laws are similar to what is going on here. In a more profound sense, of course, they are very different, just because they deal with other subjects. The government's replies show that a judge has no system responsibility. Reporting in the event of discrimination, as suggested by the Council of State, is certainly appropriate, but cannot lead to removal from the system. That power belongs not to the judge, but to the executive. The Minister of Education is responsible for ensuring the quality of higher education given under the WHW. It's also written by the Council of State. Such a method of assessment is also applied elsewhere. For example, the Promotion of Integrity Assessments Act regulates the power to refuse or withdraw certain grants or authorisations if criminal offences are suspected to be committed. In that case too, it is first for the administrative body and then for the court, after an appeal and appeal have been lodged, to make a judgment. It is therefore not new that administrative bodies take decisions and enforcement decisions on the basis of an assessment of legal provisions. These decisions should take into account relevant facts and circumstances. These decisions shall be based on an assessment by the administrative authority or on compliance with certain legal rules. With this bill, the Minister of Education does not therefore take the role of the judge, as has been pointed out by others. It is up to the Minister to make a careful decision on depriving non-cost higher education institutions of their right to grant WHW degrees. The Minister is therefore responsible for the system of higher education; he already has the power to deprive an institution of its rights when it does not comply with legal requirements under Article 6.10 (1) of the WHW. For example, the Minister may intervene where the administrative or financial continuity of which the legal person originates is no longer guaranteed, or where the institution does not comply with the obligation to provide the necessary information. This is not, therefore, limited to the quality of education. It's about other things now, too. This has much less to do with the quality of education than with discriminatory statements. Moreover, the Minister is under parliamentary control at all times. In the assessment prior to the decision to deprive rights on the basis of the breach of the obligation to promote the sense of social responsibility, the Minister is in line with the existing framework of standards, as laid down by law.
ParlaMint-NL_2017-02-21-eerstekamer-6.u63	Do you believe that in the current system, if there is a presumption of discriminatory behaviour in university training, the legislation is sufficient to withdraw recognition of that training? If so, what is it based on?
ParlaMint-NL_2017-02-21-eerstekamer-6.u64	I'll get to that. The answer to that question will be yes, by the way. In my group's view, this, contrary to what the Council of State says, directly affects the quality and mission of education. I am referring to combating discrimination. This is a reason for the Council of State to waive its rights. My group differs from the Council of State in that discrimination would have nothing to do with the quality of education.
ParlaMint-NL_2017-02-21-eerstekamer-6.u65	Is this also the case if there is no indication of discrimination in education itself, but only the statements of a rector through tweets?
ParlaMint-NL_2017-02-21-eerstekamer-6.u66	If these statements are made formally on behalf of the institution, it is in the opinion of my group and myself, working in education, that this is directly related to the quality of education, and especially because it is also contrary to what is laid down in the law, because in many areas of education it is not the case, namely the duty to teach social standards. So the answer is yes.
ParlaMint-NL_2017-02-21-eerstekamer-6.u67	This bill is not about whether an expression is made on behalf of the institution, it provides that, if a discriminatory statement is made by a formal or informal representation, it is considered to be done on behalf of the institution, irrespective of whether it is intended to be. Then it can only be proved that it does not happen on behalf of that institution if it distances itself from it. However, the law states that the expression of an informal representative alone would be sufficient. Doesn't that go a little far, even for Mr Bruijn?
ParlaMint-NL_2017-02-21-eerstekamer-6.u68	That is an interesting and rightful question. You could even go further: if a total outsider of a legal person makes a judgment, after which the legal person is asked whether he agrees with it or disassociates from it, and that legal person does not disassociate itself from it in public, then there is a matter of imputing that legal person to that judgment. If, moreover, that is someone who works at that institution, my group has no doubt that that legal person is responsible for this, given the roadmap laid down in the law, in which that institution is asked whether those statements have been made on its behalf or whether it is disassociating itself from it. That institution will have an extensive opportunity to do so. If this does not happen repeatedly, then my group says: yes, it is in spirit and according to the letter of the law to charge that institution. At least my group assumes that the Minister will do so, but that is still subject to appeal and objection to a possible judge.
ParlaMint-NL_2017-02-21-eerstekamer-6.u69	If I understand Mr Bruijn correctly, he says: if there is a discriminatory statement, it is actually about the quality of education. But when it comes to the quality of education, doesn't the Minister already have powers? Why would you have to settle that in this law in a cumbersome way?
ParlaMint-NL_2017-02-21-eerstekamer-6.u70	This law actually regulates two things that you have to tear apart. One thing is that it is restored that this law applies in general to uncosted training; I think we all have no problem with that. The other is that it is suggested that this means enlargement. This includes the concept of social standard that is already in the WHW adopted here. I would like to add that under the current law, with this bill in hand, there is no question.
ParlaMint-NL_2017-02-21-eerstekamer-6.u71	Mr Bruijn says that if an outsider makes a statement and does not want to distance himself from it, that might already be a ground. I may not have understood him correctly, but at least that's what it sounded like. That goes way beyond this law. I think it is a bizarre idea that if an institution wanted to say 'no comment', that would not be possible. Is that what he means?
ParlaMint-NL_2017-02-21-eerstekamer-6.u72	That is not in this law and it is not in question. I mentioned this as an example in relation to the question of whether my group agrees with the government's position. That view is that if someone, formally or informally, makes a decision on behalf of an institution, it may also turn out afterwards that he or she has been made on behalf of the institution and that the institution is explicitly asked whether she disassociates from it or is behind it, but which does not then indicate, you could turn it into a matter for the institution to take that decision. In reply to the question whether my group agrees, I said that you could even make it a matter in another case, although I do not know if you are making it a success. If someone else makes a ruling and the institution, or any other legal person, is asked whether it agrees with it or that it withdraws from it, after which it repeatedly agrees and does not want to distance itself from it, then you may charge the institution. However, that is a theoretical case that I have just mentioned to support the fact that it is becoming easier when it comes to someone who works at the institution.
ParlaMint-NL_2017-02-21-eerstekamer-6.u73	Then I understand Mr Bruijn a little better. He says "if the institution agrees." Agreed, but he didn't just say that, because then he said "if the institution doesn't distance itself from it." That would mean that we could ask all universities "are you disassociating from the PVV's position on Moroccans?" or "are you disassociating yourself from the position of the rector from Rotterdam?'. I hope we're not going that way.
ParlaMint-NL_2017-02-21-eerstekamer-6.u74	No, that's why I only mentioned that as a theoretical example. I did so on the basis of the question: if someone who works formally or informally on behalf of an institution makes a ruling, after which the institution is asked whether that statement was made on its behalf, or whether it is one of its employees and whether it falls within the scope of freedom of expression and does not, on a number of occasions, distance herself from it. Yes.
ParlaMint-NL_2017-02-21-eerstekamer-6.u75	I have another point. Do I understand Mr Bruijn correctly that he thinks that if the article which states that the Minister is allowed to judge what is or is not discrimination disappears, the rest of this bill will give rise to more points of reference for inspection to intervene? Promoting the sense of social responsibility is also covered by the requirement for funded and unpaid institutions. There are also other possibilities, such as the Civil Code, to which Mr Bruijn referred. Does he agree with me that, even without the determination of assessment, the Minister will be given more opportunities to intervene, whether through inspection or not?
