ParlaMint-NL_2017-06-21-tweedekamer-6.u1	President. - I call the Group of the European People's Party (Christian-Democratic Group).
ParlaMint-NL_2017-06-21-tweedekamer-6.u12	The Prime Minister said that if Macron is going through his agenda, France is going to make up its mind in the euro area and we are not really having any problems in European Monetary Union anymore. I think that is a very optimistic and perhaps rather naive presentation of things. It brings me to a question that the Prime Minister does not answer, namely: where are the red lines for this cabinet when it comes to completing EMU? Does the Prime Minister think it is a good idea for a European Finance Minister to come? Does the Prime Minister think it is a good idea for the euro area to have more resources?
ParlaMint-NL_2017-06-21-tweedekamer-6.u13	I think that is well known: the Dutch cabinet does not see the added value of these institutional ideas. We do not see this added value. We don't think they're necessary. We are making a number of proposals to ensure that convergence is accelerated, because that acceleration has to be achieved, but it starts and ends... No, it does not start and ends, it starts with the second largest euro area Member State making some structural changes to its socio-economic model. That is what I hope will happen for the first time since 1958. I have a very good hope for that with this president. That's crucial. Italy will then continue to reform, for the first time in decades. There's been a start by Renzi, but that's stopped again. If that happens later, it is very important and then you have to support it from the collective. A few things are very important for that. Firstly, the banking union. We have to finish it, so that there is a separation between countries and banks, because banks have often sucked the countries into trouble. Separating the sovereign and banking sectors is therefore very important. That is what the banking union is for, and that is what the capital market union is for, of course. The second is what I just mentioned: better linking payments to Member States from the EU budget and implementing structural reforms. Existing financial flows from the EU budget should therefore be more closely linked to what countries are actually implementing reforms. Let me mention a third, too, that is a proposal that the Netherlands in Europe is advocating, namely that investors in government bonds take losses before Member States receive a European support programme. If you look now at the Greek, Portuguese or Irish aid programmes, the private sector and investors in government bonds have actually been compensated for their imminent losses. I would like to move towards a system in which we get a sovereign debt restructuring mechanism in Europe, in which we let the more private sector take that type of loss. Those losses must be made before those countries have access to European aid funds, as is also the case with the Banking Union bail-in, before you have access to any collective provision. These are a number of proposals which, in my opinion, together with a reformed France and a reformed Italy, lead to greater stability in the euro area. I can start with drawing all kinds of clean red lines here, but I prefer to formulate it in substance rather than with the heavy political term of the red line. I believe that, from the point of view of content, there is no added value and no use in demonstrating Eurobonds, the European Finance Minister or euro area budgets, because they are already there in part, and have no added value in part.
ParlaMint-NL_2017-06-21-tweedekamer-6.u14	A clear statement about where the cabinet stands. Fear of a red line when it's actually drawn. The Prime Minister says there's no need, because we can do other things. I think it's just very good that the Prime Minister not only says that it's not necessary, but that it's just not going to happen. After all, we know that the agenda of the French President Macron is a different one, namely to regulate it at European level. The wish is for these countries to do what is right for the euro area, which is, moreover, the dynamics in France and Italy, which are still sovereign Member States in these areas. We know Macron says: put that on a European level. So we can say 'it is not necessary, because if it all works as we hope, it will not happen', but the decision would actually be taken this year, when these structural economic reforms will only take place much later. Is the Netherlands now drawing a red line with a finance minister?
ParlaMint-NL_2017-06-21-tweedekamer-6.u15	I really choose my own words. Red lines are what you get at the SP if you are willing to form a cabinet after the VVD has worked with the PVV. After four years of working with the Labour Party, there is suddenly a red line, namely: the VVD is neoliberal and we do not work with it. I keep the SP in mind: watch out, words have meaning. Red lines lead to some kind of ideological we-they-thinking I don't believe in. I'll approach it from the point of view of content. We do not see the added value of these instruments. We don't think they're necessary. So we're against it, too. Beware of terms, for "red lines" Jede Konsequenz führt zum Teufel.
ParlaMint-NL_2017-06-21-tweedekamer-6.u16	It's really nice for the Prime Minister to call our red line. We do not cooperate with the VVD because on issues such as the labour market, care and housing, precisely things that are crucial for people, we would never come to a comparison. Moreover, as far as the future of the European Union is concerned, perhaps we would be a little closer together. I just asked a question. Wouldn't it be good to say as the Netherlands more firmly: we don't want it, we don't think it's necessary, but we don't want it? The choice of yes or no lies much earlier in the reflection "if everything works, it is not necessary."
ParlaMint-NL_2017-06-21-tweedekamer-6.u17	I am conducting the debate, unlike the SP, from the point of view of content. If I fly it from its contents, it won't be necessary. I choose my own words.
ParlaMint-NL_2017-06-21-tweedekamer-6.u18	It is quite something to say here that we would not do it from the point of view of content. Maybe it's not just from the content and we're doing both, but maybe with a little less naivety.
ParlaMint-NL_2017-06-21-tweedekamer-6.u19	Mrs. Maeijer.
ParlaMint-NL_2017-06-21-tweedekamer-6.u20	I note a certain ease with which the far-reaching proposals presented by Juncker and the integration note that is still to be written by Germany and France are thrown off the table in the sense of: well, well, that's not going so hard, we have an influence on the French and the Germans and we are making new friends. I don't think we're gonna make it. Even when we make new friends in the European Union, a quick calculation teaches that you need a majority for most decisions. Then you're not gonna make it with some like-minded countries, if they're already so similar-minded. That's still to be seen. If the Prime Minister says that he does not consider certain proposals desirable or necessary, how is he going to get them off the table at the forthcoming summit? Experience shows that if they stay down, they stay down until autumn. Then it's on the table and we're just getting paged. Then we wake up with a European Finance Minister and God knows what else.
ParlaMint-NL_2017-06-21-tweedekamer-6.u21	The Netherlands will have to agree to that. Part of that also calls for treaty changes. I don't see that risk. Moreover, it is not on the agenda of this summit.
ParlaMint-NL_2017-06-21-tweedekamer-6.u22	The fact that it is not on the agenda does not seem to me to be an argument, because these proposals are just floating around. If you say "we don't think it's desirable and necessary," why don't we just wipe it off the table right away? Then we do not have to discuss this in the autumn.
ParlaMint-NL_2017-06-21-tweedekamer-6.u23	Yes, but unlike the PVV, I do want to continue to hold the debate from the point of view of content in Europe. I can say 'there are red lines here and we are not doing all of this', but I want to convince countries from the content of what is the best route to that basic promise of the euro, namely that we all have more prosperity, more progress and more employment. At the moment, we do not have enough of these in the euro area collective because a few very large economies are lagging behind. I have great faith in the new French President and I think that will now be different. I would also like to support him in every respect. If you let that happen, I hope that will happen in combination with some sensible ideas that the Netherlands is now bringing into the discussion, you will have the discussion from the point of view of content. That's stronger than shouting "against, we don't" et cetera. It's clear. The Netherlands does not see the added value of these proposals, but does have alternatives. Then you're doing the discussion in an intelligent way. I think that would be wiser.
ParlaMint-NL_2017-06-21-tweedekamer-6.u24	The Prime Minister said in an interim that the Netherlands is in favour of a sovereign debt restructuring mechanism. That's interesting. Countries will then have to write off before they receive European aid. That's interesting. However, Greece's sovereign debt is fully in public hands, ESM and EFSF. If Greece receives aid, then tens of billions must immediately be written off on the assets of the Netherlands and Germany. Of all the other euro countries, thousands of billions have been bought up by the European Central Bank. If Italy were to participate, Italy would have to write off tens, if not hundreds of millions, of outstanding debt currently held by the system of European central banks, that is to say all of us. Then we'll still pay. What exactly does the Prime Minister intend to do with the sovereign debt restructuring mechanism? Is there anything on paper? This could be a very expensive exercise.
ParlaMint-NL_2017-06-21-tweedekamer-6.u25	Of course, we don't want these things. I have just explained that I think you should learn lessons from the Greek aid operation, the Portuguese aid operation and the Irish aid operation. There you can see that public money has made up for private investors. It is then true that the public sector has almost all the public debt in its hands. There's not much you can do about that now. What you can do with Greece is to encourage that country to continue to grow consistently in the coming years and to reduce that problem in a sensible way step by step. That's not what this is about. This idea applies to the case where a future country would decide in the future to use the European emergency mechanism. Then you see what you can do to each other with the private debt held by private bondholders in that country. Then how do you ensure that there is a bail-in, as much as possible by the private bond holders, before the country gets access to the emergency fund? So this is not about Greece. We are against debt forgiveness for Greece. We want to participate in the agreements of May 2016 on debt relief, but we are opposed to debt write-off. So it's not about Greece, it's about future cases.
ParlaMint-NL_2017-06-21-tweedekamer-6.u26	So we are talking about current members of the euro area. Of all these members, the central banks bought about a third of the debts. The private bondholders will say: if you write down 25% on my debt, you will write down 25% on it. This depreciation will have to be equal to equal loans, so all the loans now held by the European Central Bank and the system of European central banks will have to take place. The result is a loss of hundreds of billions in the public sector.
ParlaMint-NL_2017-06-21-tweedekamer-6.u27	And now the question.
ParlaMint-NL_2017-06-21-tweedekamer-6.u28	Mr President, it is a long question because we are talking about a lot of money again.
ParlaMint-NL_2017-06-21-tweedekamer-6.u29	All the questions are long.
ParlaMint-NL_2017-06-21-tweedekamer-6.u30	I'm against it. That is not my proposal at all. Mr Omtzigt is now asking a question about a proposal that I have not made.
ParlaMint-NL_2017-06-21-tweedekamer-6.u31	The Prime Minister just said here, before Mrs Maeijer's interruption, clearly: I am in favour of a sovereign debt restructuring mechanism, first of all written off on current loans. If I go through with that...
ParlaMint-NL_2017-06-21-tweedekamer-6.u32	To private bondholders.
ParlaMint-NL_2017-06-21-tweedekamer-6.u33	To private bondholders.
ParlaMint-NL_2017-06-21-tweedekamer-6.u34	Let Mr Omtzigt put it precisely. That's very important.
ParlaMint-NL_2017-06-21-tweedekamer-6.u35	And then the Prime Minister expects to distinguish between private bond holders and public bond holders, so that there will be write-off on private bond holders and that there will be no write-off on public bond holders, i.e. central banks that have bought up far too much of those loans and thereby assumed the risk that the Prime Minister himself calls themselves?
ParlaMint-NL_2017-06-21-tweedekamer-6.u36	Is this a subject?
ParlaMint-NL_2017-06-21-tweedekamer-6.u37	No, this isn't a subject. I think we should stop talking about it.
ParlaMint-NL_2017-06-21-tweedekamer-6.u38	We really need to confine ourselves to today's topic.
ParlaMint-NL_2017-06-21-tweedekamer-6.u39	Mr Omtzigt gives a misrepresentation of what I am saying here. That's one. This is not my proposal at all, and he knows it well. What we are talking about now is two things: we are discussing proposals that live in the French President's circles to see if, through a number of institutional changes, we can achieve more stability in the euro area. I would like to point out that the pressure on the need for this stability will be reduced if a country such as France is to reform and if a country such as Italy is to do so. I argue that you should also look very closely at what you can do to ensure that private bond holders take losses first. So I'm not talking about state sectors, I'm talking about private bond holders. Not taxpayers should, by definition, bear the costs. That is also what we have done in the banking union. The banking union also has a bail-in to a certain extent. Then the government comes into view and a further bail-in takes place according to a ladder system. I think you should think about this. We do not yet have a complete legislative proposal for this. No, we are bringing this into the European debate. If you want to stay away from discussions about eurobonds, shock absorption funds and so on, we think it is much more appropriate to look at how to link European funds first and foremost to concrete reforms. This is therefore a question of the existing money flows through the multiannual budget. Secondly, you have to look at how to ensure that the private bond holders take losses before a country can use that emergency mechanism. This is not the case for Greece, because it is far too far. But we need to learn from how things went in Greece. And of course we can ask a thousand questions and think of risks. These risks are outlined by Mr Omtzigt here. If our ideas were to come to policy, we would have to mitigate those risks as best we can; I can see that, and I agree entirely with Mr Omtzigt in that regard. But there is no detailed proposal here. This is a Dutch contribution to the discussion. In doing so, we want to ensure that we achieve further stabilisation of the euro area.
ParlaMint-NL_2017-06-21-tweedekamer-6.u40	Finally, Mr Omtzigt.
ParlaMint-NL_2017-06-21-tweedekamer-6.u41	The Prime Minister did just say that he is a supporter of sovereign debt restructurings. And let's be honest: the CDA is also in favour of making private bondholders pay.
ParlaMint-NL_2017-06-21-tweedekamer-6.u42	Good.
ParlaMint-NL_2017-06-21-tweedekamer-6.u43	However, you may be in favour of it, but there's a big angel in that system here.
ParlaMint-NL_2017-06-21-tweedekamer-6.u44	Of course.
ParlaMint-NL_2017-06-21-tweedekamer-6.u45	Indeed, what the ECB has bought has to be written off. There are no reserves for this and the European system of central banks is going bankrupt. That's a big deal. The Prime Minister is now saying: this is what we are discussing. Then, at some point, I expect a non-paper, a paper or a proposal that addresses this type of objection, so that we understand what is going to happen.
ParlaMint-NL_2017-06-21-tweedekamer-6.u46	The Prime Minister.
ParlaMint-NL_2017-06-21-tweedekamer-6.u47	No, it's far from that. We are now discussing whether to draw red lines, period. And does the thinking stop after that? Or do you say: we are not in favour of ideas about a minister of finance, eurobonds and so on. Moreover, these are not proposals now from the French Government. Anyway, others have made that kind of proposal. We say: do you want to talk about shock absorption funds/eurozone budgets and a European Minister of Finance, or are you looking for other ways that will increase stability in the euro area, apart from reforms in France and Italy? That's what we're looking for. And, of course, every new instrument and every new idea will entail ten risks. Mr Omtzigt sketches a few. You'll have to mitigate that, I agree with Mr Omtzigt. But you should not say in advance: we do not do it at all because there are risks associated with these new proposals. If we do that, we'll be empty-handed at some point. That's not wise.
ParlaMint-NL_2017-06-21-tweedekamer-6.u48	I hear the Prime Minister say that President Macron has actually said that he wants certain reforms, including in the euro area. Isn't it a little strange that he said that to the Prime Minister last week, when he hasn't even come to reform in his own country? The lack of reform in France is also the cause of this somewhat weak euro. Until very recently, it was thought that populism could also be won in France. Does the Prime Minister see the risk of France wanting to talk more about reforms in the euro area than about reforms in France itself?
ParlaMint-NL_2017-06-21-tweedekamer-6.u49	No, not at all. President Macron has a number of views on the euro area, which do not converge in all respects with ours. But he has also made it clear in many speeches that the reform of the French economy is now his first priority. That is quite clear.
ParlaMint-NL_2017-06-21-tweedekamer-6.u50	However, I repeat my question, because I have not yet had an answer. Isn't it strange that President Macron is now talking about reforms in Europe? Shouldn't you have told him, but first make sure that you carry out those reforms in France?
ParlaMint-NL_2017-06-21-tweedekamer-6.u51	I'm just answering the question.
ParlaMint-NL_2017-06-21-tweedekamer-6.u52	Shouldn't you have said, and then we're gonna start doing the other thing? It shouldn't happen at the same time.
ParlaMint-NL_2017-06-21-tweedekamer-6.u53	But Mr. Van Rooijen, I'm sorry. I'm just answering the question. He thinks he should reform France first. But he also has views about afterward. He told me what ideas he was playing with. So we agree on that.
ParlaMint-NL_2017-06-21-tweedekamer-6.u54	Finally, Mr Van Rooijen.
ParlaMint-NL_2017-06-21-tweedekamer-6.u55	That answer is indeed clear. I would like to ask another question. Isn't the Prime Minister afraid of the following? If France reforms somewhat, it will be rewarded by Germany and perhaps by other countries as well by a more flexible budget rule. There is nothing of that in France. Isn't that what the Prime Minister's afraid of?
ParlaMint-NL_2017-06-21-tweedekamer-6.u56	I can shudder all day in the Tower that there is a wrong proposal coming from somewhere, but my job is to protect this country from bad proposals and to promote good proposals. Part of us have to do it ourselves. I was just talking to Mr Omtzigt about such a proposal. There are always risks in that and you have to mitigate them. I think that's my job, not being scared all day, so "oh, what can anyone come up with?'. I'm not a German commentator. My job is to come together with you to come up with sensible ideas.
ParlaMint-NL_2017-06-21-tweedekamer-6.u57	Please continue.
ParlaMint-NL_2017-06-21-tweedekamer-6.u58	Then about the Brexit. May I begin by expressing my surprise at Mr Baudet and Mrs Maeijer from the Forum of Democracy and the PVV respectively? I think they take a bizarre position on two points in my view. They remain in favour of a nexit. That has two huge consequences, really huge consequences. Our most important task as politicians is to keep the country safe and protect it. Look at the world, at the unpredictability in America, at the situation in Russia, at what is happening in the Middle East, at Syria, at North Africa, at the large migratory flows, at the huge issues we face. Then, from that primary goal that we have, namely to protect and keep this country safe, it is a very important task to ensure that the Netherlands is embedded in strong international structures. That is NATO, that is the European Union. These are associations that we are in our best interest to ensure that we keep this country safe. Therefore, if you make a concrete plea for a Brexit and completely ignore what is happening in the United Kingdom at the moment... It was already an institutional crisis, it has now become a major political crisis. It's a monetary crisis. The pound has fallen and inflation is rising. Wage increases can't keep up with that anymore. Last night, the BBC evening newsreels opened with a speech by the President of the Central Bank of England and the Minister of Finance. They agree and say: the Brexit is currently bringing very great risks to Britain's future prosperity. And we see it: all the major American business banks are pulling away from the City of London. Major investments are not taking place. Mr Baudet says that the retail sector is doing well. That's what's happening dramatically. Why? Because at the moment, due to the state of the pound, huge price increases have to be made on primary necessities in the UK, which has a direct impact not only on the sales figures of the large retail chains, but also on the daily lives of a lot of people, who have lost a lot more money for their margarine, for the daily needs of their lives. I therefore find this position incomprehensible and I shall fight it to the last degree. It is bad for our safety and it is bad for the Netherlands. Specifically, the Brexit also shows the enormous economic consequences of this, regardless of the security issues. The negotiations have begun. We have to note that it is positive, I think, that the UK has agreed to the EU's proposal for the establishment and timing of the negotiations. The British have accepted, as it seems, phased negotiations. First, the rights of citizens and the financial settlement must be clarified. Then there's talk about the future relationship. I have been asked how I look at the British elections: what do they mean for the British position? I have to be a little careful not to comment on Britain as some sort of Dr. Clavan. He would say, "the situation is unimaginable." I just shouldn't. We just need to see what the British are coming up with. Of course, we remain in favour of a situation in which Britain remains associated with the European Union as much as possible, especially with the internal market. On the other hand, they have to abide by the four freedoms. That debate in England will take place in the near future. As this enormous economic and financial impact becomes more acute, it may also reach the British tabloids and have a further impact, I expect, on the general opinion in the United Kingdom. This may have an impact on the political position. I try to stay away from terms like "hard Brexit" or "soft Brexit," because I never know exactly what that means. As far as the Netherlands is concerned, we hope that the British will remain members of the internal market and the customs union and that we will have to check whether there are any forms in which this can be done for them, politically and socially. I come to the candidacy for the European Medicines Agency. Mr Mulder asked a question about this. I believe that the Netherlands has proven in recent decades that it can be an excellent host country for this type of organisation. Schiphol Airport is one of the most connected airports in Europe. We can also guarantee continuity. We can well support the transition. The Netherlands scores high on most of the criteria identified by the Commission. There are six criteria. Is there a building, for example, and what about its accessibility? It also examines whether a country can guarantee business continuity, or the continuity of the organisation. Those are some of those six criteria. In addition to the criterion of geographical distribution, where we do not, of course, meet the criteria we have laid down by the Commission. There is now a lot of discussion about the precise decision-making on this issue. We're gonna see how that goes. Maybe I can finish the questions on the Brexit before Mr Van Rooijen gets the floor for an interruption. A question was also asked about the Northern Irish Party. If I'm gonna reflect on that now, it's a little Clavan-ish, too. It is clear, however, that it is very important for the Netherlands that some basic rights in the area of lgbt should continue to apply to the whole of the United Kingdom, at least for the European Union. We will be keen on that. I do not have the impression in any way that the British Government wants to make concessions on these points. If she was going to, then the leader of the Scottish tories will keep the British tories sharp at this point. Finally, I come to the access to the portal. I am going to answer now, but if there is a follow-up question, it goes directly to Mr Koenders, because I do not know more than this answer. I read it literally: "In the written consultation on the RAZ on 22 May, the Chamber was informed that direct access to the EU-27 delegates portal for Brexit negotiations is not possible. The cabinet now meets the Chamber and will ensure that limité documents directly available to the Chamber in the normal EU-28 situation are shared with the Chamber for confidential inspection through the delegates portal for the EU-27 situation. The use of reading rooms is a suitable tool for this purpose. There is contact with the Registry on the technical elaboration of the information arrangements mentioned in the written consultation. The aim is to establish a definitive framework for agreements on the provision of information to the Lower House and the Brexit negotiations before the summer recess of the Chamber." I have no idea what I have just read out, so I refer to Mr Koenders for every follow-up question.
