ParlaMint-NL_2017-09-06-tweedekamer-3.u1	I welcome the Minister of Finance and give the floor to Mrs Leijten.
ParlaMint-NL_2017-09-06-tweedekamer-3.u12	I shall give the floor to the Minister for the first time to answer.
ParlaMint-NL_2017-09-06-tweedekamer-3.u13	Mr. Chairman. Thanks to the members for their input on this bill, with the input of many went far beyond the legislative proposal. That says something about what's going on in the sector. In the first place, I would like to dwell on the fact that our former colleague Mr Van Vliet, who was always very active on the issue of accountancy, came to mind. Suddenly I missed him. I just wanted to share this emotion with you. He has taken many initiatives in recent years. He was also one of the people who tabled amendments on the splitting of advisory and control practices and the compulsory rotation of offices. He has always played a strong role in this. In today's speech, the word'scandals' came along, I think, everyone. I've been trying to keep up. That is, of course, the context in which, the decor against which we are taking all these measures, namely a persistent pattern of failing accountants. This has to do not only with too high expectations in society about what auditors should and can do, but also with real responsibility and culpability of individual auditors and sometimes of offices. It's a pattern. The role of auditors is very much about the question of trust. That is the added value of auditors. We need to be able to trust them. So that pattern is frisky for the whole sector. There is a great impatience in the contribution of the Chamber. I'll share that. At the same time, in recent years, we have done a great deal of work and set it in motion. I mentioned all the amendments tabled by Van Vliet and Plasterk, which were quickly followed by European legislation. This legislation has now also been implemented, with the separation of advice and control at the level of the client. In addition, rotation is mandatory, so you do not sit endlessly at the same accounting firm and a healthy professional distance is created between the client and the auditor. Steps have been taken at European level. The sector itself has been explicitly challenged by the Chamber. I was reminded of that when I listened to Mr Nijboer, who did so again very explicitly. That was also what happened in 2013. That is where the sector, I believe, came up with a report in 2014, and it has taken many initiatives itself. So that pressure from the chamber works. The sector has taken many initiatives, which are currently being implemented. In addition, it is striking that the large offices lead the way. They may have the organisational power and the professionalism to make this kind of change in the organization. It's not going fast or well enough, but that process is going on. The third, European and complementary element of the sector is the legal measures we take here in national legislation. This also takes time. So we'll be walking around for a while, I predict. If the Minister is satisfied, I will answer no. When will the Minister be satisfied? When the compilation of all these measures from the sector at national level leads to an increase in the quality of the audit, as is shown by AFM reports, and when even more importantly, our confidence in accountancy is restored. Many of the measures we are taking are, of course, I am looking for a Dutch word, I wanted to say circumstantial conditional for a proper organisation of the audit. One question that concerns us all and which you also see in the report of the monitoring committee is whether we are touching the core enough. That question needs to be answered. There are two ways to do that. You can already conclude that we are going straight to the core and that we are going to fundamentally address the way in which the sector and audit organisations are organised, with their earning model and so on. You can also say that we have now put so many measures around here to ensure that we have to give them a chance and we have to wait and see. The risk of the latter approach is, of course, that in two years' time, I think that the measures that started from 2014 should finally have their impact in the AFM...................................................................................................................................................................................... I....................................................... What's that? That is why I think we will have to work in parallel. The sector is picking that up, too. I say this carefully, because there is a report from the monitoring committee in which it says, first of all to the sector itself, that you should taste, cut and dissect that hot potato once. The sector is doing the same and will present a report this autumn. I would like to call on the sector to follow the sound of many people in the Chamber, not only to look at the current model of earning, but also to take a next step and also to explain what the alternatives would be with the advantages and disadvantages. I think that's important. I will also ask my officials in parallel to ensure that, should the sector not be able to deliver this autumn, the ministry itself will soon come up with that analysis of alternative models, with advantages and disadvantages. It is not for me to take a position on it now, but I am sure that a next cabinet will do so. I think that analysis should be carried out. That debate must be held. You should also be able to have that debate. Some ideas have already been mentioned today. We need to think this through. Are we going to take these perverse incentives or are we going to create new perverse incentives? Can it be European law? Can it be competition law? Is it effective in an accountancy world where international companies in the Netherlands are also active? Those advantages and disadvantages must be reflected. So I call on the sector to do so itself and also to consider the alternatives. In parallel, my ministry will do preparatory work for this.
ParlaMint-NL_2017-09-06-tweedekamer-3.u14	I'm glad to hear that. Of course, we'll wait and see what comes out of the sector. I think he certainly heard this public call. I also think it's a good thing that the Ministry itself is getting to work. In writing, I asked whether we should give these private parties a role in our public and semi-public sector and in what is being generated by taxpayers and contributors. The Minister has actually already rejected that. If he is going to look at alternative earning models and the pros and cons, I would ask him to take this with him. Is he willing to do that?
ParlaMint-NL_2017-09-06-tweedekamer-3.u15	That is the most far-reaching variant, where the entire accountancy, the entire audit job there is removed or separated in such a way that it would really become a public company. It doesn't appeal to me personally. I do not believe that private organisations cannot carry out tasks that have a public interest, but then you have to guarantee it very well. Can it be included in the analysis? Of course. I don't think that's a problem.
ParlaMint-NL_2017-09-06-tweedekamer-3.u16	I'm glad it's included in the analysis. What strikes me is that I happen to know the care sector quite well from my previous spokesmanship..... is that there is an enormous amount of public control over the legality of expenditure etc. but that when it comes to matters such as business management it is suddenly left to the accountant. Where supervisors such as the Dutch Healthcare Authority and De Nederlandsche Bank already know a lot, ask a lot of questions and keep a lot of control and supervision, I do not think it is such a big step to transfer management to that public control and accountability as a final piece. Anyway, the minister's gonna take it. At least this is the example I have in mind. Mr Van Dijck referred to the report that audits of municipalities or housing corporations would rather not be carried out by auditors. If the private sector itself says it doesn't want to do this anymore, you'll have to see how that can be solved.
ParlaMint-NL_2017-09-06-tweedekamer-3.u17	Sure, but that's a more practical problem. The monitoring committee itself does not yet mention an alternative or preference. Of the package of measures that are being taken, it does not say that it is all wrong. It indicates: there are very sensible and good things in it, but what we are looking for is a much stronger underpinning of the link between what we are doing in terms of measures and what we want to achieve in terms of quality. The committee says that one of the things that is missing in the analysis is how to deal with the perverse incentives contained in the earning model and with the conflict, the conflict between client interest and social interest. She mentions a number of themes where the link between what we are doing and what is actually the problem is not well thought out. That is why I believe that this time we should make up for this analysis before we impose a further, further measure. Mrs Leijten is proposing that this should be a good solution if public money is to be taken away from private organisations and a new public form of control. So she's already looking at a solution. But before we take and stack further measures: the monitoring committee is not calling for new legislation at the moment. I noticed that most of all in her advice. Let us make the analysis of what we are going to do and what we are actually achieving much tighter. That is indeed the vulnerability of all the things we have now rigged. Like I said, they're circumstantial. They're all going around it. If you change the governance and internal supervision of an organisation, and that's what this bill does - it can contribute to a different way of looking at quality, monitoring quality and cultural change. That can certainly contribute to that. It matters very much whether the Supervisory Board or the Supervisory Board that is set up will do so and will also do so professionally and actively. That's all conditional, but not necessarily the core. By the way, I think it is, in relation to what we are doing here, all an open door, although that is not quite the right word. It is actually about the very basic internal hygiene of an organisation, the organisation of internal supervision. You wonder how these organizations could have grown so big without a sound system of internal supervision, and that with an accountant. In that sense, what we are doing here is not revolutionary. In the rest of the economy and society, the sector is working on something that is completely normal. It's not a big leap forward yet.
ParlaMint-NL_2017-09-06-tweedekamer-3.u18	I must say that I am very pleased with the Minister's commitment that he is now going to put his ministry to work to make a truly fundamental analysis of the advantages and disadvantages of earning models, especially since I indicated in my first term that I thought the Ministry was a little too patient in the letter and in the note on the report. So I'm glad. I think it is up to us to keep that commitment to the next Finance Minister. I do have one more question. I see it as a task for this Minister of Finance and the following to conduct this discussion in a European context. If we are really going to have a fundamental discussion about auditors, we cannot do so alone in the Netherlands. How does the Minister see that?
ParlaMint-NL_2017-09-06-tweedekamer-3.u19	I think that's true. I have already mentioned the questions of European law that would raise a very different set-up, such as the question of competition. Foreign audit firms can also simply become active in the Netherlands. We may think that in the Netherlands we are going to separate Dutch organisations further or whatever, but we cannot simply impose that on other organisations. That road wouldn't be effective. The European context is therefore very important. It is already important to think about meaningful improvements. If you then encounter European legal objections, but would like to go that way, you will have to deal with European law. Well, I guess that's a bit of an extension, then. Before I continue my speech, I have one more comment to make. It is about the questions: how to proceed and can we be satisfied? No one is satisfied, neither is the sector itself and the AFM at all. It was asked when another AFM study will be launched. When's the thermometer going back in? When can we say it was supposed to happen, so we're going to pass on now? The AFM has not yet clarified this, but I think it is important that further steps are taken. This study is from June this year. The AFM, I believe, is going to extend the research from the four large to the nine oob organizations first. That's the first step forward. The second is that I think next year they are going to do another study on the implementation of the whole package of change measures, so is the quality better? But to the introduction of all these measures. That's on the agenda next year. I think that the year after that, in 2019, we should have a new report from the AFM, which really looked at the quality of those reports on the basis of a sample. Then we can take advantage of the time, but of course it is up to the Chamber and the new minister to debate further options.
ParlaMint-NL_2017-09-06-tweedekamer-3.u20	I had a motion with this call in preparation. I'm kind of looking for the right time. I'll find 2019 a long way away. Now, of course, the AFM is mostly about its own work and capacity deployment, but is the Minister's picture that if you do that research earlier, for example at the end of next year, you will have some serious insight into the financial year 2017? We do not, of course, have to complete what we are discussing today in legislation. We'll have 2014. I actually think 2017 is a nice year. The Minister tastes my impatience. I'm also looking here for what's just realistic and feasible. I'm telling you, I'm gonna find 2019 far away.
ParlaMint-NL_2017-09-06-tweedekamer-3.u21	I'm just wondering if the AFM could do that in its planning sooner, because it's not up to me to judge that. We'd like to come to a conclusion sooner. What I fear is that you will then have the discussion again as to whether the effects of all the measures could have been visible in the data on which the research is based. You must realise that the research that was published in June was done on the basis of data from 2014 and 2015. I don't know if it works at all as one-on-one, but when we have an investigation in 2019, we're probably talking about dates from 2016 and 2017. That is why I say: if you are too quick, you will have the discussion again about whether it is feasible to see the effects of all measures in the results.
ParlaMint-NL_2017-09-06-tweedekamer-3.u22	I would like to ask the Minister whether, in the second term or perhaps at the end of his first term, he can indicate what financial year we will be talking about if we do the research in 2019. I feel sorry for you. At the same time, as a chamber and minister, we have a shared impatience. That gives me a slightly more detailed picture of whether the Minister's assessment of the thumb, which I can follow, is correct. That helps me to consider what could now be a realistic date.
ParlaMint-NL_2017-09-06-tweedekamer-3.u23	My officials will probably be able to give you a note on that. Then we can deal with that right away.
ParlaMint-NL_2017-09-06-tweedekamer-3.u24	If the report in 2019 is about 2016 and 2017, then I think we are in a trap again. After all, the audit firms are now indicating that they are implementing hard, that they really want to and that they will carry out those 53 points. They say that we have either introduced all these measures or we are going to introduce them. But of course they will say: yes, but this is about a financial year in which we have indicated that we are working hard, but that we are not yet able to make it. They're asking us for more time, too. Who then gives us the assurance that in 2019 we can really say that there is a true picture of the impact of the measures we are taking?
ParlaMint-NL_2017-09-06-tweedekamer-3.u25	Mrs Leijten is also politically experienced. Of course there will be people in the sector, even when the report comes in five years from now: yes, but we are busy with changes and give us time. But I also know Mrs Leijten as someone who doesn't let herself be thrown in the reed with a rug. I think that if there is a new AFM study in 2019, you can argue with the industry: yes but boys or girls, the data in this study are so recent that we should have really seen the effect of everything you are doing. Then you can say, and I don't see it. Or you can see it, and then maybe we'll have a more positive discussion.
ParlaMint-NL_2017-09-06-tweedekamer-3.u26	The political experience and the assessment of reports are, of course, different for each group. I have the same feeling as Mr Van Weyenberg that 2019 is a bit far away. That's five years after the introduction of all those changes from 2014. That should be completed by 2019. Then there must be a cultural change. Is it not possible for the AFM, for example, to make a sample in 2018 and send the results to us? Then the time for monitoring and the deadline for delivering the report will be shortened somewhat, which will allow us to make an earlier assessment.
ParlaMint-NL_2017-09-06-tweedekamer-3.u27	You must imagine that the AFM proposals are a sample. But if you're gonna take a sample, it's gonna have to be some size, otherwise I already know what the next argument is. That sample is very intensive work. Each file you pull will not only be examined if the accountant has done good things but will also be looked at what he bases himself on. That's where things often go wrong. Have the underlying figures been checked? Is the system by which the figures were generated from the client sound? So it's really going a long way. One of the terms is "putting the finger in it." We also know the term "temperature recording." But that won't help us. Perhaps we can agree that I will discuss with the AFM what is possible, what is her intention and whether it is possible to speed things up, heard the wishes of the Chamber. But I don't give false expectations. I hope that the timetable I outline is feasible. I have indicated which follow-up steps the AFM already has in the planning. I call it expanding four to nine oob accountants. Then there is the step towards the implementation of all these measures. How's that going? Then there is the quality research large offices. But I suggest that we return to this in writing. I'll check with the AFM if this is her planning, if this is feasible, and if there are any possibilities for acceleration. I'll let the Chamber know. But suppose the AFM says: sorry, but this is it; it can't be faster and we're definitely not going to turn in on the quality of our work. Then I'm gonna stand behind her. Then it's the way it is. This means that we will have this debate again in 2019. Hopefully the basis will be much more positive, with a much more positive report.
ParlaMint-NL_2017-09-06-tweedekamer-3.u28	The Minister continues his reply.
ParlaMint-NL_2017-09-06-tweedekamer-3.u29	I now turn to the many questions that have been asked. One of the questions concerns the system of internal independent supervision. Mrs De Vries and Mr Van Weyenberg asked about an audit firm that is part of a network with an international mother. How can the independent internal supervision of policies be carried out from the mother's point of view? We also know this situation in other international holding companies. As soon as they have a legal person in the Netherlands with their own internal supervision exercised on the basis of Dutch law, the board of directors often has an independent power and responsibility derived from the law. They must defend the interests of that undertaking. They must, of course, respect the Dutch law. It's no different here. On the basis of this law, they are given a legal task and competence, responsibility for the company in the Netherlands. Of course, the legal person must comply with Dutch requirements, which are often European. Suppose there is a conflict and the mother says: we all think that quality policy is bullshit; get rid of it. Then the Supervisory Board does not only have a strong own responsibility for the legal person to which it supervises on the basis of the law. The supervisory board therefore knows itself supported by Dutch legislation and the Dutch supervisor. It also has instruments to intervene in this and, if necessary, support the Supervisory Board. Please note that in most cases the following applies in the accountancy. They are often parts of major international organisations, but it is not the case that the type of policy we are talking about is determined by the international organisation. The large offices in the Netherlands determine to a large extent their own policies, their conception and implementation of quality, personnel policy and so on, including the organisation, the partner model and the earning model and so on. These are determined to a predominant extent in the Netherlands and within the Dutch organisations. The AFM therefore supervises the Dutch requirements. Mrs De Vries asked a question about the principle of proportionality in the obligation to take remedial measures. It's also in this bill. There are situations where the taking of such remedial measures is not proportionate, for example in view of the time lag or the relevance of the information. That is conceivable, but the starting point is that recovery is taking place. I am not saying that this is a misunderstanding for Mrs De Vries, but the fact that the quality is inadequate does not mean that the statement, the approving auditor's statement, was wrongly issued. Only you don't know. That might be the case, but then it's actually a coincidence. Then it went wrong with the underlying figures or the way in which those figures were verified. The conclusion may still be that it looks good in itself, but it may be that what it is based on has not been sound. Hence the importance of adopting the recovery measures. The decision shall deal with the establishment of the body of internal supervision. The rules contained in that Decision concern additional measures. These relate to the additional powers and tasks of the body, the establishment of the system, the independence of its members and the matters on which the body should be informed. It is also about powers such as: The body determines the level and composition of the remuneration of day-to-day policy makers. Decisions of the audit body which may affect the quality of checks shall be subject to the approval of the internal supervisory body. The AMvB is expected to be placed before the Chamber in November. Then she can see exactly if we're doing the right thing. Mr Ronnes asked a question about the oath, also in relation to the banker's oath. One of the measures contained in the NBA report "So taken at the own initiative of the sector "S' concerns the introduction of the auditor's oath. I've been at those ceremonies a number of times. This has also been implemented in the professional regulations of the NCA, the regulation on the professional oath. The oath had to be taken by all auditors active in the Netherlands before 1 May this year. 99.8% did. 95 accountants didn't do it. The NBA filed a disciplinary complaint about that. However, all this does not give me any reason to anchor the oath in the law, because there is 99.8% compliance, while a very small company has not yet done it. The sector itself is taking action on this. For the banks, the oath is incorporated into the law. Mr Ronnes asked why there? I understand that the CDA also says, "We don't have to do this in the law, but why do we have to do this for the banks?" This was done at the request of the financial sector, i.e. the banking sector itself. It was said in that regard: just put it in the law, because then we will have no more discussion about it. Apparently, there was the expectation that this would lead to discussion or disgust. Now there's no more discussion. It was also said by the banks: Let everyone in our organization take the oath. It is thus laid down in the law, in support of its implementation. In the accounting sector, it went very well without a legal hook, without that anchoring.
ParlaMint-NL_2017-09-06-tweedekamer-3.u30	Not about the oath, but about what the minister said before about the fact that out of the 32 files viewed in the big four, 19 files were qualitatively inadequate. The Minister then said that there may have been an unwitting declaration issued; we do not know that. That gave me quite a shock, because does it not require further examination if 60% of the Big Four statements do not have sufficient quality? I don't know how many statements we're talking about in 2014-2015, but I think it's 30,000. If it turns out that we do not know of 60% of the votes, then of course we have a completely different problem in the Netherlands.
ParlaMint-NL_2017-09-06-tweedekamer-3.u31	Sure. I'm glad the quarter fell. That is exactly the heart of the problem. Look, this is a sample. If this sample were exemplary in terms of the quality of all audit reports, we would have reasonable doubts as to whether the approval was granted. I'm not saying that they're all worthless anymore or that they've all been wrongly granted. You can't conclude that either. But the quality of the method of execution, the quality of the data and of the systems from which the data were generated may be so uncontrolled that there is now doubt as to what that conclusion is actually based on. So the law rules that you have to take remedial measures. This is now, of course, done on the basis of the files that have been lighted by the AFM. All the measures we take, of course, aim to improve quality across the board. This sample and those 19 cases show that we do not know with certainty whether the approving statement has been properly issued. How do we deal with that? We have said that, as soon as you know, you must, of course, take measures to ensure that the statement has been given correctly.
ParlaMint-NL_2017-09-06-tweedekamer-3.u32	This is a very small sample of 32, of which 19 do not appear to be satisfactory. Of course, there will be recovery measures on those 19. I believe so, but doesn't this just require a more in-depth investigation into a larger population of approving explanations to see if those 60% are representative of the entire population? Now we have 60%. If that's the case across the entire population, then we have another problem. I'd actually like to hear some alarm bells from this minister. I want to hear him say: here comes the bottom stone; we are going to do a sample not of 32, but 3,200.
ParlaMint-NL_2017-09-06-tweedekamer-3.u33	No, because then the question would still be what 3,200 is on the huge size of the number of audit reports in our society, in our economy. This study repeatedly shows that there are real questions about the quality of the work done and the underlying figures and therefore also about the conclusion. I think we should assume that this repeated result really is a strong indication of a broad quality problem. Then there is no point in doing that again with a slightly larger sample and an even larger sample. Let us assume that this is sufficient indication of the quality problem we have here. That is why we are talking about this with such urgency: measures must be taken across the board to deal with it. Mr Van Dijck explains very well why this urgency is so high.
ParlaMint-NL_2017-09-06-tweedekamer-3.u34	The Minister continues.
ParlaMint-NL_2017-09-06-tweedekamer-3.u35	Then questions were asked about the suitability requirement by Mr Ronnes, but also by Mrs De Vries and others. We have indeed joined the suitability requirement for the financial sector in the Wft. An open standard has also been chosen, which the AFM has developed in a policy rule. This makes it possible to formulate standards tailored to specific cases. So that is indeed the same system as the financial sector. That makes sense to me, too. The AFM has also gained experience with this. Those experiences have been evaluated recently. This has also led to a slight adjustment. On the basis of that experience, we will continue to work. The eligibility criteria must, of course, be known at the earliest possible stage. In April of this year the AFM offered the design of the policy rule with the eligibility criteria for consultation. The AFM is now working on the completion of this on the basis of all consultation responses. This will be published on the AFM's website, but of course only after the adoption of the bill in the Lower House. So the AFM's a long way off with that. The other pending procedure that I have just referred to and which Mrs De Vries asked for is about the updating of the list of statutory audits. These are the checks for which a permit is required to carry out them. Our consideration was that it seems excessive to us that the House of Representatives should really have to inform not only about any modification of that list but really to ask for permission, in which the Chamber has the opportunity to intervene. Sometimes it's just a wrong reference to an article in a sector law. It is sometimes a matter of very small technical adjustments. In order to reassure Mrs De Vries that this is what this is about and to enable her to pull the Minister's jacket on something more important or bigger, I imagine that we will simply inform the Chamber with a brief letter when this is going on. But that is still a lighter procedure than when we really have to formalize ourselves and wait six weeks for the reaction of the Chamber et cetera et cetera. Then we can switch faster but the Chamber has the opportunity to say: wait a minute, I would like to talk to the Minister about this. Mr Van Dijck made another comment on the entry into force of the bill. Realistically, the entry into force is going to take us to the First Chamber in mid-2018. I will only stay away from the question of whether the Advisory referendum Act still exists by that time. Mrs Leijten says, of course, that the auditors are going to organise an advisory referendum. That could just happen! The question of the independence of the AFM arises both in the fitness test procedure and in the objection phase in AFM decisions. The question is whether a more independent advisory committee would be better. In the Netherlands, we often have the model that you can object to with the organisation that has taken an administrative decision and that there is an internal objection committee. After that, you can still appeal to the judge. This is not only the case with the AFM, but it is the case in the public sector and is also laid down in the Code of Conduct. That model also knows the AFM. Of course you keep arguing: is that independent, isn't that the same organization? Within the AFM, that's separate. So it is really other people, from the legal department, who assess the objection procedures. The Ottow Committee also looked at this. It has reviewed the whole process of suitability and reliability assessment. The Ottow Committee said that the chairman of the Hearing Commission should be independent. That was already the case with the AFM; Ottow saw on the AFM and DNB. The AFM's Board of Appeal already has an independent chairman. The Otto Committee does not recommend having a fully independent committee. She doesn't expect any benefits; she thinks it's well secured within the AFM. I agree. If the Chamber were to take a different view, it would be wise to have a broader debate with the Minister of V and J on this, so that we do not reorganise it differently by public organisation. Again, this design, with an internally organized objection committee and then the possibility of appeal, we know of course by the whole public sector and the government.
ParlaMint-NL_2017-09-06-tweedekamer-3.u36	The Minister draws it very widely, to all public organisations. But objection committees are not always about the suitability of someone for a position. That is quite a heavy competence, which has also been laid down by these two specific supervisors, the AFM and DNB. So I think that equation is a bit of a limp. What would be against it? It is now said: yes, the Otto Committee on this. But that committee has also said a great deal about this independence. We also know that people won't go to court on cases like this very soon. I therefore believe that it is important to be able to obtain an independent right at an early stage in the objection procedure when they are not considered appropriate. I never understand the Minister's resistance to this.
ParlaMint-NL_2017-09-06-tweedekamer-3.u37	Well, that's not so much the Minister's resistance. We have asked the Otto Committee to look closely at the progress of this procedure. You are absolutely right to say that these are really far-reaching decisions: people are sometimes de facto banned from performing a particular function in the financial sector, or a supervisory function in an audit firm. So that is really far-reaching, so that it has to be done very accurately. There must be a possibility of appeal and appeal. However, I note that we have secured this, as we have set it up with public organisations, with the government in general. Nor has the Otto Committee said that this must be fundamentally different. There is another problem, but that debate may go too far for now: how can you protect people who think they have been wronged so that they can appeal and object without further damage to themselves and their reputation? Many people hesitate, as you rightly say, to go into the objection phase alone, because they put the spotlights on themselves, which you prefer not to. Legal protection gnaws when people think: yes, I don't go into battle, because then my good name gets damaged and then it becomes known that I oppose my rejection by the supervisor. That's what the Otto Committee is about. We're trying to do that as carefully as possible. I do not think that we are solving that essential problem by removing the objection committee from the AFM. Still, it is quite a step to raise objections, with all the risk of adverse effects that this entails.
ParlaMint-NL_2017-09-06-tweedekamer-3.u38	The Minister now makes it clear that I would like to remove the entire objection procedure from the AFM. My plea would be: there is now an independent President who in fact has no role to play, just add a few independents to that objection procedure, so that you become more independent. You should not place that procedure completely outside the AFM and DNB, because you do need that expertise.
ParlaMint-NL_2017-09-06-tweedekamer-3.u39	I will come back to that in the second term. As nuanced as Mrs De Vries says it now, it may be workable. But this is typically a wicked problem: what is the real painful problem? If you object, you do so to the supervisor you'll have a lot to do later. That's why a lot of people think: yes, I'm gonna lose it anyway. Furthermore, you ask yourself how to prevent your good name from being damaged and that it becomes public that you object to a decision by the supervisor. Allow me to return to that in the second term. I'd like to think about it for a moment. Then there is the subject on which the Council of State also draws its attention, namely the concentration of tasks with the supervisory authority. For example, it is a question of the task as maintainer, but also of the task as set of standards. The AFM is a enforcer and licence holder, but has no regulatory powers for the supervision of audit firms. As far as the accountants are concerned, these powers lie more with the sector itself. The NCA has requirements for this, for example in the field of quality. Of course, the AFM is trying to provide clarity, also because the sector is clearly asking for it. The standards explain them by publishing guides and laying down policy rules. So this brings us into the tension between free open standards and leaving responsibility in the sector and a sector that constantly says: supervisor, tell me exactly what is good and what is bad; then I can meet it and then I run no risks. This in turn leads to detailed policy rules. Then other people in the sector say again: yes, but this leads to a culture of ticking, because now we have detailed policy rules, with AFM regulations, which state what we should do and what should not, what should and what should and then we check whether we have done everything. I will say to the sector: either it is between two and one, or you take your own responsibility and explain how you think the law intended it. Of course, you can have a conversation with the AFM about whether you are asking the AFM for clarity and precise rules, but then you should not come up with the story that there is only a culture of ticking now. I have a strong preference for the first model, in which the sector and the companies themselves dare to fulfil that responsibility. Sometimes you'll be told by the AFM that she doesn't think it's good enough. Usually a conversation precedes that. That will allow you to adjust your content. But if you ask it in great detail, you'll also get it in detail. I think that's a road we should be careful about. This also avoids the dilemma that the AFM is standard-setting and will prescribe in detail and then maintain it. That's the point the Council of State pointed out. In this way I immediately answered Mrs De Vries' question about the ticking list. These arise mainly because the sector itself requires precise rules. I don't think we should shoot too far into that. Mr Van Weyenberg asked which investigations are to be carried out and when they will be carried out. We've already talked about that. Mrs De Vries asked in how many cases the approving declaration was wrongly issued. We've just talked about that. You cannot say that these 19 declarations were wrongly issued, but that the certainty that they were rightly issued is not there. That requires repair work. I cannot therefore answer that question.
ParlaMint-NL_2017-09-06-tweedekamer-3.u40	In the meantime, I understand that none of the statements would have been wrongly issued after repair work had been carried out.
ParlaMint-NL_2017-09-06-tweedekamer-3.u41	You're right. This is a correct correction. That's what it says here. In any event, the audit firms themselves have concluded that none of the audit reports, i.e. after they have done the repair work, had to be adjusted. In other words, they were all rightly granted, according to the audit firms. The AFM doesn't do another check on that. That responsibility lies with the accountants.
ParlaMint-NL_2017-09-06-tweedekamer-3.u42	I think it's important for the outside picture that we know this kind of thing, too. Of course, these audits just need to be improved. However, I would be in favour of the AFM also looking at these repairs, because apparently there is no check at all anymore.
ParlaMint-NL_2017-09-06-tweedekamer-3.u43	They're checking to see if the recovery measures are being taken, but they're not doing control all over again. It is the audit firms that have established something. This bill provides for the AFM to act if the recovery measures are not taken and can enforce them. Those nineteen cases where recovery measures were needed were not reviewed by the AFM: is it true now? I think you should do the whole investigation again, at least for those nineteen.
ParlaMint-NL_2017-09-06-tweedekamer-3.u44	The Minister continues.
ParlaMint-NL_2017-09-06-tweedekamer-3.u45	I come to the difference with the American superintendent. The same file is considered insufficient by the AFM, while the American supervisor, the PCAOB, considers it sufficient, Mrs De Vries says. That's right, that's what happened. The AFM had a finding that the American supervisor didn't have. This is partly due to differences in standards. American standards for reporting and auditing may sometimes differ from Dutch standards. It may also be that there are different focus areas in the control performed and that they have just zoomed in on other parts, which makes the results different. So it may be that the final judgment is different. It is an interesting case, if only to see what the differences in practice are with the supervisors. I also think it is interesting for the sector and the AFM to discuss this further. So it can be explained, but we don't have to put it aside right away. We can certainly talk to the sector and the AFM about where this comes from and what we need to think about it. Mr Van Weyenberg said that much is inspired by the Wft. According to him there is even constant reference to the Wft; I felt an escalation in his reasoning. I don't think so. Those two laws, i.e. the Supervisory Accountancy Act and the Financial Supervision Act, have a lot in common and also include similar powers, for example for the AFM. Sometimes there are similar obligations, but there are also great differences. For example, not only the organisation is regulated by the Supervisory Accountancy Act, but the law also sees the auditors working at the organisation. That's really different in the Wft. Accountants also have a different role and responsibility than employees in the financial sector. Accountants check reporting and therefore have to sign the work they do individually. That'll give them a guarantee. That really is a specific and special responsibility. Both groups have a major social role, but there are also differences. Anyway, I don't have to explain the difference. Offering and selling and advising on financial products is really quite different from that controlling task the accountant has. Some spokesmen spoke about the risks that arise in municipalities, for example, or that will arise in the future in the expansion to the oob segment. That enlargement has not yet taken place. Proposals will be put forward to bring more social non-profit organisations in the public or semi-public sector under the oob segment. Is that gonna cause any trouble? Are there enough accountants? Our information is that there are currently no municipalities that have no accountants. There have indeed been bottlenecks in a number of municipalities. It is also true that you certainly hear that noise from the larger audit firms.They are reluctant to have municipalities as customers, because a lot of risks are perceived in audit audits at municipalities. There is intensive consultation between the accountancy and the municipalities. I believe that the Ministry of Foreign Affairs is also involved in this process in order to identify the bottlenecks. But again, at the moment, there are no municipalities that are not able to get an accountant. So you can see that medium-sized offices are also going to serve the municipalities in this segment. The same applies to smaller oob offices. We are, of course, following that very closely. We are also talking about this with the sector. Mrs De Vries asked another question about the development of audit costs. Our assumption is that the bill we are discussing today will not lead to an increase in audit costs. The NBA has indicated that it is realistic for audit entities to absorb these costs themselves within their own cost structure. I think there's a beep system here. Should it be very different, the Chamber will probably be the first to spit on my jacket, at least proverbial, because it could be someone else. I have no signals that there are expected to be large increases in costs and therefore in rates. Mr Snels asked a question about the compulsory disclosure of tax structures. I believe that a European agreement was discussed in the Chamber last night. It's not gonna apply to accountants. Accountants are also not allowed to give tax advice. Fiscalists are therefore accountable, but this agreement does not apply to auditors.
ParlaMint-NL_2017-09-06-tweedekamer-3.u46	It is, of course, a question of the fact that auditors can come across arrangements to avoid tax in the course of an audit of the annual accounts. It would be interesting if accountants would also mention such constructions, as I believe was also exchanged in yesterday's debate. I would find it interesting if the Dutch Government would take that point into account in this European debate.
ParlaMint-NL_2017-09-06-tweedekamer-3.u47	Then we need to be more precise. It concerns the disclosure of tax advice. That obligation applies when you give tax advice. Mr Snels spoke about an accountant who found something and who then had to inform an authority. However, the legal obligation to disclose relates to tax advice provided by the persons concerned themselves. They need to be reported. The obligation does not apply to accountants. Accountants don't give tax advice.
ParlaMint-NL_2017-09-06-tweedekamer-3.u48	I do not know enough about the details of the European debate. I do not think that discussion has yet been concluded either, but it sees the role of the intermediaries. Intermediaries will be required to report on tax structures. Then it is true that tax advisors can be concerned with their own advice, so about new ideas they come up with together with their clients. But you could imagine that they're going to report it on the control side as well if they come across anything. In any case, I would be interested to take this into account in the European debate.
